Orthogroup	Polistes_dominula	Bombyx_mori
OG0000013	XP_015172623.1	XP_004933313.1
OG0000013	XP_015174269.1	NP_001040399.1
OG0000013	XP_015172184.1, XP_015172183.1, XP_015172185.1	NP_001091756.1
OG0000015	XP_015175981.1	XP_037867165.1
OG0000015	XP_015189530.1, XP_015189839.1	XP_037867765.1
OG0000015	XP_015189716.1, XP_015189914.1	XP_037874319.1
OG0000015	XP_015189880.1, XP_015189840.1	XP_037876638.1, XP_037866484.1
OG0000016	XP_015189959.1, XP_015184181.1, XP_015189904.1, XP_015182291.1, XP_015176614.1, XP_015189259.1, XP_015184966.1, XP_015171454.1, XP_015189561.1, XP_015190988.1, XP_015189498.1, XP_015189980.1, XP_015189915.1	XP_037875269.1, XP_037869058.1
OG0000017	XP_015172927.1, XP_015172893.1, XP_015172912.1, XP_015172903.1, XP_015172883.1	NP_001108466.1, XP_012546875.1, NP_001037420.1, NP_001037197.1, NP_001108464.1, NP_001108460.1
OG0000017	XP_015180943.1, XP_015180944.1	NP_001037183.1
OG0000017	XP_015183882.1, XP_015180945.1	XP_037877194.1, NP_001037546.1, XP_037867588.1, XP_037877193.1, XP_037867593.1, NP_001036974.1
OG0000018	XP_015184408.1	XP_037871931.1
OG0000018	XP_015186828.1	XP_021205339.2, XP_037871705.1
OG0000018	XP_015175602.1	NP_001243945.1, XP_037871800.1
OG0000019	XP_015184618.1, XP_015184619.1, XP_015189804.1, XP_015189805.1	NP_001268819.1, XP_037869432.1, NP_001040220.1
OG0000019	XP_015172147.1	NP_001119718.1, XP_037872951.1, XP_004924270.3, XP_021204440.2, XP_004928788.2, XP_037874708.1, XP_012545204.1, XP_004927001.2, XP_021204176.1
OG0000019	XP_015182221.1, XP_015189673.1	XP_004927318.1
OG0000020	XP_015172633.1	XP_021206581.1
OG0000020	XP_015183576.1, XP_015183590.1	XP_012545030.1
OG0000020	XP_015171445.1	XP_012552719.1, XP_021202222.1
OG0000020	XP_015183950.1, XP_015183951.1, XP_015183952.1	XP_037874470.1, XP_037874469.1
OG0000020	XP_015181633.1	XP_037867242.1, XP_012549186.1
OG0000021	XP_015183660.1, XP_015183652.1, XP_015183642.1, XP_015183675.1, XP_015183668.1	XP_004932475.1, XP_021207797.1
OG0000021	XP_015184436.1	XP_012546046.1
OG0000021	XP_015190080.1	XP_004926417.1
OG0000021	XP_015188837.1, XP_015184407.1	XP_037869061.1
OG0000021	XP_015183774.1, XP_015183791.1, XP_015183783.1	XP_037872785.1
OG0000022	XP_015174052.1	NP_001153667.1
OG0000024	XP_015181175.1, XP_015181294.1, XP_015189755.1	XP_037872402.1
OG0000024	XP_015181824.1	XP_004924130.1
OG0000025	XP_015174442.1	XP_037869780.1
OG0000026	XP_015181461.1, XP_015181460.1	XP_037867257.1
OG0000026	XP_015187707.1, XP_015187708.1, XP_015187709.1, XP_015187706.1	XP_021205952.1, XP_037874519.1, XP_037874423.1
OG0000026	XP_015174903.1	XP_021204803.2
OG0000026	XP_015191534.1, XP_015187302.1	XP_004929451.1, XP_012548588.1
OG0000027	XP_015172634.1	NP_001153669.1, XP_012551883.1
OG0000028	XP_015180764.1, XP_015189418.1, XP_015189902.1	XP_037871212.1
OG0000029	XP_015172519.1, XP_015172507.1	NP_001036866.1, NP_001166691.1, NP_001166687.1
OG0000029	XP_015185507.1, XP_015172137.1	NP_001093082.1, NP_001166690.1, NP_001166689.1
OG0000030	XP_015180792.1, XP_015180789.1, XP_015172637.1, XP_015180794.1	XP_037875304.1
OG0000030	XP_015187915.1, XP_015185971.1, XP_015185973.1, XP_015185974.1, XP_015185972.1, XP_015189947.1, XP_015189898.1, XP_015186637.1, XP_015189768.1, XP_015189842.1, XP_015186005.1, XP_015189795.1, XP_015189846.1, XP_015177899.1, XP_015186006.1, XP_015189579.1, XP_015189757.1, XP_015189580.1, XP_015189727.1, XP_015189305.1, XP_015189905.1, XP_015189578.1, XP_015186638.1	XP_004926017.1
OG0000032	XP_015190440.1	XP_012545284.2, XP_021208619.1
OG0000032	XP_015191817.1	XP_004931720.1
OG0000032	XP_015190537.1, XP_015182537.1, XP_015182533.1	XP_037867207.1, XP_004924199.2, NP_001036966.1, XP_012549133.1
OG0000035	XP_015172482.1	NP_001243971.1, NP_001243970.1, NP_001243969.1, NP_001243968.1, NP_001274756.1, XP_037870343.1, NP_001243972.1, XP_037870428.1
OG0000036	XP_015175890.1	XP_004925684.1, XP_037874658.1
OG0000036	XP_015174610.1, XP_015174768.1	XP_037877629.1, XP_012544322.2
OG0000037	XP_015184679.1	NP_001166634.1, NP_001166643.1, NP_001166640.1, XP_021207417.1, NP_001166642.1, NP_001166626.1, NP_001166646.1, NP_001166657.1, NP_001166648.1, NP_001166659.1, NP_001166661.1, NP_001166647.1, NP_001166654.1, NP_001166652.1, NP_001166656.1, NP_001166655.1, NP_001166651.1, NP_001166653.1, NP_001166650.1, XP_012550695.2, XP_037874610.1, NP_001166649.1, NP_001166658.1, NP_001166660.1, XP_037874849.1, XP_037874613.1, XP_037874612.1, NP_001166662.1, NP_001036864.1, NP_001166674.1, NP_001166673.1, NP_001166676.1, NP_001166675.1, NP_001036838.1, NP_001166677.1, XP_012550704.2, NP_001166625.1, NP_001166671.1, NP_001166678.1, XP_012550693.1, NP_001166641.1, XP_004931961.1, NP_001166635.1, NP_001166644.1, NP_001166637.1
OG0000038	XP_015179362.1	XP_021208028.1
OG0000038	XP_015179360.1	NP_001036884.1
OG0000038	XP_015185565.1	NP_001036886.1, XP_021204307.1
OG0000038	XP_015179361.1	NP_001036885.1
OG0000040	XP_015175500.1, XP_015186212.1	XP_037871589.1, XP_037877007.1
OG0000041	XP_015179142.1, XP_015179139.1, XP_015179141.1	NP_001119724.1
OG0000042	XP_015186594.1, XP_015186595.1, XP_015186596.1, XP_015189781.1, XP_015189581.1, XP_015189834.1, XP_015171566.1, XP_015171565.1, XP_015171564.1, XP_015171563.1, XP_015171562.1	XP_004925565.1
OG0000042	XP_015171717.1, XP_015171718.1, XP_015171719.1	NP_001296508.1, XP_037868172.1, NP_001037018.1, XP_012545279.1, XP_021205712.2, NP_001036971.1
OG0000043	XP_015177490.1, XP_015177491.1	NP_001037067.1, NP_001037068.1
OG0000043	XP_015187201.1	NP_001091780.1, XP_021206019.2
OG0000044	XP_015184594.1	NP_001036834.1
OG0000044	XP_015184599.1	XP_037868658.1
OG0000045	XP_015183311.1, XP_015183284.1, XP_015173221.1, XP_015183312.1	XP_037866529.1, XP_037866527.1, NP_001296551.1, XP_012549946.3, NP_001182391.1, XP_004930880.1
OG0000046	XP_015179269.1	NP_001036837.1, XP_012547740.1
OG0000046	XP_015189296.1	XP_037876891.1, XP_004933911.2, XP_037876874.1, NP_001296526.1, NP_001243928.1
OG0000046	XP_015177712.1, XP_015174688.1, XP_015174687.1	NP_001036892.1
OG0000047	XP_015181292.1, XP_015182538.1, XP_015189429.1, XP_015189816.1, XP_015189433.1	XP_037869855.1, XP_037866933.1, XP_037874605.1, XP_037869737.1, XP_037871249.1, XP_037877229.1, XP_037867871.1, XP_037867870.1, XP_037875392.1, XP_037876653.1, XP_037875391.1, XP_037876466.1, XP_012543806.2, XP_037876380.1, XP_012552278.1, XP_012552527.2, XP_037872680.1, XP_037876439.1, XP_037875038.1, XP_037876528.1
OG0000050	XP_015187332.1, XP_015175623.1	NP_001165227.1, NP_001040466.1, XP_037875050.1, NP_001124352.1, NP_001116814.1, XP_004927162.1, XP_021203217.2, XP_021203196.2, XP_037870386.1, XP_037870387.1, XP_004925199.1, XP_004924525.1, XP_004932947.1, NP_001040174.1
OG0000052	XP_015186733.1	XP_012545178.1, NP_001036907.1, XP_037868558.1, XP_037868546.1, XP_012545207.2, XP_012545182.2, XP_004925374.1, XP_037868485.1, XP_004925372.1, XP_004925371.1
OG0000052	XP_015175045.1	XP_012545009.1, NP_001182634.1
OG0000054	XP_015175390.1	NP_001040112.1
OG0000054	XP_015175295.1, XP_015175296.1, XP_015175389.1	NP_001036835.1, NP_001166743.1
OG0000055	XP_015176664.1	XP_021207833.1
OG0000055	XP_015173765.1, XP_015173767.1	XP_012548893.1, NP_001036959.1
OG0000056	XP_015176704.1, XP_015178312.1	XP_037866675.1
OG0000056	XP_015175416.1	XP_037872689.1
OG0000056	XP_015181793.1	XP_037871311.1
OG0000056	XP_015181325.1	XP_037873641.1
OG0000057	XP_015171970.1	NP_001036887.1, NP_001036964.1
OG0000057	XP_015173587.1	XP_004923508.1, XP_012553252.3
OG0000057	XP_015171878.1	NP_001036965.1
OG0000057	XP_015171877.1	NP_001036888.1
OG0000057	XP_015171777.1	NP_001037492.1, NP_001093079.1
OG0000060	XP_015185766.1, XP_015185775.1	XP_004925993.2
OG0000060	XP_015181080.1, XP_015181079.1	XP_021206640.1, XP_004930776.1
OG0000061	XP_015178059.1, XP_015188543.1	XP_012551685.2
OG0000062	XP_015179445.1	XP_021205992.1, NP_001091767.1
OG0000062	XP_015173092.1, XP_015178479.1	XP_004923510.1, XP_037876893.1, XP_004933665.1, NP_001036941.1, NP_001036984.1, NP_001091794.1, XP_037877361.1, XP_037877362.1, NP_001037038.1, NP_001036942.1
OG0000065	XP_015174229.1, XP_015174230.1, XP_015174227.1, XP_015174228.1, XP_015174231.1	XP_004931596.1
OG0000066	XP_015189876.1	XP_012545514.1
OG0000067	XP_015179349.1	XP_004931451.1
OG0000067	XP_015180637.1	NP_001037582.1
OG0000067	XP_015182629.1	XP_037877745.1
OG0000069	XP_015175625.1	NP_001243973.1
OG0000070	XP_015183225.1, XP_015181201.1, XP_015181226.1, XP_015183189.1, XP_015181240.1, XP_015181213.1, XP_015181252.1, XP_015183161.1, XP_015181266.1, XP_015183121.1, XP_015183113.1, XP_015181189.1	NP_001166602.1
OG0000071	XP_015181519.1, XP_015184877.1	XP_004930894.1
OG0000073	XP_015173919.1	NP_001243938.1
OG0000077	XP_015188023.1	XP_037870080.1
OG0000077	XP_015179002.1, XP_015185970.1	NP_001037478.1
OG0000078	XP_015185284.1, XP_015185291.1, XP_015185285.1	XP_037872110.1, NP_001159625.1, NP_001116810.1
OG0000080	XP_015185202.1, XP_015185201.1, XP_015185203.1	XP_021207527.1, XP_021207524.1, XP_021207523.1, XP_021207526.1, XP_021207525.1, XP_004931947.1, XP_037874742.1
OG0000080	XP_015188705.1, XP_015188706.1	XP_004931946.1
OG0000080	XP_015185196.1	XP_037874734.1
OG0000082	XP_015175969.1, XP_015175974.1, XP_015175968.1	XP_004927040.1, NP_001124343.1
OG0000084	XP_015180887.1, XP_015180880.1	XP_012550708.1, NP_001166718.1
OG0000085	XP_015179519.1, XP_015175778.1, XP_015175777.1, XP_015175779.1	NP_001239600.1, XP_037876340.1, XP_037876341.1, XP_037876393.1, XP_037876339.1
OG0000086	XP_015175698.1	XP_004922188.1
OG0000087	XP_015179311.1	XP_004925118.1
OG0000087	XP_015179470.1, XP_015179472.1, XP_015179471.1, XP_015179473.1	XP_004926772.1
OG0000088	XP_015175828.1	XP_037876269.1, XP_037876266.1
OG0000091	XP_015190282.1, XP_015190273.1	XP_037871523.1, NP_001037021.1, NP_001139714.1, XP_012547717.1, NP_001037305.1, XP_037874620.1
OG0000092	XP_015182560.1, XP_015171266.1, XP_015171261.1, XP_015180692.1	NP_001040445.1
OG0000093	XP_015189759.1	XP_037867839.1, XP_037870131.1, XP_037877338.1, XP_037877592.1, XP_037871838.1, XP_037871837.1, XP_021204760.2
OG0000093	XP_015189435.1, XP_015189434.1	XP_037875612.1
OG0000094	XP_015189233.1	XP_037867226.1
OG0000094	XP_015175380.1	XP_004929868.2
OG0000095	XP_015179352.1, XP_015179379.1, XP_015187338.1, XP_015179387.1, XP_015179306.1, XP_015187259.1, XP_015179367.1, XP_015179368.1, XP_015179309.1, XP_015188211.1, XP_015188462.1, XP_015189731.1, XP_015177511.1, XP_015177513.1, XP_015177512.1, XP_015188691.1, XP_015189818.1, XP_015188693.1	XP_037874252.1, NP_001296528.1, XP_004927603.2, NP_001073134.1, NP_001103833.1
OG0000096	XP_015179711.1, XP_015179710.1, XP_015179714.1, XP_015179713.1	XP_004933352.2
OG0000097	XP_015172032.1, XP_015172041.1, XP_015182319.1, XP_015182320.1, XP_015177848.1	XP_012544532.1, XP_037871911.1, XP_004924657.1
OG0000098	XP_015183431.1, XP_015183430.1, XP_015183429.1, XP_015183432.1, XP_015183427.1, XP_015183428.1	XP_037867250.1, XP_037867248.1, XP_037867247.1, XP_037867246.1, XP_037867249.1
OG0000099	XP_015176643.1	XP_012551708.2
OG0000099	XP_015176645.1	XP_004933046.1
OG0000099	XP_015179938.1	XP_037876655.1
OG0000101	XP_015178204.1, XP_015178201.1	XP_037875936.1, NP_001037053.1, NP_001040462.1, XP_037875581.1
OG0000102	XP_015177204.1, XP_015177230.1, XP_015177232.1	XP_004925858.1, XP_037872752.1, XP_021205415.1, XP_004929095.1
OG0000103	XP_015173914.1	XP_037869904.1
OG0000104	XP_015187529.1, XP_015189625.1	XP_037870351.1, XP_037875874.1, XP_037866967.1, XP_037873354.1, XP_037869587.1, XP_037872508.1, XP_037868129.1, XP_037871377.1, XP_037875878.1, XP_037871664.1, XP_037874352.1, XP_037876062.1, XP_037875901.1, XP_037875914.1, XP_037876376.1, XP_037870855.1, XP_012545500.1
OG0000108	XP_015181990.1, XP_015182011.1, XP_015191850.1	XP_004923866.1, XP_012545628.2, XP_037876582.1, XP_021203645.2, XP_021203646.2, XP_037876625.1, XP_037876626.1, XP_012551634.2, XP_004932336.1
OG0000109	XP_015175909.1, XP_015175910.1, XP_015175911.1, XP_015175907.1	XP_021205885.1
OG0000110	XP_015177093.1, XP_015180892.1	XP_037872696.1, XP_037872695.1, XP_037872710.1, XP_037872709.1
OG0000111	XP_015175971.1	XP_037868928.1, XP_037868924.1, XP_004922902.1, XP_004931121.1
OG0000111	XP_015188005.1	XP_004927517.1
OG0000112	XP_015180272.1, XP_015180273.1	NP_001240824.1, XP_012546717.1
OG0000113	XP_015185884.1, XP_015172979.1, XP_015172980.1	XP_004929660.1, XP_004925443.2, XP_012545237.2
OG0000114	XP_015171118.1	XP_037876113.1, NP_001036844.1
OG0000114	XP_015171119.1	XP_037876437.1
OG0000115	XP_015171184.1, XP_015171185.1, XP_015183848.1, XP_015183846.1	NP_001037077.1, XP_012544300.1, NP_001036994.1
OG0000117	XP_015176195.1	NP_001040298.1
OG0000117	XP_015171648.1, XP_015171595.1	NP_001233214.1, XP_012552766.1
OG0000118	XP_015179538.1	XP_037872962.1
OG0000119	XP_015178611.1, XP_015178609.1, XP_015178605.1, XP_015178601.1	XP_037869697.1
OG0000120	XP_015171646.1, XP_015171649.1, XP_015171650.1, XP_015171651.1, XP_015171644.1, XP_015171645.1, XP_015171647.1	XP_021207126.2
OG0000121	XP_015189427.1	XP_004923242.2
OG0000122	XP_015172140.1	XP_037871005.1
OG0000122	XP_015182416.1, XP_015182415.1	XP_021202268.1, XP_012544010.1, XP_037868883.1, XP_004924046.1
OG0000123	XP_015185661.1, XP_015185658.1, XP_015185659.1, XP_015185654.1, XP_015185655.1, XP_015185656.1, XP_015185657.1, XP_015185653.1, XP_015185660.1	NP_001037614.1, XP_012548321.1
OG0000124	XP_015173329.1, XP_015173327.1, XP_015173328.1	XP_037871306.1, XP_037871307.1, XP_021208751.2
OG0000125	XP_015191429.1	XP_004926881.1, XP_012546430.1, XP_012547144.2
OG0000126	XP_015180002.1, XP_015180011.1, XP_015180021.1, XP_015179995.1	XP_012549565.1, NP_001037319.1
OG0000127	XP_015178412.1, XP_015178414.1, XP_015189033.1	XP_012551315.1, NP_001037024.1
OG0000127	XP_015188504.1	NP_001189458.1, XP_012551311.1
OG0000129	XP_015185341.1, XP_015185342.1	XP_021203173.1
OG0000130	XP_015177984.1, XP_015177985.1, XP_015177986.1	NP_001108469.1
OG0000130	XP_015178018.1, XP_015178019.1	XP_012548931.3
OG0000131	XP_015188702.1	XP_004931759.1
OG0000131	XP_015181077.1, XP_015181078.1	NP_001091755.1
OG0000132	XP_015173499.1, XP_015173500.1	NP_001164651.1, XP_037870176.1
OG0000132	XP_015188177.1	NP_001164650.1
OG0000133	XP_015173823.1	XP_021207866.1, XP_004932639.1
OG0000135	XP_015176354.1	NP_001108336.1, XP_021202711.1
OG0000135	XP_015190379.1, XP_015190377.1, XP_015190378.1	NP_001166873.1, XP_037875522.1
OG0000135	XP_015186255.1	NP_001108335.1
OG0000136	XP_015182073.1	XP_037876368.1, XP_004927026.1
OG0000137	XP_015174184.1, XP_015176307.1	XP_037868770.1
OG0000138	XP_015173336.1, XP_015173335.1, XP_015173334.1, XP_015173333.1, XP_015181777.1	XP_037868949.1, XP_004925223.3
OG0000139	XP_015184451.1, XP_015184450.1, XP_015184449.1	XP_021208530.2, XP_004922757.1, XP_004922758.1, XP_004927864.1
OG0000141	XP_015172584.1	XP_004931634.1
OG0000141	XP_015178844.1, XP_015178845.1	XP_021207972.2
OG0000143	XP_015188708.1, XP_015188709.1, XP_015188710.1	XP_037870673.1, NP_001040254.1, XP_004927859.1
OG0000144	XP_015177945.1, XP_015177944.1, XP_015177942.1	XP_021207362.2, NP_001243953.1, NP_001037590.1, XP_004931806.2, NP_001106747.2
OG0000145	XP_015182419.1, XP_015182420.1, XP_015182418.1, XP_015182421.1, XP_015191830.1, XP_015191831.1, XP_015191832.1	XP_021209325.1, XP_037876916.1, XP_004923491.1
OG0000146	XP_015178326.1, XP_015178324.1	XP_004928716.1, XP_037871222.1, XP_004922825.1, XP_021204999.1, NP_001106739.1, NP_001106231.1
OG0000147	XP_015188786.1, XP_015188787.1, XP_015188785.1, XP_015188788.1, XP_015172908.1	XP_004933126.1
OG0000149	XP_015183082.1	XP_037875543.1
OG0000149	XP_015183081.1, XP_015183080.1, XP_015183079.1	XP_004924927.1, XP_004924928.1
OG0000150	XP_015187534.1, XP_015187533.1, XP_015187535.1, XP_015187536.1	XP_037869165.1, XP_037869166.1, XP_037869163.1, XP_037869164.1
OG0000151	XP_015179752.1, XP_015179751.1, XP_015179755.1, XP_015179753.1, XP_015179750.1	XP_037867739.1, XP_021208204.1, XP_021208205.1
OG0000152	XP_015177279.1	XP_021205393.1
OG0000153	XP_015183219.1, XP_015183220.1, XP_015183221.1, XP_015183223.1, XP_015183222.1, XP_015183224.1	XP_037871508.1, XP_037871509.1, XP_037871510.1, XP_037871505.1
OG0000154	XP_015178505.1, XP_015178503.1, XP_015178507.1, XP_015178506.1	XP_037873529.1
OG0000156	XP_015190200.1, XP_015190202.1, XP_015190201.1, XP_015190205.1, XP_015190203.1, XP_015190204.1	XP_021206155.2
OG0000157	XP_015176246.1	XP_037869375.1
OG0000158	XP_015180258.1, XP_015180556.1, XP_015179489.1, XP_015179488.1	XP_021204632.1
OG0000160	XP_015185930.1	XP_004925382.2
OG0000160	XP_015184081.1	XP_004925399.2, XP_004925398.1
OG0000161	XP_015176784.1	NP_001182393.1
OG0000162	XP_015186367.1	NP_001103389.1, XP_037868604.1
OG0000162	XP_015182682.1	NP_001103388.1, XP_021203288.2
OG0000164	XP_015180421.1, XP_015180420.1	XP_021205850.1
OG0000164	XP_015191636.1, XP_015191547.1, XP_015191637.1, XP_015191588.1	XP_037875027.1, XP_037872511.1
OG0000165	XP_015185448.1	XP_012547188.1, XP_021204892.1
OG0000165	XP_015174982.1	XP_012551706.2
OG0000166	XP_015173109.1, XP_015173102.1, XP_015173096.1, XP_015173094.1, XP_015173098.1	XP_037868137.1
OG0000168	XP_015190714.1, XP_015190715.1	XP_037873451.1
OG0000169	XP_015174834.1, XP_015178625.1, XP_015181526.1	NP_001243963.1, NP_001243962.1, NP_001243959.1, NP_001243958.1, NP_001243955.1, NP_001243956.1, NP_001243957.1, NP_001243991.1, NP_001135960.1, NP_001040425.1, NP_001243995.1, NP_001243978.1, NP_001127730.1
OG0000170	XP_015191093.1, XP_015191092.1	XP_021202707.2
OG0000170	XP_015191094.1, XP_015191097.1, XP_015191098.1	XP_004924795.2
OG0000171	XP_015174391.1, XP_015174730.1	NP_001296478.1, XP_037876331.1, XP_037876328.1
OG0000173	XP_015173985.1, XP_015173987.1, XP_015173988.1, XP_015173989.1	NP_001093316.1
OG0000174	XP_015191732.1, XP_015191730.1, XP_015191731.1	NP_001040490.1, XP_037874321.1
OG0000175	XP_015184505.1, XP_015184496.1, XP_015184487.1, XP_015184522.1, XP_015184514.1	NP_001040124.1
OG0000176	XP_015179485.1	XP_037868940.1, XP_037870006.1, XP_037876480.1, XP_037869968.1, XP_037867396.1
OG0000177	XP_015191041.1	XP_004931030.1
OG0000177	XP_015190999.1	XP_004931031.2
OG0000178	XP_015179140.1	XP_037871996.1, XP_004924483.2
OG0000179	XP_015183599.1	NP_001040172.1, XP_021206181.1
OG0000179	XP_015184549.1	NP_001037301.1
OG0000180	XP_015171486.1, XP_015171485.1, XP_015171484.1	XP_004930542.1
OG0000181	XP_015183736.1, XP_015183737.1, XP_015183738.1, XP_015183741.1, XP_015183739.1, XP_015183735.1	NP_001037380.1, XP_037871534.1
OG0000182	XP_015177676.1, XP_015177666.1, XP_015177685.1, XP_015177651.1, XP_015177659.1	XP_037866789.1
OG0000183	XP_015181592.1	XP_004930975.1
OG0000187	XP_015180155.1, XP_015180146.1, XP_015180136.1	XP_004929301.1
OG0000188	XP_015176881.1, XP_015174592.1	NP_001037050.1
OG0000189	XP_015173121.1, XP_015173134.1	XP_037875495.1, XP_037875337.1
OG0000189	XP_015171025.1	XP_037875292.1, XP_037875291.1
OG0000190	XP_015184945.1	XP_004931167.1
OG0000191	XP_015179465.1, XP_015179466.1	XP_037872497.1, XP_037875388.1, XP_021208965.1, XP_021208964.2
OG0000192	XP_015178452.1	XP_021207317.1
OG0000195	XP_015179161.1	NP_001037076.1, NP_001124371.1, NP_001124372.2, NP_001165396.1, XP_004922067.1, XP_004922068.1, NP_001091784.1
OG0000196	XP_015178964.1	XP_012545232.2
OG0000196	XP_015174639.1	XP_004929740.2, XP_021205898.2, XP_004929623.3, XP_021205897.2
OG0000198	XP_015173178.1	XP_037870155.1
OG0000200	XP_015187594.1	XP_012550244.1, NP_001036841.1
OG0000200	XP_015178431.1, XP_015178427.1	NP_001036881.1
OG0000201	XP_015179138.1	XP_004930370.2
OG0000202	XP_015177652.1, XP_015177653.1, XP_015177655.1, XP_015177654.1	NP_001281213.1
OG0000203	XP_015176004.1	XP_004930258.2, XP_037876006.1
OG0000203	XP_015174579.1, XP_015174578.1	XP_037867417.1
OG0000204	XP_015182497.1, XP_015177887.1, XP_015179941.1	XP_012547643.2, XP_037873174.1, XP_021205107.1, XP_004928344.1, XP_012547605.1, XP_004928345.1, XP_037873267.1
OG0000205	XP_015183111.1, XP_015183110.1	NP_001243944.1
OG0000206	XP_015186289.1	XP_004924015.1
OG0000206	XP_015186290.1, XP_015186291.1	XP_004922930.2
OG0000207	XP_015175962.1	NP_001037594.1
OG0000207	XP_015186420.1, XP_015186417.1	NP_001091793.1, XP_004930513.3
OG0000208	XP_015186385.1	XP_037869032.1, NP_001103395.1
OG0000209	XP_015184955.1	XP_037869646.1, XP_004932917.2, XP_037869645.1, XP_012551601.2, XP_012551602.2, XP_012551603.2
OG0000210	XP_015177416.1, XP_015180468.1	XP_012544085.3
OG0000210	XP_015185061.1	XP_037866888.1, XP_037866887.1
OG0000212	XP_015179526.1, XP_015179527.1, XP_015185495.1, XP_015185494.1	XP_037869182.1, NP_001106228.1
OG0000213	XP_015189481.1	XP_004922013.1
OG0000214	XP_015190491.1	NP_001040475.1
OG0000214	XP_015175994.1	NP_001040198.1, XP_037870587.1
OG0000215	XP_015185000.1, XP_015185001.1	XP_037866848.1, XP_004930044.1
OG0000216	XP_015185916.1	NP_001108343.1
OG0000217	XP_015186718.1	XP_021203021.2, XP_012548700.2, XP_004933855.2, XP_037870903.1
OG0000218	XP_015174590.1, XP_015174588.1, XP_015174591.1	XP_004930688.1
OG0000219	XP_015173758.1, XP_015173757.1, XP_015173756.1	XP_004931785.1
OG0000221	XP_015184406.1	XP_037867521.1, XP_021207573.1, XP_021207493.1, XP_004922691.2, XP_012551723.1, XP_012551720.1, XP_004922638.1, XP_037871234.1, XP_037877580.1, XP_037872846.1, XP_037877505.1, XP_037872849.1, XP_037872848.1, XP_037877503.1, XP_037877504.1, XP_037877506.1, XP_037877501.1, XP_037877502.1, XP_037872850.1, XP_037877579.1, XP_037877510.1, XP_037877561.1, XP_037877562.1
OG0000223	XP_015186521.1	NP_001037450.1, NP_001128672.1, XP_012550372.1, NP_001036840.1
OG0000224	XP_015174244.1	XP_012545493.1, NP_001036891.1
OG0000225	XP_015171829.1, XP_015171828.1, XP_015176375.1	NP_001040252.1
OG0000227	XP_015177648.1, XP_015177645.1	XP_012550182.2, XP_004931163.3, XP_012550180.2
OG0000228	XP_015189827.1, XP_015189765.1	XP_037874874.1
OG0000229	XP_015186538.1	XP_004928517.1, XP_012547831.1
OG0000230	XP_015174525.1, XP_015174526.1, XP_015187246.1, XP_015187244.1, XP_015187242.1, XP_015187243.1	XP_021208331.1, XP_004933333.1
OG0000231	XP_015174418.1, XP_015174419.1	XP_037871854.1, XP_037877315.1
OG0000232	XP_015185539.1, XP_015185538.1, XP_015185537.1	XP_012546482.1, NP_001040472.1
OG0000233	XP_015178474.1	XP_004928912.1, XP_004928913.2
