Orthogroup	Polistes_dominula	Bombus_terrestris
OG0000008	XP_015180327.1, XP_015180328.1	XP_012168771.1
OG0000008	XP_015180322.1, XP_015180321.1, XP_015180323.1	XP_003398745.1
OG0000008	XP_015180324.1, XP_015180325.1	XP_003402021.1, XP_012173573.1, XP_003402067.2, XP_003402064.1, XP_012173606.2, XP_003403320.2, XP_012176687.1, XP_012176691.1, XP_003394740.1, XP_020718362.1, XP_020718363.1, XP_020718364.1, XP_020718365.1, XP_012176686.1, XP_012176685.1, XP_012176683.1, XP_003394739.1, XP_012176688.1, XP_012176689.1, XP_012176690.1, XP_020721002.1
OG0000009	XP_015177367.1	XP_003393388.3
OG0000009	XP_015177306.1, XP_015177200.1, XP_015177307.1, XP_015177305.1	XP_003393376.1, XP_003393377.1, XP_020723850.1, XP_003393379.1
OG0000012	XP_015181488.1	XP_003402915.1
OG0000012	XP_015181463.1	XP_020723675.1
OG0000012	XP_015184231.1	XP_003401050.2
OG0000012	XP_015184244.1	XP_003401048.1
OG0000013	XP_015172623.1	XP_003392965.1, XP_003392969.1
OG0000013	XP_015174269.1	XP_020718381.1
OG0000013	XP_015172185.1	XP_003400771.1, XP_003400772.1
OG0000014	XP_015177523.1	XP_012175524.1, XP_003393114.1
OG0000017	XP_015172927.1, XP_015172893.1, XP_015172912.1, XP_015172903.1, XP_015172883.1	XP_012175461.1, XP_012175513.1, XP_012175528.1
OG0000017	XP_015180943.1, XP_015180944.1	XP_012172021.1, XP_012172020.1, XP_012172019.1, XP_012172018.1, XP_020722711.1, XP_012172017.1
OG0000017	XP_015180945.1	XP_012172050.1
OG0000018	XP_015184408.1	XP_012169775.2
OG0000018	XP_015186827.1	XP_012169298.1
OG0000018	XP_015186828.1	XP_003399081.1
OG0000019	XP_015184618.1, XP_015184619.1, XP_015189804.1, XP_015189805.1	XP_003398973.1, XP_020721097.1, XP_020721100.1, XP_020721101.1, XP_020721098.1, XP_020721099.1
OG0000019	XP_015182221.1, XP_015189673.1	XP_003401949.1
OG0000020	XP_015172633.1	XP_012167183.1
OG0000020	XP_015183576.1	XP_003394639.2
OG0000020	XP_015171445.1	XP_003393559.1
OG0000020	XP_015183950.1, XP_015183951.1, XP_015183952.1	XP_003403319.2
OG0000020	XP_015184365.1	XP_012174530.1, XP_012170523.1
OG0000020	XP_015181633.1	XP_020723566.1
OG0000021	XP_015183660.1, XP_015183652.1, XP_015183642.1, XP_015183675.1, XP_015183668.1	XP_012171597.1, XP_020722326.1, XP_003400632.1
OG0000021	XP_015184436.1	XP_003396414.1, XP_012165450.1, XP_012165451.1
OG0000021	XP_015190080.1	XP_012169135.1
OG0000021	XP_015188837.1	XP_020722863.1, XP_003403430.2
OG0000021	XP_015183774.1, XP_015183791.1, XP_015183783.1	XP_012171598.1, XP_012171599.1, XP_003400635.1
OG0000022	XP_015173497.1	XP_003394856.1
OG0000024	XP_015188584.1, XP_015188403.1, XP_015171793.1	XP_003402753.1
OG0000024	XP_015182123.1	XP_012165904.1, XP_012165907.1, XP_012165906.1
OG0000024	XP_015181825.1	XP_003401519.1
OG0000024	XP_015181824.1	XP_003401520.1
OG0000026	XP_015187707.1, XP_015187708.1, XP_015187709.1, XP_015187706.1	XP_020719884.1, XP_003397076.1, XP_012166367.1, XP_012166366.1, XP_012166369.1, XP_012166368.1
OG0000026	XP_015191534.1	XP_003402888.1
OG0000026	XP_015187302.1	XP_003402887.1, XP_012174757.1
OG0000027	XP_015172634.1	XP_003392964.1, XP_003392970.1
OG0000027	XP_015190876.1, XP_015177661.1, XP_015177662.1, XP_015172645.1	XP_012166136.1
OG0000028	XP_015180764.1, XP_015189418.1, XP_015189902.1	XP_012174214.1, XP_012167645.1, XP_020723728.1
OG0000029	XP_015185507.1	XP_003399852.3
OG0000029	XP_015172137.1	XP_020721315.1
OG0000030	XP_015180792.1, XP_015180789.1, XP_015172637.1	XP_020720274.1
OG0000030	XP_015187915.1, XP_015185971.1, XP_015185973.1, XP_015185974.1, XP_015185972.1, XP_015189947.1, XP_015189898.1, XP_015186637.1, XP_015189768.1, XP_015189842.1, XP_015186005.1, XP_015189795.1, XP_015189846.1, XP_015177899.1, XP_015186006.1, XP_015189579.1, XP_015189757.1, XP_015189580.1, XP_015189727.1, XP_015189305.1, XP_015189905.1, XP_015189578.1, XP_015186638.1	XP_012170594.1, XP_003399944.1
OG0000032	XP_015190440.1	XP_020723342.1
OG0000032	XP_015182537.1, XP_015182533.1	XP_003398435.1, XP_012174894.1, XP_003403021.1, XP_003398436.1, XP_003398432.1, XP_003398434.1
OG0000034	XP_015185288.1	XP_012169049.1, XP_012169050.1, XP_012175294.2, XP_020721191.1, XP_020721239.1, XP_012169504.1, XP_020721189.1, XP_020721190.1, XP_012169044.2, XP_020721192.1, XP_012169499.2
OG0000035	XP_015172482.1	XP_003394979.1
OG0000036	XP_015175890.1	XP_020719450.1, XP_003401763.1, XP_003401255.1, XP_003401254.1
OG0000036	XP_015174610.1	XP_003401252.1
OG0000036	XP_015174768.1	XP_012172397.1
OG0000037	XP_015184679.1	XP_003403001.3
OG0000038	XP_015179360.1	XP_003399700.1
OG0000038	XP_015179091.1	XP_003401138.1
OG0000038	XP_015185565.1	XP_012172201.2
OG0000038	XP_015184119.1	XP_012172637.1
OG0000039	XP_015189306.1, XP_015189985.1	XP_012175480.1
OG0000040	XP_015176238.1	XP_003402742.1
OG0000040	XP_015175500.1	XP_003393535.1
OG0000040	XP_015186212.1	XP_012164479.1
OG0000041	XP_015179142.1	XP_003394488.1
OG0000041	XP_015179139.1, XP_015179141.1	XP_003394490.1
OG0000042	XP_015186594.1, XP_015186595.1, XP_015186596.1, XP_015189781.1, XP_015189581.1, XP_015189834.1, XP_015171566.1, XP_015171565.1, XP_015171564.1, XP_015171563.1, XP_015171562.1	NP_001272327.1, XP_012163186.1
OG0000042	XP_015171717.1, XP_015171718.1, XP_015171719.1	NP_001267818.1
OG0000043	XP_015177490.1, XP_015177491.1	XP_003392868.1
OG0000043	XP_015187201.1	XP_012173547.1
OG0000044	XP_015184599.1	XP_020723251.1
OG0000045	XP_015183311.1, XP_015183284.1	XP_003395914.2
OG0000045	XP_015173221.1	XP_003403314.1, XP_020719958.1, XP_003402225.2
OG0000045	XP_015183312.1	XP_012164669.1
OG0000045	XP_015172085.1	XP_020718668.1, XP_020718669.1, XP_020718666.1, XP_020718667.1, XP_020718665.1, XP_020718671.1, XP_020718670.1
OG0000046	XP_015179269.1	XP_012176148.2
OG0000046	XP_015177712.1	XP_003397462.1
OG0000048	XP_015178594.1	XP_020720387.1
OG0000050	XP_015187332.1, XP_015175623.1	XP_003398997.1
OG0000052	XP_015186733.1	XP_003397480.1
OG0000053	XP_015189792.1, XP_015186004.1	XP_020721322.1, XP_012174238.1, XP_020718269.1, XP_012169490.1
OG0000054	XP_015175390.1	XP_012175318.1
OG0000054	XP_015175295.1, XP_015175296.1, XP_015175389.1	XP_003402283.1, XP_003403304.1, XP_003403303.1
OG0000055	XP_015171080.1	XP_003401668.1, XP_020722884.1
OG0000055	XP_015176664.1	XP_012170773.1
OG0000055	XP_015173765.1, XP_015173767.1	XP_012170213.1
OG0000056	XP_015176704.1	XP_020723650.1
OG0000056	XP_015178312.1	XP_020721195.1
OG0000056	XP_015175416.1	XP_003399457.3
OG0000056	XP_015181793.1	XP_020723637.1
OG0000056	XP_015173622.1	XP_020718834.1
OG0000056	XP_015181325.1	XP_020720993.1
OG0000057	XP_015171970.1	XP_003395180.1
OG0000057	XP_015173587.1	XP_003400373.1
OG0000057	XP_015171878.1	XP_003395196.1
OG0000057	XP_015171877.1	XP_003395170.1
OG0000057	XP_015171777.1	XP_003395225.1
OG0000058	XP_015182294.1, XP_015182349.1, XP_015182350.1	XP_020722072.1
OG0000060	XP_015181080.1, XP_015181079.1	XP_020721716.1
OG0000061	XP_015188543.1	XP_003392898.1
OG0000061	XP_015177990.1	XP_020723139.1, XP_020723140.1, XP_020723141.1, XP_020723142.1
OG0000062	XP_015179445.1	XP_012175695.2
OG0000062	XP_015173092.1	XP_012169969.1
OG0000062	XP_015178479.1	XP_012170000.1
OG0000064	XP_015178584.1, XP_015185301.1, XP_015185287.1, XP_015185289.1, XP_015185300.1	XP_020721662.1, XP_020723854.1, XP_003399526.1, XP_012169978.1, XP_020721562.1, XP_003402807.2, XP_020721563.1, XP_012169979.1, XP_012170046.1
OG0000065	XP_015174229.1, XP_015174230.1, XP_015174227.1, XP_015174228.1, XP_015174231.1	XP_003398334.1
OG0000067	XP_015179349.1	XP_003397328.1
OG0000067	XP_015185638.1	XP_003400944.1
OG0000067	XP_015180637.1	XP_012169196.1
OG0000067	XP_015182629.1	XP_020722130.1
OG0000069	XP_015175625.1	XP_012169151.1, XP_020721324.1
OG0000069	XP_015175624.1	XP_012169153.1
OG0000070	XP_015181201.1	XP_012167616.1, XP_012167493.1, XP_012167618.1, XP_012167489.1, XP_012167619.1
OG0000070	XP_015181189.1	XP_012167492.2, XP_012167490.1, XP_020720119.1
OG0000073	XP_015173919.1	XP_020722566.1, XP_020719067.1, XP_020719074.1, XP_003393329.1
OG0000074	XP_015188226.1, XP_015188225.1, XP_015174533.1, XP_015179365.1, XP_015174735.1	XP_012175299.1
OG0000077	XP_015188023.1	NP_001267840.1
OG0000077	XP_015179002.1, XP_015185970.1	XP_012166572.2
OG0000078	XP_015185284.1, XP_015185291.1, XP_015185285.1	XP_020723334.1, XP_020723842.1
OG0000079	XP_015174902.1	XP_020718406.1
OG0000079	XP_015176401.1	XP_020718407.1
OG0000079	XP_015176392.1	XP_020718411.1
OG0000080	XP_015185202.1, XP_015185201.1, XP_015185203.1	XP_003399522.1
OG0000080	XP_015188705.1, XP_015188706.1	XP_012169830.1
OG0000080	XP_015185196.1	XP_012169831.1
OG0000081	XP_015179051.1, XP_015179053.1, XP_015179052.1, XP_015179158.1, XP_015179157.1	XP_003401176.1
OG0000082	XP_015175969.1	XP_012171772.1
OG0000082	XP_015175974.1	XP_012171770.1
OG0000082	XP_015175968.1	XP_012171768.1, XP_003400713.1, XP_020722282.1, XP_003400712.1
OG0000084	XP_015180887.1	XP_003393656.1
OG0000084	XP_015180880.1	XP_012172250.1
OG0000085	XP_015172015.1	XP_012164376.1, XP_003395843.1, XP_012164375.1, XP_012164374.1
OG0000085	XP_015179519.1, XP_015175778.1, XP_015175777.1, XP_015175779.1	XP_012176300.1, XP_012176301.1, XP_020724351.1, XP_003394432.1, XP_003394433.1
OG0000086	XP_015175698.1	XP_012172254.1
OG0000087	XP_015179311.1	XP_012172367.1
OG0000087	XP_015179470.1, XP_015179472.1, XP_015179471.1, XP_015179473.1	XP_012172361.1, XP_012172362.1, XP_012172358.1, XP_012172360.1, XP_012172363.1
OG0000088	XP_015175828.1	XP_003398593.1
OG0000089	XP_015191649.1	XP_003397324.1, XP_003397322.1, XP_003397323.1, XP_012166700.1, XP_012166697.1
OG0000089	XP_015191842.1	XP_003396210.1
OG0000090	XP_015177657.1, XP_015177658.1, XP_015187981.1, XP_015189703.1, XP_015177660.1, XP_015187339.1, XP_015182594.1	XP_012174871.1
OG0000090	XP_015185985.1	XP_012174400.2, XP_012171815.1
OG0000091	XP_015190282.1, XP_015190273.1	XP_020721177.1, XP_003402576.2, XP_020721343.1, XP_012169463.2
OG0000092	XP_015182560.1	XP_020718694.1
OG0000092	XP_015171266.1	XP_020718989.1, XP_003395974.1
OG0000092	XP_015171261.1	XP_020718993.1, XP_020718992.1, XP_003395973.1
OG0000092	XP_015180692.1	XP_003400287.1, XP_012171069.1
OG0000094	XP_015176150.1, XP_015184885.1	XP_012164578.1
OG0000094	XP_015189233.1	XP_012170607.1
OG0000094	XP_015175380.1	XP_003399925.2
OG0000095	XP_015179352.1, XP_015179379.1, XP_015187338.1, XP_015179387.1, XP_015179306.1, XP_015187259.1, XP_015179367.1, XP_015179368.1, XP_015179309.1, XP_015188211.1, XP_015188462.1, XP_015189731.1, XP_015177511.1, XP_015177513.1, XP_015177512.1, XP_015188691.1, XP_015189818.1, XP_015188693.1	XP_003398964.1
OG0000096	XP_015179711.1, XP_015179710.1, XP_015179714.1, XP_015179713.1	XP_003400671.1, XP_003400637.1
OG0000096	XP_015178304.1	XP_003395393.1, XP_012166067.2
OG0000097	XP_015172032.1, XP_015172041.1	XP_012170206.1, XP_003399689.1
OG0000097	XP_015182319.1, XP_015182320.1, XP_015177848.1	XP_012173498.1, XP_020723033.1
OG0000098	XP_015183431.1, XP_015183430.1, XP_015183429.1, XP_015183432.1, XP_015183427.1, XP_015183428.1	XP_012168084.1, XP_012168083.1, XP_012168086.1, XP_012168085.1, XP_003398369.1
OG0000099	XP_015176643.1	XP_020722786.1
OG0000099	XP_015176645.1	XP_012172596.1
OG0000099	XP_015179938.1	XP_020722424.1
OG0000100	XP_015189083.1, XP_015189082.1, XP_015189085.1, XP_015189084.1, XP_015189086.1, XP_015189080.1, XP_015189081.1	XP_003399794.1, XP_020721436.1, XP_020721435.1, XP_012170386.1, XP_012170387.1, XP_012170385.1, XP_012170380.1, XP_012170379.1
OG0000101	XP_015184968.1	XP_003397360.1
OG0000101	XP_015178204.1, XP_015178201.1	XP_020719744.1
OG0000102	XP_015177204.1	XP_020722917.1
OG0000102	XP_015177232.1	XP_012173277.1
OG0000103	XP_015173914.1	XP_012168396.1, XP_012168395.1, XP_020720588.1
OG0000103	XP_015174400.1, XP_015174392.1	XP_012168399.1
OG0000103	XP_015174420.1, XP_015174451.1, XP_015174437.1, XP_015174429.1, XP_015174443.1, XP_015174411.1	XP_012168403.1
OG0000106	XP_015189668.1	XP_003393433.2
OG0000106	XP_015179304.1	XP_012164627.2
OG0000107	XP_015172211.1, XP_015172212.1	XP_012169401.1, XP_020720964.1
OG0000108	XP_015181990.1, XP_015182011.1, XP_015191850.1	XP_012174803.1
OG0000109	XP_015175909.1, XP_015175910.1, XP_015175911.1, XP_015175907.1	XP_003398706.1, XP_003398707.1
OG0000110	XP_015177093.1	XP_003400537.1, XP_012171442.1, XP_012171440.1, XP_012171439.1
OG0000110	XP_015180892.1	XP_003400818.1
OG0000111	XP_015175971.1	XP_012165042.1
OG0000111	XP_015188005.1	XP_012173034.1
OG0000112	XP_015188234.1, XP_015188235.1, XP_015188236.1	XP_012168598.1, XP_020720998.1, XP_012168597.1, XP_012168596.1, XP_012168595.1
OG0000112	XP_015180272.1, XP_015180273.1	XP_012163934.1
OG0000113	XP_015172979.1, XP_015172980.1	XP_020718272.1, XP_003394925.1
OG0000114	XP_015171118.1	XP_020718755.1
OG0000114	XP_015171119.1	XP_020718756.1
OG0000115	XP_015171184.1, XP_015171185.1	XP_003395150.1, XP_003395075.1
OG0000115	XP_015183848.1, XP_015183846.1	XP_012163601.1
OG0000116	XP_015173852.1, XP_015173854.1, XP_015173853.1	XP_012167612.1, XP_020720167.1, XP_020720163.1, XP_020720164.1, XP_020720166.1, XP_012167610.1, XP_012167613.1, XP_020720165.1, XP_003397905.1, XP_003397904.1, XP_012167611.1, XP_003397903.1
OG0000116	XP_015173840.1, XP_015173841.1	XP_020720215.1, XP_003397775.1
OG0000117	XP_015176195.1	XP_012176486.1
OG0000117	XP_015171648.1, XP_015171595.1	XP_003398039.1
OG0000119	XP_015178611.1, XP_015178609.1, XP_015178605.1, XP_015178601.1	XP_020720337.1, XP_020720348.1, XP_020720338.1, XP_020720336.1, XP_020720341.1
OG0000120	XP_015171646.1, XP_015171649.1, XP_015171650.1, XP_015171651.1, XP_015171644.1, XP_015171645.1, XP_015171647.1	XP_003400542.1, XP_012171451.1, XP_012171452.1, XP_012171449.1, XP_012171450.1, XP_012171447.1, XP_012171454.1, XP_012171455.1
OG0000122	XP_015172102.1	XP_012165001.1
OG0000122	XP_015172140.1	XP_012174370.1
OG0000122	XP_015182416.1	XP_003401982.1
OG0000122	XP_015182415.1	XP_012173486.1
OG0000123	XP_015185661.1, XP_015185658.1, XP_015185659.1, XP_015185654.1, XP_015185655.1, XP_015185656.1, XP_015185657.1, XP_015185653.1, XP_015185660.1	XP_003397633.1, XP_012167209.1, XP_012167212.1, XP_012167211.1, XP_012167208.1, XP_012167210.1
OG0000124	XP_015173329.1, XP_015173327.1, XP_015173328.1	XP_012164839.1
OG0000125	XP_015191429.1	XP_003402889.2, XP_003402892.1, XP_003402547.3
OG0000126	XP_015180002.1, XP_015180011.1, XP_015180021.1, XP_015179995.1	XP_012173626.1, XP_003402194.1, XP_020723219.1, XP_020723220.1, XP_020723218.1, XP_012173627.1
OG0000127	XP_015189033.1	XP_003393060.1, XP_003393061.1, XP_012163415.1, XP_012163409.1
OG0000127	XP_015188504.1	XP_003393059.1, XP_020718439.1, XP_020718434.1
OG0000129	XP_015185341.1, XP_015185342.1	XP_003398638.1, XP_012168489.1, XP_012168490.1, XP_012168488.1, XP_012168487.1, XP_012168486.1, XP_012168485.1, XP_012168484.1
OG0000130	XP_015177984.1	XP_020719394.1, XP_003396651.1
OG0000130	XP_015177985.1, XP_015177986.1	XP_020719405.1, XP_003396650.1, XP_012165703.1
OG0000130	XP_015178018.1, XP_015178019.1	XP_003396649.1, XP_012165702.1
OG0000131	XP_015188702.1	XP_003398970.1
OG0000131	XP_015181077.1, XP_015181078.1	XP_003396371.1
OG0000132	XP_015173499.1, XP_015173500.1	XP_003402425.1
OG0000132	XP_015188177.1	XP_003402485.1
OG0000133	XP_015173823.1	XP_012176311.1, XP_020724157.1, XP_020724156.1, XP_020724158.1
OG0000133	XP_015171178.1	XP_012168402.1
OG0000135	XP_015176354.1	XP_003393370.1
OG0000135	XP_015190379.1, XP_015190377.1, XP_015190378.1	XP_003393110.1
OG0000135	XP_015186255.1	XP_003394582.1
OG0000136	XP_015182073.1	XP_012165909.1, XP_020719676.1, XP_012165896.1, XP_020723712.1, XP_003396782.1, XP_003402992.1
OG0000137	XP_015174184.1	XP_012164639.1, XP_012164637.1, XP_012164636.1, XP_012164638.1
OG0000137	XP_015176307.1	XP_012170724.1
OG0000138	XP_015173336.1, XP_015173335.1, XP_015173334.1, XP_015173333.1	XP_003397345.2, XP_012166619.1
OG0000138	XP_015181777.1	XP_003397339.1
OG0000139	XP_015184451.1, XP_015184450.1	XP_003399181.1
OG0000139	XP_015184449.1	XP_003399195.1
OG0000140	XP_015172454.1	XP_020722092.1, XP_012171285.1, XP_003400470.1
OG0000141	XP_015172584.1	XP_003400951.1
OG0000141	XP_015178844.1, XP_015178845.1	XP_012174890.1, XP_003396959.1
OG0000142	XP_015177690.1	XP_012175459.1, XP_020721950.1, XP_020721953.1, XP_012170791.1, XP_012170790.1, XP_020721952.1
OG0000143	XP_015188708.1	XP_003393823.1
OG0000143	XP_015188709.1, XP_015188710.1	XP_020722543.1, XP_012175058.1, XP_020722547.1, XP_020722544.1, XP_020722545.1
OG0000144	XP_015177945.1	XP_003401782.1
OG0000144	XP_015177942.1	XP_003401781.1
OG0000145	XP_015182419.1, XP_015182420.1, XP_015182418.1, XP_015182421.1	XP_003393298.1
OG0000145	XP_015191830.1, XP_015191831.1, XP_015191832.1	XP_012164960.1
OG0000146	XP_015178326.1, XP_015178324.1	XP_003402123.1, XP_003397806.1
OG0000146	XP_015181347.1	XP_012176245.1
OG0000147	XP_015188786.1, XP_015188787.1, XP_015188785.1, XP_015188788.1	XP_020721202.1, XP_020721198.1, XP_020721193.1, XP_003393447.1
OG0000147	XP_015172908.1	XP_012164120.1, XP_012164121.1, XP_012164119.1
OG0000149	XP_015183082.1	XP_003394540.1
OG0000149	XP_015183081.1, XP_015183080.1, XP_015183079.1	XP_012175460.1, XP_020724080.1
OG0000150	XP_015187534.1, XP_015187533.1, XP_015187535.1, XP_015187536.1	XP_012170499.1, XP_012170501.1, XP_012170500.1, XP_003399855.1, XP_020721682.1, XP_012170498.1
OG0000151	XP_015179752.1, XP_015179751.1, XP_015179755.1, XP_015179753.1, XP_015179750.1	XP_003402871.1, XP_012174602.1, XP_012174601.1, XP_012174604.1, XP_012174600.1, XP_012174599.1
OG0000152	XP_015177279.1	XP_012173071.1, XP_012173070.1, XP_012173069.1, XP_012173068.1, XP_012173075.1, XP_012173067.1
OG0000153	XP_015183219.1, XP_015183220.1, XP_015183221.1, XP_015183223.1, XP_015183222.1, XP_015183224.1	XP_003400832.1, XP_012171882.1, XP_012171883.1
OG0000154	XP_015178505.1, XP_015178503.1, XP_015178507.1, XP_015178506.1	XP_012167367.1, XP_012167365.1
OG0000156	XP_015190200.1, XP_015190202.1, XP_015190201.1, XP_015190205.1, XP_015190203.1, XP_015190204.1	XP_003396400.1
OG0000157	XP_015176246.1	XP_003400109.2
OG0000158	XP_015180258.1, XP_015180556.1, XP_015179489.1	XP_012164498.1
OG0000160	XP_015185930.1	XP_012168631.1
OG0000162	XP_015186367.1	XP_012168555.1
OG0000162	XP_015182682.1	XP_003397561.2
OG0000164	XP_015191636.1	XP_020718981.1
OG0000164	XP_015191588.1	XP_020718980.1
OG0000165	XP_015185448.1	XP_003397183.1, XP_012166526.1
OG0000165	XP_015174982.1	XP_012169083.1
OG0000166	XP_015173109.1, XP_015173102.1, XP_015173096.1, XP_015173094.1, XP_015173098.1	XP_012175400.2, XP_012175364.1, XP_012175388.1
OG0000168	XP_015190714.1, XP_015190715.1	XP_012175596.1
OG0000170	XP_015191094.1	XP_012168004.1
OG0000170	XP_015191097.1, XP_015191098.1	XP_012168005.1
OG0000171	XP_015174391.1	XP_003396553.1
OG0000171	XP_015174730.1	XP_012174011.1
OG0000172	XP_015184112.1, XP_015184114.1, XP_015184115.1, XP_015184116.1, XP_015184111.1	XP_020721690.1, XP_012170544.1, XP_012170538.1, XP_012170539.1, XP_012170540.1, XP_012170541.1, XP_012170542.1, XP_012170543.1
OG0000173	XP_015173985.1, XP_015173987.1, XP_015173988.1, XP_015173989.1	XP_012172817.1, XP_012172816.1, XP_012172814.1, XP_012172815.1
OG0000174	XP_015191732.1, XP_015191730.1, XP_015191731.1	XP_003400605.1, XP_003400606.1, XP_012171555.1, XP_012171554.1, XP_012171558.1, XP_012171557.1
OG0000175	XP_015184505.1, XP_015184496.1, XP_015184487.1, XP_015184522.1, XP_015184514.1	XP_020721993.1, XP_003400937.1, XP_012171930.1, XP_012171929.1
OG0000176	XP_015179485.1	XP_003393819.1
OG0000177	XP_015191041.1	XP_003398931.1
OG0000177	XP_015190999.1	XP_012169036.1
OG0000178	XP_015179140.1	XP_003398577.1, XP_020720493.1
OG0000179	XP_015183599.1	XP_012173790.1, XP_003402257.2
OG0000179	XP_015184549.1	XP_012173824.1, XP_003402266.1
OG0000179	XP_015181406.1	XP_012168601.1
OG0000180	XP_015171486.1, XP_015171485.1, XP_015171484.1	XP_012175161.1, XP_012175160.1, XP_012175162.1, XP_003403152.1, XP_003403151.1, XP_020723773.1
OG0000181	XP_015183736.1, XP_015183737.1, XP_015183738.1, XP_015183741.1, XP_015183739.1, XP_015183735.1	XP_003399390.1, XP_012169773.1, XP_012169774.1, XP_012169772.1
OG0000182	XP_015177676.1, XP_015177666.1, XP_015177685.1, XP_015177651.1, XP_015177659.1	XP_012167067.1, XP_012167065.1, XP_003397602.1
OG0000183	XP_015175162.1	XP_012167140.1, XP_012167142.1, XP_003397591.1
OG0000183	XP_015181592.1	XP_012163118.1
OG0000185	XP_015175891.1, XP_015175892.1, XP_015175893.1	XP_012171763.1, XP_012171761.1, XP_012171762.1, XP_012171760.1, XP_012171764.1
OG0000186	XP_015183983.1, XP_015183981.1	XP_003393867.1, XP_020723943.1, XP_003393865.1, XP_003393866.1
OG0000187	XP_015180155.1, XP_015180146.1, XP_015180136.1	XP_012167100.1, XP_003397755.1, XP_012167097.1, XP_020720318.1, XP_020720316.1, XP_012167099.1, XP_012167098.1
OG0000188	XP_015176881.1	XP_003395186.1
OG0000189	XP_015173121.1, XP_015173134.1	XP_012167526.1
OG0000189	XP_015171025.1	XP_003393320.1, XP_012167516.1
OG0000190	XP_015184945.1	XP_012172000.1, XP_012171998.1, XP_012171999.1
OG0000191	XP_015179465.1, XP_015179466.1	XP_012172676.1
OG0000192	XP_015178452.1	XP_003393731.1
OG0000194	XP_015173607.1	XP_003397792.2
OG0000194	XP_015173634.1	XP_003397793.1
OG0000194	XP_015181334.1, XP_015181335.1	XP_003397791.1
OG0000196	XP_015178964.1	XP_003399490.1
OG0000196	XP_015174639.1	XP_012170863.1, XP_003400132.1, XP_020721794.1, XP_012170865.1
OG0000199	XP_015174540.1	XP_012172381.1
OG0000200	XP_015187594.1	XP_003394667.1
OG0000200	XP_015178431.1, XP_015178427.1	XP_003398779.1, XP_012168586.1
OG0000201	XP_015179138.1	XP_020720655.1
OG0000202	XP_015177652.1, XP_015177653.1, XP_015177655.1, XP_015177654.1	XP_012165963.1, XP_012165962.1, XP_012165961.1, XP_003396825.1, XP_020719260.1
OG0000203	XP_015176004.1	XP_003396251.1
OG0000203	XP_015174579.1, XP_015174578.1	XP_012165494.1
OG0000204	XP_015182497.1, XP_015177887.1	XP_003400095.1
OG0000205	XP_015183111.1, XP_015183110.1	XP_012176340.1, XP_003394538.1
OG0000206	XP_015186289.1	XP_012170362.1
OG0000206	XP_015186290.1, XP_015186291.1	XP_020721443.1
OG0000207	XP_015175962.1	XP_012169552.1
OG0000207	XP_015186420.1, XP_015186417.1	XP_012169920.1
OG0000208	XP_015186385.1	XP_003399477.1
OG0000208	XP_015173568.1	XP_003394143.1, XP_003394144.1
OG0000209	XP_015184955.1	XP_012167030.1, XP_012167033.1, XP_012167031.1, XP_012167034.1, XP_012167036.1, XP_012167037.1
OG0000210	XP_015177416.1	XP_003396128.1
OG0000210	XP_015180468.1	XP_012167928.1
OG0000210	XP_015185061.1	XP_012164486.1
