Orthogroup	Polistes_dominula	Tribolium_castaneum
OG0000030	XP_015187915.1, XP_015185971.1, XP_015185973.1, XP_015185974.1, XP_015185972.1, XP_015189947.1, XP_015189898.1, XP_015186637.1, XP_015189768.1, XP_015189842.1, XP_015186005.1, XP_015189795.1, XP_015189846.1, XP_015177899.1, XP_015186006.1, XP_015189579.1, XP_015189757.1, XP_015189580.1, XP_015189727.1, XP_015189305.1, XP_015189905.1, XP_015189578.1, XP_015186638.1	XP_015837668.1, XP_972973.1, XP_008195701.1, XP_971355.1, XP_015837936.1, XP_008197791.2, XP_008197787.1, XP_971534.2
OG0000032	XP_015190440.1	XP_001807564.1
OG0000032	XP_015184211.1	XP_008199233.1
OG0000032	XP_015191817.1	XP_008197173.2
OG0000032	XP_015190537.1, XP_015182537.1, XP_015182533.1	XP_969958.1, XP_970026.1
OG0000035	XP_015172482.1	XP_008191815.1, XP_008191817.1, XP_971626.2, XP_008191746.2, XP_008191790.1
OG0000036	XP_015175890.1	XP_008190813.1
OG0000036	XP_015174610.1, XP_015174768.1	XP_967476.1, XP_001811753.1
OG0000037	XP_015184679.1	XP_008192993.1, XP_015835222.1, XP_970216.2, XP_008193006.2, XP_008193010.2, XP_015835218.1, XP_966991.2, XP_015835223.1, XP_001809825.2, XP_015835468.1, XP_968523.2, XP_015835220.1, XP_015835221.1, XP_008190973.2, XP_970770.1, XP_970895.1, XP_008200145.1
OG0000038	XP_015179362.1	XP_966492.1
OG0000038	XP_015185565.1	XP_966584.1
OG0000038	XP_015179361.1	XP_966407.1
OG0000040	XP_015176238.1, XP_015176239.1	NP_001161088.1
OG0000040	XP_015175500.1, XP_015186212.1	NP_001161129.1, XP_008193161.1, NP_001161087.1, XP_970321.1, NP_001161083.1
OG0000041	XP_015182472.1	NP_001165843.1
OG0000041	XP_015179142.1, XP_015179139.1, XP_015179141.1	XP_008199969.1, XP_966415.1, XP_008199982.1, XP_966495.1
OG0000042	XP_015186594.1, XP_015186595.1, XP_015186596.1, XP_015189781.1, XP_015189581.1, XP_015189834.1, XP_015171566.1, XP_015171565.1, XP_015171564.1, XP_015171563.1, XP_015171562.1	XP_008194542.2, NP_001306196.1, NP_001306192.1, XP_008197185.1, XP_015839870.1, XP_015839869.1, XP_015839872.1, XP_015839873.1, XP_015839874.1, XP_008197171.1, XP_008191083.1, NP_001137206.1, XP_968970.1, NP_001306194.1, NP_001306195.1, XP_008194716.1
OG0000042	XP_015171717.1, XP_015171718.1, XP_015171719.1	XP_008198874.1, NP_001182164.1, XP_008199928.1, NP_001180578.1
OG0000043	XP_015177490.1, XP_015177491.1	XP_008193777.1, NP_001039289.1
OG0000043	XP_015187201.1	NP_001039285.1
OG0000043	XP_015180729.1	NP_001039279.1, NP_001039280.1, NP_001039278.1
OG0000044	XP_015184599.1	XP_008200957.1
OG0000045	XP_015183311.1, XP_015183284.1, XP_015173221.1, XP_015183312.1	XP_015834974.1, XP_015834972.1
OG0000046	XP_015179269.1	XP_008200986.2, XP_015838368.1
OG0000046	XP_015189296.1	NP_001164199.1, NP_001164200.1, XP_974442.1, NP_001164098.1
OG0000046	XP_015177712.1, XP_015174688.1, XP_015174687.1	XP_966611.1
OG0000047	XP_015181292.1, XP_015182538.1, XP_015189429.1, XP_015189816.1, XP_015189433.1	XP_015839407.1, XP_015839283.1, XP_008200958.2
OG0000050	XP_015187332.1, XP_015175623.1	XP_967835.1, XP_967268.2, XP_008195484.1, XP_967439.2, NP_001034512.1, NP_001034534.1, XP_008195481.1, XP_967916.2, XP_015838352.1, XP_015840854.1
OG0000052	XP_015186733.1	XP_015838429.1, XP_008197309.1, XP_974366.1, XP_015838434.1, XP_974340.1, XP_974289.1, XP_015838419.1, XP_008197312.1, XP_974427.1
OG0000054	XP_015175295.1, XP_015175296.1, XP_015175389.1	XP_970381.1
OG0000055	XP_015171080.1	XP_971821.3
OG0000055	XP_015176664.1	XP_969454.3
OG0000055	XP_015173765.1, XP_015173767.1	XP_008194095.1
OG0000056	XP_015176704.1, XP_015178312.1	XP_015835680.1
OG0000056	XP_015175416.1	XP_008197222.1
OG0000056	XP_015181793.1	XP_015834565.1
OG0000056	XP_015173622.1	XP_015839288.1
OG0000056	XP_015181325.1	XP_970084.2
OG0000057	XP_015171970.1	XP_967267.1
OG0000057	XP_015173587.1	XP_969993.1
OG0000057	XP_015171877.1	XP_967348.1
OG0000057	XP_015171777.1	XP_968314.1
OG0000060	XP_015185766.1, XP_015185775.1	XP_008194927.2
OG0000060	XP_015181080.1, XP_015181079.1	XP_015836433.1, XP_973431.2, XP_008194835.1, XP_008194834.1, XP_008194832.1, XP_015836434.1
OG0000061	XP_015178059.1, XP_015188543.1	XP_969936.2
OG0000061	XP_015177990.1	XP_008197154.2
OG0000062	XP_015179445.1	XP_968760.1
OG0000062	XP_015173092.1, XP_015178479.1	XP_973442.1, XP_974390.1, XP_966780.1, XP_974367.1, XP_973378.1, XP_973344.1, XP_975377.1
OG0000065	XP_015174229.1, XP_015174230.1, XP_015174227.1, XP_015174228.1, XP_015174231.1	XP_015834020.1
OG0000066	XP_015189741.1, XP_015189693.1, XP_015189896.1	XP_015839951.1
OG0000066	XP_015176551.1	XP_015839271.1, XP_015839922.1
OG0000066	XP_015189876.1	XP_015840033.1
OG0000067	XP_015179349.1	XP_008200210.1
OG0000067	XP_015180637.1	NP_001164095.1, XP_008200192.1
OG0000067	XP_015182629.1	XP_008198995.1
OG0000069	XP_015175625.1	XP_008191789.1
OG0000071	XP_015181519.1, XP_015184877.1	XP_015835156.1
OG0000072	XP_015188086.1	XP_015839914.1, XP_015840429.1
OG0000077	XP_015188023.1	XP_008200285.1
OG0000077	XP_015179002.1, XP_015185970.1	XP_008194480.2, XP_971466.1, XP_015836196.1
OG0000079	XP_015174902.1, XP_015176401.1	XP_015834127.1, XP_015834125.1, XP_015834162.1, XP_015834130.1, XP_015834115.1, XP_015834114.1, XP_015834120.1, XP_015834129.1, XP_015834135.1, XP_015834158.1, XP_015834124.1, XP_015834123.1, XP_015834118.1, XP_015834166.1, XP_015834160.1, XP_015834147.1, XP_015834145.1, XP_015834144.1, XP_015834151.1, XP_015834143.1, XP_015834157.1, XP_015834134.1, XP_015834154.1, XP_015834122.1, XP_015834161.1, XP_015834126.1
OG0000080	XP_015185202.1, XP_015185201.1, XP_015185203.1	XP_971544.1
OG0000080	XP_015188705.1, XP_015188706.1	XP_015839289.1
OG0000080	XP_015185196.1	XP_015838833.1, XP_968784.1, XP_008199652.2
OG0000081	XP_015179051.1, XP_015179053.1, XP_015179052.1, XP_015179158.1, XP_015179157.1	XP_015833047.1
OG0000082	XP_015175969.1, XP_015175974.1, XP_015175968.1	XP_008196787.1, XP_008196786.1
OG0000084	XP_015180887.1, XP_015180880.1	XP_008194205.2
OG0000085	XP_015172015.1	XP_008190480.1, XP_008190479.1, XP_008190478.1
OG0000085	XP_015179519.1, XP_015175778.1, XP_015175777.1, XP_015175779.1	XP_967226.1, XP_015836787.1, XP_008198171.2, XP_966820.2, XP_008193769.1, XP_968088.2, XP_967599.1
OG0000086	XP_015175698.1	XP_008200062.1, XP_015834290.1
OG0000087	XP_015179311.1	XP_969526.1, XP_969601.1, XP_015838300.1, XP_970029.1, XP_969456.2
OG0000087	XP_015179470.1, XP_015179472.1, XP_015179471.1, XP_015179473.1	XP_969383.1
OG0000088	XP_015175828.1	XP_015837887.1
OG0000089	XP_015191649.1	XP_967001.1, XP_966814.1, XP_966903.1, XP_015834458.1, XP_015834457.1, XP_971728.1, XP_968587.1
OG0000091	XP_015190282.1, XP_015190273.1	XP_008200105.1, XP_973883.2, XP_974001.1, XP_015838041.1, XP_015838239.1, XP_015838040.1, XP_015838232.1, XP_008196804.1, XP_008196800.2, XP_974288.1, XP_974388.1, XP_972482.1, XP_015840665.1, XP_008196885.2
OG0000092	XP_015182560.1	XP_008198926.1
OG0000092	XP_015171266.1, XP_015171261.1	XP_967128.1
OG0000093	XP_015189759.1, XP_015189715.1, XP_015189435.1, XP_015189434.1	XP_008198969.1
OG0000094	XP_015189233.1	XP_008194293.1
OG0000094	XP_015175380.1	XP_008194180.1, XP_008191415.1, XP_015834034.1, XP_015837589.1, XP_974270.2
OG0000095	XP_015179352.1, XP_015179379.1, XP_015187338.1, XP_015179387.1, XP_015179306.1, XP_015187259.1, XP_015179367.1, XP_015179368.1, XP_015179309.1, XP_015188211.1, XP_015188462.1, XP_015189731.1, XP_015177511.1, XP_015177513.1, XP_015177512.1, XP_015188691.1, XP_015189818.1, XP_015188693.1	XP_971423.1, NP_001034529.1, NP_001107847.1, NP_001034530.1, NP_001107861.1, NP_001107846.1, XP_015839255.1, NP_001107850.1
OG0000096	XP_015179711.1, XP_015179710.1, XP_015179714.1, XP_015179713.1	XP_970191.2
OG0000096	XP_015178304.1	NP_001038094.1, NP_001073567.1, XP_015836778.1, NP_001036034.1, XP_973005.1, NP_001034517.1, NP_001034516.3, NP_001038095.1, XP_015836950.1, XP_008195468.1, XP_015836949.1, NP_001038096.1, NP_001034515.1
OG0000097	XP_015172032.1, XP_015172041.1	XP_966355.1, XP_008200463.1
OG0000098	XP_015183431.1, XP_015183430.1, XP_015183429.1, XP_015183432.1, XP_015183427.1, XP_015183428.1	XP_976115.2, XP_008200746.1, XP_008200744.1, XP_008200745.1
OG0000099	XP_015176643.1	XP_973444.1
OG0000099	XP_015176645.1	XP_967359.1
OG0000099	XP_015179938.1	XP_008198312.1
OG0000100	XP_015189083.1, XP_015189082.1, XP_015189085.1, XP_015189084.1, XP_015189086.1, XP_015189080.1, XP_015189081.1	XP_015833282.1, XP_008190946.1, XP_008190945.1
OG0000101	XP_015184968.1	XP_015840974.1, XP_968341.1, XP_968427.1, XP_008192885.1, XP_969438.2, XP_970214.1, XP_968268.2, XP_969384.1
OG0000101	XP_015178204.1, XP_015178201.1	XP_968658.1, XP_008190341.1, XP_968586.1
OG0000102	XP_015177204.1, XP_015177230.1, XP_015177232.1	XP_015836203.1, XP_972020.3, XP_971968.1
OG0000103	XP_015173914.1	NP_001121967.1
OG0000107	XP_015187294.1, XP_015188217.1, XP_015188216.1, XP_015187650.1	XP_974139.1, XP_008198278.1
OG0000108	XP_015181990.1, XP_015182011.1, XP_015191850.1	XP_015837318.1, XP_008195645.1, XP_972082.1, XP_972134.1, XP_968318.1, XP_015839337.1, XP_015839336.1, XP_972032.1, XP_972386.3, XP_972182.1, XP_008195643.1, XP_975666.1, XP_015837080.1, XP_966332.1
OG0000109	XP_015175909.1, XP_015175910.1, XP_015175911.1, XP_015175907.1	XP_008200716.1
OG0000110	XP_015177093.1, XP_015180892.1	XP_008193808.1, XP_008193810.1, XP_015836889.1, XP_008193809.1, XP_008193811.1, XP_008193812.1, XP_015836885.1, XP_015836884.1, XP_015836883.1, XP_015836887.1, XP_008193800.1, XP_015836924.1, XP_015836925.1, XP_008193802.1, XP_008193803.1, XP_008193805.1, XP_008193798.1, XP_008193799.1, XP_008193801.1, XP_008193797.1, XP_015836882.1, XP_015836881.1, XP_015836880.1, XP_008193806.1, XP_008193807.1, XP_015836886.1, XP_001807608.2
OG0000111	XP_015175971.1	XP_008201050.1, XP_970898.1, XP_970952.1, XP_975906.1, NP_001161227.1, NP_001161310.1, XP_015839309.1, XP_970839.1, XP_008201049.1
OG0000112	XP_015188234.1, XP_015188235.1, XP_015188236.1	XP_008191265.1
OG0000112	XP_015180272.1, XP_015180273.1	XP_008198195.1, XP_015837714.1
OG0000113	XP_015185884.1, XP_015172979.1, XP_015172980.1	XP_967872.2, XP_008198495.1, XP_008198500.1
OG0000114	XP_015171118.1	XP_015836792.1, XP_015836794.1
OG0000114	XP_015171119.1	XP_008195366.2, XP_015837027.1, XP_015837028.1
OG0000115	XP_015171184.1, XP_015171185.1, XP_015183848.1, XP_015183846.1	XP_969146.1, XP_970714.1, XP_970442.1, XP_015832951.1, XP_015833288.1, XP_008190960.1, XP_967475.1
OG0000116	XP_015173852.1, XP_015173854.1, XP_015173853.1, XP_015173840.1, XP_015173841.1	XP_015837656.1
OG0000117	XP_015176195.1	XP_008198411.1
OG0000117	XP_015171648.1, XP_015171595.1	XP_008200394.1, XP_008200396.1, XP_008200398.1, XP_008200397.1
OG0000118	XP_015179538.1	XP_015834547.1, XP_008200548.1, XP_015834543.1, XP_015833294.1, XP_015835116.1, XP_015840487.1, XP_015834751.1, XP_008200539.1, XP_015835309.1, XP_015837361.1
OG0000119	XP_015178611.1, XP_015178609.1, XP_015178605.1, XP_015178601.1	NP_001157311.1
OG0000120	XP_015171646.1, XP_015171649.1, XP_015171650.1, XP_015171651.1, XP_015171644.1, XP_015171645.1, XP_015171647.1	XP_015838347.1
OG0000122	XP_015172102.1	XP_015834556.1
OG0000122	XP_015172140.1	XP_008192222.1
OG0000122	XP_015182416.1, XP_015182415.1	XP_008190630.1, XP_970917.2, NP_001280526.1
OG0000123	XP_015185661.1, XP_015185658.1, XP_015185659.1, XP_015185654.1, XP_015185655.1, XP_015185656.1, XP_015185657.1, XP_015185653.1, XP_015185660.1	XP_001813105.1
OG0000124	XP_015173329.1, XP_015173327.1, XP_015173328.1	XP_015834874.1
OG0000125	XP_015191429.1	XP_975608.1, XP_975649.1, XP_975653.1, XP_015837066.1, XP_975651.1
OG0000126	XP_015180002.1, XP_015180011.1, XP_015180021.1, XP_015179995.1	NP_001034505.1
OG0000127	XP_015178412.1, XP_015178414.1, XP_015189033.1	XP_008201644.1
OG0000127	XP_015188504.1	NP_001280519.1, XP_015839687.1
OG0000129	XP_015185341.1, XP_015185342.1	XP_008192539.1, XP_008192541.1, XP_970374.1, XP_008192542.1, XP_015834648.1
OG0000130	XP_015177984.1, XP_015177985.1, XP_015177986.1	XP_008200084.1, XP_001811552.1
OG0000130	XP_015178018.1, XP_015178019.1	XP_008200083.1
OG0000131	XP_015188702.1	XP_001808435.1
OG0000131	XP_015181077.1, XP_015181078.1	XP_008198189.1, XP_968387.1, XP_008198188.1
OG0000132	XP_015173499.1, XP_015173500.1	XP_008198166.1, XP_015839207.1
OG0000133	XP_015173823.1	XP_975308.3
OG0000133	XP_015171178.1	XP_015840591.1
OG0000135	XP_015176354.1	XP_015833857.1, XP_008194086.1
OG0000135	XP_015190379.1, XP_015190377.1, XP_015190378.1	XP_008190640.1, XP_008190639.1
OG0000135	XP_015186255.1	NP_001153713.1
OG0000136	XP_015182073.1	XP_971514.1, XP_971572.1
OG0000137	XP_015174184.1, XP_015176307.1	XP_015835481.1, XP_015835482.1, XP_015835483.1, XP_015835484.1, XP_015835486.1, XP_015835485.1
OG0000138	XP_015173336.1, XP_015173335.1, XP_015173334.1, XP_015173333.1, XP_015181777.1	XP_015840574.1, XP_967720.2, XP_015840573.1
OG0000139	XP_015184451.1, XP_015184450.1, XP_015184449.1	XP_001808164.2, XP_967589.2, XP_967061.2, XP_015838049.1
OG0000140	XP_015172454.1	XP_008194986.1, XP_008194985.1, XP_008195037.1, XP_015836615.1, XP_008195039.1, XP_971347.1, XP_971406.1
OG0000141	XP_015172584.1	XP_015833202.1
OG0000141	XP_015178844.1, XP_015178845.1	XP_008193877.2
OG0000143	XP_015188708.1, XP_015188709.1, XP_015188710.1	XP_008192676.1
OG0000144	XP_015177945.1, XP_015177944.1, XP_015177942.1	NP_001164245.1, XP_008197349.1, NP_001164202.1, NP_001107851.1, NP_001164358.1, NP_001164335.1, XP_008197347.1, NP_001164204.1
OG0000145	XP_015182419.1, XP_015182420.1, XP_015182418.1, XP_015182421.1	XP_008193348.1
OG0000146	XP_015178326.1, XP_015178324.1	XP_966544.1, XP_001811608.2
OG0000146	XP_015181347.1	XP_974294.1
OG0000147	XP_015188786.1, XP_015188787.1, XP_015188785.1, XP_015188788.1, XP_015172908.1	XP_966688.1
OG0000149	XP_015183082.1	XP_008191323.1
OG0000150	XP_015187534.1, XP_015187533.1, XP_015187535.1, XP_015187536.1	XP_015838556.1, XP_015838555.1, XP_015838554.1
OG0000151	XP_015179752.1, XP_015179751.1, XP_015179755.1, XP_015179753.1, XP_015179750.1	XP_969439.1, XP_015840091.1
OG0000152	XP_015177279.1	XP_966734.2
OG0000153	XP_015183219.1, XP_015183220.1, XP_015183221.1, XP_015183223.1, XP_015183222.1, XP_015183224.1	XP_970869.1, XP_008195606.1
OG0000154	XP_015178505.1, XP_015178503.1, XP_015178507.1, XP_015178506.1	XP_008195104.1
OG0000156	XP_015190200.1, XP_015190202.1, XP_015190201.1, XP_015190205.1, XP_015190203.1, XP_015190204.1	XP_008199571.1, XP_008199569.1, XP_008199570.1
OG0000157	XP_015176246.1	NP_001161084.1, XP_008194710.1, NP_001161130.1
OG0000158	XP_015180258.1, XP_015180556.1, XP_015179489.1, XP_015179488.1	XP_008198818.1
OG0000160	XP_015185930.1	XP_008199283.1
OG0000160	XP_015184081.1	XP_967023.4
OG0000161	XP_015176784.1	NP_001164097.1, XP_015838131.1, XP_968215.1, XP_968291.1, XP_008198786.1, XP_015839834.1, XP_970896.1, XP_968653.3
OG0000162	XP_015186367.1	XP_008201498.1, NP_001103246.1
OG0000162	XP_015182682.1	NP_001103245.1
OG0000164	XP_015180421.1, XP_015180420.1	XP_008196039.2, XP_015837358.1, XP_008196049.2
OG0000164	XP_015191636.1, XP_015191547.1, XP_015191637.1, XP_015191588.1	XP_015833602.1, XP_015840341.1, XP_015833616.1
OG0000165	XP_015185448.1	XP_008192571.1
OG0000165	XP_015174982.1	XP_974173.2
OG0000166	XP_015173109.1, XP_015173102.1, XP_015173096.1, XP_015173094.1, XP_015173098.1	XP_008199436.1, XP_008199431.1
OG0000169	XP_015174834.1, XP_015178625.1, XP_015181526.1	XP_008195237.1, XP_008191380.1, XP_973188.1, XP_015833980.1, XP_015837683.1, XP_969004.1
OG0000170	XP_015191094.1, XP_015191097.1, XP_015191098.1	XP_008193117.1, XP_008193116.1
OG0000171	XP_015174391.1, XP_015174730.1	XP_971346.1, XP_015836633.1
OG0000173	XP_015173985.1, XP_015173987.1, XP_015173988.1, XP_015173989.1	XP_008194517.1
OG0000174	XP_015191732.1, XP_015191730.1, XP_015191731.1	XP_015838513.1
OG0000175	XP_015184505.1, XP_015184496.1, XP_015184487.1, XP_015184522.1, XP_015184514.1	XP_974770.1, XP_015836695.1
OG0000176	XP_015179485.1	XP_008195214.1
OG0000177	XP_015191041.1	XP_971910.1
OG0000177	XP_015190999.1	XP_008194311.1
OG0000178	XP_015179140.1	XP_008200484.2, XP_015835582.1
OG0000179	XP_015183599.1	XP_008194977.1
OG0000179	XP_015184549.1	XP_966308.2
OG0000180	XP_015171486.1, XP_015171485.1, XP_015171484.1	XP_976031.1, XP_008200320.1
OG0000181	XP_015183736.1, XP_015183737.1, XP_015183738.1, XP_015183741.1, XP_015183739.1, XP_015183735.1	NP_001280548.1, XP_008193833.1
OG0000182	XP_015177676.1, XP_015177666.1, XP_015177685.1, XP_015177651.1, XP_015177659.1	XP_015832992.1
OG0000183	XP_015175162.1	XP_975025.1
OG0000183	XP_015181592.1	XP_970665.1
OG0000185	XP_015175891.1, XP_015175892.1, XP_015175893.1	XP_008197397.1
OG0000186	XP_015183983.1, XP_015183981.1	XP_008199126.1, XP_008199118.1, XP_015835450.1
OG0000187	XP_015180155.1, XP_015180146.1, XP_015180136.1	XP_975362.1
OG0000188	XP_015176881.1, XP_015174592.1	XP_967501.2
OG0000189	XP_015173121.1, XP_015173134.1	XP_966528.2, XP_008201661.1
OG0000189	XP_015171025.1	XP_008198457.1, XP_008193919.1
OG0000190	XP_015184945.1	XP_015839424.1, XP_968802.1
OG0000191	XP_015179465.1, XP_015179466.1	XP_015840404.1, XP_972346.1, XP_008197015.2, XP_015838363.1, XP_015838365.1, XP_972237.1, XP_015833908.1, XP_015833861.1, XP_015838439.1, XP_966412.2, XP_015833969.1, XP_001812470.1, XP_972442.2, XP_008193548.2
OG0000192	XP_015178452.1	XP_976201.3, XP_008197081.1, XP_015838219.1, XP_008197084.1, XP_008197085.1, XP_008197082.1
OG0000194	XP_015173607.1	XP_008193011.1
OG0000194	XP_015173634.1, XP_015173610.1, XP_015181334.1, XP_015181335.1	NP_001280525.1
OG0000196	XP_015178964.1	XP_969047.2
OG0000196	XP_015174639.1	XP_967948.2
OG0000198	XP_015173178.1	XP_008196149.1
OG0000200	XP_015187594.1	XP_974164.1
OG0000200	XP_015178431.1, XP_015178427.1	XP_967143.1, XP_015839106.1, XP_974030.1
OG0000201	XP_015179138.1	XP_015833113.1
OG0000202	XP_015177652.1, XP_015177653.1, XP_015177655.1, XP_015177654.1	XP_008196489.1, XP_008196491.1, XP_008196490.1
OG0000203	XP_015174579.1, XP_015174578.1	XP_972061.1
OG0000204	XP_015182497.1, XP_015177887.1, XP_015179941.1	XP_008192748.1, XP_015834354.1, XP_015834322.1, XP_001810985.1, XP_015834355.1, XP_966892.1
OG0000205	XP_015183111.1, XP_015183110.1	XP_015834252.1, XP_969899.1, XP_972246.2, XP_969838.2
OG0000206	XP_015186289.1	XP_975174.1
OG0000206	XP_015186290.1, XP_015186291.1	XP_967870.1
OG0000207	XP_015186420.1, XP_015186417.1	XP_008190794.1
OG0000208	XP_015186385.1	NP_001034487.2, XP_008199220.1
OG0000209	XP_015184955.1	XP_015833617.1
OG0000210	XP_015177416.1	XP_008196393.1
OG0000210	XP_015180468.1	XP_008194608.1, XP_973007.1
OG0000210	XP_015185061.1	XP_015838316.1, XP_971337.1
