Orthogroup	Polistes_dominula	Anopheles_gambiae
OG0000037	XP_015184679.1	XP_308914.4, XP_308913.3, XP_001237150.1, XP_308915.3, XP_316348.4, XP_308909.2, XP_556645.1, XP_308908.3, XP_308891.2, XP_316624.3, XP_001688133.1, XP_001688134.1, XP_308903.4, XP_001237148.2, XP_001688135.1, XP_001237147.2, XP_001688132.1, XP_001237146.1, XP_001688131.1, XP_308896.4, XP_308892.4, XP_001688124.1, XP_001688129.1, XP_001688130.1, XP_001688127.1, XP_001688128.1, XP_001688125.1, XP_001688120.1, XP_001688126.1, XP_001688123.1, XP_001237145.2, XP_001688119.1, XP_001688121.1, XP_001688122.1
OG0000038	XP_015179360.1	XP_551626.4, XP_321937.5, XP_309723.4
OG0000038	XP_015179091.1	XP_312152.5
OG0000040	XP_015175500.1, XP_015186212.1	XP_314093.2, XP_565496.1, XP_309032.2, XP_309033.2, XP_309036.1, XP_565054.3, XP_308619.3, XP_001689276.1, XP_318423.5, XP_001689275.1, XP_552320.3, XP_310364.7
OG0000041	XP_015179139.1, XP_015179141.1	XP_313971.4
OG0000042	XP_015186594.1, XP_015186595.1, XP_015186596.1, XP_015189781.1, XP_015189581.1, XP_015189834.1, XP_015171566.1, XP_015171565.1, XP_015171564.1, XP_015171563.1, XP_015171562.1	XP_311704.5
OG0000042	XP_015171717.1, XP_015171718.1, XP_015171719.1	XP_003435912.1, XP_003435911.1, XP_003435913.1, XP_321375.3, XP_307056.3
OG0000043	XP_015177490.1, XP_015177491.1	XP_317400.2
OG0000043	XP_015187201.1	XP_317404.2
OG0000044	XP_015184594.1	XP_318000.4, XP_001689317.2, XP_003435967.1, XP_003435966.1, XP_003436699.1, XP_312430.5, XP_554544.3, XP_307174.4, XP_562562.2, XP_313478.5
OG0000044	XP_015184599.1	XP_003436574.1
OG0000045	XP_015183311.1, XP_015183284.1, XP_015173221.1, XP_015183312.1	XP_001689203.1, XP_316055.4, XP_552857.3, XP_319713.4, XP_320938.3, XP_320155.3, XP_320159.3, XP_320158.1, XP_552300.3
OG0000046	XP_015179269.1	XP_313085.3
OG0000046	XP_015189296.1	XP_001688467.2
OG0000046	XP_015177712.1, XP_015174688.1, XP_015174687.1	XP_001689308.2
OG0000050	XP_015187332.1, XP_015175623.1	XP_316295.4, XP_316296.3, XP_309020.3, XP_315770.4, XP_321363.4, XP_312052.3, XP_321362.2, XP_312564.5
OG0000052	XP_015186733.1	XP_319685.4
OG0000052	XP_015175045.1	XP_320291.3
OG0000054	XP_015175390.1	XP_556684.2
OG0000054	XP_015175295.1, XP_015175296.1, XP_015175389.1	XP_316036.1, XP_316039.1, XP_316038.1, XP_316040.1, XP_316041.3
OG0000055	XP_015171080.1	XP_553645.3
OG0000055	XP_015176664.1	XP_312790.4
OG0000055	XP_015173765.1, XP_015173767.1	XP_321277.5
OG0000056	XP_015176704.1, XP_015178312.1	XP_318579.4
OG0000056	XP_015175416.1	XP_550805.4
OG0000056	XP_015181325.1	XP_317863.3
OG0000057	XP_015171970.1	XP_309765.4
OG0000057	XP_015171877.1	XP_314483.4
OG0000057	XP_015171777.1	XP_315005.3
OG0000060	XP_015185766.1, XP_015185775.1	XP_318748.4
OG0000061	XP_015178059.1, XP_015188543.1	XP_003436493.1, XP_003436494.1, XP_003436495.1, XP_309674.5
OG0000061	XP_015177990.1	XP_309223.5, XP_003437178.1, XP_003437179.1, XP_311857.4
OG0000062	XP_015179445.1	XP_308609.4, XP_308610.4, XP_315550.4, XP_315549.4, XP_308607.3, XP_308606.2, XP_001688031.1
OG0000065	XP_015174229.1, XP_015174230.1, XP_015174227.1, XP_015174228.1, XP_015174231.1	XP_321329.4
OG0000067	XP_015179349.1	XP_320481.4
OG0000067	XP_015184670.1	XP_315003.3, XP_001688603.1, XP_315671.4
OG0000067	XP_015182629.1	XP_315363.4
OG0000077	XP_015188023.1	XP_319941.4
OG0000077	XP_015179002.1, XP_015185970.1	XP_316979.4, XP_321166.4
OG0000079	XP_015174902.1, XP_015176401.1	XP_001238492.1
OG0000079	XP_015176392.1	XP_319818.4
OG0000080	XP_015185202.1, XP_015185201.1, XP_015185203.1	XP_313655.5
OG0000080	XP_015185196.1	XP_313656.5, XP_003436798.1, XP_003436797.1
OG0000082	XP_015175969.1, XP_015175974.1, XP_015175968.1	XP_309846.3, XP_564070.3, XP_309845.4, XP_309840.2
OG0000085	XP_015172015.1, XP_015179519.1, XP_015175778.1, XP_015175777.1, XP_015175779.1	XP_003436490.1, XP_560023.4, XP_001688203.2, XP_309687.5, XP_316739.3
OG0000086	XP_015175698.1	XP_312070.5, XP_313588.3, XP_313589.2, XP_313388.5, XP_003436544.1, XP_562493.4, XP_003436543.1
OG0000087	XP_015179311.1	XP_308086.3, XP_309579.4, XP_309577.4, XP_308085.4
OG0000087	XP_015179470.1, XP_015179472.1, XP_015179471.1, XP_015179473.1	XP_306334.2, XP_308083.4, XP_308082.4
OG0000088	XP_015175828.1	XP_317091.3
OG0000089	XP_015191649.1	XP_319737.4
OG0000089	XP_015191842.1	XP_310298.6
OG0000091	XP_015190282.1, XP_015190273.1	XP_314159.2, XP_314157.3, XP_314156.2, XP_314158.2
OG0000092	XP_015182560.1	XP_003435946.1, XP_003435945.1, XP_003435944.1, XP_003435942.1, XP_003435943.1
OG0000092	XP_015180692.1	XP_321262.1, XP_003435947.1
OG0000094	XP_015176150.1, XP_015184885.1	XP_317094.4, XP_001689000.1
OG0000094	XP_015189233.1	XP_321973.5, XP_321095.5, XP_003435979.1, XP_003435978.1, XP_001238431.2, XP_321571.5
OG0000094	XP_015175380.1	XP_312311.5
OG0000095	XP_015179352.1, XP_015179379.1, XP_015187338.1, XP_015179387.1, XP_015179306.1, XP_015187259.1, XP_015179367.1, XP_015179368.1, XP_015179309.1, XP_015188211.1, XP_015188462.1, XP_015189731.1, XP_015177511.1, XP_015177513.1, XP_015177512.1, XP_015188691.1, XP_015189818.1, XP_015188693.1	XP_316096.4, XP_316098.3, XP_316099.4
OG0000096	XP_015179711.1, XP_015179710.1, XP_015179714.1, XP_015179713.1	XP_003436133.1, XP_003436134.1, XP_316142.4, XP_315650.4
OG0000096	XP_015178304.1	XP_307732.4, XP_319801.4, XP_316256.4, XP_314312.4, XP_316448.2
OG0000097	XP_015172032.1, XP_015172041.1, XP_015182319.1, XP_015182320.1, XP_015177848.1	XP_003436515.1, XP_003436516.1, XP_562379.1
OG0000098	XP_015183431.1, XP_015183430.1, XP_015183429.1, XP_015183432.1, XP_015183427.1, XP_015183428.1	XP_314814.3
OG0000099	XP_015176643.1	XP_320987.5
OG0000099	XP_015176645.1	XP_312290.4
OG0000099	XP_015179938.1	XP_313462.4
OG0000100	XP_015189083.1, XP_015189082.1, XP_015189085.1, XP_015189084.1, XP_015189086.1, XP_015189080.1, XP_015189081.1	XP_313581.5
OG0000101	XP_015184968.1	XP_321098.5
OG0000101	XP_015178204.1, XP_015178201.1	XP_001238368.1, XP_552458.3, XP_320729.4, XP_320730.2, XP_320721.3, XP_320722.4, XP_320723.2, XP_320728.3, XP_552464.1
OG0000102	XP_015177204.1, XP_015177230.1, XP_015177232.1	XP_308709.4, XP_565152.3
OG0000108	XP_015181990.1, XP_015182011.1, XP_015191850.1	XP_557098.2, XP_316461.3, XP_001237813.1, XP_316460.3, XP_557100.2
OG0000109	XP_015175909.1, XP_015175910.1, XP_015175911.1, XP_015175907.1	XP_309801.3
OG0000110	XP_015177093.1, XP_015180892.1	XP_001689285.1
OG0000112	XP_015188234.1, XP_015188235.1, XP_015188236.1	XP_309025.4
OG0000112	XP_015180272.1, XP_015180273.1	XP_560420.2
OG0000113	XP_015185884.1, XP_015172979.1, XP_015172980.1	XP_001231003.2, XP_550924.1, XP_321171.4, XP_550973.4, XP_321231.5, XP_321172.5, XP_321170.4
OG0000114	XP_015171118.1	XP_312956.3, XP_307750.3, XP_003436426.1, XP_306194.4, XP_307755.1, XP_001237509.2, XP_001237510.1, XP_312959.4, XP_320219.3, XP_307756.2, XP_313032.4
OG0000114	XP_015171119.1	XP_314336.2
OG0000115	XP_015171184.1, XP_015171185.1, XP_015183848.1, XP_015183846.1	XP_311546.4
OG0000116	XP_015173852.1, XP_015173854.1, XP_015173853.1, XP_015173840.1, XP_015173841.1	XP_315806.4
OG0000117	XP_015176195.1	XP_318912.3
OG0000117	XP_015171648.1, XP_015171595.1	XP_001238428.3
OG0000120	XP_015171646.1, XP_015171649.1, XP_015171650.1, XP_015171651.1, XP_015171644.1, XP_015171645.1, XP_015171647.1	XP_319911.4
OG0000121	XP_015189427.1	XP_003436859.1
OG0000122	XP_015172102.1	XP_309303.3, XP_564139.3
OG0000122	XP_015172140.1	XP_552160.3
OG0000123	XP_015185661.1, XP_015185658.1, XP_015185659.1, XP_015185654.1, XP_015185655.1, XP_015185656.1, XP_015185657.1, XP_015185653.1, XP_015185660.1	XP_317585.4
OG0000124	XP_015173329.1, XP_015173327.1, XP_015173328.1	XP_312632.5
OG0000125	XP_015191429.1	XP_321447.5
OG0000126	XP_015180002.1, XP_015180011.1, XP_015180021.1, XP_015179995.1	XP_003436885.1, XP_311618.2
OG0000127	XP_015178412.1, XP_015178414.1, XP_015189033.1	XP_308528.2, XP_308529.3, XP_001237095.2, XP_560812.1, XP_308527.5
OG0000127	XP_015188504.1	XP_309323.2
OG0000129	XP_015185341.1, XP_015185342.1	XP_319208.4
OG0000130	XP_015177984.1, XP_015177985.1, XP_015177986.1	XP_314859.4
OG0000130	XP_015178018.1, XP_015178019.1	XP_314860.4, XP_557898.3
OG0000131	XP_015188702.1	XP_311973.1, XP_003436315.1
OG0000131	XP_015181077.1, XP_015181078.1	XP_320516.2
OG0000132	XP_015173499.1, XP_015173500.1	XP_314281.4
OG0000132	XP_015188177.1	XP_317287.4, XP_319288.2
OG0000133	XP_015173823.1	XP_001238215.2
OG0000135	XP_015190379.1, XP_015190377.1, XP_015190378.1	XP_321549.1
OG0000135	XP_015186255.1	XP_308966.4
OG0000136	XP_015182073.1	XP_557311.3, XP_316252.2
OG0000137	XP_015174184.1, XP_015176307.1	XP_313095.4
OG0000138	XP_015173336.1, XP_015173335.1, XP_015173334.1, XP_015173333.1, XP_015181777.1	XP_310751.5
OG0000139	XP_015184451.1, XP_015184450.1, XP_015184449.1	XP_318027.4
OG0000140	XP_015172454.1	XP_318829.4
OG0000141	XP_015191838.1	XP_312292.5
OG0000141	XP_015178844.1, XP_015178845.1	XP_317639.4
OG0000143	XP_015188708.1, XP_015188709.1, XP_015188710.1	XP_311266.4, XP_311556.4
OG0000144	XP_015177945.1, XP_015177944.1, XP_015177942.1	XP_321434.5, XP_321436.5, XP_321800.4, XP_001237710.1, XP_001688727.1, XP_315780.4
OG0000145	XP_015182419.1, XP_015182420.1, XP_015182418.1, XP_015182421.1, XP_015191830.1, XP_015191831.1, XP_015191832.1	XP_318854.4
OG0000146	XP_015178326.1, XP_015178324.1	XP_556748.3, XP_001238402.1, XP_320925.3, XP_001238796.1
OG0000146	XP_015181347.1	XP_308640.2
OG0000147	XP_015188786.1, XP_015188787.1, XP_015188785.1, XP_015188788.1, XP_015172908.1	XP_312505.3, XP_003436127.1, XP_003436126.1
OG0000149	XP_015183082.1	XP_319018.3
OG0000150	XP_015187534.1, XP_015187533.1, XP_015187535.1, XP_015187536.1	XP_316248.3
OG0000151	XP_015179752.1, XP_015179751.1, XP_015179755.1, XP_015179753.1, XP_015179750.1	XP_001687986.1
OG0000152	XP_015177279.1	XP_001688746.1, XP_315920.4
OG0000153	XP_015183219.1, XP_015183220.1, XP_015183221.1, XP_015183223.1, XP_015183222.1, XP_015183224.1	XP_315414.4
OG0000156	XP_015190200.1, XP_015190202.1, XP_015190201.1, XP_015190205.1, XP_015190203.1, XP_015190204.1	XP_315693.3
OG0000157	XP_015176246.1	XP_319874.4, XP_319873.4
OG0000160	XP_015185930.1	XP_314536.3
OG0000160	XP_015184081.1	XP_314534.4
OG0000161	XP_015176784.1	XP_315381.4, XP_556009.2, XP_001237651.1, XP_556011.2
OG0000162	XP_015186367.1	XP_566274.3, XP_311007.4
OG0000162	XP_015182682.1	XP_311918.3
OG0000164	XP_015180421.1, XP_015180420.1	XP_315013.4
OG0000164	XP_015191636.1, XP_015191547.1, XP_015191637.1, XP_015191588.1	XP_552916.2
OG0000165	XP_015185448.1	XP_311219.3
OG0000165	XP_015174982.1	XP_311252.5
OG0000166	XP_015173109.1, XP_015173102.1, XP_015173096.1, XP_015173094.1, XP_015173098.1	XP_001689364.2, XP_001689365.2, XP_001689363.2, XP_321832.5, XP_003435807.1
OG0000170	XP_015191093.1, XP_015191092.1	XP_315409.2
OG0000171	XP_015174391.1, XP_015174730.1	XP_553377.2, XP_318615.2, XP_317868.4, XP_554784.3
OG0000173	XP_015173985.1, XP_015173987.1, XP_015173988.1, XP_015173989.1	XP_313784.5
OG0000174	XP_015191732.1, XP_015191730.1, XP_015191731.1	XP_313394.4
OG0000175	XP_015184505.1, XP_015184496.1, XP_015184487.1, XP_015184522.1, XP_015184514.1	XP_001687949.1, XP_308467.4
OG0000177	XP_015191041.1	XP_309771.2
OG0000177	XP_015190999.1	XP_001230649.2
OG0000178	XP_015179140.1	XP_307952.5
OG0000179	XP_015184549.1	XP_003437002.1, XP_310632.5
OG0000180	XP_015171486.1, XP_015171485.1, XP_015171484.1	XP_003436547.1, XP_003436546.1, XP_313417.5
OG0000181	XP_015183736.1, XP_015183737.1, XP_015183738.1, XP_015183741.1, XP_015183739.1, XP_015183735.1	XP_321792.2
OG0000183	XP_015175162.1	XP_311711.3
OG0000183	XP_015181592.1	XP_317936.4
OG0000185	XP_015175891.1, XP_015175892.1, XP_015175893.1	XP_001688361.2
OG0000186	XP_015183983.1, XP_015183981.1	XP_308393.4
OG0000187	XP_015180155.1, XP_015180146.1, XP_015180136.1	XP_318759.3
OG0000188	XP_015176881.1, XP_015174592.1	XP_316795.2
OG0000189	XP_015173121.1, XP_015173134.1	XP_559460.4, XP_003436249.1, XP_312117.5
OG0000189	XP_015171025.1	XP_311343.4, XP_309276.4
OG0000190	XP_015184945.1	XP_003436713.1, XP_312971.1
OG0000191	XP_015179465.1, XP_015179466.1	XP_321501.2, XP_320256.4, XP_001230641.2, XP_320896.4, XP_320897.4, XP_309543.4
OG0000192	XP_015178452.1	XP_311585.4
OG0000194	XP_015173607.1	XP_556986.2
OG0000196	XP_015178964.1	XP_321556.3
OG0000196	XP_015174639.1	XP_001687817.2, XP_560491.4
OG0000198	XP_015173178.1	XP_314495.3
OG0000200	XP_015187594.1	XP_559572.2, XP_003436619.1, XP_003436618.1, XP_003436620.1
OG0000201	XP_015179138.1	XP_316379.4
OG0000203	XP_015176004.1	XP_321914.5
OG0000203	XP_015174579.1, XP_015174578.1	XP_315944.3
OG0000204	XP_015182497.1, XP_015177887.1, XP_015179941.1	XP_003436222.1, XP_312208.4
OG0000205	XP_015183111.1, XP_015183110.1	XP_001688795.1, XP_003436549.1
OG0000206	XP_015186289.1	XP_003435909.1, XP_321392.5
OG0000206	XP_015186290.1, XP_015186291.1	XP_003436103.1, XP_563817.3
OG0000207	XP_015175962.1	XP_308487.3
OG0000207	XP_015186420.1, XP_015186417.1	XP_001688813.1, XP_001688814.1, XP_556880.3
OG0000208	XP_015186385.1	XP_001688810.1, XP_316236.4
OG0000208	XP_015173568.1	XP_314845.4
OG0000209	XP_015184955.1	XP_001230643.2, XP_309738.3
OG0000210	XP_015177416.1, XP_015180468.1	XP_001688664.1
OG0000210	XP_015185061.1	XP_319144.3
OG0000212	XP_015179526.1, XP_015179527.1, XP_015185495.1, XP_015185494.1	XP_554502.2, XP_318238.4
OG0000213	XP_015189481.1	XP_309297.2
OG0000214	XP_015190491.1	XP_313425.3, XP_003436551.1
OG0000214	XP_015175994.1	XP_319075.3, XP_313331.4
OG0000215	XP_015185000.1, XP_015185001.1	XP_001689079.1, XP_001230280.1, XP_318019.4
OG0000216	XP_015185916.1	XP_310940.5, XP_001237336.2, XP_310941.5, XP_559040.3, XP_320018.4, XP_320019.4, XP_001237478.3, XP_001237476.3, XP_003436120.1, XP_003436121.1, XP_317098.4, XP_317096.4, XP_312527.4
OG0000217	XP_015186718.1	XP_310550.5, XP_309658.5, XP_001237269.3
OG0000218	XP_015174590.1, XP_015174588.1, XP_015174591.1	XP_308642.4
OG0000219	XP_015173758.1, XP_015173757.1, XP_015173756.1	XP_309335.4
OG0000220	XP_015184604.1	XP_314482.4
OG0000221	XP_015184406.1	XP_310745.5
OG0000223	XP_015186521.1	XP_320146.3
OG0000223	XP_015178968.1	XP_308984.1
OG0000224	XP_015174244.1	XP_312099.2, XP_312102.4, XP_003436251.1
OG0000225	XP_015171829.1, XP_015171828.1, XP_015176375.1	XP_310636.2, XP_003437000.1
OG0000227	XP_015177648.1, XP_015177645.1	XP_308342.4, XP_001237064.2
OG0000230	XP_015187246.1, XP_015187244.1, XP_015187242.1, XP_015187243.1	XP_001688611.1
OG0000231	XP_015174418.1, XP_015174419.1	XP_003436333.1, XP_316371.4
OG0000232	XP_015185539.1, XP_015185538.1, XP_015185537.1	XP_315941.1, XP_315942.3, XP_315943.3
OG0000233	XP_015178474.1	XP_311447.4
OG0000235	XP_015191589.1	XP_309952.4
OG0000236	XP_015175604.1, XP_015175605.1	XP_003435759.1, XP_003435758.1, XP_003435763.1, XP_322000.4
OG0000236	XP_015175615.1	XP_312478.1, XP_001238571.2
OG0000237	XP_015171667.1	XP_559100.2
OG0000237	XP_015171630.1	XP_311581.3
OG0000239	XP_015190308.1, XP_015190309.1, XP_015189352.1	XP_003436598.1, XP_310299.2, XP_001230752.2, XP_559533.6, XP_319807.4
OG0000243	XP_015174530.1	XP_312943.4, XP_308057.4, XP_321049.3, XP_308058.4
OG0000244	XP_015179576.1, XP_015179577.1, XP_015179580.1, XP_015179579.1, XP_015179578.1	XP_313365.4
OG0000245	XP_015189008.1	XP_315084.2, XP_001230554.1, XP_307623.1, XP_315083.1, XP_001231041.1, XP_001687787.1, XP_315074.1, XP_315076.1, XP_315075.1, XP_315073.2, XP_316323.2, XP_312089.2
OG0000246	XP_015179151.1	XP_319840.2, XP_319841.3
OG0000246	XP_015182115.1, XP_015182116.1	XP_319838.3
OG0000247	XP_015191550.1	XP_001687768.2, XP_313774.4
OG0000247	XP_015191855.1, XP_015191854.1	XP_003436566.1
OG0000248	XP_015175042.1, XP_015182680.1	XP_308379.4, XP_315470.5, XP_003435724.1
OG0000249	XP_015187603.1, XP_015190237.1, XP_015190236.1	XP_310971.5
OG0000250	XP_015190042.1	XP_003436312.1, XP_003436311.1, XP_311978.5
OG0000252	XP_015171597.1, XP_015171596.1	XP_321164.1
OG0000253	XP_015190633.1	XP_310451.4, XP_310450.4, XP_001238805.2
OG0000253	XP_015182084.1	XP_316966.4
OG0000254	XP_015179929.1	XP_312967.3, XP_003436712.1
OG0000255	XP_015175472.1	XP_003436960.1, XP_310845.5
OG0000256	XP_015190359.1	XP_307890.5
OG0000257	XP_015191073.1, XP_015191061.1	XP_321870.5
OG0000257	XP_015191056.1	XP_321869.5, XP_001689370.2, XP_003435798.1, XP_321867.5, XP_321865.3
OG0000260	XP_015186969.1	XP_312337.4
OG0000263	XP_015182751.1	XP_001687857.1, XP_564524.3, XP_001687858.1
OG0000264	XP_015177860.1	XP_001688533.1, XP_314137.4
OG0000264	XP_015175459.1	XP_311594.2
OG0000265	XP_015187998.1, XP_015187683.1, XP_015188988.1	XP_319555.4, XP_312273.4, XP_003436201.1
OG0000266	XP_015188854.1	XP_310704.3
OG0000266	XP_015188288.1	XP_308081.2
OG0000268	XP_015181711.1	XP_309197.1, XP_003437164.1, XP_003437165.1, XP_560220.3, XP_001688171.2, XP_311384.3, XP_311355.3, XP_307829.2
OG0000269	XP_015188277.1, XP_015188276.1, XP_015188274.1	XP_315017.4
OG0000270	XP_015178020.1	XP_003436281.1, XP_312025.4, XP_003436282.1
OG0000270	XP_015180910.1	XP_003436280.1, XP_312026.4
OG0000272	XP_015171556.1	XP_308042.3, XP_001230608.1
OG0000272	XP_015185525.1	XP_309153.3, XP_314691.2
OG0000273	XP_015191012.1, XP_015191013.1	XP_308599.4, XP_001688028.1
OG0000275	XP_015173577.1, XP_015173578.1, XP_015173580.1	XP_001237830.2
OG0000276	XP_015184477.1	XP_003436154.1, XP_312380.3
OG0000277	XP_015172488.1, XP_015172487.1, XP_015172485.1, XP_015172489.1, XP_015172490.1	XP_315597.3, XP_001688685.1, XP_001688686.1
OG0000278	XP_015171924.1, XP_015181215.1, XP_015181217.1, XP_015181216.1, XP_015181214.1	XP_307914.5, XP_003436076.1
OG0000279	XP_015187581.1, XP_015187580.1	XP_308623.4, XP_317820.4
OG0000281	XP_015184470.1	XP_312382.3
OG0000283	XP_015179948.1, XP_015179949.1	XP_315855.4
OG0000284	XP_015182032.1	XP_003436098.1, XP_003436097.1, XP_312601.2
OG0000284	XP_015181126.1	XP_308964.2
OG0000285	XP_015181188.1	XP_312667.5
OG0000285	XP_015173011.1, XP_015173009.1	XP_309398.1
OG0000286	XP_015177428.1, XP_015177411.1, XP_015177397.1, XP_015177404.1, XP_015177419.1	XP_309986.3
OG0000287	XP_015187469.1	XP_315240.3
OG0000288	XP_015186294.1	XP_552525.3
OG0000288	XP_015183873.1	XP_319330.4
OG0000289	XP_015177216.1, XP_015177215.1, XP_015177214.1	XP_319051.2
OG0000291	XP_015174407.1	XP_001689411.1
OG0000295	XP_015185216.1, XP_015185218.1, XP_015185219.1, XP_015185221.1, XP_015185220.1	XP_564212.2
OG0000296	XP_015175143.1	XP_316088.3
OG0000298	XP_015178198.1	XP_003436069.1, XP_307929.5
OG0000299	XP_015173742.1, XP_015173740.1, XP_015173741.1	XP_317327.4
OG0000300	XP_015174564.1, XP_015174566.1, XP_015174563.1, XP_015174565.1, XP_015174562.1	XP_311179.3
OG0000301	XP_015180681.1	XP_003437208.1, XP_003437207.1, XP_003437206.1, XP_558699.5
OG0000301	XP_015183588.1	XP_555875.4
OG0000302	XP_015171510.1	XP_320795.4
OG0000302	XP_015178748.1	XP_559969.3
OG0000303	XP_015174186.1	XP_562126.3
OG0000304	XP_015186040.1, XP_015186043.1, XP_015186044.1, XP_015186041.1, XP_015186042.1, XP_015186039.1	XP_309314.4
OG0000306	XP_015183454.1	XP_313557.5
