Orthogroup	Habropoda_laboriosa	Megachile_rotundata
OG0000140	XP_017792772.1	XP_012154290.1, XP_012154284.1, XP_012154283.1, XP_012154287.1, XP_012154285.1, XP_012154289.1, XP_003700441.1, XP_012154288.1
OG0000141	XP_017788659.1, XP_017788642.1, XP_017788651.1	XP_012136934.1, XP_012136932.1, XP_003701648.1, XP_012136933.1, XP_012136935.1
OG0000143	XP_017792254.1, XP_017792252.1, XP_017792253.1	XP_012138075.1
OG0000143	XP_017792241.1	XP_012138074.1
OG0000144	XP_017799237.1, XP_017799232.1, XP_017799234.1, XP_017799233.1, XP_017799236.1, XP_017799238.1	XP_012151683.1, XP_012151684.1, XP_012151682.1
OG0000145	XP_017796270.1	XP_012145329.1
OG0000146	XP_017796843.1	XP_003708387.1, XP_012152922.1
OG0000147	XP_017794346.1	XP_012141572.1
OG0000148	XP_017794377.1	XP_003700170.2, XP_012149742.1, XP_012149750.1
OG0000149	XP_017790767.1, XP_017790769.1	XP_003702628.1, XP_012139175.1
OG0000150	XP_017792275.1, XP_017792274.1, XP_017792277.1	XP_012138047.1, XP_012138046.1, XP_003702066.1, XP_012138044.1, XP_012138043.1, XP_012138048.1
OG0000151	XP_017790935.1	XP_003699394.1
OG0000152	XP_017797297.1, XP_017797034.1	XP_003700885.1, XP_012135227.1, XP_003700881.1, XP_003700979.1, XP_012135225.1, XP_003700879.1, XP_003700882.2, XP_003700841.2
OG0000153	XP_017796719.1	XP_012146604.1
OG0000153	XP_017797106.1, XP_017796355.1	XP_012147493.1
OG0000155	XP_017794253.1	XP_012153031.1, XP_012153030.1, XP_003708480.1
OG0000156	XP_017790495.1	XP_012138202.1, XP_012138201.1, XP_012138199.1, XP_003702328.1, XP_012138200.1
OG0000157	XP_017788203.1	XP_012146210.1
OG0000158	XP_017799456.1	XP_012141367.1, XP_003699623.1
OG0000159	XP_017789953.1	XP_012148494.1, XP_003706704.1, XP_012148489.1, XP_012148490.1, XP_012148491.1, XP_012148493.1
OG0000160	XP_017793295.1	XP_012137702.1
OG0000161	XP_017787593.1, XP_017787594.1	XP_003700698.1, XP_012134590.1, XP_012134591.1
OG0000162	XP_017795182.1, XP_017795181.1	XP_012153110.1, XP_012153115.1, XP_012153112.1, XP_012153111.1, XP_012153114.1, XP_012153113.1, XP_003708460.1
OG0000164	XP_017791397.1	XP_003701347.1, XP_012136090.1, XP_012136091.1, XP_012136092.1
OG0000165	XP_017793840.1	XP_012149513.1, XP_012149516.1, XP_012149517.1, XP_012149515.1, XP_012149514.1, XP_003707105.1
OG0000166	XP_017792417.1	XP_012137989.1, XP_012137994.1, XP_012137995.1, XP_012137993.1, XP_012137992.1, XP_012137991.1, XP_012137990.1, XP_012137988.1, XP_012137986.1, XP_012137996.1
OG0000167	XP_017798983.1, XP_017799229.1	XP_003703821.1
OG0000168	XP_017793663.1	XP_012145089.1, XP_012145087.1, XP_012145085.1
OG0000168	XP_017793662.1	XP_012145088.1
OG0000169	XP_017795402.1	XP_012150893.1, XP_003700128.1
OG0000170	XP_017787826.1	XP_012143706.1, XP_012143704.1, XP_012143705.1, XP_012143702.1, XP_012143703.1, XP_012143700.1, XP_012143701.1, XP_003704643.1
OG0000171	XP_017793301.1, XP_017793291.1	XP_003702453.2
OG0000172	XP_017798095.1	XP_003706217.1
OG0000172	XP_017798094.1	XP_012147418.1
OG0000172	XP_017798766.1	XP_003702759.1
OG0000173	XP_017799360.1, XP_017799362.1	XP_012151659.1, XP_012151663.1, XP_012151656.1, XP_012151664.1
OG0000174	XP_017796472.1	XP_012139949.1, XP_003703046.1
OG0000175	XP_017793482.1	XP_003699277.1, XP_012134863.1, XP_012134848.1, XP_012134881.1, XP_012134890.1, XP_012134857.1, XP_012134872.1, XP_012134840.1
OG0000176	XP_017789474.1	XP_012146686.1
OG0000177	XP_017791738.1	XP_003703976.1
OG0000178	XP_017795994.1	XP_003703956.1
OG0000179	XP_017788771.1	XP_003704233.1
OG0000180	XP_017789946.1	XP_003701026.1
OG0000181	XP_017796307.1	XP_012142584.1, XP_012142583.1, XP_012142582.1, XP_012142581.1, XP_012142588.1, XP_012142587.1, XP_012142586.1, XP_003704153.1
OG0000182	XP_017797341.1, XP_017797340.1	XP_012144121.1, XP_012144125.1, XP_003704822.1, XP_012144124.1
OG0000183	XP_017797934.1	XP_012147120.1, XP_012147119.1, XP_012147118.1
OG0000184	XP_017792500.1, XP_017792509.1, XP_017792517.1	XP_003706966.1, XP_012148848.1, XP_012148849.1, XP_012148852.1, XP_012148850.1
OG0000185	XP_017798069.1	XP_003706495.1, XP_012148048.1, XP_012148045.1, XP_012148046.1, XP_012148047.1
OG0000186	XP_017791286.1	XP_012144798.1, XP_012144791.1
OG0000187	XP_017788490.1	XP_012142303.1
OG0000188	XP_017794463.1	XP_003700862.1, XP_012135174.1, XP_012135172.1, XP_012135173.1
OG0000189	XP_017788425.1	XP_012136525.1, XP_012136526.1, XP_003701555.1
OG0000190	XP_017789128.1, XP_017789207.1	XP_012138374.1, XP_012138376.1, XP_012138375.1
OG0000191	XP_017791376.1, XP_017791452.1	XP_003704574.1, XP_012143543.1
OG0000192	XP_017791754.1, XP_017791753.1	XP_012142257.1, XP_003703969.1, XP_012142260.1, XP_012142258.1, XP_012142256.1
OG0000193	XP_017792331.1, XP_017792330.1	XP_012138083.1, XP_003702085.1, XP_012138082.1, XP_012138081.1
OG0000194	XP_017793364.1	XP_012147782.1, XP_012147792.1, XP_012147787.1, XP_012147768.1, XP_003699938.1
OG0000195	XP_017795274.1, XP_017795266.1	XP_012145127.1, XP_012145128.1, XP_003705274.1
OG0000196	XP_017796720.1, XP_017797008.1, XP_017796987.1	XP_012147630.1
OG0000197	XP_017795064.1	XP_003708046.2
OG0000198	XP_017793574.1	XP_003700219.1, XP_003700218.1, XP_012153678.1, XP_012153677.1, XP_012153617.1, XP_012153681.1, XP_003700221.1, XP_003700222.2, XP_012153682.1, XP_012153679.1
OG0000200	XP_017788300.1	XP_012141849.1, XP_012141850.1, XP_012141851.1, XP_012141845.1, XP_012141846.1, XP_012141847.1, XP_003703775.1
OG0000201	XP_017797336.1	XP_003704834.1, XP_012144296.1, XP_012144297.1
OG0000202	XP_017793090.1	XP_012154471.1, XP_003700565.1
OG0000203	XP_017798619.1, XP_017798618.1, XP_017798620.1	XP_012139529.1, XP_012139530.1, XP_003702918.1
OG0000204	XP_017791714.1, XP_017791713.1	XP_003704014.1, XP_012142164.1, XP_012142163.1
OG0000205	XP_017794933.1	XP_012145132.1
OG0000206	XP_017789387.1, XP_017789385.1, XP_017789386.1	XP_003708165.1
OG0000207	XP_017793864.1	XP_012141167.1, XP_012141169.1, XP_012141168.1, XP_012141174.1, XP_012141175.1, XP_012141172.1, XP_012141173.1, XP_012141171.1
OG0000208	XP_017799506.1, XP_017799505.1, XP_017799504.1, XP_017799503.1, XP_017799502.1	XP_012138825.1, XP_003702497.1
OG0000209	XP_017795374.1	XP_012152058.1, XP_012152073.1, XP_012152066.1
OG0000210	XP_017796670.1	XP_012146838.1
OG0000211	XP_017799529.1	XP_003702511.1
OG0000212	XP_017793038.1	XP_003699274.1, XP_012154527.1, XP_012154521.1, XP_012154514.1
OG0000213	XP_017799003.1	XP_012144635.1
OG0000214	XP_017797706.1, XP_017797714.1, XP_017797698.1, XP_017797723.1	XP_003703764.1, XP_012141808.1, XP_012141807.1
OG0000215	XP_017791734.1	XP_003701024.1
OG0000216	XP_017789106.1	XP_003703313.1, XP_012140807.1, XP_012140808.1
OG0000217	XP_017798022.1	XP_003705707.1
OG0000218	XP_017796575.1, XP_017796692.1	XP_003705904.2
OG0000219	XP_017793785.1, XP_017793782.1, XP_017793781.1, XP_017793783.1, XP_017793784.1	XP_012153644.1
OG0000220	XP_017797835.1	XP_012148215.1
OG0000221	XP_017798659.1	XP_003702794.2
OG0000222	XP_017789951.1	XP_003706708.1
OG0000222	XP_017791752.1	XP_012148976.1, XP_003706823.1
OG0000223	XP_017796917.1	XP_003702599.1
OG0000224	XP_017794021.1	XP_012138808.1, XP_012138804.1, XP_012138805.1, XP_012138806.1, XP_003702483.1, XP_012138807.1
OG0000226	XP_017791790.1	XP_012143972.1
OG0000227	XP_017795361.1	XP_003705347.1, XP_012153570.1
OG0000228	XP_017798941.1	XP_012151530.1, XP_012151529.1
OG0000229	XP_017794652.1	XP_003707108.1
OG0000229	XP_017789564.1	XP_012136196.1
OG0000230	XP_017797882.1	XP_012148214.1, XP_003706551.2
OG0000231	XP_017790432.1	XP_012148182.1, XP_012148181.1, XP_012148184.1, XP_012148183.1, XP_012148185.1, XP_003706573.2
OG0000232	XP_017788809.1, XP_017788806.1, XP_017788807.1, XP_017788808.1	XP_003704217.1
OG0000233	XP_017795474.1, XP_017790961.1	XP_012149526.1
OG0000234	XP_017787518.1, XP_017787520.1, XP_017787519.1, XP_017787517.1	XP_012135811.1, XP_012135995.1
OG0000235	XP_017788073.1	XP_003706133.1, XP_012147343.1, XP_012147342.1
OG0000237	XP_017789931.1	XP_003701993.1, XP_012137687.1, XP_012137688.1, XP_012137686.1
OG0000238	XP_017793620.1	XP_012150544.1, XP_012150543.1, XP_003707536.1, XP_012150541.1, XP_012150542.1
OG0000240	XP_017788566.1	XP_012143297.1, XP_012143296.1, XP_012143295.1, XP_003704508.2, XP_012143299.1, XP_012143298.1
OG0000241	XP_017798026.1	XP_012145888.1, XP_012145889.1, XP_012145890.1
OG0000242	XP_017788190.1, XP_017788189.1	XP_012150909.1
OG0000244	XP_017788158.1	XP_003707714.1
OG0000245	XP_017797193.1	XP_012152881.1, XP_012152882.1, XP_012152883.1
OG0000246	XP_017797565.1	XP_003702425.1
OG0000246	XP_017797950.1	XP_012135512.1
OG0000247	XP_017792221.1	XP_012138007.1, XP_012138008.1
OG0000248	XP_017792722.1	XP_003704444.2
