Orthogroup	Habropoda_laboriosa	Apis_mellifera
OG0000139	XP_017796909.1, XP_017796915.1, XP_017796914.1, XP_017796913.1, XP_017796916.1, XP_017796910.1, XP_017796912.1	XP_026295883.1, XP_016767420.2, XP_016767421.2, XP_006567363.2, XP_001120680.3, XP_006567362.2, XP_006567361.2
OG0000140	XP_017792772.1	XP_003249499.1, XP_003249498.1
OG0000141	XP_017788659.1, XP_017788642.1, XP_017788651.1	XP_003249767.1, XP_392285.1
OG0000142	XP_017791513.1	XP_003250061.2
OG0000143	XP_017792254.1, XP_017792252.1, XP_017792253.1, XP_017792241.1	XP_392990.2, XP_003251503.1
OG0000144	XP_017799237.1, XP_017799232.1, XP_017799234.1, XP_017799233.1, XP_017799236.1, XP_017799238.1	XP_003251707.1, XP_003251708.1, XP_006571340.1
OG0000145	XP_017791992.1	XP_006557713.1
OG0000145	XP_017796270.1	XP_026300514.1
OG0000146	XP_017796843.1	XP_006560612.2, XP_016767148.1
OG0000147	XP_017794346.1	XP_006561534.1
OG0000148	XP_017794377.1	XP_006561855.2
OG0000149	XP_017790767.1, XP_017790769.1	XP_006567968.1, XP_006567970.1, XP_006567969.1, XP_016767798.1, XP_006567967.1
OG0000150	XP_017792275.1, XP_017792274.1, XP_017792277.1	XP_397532.3, XP_006569470.2, XP_006569471.2
OG0000151	XP_017790935.1	XP_393087.2
OG0000152	XP_017797297.1, XP_017797034.1	XP_394370.2
OG0000155	XP_017794253.1	XP_001120519.2
OG0000156	XP_017790495.1	XP_006568271.1, XP_006568273.1, XP_016766288.1, XP_006568272.1, XP_001120755.1
OG0000157	XP_017788203.1	XP_001122953.3, XP_026298823.1, XP_003251589.1, XP_006570633.1, XP_006570637.2
OG0000158	XP_017799456.1	XP_006560737.1, XP_006560736.1, XP_625123.1
OG0000159	XP_017789953.1	XP_006562424.1
OG0000160	XP_017793295.1	XP_006564400.1, XP_006564397.1
OG0000160	XP_017793298.1	XP_016770397.1, XP_016770398.1
OG0000161	XP_017787593.1, XP_017787594.1	XP_006565324.1
OG0000162	XP_017795182.1, XP_017795181.1	XP_006565382.1
OG0000164	XP_017791397.1	XP_006566943.1, XP_393874.3
OG0000165	XP_017793840.1	XP_006567337.1
OG0000166	XP_017792417.1	XP_016767886.2, XP_006569700.2
OG0000167	XP_017799229.1	XP_006571382.1
OG0000168	XP_017793662.1	XP_016767897.1
OG0000169	XP_017795402.1	XP_394771.5, XP_026298813.1, XP_026298815.1, XP_026298814.1
OG0000170	XP_017787826.1	XP_026299404.1
OG0000171	XP_017793301.1	XP_026299531.1, XP_026299533.1, XP_026299532.1, XP_026299534.1
OG0000172	XP_017798095.1	XP_392313.1
OG0000172	XP_017798094.1	XP_394471.1
OG0000172	XP_017798766.1	XP_026300739.1
OG0000173	XP_017799360.1, XP_017799362.1	XP_026301980.1, XP_026301925.1, XP_026301991.1, XP_026301994.1
OG0000174	XP_017796472.1	XP_393396.2
OG0000175	XP_017793482.1	XP_624349.1
OG0000177	XP_017791680.1	NP_001119716.1
OG0000177	XP_017791738.1	NP_001011563.1
OG0000178	XP_017795994.1	XP_026295756.1, NP_001153742.1
OG0000179	XP_017788771.1	NP_001164579.1
OG0000180	XP_017789946.1	XP_001121653.2
OG0000181	XP_017796307.1	XP_003249464.1
OG0000182	XP_017797341.1, XP_017797340.1	XP_006561675.1, XP_003249977.1
OG0000183	XP_017797934.1	XP_003251772.2
OG0000184	XP_017792500.1, XP_017792509.1, XP_017792517.1	XP_006562893.1, XP_006562894.1
OG0000185	XP_017798069.1	XP_016768791.1, XP_393026.2, XP_006563285.1
OG0000186	XP_017791282.1, XP_017791278.1	XP_006563887.1, XP_006563890.1, XP_006563882.1
OG0000187	XP_017788490.1	XP_016766990.1, XP_006564055.1, XP_006564053.1
OG0000188	XP_017794463.1	XP_006565899.1, XP_026294733.1, XP_026294734.1, XP_006565900.1
OG0000189	XP_017788425.1	XP_006568930.1
OG0000190	XP_017789128.1, XP_017789207.1	XP_006568998.1, XP_006569000.1, XP_016766331.1, XP_006568999.1
OG0000191	XP_017791376.1, XP_017791452.1	XP_006569550.1, XP_624266.2, XP_006569551.1
OG0000192	XP_017791754.1, XP_017791753.1	XP_016766933.1, XP_026295178.1
OG0000193	XP_017792331.1, XP_017792330.1	XP_016767794.2, XP_016767790.2, XP_016767787.2
OG0000194	XP_017793364.1	XP_016770669.1
OG0000195	XP_017795274.1, XP_017795266.1	XP_026296372.1, XP_026296371.1
OG0000200	XP_017788300.1	NP_001128406.1, XP_006571519.1
OG0000201	XP_017797336.1	XP_001119951.1, XP_006561688.1, XP_003249895.1
OG0000202	XP_017793090.1	XP_003250896.1, XP_001120350.1, XP_003250898.1
OG0000203	XP_017798619.1, XP_017798618.1, XP_017798620.1	XP_006565811.2, XP_001122835.3
OG0000204	XP_017791714.1, XP_017791713.1	XP_003251155.1, XP_003251156.1
OG0000205	XP_017794933.1	XP_006572173.2, XP_026296702.1, XP_003251882.2, XP_006572174.2
OG0000206	XP_017789387.1, XP_017789385.1, XP_017789386.1	XP_006557316.1, XP_006557318.1, XP_006557317.1, XP_006557319.1, XP_016766730.1
OG0000207	XP_017793864.1	XP_006558259.2, XP_016769048.2
OG0000208	XP_017799506.1, XP_017799505.1, XP_017799504.1, XP_017799503.1, XP_017799502.1	XP_006559494.1
OG0000209	XP_017795374.1	XP_026298756.1, XP_006561872.1, XP_392540.2, XP_006561871.1
OG0000210	XP_017796670.1	XP_006563397.1
OG0000211	XP_017799529.1	XP_006568070.1
OG0000212	XP_017793038.1	XP_393761.1, XP_006570503.1
OG0000213	XP_017799003.1	XP_006571185.1, XP_006571187.1, XP_006571186.1, XP_396469.1
OG0000214	XP_017797706.1, XP_017797714.1, XP_017797698.1, XP_017797723.1	XP_392808.2, XP_016772009.1, XP_006571553.1
OG0000215	XP_017791734.1	XP_016766808.1, XP_016766809.1, XP_016766810.1, XP_016766811.1, XP_623991.1
OG0000216	XP_017789106.1	XP_016768345.2
OG0000218	XP_017796575.1	XP_394061.2
OG0000218	XP_017796692.1	XP_016772012.1
OG0000219	XP_017793785.1, XP_017793782.1, XP_017793781.1, XP_017793783.1, XP_017793784.1	XP_026296787.1
OG0000220	XP_017797835.1	XP_026297714.1
OG0000221	XP_017798659.1	XP_026300900.1
OG0000222	XP_017789951.1	XP_395771.3
OG0000222	XP_017791752.1	XP_395824.1
OG0000223	XP_017796917.1	XP_623076.2
OG0000226	XP_017791790.1	XP_026301042.1, NP_001011567.1
OG0000228	XP_017798941.1	XP_016768768.2, XP_001120116.2, XP_397073.5, XP_026300288.1
OG0000229	XP_017794652.1	XP_001121836.2
OG0000229	XP_017789564.1	XP_016771112.2
OG0000230	XP_017797882.1	XP_001123187.2
OG0000231	XP_017790432.1	XP_006557693.1, XP_397140.4
OG0000232	XP_017788809.1, XP_017788806.1, XP_017788807.1, XP_017788808.1	XP_006557909.1, XP_624210.1
OG0000233	XP_017795474.1, XP_017790961.1	XP_397055.1, XP_006558287.1
OG0000234	XP_017787518.1, XP_017787520.1, XP_017787519.1, XP_017787517.1	XP_006559641.1
OG0000235	XP_017788073.1	XP_006560541.1
OG0000237	XP_017789931.1	XP_006569713.1, XP_396989.2
OG0000238	XP_017793620.1	XP_006569984.1
OG0000240	XP_017788566.1	XP_623109.1, XP_006572024.1
OG0000241	XP_017798026.1	XP_026298312.1, XP_026298311.1, XP_016769009.2
OG0000242	XP_017788193.1, XP_017788192.1, XP_017788191.1	XP_016770320.2
OG0000242	XP_017788190.1, XP_017788189.1	XP_026300495.1
OG0000243	XP_017788238.1, XP_017788234.1, XP_017788237.1, XP_017788233.1, XP_017788232.1	XP_016773325.1
OG0000244	XP_017788158.1	XP_026295595.1, XP_026295601.1, XP_026295597.1, XP_026295596.1, XP_026295598.1, XP_026295599.1, XP_026295602.1, XP_026295600.1
OG0000245	XP_017797193.1	XP_026295766.1
OG0000246	XP_017797565.1	XP_026297284.1
OG0000246	XP_017797950.1	XP_026298045.1
OG0000247	XP_017792221.1	XP_026297623.1
OG0000248	XP_017792722.1	XP_026299577.1
OG0000249	XP_017792670.1, XP_017792668.1	XP_026299596.1, XP_026299597.1
OG0000250	XP_017788369.1	XP_026301515.1, XP_026301514.1, XP_026301532.1, XP_026301521.1, XP_026301519.1, XP_026301526.1, XP_026301524.1, XP_026301523.1
OG0000251	XP_017796631.1	XP_392055.2
OG0000252	XP_017789685.1	XP_395221.4
OG0000253	XP_017797955.1	NP_001011600.1
OG0000253	XP_017797956.1	NP_001104234.1
OG0000253	XP_017797971.1, XP_017797954.1	NP_001092187.1
OG0000254	XP_017789404.1	NP_001314890.1
OG0000255	XP_017798490.1	XP_001121591.2, XP_006564963.1
OG0000256	XP_017798011.1	XP_006565044.2, XP_003250569.2
OG0000257	XP_017798701.1, XP_017798700.1, XP_017798703.1, XP_017798704.1, XP_017798699.1	XP_003250703.1
OG0000258	XP_017791021.1	XP_006557421.1, XP_006557422.2, XP_016770405.1
OG0000259	XP_017796780.1, XP_017796777.1, XP_017796776.1, XP_017796778.1, XP_017796779.1	XP_026296970.1, XP_006557589.1, XP_006557588.1, XP_006557587.1, XP_006557586.1, XP_026296969.1
OG0000260	XP_017790206.1	XP_016768598.1, XP_006558866.1
OG0000261	XP_017799571.1	XP_026298357.1, XP_006559582.1, XP_006559579.1, XP_006559580.1, XP_006559581.1, XP_395441.2
OG0000262	XP_017789911.1	XP_006559860.1, XP_006559861.1, XP_396828.2, XP_006559859.1
OG0000263	XP_017792920.1	XP_006561090.1, XP_006561087.1, XP_006561089.1, XP_026301327.1
OG0000264	XP_017790243.1	XP_006562405.1
OG0000265	XP_017792850.1, XP_017792851.1	XP_006566408.1, XP_006566409.1, XP_625132.2
OG0000266	XP_017796547.1	XP_026302265.1, XP_006568825.1, XP_394284.2
OG0000267	XP_017796412.1	XP_006568882.1, XP_006568883.1
OG0000268	XP_017799493.1	XP_006569035.1
OG0000269	XP_017794548.1, XP_017794546.1, XP_017794547.1	XP_006571082.1, XP_006571081.1
OG0000270	XP_017795077.1	XP_006572356.1
OG0000271	XP_017794217.1	XP_006572407.1
OG0000272	XP_017793928.1	XP_026301731.1, XP_006572419.1, XP_006572418.1, XP_623842.1
OG0000273	XP_017799525.1, XP_017799524.1, XP_017799522.1	XP_026298315.1, XP_016769150.2
OG0000274	XP_017790922.1	XP_026297890.1, XP_026297889.1, XP_026297888.1, XP_026297887.1, XP_026297886.1, XP_026297885.1, XP_026297884.1, XP_026297883.1, XP_026297882.1, XP_026297881.1, XP_016769197.2
OG0000275	XP_017792432.1	XP_016770931.1
OG0000276	XP_017795898.1, XP_017795906.1	XP_026294810.1, XP_026294798.1, XP_026294767.1
OG0000277	XP_017789718.1, XP_017789719.1, XP_017789715.1, XP_017789720.1, XP_017789716.1, XP_017789717.1	XP_026294924.1
OG0000278	XP_017796176.1, XP_017796175.1, XP_017796178.1, XP_017796177.1, XP_017796184.1, XP_017796183.1, XP_017796182.1, XP_017796181.1, XP_017796186.1, XP_017796185.1, XP_017796180.1	XP_026295210.1
OG0000279	XP_017789380.1, XP_017789381.1	XP_026295498.1
OG0000280	XP_017796495.1	XP_026295830.1
OG0000281	XP_017795263.1	XP_026296262.1, XP_026296261.1, XP_026296263.1
OG0000282	XP_017788367.1	XP_026297548.1
OG0000283	XP_017794884.1	XP_026299985.1
OG0000284	XP_017793542.1	XP_026301193.1
OG0000285	XP_017787925.1	XP_026301426.1
OG0000286	XP_017798374.1	NP_001136033.1, XP_006557739.2
OG0000287	XP_017798046.1	NP_001137393.1, XP_006568558.1
OG0000288	XP_017795523.1	XP_006571955.1, XP_001122617.2
OG0000289	XP_017798582.1	XP_016771731.1, XP_003250539.1
OG0000290	XP_017791652.1	XP_003250662.1
OG0000291	XP_017795689.1, XP_017795690.1	XP_003251224.2, XP_006568360.2
OG0000292	XP_017787467.1	XP_006569017.1, XP_006569018.1, XP_003251296.1
OG0000293	XP_017794181.1	XP_006559045.1
OG0000294	XP_017798356.1	XP_006559458.1, XP_392994.4
OG0000295	XP_017798876.1	XP_006559711.2, XP_397062.3, XP_006559712.2
OG0000296	XP_017798854.1	XP_006559728.2, XP_006559729.2, XP_006559730.2, XP_393129.4
OG0000297	XP_017790169.1	XP_006559877.1, XP_393189.1
OG0000298	XP_017788782.1	XP_393921.4, XP_016771409.1, XP_006560471.1
OG0000299	XP_017794371.1	XP_006561768.2
OG0000300	XP_017789601.1	XP_006562453.1, XP_006562449.1
OG0000301	XP_017792528.1	XP_006562896.1
OG0000302	XP_017796651.1	XP_006563787.1
OG0000303	XP_017787512.1, XP_017787511.1, XP_017787509.1, XP_017787510.1, XP_017787505.1	XP_016769093.2, XP_006564729.1, XP_006564719.2
OG0000304	XP_017798488.1	XP_006565043.1, XP_006565042.1, XP_016769490.1
OG0000305	XP_017790766.1	XP_006567820.1, XP_016767795.1, XP_006567825.1, XP_026296835.1, XP_006567824.1, XP_016767792.1, XP_006567823.1
OG0000306	XP_017798013.1, XP_017798014.1	XP_006569762.1
OG0000307	XP_017796742.1	XP_006569978.1
OG0000308	XP_017799348.1	XP_006571172.2, XP_006571173.2
OG0000309	XP_017799373.1	XP_026302249.1, XP_006571320.1
OG0000310	XP_017797132.1, XP_017797072.1	XP_006571525.1
OG0000311	XP_017798823.1	XP_016769273.1, XP_026298073.1, XP_016769276.1, XP_395161.2, XP_016769270.1, XP_016769275.1, XP_016769271.1
OG0000312	XP_017797440.1, XP_017797942.1	XP_016770898.2
OG0000313	XP_017790933.1	XP_026298578.1
OG0000314	XP_017790272.1	XP_026299702.1
OG0000316	XP_017793237.1	XP_394229.2
OG0000323	XP_017798115.1	XP_026299083.1, XP_001120613.2
OG0000324	XP_017790126.1	XP_006569202.1, XP_001120810.2, XP_016769779.1
OG0000325	XP_017796219.1	XP_006568130.1, XP_006568132.1, XP_006568133.1, XP_006568134.1, XP_001121996.2
OG0000326	XP_017798760.1	XP_006564882.2, XP_003250536.2
OG0000327	XP_017797731.1	XP_003250560.1
OG0000328	XP_017799559.1	XP_003251167.1, XP_397314.1
OG0000329	XP_017796665.1, XP_017796657.1	XP_006558244.2
OG0000330	XP_017788912.1	XP_624589.2
OG0000330	XP_017788913.1	XP_006558596.1
OG0000331	XP_017794693.1	XP_397065.2, XP_006558840.1, XP_016771894.1, XP_026300795.1, XP_026300793.1
OG0000332	XP_017790040.1	XP_006558879.1
OG0000333	XP_017797645.1	XP_006559117.2, XP_026297198.1, XP_006559116.2
OG0000334	XP_017794702.1	XP_006560262.1
OG0000336	XP_017794988.1	XP_006560865.2, XP_006560866.2
OG0000337	XP_017788630.1	XP_006560933.1, XP_624657.2, XP_016766820.1, XP_016766818.1, XP_016766817.1, XP_006560934.1
OG0000338	XP_017797841.1	XP_006562601.1, XP_006562602.1
OG0000339	XP_017795448.1, XP_017795447.1	XP_393004.3, XP_006562919.1, XP_006562921.1, XP_006562920.1
OG0000340	XP_017794025.1	XP_016768933.1, XP_006564632.1, XP_006564631.1
OG0000341	XP_017793661.1	XP_006564844.1
OG0000342	XP_017798574.1	XP_006565842.1, XP_392026.2
OG0000343	XP_017789927.1	XP_006566142.1, XP_006566141.1, XP_393678.2
OG0000344	XP_017795573.1	XP_006566349.2
OG0000345	XP_017794527.1, XP_017794528.1, XP_017794529.1, XP_017794530.1	XP_006567437.1, XP_392511.2
OG0000347	XP_017792090.1	XP_006569527.1, XP_006569526.1, XP_006569525.1
OG0000348	XP_017790082.1, XP_017790084.1	XP_026298948.1
OG0000349	XP_017796898.1	XP_016768335.1, XP_006570028.1, XP_395486.2, XP_016768336.1
