Orthogroup	Habropoda_laboriosa	Osmia_lignaria
OG0000054	XP_017795807.1, XP_017795809.1, XP_017795808.1, XP_017795803.1, XP_017795810.1, XP_017795806.1	XP_034195791.1, XP_034195790.1, XP_034195789.1, XP_034195792.1
OG0000055	XP_017797342.1	XP_034184425.1, XP_034184424.1, XP_034184427.1, XP_034184426.1
OG0000056	XP_017798800.1	XP_034180577.1, XP_034180576.1, XP_034180578.1
OG0000058	XP_017795931.1	XP_034171015.1
OG0000058	XP_017795930.1	XP_034171927.1
OG0000059	XP_017799148.1	XP_034173506.1, XP_034183943.1, XP_034175387.1, XP_034171057.1, XP_034173943.1, XP_034173507.1
OG0000059	XP_017799145.1	XP_034173418.1
OG0000060	XP_017795112.1	XP_034192995.1, XP_034192984.1, XP_034192985.1, XP_034192986.1, XP_034192987.1, XP_034192988.1, XP_034192989.1, XP_034192990.1, XP_034192992.1, XP_034192993.1, XP_034192994.1, XP_034192997.1, XP_034192999.1, XP_034193000.1, XP_034192998.1, XP_034192996.1
OG0000061	XP_017797025.1	XP_034195210.1, XP_034194824.1, XP_034194797.1, XP_034195117.1, XP_034195051.1, XP_034194543.1, XP_034195139.1, XP_034194986.1, XP_034195041.1, XP_034192371.1, XP_034195078.1, XP_034174769.1, XP_034195201.1, XP_034192437.1, XP_034192425.1, XP_034195197.1, XP_034195316.1, XP_034195346.1
OG0000062	XP_017787674.1	XP_034194211.1, XP_034178195.1, XP_034194607.1, XP_034174772.1, XP_034194576.1, XP_034195291.1, XP_034171871.1, XP_034184035.1, XP_034194023.1, XP_034195128.1, XP_034192555.1, XP_034192484.1, XP_034192270.1, XP_034195060.1
OG0000063	XP_017791822.1	XP_034179598.1
OG0000063	XP_017791522.1, XP_017791523.1	XP_034186700.1, XP_034186699.1
OG0000063	XP_017791824.1	XP_034179599.1
OG0000064	XP_017796680.1, XP_017796681.1	XP_034193748.1, XP_034193749.1, XP_034193750.1
OG0000064	XP_017789191.1, XP_017795058.1	XP_034195488.1
OG0000065	XP_017792968.1	XP_034175487.1, XP_034175486.1, XP_034175485.1, XP_034175484.1, XP_034175489.1, XP_034175483.1, XP_034175488.1
OG0000066	XP_017789529.1, XP_017789530.1	XP_034182276.1, XP_034182277.1, XP_034182279.1, XP_034182278.1, XP_034182280.1
OG0000067	XP_017792512.1	XP_034185661.1, XP_034185663.1, XP_034185666.1, XP_034185665.1, XP_034185667.1, XP_034185659.1, XP_034185660.1, XP_034185662.1
OG0000069	XP_017797758.1	XP_034191920.1, XP_034191918.1, XP_034191919.1, XP_034191915.1, XP_034191916.1, XP_034191917.1
OG0000070	XP_017792725.1	XP_034188825.1, XP_034188823.1, XP_034188824.1
OG0000071	XP_017797358.1	XP_034186050.1, XP_034186060.1, XP_034186034.1, XP_034186043.1
OG0000072	XP_017788172.1, XP_017788171.1, XP_017788170.1, XP_017788169.1, XP_017788173.1, XP_017788174.1	XP_034182415.1, XP_034182416.1, XP_034182419.1, XP_034182418.1, XP_034182417.1
OG0000073	XP_017787586.1, XP_017787587.1	XP_034191022.1
OG0000074	XP_017794737.1	XP_034180498.1, XP_034180227.1
OG0000076	XP_017799593.1	XP_034183753.1, XP_034183708.1
OG0000077	XP_017790553.1, XP_017790555.1	XP_034172037.1, XP_034172035.1
OG0000078	XP_017792569.1, XP_017797126.1, XP_017792570.1, XP_017795215.1, XP_017796732.1, XP_017797042.1, XP_017796957.1, XP_017796955.1, XP_017797122.1	XP_034175172.1, XP_034175972.1, XP_034175971.1, XP_034175970.1, XP_034175973.1, XP_034175974.1
OG0000079	XP_017795101.1	XP_034179339.1
OG0000080	XP_017792228.1	XP_034178154.1
OG0000081	XP_017793012.1	XP_034175506.1
OG0000082	XP_017799058.1	XP_034172377.1, XP_034172378.1, XP_034172374.1, XP_034172375.1, XP_034172381.1, XP_034172379.1, XP_034172380.1
OG0000083	XP_017788047.1	XP_034188204.1, XP_034188205.1, XP_034188201.1, XP_034188199.1, XP_034188198.1, XP_034188203.1, XP_034188202.1, XP_034188206.1
OG0000084	XP_017792996.1, XP_017796553.1	XP_034182489.1, XP_034195161.1, XP_034195328.1
OG0000085	XP_017794362.1	XP_034184545.1, XP_034184551.1, XP_034184550.1, XP_034184552.1, XP_034184547.1, XP_034184546.1, XP_034184549.1, XP_034184548.1
OG0000086	XP_017796684.1	XP_034193755.1
OG0000087	XP_017789247.1	XP_034175005.1, XP_034175008.1, XP_034174999.1, XP_034175001.1, XP_034175000.1, XP_034175002.1, XP_034175004.1, XP_034175007.1, XP_034175006.1, XP_034175003.1, XP_034175009.1
OG0000089	XP_017793317.1, XP_017793318.1, XP_017793285.1, XP_017797037.1	XP_034176486.1, XP_034176485.1, XP_034176484.1
OG0000090	XP_017798266.1	XP_034174806.1, XP_034174807.1, XP_034174804.1, XP_034174805.1, XP_034174809.1, XP_034174808.1
OG0000091	XP_017793696.1, XP_017793694.1, XP_017793697.1	XP_034176758.1, XP_034176759.1, XP_034176760.1, XP_034176761.1, XP_034176762.1, XP_034176757.1
OG0000093	XP_017789280.1, XP_017789278.1	XP_034176689.1
OG0000094	XP_017788404.1	XP_034189000.1, XP_034188997.1, XP_034188999.1, XP_034188998.1, XP_034189001.1, XP_034189002.1
OG0000095	XP_017792240.1	XP_034182328.1, XP_034182296.1, XP_034182318.1, XP_034182312.1, XP_034182303.1
OG0000096	XP_017796141.1	XP_034182648.1, XP_034182649.1, XP_034182646.1, XP_034182647.1, XP_034182653.1, XP_034182650.1, XP_034182651.1, XP_034182631.1, XP_034182643.1, XP_034182642.1, XP_034182641.1, XP_034182640.1, XP_034182639.1, XP_034182638.1, XP_034182637.1, XP_034182644.1, XP_034182630.1, XP_034182632.1, XP_034182633.1, XP_034182628.1, XP_034182629.1, XP_034182645.1, XP_034182634.1, XP_034182635.1, XP_034182654.1
OG0000097	XP_017792113.1	XP_034194113.1, XP_034194115.1, XP_034194114.1
OG0000098	XP_017790044.1	XP_034183858.1, XP_034183859.1, XP_034183860.1, XP_034183857.1, XP_034183855.1, XP_034183854.1, XP_034183861.1, XP_034183862.1
OG0000099	XP_017788335.1, XP_017788334.1, XP_017788333.1	XP_034172361.1, XP_034172360.1, XP_034172357.1, XP_034172359.1
OG0000101	XP_017795008.1	XP_034190967.1, XP_034190977.1, XP_034190974.1, XP_034190966.1, XP_034190972.1, XP_034190973.1, XP_034190965.1, XP_034190964.1, XP_034190980.1, XP_034190971.1, XP_034190970.1, XP_034190981.1, XP_034190976.1, XP_034190982.1, XP_034190975.1, XP_034190983.1, XP_034190968.1, XP_034190978.1, XP_034190969.1
OG0000102	XP_017790496.1	XP_034181038.1, XP_034181041.1, XP_034181039.1, XP_034181040.1, XP_034181037.1
OG0000103	XP_017795578.1	XP_034175113.1, XP_034175112.1, XP_034175114.1
OG0000104	XP_017790369.1	XP_034186114.1
OG0000104	XP_017790362.1	XP_034186107.1
OG0000105	XP_017787598.1	XP_034191356.1, XP_034191353.1, XP_034191357.1, XP_034191354.1, XP_034191358.1, XP_034191359.1, XP_034191360.1, XP_034191361.1, XP_034191352.1, XP_034191351.1
OG0000106	XP_017795920.1	XP_034194636.1, XP_034195009.1
OG0000107	XP_017789577.1	XP_034189003.1, XP_034195086.1
OG0000108	XP_017795457.1, XP_017795456.1, XP_017795458.1, XP_017795454.1, XP_017795455.1	XP_034183658.1, XP_034183657.1
OG0000109	XP_017791211.1	XP_034185678.1, XP_034185675.1, XP_034185679.1, XP_034185680.1, XP_034185683.1, XP_034185684.1, XP_034185676.1, XP_034185673.1, XP_034185674.1, XP_034185681.1, XP_034185682.1, XP_034185677.1
OG0000110	XP_017798692.1	XP_034194089.1, XP_034194090.1, XP_034194088.1, XP_034194086.1, XP_034194087.1
OG0000112	XP_017795970.1	XP_034171933.1
OG0000113	XP_017794671.1	XP_034171786.1, XP_034171784.1, XP_034171785.1
OG0000114	XP_017795102.1, XP_017795103.1	XP_034179365.1, XP_034179363.1, XP_034179367.1, XP_034179366.1, XP_034179361.1, XP_034179362.1
OG0000115	XP_017794904.1, XP_017794905.1, XP_017794906.1	XP_034191324.1, XP_034191323.1
OG0000116	XP_017797704.1	XP_034180712.1, XP_034180711.1, XP_034180710.1, XP_034180709.1
OG0000117	XP_017789755.1, XP_017789754.1, XP_017789756.1	XP_034178973.1
OG0000118	XP_017788114.1	XP_034182422.1, XP_034182423.1, XP_034182421.1, XP_034182424.1
OG0000119	XP_017788550.1, XP_017795246.1	XP_034191746.1, XP_034191745.1, XP_034191747.1, XP_034191749.1, XP_034191748.1
OG0000120	XP_017792695.1, XP_017792653.1	XP_034190809.1, XP_034176183.1, XP_034190765.1, XP_034175209.1
OG0000121	XP_017797236.1	XP_034174273.1, XP_034174272.1, XP_034174271.1, XP_034174270.1
OG0000122	XP_017797280.1	XP_034172163.1
OG0000124	XP_017792535.1, XP_017792534.1, XP_017792533.1, XP_017792539.1, XP_017792538.1, XP_017792537.1, XP_017792536.1	XP_034185528.1
OG0000125	XP_017791425.1	XP_034190826.1, XP_034190827.1
OG0000126	XP_017789648.1, XP_017789644.1, XP_017789645.1, XP_017789646.1, XP_017789647.1	XP_034181554.1
OG0000128	XP_017796091.1	XP_034176819.1, XP_034176820.1, XP_034176821.1, XP_034176817.1, XP_034176818.1
OG0000129	XP_017795022.1	XP_034176168.1, XP_034176167.1, XP_034176169.1
OG0000130	XP_017791660.1	XP_034177344.1, XP_034177330.1, XP_034177323.1, XP_034177336.1
OG0000131	XP_017793513.1	XP_034175704.1, XP_034175702.1, XP_034175701.1, XP_034175700.1, XP_034175703.1, XP_034175699.1
OG0000132	XP_017790774.1, XP_017790775.1	XP_034177586.1, XP_034177584.1, XP_034177583.1
OG0000134	XP_017797579.1	XP_034193805.1
OG0000135	XP_017798375.1	XP_034191110.1, XP_034191109.1
OG0000136	XP_017791302.1	XP_034194807.1
OG0000137	XP_017797140.1	XP_034194964.1, XP_034194849.1, XP_034194935.1, XP_034194934.1, XP_034195061.1
OG0000138	XP_017793589.1, XP_017793591.1, XP_017788546.1, XP_017793079.1, XP_017797023.1, XP_017788544.1, XP_017788543.1	XP_034192727.1
OG0000139	XP_017796909.1, XP_017796915.1, XP_017796914.1, XP_017796913.1, XP_017796916.1, XP_017796910.1, XP_017796912.1	XP_034195309.1, XP_034195317.1, XP_034195314.1, XP_034195304.1
OG0000140	XP_017792772.1	XP_034183102.1, XP_034183103.1, XP_034183104.1, XP_034183105.1, XP_034183106.1, XP_034183101.1
OG0000141	XP_017788659.1, XP_017788642.1, XP_017788651.1	XP_034182597.1, XP_034182600.1, XP_034182598.1
OG0000143	XP_017792254.1, XP_017792252.1, XP_017792253.1	XP_034182661.1
OG0000143	XP_017792241.1	XP_034182652.1
OG0000144	XP_017799237.1, XP_017799232.1, XP_017799234.1, XP_017799233.1, XP_017799236.1, XP_017799238.1	XP_034173463.1, XP_034173465.1, XP_034173464.1
OG0000145	XP_017791992.1	XP_034172417.1, XP_034172418.1, XP_034172420.1, XP_034172414.1, XP_034172415.1, XP_034172416.1, XP_034172421.1, XP_034192199.1, XP_034192520.1, XP_034195079.1, XP_034192516.1
OG0000145	XP_017796270.1	XP_034184612.1
OG0000146	XP_017796843.1	XP_034173815.1, XP_034173817.1
OG0000147	XP_017794346.1	XP_034181254.1, XP_034181253.1, XP_034181258.1, XP_034181249.1, XP_034181250.1, XP_034181251.1, XP_034181257.1, XP_034181256.1, XP_034181252.1
OG0000148	XP_017794377.1	XP_034185966.1, XP_034185984.1, XP_034185960.1, XP_034185975.1
OG0000149	XP_017790767.1, XP_017790769.1	XP_034177625.1, XP_034177623.1, XP_034177622.1, XP_034177626.1
OG0000150	XP_017792275.1, XP_017792274.1, XP_017792277.1	XP_034176323.1, XP_034176352.1, XP_034176342.1, XP_034176332.1
OG0000151	XP_017790935.1	XP_034189041.1, XP_034189040.1
OG0000152	XP_017797297.1, XP_017797034.1	XP_034170811.1, XP_034170810.1, XP_034170809.1
OG0000153	XP_017797106.1, XP_017796355.1	XP_034182476.1
OG0000155	XP_017794253.1	XP_034171114.1, XP_034171099.1, XP_034171091.1, XP_034171105.1
OG0000156	XP_017790495.1	XP_034170950.1
OG0000157	XP_017788203.1	XP_034173810.1
OG0000158	XP_017799456.1	XP_034179685.1
OG0000159	XP_017789953.1	XP_034190002.1, XP_034190001.1
OG0000160	XP_017793295.1	XP_034175010.1, XP_034175012.1
OG0000161	XP_017787593.1, XP_017787594.1	XP_034186534.1, XP_034186533.1
OG0000162	XP_017795182.1, XP_017795181.1	XP_034178501.1, XP_034178492.1
OG0000164	XP_017791397.1	XP_034182895.1, XP_034182896.1
OG0000165	XP_017793840.1	XP_034194095.1, XP_034194096.1, XP_034194097.1
OG0000166	XP_017792417.1	XP_034195596.1, XP_034195604.1, XP_034195587.1
OG0000167	XP_017798983.1, XP_017799229.1	XP_034172270.1
OG0000168	XP_017793662.1	XP_034176766.1
OG0000169	XP_017795402.1	XP_034183965.1, XP_034183967.1, XP_034183963.1, XP_034183964.1, XP_034183968.1, XP_034183962.1
OG0000170	XP_017787826.1	XP_034189531.1, XP_034189541.1
OG0000171	XP_017793301.1, XP_017793291.1	XP_034175132.1, XP_034175130.1, XP_034175131.1
OG0000172	XP_017798095.1	XP_034187515.1
OG0000172	XP_017798094.1	XP_034187516.1
OG0000172	XP_017798766.1	XP_034180852.1
OG0000173	XP_017799360.1, XP_017799362.1	XP_034173077.1, XP_034173076.1, XP_034173069.1
OG0000174	XP_017796472.1	XP_034174497.1, XP_034174496.1, XP_034174495.1
OG0000175	XP_017793482.1	XP_034193114.1, XP_034193113.1, XP_034193115.1
OG0000176	XP_017789474.1	XP_034190369.1, XP_034190365.1, XP_034190693.1, XP_034190367.1, XP_034190366.1, XP_034194217.1, XP_034194216.1
OG0000177	XP_017791738.1	XP_034182690.1
OG0000178	XP_017795994.1	XP_034174012.1
OG0000179	XP_017788771.1	XP_034178078.1, XP_034178079.1
OG0000180	XP_017789946.1	XP_034189596.1, XP_034189595.1
OG0000181	XP_017796307.1	XP_034178956.1
OG0000182	XP_017797341.1, XP_017797340.1	XP_034184451.1, XP_034184450.1, XP_034184449.1, XP_034184448.1, XP_034184452.1
OG0000183	XP_017797934.1	XP_034196191.1
OG0000184	XP_017792500.1, XP_017792509.1, XP_017792517.1	XP_034183395.1, XP_034183397.1, XP_034183396.1
OG0000185	XP_017798069.1	XP_034183428.1
OG0000186	XP_017791282.1, XP_017791278.1	XP_034185101.1, XP_034185087.1, XP_034185093.1, XP_034185104.1
OG0000187	XP_017788490.1	XP_034182467.1, XP_034182466.1, XP_034182468.1, XP_034182469.1
OG0000188	XP_017794463.1	XP_034170835.1, XP_034170836.1
OG0000189	XP_017788425.1	XP_034171567.1, XP_034171566.1
OG0000190	XP_017789128.1, XP_017789207.1	XP_034171366.1, XP_034171365.1
OG0000191	XP_017791376.1, XP_017791452.1	XP_034182960.1, XP_034182962.1, XP_034182961.1, XP_034182965.1, XP_034182963.1, XP_034182964.1
OG0000192	XP_017791754.1, XP_017791753.1	XP_034188503.1
OG0000193	XP_017792331.1, XP_017792330.1	XP_034182344.1
OG0000194	XP_017793364.1	XP_034175689.1
OG0000195	XP_017795274.1, XP_017795266.1	XP_034177803.1, XP_034177800.1, XP_034177802.1
OG0000197	XP_017797143.1, XP_017795064.1	XP_034192365.1
OG0000198	XP_017793574.1	XP_034177599.1, XP_034177331.1
OG0000200	XP_017788300.1	XP_034172080.1, XP_034172081.1, XP_034172083.1, XP_034172082.1
OG0000201	XP_017797336.1	XP_034184461.1, XP_034184462.1, XP_034184460.1
OG0000202	XP_017793090.1	XP_034175101.1, XP_034175099.1, XP_034175100.1, XP_034175097.1, XP_034175098.1, XP_034175102.1, XP_034175095.1
OG0000203	XP_017798619.1, XP_017798618.1, XP_017798620.1	XP_034180149.1
OG0000204	XP_017791714.1, XP_017791713.1	XP_034182241.1, XP_034182242.1, XP_034182243.1, XP_034182244.1
OG0000205	XP_017794933.1	XP_034177794.1, XP_034177796.1, XP_034177793.1, XP_034177790.1, XP_034177792.1, XP_034177797.1, XP_034177795.1, XP_034177798.1
OG0000206	XP_017789387.1, XP_017789385.1, XP_017789386.1	XP_034194321.1
OG0000207	XP_017793864.1	XP_034181121.1
OG0000208	XP_017799506.1, XP_017799505.1, XP_017799504.1, XP_017799503.1, XP_017799502.1	XP_034185553.1, XP_034185552.1
OG0000209	XP_017795374.1	XP_034184026.1, XP_034184027.1, XP_034184025.1
OG0000210	XP_017796670.1	XP_034193594.1
OG0000211	XP_017799529.1	XP_034185535.1, XP_034185540.1, XP_034185536.1, XP_034185537.1, XP_034185538.1, XP_034185539.1
OG0000212	XP_017793038.1	XP_034176251.1, XP_034176252.1, XP_034176254.1, XP_034176253.1
OG0000213	XP_017799003.1	XP_034172935.1
OG0000214	XP_017797706.1, XP_017797714.1, XP_017797698.1, XP_017797723.1	XP_034173135.1, XP_034173136.1
OG0000215	XP_017791734.1	XP_034182772.1, XP_034182771.1
OG0000216	XP_017789106.1	XP_034195726.1, XP_034195727.1, XP_034195728.1
OG0000217	XP_017798022.1	XP_034185982.1, XP_034185981.1, XP_034185980.1
OG0000218	XP_017796575.1	XP_034179204.1
OG0000218	XP_017796692.1	XP_034179200.1, XP_034179202.1, XP_034179201.1
OG0000219	XP_017793785.1, XP_017793782.1, XP_017793781.1, XP_017793783.1, XP_017793784.1	XP_034192589.1
OG0000220	XP_017797835.1	XP_034181640.1
OG0000221	XP_017798659.1	XP_034191998.1
OG0000222	XP_017789951.1	XP_034185956.1
OG0000222	XP_017791752.1	XP_034189852.1
OG0000223	XP_017796917.1	XP_034188959.1, XP_034188958.1, XP_034188954.1, XP_034188955.1, XP_034188956.1, XP_034188957.1
OG0000224	XP_017794021.1	XP_034195082.1
OG0000226	XP_017791790.1	XP_034179612.1, XP_034179613.1
OG0000227	XP_017795361.1	XP_034178984.1, XP_034178985.1
OG0000228	XP_017798941.1	XP_034173028.1, XP_034173027.1, XP_034173029.1
OG0000229	XP_017789564.1	XP_034178871.1
OG0000230	XP_017797882.1	XP_034181654.1
OG0000231	XP_017790432.1	XP_034187972.1
OG0000232	XP_017788809.1, XP_017788806.1, XP_017788807.1, XP_017788808.1	XP_034178303.1, XP_034178300.1, XP_034178301.1, XP_034178299.1
OG0000233	XP_017795474.1, XP_017790961.1	XP_034194111.1, XP_034194110.1
OG0000234	XP_017787518.1, XP_017787520.1, XP_017787519.1, XP_017787517.1	XP_034184736.1, XP_034184734.1, XP_034184733.1, XP_034184735.1
OG0000235	XP_017788073.1	XP_034188255.1, XP_034188260.1, XP_034188261.1, XP_034188259.1, XP_034188258.1, XP_034188257.1
