Orthogroup	Habropoda_laboriosa	Dufourea_novaeangliae
OG0000029	XP_017796921.1, XP_017796923.1, XP_017796922.1, XP_017796926.1, XP_017796924.1, XP_017796925.1	XP_015435655.1, XP_015435654.1
OG0000031	XP_017792478.1	XP_015432264.1, XP_015432266.1, XP_015432267.1
OG0000032	XP_017790596.1, XP_017790597.1, XP_017790598.1, XP_017790592.1, XP_017790593.1, XP_017790594.1, XP_017790595.1	XP_015429644.1, XP_015429643.1, XP_015429641.1, XP_015429642.1
OG0000033	XP_017794678.1, XP_017794677.1, XP_017794679.1, XP_017794675.1, XP_017794676.1	XP_015437422.1, XP_015437423.1
OG0000034	XP_017792148.1, XP_017792149.1, XP_017792150.1	XP_015439801.1
OG0000034	XP_017799321.1	XP_015435295.1, XP_015435294.1
OG0000035	XP_017794776.1, XP_017794775.1	XP_015434866.1, XP_015434867.1, XP_015434868.1, XP_015434869.1, XP_015434870.1, XP_015434871.1
OG0000036	XP_017791515.1	XP_015438705.1
OG0000037	XP_017788215.1, XP_017788216.1, XP_017788212.1, XP_017788214.1, XP_017788213.1	XP_015429868.1
OG0000038	XP_017791423.1, XP_017791424.1	XP_015428850.1, XP_015428848.1, XP_015428851.1
OG0000038	XP_017793649.1	XP_015439294.1, XP_015439293.1
OG0000039	XP_017789586.1	XP_015428729.1
OG0000040	XP_017791263.1, XP_017791264.1, XP_017791265.1, XP_017791267.1, XP_017791266.1, XP_017791268.1, XP_017791262.1	XP_015436163.1
OG0000041	XP_017793816.1	XP_015430124.1
OG0000042	XP_017787392.1	XP_015436224.1
OG0000043	XP_017794557.1, XP_017794556.1	XP_015430085.1
OG0000044	XP_017795109.1	XP_015434933.1, XP_015434934.1
OG0000046	XP_017795969.1, XP_017795975.1, XP_017795937.1, XP_017795938.1, XP_017795939.1	XP_015431116.1, XP_015431127.1
OG0000047	XP_017799300.1, XP_017792281.1	XP_015436673.1
OG0000047	XP_017799306.1	XP_015435342.1
OG0000048	XP_017795703.1	XP_015440349.1, XP_015435652.1, XP_015435244.1, XP_015437628.1, XP_015429494.1, XP_015436676.1, XP_015433177.1, XP_015434570.1, XP_015437853.1
OG0000049	XP_017793055.1, XP_017793138.1	XP_015435659.1
OG0000050	XP_017787399.1, XP_017787400.1, XP_017787401.1	XP_015430457.1, XP_015430455.1, XP_015430454.1, XP_015430456.1
OG0000051	XP_017787543.1	XP_015438716.1
OG0000052	XP_017795812.1	XP_015440357.1
OG0000052	XP_017789050.1	XP_015440372.1
OG0000054	XP_017795807.1, XP_017795809.1, XP_017795808.1, XP_017795803.1, XP_017795810.1, XP_017795806.1	XP_015440360.1, XP_015440376.1, XP_015440359.1, XP_015440379.1
OG0000055	XP_017797342.1	XP_015436316.1
OG0000056	XP_017798800.1	XP_015438965.1
OG0000058	XP_017795930.1	XP_015431081.1
OG0000059	XP_017799148.1	XP_015435357.1
OG0000059	XP_017799145.1	XP_015435350.1
OG0000060	XP_017795112.1	XP_015439981.1
OG0000062	XP_017787674.1	XP_015440301.1
OG0000063	XP_017791822.1	XP_015435591.1
OG0000063	XP_017791522.1, XP_017791523.1	XP_015434749.1, XP_015434704.1
OG0000063	XP_017791824.1	XP_015435639.1
OG0000064	XP_017796680.1, XP_017796681.1	XP_015439422.1
OG0000064	XP_017789191.1	XP_015436794.1
OG0000064	XP_017795058.1	XP_015438692.1
OG0000065	XP_017792968.1	XP_015440531.1
OG0000066	XP_017789529.1, XP_017789530.1	XP_015429769.1
OG0000067	XP_017792512.1	XP_015435677.1, XP_015435676.1
OG0000068	XP_017795940.1	XP_015431173.1, XP_015431151.1
OG0000069	XP_017797758.1	XP_015439140.1
OG0000070	XP_017792725.1	XP_015433091.1
OG0000071	XP_017797358.1	XP_015436200.1
OG0000072	XP_017788172.1, XP_017788171.1, XP_017788170.1, XP_017788169.1, XP_017788173.1, XP_017788174.1	XP_015434855.1, XP_015434863.1
OG0000073	XP_017787586.1, XP_017787587.1	XP_015432205.1
OG0000074	XP_017794737.1	XP_015438918.1
OG0000074	XP_017794731.1	XP_015439018.1
OG0000076	XP_017799593.1	XP_015436046.1
OG0000077	XP_017790553.1, XP_017790555.1	XP_015434988.1, XP_015434960.1, XP_015434985.1, XP_015434990.1
OG0000078	XP_017792569.1, XP_017797126.1, XP_017792570.1, XP_017795215.1, XP_017796732.1, XP_017797042.1, XP_017796957.1, XP_017796955.1, XP_017797122.1	XP_015438151.1, XP_015435224.1, XP_015439947.1
OG0000079	XP_017795101.1	XP_015434849.1
OG0000080	XP_017792228.1	XP_015436437.1
OG0000081	XP_017793012.1	XP_015437277.1
OG0000082	XP_017799058.1	XP_015435281.1, XP_015435282.1
OG0000083	XP_017788047.1	XP_015435790.1
OG0000085	XP_017794362.1	XP_015436209.1
OG0000086	XP_017796684.1	XP_015439325.1
OG0000087	XP_017789247.1	XP_015438869.1
OG0000088	XP_017790565.1, XP_017790567.1, XP_017790576.1, XP_017790564.1, XP_017790571.1	XP_015435053.1
OG0000089	XP_017793317.1, XP_017793318.1, XP_017793285.1, XP_017797037.1	XP_015436630.1, XP_015435537.1
OG0000090	XP_017798266.1	XP_015430865.1
OG0000091	XP_017793696.1, XP_017793694.1, XP_017793697.1	XP_015440081.1
OG0000092	XP_017797058.1, XP_017797011.1, XP_017792998.1	XP_015431437.1, XP_015440399.1
OG0000093	XP_017789280.1, XP_017789278.1	XP_015428411.1
OG0000094	XP_017788404.1	XP_015431880.1
OG0000095	XP_017792240.1	XP_015438184.1
OG0000096	XP_017796141.1	XP_015434227.1
OG0000097	XP_017792113.1	XP_015431198.1, XP_015431199.1
OG0000098	XP_017790044.1	XP_015438475.1
OG0000099	XP_017788335.1, XP_017788334.1, XP_017788333.1	XP_015430255.1, XP_015430247.1
OG0000100	XP_017791917.1	XP_015440284.1, XP_015437850.1, XP_015438094.1
OG0000101	XP_017795008.1	XP_015432218.1
OG0000102	XP_017790496.1	XP_015429601.1
OG0000103	XP_017795578.1	XP_015435506.1, XP_015435505.1
OG0000104	XP_017790369.1	XP_015439594.1
OG0000105	XP_017787598.1	XP_015432223.1
OG0000107	XP_017789577.1, XP_017794537.1	XP_015431640.1
OG0000108	XP_017795457.1, XP_017795456.1, XP_017795458.1, XP_017795454.1, XP_017795455.1	XP_015438463.1
OG0000109	XP_017791211.1	XP_015430535.1
OG0000110	XP_017798657.1	XP_015436481.1
OG0000110	XP_017798692.1	XP_015436479.1
OG0000113	XP_017794671.1	XP_015440166.1
OG0000114	XP_017795102.1, XP_017795103.1	XP_015434902.1
OG0000115	XP_017794904.1, XP_017794905.1, XP_017794906.1	XP_015428477.1
OG0000116	XP_017797704.1	XP_015434163.1, XP_015434164.1
OG0000117	XP_017789755.1, XP_017789754.1, XP_017789756.1	XP_015440289.1, XP_015440287.1, XP_015440288.1
OG0000118	XP_017788114.1	XP_015435404.1
OG0000119	XP_017788550.1, XP_017795246.1	XP_015431091.1
OG0000120	XP_017792695.1, XP_017792653.1	XP_015438092.1
OG0000121	XP_017797236.1	XP_015431772.1
OG0000122	XP_017797270.1, XP_017797280.1, XP_017797289.1	XP_015430087.1, XP_015430094.1, XP_015430103.1
OG0000124	XP_017792535.1, XP_017792534.1, XP_017792533.1, XP_017792539.1, XP_017792538.1, XP_017792537.1, XP_017792536.1	XP_015436589.1, XP_015436588.1
OG0000125	XP_017791425.1	XP_015436982.1, XP_015436981.1, XP_015436985.1, XP_015436987.1, XP_015436980.1
OG0000126	XP_017789648.1, XP_017789644.1, XP_017789645.1, XP_017789646.1, XP_017789647.1	XP_015428736.1, XP_015428737.1, XP_015428735.1
OG0000128	XP_017796091.1	XP_015440194.1
OG0000129	XP_017795022.1	XP_015436626.1
OG0000130	XP_017791660.1	XP_015429959.1, XP_015429961.1
OG0000131	XP_017793513.1	XP_015437714.1
OG0000132	XP_017790774.1, XP_017790775.1	XP_015433331.1, XP_015433332.1, XP_015433333.1
OG0000134	XP_017797579.1	XP_015431085.1
OG0000135	XP_017798375.1	XP_015430291.1
OG0000136	XP_017795982.1	XP_015433735.1
OG0000136	XP_017791302.1	XP_015437848.1
OG0000136	XP_017795072.1	XP_015435722.1
OG0000137	XP_017795850.1	XP_015433556.1
OG0000139	XP_017796909.1, XP_017796915.1, XP_017796914.1, XP_017796913.1, XP_017796916.1, XP_017796910.1, XP_017796912.1	XP_015440328.1
OG0000140	XP_017792772.1	XP_015428456.1
OG0000141	XP_017788659.1, XP_017788642.1, XP_017788651.1	XP_015434298.1
OG0000142	XP_017791513.1	XP_015438691.1
OG0000143	XP_017792254.1, XP_017792252.1, XP_017792253.1, XP_017792241.1	XP_015436700.1, XP_015436679.1, XP_015436686.1, XP_015436693.1
OG0000144	XP_017799237.1, XP_017799232.1, XP_017799234.1, XP_017799233.1, XP_017799236.1, XP_017799238.1	XP_015433077.1
OG0000145	XP_017796270.1	XP_015439173.1
OG0000146	XP_017796843.1	XP_015436896.1
OG0000147	XP_017794346.1	XP_015429248.1
OG0000148	XP_017794377.1	XP_015436232.1
OG0000149	XP_017790767.1, XP_017790769.1	XP_015433364.1
OG0000150	XP_017792275.1, XP_017792274.1, XP_017792277.1	XP_015437621.1
OG0000151	XP_017790935.1	XP_015430154.1
OG0000152	XP_017797297.1, XP_017797034.1	XP_015429021.1
OG0000153	XP_017796719.1, XP_017795063.1	XP_015439280.1
OG0000153	XP_017797106.1, XP_017796355.1	XP_015431878.1, XP_015434213.1, XP_015436654.1
OG0000155	XP_017794253.1	XP_015430002.1
OG0000156	XP_017790495.1	XP_015429114.1
OG0000157	XP_017788203.1	XP_015436484.1, XP_015438169.1
OG0000158	XP_017799456.1	XP_015439412.1
OG0000159	XP_017789953.1	XP_015438519.1
OG0000160	XP_017793295.1	XP_015436511.1
OG0000160	XP_017793298.1	XP_015436510.1
OG0000161	XP_017787593.1, XP_017787594.1	XP_015438642.1
OG0000162	XP_017795182.1, XP_017795181.1	XP_015429975.1
OG0000164	XP_017791397.1	XP_015437557.1, XP_015437559.1, XP_015437558.1
OG0000165	XP_017793840.1	XP_015431086.1
OG0000166	XP_017792417.1	XP_015429867.1
OG0000168	XP_017793662.1	XP_015439652.1
OG0000169	XP_017795402.1	XP_015436217.1
OG0000170	XP_017787826.1	XP_015434496.1
OG0000171	XP_017793301.1, XP_017793291.1	XP_015436562.1
OG0000172	XP_017798095.1	XP_015430802.1
OG0000172	XP_017798094.1, XP_017798766.1	XP_015434046.1
OG0000173	XP_017799360.1, XP_017799362.1	XP_015432862.1
OG0000174	XP_017796472.1	XP_015431688.1
OG0000175	XP_017793482.1	XP_015437287.1
OG0000176	XP_017789474.1	XP_015433628.1
OG0000177	XP_017791681.1, XP_017791680.1, XP_017791682.1	XP_015432556.1
OG0000178	XP_017795994.1	XP_015431680.1, XP_015431679.1
OG0000179	XP_017788771.1	XP_015432369.1
OG0000180	XP_017789946.1	XP_015432607.1, XP_015432609.1, XP_015432608.1
OG0000181	XP_017796307.1	XP_015439359.1
OG0000182	XP_017797341.1, XP_017797340.1	XP_015436440.1, XP_015436439.1, XP_015436438.1, XP_015436441.1
OG0000183	XP_017797934.1	XP_015430027.1, XP_015430036.1
OG0000184	XP_017792500.1, XP_017792509.1, XP_017792517.1	XP_015431426.1, XP_015431427.1, XP_015431425.1
OG0000185	XP_017798069.1	XP_015438013.1
OG0000186	XP_017791286.1	XP_015433541.1
OG0000187	XP_017788490.1	XP_015434347.1
OG0000188	XP_017794463.1	XP_015429150.1
OG0000189	XP_017788425.1	XP_015432676.1
OG0000190	XP_017789128.1, XP_017789207.1	XP_015431829.1
OG0000191	XP_017791376.1, XP_017791452.1	XP_015434653.1, XP_015434652.1
OG0000192	XP_017791754.1, XP_017791753.1	XP_015434228.1
OG0000193	XP_017792331.1, XP_017792330.1	XP_015437702.1, XP_015437695.1
OG0000194	XP_017793364.1	XP_015437727.1
OG0000195	XP_017795274.1, XP_017795266.1	XP_015433329.1, XP_015433328.1, XP_015433330.1
OG0000197	XP_017797143.1, XP_017795064.1	XP_015430868.1
OG0000197	XP_017795065.1, XP_017788510.1	XP_015429676.1
OG0000198	XP_017793574.1	XP_015439765.1, XP_015439830.1, XP_015439764.1, XP_015439837.1
OG0000200	XP_017788300.1	XP_015436844.1
OG0000201	XP_017797336.1	XP_015436162.1
OG0000202	XP_017793090.1	XP_015437325.1
OG0000203	XP_017798619.1, XP_017798618.1, XP_017798620.1	XP_015430231.1
OG0000204	XP_017791714.1, XP_017791713.1	XP_015431509.1, XP_015431511.1, XP_015431510.1
OG0000205	XP_017794933.1	XP_015433280.1
OG0000206	XP_017789387.1, XP_017789385.1, XP_017789386.1	XP_015431498.1, XP_015431497.1
OG0000207	XP_017793864.1	XP_015429188.1
OG0000208	XP_017799506.1, XP_017799505.1, XP_017799504.1, XP_017799503.1, XP_017799502.1	XP_015430478.1
OG0000209	XP_017795374.1	XP_015436281.1
OG0000211	XP_017799529.1	XP_015430485.1
OG0000212	XP_017793038.1	XP_015438832.1, XP_015438831.1, XP_015438830.1
OG0000213	XP_017799003.1	XP_015432870.1, XP_015432869.1, XP_015432866.1, XP_015432868.1, XP_015432867.1
OG0000214	XP_017797706.1, XP_017797714.1, XP_017797698.1, XP_017797723.1	XP_015430841.1, XP_015430849.1
OG0000215	XP_017791734.1	XP_015434230.1
OG0000216	XP_017789106.1	XP_015437199.1
OG0000217	XP_017798022.1	XP_015431233.1
OG0000218	XP_017796575.1	XP_015432437.1
OG0000218	XP_017796692.1	XP_015432430.1
OG0000219	XP_017793785.1, XP_017793782.1, XP_017793781.1, XP_017793783.1, XP_017793784.1	XP_015439988.1
OG0000220	XP_017797835.1	XP_015433093.1, XP_015434209.1
OG0000221	XP_017798659.1	XP_015439085.1
OG0000222	XP_017789951.1	XP_015438542.1
OG0000222	XP_017791752.1	XP_015428940.1
OG0000223	XP_017796917.1	XP_015434738.1
OG0000224	XP_017794021.1	XP_015430929.1
OG0000226	XP_017791790.1	XP_015434860.1
OG0000227	XP_017795361.1	XP_015436971.1
OG0000228	XP_017798941.1	XP_015435414.1, XP_015435413.1
OG0000229	XP_017789564.1	XP_015436804.1
OG0000230	XP_017797882.1	XP_015433097.1, XP_015433098.1, XP_015433099.1
OG0000231	XP_017790432.1	XP_015434546.1
OG0000232	XP_017788809.1, XP_017788806.1, XP_017788807.1, XP_017788808.1	XP_015432406.1
OG0000233	XP_017795474.1, XP_017790961.1	XP_015431093.1
OG0000234	XP_017787518.1, XP_017787520.1, XP_017787519.1, XP_017787517.1	XP_015437503.1
OG0000235	XP_017788073.1	XP_015435834.1
OG0000237	XP_017789931.1	XP_015436500.1
OG0000238	XP_017793620.1	XP_015439918.1
OG0000239	XP_017798889.1	XP_015436567.1
OG0000240	XP_017788566.1	XP_015431041.1
OG0000241	XP_017798026.1	XP_015428795.1
OG0000242	XP_017788193.1, XP_017788192.1, XP_017788191.1	XP_015438258.1
OG0000242	XP_017788190.1, XP_017788189.1	XP_015436608.1
OG0000243	XP_017788238.1, XP_017788234.1, XP_017788237.1, XP_017788233.1, XP_017788232.1	XP_015438163.1
OG0000244	XP_017788158.1	XP_015434318.1
OG0000245	XP_017797193.1	XP_015438086.1, XP_015438085.1, XP_015438084.1
OG0000246	XP_017797950.1	XP_015430155.1
OG0000247	XP_017792221.1	XP_015430038.1, XP_015430037.1
OG0000248	XP_017792722.1	XP_015428745.1, XP_015428747.1, XP_015428748.1
OG0000249	XP_017792670.1, XP_017792668.1	XP_015428718.1, XP_015428722.1, XP_015428720.1
OG0000250	XP_017788369.1	XP_015436838.1
OG0000251	XP_017796631.1	XP_015433212.1, XP_015433213.1, XP_015433214.1
OG0000252	XP_017789685.1	XP_015439601.1, XP_015439599.1
OG0000253	XP_017797956.1	XP_015428727.1
OG0000253	XP_017797971.1, XP_017797954.1	XP_015428670.1
OG0000254	XP_017789404.1	XP_015435781.1
OG0000255	XP_017798490.1	XP_015439251.1
OG0000257	XP_017798701.1, XP_017798700.1, XP_017798703.1, XP_017798704.1, XP_017798699.1	XP_015434092.1, XP_015434094.1, XP_015434091.1, XP_015434090.1, XP_015434093.1
OG0000258	XP_017791021.1	XP_015434468.1
OG0000259	XP_017796780.1, XP_017796777.1, XP_017796776.1, XP_017796778.1, XP_017796779.1	XP_015436712.1, XP_015436714.1, XP_015436713.1
OG0000260	XP_017790206.1	XP_015435795.1, XP_015429633.1
OG0000261	XP_017799571.1	XP_015430515.1
OG0000262	XP_017789911.1	XP_015429586.1
OG0000263	XP_017792920.1	XP_015435613.1, XP_015435612.1
OG0000264	XP_017790243.1	XP_015438442.1, XP_015438443.1, XP_015438441.1
OG0000265	XP_017792850.1, XP_017792851.1	XP_015440522.1
OG0000266	XP_017796547.1	XP_015433994.1, XP_015433993.1
OG0000267	XP_017796412.1	XP_015435023.1
OG0000268	XP_017799493.1	XP_015432942.1, XP_015432950.1
OG0000269	XP_017794548.1, XP_017794546.1, XP_017794547.1	XP_015430099.1
OG0000270	XP_017795077.1	XP_015433275.1
OG0000271	XP_017794217.1	XP_015437477.1
OG0000272	XP_017793928.1	XP_015431399.1
OG0000273	XP_017799525.1, XP_017799524.1, XP_017799522.1	XP_015430495.1
OG0000274	XP_017790922.1	XP_015428714.1
OG0000275	XP_017792432.1	XP_015432084.1, XP_015432171.1, XP_015432170.1
OG0000276	XP_017795898.1, XP_017795906.1	XP_015433084.1
OG0000277	XP_017789718.1, XP_017789719.1, XP_017789715.1, XP_017789720.1, XP_017789716.1, XP_017789717.1	XP_015432611.1
OG0000278	XP_017796176.1, XP_017796175.1, XP_017796178.1, XP_017796177.1, XP_017796184.1, XP_017796183.1, XP_017796182.1, XP_017796181.1, XP_017796186.1, XP_017796185.1, XP_017796180.1	XP_015432640.1
OG0000279	XP_017789380.1, XP_017789381.1	XP_015429328.1
OG0000280	XP_017796495.1	XP_015438081.1
OG0000281	XP_017795263.1	XP_015431667.1
OG0000282	XP_017788367.1	XP_015430519.1
OG0000283	XP_017794884.1	XP_015432130.1
OG0000284	XP_017793542.1	XP_015432508.1
OG0000285	XP_017787925.1	XP_015439365.1
OG0000286	XP_017798374.1	XP_015430330.1
OG0000287	XP_017798046.1	XP_015438755.1
OG0000288	XP_017795523.1	XP_015440120.1
OG0000289	XP_017798582.1	XP_015439048.1
OG0000290	XP_017791652.1	XP_015429963.1
OG0000291	XP_017795689.1, XP_017795690.1	XP_015433942.1
OG0000292	XP_017787467.1	XP_015432042.1
OG0000293	XP_017794181.1	XP_015437071.1
OG0000294	XP_017798356.1	XP_015428439.1, XP_015428441.1, XP_015428440.1
OG0000295	XP_017798876.1	XP_015429618.1
OG0000296	XP_017798854.1	XP_015429506.1
OG0000297	XP_017790169.1	XP_015435125.1
OG0000298	XP_017788782.1	XP_015428647.1, XP_015428648.1, XP_015428649.1
OG0000299	XP_017794371.1	XP_015436446.1
OG0000300	XP_017789601.1	XP_015433918.1, XP_015433924.1
OG0000301	XP_017792528.1	XP_015431428.1
OG0000302	XP_017796651.1	XP_015432439.1
OG0000303	XP_017787512.1, XP_017787511.1, XP_017787509.1, XP_017787510.1, XP_017787505.1	XP_015430976.1
OG0000304	XP_017798488.1	XP_015431178.1
OG0000305	XP_017790766.1	XP_015440094.1
OG0000306	XP_017798013.1, XP_017798014.1	XP_015428777.1, XP_015428776.1, XP_015428775.1
OG0000307	XP_017796742.1	XP_015434584.1
OG0000308	XP_017799348.1	XP_015430659.1
OG0000309	XP_017799373.1	XP_015432975.1
OG0000310	XP_017797132.1, XP_017797072.1	XP_015430325.1, XP_015430342.1, XP_015430334.1
OG0000311	XP_017798823.1	XP_015438056.1
OG0000312	XP_017797440.1, XP_017797942.1	XP_015430767.1
OG0000313	XP_017790933.1	XP_015439500.1
OG0000314	XP_017790272.1	XP_015436531.1
OG0000316	XP_017793237.1	XP_015435697.1
OG0000317	XP_017793167.1	XP_015433752.1
OG0000318	XP_017791479.1	XP_015438126.1
OG0000319	XP_017798161.1	XP_015430668.1, XP_015430669.1, XP_015430670.1
OG0000320	XP_017795705.1	XP_015437541.1
OG0000321	XP_017793698.1	XP_015440019.1, XP_015440020.1
OG0000323	XP_017798115.1	XP_015433466.1, XP_015433467.1, XP_015433468.1, XP_015432613.1
OG0000324	XP_017790126.1	XP_015431925.1
OG0000326	XP_017798760.1	XP_015438960.1
OG0000327	XP_017797731.1	XP_015434133.1
OG0000328	XP_017799559.1	XP_015433558.1, XP_015433554.1
OG0000329	XP_017796665.1, XP_017796657.1	XP_015431794.1
OG0000330	XP_017788912.1	XP_015437689.1
OG0000330	XP_017788913.1	XP_015437690.1
OG0000331	XP_017794693.1	XP_015435728.1
OG0000332	XP_017790040.1, XP_017790038.1, XP_017790039.1	XP_015429639.1
OG0000333	XP_017797645.1	XP_015430996.1
OG0000334	XP_017794702.1	XP_015439163.1
OG0000335	XP_017793772.1	XP_015431213.1, XP_015431214.1
OG0000336	XP_017794988.1	XP_015432184.1, XP_015432185.1, XP_015432183.1
OG0000337	XP_017788630.1	XP_015431478.1
OG0000338	XP_017797841.1	XP_015429658.1
OG0000339	XP_017795448.1, XP_017795447.1	XP_015433439.1
OG0000340	XP_017794025.1	XP_015437485.1
OG0000341	XP_017793661.1	XP_015439651.1
OG0000342	XP_017798574.1	XP_015439003.1
OG0000343	XP_017789927.1	XP_015438467.1, XP_015438468.1
OG0000344	XP_017795573.1	XP_015435527.1
OG0000345	XP_017794527.1, XP_017794528.1, XP_017794529.1, XP_017794530.1	XP_015436177.1, XP_015436178.1
OG0000347	XP_017792090.1	XP_015437148.1
OG0000349	XP_017796898.1	XP_015437004.1
OG0000350	XP_017793056.1	XP_015437721.1
OG0000351	XP_017792969.1	XP_015440518.1, XP_015436583.1, XP_015440435.1
OG0000352	XP_017788680.1	XP_015440215.1
OG0000353	XP_017799217.1	XP_015432987.1
OG0000354	XP_017799064.1	XP_015435313.1, XP_015435305.1, XP_015435314.1
OG0000355	XP_017792136.1	XP_015440190.1, XP_015440189.1
OG0000356	XP_017788619.1	XP_015439705.1
OG0000357	XP_017788600.1, XP_017788599.1	XP_015440001.1
OG0000358	XP_017797725.1	XP_015439013.1
OG0000359	XP_017791631.1	XP_015430869.1
OG0000359	XP_017796735.1	XP_015437849.1, XP_015434582.1, XP_015434937.1
OG0000360	XP_017799297.1	XP_015432821.1
OG0000361	XP_017797135.1	XP_015434386.1
OG0000361	XP_017787786.1	XP_015434388.1
OG0000361	XP_017787787.1	XP_015434389.1
OG0000362	XP_017797990.1	XP_015428740.1
OG0000363	XP_017794059.1	XP_015430935.1
OG0000364	XP_017789694.1	XP_015432602.1
OG0000365	XP_017791372.1	XP_015434622.1
OG0000366	XP_017789846.1	XP_015433595.1
OG0000367	XP_017794682.1	XP_015431910.1
OG0000368	XP_017799294.1	XP_015432834.1
OG0000369	XP_017796433.1	XP_015433953.1
OG0000370	XP_017790008.1	XP_015437639.1
OG0000371	XP_017798424.1	XP_015432762.1
OG0000372	XP_017796065.1	XP_015440030.1, XP_015440029.1
OG0000374	XP_017796812.1	XP_015437856.1, XP_015437063.1, XP_015438077.1, XP_015430607.1, XP_015437811.1, XP_015434759.1
OG0000375	XP_017793149.1	XP_015440451.1
OG0000376	XP_017791999.1	XP_015439582.1
OG0000377	XP_017791614.1, XP_017791613.1	XP_015438430.1
OG0000378	XP_017791029.1	XP_015434715.1
OG0000379	XP_017796785.1	XP_015432039.1
OG0000380	XP_017796498.1, XP_017796497.1	XP_015434948.1
OG0000381	XP_017792307.1	XP_015438304.1
OG0000382	XP_017794882.1	XP_015436001.1
OG0000383	XP_017787604.1	XP_015438675.1
OG0000384	XP_017788567.1	XP_015431131.1
OG0000385	XP_017794716.1	XP_015437447.1
