Orthogroup	Habropoda_laboriosa	Ceratina_calcarata
OG0000060	XP_017795112.1	XP_017883584.1, XP_017883585.1, XP_017883586.1, XP_026671031.1
OG0000061	XP_017797025.1	XP_017888656.1
OG0000061	XP_017795781.1	XP_026668995.1, XP_017889192.1
OG0000062	XP_017787674.1	XP_017875316.1, XP_026667908.1, XP_017881154.1, XP_026673863.1
OG0000063	XP_017791822.1	XP_017889422.1
OG0000063	XP_017791522.1, XP_017791523.1	XP_017888379.2
OG0000063	XP_017791824.1	XP_017889438.1
OG0000064	XP_017796680.1, XP_017796681.1	XP_017886375.1
OG0000064	XP_017789191.1	XP_017875625.1
OG0000064	XP_017795058.1	XP_017877449.1
OG0000065	XP_017792968.1	XP_026673014.1, XP_017887445.1, XP_017887444.1, XP_017887447.1
OG0000066	XP_017789529.1, XP_017789530.1	XP_017882452.1, XP_017882451.1, XP_026670567.1, XP_017882453.1, XP_026670566.1
OG0000067	XP_017792512.1	XP_026667524.1, XP_026667523.1, XP_017876340.1, XP_026667525.1
OG0000069	XP_017797758.1	XP_026671618.1, XP_017884723.1, XP_017884724.1, XP_017884725.1, XP_017884726.1
OG0000070	XP_017792725.1	XP_026666470.1, XP_026666469.1, XP_026666468.1, XP_026666467.1, XP_026666466.1, XP_017892919.1
OG0000071	XP_017797358.1	XP_017887828.1, XP_026673221.1, XP_026673223.1, XP_017887829.1, XP_026673222.1
OG0000072	XP_017788172.1, XP_017788171.1, XP_017788170.1, XP_017788169.1, XP_017788173.1, XP_017788174.1	XP_017877526.1, XP_017877521.1
OG0000073	XP_017787586.1, XP_017787587.1	XP_017884134.1, XP_026671383.1, XP_017884143.1, XP_017884145.1, XP_026671385.1, XP_026671384.1, XP_017884138.1, XP_017884135.1, XP_017884141.1, XP_017884140.1
OG0000074	XP_017794737.1	XP_026672903.1
OG0000074	XP_017794617.1, XP_017794731.1	XP_017882162.1, XP_017882161.1, XP_017882209.1, XP_017882285.1, XP_017888595.2
OG0000076	XP_017799593.1	XP_026670219.1, XP_017881657.1
OG0000077	XP_017790553.1, XP_017790555.1	XP_017889240.1, XP_017879879.1, XP_026673871.1, XP_017879865.1, XP_017889238.1, XP_017884325.1, XP_017893576.1, XP_017889237.1, XP_017880985.2, XP_017884322.1, XP_017884320.1, XP_017884321.1, XP_017891413.1, XP_017890095.1, XP_017885068.1, XP_017877687.1, XP_017877675.1
OG0000078	XP_017792569.1, XP_017797126.1, XP_017792570.1, XP_017795215.1, XP_017796732.1, XP_017797042.1, XP_017796957.1, XP_017796955.1, XP_017797122.1	XP_017887324.1, XP_017880981.1
OG0000079	XP_017795101.1	XP_017886387.1, XP_017886390.1, XP_017886392.1
OG0000080	XP_017792228.1	XP_026672341.1
OG0000081	XP_017793012.1	XP_017892895.1
OG0000082	XP_017799058.1	XP_017888224.1, XP_017888223.1
OG0000083	XP_017788047.1	XP_026669617.1, XP_026669618.1, XP_017880690.1, XP_017880691.1, XP_026669616.1
OG0000084	XP_017795382.1	XP_026673534.1, XP_017890567.1, XP_017892844.1, XP_017875216.1, XP_017881849.1, XP_017877435.1, XP_017889234.1
OG0000085	XP_017794362.1	XP_026675280.1
OG0000086	XP_017796684.1	XP_017886426.1, XP_026672553.1, XP_017886424.1, XP_026672552.1, XP_017886423.1, XP_026672551.1, XP_017886421.1, XP_017886427.1
OG0000087	XP_017789247.1	XP_017878634.1
OG0000088	XP_017790565.1, XP_017790567.1, XP_017790576.1, XP_017790564.1, XP_017790571.1	XP_017884326.1, XP_026671462.1, XP_026671456.1, XP_026671458.1, XP_026671477.1
OG0000089	XP_017793317.1, XP_017793318.1, XP_017793285.1, XP_017797037.1	XP_026666464.1
OG0000090	XP_017798266.1	XP_026672044.1, XP_026672042.1, XP_026672041.1, XP_026672043.1
OG0000091	XP_017793696.1, XP_017793694.1, XP_017793697.1	XP_017877858.1, XP_017877859.1, XP_026668295.1, XP_017877857.1
OG0000093	XP_017789280.1, XP_017789278.1	XP_017876372.1
OG0000094	XP_017788404.1	XP_017879294.1
OG0000095	XP_017792240.1	XP_026673145.1
OG0000097	XP_017792113.1	XP_017892085.1, XP_017892086.1, XP_017892083.1, XP_017892084.1, XP_026675169.1
OG0000098	XP_017790044.1	XP_017882238.1
OG0000099	XP_017788335.1, XP_017788334.1, XP_017788333.1	XP_017889155.1, XP_026673796.1
OG0000100	XP_017791917.1	XP_017880858.1, XP_017879159.1
OG0000101	XP_017795008.1	XP_017886991.1
OG0000102	XP_017790496.1	XP_026667505.1, XP_026667481.1, XP_017889865.1, XP_017889782.1
OG0000103	XP_017795578.1	XP_017877636.1, XP_017877637.1
OG0000104	XP_017790362.1	XP_017883824.1
OG0000105	XP_017787598.1	XP_026667948.1
OG0000106	XP_017790882.1	XP_017875115.1
OG0000106	XP_017795920.1	XP_026673061.1
OG0000107	XP_017789577.1	XP_017891841.1
OG0000108	XP_017795457.1, XP_017795456.1, XP_017795458.1, XP_017795454.1, XP_017795455.1	XP_026670402.1, XP_026670401.1, XP_026670400.1, XP_026670404.1, XP_026670403.1
OG0000109	XP_017791211.1	XP_026671007.1, XP_026671006.1, XP_026671005.1
OG0000110	XP_017798657.1	XP_017892171.1
OG0000110	XP_017798692.1	XP_017892165.1
OG0000112	XP_017795970.1	XP_017880491.1, XP_026669563.1, XP_026669568.1
OG0000113	XP_017794671.1	XP_017892665.1, XP_026675553.1, XP_026675554.1, XP_026675552.1, XP_026675550.1, XP_026675551.1
OG0000114	XP_017795102.1, XP_017795103.1	XP_017886343.1, XP_017886344.1, XP_017886345.1, XP_026672489.1, XP_026672487.1, XP_026672490.1, XP_017886342.1
OG0000115	XP_017794904.1, XP_017794905.1, XP_017794906.1	XP_017886767.1, XP_017886766.1
OG0000116	XP_017797704.1	XP_017884703.1, XP_017884704.1, XP_017884702.1, XP_026671694.1, XP_017884701.1
OG0000117	XP_017789755.1, XP_017789754.1, XP_017789756.1	XP_017882899.1, XP_017882898.1, XP_017882897.1, XP_026670787.1
OG0000118	XP_017788114.1	XP_026668129.1, XP_017877527.1, XP_017877528.1, XP_026668130.1
OG0000119	XP_017788550.1, XP_017795246.1	XP_017878262.1
OG0000121	XP_017797236.1	XP_026673616.1, XP_026673617.1, XP_017888701.1, XP_017888699.1, XP_026673621.1, XP_026673620.1, XP_026673619.1, XP_026673618.1
OG0000122	XP_017797270.1, XP_017797280.1, XP_017797289.1	XP_017882975.1
OG0000124	XP_017792535.1, XP_017792534.1, XP_017792533.1, XP_017792539.1, XP_017792538.1, XP_017792537.1, XP_017792536.1	XP_017882800.1
OG0000125	XP_017791425.1	NP_001352268.1, XP_026670615.1, XP_017883314.2, XP_017882560.1
OG0000126	XP_017789648.1, XP_017789644.1, XP_017789645.1, XP_017789646.1, XP_017789647.1	XP_017880325.2
OG0000128	XP_017796091.1	XP_017891768.1
OG0000129	XP_017795022.1	XP_026669826.1
OG0000130	XP_017791660.1	XP_017881384.1, XP_017881383.1, XP_017881382.1, XP_017881381.1
OG0000131	XP_017793513.1	XP_017878542.1
OG0000132	XP_017790774.1, XP_017790775.1	XP_017883758.1, XP_026671172.1, XP_026671174.1, XP_026671173.1, XP_017883759.1
OG0000134	XP_017797579.1	XP_017875026.1
OG0000135	XP_017798375.1	XP_026671116.1, XP_017883719.1, XP_026671117.1
OG0000138	XP_017793589.1, XP_017793591.1, XP_017788546.1, XP_017793079.1, XP_017797023.1, XP_017788544.1, XP_017788543.1	XP_026671369.1, XP_017879512.1, XP_026671918.1, XP_026667100.1, XP_026674362.1, XP_026669807.1
OG0000139	XP_017796909.1, XP_017796915.1, XP_017796914.1, XP_017796913.1, XP_017796916.1, XP_017796910.1, XP_017796912.1	XP_026666767.1, XP_017893376.1
OG0000140	XP_017792772.1	XP_026674589.1, XP_017890677.1
OG0000141	XP_017788659.1, XP_017788642.1, XP_017788651.1	XP_017880688.1, XP_017880687.1, XP_017880686.1
OG0000143	XP_017792254.1, XP_017792252.1, XP_017792253.1, XP_017792241.1	XP_017887622.1, XP_026673152.1
OG0000144	XP_017799237.1, XP_017799232.1, XP_017799234.1, XP_017799233.1, XP_017799236.1, XP_017799238.1	XP_017890258.1
OG0000145	XP_017791992.1	XP_017878800.1
OG0000145	XP_017796270.1	XP_017885680.1
OG0000146	XP_017796843.1	XP_026670142.1, XP_026670143.1, XP_017881716.1
OG0000147	XP_017794346.1	XP_026672117.1, XP_017885549.1
OG0000148	XP_017794377.1	XP_026670174.1, XP_026670184.1, XP_026670178.1, XP_017881549.1
OG0000149	XP_017790767.1, XP_017790769.1	XP_017877822.1, XP_017877823.1, XP_026668289.1, XP_017877820.1, XP_017877821.1
OG0000150	XP_017792275.1, XP_017792274.1, XP_017792277.1	XP_017885915.1
OG0000151	XP_017790935.1	XP_026674879.1, XP_026674878.1, XP_017891285.1
OG0000152	XP_017797297.1, XP_017797034.1	XP_017888048.1, XP_017877450.1, XP_017888163.1, XP_017889733.1
OG0000153	XP_017796719.1	XP_017884046.1
OG0000153	XP_017797106.1, XP_017796355.1	XP_017892608.1, XP_026666981.1, XP_026673328.1
OG0000155	XP_017794253.1	XP_017875092.1, XP_017875091.1, XP_026666936.1, XP_026666937.1
OG0000156	XP_017790495.1	XP_026675129.1, XP_017891686.1, XP_017891695.1
OG0000157	XP_017788203.1	XP_017892253.1
OG0000158	XP_017799456.1	XP_017891545.1
OG0000159	XP_017789953.1	XP_017876697.1
OG0000160	XP_017793295.1	XP_026669836.1, XP_026669837.1
OG0000160	XP_017793298.1	XP_026669845.1
OG0000161	XP_017787593.1, XP_017787594.1	XP_017886702.1
OG0000162	XP_017795182.1, XP_017795181.1	XP_017887986.1, XP_017887985.1, XP_026673272.1, XP_017887983.1
OG0000164	XP_017791397.1	XP_017875333.1, XP_026667075.1, XP_026667076.1, XP_026667074.1, XP_017875332.1, XP_017875336.1, XP_017875334.1, XP_026667073.1
OG0000165	XP_017793840.1	XP_017885731.1
OG0000166	XP_017792417.1	XP_017885198.1, XP_017885199.1
OG0000167	XP_017798983.1, XP_017799229.1	XP_026670076.1, XP_026670075.1, XP_017881592.1
OG0000168	XP_017793663.1	XP_026670843.1, XP_026670846.1, XP_017883071.2
OG0000169	XP_017795402.1	XP_017876202.1
OG0000170	XP_017787826.1	XP_017885221.1
OG0000171	XP_017793291.1	XP_017881127.1, XP_017881130.1, XP_017881133.1, XP_026669825.1, XP_026669824.1, XP_026669823.1
OG0000172	XP_017798095.1	XP_017893620.1
OG0000172	XP_017798094.1	XP_017893593.1
OG0000173	XP_017799360.1, XP_017799362.1	XP_026669498.1, XP_026669481.1, XP_026669413.1
OG0000174	XP_017796472.1	XP_017888716.1
OG0000175	XP_017793482.1	XP_017890461.1
OG0000176	XP_017789474.1	XP_017880967.1
OG0000177	XP_017791681.1	XP_017888965.2, XP_017890673.1, XP_017877494.1, XP_017878197.1
OG0000177	XP_017791738.1	XP_017882448.1
OG0000178	XP_017795994.1	XP_017875129.1, XP_026672588.1, XP_017887778.1, XP_017887780.1, XP_017885409.1
OG0000179	XP_017788771.1	XP_017877534.1, XP_026668146.1
OG0000180	XP_017789946.1	XP_026674969.1, XP_026674968.1, XP_017891628.1
OG0000181	XP_017796307.1	XP_026672518.1
OG0000182	XP_017797341.1, XP_017797340.1	XP_017880418.1, XP_017880419.1
OG0000183	XP_017797934.1	XP_017882623.1
OG0000184	XP_017792500.1, XP_017792509.1, XP_017792517.1	XP_017876664.1, XP_017876665.1, XP_017876663.1
OG0000185	XP_017798069.1	XP_017879769.1
OG0000186	XP_017791286.1	XP_017888821.1, XP_017888817.1, XP_026673721.1
OG0000187	XP_017788490.1	XP_026670559.1, XP_026670560.1, XP_026670558.1, XP_017882423.1
OG0000188	XP_017794463.1	XP_017884176.1
OG0000189	XP_017788425.1	XP_017878226.1, XP_017878228.1, XP_017878227.1
OG0000190	XP_017789128.1, XP_017789207.1	XP_017884018.1, XP_017884019.1, XP_017884017.1
OG0000191	XP_017791376.1, XP_017791452.1	XP_017880232.1
OG0000192	XP_017791754.1, XP_017791753.1	XP_017880933.1, XP_017880930.1, XP_017880932.1, XP_017880934.1, XP_017880931.1
OG0000193	XP_017792331.1, XP_017792330.1	XP_017887620.1
OG0000194	XP_017793364.1	XP_017878656.1, XP_026668642.1, XP_017878658.1
OG0000195	XP_017795274.1, XP_017795266.1	XP_017883056.1, XP_017883055.1, XP_017883054.1
OG0000196	XP_017795936.1	XP_017890620.1, XP_017884068.1
OG0000197	XP_017795064.1	XP_026674136.1
OG0000197	XP_017795065.1, XP_017788510.1	XP_026675479.1
OG0000198	XP_017793574.1	XP_017879823.1, XP_026669191.1
OG0000200	XP_017788300.1	XP_026667451.1, XP_017876164.1
OG0000201	XP_017797336.1	XP_017881852.1, XP_026669889.1, XP_026669892.1
OG0000202	XP_017793090.1	XP_017878411.1, XP_017878410.1
OG0000203	XP_017798619.1, XP_017798618.1, XP_017798620.1	XP_017884937.1
OG0000204	XP_017791714.1, XP_017791713.1	XP_017887339.1
OG0000205	XP_017794933.1	XP_026670898.1
OG0000206	XP_017789387.1, XP_017789385.1, XP_017789386.1	XP_017886453.1
OG0000207	XP_017793864.1	XP_017885543.1, XP_017885544.1
OG0000208	XP_017799506.1, XP_017799505.1, XP_017799504.1, XP_017799503.1, XP_017799502.1	XP_017877130.1, XP_026667913.1
OG0000209	XP_017795374.1	XP_017876246.1, XP_017876245.1, XP_017876248.1, XP_017876247.1, XP_017876249.1, XP_026667477.1
OG0000210	XP_017796670.1	XP_026672513.1
OG0000211	XP_017799529.1	XP_017876182.1, XP_026667463.1, XP_026667461.1, XP_026667462.1
OG0000212	XP_017793038.1	XP_017879981.1, XP_017879980.1
OG0000213	XP_017799003.1	XP_017879713.1, XP_017879711.1, XP_017879712.1, XP_017879710.1
OG0000214	XP_017797706.1, XP_017797714.1, XP_017797698.1, XP_017797723.1	XP_026674310.1, XP_017889485.1
OG0000215	XP_017791734.1	XP_026667010.1, XP_026667011.1, XP_017875258.1, XP_017875259.1
OG0000216	XP_017789106.1	XP_026668623.1, XP_017878397.1
OG0000218	XP_017796575.1	XP_026674156.1
OG0000218	XP_017796692.1	XP_026674154.1
OG0000219	XP_017793785.1, XP_017793782.1, XP_017793781.1, XP_017793783.1, XP_017793784.1	XP_017882427.1, XP_017882428.1, XP_017882429.1, XP_017882425.1, XP_017882430.1, XP_026670577.1, XP_017882426.1
OG0000220	XP_017797835.1	XP_017885400.1
OG0000221	XP_017798659.1	XP_017875461.1
OG0000222	XP_017789951.1	XP_017891500.1
OG0000222	XP_017791752.1	XP_017891893.1, XP_017891894.1
OG0000223	XP_017796917.1	XP_017875942.1
OG0000224	XP_017794021.1	XP_017881499.1, XP_017881498.1, XP_026669970.1
OG0000226	XP_017791790.1	XP_026674159.1, XP_017889612.1
OG0000227	XP_017795361.1	XP_026675012.1, XP_026675011.1
OG0000228	XP_017798941.1	XP_017892650.2, XP_026675538.1, XP_026669124.1, XP_017892649.1, XP_017879699.1, XP_017879788.1
OG0000229	XP_017794652.1	XP_026667970.1
OG0000229	XP_017789564.1	XP_017891609.2
OG0000231	XP_017790432.1	XP_017882489.1, XP_017882341.1, XP_017882406.1, XP_017882260.1
OG0000232	XP_017788809.1, XP_017788806.1, XP_017788807.1, XP_017788808.1	XP_017886042.1, XP_017886041.1, XP_026672367.1
OG0000233	XP_017795474.1, XP_017790961.1	XP_026675168.1, XP_017891847.1, XP_017891846.1
OG0000234	XP_017787518.1, XP_017787520.1, XP_017787519.1, XP_017787517.1	XP_017888840.1
OG0000235	XP_017788073.1	XP_026669622.1, XP_026669623.1, XP_017880635.1, XP_017880633.1, XP_017880636.1
OG0000237	XP_017789931.1	XP_017881836.1
OG0000238	XP_017793620.1	XP_017878847.1
OG0000239	XP_017798889.1	XP_017887854.2
OG0000240	XP_017788566.1	XP_017878265.1
OG0000241	XP_017798026.1	XP_017880094.1
OG0000242	XP_017788193.1, XP_017788192.1, XP_017788191.1	XP_026673537.1, XP_026666922.1
OG0000243	XP_017788238.1, XP_017788234.1, XP_017788237.1, XP_017788233.1, XP_017788232.1	XP_017891863.1
OG0000244	XP_017788158.1	XP_017877510.1
OG0000245	XP_017797193.1	XP_017877931.1, XP_017877932.1, XP_017877933.1, XP_026668393.1, XP_026668394.1, XP_017877934.1
OG0000246	XP_017797565.1	XP_017880344.1
OG0000246	XP_017797950.1	XP_017888864.1, XP_017888867.1
OG0000247	XP_017792221.1	XP_026666803.1
OG0000248	XP_017792722.1	XP_017887490.1
OG0000249	XP_017792670.1, XP_017792668.1	XP_017878945.1, XP_017878947.1, XP_017875917.2
OG0000250	XP_017788369.1	XP_017878016.1, XP_026668371.1, XP_026668373.1, XP_026668372.1
OG0000251	XP_017796631.1	XP_017889837.1
OG0000252	XP_017789685.1	XP_026667651.1, XP_026667650.1, XP_026667652.1
OG0000253	XP_017797956.1	XP_017888863.1
OG0000253	XP_017797971.1, XP_017797954.1	XP_026673668.1
OG0000254	XP_017789404.1	XP_026669691.1, XP_017880879.1, XP_017880881.1, XP_026669692.1
OG0000255	XP_017798490.1	XP_017875528.1, XP_017875529.1
OG0000256	XP_017798011.1	XP_017891701.1
OG0000257	XP_017798701.1, XP_017798700.1, XP_017798703.1, XP_017798704.1, XP_017798699.1	XP_017884586.1, XP_026671501.1
OG0000258	XP_017791021.1	XP_017887424.1
OG0000259	XP_017796780.1, XP_017796777.1, XP_017796776.1, XP_017796778.1, XP_017796779.1	XP_026671533.1
OG0000261	XP_017799571.1	XP_017876049.1
OG0000262	XP_017789911.1	XP_017893275.1, XP_017893273.1, XP_017893272.1, XP_017893274.1, XP_017893271.1
OG0000263	XP_017792920.1	XP_017891603.1, XP_017891602.1
OG0000264	XP_017790243.1	XP_017881985.1, XP_026670277.1
OG0000265	XP_017792850.1, XP_017792851.1	XP_026673462.1, XP_026673463.1, XP_017888306.1, XP_017888304.1
OG0000266	XP_017796547.1	XP_017879398.1, XP_017879399.1, XP_017879400.1, XP_017879401.1, XP_017879397.1
OG0000267	XP_017796412.1	XP_026668950.1, XP_017879249.1
OG0000268	XP_017799493.1	XP_026669514.1, XP_026669513.1, XP_017880560.1, XP_026669512.1
OG0000269	XP_017794548.1, XP_017794546.1, XP_017794547.1	XP_026667171.1
