,ProteinID,Length
272,XP_003393375.1,845
273,XP_003393376.1,525
274,XP_003393377.1,524
275,XP_003393379.1,533
276,XP_003393382.1,707
277,XP_003393383.1,426
278,XP_003393384.1,391
279,XP_003393385.1,395
280,XP_003393388.3,516
281,XP_003393391.1,949
282,XP_003393392.1,370
283,XP_003393393.1,360
284,XP_003393394.1,519
285,XP_003393396.1,363
286,XP_003393397.1,505
287,XP_003393403.1,158
288,XP_003393407.1,231
289,XP_003393408.1,540
290,XP_003393409.1,627
291,XP_003393410.1,576
292,XP_003393414.1,190
293,XP_003393415.1,1897
294,XP_003393417.1,356
295,XP_003393419.1,252
296,XP_003393420.1,447
297,XP_003393421.1,449
298,XP_003393425.1,724
299,XP_003393427.1,617
300,XP_003393428.1,383
301,XP_003393433.2,423
302,XP_003393438.1,1082
303,XP_003393440.1,407
304,XP_003393443.1,622
305,XP_003393446.1,503
306,XP_003393447.1,191
307,XP_003393451.2,554
308,XP_003393452.1,321
309,XP_003393453.1,369
310,XP_003393455.1,253
311,XP_003393457.1,668
312,XP_003393461.1,228
313,XP_003393462.1,513
314,XP_003393467.1,120
315,XP_003393469.1,383
316,XP_003393470.1,560
317,XP_003393471.1,728
318,XP_003393472.1,601
319,XP_003393474.3,660
320,XP_003393477.1,352
321,XP_003393481.1,528
322,XP_003393482.1,321
323,XP_003393484.1,318
324,XP_003393486.1,411
325,XP_003393487.1,475
326,XP_003393489.1,902
327,XP_003393491.1,381
328,XP_003393493.1,246
329,XP_003393495.1,260
330,XP_003393496.1,120
331,XP_003393499.2,1786
332,XP_003393502.1,815
333,XP_003393503.1,514
334,XP_003393505.2,619
335,XP_003393508.1,921
336,XP_003393509.2,647
337,XP_003393511.1,304
338,XP_003393512.2,324
339,XP_003393513.1,568
340,XP_003393515.1,282
341,XP_003393516.1,437
342,XP_003393517.1,352
343,XP_003393518.1,221
344,XP_003393519.1,281
345,XP_003393524.1,709
346,XP_003393526.1,886
347,XP_003393531.1,372
348,XP_003393532.1,269
349,XP_003393534.1,680
350,XP_003393535.1,261
351,XP_003393536.1,280
352,XP_003393537.1,461
353,XP_003393538.1,378
354,XP_003393539.1,326
355,XP_003393540.1,496
356,XP_003393541.1,112
357,XP_003393545.1,218
358,XP_003393550.1,208
359,XP_003393551.1,653
360,XP_003393552.1,144
361,XP_003393556.1,965
362,XP_003393557.1,769
363,XP_003393558.1,459
364,XP_003393559.1,541
365,XP_003393560.1,160
366,XP_003393562.1,1463
367,XP_003393564.1,78
368,XP_003393569.1,602
369,XP_003393574.1,193
370,XP_003393575.1,1804
371,XP_003393581.1,178
372,XP_003393582.1,167
373,XP_003393583.1,131
374,XP_003393584.1,1675
375,XP_003393586.1,404
376,XP_003393588.1,828
377,XP_003393589.1,515
378,XP_003393592.1,82
379,XP_003393593.2,678
380,XP_003393594.1,494
381,XP_003393599.1,3530
382,XP_003393605.1,1391
383,XP_003393606.1,219
384,XP_003393607.1,1149
385,XP_003393608.1,207
386,XP_003393609.1,423
387,XP_003393610.1,286
388,XP_003393612.1,170
389,XP_003393614.1,170
390,XP_003393615.1,426
391,XP_003393617.1,267
392,XP_003393618.1,1417
393,XP_003393619.1,589
394,XP_003393621.1,467
395,XP_003393623.1,240
396,XP_003393625.1,463
397,XP_003393627.1,695
398,XP_003393628.1,692
399,XP_003393629.1,917
400,XP_003393630.1,745
401,XP_003393631.1,100
402,XP_003393632.1,454
403,XP_003393633.1,483
404,XP_003393634.1,224
405,XP_003393635.1,224
406,XP_003393637.1,191
407,XP_003393638.1,747
408,XP_003393639.1,182
409,XP_003393640.1,402
410,XP_003393641.1,995
411,XP_003393642.1,241
412,XP_003393643.1,338
413,XP_003393645.1,757
414,XP_003393647.1,578
415,XP_003393648.1,480
416,XP_003393651.1,1085
417,XP_003393653.2,566
418,XP_003393654.1,882
419,XP_003393655.1,159
420,XP_003393656.1,132
421,XP_003393657.1,132
422,XP_003393658.1,132
423,XP_003393659.1,205
424,XP_003393660.1,150
425,XP_003393662.1,123
426,XP_003393664.1,1380
427,XP_003393665.1,573
428,XP_003393668.1,538
429,XP_003393670.1,343
430,XP_003393671.1,430
431,XP_003393673.1,352
432,XP_003393674.1,358
433,XP_003393676.1,872
434,XP_003393677.1,295
435,XP_003393684.1,4334
436,XP_003393685.1,547
437,XP_003393686.1,161
438,XP_003393691.1,932
439,XP_003393693.2,1210
440,XP_003393694.2,849
441,XP_003393695.1,1095
442,XP_003393699.1,196
443,XP_003393700.1,530
444,XP_003393701.1,620
445,XP_003393702.1,256
446,XP_003393704.1,279
447,XP_003393705.1,622
448,XP_003393706.1,627
449,XP_003393709.1,419
450,XP_003393711.1,304
451,XP_003393712.1,721
452,XP_003393714.1,789
453,XP_003393715.1,471
454,XP_003393717.1,500
455,XP_003393718.1,117
456,XP_003393719.1,945
457,XP_003393721.2,355
458,XP_003393722.1,416
459,XP_003393727.1,1064
460,XP_003393728.1,658
461,XP_003393730.1,712
462,XP_003393731.1,789
463,XP_003393735.1,628
464,XP_003393740.1,743
465,XP_003393741.1,369
466,XP_003393744.1,575
467,XP_003393745.1,1770
468,XP_003393748.1,2044
469,XP_003393749.1,174
470,XP_003393750.2,2067
471,XP_003393751.1,572
472,XP_003393752.1,369
473,XP_003393753.1,329
474,XP_003393756.1,154
475,XP_003393757.1,154
476,XP_003393759.1,602
477,XP_003393760.1,1059
478,XP_003393761.1,505
479,XP_003393762.1,759
480,XP_003393766.1,198
481,XP_003393767.1,206
482,XP_003393769.1,1190
483,XP_003393771.1,684
484,XP_003393775.1,253
485,XP_003393776.1,503
486,XP_003393777.1,908
487,XP_003393778.1,242
488,XP_003393779.1,376
489,XP_003393781.1,1221
490,XP_003393783.1,465
491,XP_003393784.1,945
492,XP_003393789.1,4080
493,XP_003393792.1,355
494,XP_003393793.1,242
495,XP_003393794.1,1726
496,XP_003393795.1,362
497,XP_003393796.1,205
498,XP_003393797.1,242
499,XP_003393798.1,254
500,XP_003393800.1,469
501,XP_003393801.1,471
502,XP_003393802.1,259
503,XP_003393805.1,1174
504,XP_003393808.1,638
505,XP_003393809.1,442
506,XP_003393810.1,113
507,XP_003393811.1,1607
508,XP_003393812.1,375
509,XP_003393814.1,277
510,XP_003393818.1,133
511,XP_003393819.1,244
512,XP_003393820.1,292
513,XP_003393823.1,220
514,XP_003393825.1,1042
515,XP_003393827.3,622
516,XP_003393829.2,189
517,XP_003393830.1,569
518,XP_003393832.2,467
519,XP_003393833.1,597
520,XP_003393834.1,369
521,XP_003393837.1,247
522,XP_003393838.1,200
523,XP_003393839.1,253
524,XP_003393840.1,244
525,XP_003393842.1,345
526,XP_003393843.1,975
527,XP_003393845.1,465
528,XP_003393846.1,386
529,XP_003393847.1,335
530,XP_003393848.1,515
531,XP_003393852.1,190
532,XP_003393855.1,541
533,XP_003393856.1,113
534,XP_003393863.1,328
535,XP_003393865.1,496
536,XP_003393866.1,496
537,XP_003393867.1,496
538,XP_003393868.1,559
539,XP_003393869.1,547
540,XP_003393873.1,663
541,XP_003393875.1,156
542,XP_003393876.2,780
543,XP_003393878.1,287
544,XP_003393880.1,920
545,XP_003393881.1,241
546,XP_003393888.1,1095
547,XP_003393890.1,244
548,XP_003393891.1,343
549,XP_003393892.1,588
550,XP_003393895.1,125
551,XP_003393900.1,293
552,XP_003393901.1,398
553,XP_003393905.1,405
554,XP_003393907.1,403
555,XP_003393910.1,406
556,XP_003393913.1,405
557,XP_003393917.1,411
558,XP_003393918.1,406
559,XP_003393920.1,405
560,XP_003393921.1,411
561,XP_003393922.1,820
562,XP_003393925.1,595
563,XP_003393926.1,1794
564,XP_003393927.1,213
565,XP_003393928.1,594
566,XP_003393929.1,772
567,XP_003393930.1,132
568,XP_003393931.1,899
569,XP_003393934.1,430
570,XP_003393935.1,82
571,XP_003393938.1,1644
572,XP_003393940.1,319
573,XP_003393941.1,305
574,XP_003393942.1,317
575,XP_003393944.1,312
576,XP_003393945.1,1063
577,XP_003393947.1,441
578,XP_003393951.1,576
579,XP_003393957.2,389
580,XP_003393959.1,173
581,XP_003393962.3,108
582,XP_003393963.1,125
583,XP_003393964.1,253
584,XP_003393970.1,140
585,XP_003393971.1,243
586,XP_003393975.1,164
587,XP_003393976.1,140
588,XP_003393980.1,663
589,XP_003393988.2,403
590,XP_003393994.1,409
591,XP_003393998.1,409
592,XP_003393999.1,403
593,XP_003394000.1,398
594,XP_003394003.1,409
595,XP_003394005.1,407
596,XP_003394006.1,399
597,XP_003394009.1,303
598,XP_003394010.1,476
599,XP_003394011.1,293
600,XP_003394019.1,220
601,XP_003394022.1,342
602,XP_003394024.1,299
603,XP_003394025.1,340
604,XP_003394027.1,161
605,XP_003394028.1,554
606,XP_003394029.1,335
607,XP_003394031.1,474
608,XP_003394032.1,401
609,XP_003394034.1,145
610,XP_003394035.1,357
611,XP_003394036.1,759
612,XP_003394037.1,420
613,XP_003394038.1,310
614,XP_003394040.1,961
615,XP_003394041.1,457
616,XP_003394043.1,487
617,XP_003394044.1,461
618,XP_003394045.1,218
619,XP_003394046.1,122
620,XP_003394047.1,780
621,XP_003394048.1,832
622,XP_003394050.1,545
623,XP_003394054.1,859
624,XP_003394055.1,265
625,XP_003394056.1,691
626,XP_003394057.1,482
627,XP_003394058.1,134
628,XP_003394060.1,291
629,XP_003394061.1,344
630,XP_003394062.1,455
631,XP_003394063.1,163
632,XP_003394064.1,440
633,XP_003394066.1,161
634,XP_003394069.1,203
635,XP_003394070.1,249
636,XP_003394071.1,212
637,XP_003394074.2,237
638,XP_003394076.1,303
639,XP_003394078.1,107
640,XP_003394079.1,166
641,XP_003394080.1,86
642,XP_003394081.1,866
643,XP_003394082.1,643
644,XP_003394083.1,588
645,XP_003394087.2,402
646,XP_003394092.1,249
647,XP_003394093.1,235
648,XP_003394094.1,302
649,XP_003394095.1,235
650,XP_003394098.1,838
651,XP_003394099.1,220
652,XP_003394100.1,156
653,XP_003394101.1,551
654,XP_003394102.1,161
655,XP_003394105.1,420
656,XP_003394109.1,358
657,XP_003394112.1,297
658,XP_003394113.1,246
659,XP_003394114.1,201
660,XP_003394115.1,427
661,XP_003394116.1,488
662,XP_003394118.1,530
663,XP_003394122.1,1215
664,XP_003394123.1,573
665,XP_003394129.1,230
666,XP_003394130.1,232
667,XP_003394131.1,258
668,XP_003394132.1,517
669,XP_003394133.1,563
670,XP_003394134.1,506
671,XP_003394136.1,311
672,XP_003394137.1,330
673,XP_003394138.2,449
674,XP_003394139.1,269
675,XP_003394141.1,97
676,XP_003394143.1,664
677,XP_003394144.1,658
678,XP_003394146.1,312
679,XP_003394151.1,2197
680,XP_003394154.1,429
681,XP_003394157.1,72
682,XP_003394158.1,1201
683,XP_003394159.1,430
684,XP_003394160.1,461
685,XP_003394162.1,216
686,XP_003394163.1,676
687,XP_003394165.1,320
688,XP_003394166.1,161
689,XP_003394167.1,1229
690,XP_003394170.1,292
691,XP_003394171.1,232
692,XP_003394172.1,97
693,XP_003394174.1,270
694,XP_003394177.1,324
695,XP_003394178.3,625
696,XP_003394179.1,465
697,XP_003394181.1,1008
698,XP_003394183.3,340
699,XP_003394184.1,479
700,XP_003394185.1,168
701,XP_003394187.1,300
702,XP_003394188.1,464
703,XP_003394189.1,192
704,XP_003394192.1,188
705,XP_003394193.1,508
706,XP_003394195.1,582
707,XP_003394196.1,591
708,XP_003394197.1,365
709,XP_003394200.1,117
710,XP_003394201.1,430
711,XP_003394203.1,462
712,XP_003394206.1,113
713,XP_003394207.1,752
714,XP_003394208.1,501
715,XP_003394209.2,331
716,XP_003394210.1,1050
717,XP_003394214.1,319
718,XP_003394216.1,244
719,XP_003394217.1,183
720,XP_003394222.1,175
721,XP_003394223.1,222
722,XP_003394224.1,118
723,XP_003394227.1,640
724,XP_003394230.2,198
725,XP_003394231.1,200
726,XP_003394232.1,184
727,XP_003394234.1,1135
728,XP_003394236.1,303
729,XP_003394237.1,1322
730,XP_003394238.1,296
731,XP_003394240.1,1095
732,XP_003394241.1,90
733,XP_003394243.1,590
734,XP_003394244.1,316
735,XP_003394246.1,506
736,XP_003394248.1,122
737,XP_003394249.1,384
738,XP_003394250.1,272
739,XP_003394252.1,593
740,XP_003394253.1,659
741,XP_003394254.1,380
742,XP_003394255.1,1295
743,XP_003394260.1,393
744,XP_003394264.1,1110
745,XP_003394265.1,203
746,XP_003394266.1,360
747,XP_003394271.1,627
748,XP_003394272.1,993
749,XP_003394274.1,1306
750,XP_003394275.1,554
751,XP_003394276.1,526
752,XP_003394281.1,588
753,XP_003394282.1,119
754,XP_003394283.1,135
755,XP_003394285.1,223
756,XP_003394286.1,2433
757,XP_003394288.1,1604
758,XP_003394289.1,915
759,XP_003394291.1,210
760,XP_003394293.2,609
761,XP_003394298.1,285
762,XP_003394299.1,73
763,XP_003394300.1,841
764,XP_003394301.1,523
765,XP_003394305.1,586
766,XP_003394306.1,336
767,XP_003394307.2,444
768,XP_003394308.1,198
769,XP_003394311.1,546
770,XP_003394314.1,504
771,XP_003394315.1,653
772,XP_003394317.1,720
773,XP_003394318.1,246
774,XP_003394320.1,676
775,XP_003394322.1,1051
776,XP_003394323.1,347
777,XP_003394324.1,290
778,XP_003394325.1,1171
779,XP_003394327.1,140
780,XP_003394331.1,621
781,XP_003394332.1,595
782,XP_003394333.1,953
783,XP_003394334.1,265
784,XP_003394335.1,98
785,XP_003394336.1,98
786,XP_003394344.1,632
787,XP_003394345.1,521
788,XP_003394348.1,222
789,XP_003394349.1,324
790,XP_003394350.1,213
791,XP_003394352.1,215
792,XP_003394353.1,449
793,XP_003394354.1,271
794,XP_003394355.1,228
795,XP_003394356.1,463
796,XP_003394365.1,173
797,XP_003394366.1,439
798,XP_003394367.1,373
799,XP_003394368.2,1472
800,XP_003394370.1,334
801,XP_003394378.2,521
802,XP_003394390.1,343
803,XP_003394391.1,424
804,XP_003394393.1,1554
805,XP_003394394.1,256
806,XP_003394396.1,452
807,XP_003394406.2,720
808,XP_003394407.2,419
809,XP_003394409.1,555
810,XP_003394412.1,275
811,XP_003394413.1,274
812,XP_003394415.1,2066
813,XP_003394417.1,157
814,XP_003394419.1,1969
815,XP_003394421.1,224
816,XP_003394422.1,313
817,XP_003394428.1,659
818,XP_003394432.1,536
819,XP_003394433.1,536
820,XP_003394436.1,385
821,XP_003394437.2,195
822,XP_003394442.1,714
823,XP_003394444.1,610
824,XP_003394449.1,515
825,XP_003394451.1,165
826,XP_003394452.1,193
827,XP_003394455.1,382
828,XP_003394456.1,271
829,XP_003394458.1,163
830,XP_003394460.1,688
831,XP_003394461.1,156
832,XP_003394463.1,92
833,XP_003394464.2,139
834,XP_003394465.1,624
835,XP_003394466.1,261
836,XP_003394467.1,206
837,XP_003394468.2,1714
838,XP_003394471.1,1015
839,XP_003394473.1,627
840,XP_003394474.1,977
841,XP_003394476.1,262
842,XP_003394477.1,251
843,XP_003394479.1,282
844,XP_003394480.1,360
845,XP_003394482.1,213
846,XP_003394484.1,90
847,XP_003394485.1,1385
848,XP_003394487.1,642
849,XP_003394488.1,376
850,XP_003394490.1,376
851,XP_003394493.2,675
852,XP_003394496.1,220
853,XP_003394497.1,76
854,XP_003394498.1,825
855,XP_003394501.1,921
856,XP_003394504.1,1978
857,XP_003394506.1,293
858,XP_003394509.1,202
859,XP_003394510.1,949
860,XP_003394511.1,241
861,XP_003394512.1,324
862,XP_003394513.1,171
863,XP_003394514.1,551
864,XP_003394515.1,843
865,XP_003394516.1,125
866,XP_003394518.1,105
867,XP_003394519.1,751
868,XP_003394520.1,751
869,XP_003394523.1,1279
870,XP_003394524.1,723
871,XP_003394531.1,538
872,XP_003394533.1,744
873,XP_003394534.1,424
874,XP_003394537.1,407
875,XP_003394538.1,356
876,XP_003394539.1,402
877,XP_003394540.1,476
878,XP_003394542.1,730
879,XP_003394548.1,114
880,XP_003394549.1,114
881,XP_003394551.1,388
882,XP_003394552.1,455
883,XP_003394553.1,456
884,XP_003394554.3,614
885,XP_003394556.1,606
886,XP_003394559.1,126
887,XP_003394560.1,106
888,XP_003394562.1,402
889,XP_003394564.1,476
890,XP_003394565.1,401
891,XP_003394566.1,103
892,XP_003394570.2,132
893,XP_003394572.1,1239
894,XP_003394573.1,303
895,XP_003394575.1,611
896,XP_003394577.1,424
897,XP_003394578.1,869
898,XP_003394580.3,1233
899,XP_003394581.1,314
900,XP_003394582.1,517
901,XP_003394583.1,1316
902,XP_003394584.1,1143
903,XP_003394585.1,638
904,XP_003394586.1,277
905,XP_003394587.1,401
906,XP_003394588.1,290
907,XP_003394591.1,517
908,XP_003394594.1,340
909,XP_003394596.1,423
910,XP_003394599.1,778
911,XP_003394601.1,306
912,XP_003394603.1,1945
913,XP_003394604.1,261
914,XP_003394605.1,350
915,XP_003394611.2,854
916,XP_003394612.1,537
917,XP_003394613.1,355
918,XP_003394614.1,171
919,XP_003394615.1,753
920,XP_003394616.1,183
921,XP_003394619.1,1409
922,XP_003394620.1,536
923,XP_003394623.1,313
924,XP_003394624.1,94
925,XP_003394625.1,429
926,XP_003394626.1,124
927,XP_003394628.1,982
928,XP_003394629.1,670
929,XP_003394631.1,237
930,XP_003394632.1,185
931,XP_003394634.2,265
932,XP_003394635.1,470
933,XP_003394637.1,551
934,XP_003394639.2,429
935,XP_003394640.1,438
936,XP_003394641.1,300
937,XP_003394645.1,430
938,XP_003394646.1,1198
939,XP_003394648.1,108
940,XP_003394653.2,73
941,XP_003394661.1,626
942,XP_003394662.1,725
943,XP_003394663.1,308
944,XP_003394664.1,703
945,XP_003394665.1,683
946,XP_003394667.1,324
947,XP_003394668.1,440
948,XP_003394670.1,275
949,XP_003394671.1,275
950,XP_003394672.1,167
951,XP_003394673.1,341
952,XP_003394675.1,555
953,XP_003394677.1,548
954,XP_003394682.1,675
955,XP_003394684.1,329
956,XP_003394685.1,113
957,XP_003394688.1,763
958,XP_003394689.1,436
959,XP_003394690.1,689
960,XP_003394692.1,621
961,XP_003394693.1,440
962,XP_003394694.1,337
963,XP_003394697.1,298
964,XP_003394698.1,151
965,XP_003394701.1,85
966,XP_003394703.1,383
967,XP_003394704.1,403
968,XP_003394705.1,134
969,XP_003394706.1,134
970,XP_003394711.1,380
971,XP_003394713.1,493
972,XP_003394715.1,303
973,XP_003394717.1,130
974,XP_003394720.1,669
975,XP_003394721.1,130
976,XP_003394722.1,98
977,XP_003394726.2,196
978,XP_003394728.1,580
979,XP_003394729.1,137
980,XP_003394730.1,389
981,XP_003394732.1,144
982,XP_003394733.1,498
983,XP_003394734.1,184
984,XP_003394735.1,325
985,XP_003394739.1,616
986,XP_003394740.1,616
987,XP_003394746.1,422
988,XP_003394747.1,97
989,XP_003394748.1,180
990,XP_003394749.1,725
991,XP_003394750.1,2934
992,XP_003394751.1,772
993,XP_003394752.1,784
994,XP_003394753.1,500
995,XP_003394756.1,387
996,XP_003394757.1,439
997,XP_003394758.1,310
998,XP_003394761.1,444
999,XP_003394762.1,222
1000,XP_003394764.1,210
1001,XP_003394768.1,115
1002,XP_003394769.1,528
1003,XP_003394770.1,582
1004,XP_003394772.1,271
1005,XP_003394773.2,355
1006,XP_003394776.1,217
1007,XP_003394778.1,193
1008,XP_003394781.1,967
1009,XP_003394784.1,648
1010,XP_003394788.1,891
1011,XP_003394789.1,412
1012,XP_003394795.1,318
1013,XP_003394796.1,309
1014,XP_003394797.1,316
1015,XP_003394798.1,300
1016,XP_003394799.1,317
1017,XP_003394800.1,275
1018,XP_003394807.1,515
1019,XP_003394809.1,1003
1020,XP_003394811.1,265
1021,XP_003394819.1,369
1022,XP_003394820.2,157
1023,XP_003394823.1,426
1024,XP_003394824.1,572
1025,XP_003394827.1,506
1026,XP_003394829.1,481
1027,XP_003394831.1,416
1028,XP_003394833.2,503
1029,XP_003394834.1,499
1030,XP_003394835.1,620
1031,XP_003394836.1,568
1032,XP_003394838.1,275
1033,XP_003394839.1,456
1034,XP_003394840.1,793
1035,XP_003394841.1,252
1036,XP_003394842.1,337
1037,XP_003394843.1,1197
1038,XP_003394847.1,271
1039,XP_003394848.1,643
1040,XP_003394851.1,712
1041,XP_003394852.1,321
1042,XP_003394856.1,135
1043,XP_003394857.1,479
1044,XP_003394858.1,118
1045,XP_003394859.1,2339
1046,XP_003394861.1,78
1047,XP_003394864.2,582
1048,XP_003394868.1,328
1049,XP_003394869.1,254
1050,XP_003394870.1,254
1051,XP_003394872.1,674
1052,XP_003394873.2,1125
1053,XP_003394874.1,321
1054,XP_003394876.1,141
1055,XP_003394878.1,513
1056,XP_003394879.1,513
1057,XP_003394880.1,513
1058,XP_003394881.1,413
1059,XP_003394882.1,301
1060,XP_003394884.1,334
1061,XP_003394892.1,445
1062,XP_003394893.1,373
