Orthogroup	Vespa_mandarinia	Tribolium_castaneum
OG0000014	XP_035740842.1, XP_035717855.1, XP_035725913.1, XP_035733113.1, XP_035733114.1, XP_035733115.1, XP_035735278.1	XP_015840416.1, XP_008196666.2, XP_008201493.1, XP_008195798.2, XP_008193830.1
OG0000017	XP_035722701.1	XP_967395.1, XP_971136.1, XP_966872.2, XP_008200938.1, XP_966966.2, XP_967147.1, XP_971203.1, XP_966787.1, XP_015838196.1, XP_008201195.2, XP_015838248.1, XP_008190708.1, XP_015838206.1, XP_971509.1, XP_008200937.1
OG0000017	XP_035728385.1	XP_015834775.1, XP_974273.1
OG0000018	XP_035730877.1	XP_008200429.1
OG0000018	XP_035718019.1	XP_008194092.1, XP_969781.1
OG0000018	XP_035735080.1	XP_969849.1, XP_008194093.1, XP_008193834.1
OG0000019	XP_035725561.1, XP_035725574.1, XP_035725576.1	XP_975378.1
OG0000019	XP_035720602.1	XP_973324.1
OG0000019	XP_035726985.1	XP_972874.1, XP_015834337.1, XP_008192577.2
OG0000020	XP_035725275.1	XP_008201408.1
OG0000020	XP_035730287.1, XP_035730285.1, XP_035730286.1, XP_035730288.1, XP_035730289.1	XP_969457.2
OG0000021	XP_035729141.1	XP_015838406.1, XP_015838407.1, XP_008197201.1
OG0000021	XP_035721174.1, XP_035721172.1, XP_035721170.1, XP_035721169.1, XP_035721173.1	XP_015838169.1
OG0000021	XP_035723530.1	XP_008197404.1
OG0000021	XP_035723165.1, XP_035723164.1	XP_008197199.1
OG0000021	XP_035743843.1, XP_035743842.1	XP_008196932.1
OG0000021	XP_035729144.1	XP_008197203.1, XP_969207.1
OG0000022	XP_035721830.1	XP_966580.1, XP_966943.2, XP_973583.2, XP_974617.2, XP_967411.1
OG0000024	XP_035738183.1	XP_970056.2
OG0000024	XP_035720575.1, XP_035720354.1, XP_035720356.1, XP_035720355.1, XP_035720353.1	XP_968973.1, XP_015836276.1, XP_970629.1, XP_968453.1, XP_969481.3, XP_966714.3, XP_015836397.1, XP_970153.3, XP_970128.4, XP_969915.1, XP_008195025.1, XP_970890.1, XP_015836275.1, XP_008194723.1, XP_015836190.1, XP_015836389.1
OG0000026	XP_035728457.1	XP_015833705.1
OG0000026	XP_035718093.1, XP_035718094.1	XP_008193329.1
OG0000027	XP_035725928.1	XP_008199050.2
OG0000029	XP_035732363.1, XP_035732348.1	XP_008201392.1, XP_967557.1, XP_015839833.1, XP_015839837.1, XP_971332.1
OG0000029	XP_035737588.1, XP_035732367.1, XP_035732349.1	XP_015840495.1, XP_008201389.1, XP_008201390.1
OG0000030	XP_035739081.1, XP_035741463.1, XP_035741476.1, XP_035742381.1, XP_035742412.1, XP_035741466.1	XP_966905.1
OG0000030	XP_035723581.1	XP_015837668.1, XP_972973.1, XP_008195701.1, XP_971355.1, XP_015837936.1, XP_008197791.2, XP_008197787.1, XP_971534.2
OG0000032	XP_035723151.1	XP_001807564.1
OG0000032	XP_035735826.1	XP_008197173.2
OG0000032	XP_035730167.1	XP_969958.1, XP_970026.1
OG0000035	XP_035731371.1	XP_008191815.1, XP_008191817.1, XP_971626.2, XP_008191746.2, XP_008191790.1
OG0000036	XP_035729817.1, XP_035729794.1	XP_967476.1, XP_001811753.1
OG0000037	XP_035725074.1	XP_008192993.1, XP_015835222.1, XP_970216.2, XP_008193006.2, XP_008193010.2, XP_015835218.1, XP_966991.2, XP_015835223.1, XP_001809825.2, XP_015835468.1, XP_968523.2, XP_015835220.1, XP_015835221.1, XP_008190973.2, XP_970770.1, XP_970895.1, XP_008200145.1
OG0000038	XP_035735002.1	XP_966492.1
OG0000038	XP_035727166.1	XP_966584.1
OG0000038	XP_035734959.1	XP_966407.1
OG0000040	XP_035729456.1, XP_035729457.1	NP_001161088.1
OG0000040	XP_035742485.1, XP_035725216.1	NP_001161129.1, XP_008193161.1, NP_001161087.1, XP_970321.1, NP_001161083.1
OG0000041	XP_035743035.1	NP_001165843.1, NP_001165844.1
OG0000041	XP_035742719.1, XP_035742718.1, XP_035742717.1	XP_008199969.1, XP_966415.1, XP_008199982.1, XP_966495.1
OG0000042	XP_035732212.1	XP_008194542.2, NP_001306196.1, NP_001306192.1, XP_008197185.1, XP_015839870.1, XP_015839869.1, XP_015839872.1, XP_015839873.1, XP_015839874.1, XP_008197171.1, XP_008191083.1, NP_001137206.1, XP_968970.1, NP_001306194.1, NP_001306195.1, XP_008194716.1
OG0000043	XP_035731122.1	XP_008193777.1, NP_001039289.1
OG0000043	XP_035718657.1	NP_001039279.1, NP_001039280.1, NP_001039278.1
OG0000045	XP_035720478.1, XP_035720481.1, XP_035720479.1, XP_035731034.1, XP_035731019.1, XP_035720482.1	XP_015834974.1, XP_015834972.1
OG0000046	XP_035742705.1	XP_008200986.2, XP_015838368.1
OG0000046	XP_035722173.1	NP_001164199.1, NP_001164200.1, XP_974442.1, NP_001164098.1
OG0000046	XP_035734549.1, XP_035728851.1, XP_035728840.1	XP_966611.1
OG0000048	XP_035728121.1	XP_008193917.1
OG0000050	XP_035737134.1, XP_035737133.1, XP_035737132.1, XP_035737155.1, XP_035737128.1, XP_035718383.1	XP_967835.1, XP_967268.2, XP_008195484.1, XP_967439.2, NP_001034512.1, NP_001034534.1, XP_008195481.1, XP_967916.2, XP_015838352.1, XP_015840854.1
OG0000052	XP_035730522.1, XP_035729830.1, XP_035729829.1, XP_035729805.1	XP_015838429.1, XP_008197309.1, XP_974366.1, XP_015838434.1, XP_974340.1, XP_974289.1, XP_015838419.1, XP_008197312.1, XP_974427.1
OG0000052	XP_035743009.1, XP_035743008.1	XP_008197196.2, XP_008197191.1
OG0000054	XP_035724099.1, XP_035724441.1	XP_970381.1
OG0000055	XP_035726348.1, XP_035726347.1	XP_971821.3
OG0000055	XP_035720014.1	XP_969454.3
OG0000056	XP_035726130.1, XP_035718477.1	XP_015835680.1
OG0000056	XP_035728622.1	XP_008197222.1
OG0000056	XP_035733992.1	XP_015834565.1
OG0000056	XP_035741213.1	XP_015839288.1
OG0000056	XP_035729096.1	XP_970084.2
OG0000057	XP_035734097.1	XP_967267.1
OG0000057	XP_035721261.1	XP_969993.1
OG0000057	XP_035734264.1	XP_967348.1
OG0000057	XP_035734268.1	XP_968314.1
OG0000060	XP_035730103.1	XP_008194927.2
OG0000060	XP_035738199.1, XP_035738201.1, XP_035738202.1	XP_015836433.1, XP_973431.2, XP_008194835.1, XP_008194834.1, XP_008194832.1, XP_015836434.1
OG0000061	XP_035724328.1	XP_969936.2
OG0000061	XP_035721661.1, XP_035721662.1, XP_035721660.1, XP_035721465.1	XP_008197154.2
OG0000062	XP_035737336.1	XP_968760.1
OG0000062	XP_035728895.1, XP_035728894.1, XP_035728892.1	XP_973442.1, XP_974390.1, XP_966780.1, XP_974367.1, XP_973378.1, XP_973344.1, XP_975377.1
OG0000065	XP_035738514.1, XP_035738515.1, XP_035738510.1, XP_035738511.1, XP_035738513.1, XP_035738516.1	XP_015834020.1
OG0000067	XP_035734988.1	XP_008200210.1
OG0000067	XP_035718759.1	NP_001164095.1, XP_008200192.1
OG0000067	XP_035724654.1	XP_008198995.1
OG0000069	XP_035737423.1	XP_008191789.1
OG0000077	XP_035738027.1	XP_008200285.1
OG0000077	XP_035722352.1, XP_035740324.1, XP_035742569.1, XP_035742630.1, XP_035738069.1	XP_008194480.2, XP_971466.1, XP_015836196.1
OG0000079	XP_035741820.1, XP_035741810.1, XP_035741818.1	XP_015834127.1, XP_015834125.1, XP_015834162.1, XP_015834130.1, XP_015834115.1, XP_015834114.1, XP_015834120.1, XP_015834129.1, XP_015834135.1, XP_015834158.1, XP_015834124.1, XP_015834123.1, XP_015834118.1, XP_015834166.1, XP_015834160.1, XP_015834147.1, XP_015834145.1, XP_015834144.1, XP_015834151.1, XP_015834143.1, XP_015834157.1, XP_015834134.1, XP_015834154.1, XP_015834122.1, XP_015834161.1, XP_015834126.1
OG0000080	XP_035724002.1	XP_971544.1
OG0000080	XP_035722996.1	XP_015838833.1, XP_968784.1, XP_008199652.2
OG0000081	XP_035739549.1, XP_035739551.1, XP_035739552.1, XP_035739548.1, XP_035739553.1	XP_015833047.1
OG0000082	XP_035733049.1, XP_035733058.1, XP_035733057.1, XP_035733059.1	XP_008196787.1, XP_008196786.1
OG0000084	XP_035738869.1, XP_035738870.1, XP_035739145.1	XP_008194205.2
OG0000085	XP_035734061.1, XP_035734059.1, XP_035734060.1, XP_035734062.1	XP_008190480.1, XP_008190479.1, XP_008190478.1
OG0000085	XP_035737189.1	XP_967226.1, XP_015836787.1, XP_008198171.2, XP_966820.2, XP_008193769.1, XP_968088.2, XP_967599.1
OG0000086	XP_035718518.1	XP_973839.1, XP_008201361.1, XP_008200636.2, XP_971578.1, XP_008193572.1, XP_008197635.1, XP_008193352.1, XP_015839617.1
OG0000086	XP_035718534.1	XP_008194263.2
OG0000086	XP_035737219.1, XP_035737220.1	XP_008200062.1, XP_015834290.1
OG0000087	XP_035734892.1	XP_969526.1, XP_969601.1, XP_015838300.1, XP_970029.1, XP_969456.2
OG0000087	XP_035735028.1	XP_969383.1
OG0000088	XP_035718097.1	XP_015837887.1
OG0000089	XP_035732042.1	XP_967001.1, XP_966814.1, XP_966903.1, XP_015834458.1, XP_015834457.1, XP_971728.1, XP_968587.1
OG0000091	XP_035743855.1	XP_008200105.1, XP_973883.2, XP_974001.1, XP_015838041.1, XP_015838239.1, XP_015838040.1, XP_015838232.1, XP_008196804.1, XP_008196800.2, XP_974288.1, XP_974388.1, XP_972482.1, XP_015840665.1, XP_008196885.2
OG0000092	XP_035729950.1	XP_008198926.1
OG0000092	XP_035719716.1, XP_035719715.1, XP_035719719.1	XP_967128.1
OG0000094	XP_035729864.1	XP_008194293.1
OG0000095	XP_035720088.1, XP_035720091.1, XP_035720570.1, XP_035720568.1, XP_035720569.1, XP_035720572.1, XP_035721650.1, XP_035721665.1, XP_035721664.1, XP_035720092.1	XP_971423.1, NP_001034529.1, NP_001107847.1, NP_001034530.1, NP_001107861.1, NP_001107846.1, XP_015839255.1, NP_001107850.1
OG0000096	XP_035735801.1	XP_970191.2
OG0000096	XP_035724668.1, XP_035724666.1	NP_001038094.1, NP_001073567.1, XP_015836778.1, NP_001036034.1, XP_973005.1, NP_001034517.1, NP_001034516.3, NP_001038095.1, XP_015836950.1, XP_008195468.1, XP_015836949.1, NP_001038096.1, NP_001034515.1
OG0000097	XP_035742312.1, XP_035742314.1, XP_035742313.1	XP_966355.1, XP_008200463.1
OG0000098	XP_035733072.1, XP_035733137.1	XP_976115.2, XP_008200746.1, XP_008200744.1, XP_008200745.1
OG0000099	XP_035723282.1, XP_035723292.1, XP_035723300.1	XP_973444.1
OG0000099	XP_035721767.1	XP_967359.1
OG0000099	XP_035729911.1	XP_008198312.1
OG0000100	XP_035731312.1, XP_035731311.1, XP_035731307.1, XP_035731310.1, XP_035731309.1	XP_015833282.1, XP_008190946.1, XP_008190945.1
OG0000101	XP_035724161.1	XP_015840974.1, XP_968341.1, XP_968427.1, XP_008192885.1, XP_969438.2, XP_970214.1, XP_968268.2, XP_969384.1
OG0000101	XP_035724180.1	XP_968658.1, XP_008190341.1, XP_968586.1
OG0000102	XP_035722712.1, XP_035722713.1	XP_015836203.1, XP_972020.3, XP_971968.1
OG0000103	XP_035728991.1	NP_001121967.1
OG0000108	XP_035729104.1, XP_035729105.1	XP_015837318.1, XP_008195645.1, XP_972082.1, XP_972134.1, XP_968318.1, XP_015839337.1, XP_015839336.1, XP_972032.1, XP_972386.3, XP_972182.1, XP_008195643.1, XP_975666.1, XP_015837080.1, XP_966332.1
OG0000109	XP_035733082.1, XP_035733090.1, XP_035733088.1, XP_035733089.1, XP_035733086.1, XP_035733087.1, XP_035733084.1, XP_035733085.1, XP_035733092.1, XP_035733093.1, XP_035733091.1	XP_008200716.1
OG0000110	XP_035727648.1, XP_035727647.1, XP_035738900.1	XP_008193808.1, XP_008193810.1, XP_015836889.1, XP_008193809.1, XP_008193811.1, XP_008193812.1, XP_015836885.1, XP_015836884.1, XP_015836883.1, XP_015836887.1, XP_008193800.1, XP_015836924.1, XP_015836925.1, XP_008193802.1, XP_008193803.1, XP_008193805.1, XP_008193798.1, XP_008193799.1, XP_008193801.1, XP_008193797.1, XP_015836882.1, XP_015836881.1, XP_015836880.1, XP_008193806.1, XP_008193807.1, XP_015836886.1, XP_001807608.2
OG0000111	XP_035718068.1	XP_008201050.1, XP_970898.1, XP_970952.1, XP_975906.1, NP_001161227.1, NP_001161310.1, XP_015839309.1, XP_970839.1, XP_008201049.1
OG0000112	XP_035719175.1, XP_035719174.1, XP_035719177.1, XP_035719176.1, XP_035719171.1, XP_035719172.1	XP_008191265.1
OG0000112	XP_035730834.1, XP_035730827.1, XP_035730828.1, XP_035730829.1, XP_035730830.1, XP_035730831.1, XP_035730832.1, XP_035730833.1	XP_008198195.1, XP_015837714.1
OG0000113	XP_035724028.1, XP_035725454.1	XP_967872.2, XP_008198495.1, XP_008198500.1
OG0000114	XP_035719468.1	XP_008195366.2, XP_015837027.1, XP_015837028.1
OG0000115	XP_035719374.1, XP_035728117.1	XP_969146.1, XP_970714.1, XP_970442.1, XP_015832951.1, XP_015833288.1, XP_008190960.1, XP_967475.1
OG0000116	XP_035728572.1, XP_035728573.1, XP_035728508.1, XP_035728506.1, XP_035728507.1	XP_015837656.1
OG0000117	XP_035721151.1	XP_008198411.1
OG0000117	XP_035728960.1	XP_008200394.1, XP_008200396.1, XP_008200398.1, XP_008200397.1
OG0000119	XP_035728103.1, XP_035728091.1, XP_035728092.1, XP_035728099.1, XP_035728090.1, XP_035728088.1	NP_001157311.1
OG0000120	XP_035743508.1	XP_015838347.1
OG0000122	XP_035742190.1	XP_015834556.1
OG0000122	XP_035722129.1	XP_008192222.1
OG0000122	XP_035738975.1, XP_035738980.1	XP_008190630.1, XP_970917.2, NP_001280526.1
OG0000123	XP_035725246.1, XP_035725252.1	XP_001813105.1
OG0000124	XP_035724659.1	XP_015834874.1
OG0000125	XP_035743368.1, XP_035743367.1	XP_975608.1, XP_975649.1, XP_975653.1, XP_015837066.1, XP_975651.1
OG0000126	XP_035731654.1, XP_035731655.1, XP_035731651.1, XP_035731652.1, XP_035731657.1, XP_035731656.1, XP_035731659.1, XP_035731653.1, XP_035731650.1	NP_001034505.1
OG0000127	XP_035718002.1, XP_035726611.1, XP_035726612.1, XP_035720274.1	XP_008201644.1
OG0000127	XP_035726374.1	NP_001280519.1, XP_015839687.1
OG0000129	XP_035741994.1, XP_035741995.1	XP_008192539.1, XP_008192541.1, XP_970374.1, XP_008192542.1, XP_015834648.1
OG0000130	XP_035721963.1, XP_035721970.1, XP_035721971.1, XP_035721969.1, XP_035721972.1	XP_008200084.1, XP_001811552.1
OG0000130	XP_035721444.1	XP_008200083.1
OG0000131	XP_035742296.1	XP_001808435.1
OG0000131	XP_035733339.1, XP_035733338.1	XP_008198189.1, XP_968387.1, XP_008198188.1
OG0000132	XP_035721782.1, XP_035721781.1	XP_008198166.1, XP_015839207.1
OG0000133	XP_035741242.1	XP_975308.3
OG0000133	XP_035729059.1, XP_035729055.1	XP_015840591.1
OG0000135	XP_035717163.1	XP_008190640.1, XP_008190639.1
OG0000135	XP_035725594.1	NP_001153713.1
OG0000136	XP_035728633.1, XP_035728680.1, XP_035728635.1, XP_035728634.1	XP_971514.1, XP_971572.1
OG0000137	XP_035738396.1, XP_035732267.1	XP_015835481.1, XP_015835482.1, XP_015835483.1, XP_015835484.1, XP_015835486.1, XP_015835485.1
OG0000138	XP_035730963.1, XP_035730973.1, XP_035730946.1, XP_035730956.1, XP_035730998.1, XP_035731008.1, XP_035730984.1, XP_035730990.1, XP_035722005.1	XP_015840574.1, XP_967720.2, XP_015840573.1
OG0000139	XP_035719417.1, XP_035719753.1	XP_001808164.2, XP_967589.2, XP_967061.2, XP_015838049.1
OG0000140	XP_035720742.1, XP_035720741.1	XP_973264.1
OG0000141	XP_035723074.1, XP_035723075.1, XP_035723073.1	XP_015833202.1
OG0000141	XP_035722392.1, XP_035722391.1	XP_008193877.2
OG0000143	XP_035726588.1, XP_035726587.1, XP_035726585.1, XP_035726586.1	XP_008192676.1
OG0000144	XP_035721338.1, XP_035721747.1	NP_001164245.1, XP_008197349.1, NP_001164202.1, NP_001107851.1, NP_001164358.1, NP_001164335.1, XP_008197347.1, NP_001164204.1
OG0000145	XP_035739706.1, XP_035739705.1	XP_008193348.1
OG0000146	XP_035732991.1, XP_035732990.1, XP_035732989.1, XP_035732988.1	XP_966544.1, XP_001811608.2
OG0000147	XP_035736865.1, XP_035736867.1, XP_035736868.1, XP_035736866.1, XP_035734708.1	XP_966688.1
OG0000149	XP_035726837.1	XP_008191323.1
OG0000150	XP_035733965.1, XP_035733966.1, XP_035733963.1, XP_035733964.1, XP_035733961.1, XP_035733962.1	XP_015838556.1, XP_015838555.1, XP_015838554.1
OG0000151	XP_035735864.1, XP_035735857.1, XP_035735862.1, XP_035735863.1, XP_035735861.1, XP_035735859.1, XP_035735858.1	XP_969439.1, XP_015840091.1
OG0000152	XP_035722053.1	XP_966734.2
OG0000153	XP_035727062.1	XP_970869.1, XP_008195606.1
OG0000154	XP_035743057.1, XP_035743056.1	XP_008195104.1
OG0000155	XP_035724082.1, XP_035742778.1, XP_035733904.1, XP_035737499.1, XP_035737756.1, XP_035736367.1, XP_035725552.1, XP_035740255.1, XP_035725541.1	XP_015840229.1, XP_015840425.1
OG0000156	XP_035723493.1	XP_008199571.1, XP_008199569.1, XP_008199570.1
OG0000157	XP_035732192.1, XP_035732282.1, XP_035732281.1	NP_001161084.1, XP_008194710.1, NP_001161130.1
OG0000158	XP_035740201.1, XP_035740054.1, XP_035740197.1, XP_035740199.1, XP_035740200.1, XP_035740198.1	XP_008198818.1
OG0000160	XP_035723999.1	XP_008199283.1
OG0000160	XP_035733330.1, XP_035733325.1, XP_035733326.1, XP_035733328.1, XP_035733329.1	XP_967023.4
OG0000161	XP_035719666.1, XP_035719656.1, XP_035719675.1	NP_001164097.1, XP_015838131.1, XP_968215.1, XP_968291.1, XP_008198786.1, XP_015839834.1, XP_970896.1, XP_968653.3
OG0000162	XP_035731205.1	XP_008201498.1, NP_001103246.1
OG0000162	XP_035740246.1, XP_035740247.1	NP_001103245.1
OG0000164	XP_035732501.1	XP_008196039.2, XP_015837358.1, XP_008196049.2
OG0000164	XP_035732024.1	XP_015833602.1, XP_015840341.1, XP_015833616.1
OG0000165	XP_035743313.1, XP_035743321.1, XP_035743314.1, XP_035743315.1, XP_035743316.1, XP_035743317.1, XP_035743320.1, XP_035743319.1, XP_035743322.1, XP_035743323.1	XP_008192571.1
OG0000165	XP_035734576.1	XP_974173.2
OG0000166	XP_035717393.1, XP_035717400.1, XP_035717381.1, XP_035717387.1, XP_035717382.1, XP_035717384.1	XP_008199436.1, XP_008199431.1
OG0000168	XP_035731474.1	XP_015838873.1, NP_001107841.1
OG0000169	XP_035729103.1, XP_035729296.1	XP_008195237.1, XP_008191380.1, XP_973188.1, XP_015833980.1, XP_015837683.1, XP_969004.1
OG0000170	XP_035742479.1, XP_035742502.1, XP_035742492.1, XP_035742486.1	XP_008193117.1, XP_008193116.1
OG0000171	XP_035741201.1, XP_035741202.1, XP_035741205.1, XP_035741206.1	XP_971346.1, XP_015836633.1
OG0000173	XP_035733795.1, XP_035733793.1, XP_035733794.1, XP_035733792.1	XP_008194517.1
OG0000174	XP_035731433.1	XP_015838513.1
OG0000175	XP_035729116.1, XP_035729110.1, XP_035729111.1, XP_035729112.1, XP_035729113.1	XP_974770.1, XP_015836695.1
OG0000176	XP_035737411.1	XP_008195214.1
OG0000177	XP_035739406.1	XP_971910.1
OG0000177	XP_035739374.1	XP_008194311.1
OG0000177	XP_035739564.1	XP_972019.2
OG0000178	XP_035725180.1	XP_008200484.2, XP_015835582.1
OG0000179	XP_035741505.1	XP_008194977.1
OG0000179	XP_035719102.1, XP_035719101.1	XP_966308.2
OG0000180	XP_035743555.1, XP_035743552.1, XP_035743551.1, XP_035743554.1	XP_976031.1, XP_008200320.1
OG0000181	XP_035731090.1, XP_035731089.1, XP_035731092.1, XP_035731091.1	NP_001280548.1, XP_008193833.1
OG0000182	XP_035731858.1, XP_035731856.1, XP_035731855.1, XP_035731857.1, XP_035731854.1, XP_035731853.1, XP_035731859.1	XP_015832992.1
OG0000183	XP_035738622.1, XP_035738621.1, XP_035738620.1, XP_035738623.1	XP_975025.1
OG0000183	XP_035739701.1	XP_970665.1
OG0000185	XP_035733203.1, XP_035733201.1, XP_035733205.1, XP_035733204.1, XP_035733207.1, XP_035733206.1, XP_035733199.1, XP_035733200.1	XP_008197397.1
OG0000186	XP_035733371.1, XP_035733372.1, XP_035733373.1, XP_035733370.1, XP_035733460.1, XP_035733368.1, XP_035733369.1	XP_008199126.1, XP_008199118.1, XP_015835450.1
OG0000187	XP_035731676.1, XP_035731677.1	XP_975362.1
OG0000188	XP_035740046.1	XP_008197500.1
OG0000189	XP_035728865.1	XP_966528.2, XP_008201661.1
OG0000189	XP_035728855.1	XP_008198457.1, XP_008193919.1
OG0000190	XP_035728040.1, XP_035728039.1	XP_015839424.1, XP_968802.1
OG0000191	XP_035735127.1	XP_015840404.1, XP_972346.1, XP_008197015.2, XP_015838363.1, XP_015838365.1, XP_972237.1, XP_015833908.1, XP_015833861.1, XP_015838439.1, XP_966412.2, XP_015833969.1, XP_001812470.1, XP_972442.2, XP_008193548.2
OG0000192	XP_035718570.1, XP_035718565.1, XP_035718569.1, XP_035718568.1, XP_035718562.1, XP_035718563.1, XP_035718564.1	XP_976201.3, XP_008197081.1, XP_015838219.1, XP_008197084.1, XP_008197085.1, XP_008197082.1
OG0000194	XP_035728644.1	XP_008193011.1
OG0000194	XP_035728648.1, XP_035728646.1, XP_035728547.1	NP_001280525.1
OG0000196	XP_035720910.1	XP_967948.2
OG0000198	XP_035723755.1	XP_008196149.1
OG0000200	XP_035719894.1, XP_035719895.1	XP_974164.1
OG0000200	XP_035718373.1	XP_967143.1, XP_015839106.1, XP_974030.1
OG0000201	XP_035742700.1	XP_015833113.1
OG0000202	XP_035735523.1, XP_035735525.1, XP_035735528.1, XP_035735524.1, XP_035735526.1, XP_035735527.1, XP_035735520.1, XP_035735522.1	XP_008196489.1, XP_008196491.1, XP_008196490.1
OG0000203	XP_035727456.1, XP_035727445.1, XP_035727495.1, XP_035727486.1, XP_035727526.1, XP_035727477.1, XP_035727505.1, XP_035727467.1, XP_035727516.1	XP_972061.1
OG0000204	XP_035736371.1, XP_035736362.1, XP_035736353.1, XP_035736365.1, XP_035731143.1	XP_008192748.1, XP_015834354.1, XP_015834322.1, XP_001810985.1, XP_015834355.1, XP_966892.1
OG0000205	XP_035727194.1, XP_035727191.1, XP_035727193.1	XP_015834252.1, XP_969899.1, XP_972246.2, XP_969838.2
OG0000206	XP_035731791.1	XP_975174.1
OG0000206	XP_035731805.1	XP_967870.1
OG0000207	XP_035726226.1, XP_035726227.1	XP_008190794.1
OG0000208	XP_035726225.1	NP_001034487.2, XP_008199220.1
OG0000209	XP_035728112.1	XP_015833617.1
OG0000210	XP_035733688.1	XP_008196393.1
OG0000210	XP_035732804.1	XP_008194608.1, XP_973007.1
OG0000210	XP_035723457.1	XP_015838316.1, XP_971337.1
OG0000212	XP_035737335.1, XP_035737458.1	XP_970912.2, XP_015835896.1, XP_015840439.1, XP_015840441.1
OG0000213	XP_035723104.1	XP_970612.2
OG0000214	XP_035723354.1, XP_035723352.1, XP_035723353.1, XP_035723355.1	XP_967960.2
OG0000214	XP_035741447.1, XP_035741444.1	XP_970835.1
OG0000215	XP_035724895.1, XP_035724894.1, XP_035724898.1, XP_035724897.1	XP_972301.2, XP_008197697.1, XP_008197706.1, XP_015839776.1
OG0000216	XP_035724451.1	NP_001107836.1, XP_967724.1, NP_001123993.1, XP_008193185.1, XP_008199996.1, XP_971612.1, NP_001123994.1
OG0000217	XP_035740471.1	XP_973791.2, XP_975130.2, XP_015839401.1, XP_015839404.1, XP_015839405.1, XP_008199621.1, XP_015839403.1, XP_015840143.1, XP_008192685.2, XP_008192686.2, XP_015835054.1, XP_015835055.1, XP_008191628.1, XP_008191600.1, XP_008198006.2
OG0000218	XP_035726856.1	XP_967940.2
OG0000219	XP_035741255.1, XP_035741253.1, XP_035741259.1, XP_035741260.1, XP_035741251.1, XP_035741257.1, XP_035741254.1, XP_035741252.1, XP_035741256.1	XP_968383.1
OG0000220	XP_035717455.1, XP_035717452.1, XP_035717450.1, XP_035717454.1, XP_035717453.1	XP_015840696.1
OG0000221	XP_035721735.1	XP_015837155.1, XP_974256.1
OG0000223	XP_035733807.1	NP_001164284.1, XP_972063.1
