Orthogroup	Vespa_mandarinia	Anopheles_gambiae
OG0000098	XP_035733072.1, XP_035733137.1	XP_314814.3
OG0000099	XP_035723282.1, XP_035723292.1, XP_035723300.1	XP_320987.5
OG0000099	XP_035721767.1	XP_312290.4
OG0000099	XP_035729911.1	XP_313462.4
OG0000100	XP_035731312.1, XP_035731311.1, XP_035731307.1, XP_035731310.1, XP_035731309.1	XP_313581.5
OG0000101	XP_035724161.1	XP_321098.5
OG0000101	XP_035724180.1	XP_001238368.1, XP_552458.3, XP_320729.4, XP_320730.2, XP_320721.3, XP_320722.4, XP_320723.2, XP_320728.3, XP_552464.1
OG0000102	XP_035722712.1, XP_035722713.1	XP_308709.4, XP_565152.3
OG0000108	XP_035729104.1, XP_035729105.1	XP_557098.2, XP_316461.3, XP_001237813.1, XP_316460.3, XP_557100.2
OG0000109	XP_035733082.1, XP_035733090.1, XP_035733088.1, XP_035733089.1, XP_035733086.1, XP_035733087.1, XP_035733084.1, XP_035733085.1, XP_035733092.1, XP_035733093.1, XP_035733091.1	XP_309801.3
OG0000110	XP_035727648.1, XP_035727647.1, XP_035738900.1	XP_001689285.1
OG0000112	XP_035719175.1, XP_035719174.1, XP_035719177.1, XP_035719176.1, XP_035719171.1, XP_035719172.1	XP_309025.4
OG0000112	XP_035730834.1, XP_035730827.1, XP_035730828.1, XP_035730829.1, XP_035730830.1, XP_035730831.1, XP_035730832.1, XP_035730833.1	XP_560420.2
OG0000113	XP_035724028.1, XP_035725454.1	XP_001231003.2, XP_550924.1, XP_321171.4, XP_550973.4, XP_321231.5, XP_321172.5, XP_321170.4
OG0000114	XP_035719468.1	XP_314336.2
OG0000115	XP_035719374.1, XP_035728117.1	XP_311546.4
OG0000116	XP_035728572.1, XP_035728573.1, XP_035728508.1, XP_035728506.1, XP_035728507.1	XP_315806.4
OG0000117	XP_035721151.1	XP_318912.3
OG0000117	XP_035728960.1	XP_001238428.3
OG0000120	XP_035743508.1	XP_319911.4
OG0000122	XP_035742190.1	XP_309303.3, XP_564139.3
OG0000122	XP_035722129.1	XP_552160.3
OG0000123	XP_035725246.1, XP_035725252.1	XP_317585.4
OG0000124	XP_035724659.1	XP_312632.5
OG0000125	XP_035743368.1, XP_035743367.1	XP_321447.5
OG0000126	XP_035731654.1, XP_035731655.1, XP_035731651.1, XP_035731652.1, XP_035731657.1, XP_035731656.1, XP_035731659.1, XP_035731653.1, XP_035731650.1	XP_003436885.1, XP_311618.2
OG0000127	XP_035718002.1, XP_035726611.1, XP_035726612.1, XP_035720274.1	XP_308528.2, XP_308529.3, XP_001237095.2, XP_560812.1, XP_308527.5
OG0000127	XP_035726374.1	XP_309323.2
OG0000129	XP_035741994.1, XP_035741995.1	XP_319208.4
OG0000130	XP_035721963.1, XP_035721970.1, XP_035721971.1, XP_035721969.1, XP_035721972.1	XP_314859.4
OG0000130	XP_035721444.1	XP_314860.4, XP_557898.3
OG0000131	XP_035742296.1	XP_311973.1, XP_003436315.1
OG0000131	XP_035733339.1, XP_035733338.1	XP_320516.2
OG0000132	XP_035721782.1, XP_035721781.1	XP_314281.4
OG0000132	XP_035732604.1	XP_317287.4, XP_319288.2
OG0000133	XP_035741242.1	XP_001238215.2
OG0000135	XP_035717163.1	XP_321549.1
OG0000135	XP_035725594.1	XP_308966.4
OG0000136	XP_035728633.1, XP_035728680.1, XP_035728635.1, XP_035728634.1	XP_557311.3, XP_316252.2
OG0000137	XP_035738396.1, XP_035732267.1	XP_313095.4
OG0000138	XP_035730963.1, XP_035730973.1, XP_035730946.1, XP_035730956.1, XP_035730998.1, XP_035731008.1, XP_035730984.1, XP_035730990.1, XP_035722005.1	XP_310751.5
OG0000139	XP_035719417.1, XP_035719753.1	XP_318027.4
OG0000141	XP_035722354.1, XP_035722355.1	XP_312292.5
OG0000141	XP_035722392.1, XP_035722391.1	XP_317639.4
OG0000143	XP_035726588.1, XP_035726587.1, XP_035726585.1, XP_035726586.1	XP_311266.4, XP_311556.4
OG0000144	XP_035721338.1, XP_035721747.1	XP_321434.5, XP_321436.5, XP_321800.4, XP_001237710.1, XP_001688727.1, XP_315780.4
OG0000145	XP_035739706.1, XP_035739705.1, XP_035732035.1, XP_035732034.1, XP_035732031.1, XP_035732032.1, XP_035732029.1, XP_035732030.1, XP_035732028.1, XP_035732033.1	XP_318854.4
OG0000146	XP_035732991.1, XP_035732990.1, XP_035732989.1, XP_035732988.1	XP_556748.3, XP_001238402.1, XP_320925.3, XP_001238796.1
OG0000147	XP_035736865.1, XP_035736867.1, XP_035736868.1, XP_035736866.1, XP_035734708.1	XP_312505.3, XP_003436127.1, XP_003436126.1
OG0000149	XP_035726837.1	XP_319018.3
OG0000150	XP_035733965.1, XP_035733966.1, XP_035733963.1, XP_035733964.1, XP_035733961.1, XP_035733962.1	XP_316248.3
OG0000151	XP_035735864.1, XP_035735857.1, XP_035735862.1, XP_035735863.1, XP_035735861.1, XP_035735859.1, XP_035735858.1	XP_001687986.1
OG0000152	XP_035722053.1	XP_001688746.1, XP_315920.4
OG0000153	XP_035727062.1	XP_315414.4
OG0000156	XP_035723493.1	XP_315693.3
OG0000157	XP_035732192.1, XP_035732282.1, XP_035732281.1	XP_319874.4, XP_319873.4
OG0000160	XP_035723999.1	XP_314536.3
OG0000160	XP_035733330.1, XP_035733325.1, XP_035733326.1, XP_035733328.1, XP_035733329.1	XP_314534.4
OG0000161	XP_035719666.1, XP_035719656.1, XP_035719675.1	XP_315381.4, XP_556009.2, XP_001237651.1, XP_556011.2
OG0000162	XP_035731205.1	XP_566274.3, XP_311007.4
OG0000162	XP_035740246.1, XP_035740247.1	XP_311918.3
OG0000164	XP_035732501.1	XP_315013.4
OG0000164	XP_035732024.1	XP_552916.2
OG0000165	XP_035743313.1, XP_035743321.1, XP_035743314.1, XP_035743315.1, XP_035743316.1, XP_035743317.1, XP_035743320.1, XP_035743319.1, XP_035743322.1, XP_035743323.1	XP_311219.3
OG0000165	XP_035734576.1	XP_311252.5
OG0000166	XP_035717393.1, XP_035717400.1, XP_035717381.1, XP_035717387.1, XP_035717382.1, XP_035717384.1	XP_001689364.2, XP_001689365.2, XP_001689363.2, XP_321832.5, XP_003435807.1
OG0000168	XP_035736898.1	XP_314120.4
OG0000168	XP_035731474.1	XP_308666.4, XP_309810.4
OG0000171	XP_035741201.1, XP_035741202.1, XP_035741205.1, XP_035741206.1	XP_553377.2, XP_318615.2, XP_317868.4, XP_554784.3
OG0000173	XP_035733795.1, XP_035733793.1, XP_035733794.1, XP_035733792.1	XP_313784.5
OG0000174	XP_035731433.1	XP_313394.4
OG0000175	XP_035729116.1, XP_035729110.1, XP_035729111.1, XP_035729112.1, XP_035729113.1	XP_001687949.1, XP_308467.4
OG0000177	XP_035739406.1	XP_309771.2
OG0000177	XP_035739374.1	XP_001230649.2
OG0000177	XP_035739564.1	XP_001688246.1
OG0000178	XP_035725180.1	XP_307952.5
OG0000179	XP_035719102.1, XP_035719101.1	XP_003437002.1, XP_310632.5
OG0000180	XP_035743555.1, XP_035743552.1, XP_035743551.1, XP_035743554.1	XP_003436547.1, XP_003436546.1, XP_313417.5
OG0000181	XP_035731090.1, XP_035731089.1, XP_035731092.1, XP_035731091.1	XP_321792.2
OG0000183	XP_035738622.1, XP_035738621.1, XP_035738620.1, XP_035738623.1	XP_311711.3
OG0000183	XP_035739701.1	XP_317936.4
OG0000185	XP_035733203.1, XP_035733201.1, XP_035733205.1, XP_035733204.1, XP_035733207.1, XP_035733206.1, XP_035733199.1, XP_035733200.1	XP_001688361.2
OG0000186	XP_035733371.1, XP_035733372.1, XP_035733373.1, XP_035733370.1, XP_035733460.1, XP_035733368.1, XP_035733369.1	XP_308393.4
OG0000187	XP_035731676.1, XP_035731677.1	XP_318759.3
OG0000188	XP_035740046.1	XP_315011.4, XP_315012.3, XP_001230552.2, XP_315010.4, XP_320581.4, XP_320580.4
OG0000189	XP_035728865.1	XP_559460.4, XP_003436249.1, XP_312117.5
OG0000189	XP_035728855.1	XP_311343.4, XP_309276.4
OG0000190	XP_035728040.1, XP_035728039.1	XP_003436713.1, XP_312971.1
OG0000191	XP_035735127.1	XP_321501.2, XP_320256.4, XP_001230641.2, XP_320896.4, XP_320897.4, XP_309543.4
OG0000192	XP_035718570.1, XP_035718565.1, XP_035718569.1, XP_035718568.1, XP_035718562.1, XP_035718563.1, XP_035718564.1	XP_311585.4
OG0000194	XP_035728644.1	XP_556986.2
OG0000196	XP_035720910.1	XP_001687817.2, XP_560491.4
OG0000198	XP_035723755.1	XP_314495.3
OG0000200	XP_035719894.1, XP_035719895.1	XP_559572.2, XP_003436619.1, XP_003436618.1, XP_003436620.1
OG0000201	XP_035742700.1	XP_316379.4
OG0000203	XP_035739190.1	XP_321914.5
OG0000203	XP_035727456.1, XP_035727445.1, XP_035727495.1, XP_035727486.1, XP_035727526.1, XP_035727477.1, XP_035727505.1, XP_035727467.1, XP_035727516.1	XP_315944.3
OG0000204	XP_035736371.1, XP_035736362.1, XP_035736353.1, XP_035736365.1, XP_035731143.1	XP_003436222.1, XP_312208.4
OG0000205	XP_035727194.1, XP_035727191.1, XP_035727193.1	XP_001688795.1, XP_003436549.1
OG0000206	XP_035731791.1	XP_003435909.1, XP_321392.5
OG0000206	XP_035731805.1	XP_003436103.1, XP_563817.3
OG0000207	XP_035718709.1	XP_308487.3
OG0000207	XP_035726226.1, XP_035726227.1	XP_001688813.1, XP_001688814.1, XP_556880.3
OG0000208	XP_035726225.1	XP_001688810.1, XP_316236.4
OG0000208	XP_035721855.1	XP_314845.4
OG0000209	XP_035728112.1	XP_001230643.2, XP_309738.3
OG0000210	XP_035733688.1, XP_035732804.1	XP_001688664.1
OG0000210	XP_035723457.1	XP_319144.3
OG0000212	XP_035737335.1, XP_035737458.1	XP_554502.2, XP_318238.4
OG0000213	XP_035723104.1	XP_309297.2
OG0000214	XP_035723354.1, XP_035723352.1, XP_035723353.1, XP_035723355.1	XP_313425.3, XP_003436551.1
OG0000214	XP_035741447.1, XP_035741444.1	XP_319075.3, XP_313331.4
OG0000215	XP_035724895.1, XP_035724894.1, XP_035724898.1, XP_035724897.1	XP_001689079.1, XP_001230280.1, XP_318019.4
OG0000216	XP_035724451.1	XP_310940.5, XP_001237336.2, XP_310941.5, XP_559040.3, XP_320018.4, XP_320019.4, XP_001237478.3, XP_001237476.3, XP_003436120.1, XP_003436121.1, XP_317098.4, XP_317096.4, XP_312527.4
OG0000217	XP_035740471.1	XP_310550.5, XP_309658.5, XP_001237269.3
OG0000218	XP_035726856.1	XP_308642.4
OG0000219	XP_035741255.1, XP_035741253.1, XP_035741259.1, XP_035741260.1, XP_035741251.1, XP_035741257.1, XP_035741254.1, XP_035741252.1, XP_035741256.1	XP_309335.4
OG0000220	XP_035717455.1, XP_035717452.1, XP_035717450.1, XP_035717454.1, XP_035717453.1	XP_314482.4
OG0000221	XP_035721735.1	XP_310745.5
OG0000223	XP_035733807.1	XP_320146.3
OG0000223	XP_035722636.1	XP_308984.1
OG0000224	XP_035739815.1, XP_035739812.1, XP_035739813.1, XP_035739814.1	XP_312099.2, XP_312102.4, XP_003436251.1
OG0000225	XP_035734246.1, XP_035734248.1, XP_035742936.1	XP_310636.2, XP_003437000.1
OG0000227	XP_035735426.1	XP_308342.4, XP_001237064.2
OG0000231	XP_035738625.1, XP_035738626.1, XP_035738627.1	XP_003436333.1, XP_316371.4
OG0000232	XP_035727361.1, XP_035727359.1, XP_035727360.1	XP_315941.1, XP_315942.3, XP_315943.3
OG0000233	XP_035718297.1	XP_311447.4
OG0000234	XP_035726727.1	XP_314989.4, XP_316577.4
OG0000235	XP_035729544.1, XP_035729549.1, XP_035729541.1	XP_309952.4
OG0000236	XP_035735169.1	XP_003435759.1, XP_003435758.1, XP_003435763.1, XP_322000.4
OG0000236	XP_035735167.1	XP_312478.1, XP_001238571.2
OG0000237	XP_035740253.1	XP_559100.2
OG0000237	XP_035740306.1	XP_311581.3
OG0000242	XP_035723091.1, XP_035742763.1, XP_035742764.1, XP_035727376.1, XP_035727388.1, XP_035742921.1	XP_565621.4, XP_307986.5, XP_003436060.1, XP_308056.5
OG0000243	XP_035719823.1, XP_035719832.1	XP_312943.4, XP_308057.4, XP_321049.3, XP_308058.4
OG0000244	XP_035735677.1, XP_035735674.1, XP_035735678.1, XP_035735673.1, XP_035735676.1, XP_035735675.1	XP_313365.4
OG0000245	XP_035726439.1	XP_315084.2, XP_001230554.1, XP_307623.1, XP_315083.1, XP_001231041.1, XP_001687787.1, XP_315074.1, XP_315076.1, XP_315075.1, XP_315073.2, XP_316323.2, XP_312089.2
OG0000246	XP_035739647.1	XP_319840.2, XP_319841.3
OG0000246	XP_035722551.1, XP_035722552.1, XP_035722553.1	XP_319838.3
OG0000247	XP_035731997.1	XP_001687768.2, XP_313774.4
OG0000247	XP_035732193.1	XP_003436566.1
OG0000248	XP_035739829.1	XP_308379.4, XP_315470.5, XP_003435724.1
OG0000249	XP_035744085.1, XP_035717767.1	XP_310971.5
OG0000250	XP_035723650.1	XP_003436312.1, XP_003436311.1, XP_311978.5
OG0000252	XP_035720532.1, XP_035720531.1	XP_321164.1
OG0000253	XP_035742337.1, XP_035742338.1	XP_310451.4, XP_310450.4, XP_001238805.2
OG0000254	XP_035732648.1	XP_312967.3, XP_003436712.1
OG0000255	XP_035728438.1, XP_035728437.1, XP_035728436.1	XP_003436960.1, XP_310845.5
OG0000256	XP_035743889.1, XP_035743888.1, XP_035743887.1, XP_035743890.1	XP_307890.5
OG0000257	XP_035740806.1, XP_035740850.1	XP_321870.5
OG0000257	XP_035740701.1	XP_321869.5, XP_001689370.2, XP_003435798.1, XP_321867.5, XP_321865.3
OG0000260	XP_035730089.1	XP_550846.3
OG0000263	XP_035722794.1, XP_035722793.1, XP_035722795.1, XP_035722792.1, XP_035722797.1	XP_001687857.1, XP_564524.3, XP_001687858.1
OG0000264	XP_035735842.1	XP_001688533.1, XP_314137.4
OG0000264	XP_035728468.1	XP_311594.2
OG0000265	XP_035743707.1	XP_319555.4, XP_312273.4, XP_003436201.1
OG0000266	XP_035743679.1	XP_310704.3
OG0000266	XP_035727916.1	XP_308081.2
OG0000268	XP_035724329.1	XP_309197.1, XP_003437164.1, XP_003437165.1, XP_560220.3, XP_001688171.2, XP_311384.3, XP_311355.3, XP_307829.2
OG0000269	XP_035719187.1, XP_035719185.1, XP_035719186.1, XP_035719184.1	XP_315017.4
OG0000270	XP_035721119.1	XP_003436281.1, XP_312025.4, XP_003436282.1
OG0000270	XP_035736463.1	XP_003436280.1, XP_312026.4
OG0000272	XP_035738837.1	XP_308042.3, XP_001230608.1
OG0000272	XP_035729176.1	XP_309153.3, XP_314691.2
OG0000273	XP_035734287.1, XP_035734277.1	XP_308599.4, XP_001688028.1
OG0000274	XP_035728684.1	XP_319531.4
OG0000275	XP_035721639.1, XP_035721634.1, XP_035721635.1, XP_035721637.1, XP_035721638.1, XP_035721636.1	XP_001237830.2
OG0000276	XP_035719572.1, XP_035719570.1	XP_003436154.1, XP_312380.3
OG0000277	XP_035720328.1, XP_035720326.1, XP_035720324.1, XP_035720323.1, XP_035720322.1, XP_035720327.1	XP_315597.3, XP_001688685.1, XP_001688686.1
OG0000278	XP_035742183.1, XP_035742182.1	XP_307914.5, XP_003436076.1
OG0000283	XP_035732633.1, XP_035732632.1, XP_035732635.1, XP_035732634.1, XP_035732636.1, XP_035732638.1, XP_035732643.1, XP_035732639.1, XP_035732637.1, XP_035732628.1, XP_035732629.1, XP_035732630.1, XP_035732640.1, XP_035732641.1	XP_315855.4
OG0000284	XP_035725371.1	XP_003436098.1, XP_003436097.1, XP_312601.2
OG0000284	XP_035736377.1	XP_308964.2
OG0000285	XP_035725457.1, XP_035725458.1, XP_035725456.1	XP_309398.1
OG0000286	XP_035731751.1, XP_035731750.1, XP_035731752.1	XP_309986.3
OG0000287	XP_035740381.1	XP_315240.3
OG0000288	XP_035725617.1, XP_035725618.1, XP_035725619.1, XP_035725620.1	XP_552525.3
OG0000288	XP_035727964.1	XP_319330.4
OG0000289	XP_035736843.1, XP_035736844.1, XP_035736845.1	XP_319051.2
OG0000291	XP_035742447.1, XP_035742448.1	XP_001689411.1
OG0000295	XP_035724522.1, XP_035724503.1, XP_035724513.1	XP_564212.2
OG0000296	XP_035742884.1, XP_035742883.1, XP_035742885.1	XP_316088.3
OG0000297	XP_035732677.1	XP_309482.3
OG0000298	XP_035725046.1, XP_035725050.1, XP_035725049.1, XP_035725047.1, XP_035725048.1	XP_003436069.1, XP_307929.5
OG0000299	XP_035741263.1, XP_035741264.1, XP_035741266.1, XP_035741261.1, XP_035741262.1, XP_035741265.1	XP_317327.4
