Orthogroup	Vespa_mandarinia	Polistes_dominula
OG0000010	XP_035740256.1, XP_035736363.1, XP_035723753.1, XP_035737757.1, XP_035742633.1, XP_035724078.1, XP_035736366.1, XP_035742251.1, XP_035737492.1, XP_035742783.1, XP_035737758.1, XP_035740321.1, XP_035737495.1, XP_035723442.1, XP_035742250.1	XP_015187532.1, XP_015189777.1
OG0000011	XP_035728386.1	XP_015183884.1
OG0000011	XP_035728332.1	XP_015180925.1
OG0000011	XP_035728388.1, XP_035728331.1	XP_015183883.1
OG0000011	XP_035728389.1	XP_015183802.1
OG0000012	XP_035729179.1	XP_015181463.1
OG0000012	XP_035731128.1	XP_015184231.1
OG0000012	XP_035731058.1, XP_035731059.1	XP_015184244.1
OG0000013	XP_035732971.1	XP_015172623.1
OG0000013	XP_035725915.1	XP_015174269.1
OG0000013	XP_035732326.1, XP_035732327.1, XP_035732323.1, XP_035732322.1, XP_035732328.1	XP_015172185.1
OG0000014	XP_035725913.1, XP_035733113.1, XP_035733114.1, XP_035733115.1, XP_035735278.1	XP_015177523.1
OG0000017	XP_035722701.1	XP_015172927.1, XP_015172893.1, XP_015172912.1, XP_015172903.1, XP_015172883.1
OG0000017	XP_035728385.1	XP_015183882.1, XP_015180945.1
OG0000018	XP_035730877.1	XP_015184408.1
OG0000018	XP_035718019.1	XP_015186827.1
OG0000018	XP_035718148.1	XP_015186828.1
OG0000018	XP_035735080.1	XP_015175602.1
OG0000019	XP_035725561.1	XP_015184618.1, XP_015184619.1
OG0000019	XP_035725574.1, XP_035725576.1	XP_015189804.1, XP_015189805.1
OG0000019	XP_035720602.1	XP_015172147.1
OG0000019	XP_035726985.1	XP_015182221.1, XP_015189673.1
OG0000020	XP_035723591.1	XP_015172633.1
OG0000020	XP_035725275.1	XP_015183576.1
OG0000020	XP_035728836.1	XP_015171445.1
OG0000020	XP_035730287.1, XP_035730285.1, XP_035730286.1, XP_035730288.1, XP_035730289.1	XP_015183950.1, XP_015183951.1, XP_015183952.1
OG0000021	XP_035729141.1	XP_015183660.1, XP_015183652.1, XP_015183642.1, XP_015183675.1, XP_015183668.1
OG0000021	XP_035721174.1, XP_035721172.1, XP_035721170.1, XP_035721169.1, XP_035721173.1	XP_015184436.1
OG0000021	XP_035723530.1	XP_015190080.1
OG0000021	XP_035723165.1, XP_035723164.1	XP_015188837.1
OG0000021	XP_035729144.1	XP_015183774.1, XP_015183791.1, XP_015183783.1
OG0000022	XP_035725916.1	XP_015174052.1
OG0000022	XP_035721830.1	XP_015173497.1
OG0000022	XP_035735255.1	XP_015179778.1, XP_015177598.1
OG0000023	XP_035735383.1	XP_015177524.1, XP_015173448.1
OG0000023	XP_035740848.1	XP_015181269.1
OG0000024	XP_035742194.1	XP_015188584.1, XP_015188403.1, XP_015171793.1
OG0000024	XP_035728675.1, XP_035728676.1, XP_035728677.1	XP_015182123.1
OG0000024	XP_035738183.1	XP_015181825.1
OG0000024	XP_035720575.1, XP_035720354.1, XP_035720356.1, XP_035720355.1, XP_035720353.1	XP_015181175.1, XP_015181294.1, XP_015189755.1
OG0000024	XP_035738182.1	XP_015181824.1
OG0000025	XP_035724083.1, XP_035742376.1, XP_035742379.1, XP_035739240.1, XP_035725547.1, XP_035740254.1, XP_035721994.1, XP_035734900.1, XP_035742201.1, XP_035742934.1	XP_015189848.1
OG0000025	XP_035737739.1	XP_015189686.1
OG0000025	XP_035744177.1, XP_035744179.1, XP_035744180.1, XP_035744178.1	XP_015189019.1
OG0000025	XP_035720880.1, XP_035742374.1, XP_035725548.1, XP_035737742.1	XP_015189308.1
OG0000025	XP_035734903.1, XP_035723523.1	XP_015176372.1, XP_015189823.1
OG0000025	XP_035737500.1, XP_035727797.1, XP_035740328.1	XP_015174442.1
OG0000026	XP_035728457.1	XP_015181461.1, XP_015181460.1
OG0000026	XP_035718093.1, XP_035718094.1	XP_015187707.1, XP_015187708.1, XP_015187709.1, XP_015187706.1
OG0000027	XP_035732973.1, XP_035725930.1	XP_015172634.1
OG0000027	XP_035725928.1	XP_015177662.1
OG0000029	XP_035732363.1, XP_035732348.1	XP_015172519.1, XP_015172507.1
OG0000029	XP_035737588.1	XP_015185507.1
OG0000029	XP_035732367.1, XP_035732349.1	XP_015172137.1
OG0000030	XP_035739081.1	XP_015180792.1, XP_015180789.1
OG0000030	XP_035741463.1, XP_035741476.1, XP_035742381.1, XP_035742412.1, XP_035741466.1	XP_015172637.1
OG0000030	XP_035723581.1	XP_015187915.1, XP_015185971.1, XP_015185973.1, XP_015185974.1, XP_015185972.1, XP_015189947.1, XP_015189898.1, XP_015186637.1, XP_015189768.1, XP_015189842.1, XP_015186005.1, XP_015189795.1, XP_015189846.1, XP_015177899.1, XP_015186006.1, XP_015189579.1, XP_015189757.1, XP_015189580.1, XP_015189727.1, XP_015189305.1, XP_015189905.1, XP_015189578.1
OG0000032	XP_035723151.1	XP_015190440.1
OG0000032	XP_035735826.1	XP_015191817.1
OG0000032	XP_035730167.1	XP_015182537.1, XP_015182533.1
OG0000034	XP_035720594.1	XP_015189438.1
OG0000034	XP_035719158.1	XP_015171079.1, XP_015171022.1
OG0000034	XP_035728850.1, XP_035728849.1, XP_035728545.1, XP_035730148.1, XP_035736841.1	XP_015172910.1
OG0000034	XP_035741912.1, XP_035741914.1	XP_015185288.1
OG0000035	XP_035731371.1	XP_015172482.1
OG0000036	XP_035729806.1, XP_035742752.1	XP_015175819.1
OG0000036	XP_035729817.1	XP_015174610.1
OG0000036	XP_035729794.1	XP_015174768.1
OG0000037	XP_035725074.1	XP_015184679.1
OG0000038	XP_035735002.1	XP_015179362.1
OG0000038	XP_035735001.1, XP_035735000.1	XP_015179360.1
OG0000038	XP_035739586.1	XP_015179091.1
OG0000038	XP_035727166.1	XP_015185565.1
OG0000038	XP_035733817.1	XP_015184119.1
OG0000038	XP_035734959.1	XP_015179361.1
OG0000039	XP_035742491.1, XP_035738048.1, XP_035739234.1, XP_035741853.1, XP_035742781.1, XP_035742675.1, XP_035742780.1	XP_015189306.1, XP_015189985.1
OG0000040	XP_035729456.1	XP_015176238.1
OG0000040	XP_035729457.1	XP_015176239.1
OG0000040	XP_035742485.1	XP_015175500.1
OG0000040	XP_035725216.1	XP_015186212.1
OG0000041	XP_035743035.1	XP_015182473.1, XP_015182472.1
OG0000041	XP_035742719.1	XP_015179142.1
OG0000041	XP_035742717.1	XP_015179141.1
OG0000042	XP_035732212.1	XP_015186594.1, XP_015186595.1, XP_015186596.1, XP_015189781.1, XP_015189581.1, XP_015189834.1, XP_015171566.1, XP_015171565.1, XP_015171564.1, XP_015171563.1, XP_015171562.1
OG0000043	XP_035731122.1	XP_015177490.1, XP_015177491.1
OG0000043	XP_035718657.1	XP_015180729.1
OG0000044	XP_035717273.1	XP_015184594.1
OG0000045	XP_035720478.1, XP_035720481.1, XP_035720479.1	XP_015183284.1
OG0000045	XP_035731034.1, XP_035731019.1	XP_015173221.1
OG0000045	XP_035720482.1	XP_015183312.1
OG0000045	XP_035742841.1	XP_015172085.1
OG0000046	XP_035742705.1	XP_015179269.1
OG0000046	XP_035722173.1	XP_015189296.1
OG0000046	XP_035734549.1	XP_015177712.1
OG0000046	XP_035728851.1, XP_035728840.1	XP_015174688.1, XP_015174687.1
OG0000048	XP_035728382.1	XP_015178617.1
OG0000048	XP_035728120.1	XP_015178587.1
OG0000050	XP_035737134.1, XP_035737133.1, XP_035737132.1, XP_035737155.1, XP_035737128.1	XP_015187332.1, XP_015175623.1
OG0000052	XP_035730522.1	XP_015186733.1
OG0000053	XP_035742059.1	XP_015179305.1
OG0000053	XP_035741492.1, XP_035735020.1, XP_035737765.1, XP_035725546.1, XP_035739246.1	XP_015189792.1, XP_015186004.1
OG0000054	XP_035724338.1	XP_015175390.1
OG0000054	XP_035724099.1, XP_035724441.1	XP_015175295.1, XP_015175296.1, XP_015175389.1
OG0000055	XP_035726348.1, XP_035726347.1	XP_015171080.1
OG0000055	XP_035720014.1	XP_015176664.1
OG0000056	XP_035726130.1	XP_015176704.1
OG0000056	XP_035718477.1	XP_015178312.1
OG0000056	XP_035728622.1	XP_015175416.1
OG0000056	XP_035733992.1	XP_015181793.1
OG0000056	XP_035741213.1	XP_015173622.1
OG0000056	XP_035729096.1	XP_015181325.1
OG0000057	XP_035734097.1	XP_015171970.1
OG0000057	XP_035721261.1	XP_015173587.1
OG0000057	XP_035734267.1, XP_035734266.1	XP_015171878.1
OG0000057	XP_035734264.1	XP_015171877.1
OG0000057	XP_035734268.1	XP_015171777.1
OG0000058	XP_035739545.1	XP_015182294.1
OG0000058	XP_035739536.1	XP_015182349.1, XP_015182350.1
OG0000060	XP_035730103.1	XP_015185766.1, XP_015185775.1
OG0000060	XP_035738199.1, XP_035738201.1, XP_035738202.1	XP_015181080.1, XP_015181079.1
OG0000061	XP_035724328.1	XP_015178059.1
OG0000061	XP_035721661.1, XP_035721662.1, XP_035721660.1, XP_035721465.1	XP_015177990.1
OG0000062	XP_035737336.1	XP_015179445.1
OG0000062	XP_035728895.1	XP_015173092.1
OG0000064	XP_035728239.1	XP_015178584.1
OG0000064	XP_035741915.1	XP_015185301.1
OG0000064	XP_035741916.1, XP_035741917.1	XP_015185287.1
OG0000065	XP_035738514.1, XP_035738515.1, XP_035738510.1, XP_035738511.1, XP_035738513.1, XP_035738516.1	XP_015174229.1, XP_015174230.1, XP_015174227.1, XP_015174228.1, XP_015174231.1
OG0000067	XP_035734988.1	XP_015179349.1
OG0000067	XP_035729269.1	XP_015185638.1
OG0000067	XP_035718759.1	XP_015180637.1
OG0000067	XP_035729166.1	XP_015184670.1
OG0000067	XP_035724654.1	XP_015182629.1
OG0000069	XP_035737423.1	XP_015175625.1
OG0000069	XP_035737135.1	XP_015175624.1
OG0000070	XP_035741675.1	XP_015181226.1
OG0000070	XP_035741496.1, XP_035741497.1	XP_015183189.1
OG0000070	XP_035741498.1, XP_035741499.1, XP_035741500.1, XP_035741698.1, XP_035741699.1	XP_015181213.1
OG0000070	XP_035729713.1, XP_035730159.1	XP_015181252.1, XP_015183161.1
OG0000070	XP_035730158.1	XP_015181266.1
OG0000070	XP_035741501.1, XP_035741694.1	XP_015183121.1, XP_015183113.1
OG0000070	XP_035741503.1, XP_035741697.1, XP_035741696.1, XP_035741504.1	XP_015181189.1
OG0000073	XP_035733744.1	XP_015173919.1
OG0000074	XP_035719932.1, XP_035736547.1	XP_015188226.1, XP_015188225.1, XP_015174533.1, XP_015179365.1, XP_015174735.1
OG0000075	XP_035737766.1, XP_035725545.1	XP_015189044.1, XP_015182495.1
OG0000075	XP_035722714.1	XP_015189743.1, XP_015189925.1, XP_015190539.1, XP_015189824.1, XP_015189304.1
OG0000077	XP_035738027.1	XP_015188023.1
OG0000077	XP_035722352.1, XP_035740324.1, XP_035742569.1, XP_035742630.1, XP_035738069.1	XP_015179002.1, XP_015185970.1
OG0000078	XP_035741908.1, XP_035741909.1, XP_035741910.1	XP_015185284.1
OG0000078	XP_035741911.1	XP_015185291.1, XP_015185285.1
OG0000079	XP_035741810.1	XP_015174902.1
OG0000079	XP_035741818.1	XP_015176401.1
OG0000079	XP_035741817.1	XP_015176392.1
OG0000080	XP_035724002.1	XP_015185202.1, XP_015185201.1, XP_015185203.1
OG0000080	XP_035722996.1	XP_015185196.1
OG0000081	XP_035739549.1	XP_015179051.1, XP_015179053.1
OG0000081	XP_035739551.1, XP_035739552.1	XP_015179052.1, XP_015179158.1
OG0000082	XP_035733049.1	XP_015175974.1
OG0000084	XP_035738869.1	XP_015180887.1
OG0000084	XP_035739145.1	XP_015180880.1
OG0000085	XP_035734061.1, XP_035734059.1, XP_035734060.1, XP_035734062.1	XP_015172015.1
OG0000085	XP_035737189.1	XP_015179519.1, XP_015175778.1, XP_015175777.1, XP_015175779.1
OG0000086	XP_035737219.1, XP_035737220.1	XP_015175698.1
OG0000087	XP_035734892.1	XP_015179311.1
OG0000087	XP_035735028.1	XP_015179470.1, XP_015179472.1, XP_015179471.1, XP_015179473.1
OG0000088	XP_035718097.1	XP_015175828.1
OG0000089	XP_035732042.1	XP_015191649.1
OG0000089	XP_035729577.1	XP_015191842.1
OG0000091	XP_035743855.1	XP_015190282.1, XP_015190273.1
OG0000092	XP_035729950.1	XP_015182560.1
OG0000092	XP_035719716.1, XP_035719715.1	XP_015171266.1
OG0000092	XP_035719719.1	XP_015171261.1
OG0000092	XP_035718227.1	XP_015180692.1
OG0000094	XP_035742083.1	XP_015176150.1
OG0000094	XP_035735320.1, XP_035735319.1, XP_035735318.1	XP_015184885.1
OG0000094	XP_035729864.1	XP_015189233.1
OG0000095	XP_035720088.1, XP_035720091.1, XP_035720570.1, XP_035720568.1, XP_035720569.1, XP_035720572.1, XP_035721650.1, XP_035721665.1, XP_035721664.1	XP_015179352.1, XP_015179379.1, XP_015187338.1, XP_015179387.1, XP_015179306.1, XP_015187259.1, XP_015179367.1, XP_015179368.1, XP_015179309.1, XP_015188211.1, XP_015188462.1, XP_015189731.1, XP_015177511.1, XP_015177513.1, XP_015177512.1, XP_015188691.1, XP_015189818.1
OG0000095	XP_035720092.1	XP_015188693.1
OG0000096	XP_035735801.1	XP_015179711.1, XP_015179710.1, XP_015179714.1, XP_015179713.1
OG0000096	XP_035724668.1, XP_035724666.1	XP_015178304.1
OG0000097	XP_035742312.1, XP_035742314.1, XP_035742313.1	XP_015172032.1, XP_015172041.1
OG0000097	XP_035739103.1, XP_035739101.1, XP_035739102.1	XP_015182319.1, XP_015182320.1
OG0000097	XP_035736455.1, XP_035736447.1	XP_015177848.1
OG0000098	XP_035733072.1, XP_035733137.1	XP_015183431.1, XP_015183430.1, XP_015183429.1, XP_015183432.1, XP_015183427.1, XP_015183428.1
OG0000099	XP_035723282.1, XP_035723292.1, XP_035723300.1	XP_015176643.1
OG0000099	XP_035721767.1	XP_015176645.1
OG0000099	XP_035729911.1	XP_015179938.1
OG0000100	XP_035731312.1, XP_035731311.1, XP_035731307.1, XP_035731310.1, XP_035731309.1	XP_015189083.1, XP_015189082.1, XP_015189085.1, XP_015189084.1, XP_015189086.1, XP_015189080.1, XP_015189081.1
OG0000101	XP_035724161.1	XP_015184968.1
OG0000101	XP_035724180.1	XP_015178204.1, XP_015178201.1
OG0000102	XP_035722712.1	XP_015177204.1
OG0000102	XP_035722713.1	XP_015177232.1
OG0000103	XP_035728991.1	XP_015173914.1
OG0000103	XP_035729002.1, XP_035728999.1	XP_015174400.1, XP_015174392.1
OG0000103	XP_035729084.1, XP_035729085.1, XP_035729086.1, XP_035729088.1	XP_015174420.1, XP_015174451.1, XP_015174437.1, XP_015174429.1, XP_015174443.1, XP_015174411.1
OG0000104	XP_035731252.1	XP_015187529.1, XP_015189625.1
OG0000106	XP_035733408.1	XP_015189377.1
OG0000106	XP_035736824.1	XP_015189668.1
OG0000106	XP_035733484.1	XP_015179304.1
OG0000106	XP_035733488.1	XP_015185693.1
OG0000106	XP_035733521.1	XP_015182786.1
OG0000106	XP_035742386.1	XP_015189678.1
OG0000106	XP_035733487.1, XP_035733491.1, XP_035733520.1, XP_035733489.1, XP_035733485.1, XP_035733486.1	XP_015189677.1
OG0000106	XP_035727546.1, XP_035733497.1, XP_035733502.1, XP_035733494.1, XP_035742377.1, XP_035733495.1, XP_035733496.1, XP_035733499.1, XP_035733501.1, XP_035733500.1, XP_035742401.1, XP_035733493.1, XP_035742397.1, XP_035742391.1, XP_035742388.1, XP_035742396.1, XP_035742394.1, XP_035742389.1, XP_035742398.1, XP_035742399.1, XP_035727502.1, XP_035742387.1, XP_035733492.1	XP_015182787.1
OG0000107	XP_035735907.1	XP_015172211.1, XP_015172212.1
OG0000108	XP_035729960.1	XP_015182534.1
OG0000108	XP_035729104.1	XP_015181990.1
OG0000108	XP_035729105.1	XP_015182011.1, XP_015191850.1
OG0000109	XP_035733082.1, XP_035733090.1, XP_035733088.1, XP_035733089.1, XP_035733086.1, XP_035733087.1, XP_035733084.1, XP_035733085.1, XP_035733092.1, XP_035733093.1, XP_035733091.1	XP_015175909.1, XP_015175910.1, XP_015175911.1, XP_015175907.1
OG0000110	XP_035727648.1, XP_035727647.1	XP_015177093.1
OG0000110	XP_035738900.1	XP_015180892.1
OG0000111	XP_035718068.1	XP_015175971.1
OG0000111	XP_035719146.1	XP_015188005.1
OG0000112	XP_035719175.1, XP_035719174.1, XP_035719177.1, XP_035719176.1, XP_035719171.1, XP_035719172.1	XP_015188234.1, XP_015188235.1, XP_015188236.1
OG0000112	XP_035730834.1, XP_035730827.1, XP_035730828.1, XP_035730829.1, XP_035730830.1, XP_035730831.1, XP_035730832.1, XP_035730833.1	XP_015180272.1, XP_015180273.1
OG0000113	XP_035724028.1	XP_015185884.1
OG0000113	XP_035725454.1	XP_015172979.1, XP_015172980.1
OG0000114	XP_035719468.1	XP_015171119.1
OG0000115	XP_035719374.1	XP_015171184.1, XP_015171185.1
OG0000115	XP_035728117.1	XP_015183848.1, XP_015183846.1
OG0000116	XP_035728572.1, XP_035728573.1	XP_015173852.1, XP_015173854.1, XP_015173853.1
OG0000116	XP_035728508.1, XP_035728506.1, XP_035728507.1	XP_015173840.1, XP_015173841.1
OG0000117	XP_035721151.1	XP_015176195.1
OG0000117	XP_035728960.1	XP_015171648.1, XP_015171595.1
OG0000119	XP_035728103.1, XP_035728091.1, XP_035728092.1, XP_035728099.1, XP_035728090.1, XP_035728088.1	XP_015178611.1, XP_015178609.1, XP_015178605.1, XP_015178601.1
OG0000120	XP_035743508.1	XP_015171646.1, XP_015171649.1, XP_015171650.1, XP_015171651.1, XP_015171644.1, XP_015171645.1, XP_015171647.1
OG0000122	XP_035742190.1	XP_015172102.1
OG0000122	XP_035722129.1	XP_015172140.1
OG0000122	XP_035738975.1	XP_015182416.1
OG0000122	XP_035738980.1	XP_015182415.1
OG0000123	XP_035725246.1, XP_035725252.1	XP_015185661.1, XP_015185658.1, XP_015185659.1, XP_015185654.1, XP_015185655.1, XP_015185656.1, XP_015185657.1, XP_015185653.1, XP_015185660.1
OG0000124	XP_035724659.1	XP_015173329.1, XP_015173327.1, XP_015173328.1
OG0000125	XP_035743368.1, XP_035743367.1	XP_015191429.1
OG0000126	XP_035731654.1, XP_035731655.1, XP_035731651.1, XP_035731652.1, XP_035731657.1, XP_035731656.1, XP_035731659.1, XP_035731653.1, XP_035731650.1	XP_015180002.1, XP_015180011.1, XP_015180021.1, XP_015179995.1
OG0000127	XP_035718002.1	XP_015178412.1, XP_015178414.1
OG0000127	XP_035726611.1, XP_035726612.1, XP_035720274.1	XP_015189033.1
OG0000127	XP_035726374.1	XP_015188504.1
OG0000129	XP_035741994.1, XP_035741995.1	XP_015185341.1, XP_015185342.1
OG0000130	XP_035721963.1	XP_015177984.1
OG0000130	XP_035721970.1, XP_035721971.1, XP_035721969.1, XP_035721972.1	XP_015177985.1, XP_015177986.1
OG0000130	XP_035721444.1	XP_015178018.1, XP_015178019.1
OG0000131	XP_035742296.1	XP_015188702.1
OG0000131	XP_035733339.1	XP_015181077.1, XP_015181078.1
OG0000132	XP_035721782.1, XP_035721781.1	XP_015173499.1, XP_015173500.1
OG0000132	XP_035732604.1	XP_015188177.1
OG0000133	XP_035741242.1	XP_015173823.1
OG0000135	XP_035717163.1	XP_015190379.1, XP_015190377.1, XP_015190378.1
OG0000135	XP_035725594.1	XP_015186255.1
OG0000136	XP_035728633.1, XP_035728680.1, XP_035728635.1, XP_035728634.1	XP_015182073.1
OG0000137	XP_035738396.1	XP_015174184.1
OG0000137	XP_035732267.1	XP_015176307.1
OG0000138	XP_035730963.1, XP_035730973.1, XP_035730946.1, XP_035730956.1, XP_035730998.1, XP_035731008.1, XP_035730984.1, XP_035730990.1	XP_015173336.1, XP_015173335.1, XP_015173334.1, XP_015173333.1
OG0000138	XP_035722005.1	XP_015181777.1
OG0000139	XP_035719417.1, XP_035719753.1	XP_015184449.1
OG0000141	XP_035723074.1, XP_035723075.1, XP_035723073.1	XP_015172584.1
OG0000141	XP_035722354.1, XP_035722355.1	XP_015191838.1
OG0000141	XP_035722392.1, XP_035722391.1	XP_015178844.1, XP_015178845.1
OG0000143	XP_035726588.1	XP_015188708.1
OG0000143	XP_035726587.1, XP_035726585.1, XP_035726586.1	XP_015188709.1, XP_015188710.1
OG0000144	XP_035721338.1	XP_015177944.1
OG0000145	XP_035739706.1, XP_035739705.1	XP_015182419.1, XP_015182420.1, XP_015182418.1, XP_015182421.1
OG0000145	XP_035732035.1, XP_035732034.1, XP_035732031.1, XP_035732032.1, XP_035732029.1, XP_035732030.1, XP_035732028.1, XP_035732033.1	XP_015191830.1, XP_015191831.1, XP_015191832.1
OG0000146	XP_035732991.1, XP_035732990.1, XP_035732989.1, XP_035732988.1	XP_015178326.1, XP_015178324.1
OG0000147	XP_035736868.1	XP_015188786.1, XP_015188787.1, XP_015188785.1
OG0000147	XP_035736866.1	XP_015188788.1
OG0000147	XP_035734708.1	XP_015172908.1
OG0000149	XP_035726837.1	XP_015183082.1
OG0000149	XP_035726846.1, XP_035726843.1, XP_035726842.1, XP_035726847.1, XP_035726845.1	XP_015183081.1, XP_015183080.1, XP_015183079.1
OG0000150	XP_035733965.1, XP_035733966.1, XP_035733963.1, XP_035733964.1, XP_035733961.1, XP_035733962.1	XP_015187534.1, XP_015187533.1, XP_015187535.1, XP_015187536.1
OG0000151	XP_035735864.1, XP_035735857.1, XP_035735862.1, XP_035735863.1, XP_035735861.1, XP_035735859.1, XP_035735858.1	XP_015179752.1, XP_015179751.1, XP_015179755.1, XP_015179753.1, XP_015179750.1
OG0000152	XP_035722053.1	XP_015177279.1
OG0000153	XP_035727062.1	XP_015183219.1, XP_015183220.1, XP_015183221.1, XP_015183223.1, XP_015183222.1, XP_015183224.1
OG0000154	XP_035743057.1, XP_035743056.1	XP_015178505.1, XP_015178503.1, XP_015178507.1, XP_015178506.1
OG0000155	XP_035724082.1, XP_035742778.1, XP_035733904.1, XP_035737499.1, XP_035737756.1, XP_035736367.1, XP_035725552.1, XP_035740255.1, XP_035725541.1	XP_015186403.1
OG0000156	XP_035723493.1	XP_015190200.1, XP_015190202.1, XP_015190201.1, XP_015190205.1, XP_015190203.1, XP_015190204.1
OG0000157	XP_035732281.1	XP_015176246.1
OG0000158	XP_035740201.1	XP_015180258.1, XP_015180556.1, XP_015179489.1
OG0000158	XP_035740054.1, XP_035740197.1, XP_035740199.1, XP_035740200.1, XP_035740198.1	XP_015179488.1
OG0000160	XP_035723999.1	XP_015185930.1
OG0000160	XP_035733330.1, XP_035733325.1, XP_035733326.1, XP_035733328.1, XP_035733329.1	XP_015184081.1
OG0000161	XP_035719666.1, XP_035719656.1, XP_035719675.1	XP_015176784.1
OG0000162	XP_035731205.1	XP_015186367.1
OG0000162	XP_035740246.1, XP_035740247.1	XP_015182682.1
OG0000164	XP_035732501.1	XP_015180421.1, XP_015180420.1
OG0000164	XP_035732024.1	XP_015191636.1, XP_015191547.1, XP_015191637.1, XP_015191588.1
OG0000165	XP_035743313.1, XP_035743321.1, XP_035743314.1, XP_035743315.1, XP_035743316.1, XP_035743317.1, XP_035743320.1, XP_035743319.1, XP_035743322.1, XP_035743323.1	XP_015185448.1
OG0000165	XP_035734576.1	XP_015174982.1
OG0000166	XP_035717393.1, XP_035717400.1, XP_035717381.1, XP_035717387.1, XP_035717382.1, XP_035717384.1	XP_015173109.1, XP_015173102.1, XP_015173096.1, XP_015173094.1, XP_015173098.1
OG0000169	XP_035729103.1, XP_035729296.1	XP_015174834.1, XP_015178625.1, XP_015181526.1
OG0000170	XP_035742479.1	XP_015191094.1
OG0000170	XP_035742502.1, XP_035742492.1, XP_035742486.1	XP_015191097.1, XP_015191098.1
OG0000171	XP_035741201.1, XP_035741202.1	XP_015174391.1
OG0000171	XP_035741205.1, XP_035741206.1	XP_015174730.1
OG0000172	XP_035738100.1, XP_035738101.1	XP_015184112.1, XP_015184114.1, XP_015184115.1, XP_015184116.1, XP_015184111.1
OG0000173	XP_035733795.1, XP_035733793.1, XP_035733794.1, XP_035733792.1	XP_015173985.1, XP_015173987.1, XP_015173988.1, XP_015173989.1
OG0000174	XP_035731433.1	XP_015191732.1, XP_015191730.1, XP_015191731.1
OG0000175	XP_035729116.1, XP_035729110.1, XP_035729111.1, XP_035729112.1, XP_035729113.1	XP_015184505.1, XP_015184496.1, XP_015184487.1, XP_015184522.1, XP_015184514.1
OG0000176	XP_035737883.1	XP_015188014.1
OG0000176	XP_035737411.1	XP_015179485.1
OG0000177	XP_035739406.1	XP_015191041.1
OG0000177	XP_035739374.1	XP_015190999.1
OG0000178	XP_035725180.1	XP_015179140.1
OG0000179	XP_035741505.1	XP_015183599.1
OG0000179	XP_035719102.1, XP_035719101.1	XP_015184549.1
OG0000179	XP_035737641.1	XP_015181406.1
