Orthogroup	Vespa_mandarinia	Apis_mellifera
OG0000018	XP_035730877.1	XP_393750.5
OG0000018	XP_035718019.1	XP_006566761.2, XP_026299796.1, XP_006566764.2, XP_006566762.2, XP_006566763.2
OG0000018	XP_035718148.1	XP_026299794.1
OG0000018	XP_035735080.1	XP_006563569.1
OG0000019	XP_035725561.1, XP_035725574.1, XP_035725576.1	XP_026299702.1
OG0000019	XP_035726985.1	XP_006572051.3
OG0000020	XP_035725275.1	XP_006569751.2
OG0000020	XP_035728836.1	XP_006560785.2
OG0000021	XP_035743843.1, XP_035743842.1	XP_026299753.1
OG0000022	XP_035721830.1	XP_624700.1
OG0000022	XP_035735991.1, XP_035732965.1	XP_003251613.1
OG0000022	XP_035735255.1	XP_001120346.1
OG0000024	XP_035742194.1	XP_026299083.1, XP_001120613.2
OG0000024	XP_035728675.1, XP_035728676.1, XP_035728677.1	XP_016773395.2
OG0000024	XP_035738182.1	NP_001011620.1
OG0000025	XP_035731230.1, XP_035723148.1, XP_035733844.1, XP_035727538.1, XP_035737739.1	XP_026301735.1, XP_026301782.1, XP_026300570.1
OG0000025	XP_035739241.1	XP_016772665.2, XP_006571987.1, XP_026301197.1, XP_026299470.1, XP_026295418.1, XP_026301769.1
OG0000025	XP_035733466.1, XP_035719463.1, XP_035744177.1, XP_035744179.1, XP_035744180.1, XP_035744178.1, XP_035723709.1	XP_026294993.1, XP_026295496.1
OG0000026	XP_035728457.1	XP_392530.3
OG0000027	XP_035732973.1, XP_035725930.1	XP_003251624.1
OG0000027	XP_035735381.1, XP_035725928.1, XP_035725929.1	XP_006570863.1
OG0000029	XP_035737588.1	NP_001257750.1
OG0000029	XP_035732367.1, XP_035732349.1	NP_001257749.1
OG0000030	XP_035739081.1, XP_035741463.1, XP_035741476.1, XP_035742381.1, XP_035742412.1, XP_035741466.1	NP_001177849.1, XP_006572276.1
OG0000030	XP_035723581.1	XP_026300187.1
OG0000032	XP_035730167.1	XP_026298886.1
OG0000034	XP_035741912.1, XP_035741914.1	XP_026299312.1, NP_001229915.1, NP_001229914.1, XP_026299613.1, XP_016770782.1, XP_016770780.1, XP_016770788.1
OG0000035	XP_035731371.1	XP_392319.3
OG0000036	XP_035729817.1	XP_006563422.1
OG0000036	XP_035729794.1	XP_001121077.2
OG0000037	XP_035725074.1	NP_001257751.1
OG0000038	XP_035735001.1, XP_035735000.1	XP_623220.1, XP_006567025.1
OG0000038	XP_035739586.1	XP_394092.3
OG0000038	XP_035727166.1	XP_006563567.1
OG0000038	XP_035733817.1	XP_026300252.1
OG0000040	XP_035729456.1	XP_026297199.1
OG0000040	XP_035742485.1	XP_394370.2
OG0000041	XP_035743035.1	NP_001172074.1, NP_001172075.1
OG0000041	XP_035742719.1	XP_026296530.1
OG0000041	XP_035742718.1, XP_035742717.1	XP_016767697.1
OG0000042	XP_035732212.1	XP_026296155.1, XP_026296156.1, XP_026296157.1, XP_026296158.1, XP_006571892.1, XP_623925.2, XP_026296164.1, XP_026296165.1
OG0000043	XP_035731122.1	XP_016768084.1, NP_001071287.1
OG0000044	XP_035717273.1	XP_006565547.1
OG0000044	XP_035744089.1, XP_035744088.1	XP_006565544.2
OG0000045	XP_035720478.1, XP_035720481.1, XP_035720479.1	NP_001035326.1
OG0000045	XP_035731034.1, XP_035731019.1	NP_001035349.1
OG0000045	XP_035720482.1	NP_001011608.1
OG0000045	XP_035742841.1	XP_006564814.1, XP_026296732.1, XP_006564813.1
OG0000046	XP_035742705.1	NP_001153524.1
OG0000046	XP_035734549.1	NP_001153522.1
OG0000046	XP_035728851.1, XP_035728840.1	NP_001153544.1
OG0000048	XP_035728121.1	XP_016769367.1
OG0000048	XP_035728382.1	XP_006567535.1
OG0000050	XP_035737134.1, XP_035737133.1, XP_035737132.1, XP_035737155.1, XP_035737128.1	XP_026299635.1, XP_392696.5
OG0000050	XP_035718383.1	XP_026297792.1, XP_026297793.1, XP_016768459.2, XP_026297794.1, XP_026300733.1, XP_026300653.1, NP_001128419.1, XP_006564307.1, NP_001136081.1
OG0000052	XP_035729830.1, XP_035729829.1, XP_035729805.1	XP_624251.3
OG0000054	XP_035724338.1	NP_001257759.1
OG0000054	XP_035724099.1, XP_035724441.1	NP_001257754.1, NP_001257753.1
OG0000055	XP_035720014.1	XP_016771370.1
OG0000056	XP_035726130.1	XP_026297251.1
OG0000056	XP_035728622.1	XP_026301167.1
OG0000056	XP_035733992.1	XP_026297087.1
OG0000056	XP_035741213.1	XP_026296769.1
OG0000056	XP_035729096.1	XP_026299492.1
OG0000057	XP_035734097.1	XP_392313.1
OG0000057	XP_035721261.1	XP_026300739.1
OG0000057	XP_035734267.1, XP_035734266.1	XP_394471.1
OG0000057	XP_035734264.1	XP_394469.1
OG0000058	XP_035739545.1, XP_035739536.1	XP_026294942.1
OG0000058	XP_035728639.1, XP_035728540.1, XP_035728643.1, XP_035728642.1, XP_035728641.1	NP_001314879.1, XP_016766488.1, XP_026294950.1, XP_026294949.1, XP_016766484.1, XP_026301740.1, XP_016766491.1, XP_006557709.2, XP_026294837.1, XP_026300513.1, XP_006571977.2, XP_026301741.1, XP_026297763.1, XP_026298536.1
OG0000060	XP_035730103.1	XP_006565271.2, XP_006565270.3, XP_026300076.1, XP_026300077.1, XP_016770937.2, XP_016770938.2
OG0000060	XP_035738199.1, XP_035738201.1, XP_035738202.1	NP_001180219.1, XP_006565210.1
OG0000061	XP_035721661.1, XP_035721662.1, XP_035721660.1, XP_035721465.1	XP_624322.1, XP_016773033.1
OG0000062	XP_035737336.1	XP_006568238.2
OG0000062	XP_035728895.1	XP_001119884.1
OG0000062	XP_035728894.1	XP_001120006.2
OG0000062	XP_035728892.1	XP_001120137.1
OG0000064	XP_035728239.1, XP_035741915.1, XP_035741916.1, XP_035741917.1	XP_016770849.2, NP_001229916.1, XP_026299914.1, NP_001229917.1, XP_006562273.2, XP_006562271.1, XP_016771123.1
OG0000067	XP_035734988.1	XP_006561513.1
OG0000067	XP_035729269.1	XP_026300867.1
OG0000067	XP_035718759.1	XP_026299464.1
OG0000067	XP_035729165.1	XP_006560064.1
OG0000067	XP_035724654.1	XP_395774.2
OG0000069	XP_035737423.1	XP_006564460.2, XP_392727.4
OG0000069	XP_035737135.1	XP_016770442.2
OG0000070	XP_035741503.1, XP_035741697.1, XP_035741696.1	NP_001229918.1
OG0000073	XP_035733744.1	XP_003251791.2
OG0000074	XP_035719932.1, XP_035736547.1	XP_001120594.2
OG0000077	XP_035738027.1	XP_006567467.1
OG0000077	XP_035722352.1, XP_035740324.1, XP_035742569.1, XP_035742630.1, XP_035738069.1	XP_395426.5
OG0000078	XP_035741908.1, XP_035741909.1, XP_035741910.1, XP_035741911.1	XP_006572184.2, XP_026294928.1, XP_026294834.1
OG0000079	XP_035741820.1	XP_026295829.1
OG0000079	XP_035741818.1	XP_026295828.1
OG0000079	XP_035741822.1	XP_006562777.1
OG0000079	XP_035741817.1	XP_006562781.1
OG0000080	XP_035724002.1	XP_397228.2
OG0000080	XP_035722996.1	XP_006559470.1
OG0000081	XP_035739553.1	XP_006563549.2, NP_001229913.1, XP_016772002.2, XP_394081.6, XP_026301357.1, XP_016772004.2, XP_026301413.1
OG0000084	XP_035738869.1	NP_001257744.1
OG0000084	XP_035739145.1	NP_001257743.1
OG0000085	XP_035734061.1, XP_035734059.1, XP_035734060.1, XP_035734062.1	XP_394579.2
OG0000086	XP_035718518.1	XP_016772143.2, XP_001120043.2
OG0000086	XP_035737219.1, XP_035737220.1	XP_016772088.2
OG0000087	XP_035734892.1	XP_624353.1
OG0000088	XP_035718097.1	XP_006566240.1, XP_006566239.1, XP_026299220.1
OG0000089	XP_035732042.1	XP_003249883.2, XP_016768850.2
OG0000089	XP_035729577.1	XP_001120425.1
OG0000091	XP_035743855.1	XP_026299597.1, XP_026299596.1
OG0000092	XP_035719716.1, XP_035719715.1	XP_006558182.1, XP_396653.1
OG0000092	XP_035719719.1	XP_396654.1, XP_016768016.1
OG0000092	XP_035718227.1	XP_006560146.1
OG0000094	XP_035742083.1, XP_035735320.1, XP_035735319.1, XP_035735318.1	XP_394160.3, XP_016770351.2
OG0000094	XP_035729864.1	XP_026299983.1
OG0000095	XP_035720088.1, XP_035720091.1, XP_035720570.1, XP_035720568.1, XP_035720569.1, XP_035720572.1, XP_035721650.1, XP_035721665.1, XP_035721664.1, XP_035720092.1	XP_006564430.1
OG0000096	XP_035735801.1	XP_026300868.1
OG0000096	XP_035724668.1, XP_035724666.1	XP_003250667.2, XP_006562163.1
OG0000097	XP_035742312.1, XP_035742314.1, XP_035742313.1	XP_006566906.1, NP_001011628.1
OG0000097	XP_035739103.1, XP_035739101.1, XP_035739102.1, XP_035736455.1, XP_035736447.1	NP_001014993.1
OG0000098	XP_035733072.1, XP_035733137.1	XP_006561279.1
OG0000099	XP_035723282.1, XP_035723292.1, XP_035723300.1	XP_026301459.1
OG0000099	XP_035721767.1	XP_026301457.1, XP_026301458.1
OG0000099	XP_035729911.1	XP_006563474.1
OG0000100	XP_035731312.1, XP_035731311.1, XP_035731307.1, XP_035731310.1, XP_035731309.1	XP_026300139.1, XP_026300138.1, XP_026300137.1, XP_026300136.1
OG0000101	XP_035724161.1	XP_016769181.1
OG0000101	XP_035724180.1	XP_016769182.2
OG0000102	XP_035722712.1	XP_026298009.1
OG0000102	XP_035722713.1	XP_016768868.1, XP_006559629.1
OG0000103	XP_035728991.1	XP_395932.2, XP_016769753.1, XP_006559124.1, XP_006559125.1
OG0000103	XP_035729002.1, XP_035728999.1	XP_026298877.1
OG0000103	XP_035729084.1, XP_035729085.1, XP_035729086.1, XP_035729088.1	XP_006558409.1, XP_016770073.1, XP_006558410.1
OG0000106	XP_035736824.1	XP_001120660.2
OG0000107	XP_035735907.1	XP_006570363.1
OG0000108	XP_035729104.1, XP_035729105.1	XP_026296997.1, XP_026296995.1, XP_026296996.1
OG0000109	XP_035733082.1, XP_035733090.1, XP_035733088.1, XP_035733089.1, XP_035733086.1, XP_035733087.1, XP_035733084.1, XP_035733085.1, XP_035733092.1, XP_035733093.1, XP_035733091.1	XP_006568159.1, XP_396912.1, XP_026300511.1, XP_006568157.1
OG0000110	XP_035727648.1, XP_035727647.1	XP_016771484.1, XP_026300877.1
OG0000110	XP_035738900.1	XP_016771820.2
OG0000111	XP_035718068.1	XP_016767388.2
OG0000111	XP_035719146.1	XP_016769305.2
OG0000112	XP_035719175.1, XP_035719174.1, XP_035719177.1, XP_035719176.1, XP_035719171.1, XP_035719172.1	XP_016770669.1
OG0000112	XP_035730834.1, XP_035730827.1, XP_035730828.1, XP_035730829.1, XP_035730830.1, XP_035730831.1, XP_035730832.1, XP_035730833.1	XP_395840.2
OG0000113	XP_035724028.1	XP_001120149.1
OG0000113	XP_035725454.1	XP_001121347.2
OG0000114	XP_035719468.1	XP_026296673.1
OG0000115	XP_035719374.1	NP_001153742.1, XP_026295756.1, NP_001136128.1, XP_006560566.1
OG0000116	XP_035728572.1, XP_035728573.1	XP_001119871.2, XP_006567638.1, XP_006567639.1, XP_006567636.1
OG0000117	XP_035721151.1	XP_006566844.1
OG0000117	XP_035728960.1	XP_016769650.1, XP_006561716.1, XP_006561714.1, XP_006561715.1, XP_006561713.1
OG0000119	XP_035728103.1, XP_035728091.1, XP_035728092.1, XP_035728099.1, XP_035728090.1, XP_035728088.1	XP_006567540.1, XP_006567591.1, XP_016769352.1, XP_016769353.1
OG0000120	XP_035743508.1	XP_026300994.1, XP_026300993.1, XP_026300992.1, XP_396662.2, XP_006559344.1
OG0000122	XP_035742190.1	XP_396281.5
OG0000122	XP_035722129.1	XP_006569022.1
OG0000123	XP_035725246.1, XP_035725252.1	XP_026296924.1, XP_026296929.1, XP_026296930.1, XP_026296925.1, XP_026296926.1, XP_026296927.1, XP_026296928.1
OG0000124	XP_035724659.1	XP_026297158.1, XP_026297157.1, XP_026297160.1, XP_026297159.1
OG0000125	XP_035743368.1, XP_035743367.1	XP_016768147.1, XP_393208.1
OG0000126	XP_035731654.1, XP_035731655.1, XP_035731651.1, XP_035731652.1, XP_035731657.1, XP_035731656.1, XP_035731659.1, XP_035731653.1, XP_035731650.1	XP_016772382.1, NP_001011571.1
OG0000127	XP_035726611.1, XP_035726612.1, XP_035720274.1	XP_006570777.1, XP_016771428.1, XP_016771429.1, XP_001122616.1
OG0000127	XP_035726374.1	XP_396819.2
OG0000129	XP_035741994.1, XP_035741995.1	XP_016772787.1, XP_006571982.1, XP_003251836.1, XP_006571984.1, XP_006571986.1
OG0000130	XP_035721963.1	XP_006568433.1, XP_006568428.1
OG0000130	XP_035721970.1, XP_035721971.1, XP_035721969.1, XP_035721972.1	XP_394686.4
OG0000130	XP_035721444.1	XP_026297554.1, XP_394687.3, XP_006565573.1
OG0000131	XP_035742296.1	XP_006564418.1
OG0000131	XP_035733339.1	XP_392990.2
OG0000131	XP_035733338.1	XP_003251503.1
OG0000132	XP_035721782.1, XP_035721781.1	XP_006569358.1, XP_006569359.1, XP_016767260.1
OG0000132	XP_035732604.1	XP_006567280.1, XP_006567283.1, XP_006567281.1
OG0000133	XP_035741242.1	XP_026295597.1, XP_026295595.1, XP_026295600.1, XP_026295601.1, XP_026295598.1, XP_026295599.1, XP_026295602.1, XP_026295596.1
OG0000133	XP_035729059.1	XP_016766376.2
OG0000135	XP_035717163.1	XP_006570858.1, XP_026300893.1
OG0000136	XP_035728633.1, XP_035728680.1, XP_035728635.1, XP_035728634.1	XP_001123230.2, XP_001122953.3, XP_026298823.1, XP_003251589.1, XP_006570633.1, XP_006570637.2
OG0000137	XP_035738396.1	XP_016768164.1, XP_016768165.1, XP_393390.3, XP_016768163.1
OG0000138	XP_035730963.1, XP_035730973.1, XP_035730946.1, XP_035730956.1, XP_035730998.1, XP_035731008.1, XP_035730984.1, XP_035730990.1	XP_006561534.1
OG0000138	XP_035722005.1	XP_006561540.1
OG0000139	XP_035719417.1, XP_035719753.1	XP_026302052.1
OG0000141	XP_035723074.1, XP_035723075.1, XP_035723073.1	XP_396377.3, XP_016771703.1
OG0000141	XP_035722392.1, XP_035722391.1	XP_393772.4
OG0000143	XP_035726588.1	XP_394342.1
OG0000143	XP_035726587.1, XP_035726585.1, XP_035726586.1	XP_001120755.1, XP_006568273.1, XP_006568272.1, XP_006568271.1, XP_016766288.1
OG0000144	XP_035721747.1	NP_001011600.1
OG0000145	XP_035739706.1, XP_035739705.1	XP_006571519.1, NP_001128406.1
OG0000145	XP_035732035.1, XP_035732034.1, XP_035732031.1, XP_035732032.1, XP_035732029.1, XP_035732030.1, XP_035732028.1, XP_035732033.1	XP_006557552.1, NP_001011643.1
OG0000146	XP_035732991.1, XP_035732990.1, XP_035732989.1, XP_035732988.1	XP_006569990.1, XP_001120801.1
OG0000147	XP_035736865.1, XP_035736867.1, XP_035736868.1, XP_035736866.1	XP_026301958.1
OG0000149	XP_035726837.1	XP_624573.2
OG0000149	XP_035726846.1, XP_035726843.1, XP_035726842.1, XP_035726847.1, XP_035726845.1	XP_006560541.1
OG0000150	XP_035733965.1, XP_035733966.1, XP_035733963.1, XP_035733964.1, XP_035733961.1, XP_035733962.1	XP_006565287.1, XP_006565286.1, XP_006565285.1, XP_006565289.1, XP_006565288.1, XP_393853.1
OG0000151	XP_035735864.1, XP_035735857.1, XP_035735862.1, XP_035735863.1, XP_035735861.1, XP_035735859.1, XP_035735858.1	XP_026295481.1, XP_026295482.1, XP_026295477.1, XP_026295478.1, XP_026295479.1, XP_026295480.1, XP_026295483.1
OG0000152	XP_035722053.1	XP_016768964.1, XP_006564637.1, XP_006564641.1, XP_006564638.1, XP_006564639.1, XP_006564640.1
OG0000153	XP_035727062.1	XP_006557622.1
OG0000154	XP_035743057.1, XP_035743056.1	XP_003249939.3
OG0000156	XP_035723493.1	XP_006570154.1, XP_016768502.1, XP_016768504.1, XP_016768503.1
OG0000157	XP_035732282.1	XP_016771183.1
OG0000157	XP_035732281.1	XP_016771274.2
OG0000158	XP_035740201.1	XP_026295419.1, XP_026296654.1
OG0000158	XP_035740054.1, XP_035740197.1, XP_035740199.1, XP_035740200.1, XP_035740198.1	XP_026296664.1
OG0000160	XP_035723999.1	XP_006570492.2
OG0000161	XP_035719666.1, XP_035719656.1, XP_035719675.1	NP_001011563.1
OG0000162	XP_035731205.1	NP_001091691.1, XP_006562616.1
OG0000162	XP_035740246.1, XP_035740247.1	NP_001091690.1, XP_026298411.1
OG0000164	XP_035732024.1	XP_016768018.2, XP_006558190.2
OG0000165	XP_035743313.1, XP_035743321.1, XP_035743314.1, XP_035743315.1, XP_035743316.1, XP_035743317.1, XP_035743320.1, XP_035743319.1, XP_035743322.1, XP_035743323.1	XP_006559859.1, XP_006559861.1, XP_006559860.1, XP_396828.2
OG0000165	XP_035734576.1	XP_006566324.1
OG0000166	XP_035717393.1, XP_035717400.1, XP_035717381.1, XP_035717387.1, XP_035717382.1, XP_035717384.1	XP_016766244.2, XP_016766231.2, XP_016766233.2, XP_016766234.2, XP_006569176.3, XP_006569170.3
OG0000168	XP_035731474.1	XP_026295680.1
OG0000169	XP_035729103.1, XP_035729296.1	XP_026296993.1
OG0000170	XP_035742502.1, XP_035742492.1, XP_035742486.1	XP_006566077.2
OG0000171	XP_035741205.1, XP_035741206.1	XP_623922.2
OG0000172	XP_035738100.1, XP_035738101.1	XP_006565262.1, XP_006565259.1, XP_006565261.1
OG0000173	XP_035733795.1, XP_035733793.1, XP_035733794.1, XP_035733792.1	XP_006560020.1, XP_006560019.1
OG0000174	XP_035731433.1	XP_394018.2
OG0000175	XP_035729116.1, XP_035729110.1, XP_035729111.1, XP_035729112.1, XP_035729113.1	XP_026300817.1, XP_026300815.1, XP_006560073.1, XP_006560074.1, XP_623977.2, XP_026300816.1
OG0000176	XP_035737411.1	XP_003251204.1
OG0000177	XP_035739406.1	XP_001121910.1
OG0000177	XP_035739374.1	XP_016770327.1, XP_006566372.1
OG0000177	XP_035739564.1	XP_016770328.1
OG0000178	XP_035725180.1	XP_026295366.1, XP_026295349.1, XP_026295348.1, XP_026295362.1, XP_026295342.1, XP_026295361.1, XP_026295350.1, XP_026295334.1, XP_026295368.1, XP_026295335.1, XP_026295343.1, XP_026295364.1, XP_026295345.1, XP_026295336.1, XP_026295367.1, XP_026295337.1, XP_026295352.1, XP_026295365.1, XP_026295333.1, XP_026295341.1, XP_026295331.1, XP_026295372.1, XP_026295340.1, XP_026295353.1, XP_026295370.1, XP_026295354.1, XP_026295358.1, XP_026295347.1, XP_026295355.1, XP_026295363.1, XP_026295346.1, XP_026295344.1, XP_026295359.1, XP_026295351.1, XP_026295338.1, XP_026295339.1, XP_026295369.1, XP_026295332.1, XP_026295356.1, XP_026295371.1, XP_026295357.1, XP_026295360.1
OG0000179	XP_035741505.1	XP_026301506.1
OG0000179	XP_035719102.1, XP_035719101.1	XP_393381.2
OG0000179	XP_035737641.1	XP_001119897.1
OG0000180	XP_035743555.1, XP_035743552.1, XP_035743551.1, XP_035743554.1	XP_006559502.1, XP_006559501.1, XP_393573.1, XP_016769007.1, XP_016769006.1
OG0000181	XP_035731090.1, XP_035731089.1, XP_035731092.1, XP_035731091.1	XP_393751.2, XP_006570397.2, XP_016770282.2
OG0000182	XP_035731858.1, XP_035731856.1, XP_035731855.1, XP_035731857.1, XP_035731854.1, XP_035731853.1, XP_035731859.1	XP_006561855.2
OG0000183	XP_035738622.1, XP_035738621.1, XP_035738620.1, XP_035738623.1	XP_026298476.1, XP_026298477.1
OG0000183	XP_035739701.1	XP_395404.2
OG0000185	XP_035733203.1, XP_035733201.1, XP_035733205.1, XP_035733204.1, XP_035733207.1, XP_035733206.1, XP_035733199.1, XP_035733200.1	XP_003250560.1
OG0000186	XP_035733371.1, XP_035733372.1, XP_035733373.1, XP_035733370.1, XP_035733460.1, XP_035733368.1, XP_035733369.1	XP_001119981.4
OG0000187	XP_035731676.1, XP_035731677.1	XP_016769442.2
OG0000188	XP_035731793.1	XP_394855.4
OG0000190	XP_035728040.1, XP_035728039.1	XP_006563703.1, XP_006563702.1, XP_006563701.1, XP_006563700.1
OG0000191	XP_035735127.1	XP_026301152.1
OG0000192	XP_035718570.1, XP_035718565.1, XP_035718569.1, XP_035718568.1, XP_035718562.1, XP_035718563.1, XP_035718564.1	XP_006557723.1, XP_396406.5, XP_006557720.1
OG0000194	XP_035728644.1	XP_003249950.2
OG0000194	XP_035728648.1	NP_001257752.1
OG0000194	XP_035728547.1	XP_006561931.1, XP_016769566.1, XP_016769565.2
OG0000196	XP_035720910.1	XP_003251169.1, XP_016771426.1
OG0000198	XP_035723755.1	XP_006566997.1, XP_624772.2
OG0000200	XP_035719894.1, XP_035719895.1	XP_026296548.1
OG0000200	XP_035718373.1	XP_006566649.2, XP_006566650.1
OG0000202	XP_035735523.1, XP_035735525.1, XP_035735528.1, XP_035735524.1, XP_035735526.1, XP_035735527.1, XP_035735520.1, XP_035735522.1	XP_006558615.1
OG0000202	XP_035742672.1, XP_035742669.1, XP_035742670.1	XP_016768758.1, XP_016768759.1
OG0000203	XP_035739190.1	XP_623676.2
OG0000203	XP_035727456.1, XP_035727445.1, XP_035727495.1, XP_035727486.1, XP_035727526.1, XP_035727477.1, XP_035727505.1, XP_035727467.1, XP_035727516.1	XP_006558107.2, XP_395356.4
OG0000204	XP_035736371.1, XP_035736362.1, XP_035736353.1, XP_035736365.1	XP_001121814.2
OG0000205	XP_035727194.1, XP_035727191.1, XP_035727193.1	XP_016766914.1
OG0000206	XP_035731805.1	XP_026300186.1
OG0000207	XP_035718709.1	XP_006566311.1
OG0000207	XP_035726226.1	NP_001011652.1
OG0000207	XP_035726227.1	NP_001305411.1
OG0000208	XP_035726225.1	XP_006562317.1
OG0000208	XP_035721855.1	XP_625189.3
OG0000209	XP_035728112.1	XP_016769475.1, XP_016769473.1, XP_016769472.1, XP_016769471.1, XP_016769470.1, XP_016769476.1, XP_016769474.1
OG0000210	XP_035733688.1	XP_026297186.1
OG0000210	XP_035732804.1	XP_016769921.1
OG0000210	XP_035723457.1	XP_006562251.2
OG0000212	XP_035737335.1	XP_001121043.2
OG0000213	XP_035723104.1	XP_006572329.1, XP_006572330.1, XP_016772966.1, XP_623325.1
OG0000214	XP_035723354.1, XP_035723352.1, XP_035723353.1, XP_035723355.1	XP_623084.1
OG0000214	XP_035741447.1, XP_035741444.1	XP_392104.4
OG0000215	XP_035724895.1, XP_035724894.1	XP_016772012.1
OG0000215	XP_035724898.1, XP_035724897.1	XP_394061.2
OG0000216	XP_035724451.1	XP_016767691.1
OG0000217	XP_035740471.1	XP_394861.4
OG0000218	XP_035726856.1	XP_623312.2
OG0000219	XP_035741255.1, XP_035741253.1, XP_035741259.1, XP_035741260.1, XP_035741251.1, XP_035741257.1, XP_035741254.1, XP_035741252.1, XP_035741256.1	XP_392277.4, XP_006563970.2
OG0000221	XP_035721735.1	XP_006571382.1
OG0000223	XP_035733807.1	NP_001157186.1, XP_016769330.2
OG0000223	XP_035722636.1	XP_001121634.3
OG0000225	XP_035742936.1	XP_006567210.2
OG0000227	XP_035735426.1	XP_006562291.2, XP_006562294.2, XP_006562293.2, XP_016770836.2
OG0000229	XP_035730748.1, XP_035730749.1, XP_035731006.1, XP_035731009.1	XP_001121505.2
OG0000231	XP_035738625.1, XP_035738626.1, XP_035738627.1	XP_006562424.1
OG0000232	XP_035727361.1, XP_035727359.1, XP_035727360.1	XP_393976.2, XP_006563043.1, XP_006563042.1
OG0000233	XP_035718297.1	XP_001120116.2, XP_016768768.2, XP_397073.5, XP_026300288.1
OG0000234	XP_035726727.1	XP_393127.4
OG0000235	XP_035729544.1, XP_035729549.1, XP_035729541.1	XP_026294767.1, XP_026294798.1, XP_026294810.1
OG0000236	XP_035735169.1	NP_001011639.2
OG0000236	XP_035735167.1	NP_001071293.1
OG0000237	XP_035740253.1	XP_006559356.1
OG0000237	XP_035740306.1	XP_006559358.1
OG0000240	XP_035741192.1, XP_035741079.1	XP_001122105.4
