Orthogroup	Vespa_mandarinia	Nomia_melanderi
OG0000019	XP_035726985.1	XP_031838060.1
OG0000020	XP_035723591.1	XP_031839751.1
OG0000020	XP_035725275.1	XP_031845392.1
OG0000020	XP_035728836.1	XP_031828635.1
OG0000020	XP_035730287.1, XP_035730285.1, XP_035730286.1, XP_035730288.1, XP_035730289.1	XP_031830731.1
OG0000021	XP_035729141.1	XP_031837236.1
OG0000021	XP_035723530.1	XP_031838575.1
OG0000021	XP_035723165.1, XP_035723164.1	XP_031830175.1
OG0000021	XP_035743843.1, XP_035743842.1	XP_031846403.1
OG0000022	XP_035721830.1	XP_031833191.1
OG0000022	XP_035735255.1	XP_031839488.1, XP_031838234.1
OG0000023	XP_035725923.1	XP_031826007.1
OG0000024	XP_035742194.1	XP_031849116.1, XP_031849133.1, XP_031849117.1
OG0000024	XP_035738183.1	XP_031825693.1, XP_031825694.1
OG0000024	XP_035738182.1	XP_031825741.1
OG0000025	XP_035733466.1, XP_035719463.1, XP_035744177.1, XP_035744179.1, XP_035744180.1, XP_035744178.1, XP_035723709.1	XP_031834418.1
OG0000026	XP_035728457.1	XP_031843508.1
OG0000026	XP_035718093.1, XP_035718094.1	XP_031834026.1
OG0000027	XP_035725928.1, XP_035725929.1	XP_031839376.1
OG0000029	XP_035737588.1	XP_031827213.1, XP_031827214.1, XP_031827215.1
OG0000029	XP_035732367.1, XP_035732349.1	XP_031829841.1
OG0000030	XP_035739081.1, XP_035741463.1, XP_035741476.1, XP_035742381.1, XP_035742412.1, XP_035741466.1	XP_031839105.1, XP_031839104.1
OG0000030	XP_035723581.1	XP_031848732.1
OG0000032	XP_035723151.1	XP_031845598.1
OG0000032	XP_035735826.1	XP_031832803.1
OG0000032	XP_035730167.1	XP_031831095.1
OG0000035	XP_035731371.1	XP_031842253.1, XP_031842459.1
OG0000036	XP_035729817.1	XP_031844820.1, XP_031844747.1
OG0000036	XP_035729794.1	XP_031844815.1
OG0000037	XP_035725074.1	XP_031838355.1
OG0000038	XP_035735001.1, XP_035735000.1	XP_031848143.1, XP_031835042.1
OG0000038	XP_035739586.1	XP_031825712.1
OG0000038	XP_035727166.1	XP_031847407.1
OG0000038	XP_035733817.1	XP_031844860.1
OG0000040	XP_035729457.1	XP_031849129.1, XP_031847901.1, XP_031847689.1
OG0000040	XP_035742485.1	XP_031847213.1
OG0000041	XP_035743035.1	XP_031836959.1, XP_031836960.1
OG0000041	XP_035742717.1	XP_031828119.1, XP_031828107.1
OG0000042	XP_035732212.1	XP_031842358.1
OG0000043	XP_035731122.1	XP_031842101.1
OG0000043	XP_035718657.1	XP_031828007.1
OG0000044	XP_035717273.1	XP_031831328.1
OG0000045	XP_035720478.1, XP_035720481.1, XP_035720479.1	XP_031836513.1
OG0000045	XP_035731034.1, XP_035731019.1	XP_031839078.1
OG0000045	XP_035720482.1	XP_031836517.1, XP_031836516.1, XP_031836515.1
OG0000045	XP_035742841.1	XP_031833680.1
OG0000046	XP_035742705.1	XP_031849512.1
OG0000046	XP_035734549.1	XP_031844716.1
OG0000046	XP_035728851.1, XP_035728840.1	XP_031825836.1
OG0000048	XP_035728382.1	XP_031844144.1
OG0000050	XP_035718383.1	XP_031826510.1, XP_031826305.1, XP_031826306.1
OG0000052	XP_035730522.1	XP_031831624.1, XP_031831623.1
OG0000053	XP_035741492.1, XP_035735020.1, XP_035737765.1, XP_035725546.1, XP_035739246.1	XP_031848020.1
OG0000054	XP_035724338.1	XP_031843412.1
OG0000054	XP_035724099.1, XP_035724441.1	XP_031843397.1, XP_031843398.1
OG0000055	XP_035726348.1, XP_035726347.1	XP_031825307.1
OG0000055	XP_035720014.1	XP_031844409.1
OG0000056	XP_035726130.1	XP_031840201.1
OG0000056	XP_035718477.1	XP_031838488.1
OG0000056	XP_035728622.1	XP_031846527.1
OG0000056	XP_035733992.1	XP_031838897.1
OG0000056	XP_035741213.1	XP_031831701.1
OG0000056	XP_035729096.1	XP_031835578.1
OG0000057	XP_035734097.1	XP_031845337.1
OG0000057	XP_035721261.1	XP_031832931.1
OG0000057	XP_035734267.1, XP_035734266.1	XP_031845460.1
OG0000057	XP_035734264.1	XP_031845459.1
OG0000057	XP_035734268.1	XP_031845030.1
OG0000058	XP_035739545.1, XP_035739536.1	XP_031838282.1
OG0000058	XP_035728639.1, XP_035728540.1, XP_035728643.1, XP_035728642.1, XP_035728641.1	XP_031838462.1, XP_031838489.1, XP_031838503.1, XP_031838476.1
OG0000060	XP_035730103.1	XP_031827529.1, XP_031827528.1
OG0000060	XP_035738199.1, XP_035738201.1, XP_035738202.1	XP_031827527.1
OG0000061	XP_035721661.1, XP_035721662.1, XP_035721660.1, XP_035721465.1	XP_031838029.1, XP_031840063.1
OG0000062	XP_035728895.1	XP_031836310.1
OG0000062	XP_035728894.1	XP_031836306.1
OG0000062	XP_035728892.1	XP_031836307.1, XP_031836020.1
OG0000065	XP_035738514.1, XP_035738515.1, XP_035738510.1, XP_035738511.1, XP_035738513.1, XP_035738516.1	XP_031830877.1
OG0000067	XP_035734988.1	XP_031834066.1
OG0000067	XP_035729269.1	XP_031837355.1
OG0000067	XP_035718759.1	XP_031838504.1
OG0000067	XP_035729165.1	XP_031837354.1
OG0000067	XP_035724654.1	XP_031845953.1
OG0000069	XP_035737423.1	XP_031829088.1, XP_031829087.1
OG0000069	XP_035737135.1	XP_031829094.1
OG0000070	XP_035741503.1, XP_035741697.1, XP_035741696.1	XP_031839945.1, XP_031848755.1, XP_031848754.1
OG0000074	XP_035719932.1, XP_035736547.1	XP_031849072.1
OG0000077	XP_035738027.1	XP_031841494.1, XP_031841485.1
OG0000077	XP_035722352.1, XP_035740324.1, XP_035742569.1, XP_035742630.1, XP_035738069.1	XP_031831897.1
OG0000078	XP_035741908.1, XP_035741909.1, XP_035741910.1, XP_035741911.1	XP_031834906.1, XP_031834907.1
OG0000079	XP_035741820.1	XP_031846019.1
OG0000080	XP_035724002.1	XP_031827008.1, XP_031827009.1, XP_031827010.1, XP_031827011.1, XP_031827012.1, XP_031827013.1, XP_031827007.1
OG0000080	XP_035722996.1	XP_031827281.1, XP_031827282.1, XP_031827283.1, XP_031827284.1
OG0000081	XP_035739549.1, XP_035739551.1, XP_035739552.1	XP_031847372.1
OG0000081	XP_035739553.1	XP_031847521.1, XP_031847370.1, XP_031847371.1, XP_031847522.1
OG0000082	XP_035733049.1	XP_031829549.1
OG0000084	XP_035738869.1	XP_031839513.1
OG0000084	XP_035739145.1	XP_031839516.1
OG0000085	XP_035734061.1, XP_035734059.1, XP_035734060.1, XP_035734062.1	XP_031843333.1
OG0000085	XP_035737189.1	XP_031826359.1, XP_031826358.1, XP_031826356.1
OG0000086	XP_035737219.1, XP_035737220.1	XP_031842854.1
OG0000087	XP_035734892.1	XP_031843076.1
OG0000087	XP_035735028.1	XP_031843049.1
OG0000088	XP_035718097.1	XP_031830799.1
OG0000089	XP_035732042.1	XP_031841904.1, XP_031841905.1, XP_031841906.1
OG0000089	XP_035729577.1	XP_031839041.1
OG0000091	XP_035743855.1	XP_031846471.1, XP_031846477.1, XP_031846470.1
OG0000092	XP_035729950.1	XP_031832478.1
OG0000092	XP_035719716.1, XP_035719715.1	XP_031836523.1
OG0000092	XP_035719719.1	XP_031836568.1
OG0000092	XP_035718227.1	XP_031827660.1
OG0000094	XP_035742083.1, XP_035735320.1, XP_035735319.1, XP_035735318.1	XP_031847199.1, XP_031847200.1
OG0000094	XP_035729864.1	XP_031827484.1
OG0000095	XP_035720088.1, XP_035720091.1, XP_035720570.1, XP_035720568.1, XP_035720569.1, XP_035720572.1, XP_035721650.1, XP_035721665.1, XP_035721664.1, XP_035720092.1	XP_031850007.1, XP_031850009.1, XP_031850008.1
OG0000096	XP_035735801.1	XP_031832678.1
OG0000096	XP_035724668.1, XP_035724666.1	XP_031843327.1
OG0000097	XP_035742312.1, XP_035742314.1, XP_035742313.1	XP_031827452.1, XP_031827442.1, XP_031827429.1, XP_031827419.1, XP_031827413.1
OG0000097	XP_035739103.1, XP_035739101.1, XP_035739102.1, XP_035736455.1, XP_035736447.1	XP_031831172.1, XP_031831171.1, XP_031831170.1
OG0000098	XP_035733072.1, XP_035733137.1	XP_031830538.1, XP_031830536.1, XP_031830540.1, XP_031830537.1
OG0000099	XP_035723282.1, XP_035723292.1, XP_035723300.1	XP_031844823.1, XP_031844824.1, XP_031844822.1
OG0000099	XP_035721767.1	XP_031825801.1, XP_031825802.1
OG0000099	XP_035729911.1	XP_031843262.1
OG0000100	XP_035731312.1, XP_035731311.1, XP_035731307.1, XP_035731310.1, XP_035731309.1	XP_031841397.1, XP_031841398.1, XP_031841396.1, XP_031841400.1, XP_031841409.1, XP_031841408.1, XP_031841399.1, XP_031841403.1, XP_031841402.1, XP_031841407.1, XP_031841406.1, XP_031841405.1, XP_031841404.1, XP_031841395.1
OG0000101	XP_035724161.1	XP_031848007.1
OG0000101	XP_035724180.1	XP_031848006.1
OG0000102	XP_035722712.1	XP_031830192.1
OG0000102	XP_035722713.1	XP_031830259.1
OG0000103	XP_035728991.1	XP_031830730.1
OG0000103	XP_035729002.1, XP_035728999.1	XP_031830618.1
OG0000103	XP_035729084.1, XP_035729085.1, XP_035729086.1, XP_035729088.1	XP_031830446.1
OG0000106	XP_035736824.1	XP_031841956.1
OG0000106	XP_035733484.1	XP_031838896.1
OG0000107	XP_035735907.1	XP_031849421.1, XP_031849424.1
OG0000108	XP_035729104.1, XP_035729105.1	XP_031836809.1
OG0000109	XP_035733082.1, XP_035733090.1, XP_035733088.1, XP_035733089.1, XP_035733086.1, XP_035733087.1, XP_035733084.1, XP_035733085.1, XP_035733092.1, XP_035733093.1, XP_035733091.1	XP_031828710.1, XP_031828711.1, XP_031828714.1, XP_031828715.1, XP_031828712.1, XP_031828713.1, XP_031828722.1, XP_031828723.1, XP_031828724.1, XP_031828718.1, XP_031828720.1, XP_031828721.1, XP_031828719.1, XP_031828716.1
OG0000110	XP_035727648.1, XP_035727647.1	XP_031837099.1
OG0000110	XP_035738900.1	XP_031848100.1, XP_031848102.1
OG0000111	XP_035718068.1	XP_031843589.1, XP_031825716.1
OG0000111	XP_035719146.1	XP_031842672.1
OG0000112	XP_035719175.1, XP_035719174.1, XP_035719177.1, XP_035719176.1, XP_035719171.1, XP_035719172.1	XP_031849209.1, XP_031849210.1, XP_031849208.1, XP_031849207.1
OG0000112	XP_035730834.1, XP_035730827.1, XP_035730828.1, XP_035730829.1, XP_035730830.1, XP_035730831.1, XP_035730832.1, XP_035730833.1	XP_031831414.1
OG0000113	XP_035724028.1	XP_031838147.1
OG0000113	XP_035725454.1	XP_031842250.1
OG0000114	XP_035719468.1	XP_031825640.1
OG0000115	XP_035719374.1	XP_031842331.1
OG0000115	XP_035728117.1	XP_031842255.1
OG0000116	XP_035728572.1, XP_035728573.1	XP_031837852.1, XP_031837855.1, XP_031837856.1, XP_031837853.1, XP_031837854.1, XP_031837857.1, XP_031837858.1
OG0000116	XP_035728508.1, XP_035728506.1, XP_035728507.1	XP_031837730.1
OG0000117	XP_035721151.1	XP_031840830.1
OG0000117	XP_035728960.1	XP_031841113.1, XP_031841103.1, XP_031841094.1, XP_031841084.1, XP_031841121.1, XP_031841052.1, XP_031841129.1, XP_031841059.1, XP_031841076.1, XP_031841068.1, XP_031841042.1
OG0000119	XP_035728103.1, XP_035728091.1, XP_035728092.1, XP_035728099.1, XP_035728090.1, XP_035728088.1	XP_031848621.1, XP_031848628.1, XP_031848630.1, XP_031848631.1
OG0000120	XP_035743508.1	XP_031837143.1, XP_031837140.1, XP_031837139.1, XP_031837144.1, XP_031837141.1, XP_031837145.1, XP_031837146.1, XP_031837147.1, XP_031837148.1, XP_031837149.1
OG0000122	XP_035742190.1	XP_031848880.1
OG0000122	XP_035722129.1	XP_031839754.1, XP_031839755.1, XP_031839753.1, XP_031839752.1, XP_031839750.1, XP_031839749.1
OG0000122	XP_035738980.1	XP_031833934.1
OG0000123	XP_035725246.1, XP_035725252.1	XP_031829219.1
OG0000124	XP_035724659.1	XP_031838642.1, XP_031838635.1, XP_031838638.1, XP_031838640.1, XP_031838636.1, XP_031838637.1, XP_031838643.1, XP_031838641.1
OG0000125	XP_035743368.1, XP_035743367.1	XP_031839027.1, XP_031839025.1, XP_031838819.1, XP_031838775.1
OG0000126	XP_035731654.1, XP_035731655.1, XP_035731651.1, XP_035731652.1, XP_035731657.1, XP_035731656.1, XP_035731659.1, XP_035731653.1, XP_035731650.1	XP_031846352.1
OG0000127	XP_035726611.1, XP_035726612.1, XP_035720274.1	XP_031849581.1, XP_031849592.1, XP_031846850.1
OG0000129	XP_035741994.1, XP_035741995.1	XP_031848648.1, XP_031848647.1
OG0000130	XP_035721963.1	XP_031826226.1
OG0000130	XP_035721970.1, XP_035721971.1, XP_035721969.1, XP_035721972.1	XP_031826291.1
OG0000130	XP_035721444.1	XP_031826201.1
OG0000131	XP_035742296.1	XP_031828484.1
OG0000131	XP_035733339.1	XP_031840624.1, XP_031840625.1, XP_031840622.1, XP_031840623.1
OG0000132	XP_035721782.1, XP_035721781.1	XP_031829308.1
OG0000132	XP_035732604.1	XP_031845637.1, XP_031845638.1, XP_031845639.1
OG0000133	XP_035741242.1	XP_031836871.1, XP_031836868.1
OG0000133	XP_035729059.1	XP_031827306.1
OG0000135	XP_035717163.1	XP_031839483.1
OG0000135	XP_035725594.1	XP_031849617.1, XP_031849615.1, XP_031849616.1, XP_031849618.1
OG0000136	XP_035728633.1, XP_035728680.1, XP_035728635.1, XP_035728634.1	XP_031828129.1, XP_031828130.1, XP_031827941.1, XP_031829540.1
OG0000137	XP_035738396.1	XP_031838894.1
OG0000138	XP_035730963.1, XP_035730973.1, XP_035730946.1, XP_035730956.1, XP_035730998.1, XP_035731008.1, XP_035730984.1, XP_035730990.1	XP_031839076.1
OG0000138	XP_035722005.1	XP_031839079.1
OG0000139	XP_035719417.1, XP_035719753.1	XP_031836055.1, XP_031836054.1
OG0000141	XP_035723074.1, XP_035723075.1, XP_035723073.1	XP_031837195.1
OG0000141	XP_035722354.1, XP_035722355.1	XP_031839814.1
OG0000143	XP_035726588.1	XP_031839633.1
OG0000143	XP_035726587.1, XP_035726585.1, XP_035726586.1	XP_031839547.1
OG0000144	XP_035721747.1	XP_031829749.1
OG0000145	XP_035739706.1, XP_035739705.1	XP_031837412.1
OG0000145	XP_035732035.1, XP_035732034.1, XP_035732031.1, XP_035732032.1, XP_035732029.1, XP_035732030.1, XP_035732028.1, XP_035732033.1	XP_031838797.1, XP_031838795.1
OG0000146	XP_035732991.1, XP_035732990.1, XP_035732989.1, XP_035732988.1	XP_031825439.1, XP_031838000.1, XP_031837999.1, XP_031838001.1
OG0000147	XP_035734708.1	XP_031846647.1
OG0000149	XP_035726846.1, XP_035726843.1, XP_035726842.1, XP_035726847.1, XP_035726845.1	XP_031844539.1
OG0000150	XP_035733965.1, XP_035733966.1, XP_035733963.1, XP_035733964.1, XP_035733961.1, XP_035733962.1	XP_031826266.1, XP_031826326.1
OG0000151	XP_035735864.1, XP_035735857.1, XP_035735862.1, XP_035735863.1, XP_035735861.1, XP_035735859.1, XP_035735858.1	XP_031850487.1, XP_031850486.1, XP_031850491.1, XP_031850490.1, XP_031850493.1, XP_031850492.1, XP_031850494.1, XP_031850488.1
OG0000152	XP_035722053.1	XP_031830368.1
OG0000153	XP_035727062.1	XP_031837357.1, XP_031837349.1, XP_031837338.1, XP_031837284.1, XP_031837302.1, XP_031837367.1, XP_031837294.1, XP_031837319.1, XP_031837312.1, XP_031837329.1, XP_031837276.1
OG0000154	XP_035743057.1, XP_035743056.1	XP_031838095.1
OG0000156	XP_035723493.1	XP_031828385.1, XP_031828383.1, XP_031828384.1, XP_031828378.1, XP_031828379.1, XP_031828380.1, XP_031828382.1, XP_031828374.1, XP_031828375.1, XP_031828376.1, XP_031828377.1, XP_031828389.1, XP_031828387.1, XP_031828386.1, XP_031828373.1, XP_031828388.1
OG0000157	XP_035732282.1	XP_031827834.1
OG0000157	XP_035732281.1	XP_031827676.1
OG0000158	XP_035740201.1	XP_031833446.1
OG0000158	XP_035740054.1, XP_035740197.1, XP_035740199.1, XP_035740200.1, XP_035740198.1	XP_031833445.1
OG0000160	XP_035723999.1	XP_031835553.1
OG0000160	XP_035733330.1, XP_035733325.1, XP_035733326.1, XP_035733328.1, XP_035733329.1	XP_031840569.1, XP_031840564.1, XP_031840565.1, XP_031840566.1, XP_031840570.1
OG0000161	XP_035719666.1, XP_035719656.1, XP_035719675.1	XP_031840747.1, XP_031840748.1
OG0000162	XP_035731205.1	XP_031844217.1
OG0000162	XP_035740246.1, XP_035740247.1	XP_031846677.1, XP_031846685.1
OG0000164	XP_035732024.1	XP_031838886.1, XP_031838889.1, XP_031838888.1
OG0000165	XP_035743313.1, XP_035743321.1, XP_035743314.1, XP_035743315.1, XP_035743316.1, XP_035743317.1, XP_035743320.1, XP_035743319.1, XP_035743322.1, XP_035743323.1	XP_031845761.1
OG0000165	XP_035734576.1	XP_031849879.1
OG0000166	XP_035717393.1, XP_035717400.1, XP_035717381.1, XP_035717387.1, XP_035717382.1, XP_035717384.1	XP_031834782.1, XP_031834789.1, XP_031834779.1, XP_031834778.1, XP_031834773.1
OG0000168	XP_035736898.1	XP_031840911.1
OG0000168	XP_035731474.1	XP_031842375.1
OG0000169	XP_035729103.1, XP_035729296.1	XP_031828486.1
OG0000170	XP_035742479.1	XP_031847930.1
OG0000170	XP_035742502.1, XP_035742492.1, XP_035742486.1	XP_031847931.1
OG0000171	XP_035741201.1, XP_035741202.1	XP_031825968.1
OG0000171	XP_035741205.1, XP_035741206.1	XP_031826361.1, XP_031826360.1, XP_031826362.1
OG0000172	XP_035738100.1, XP_035738101.1	XP_031826024.1, XP_031826014.1, XP_031826006.1, XP_031825998.1, XP_031825989.1, XP_031825979.1
OG0000173	XP_035733795.1, XP_035733793.1, XP_035733794.1, XP_035733792.1	XP_031842563.1, XP_031842562.1, XP_031842566.1, XP_031842567.1, XP_031842564.1, XP_031842565.1, XP_031842571.1, XP_031842572.1, XP_031842568.1, XP_031842569.1
OG0000174	XP_035731433.1	XP_031832594.1, XP_031832593.1, XP_031832592.1
OG0000175	XP_035729116.1, XP_035729110.1, XP_035729111.1, XP_035729112.1, XP_035729113.1	XP_031837388.1, XP_031837387.1, XP_031837386.1, XP_031837392.1, XP_031837391.1, XP_031837389.1
OG0000176	XP_035737411.1	XP_031839720.1
OG0000177	XP_035739406.1	XP_031850035.1
OG0000177	XP_035739374.1	XP_031849982.1, XP_031849983.1
OG0000177	XP_035739564.1	XP_031849977.1, XP_031849980.1
OG0000178	XP_035725180.1	XP_031843734.1
OG0000179	XP_035741505.1	XP_031846959.1, XP_031846958.1, XP_031846955.1, XP_031846954.1, XP_031846953.1, XP_031846957.1, XP_031846956.1
OG0000179	XP_035719102.1, XP_035719101.1	XP_031842123.1
OG0000180	XP_035743555.1, XP_035743552.1, XP_035743551.1, XP_035743554.1	XP_031829739.1, XP_031829734.1, XP_031829738.1, XP_031829737.1, XP_031829736.1, XP_031829735.1
OG0000181	XP_035731090.1, XP_035731089.1, XP_035731092.1, XP_035731091.1	XP_031850222.1, XP_031850221.1, XP_031850223.1, XP_031850218.1, XP_031850220.1
OG0000182	XP_035731858.1, XP_035731856.1, XP_035731855.1, XP_035731857.1, XP_035731854.1, XP_035731853.1, XP_035731859.1	XP_031841728.1
OG0000183	XP_035738622.1, XP_035738621.1, XP_035738620.1, XP_035738623.1	XP_031838925.1
OG0000183	XP_035739701.1	XP_031828691.1, XP_031828693.1, XP_031828695.1, XP_031828694.1, XP_031828690.1
OG0000185	XP_035733203.1, XP_035733201.1, XP_035733205.1, XP_035733204.1, XP_035733207.1, XP_035733206.1, XP_035733199.1, XP_035733200.1	XP_031829646.1, XP_031829645.1, XP_031829647.1
OG0000186	XP_035733371.1, XP_035733372.1, XP_035733373.1, XP_035733370.1, XP_035733460.1, XP_035733368.1, XP_035733369.1	XP_031834869.1
OG0000187	XP_035731676.1, XP_035731677.1	XP_031844556.1, XP_031844565.1, XP_031844499.1, XP_031844479.1, XP_031844458.1, XP_031844469.1, XP_031844528.1, XP_031844537.1, XP_031844547.1, XP_031844448.1, XP_031844518.1, XP_031844439.1, XP_031844509.1, XP_031844574.1, XP_031844582.1, XP_031844489.1
OG0000188	XP_035740046.1	XP_031843391.1
OG0000189	XP_035728855.1	XP_031837615.1
OG0000190	XP_035728040.1, XP_035728039.1	XP_031829381.1, XP_031829385.1, XP_031829383.1, XP_031829384.1, XP_031829386.1
OG0000191	XP_035735127.1	XP_031843261.1
OG0000192	XP_035718570.1, XP_035718565.1, XP_035718569.1, XP_035718568.1, XP_035718562.1, XP_035718563.1, XP_035718564.1	XP_031847208.1
OG0000194	XP_035728644.1	XP_031843496.1, XP_031843495.1
OG0000194	XP_035728648.1	XP_031848879.1
OG0000194	XP_035728646.1	XP_031843507.1
OG0000194	XP_035728547.1	XP_031838309.1
OG0000195	XP_035739727.1, XP_035739726.1	XP_031825355.1, XP_031828216.1
OG0000196	XP_035720910.1	XP_031836104.1, XP_031836105.1, XP_031836106.1, XP_031836107.1, XP_031836103.1
OG0000198	XP_035723755.1	XP_031827645.1, XP_031827644.1
OG0000200	XP_035719894.1, XP_035719895.1	XP_031827782.1
OG0000200	XP_035718373.1	XP_031849412.1, XP_031849414.1
OG0000201	XP_035742700.1	XP_031831080.1
OG0000202	XP_035735523.1, XP_035735525.1, XP_035735528.1, XP_035735524.1, XP_035735526.1, XP_035735527.1, XP_035735520.1, XP_035735522.1	XP_031842338.1, XP_031842336.1, XP_031842337.1, XP_031842339.1
OG0000203	XP_035739190.1	XP_031840442.1
OG0000203	XP_035727456.1, XP_035727445.1, XP_035727495.1, XP_035727486.1, XP_035727526.1, XP_035727477.1, XP_035727505.1, XP_035727467.1, XP_035727516.1	XP_031831628.1, XP_031831625.1, XP_031831627.1, XP_031831626.1
OG0000204	XP_035736371.1, XP_035736362.1, XP_035736353.1, XP_035736365.1	XP_031827654.1, XP_031827655.1, XP_031827656.1, XP_031827653.1
OG0000205	XP_035727194.1, XP_035727191.1, XP_035727193.1	XP_031844495.1, XP_031844500.1, XP_031844501.1
OG0000206	XP_035731791.1	XP_031826752.1
OG0000206	XP_035731805.1	XP_031826808.1, XP_031826811.1, XP_031826810.1, XP_031826809.1
OG0000207	XP_035718709.1	XP_031850268.1
OG0000207	XP_035726226.1	XP_031841289.1
OG0000207	XP_035726227.1	XP_031841290.1
OG0000208	XP_035726225.1	XP_031841274.1
OG0000208	XP_035721855.1	XP_031841014.1, XP_031841015.1
OG0000209	XP_035728112.1	XP_031835069.1, XP_031835073.1, XP_031835072.1, XP_031835071.1, XP_031835076.1, XP_031835075.1, XP_031835074.1
OG0000210	XP_035733688.1	XP_031838858.1
OG0000210	XP_035732804.1	XP_031847872.1
OG0000210	XP_035723457.1	XP_031833724.1
OG0000212	XP_035737335.1	XP_031834616.1
OG0000212	XP_035737458.1	XP_031829541.1
OG0000213	XP_035723104.1	XP_031829822.1, XP_031829824.1, XP_031829823.1
OG0000214	XP_035723354.1, XP_035723352.1, XP_035723353.1, XP_035723355.1	XP_031832084.1
OG0000214	XP_035741447.1, XP_035741444.1	XP_031850423.1, XP_031850412.1, XP_031850402.1, XP_031850430.1, XP_031850440.1, XP_031850450.1
OG0000215	XP_035724895.1, XP_035724894.1	XP_031842767.1, XP_031842763.1, XP_031842762.1, XP_031842761.1, XP_031842768.1, XP_031842764.1
OG0000215	XP_035724898.1, XP_035724897.1	XP_031842770.1
OG0000216	XP_035724451.1	XP_031833974.1
OG0000217	XP_035740471.1	XP_031838827.1
