Orthogroup	Vespa_mandarinia	Osmia_bicornis
OG0000024	XP_035738183.1	XP_029045871.1
OG0000024	XP_035738182.1	XP_029045870.1
OG0000025	XP_035724083.1	XP_029055259.1
OG0000025	XP_035744177.1, XP_035744179.1, XP_035744180.1, XP_035744178.1	XP_029054180.1
OG0000025	XP_035727341.1	XP_029050939.1
OG0000026	XP_035728457.1	XP_029039364.1
OG0000027	XP_035725930.1	XP_029053373.1
OG0000027	XP_035725928.1	XP_029053445.1
OG0000029	XP_035737588.1	XP_029049864.1, XP_029049863.1
OG0000029	XP_035732367.1, XP_035732349.1	XP_029041266.1
OG0000030	XP_035739081.1, XP_035741463.1, XP_035741476.1, XP_035742381.1, XP_035742412.1, XP_035741466.1	XP_029038013.1, XP_029038012.1
OG0000030	XP_035723581.1	XP_029049282.1
OG0000032	XP_035730167.1	XP_029050538.1
OG0000034	XP_035741912.1, XP_035741914.1	XP_029052867.1, XP_029052866.1, XP_029052851.1, XP_029052877.1, XP_029048590.1, XP_029048589.1, XP_029052850.1
OG0000035	XP_035731371.1	XP_029032235.1
OG0000036	XP_035729817.1	XP_029047765.1
OG0000036	XP_035729794.1	XP_029047764.1
OG0000037	XP_035725074.1	XP_029047042.1
OG0000038	XP_035735001.1, XP_035735000.1	XP_029041947.1, XP_029050411.1
OG0000038	XP_035739586.1	XP_029039496.1
OG0000038	XP_035727166.1	XP_029036717.1, XP_029036716.1
OG0000038	XP_035733817.1	XP_029034840.1
OG0000040	XP_035742485.1	XP_029055961.1, XP_029055960.1, XP_029055959.1
OG0000041	XP_035743035.1	XP_029032654.1, XP_029032653.1
OG0000041	XP_035742719.1	XP_029038902.1
OG0000041	XP_035742717.1	XP_029038901.1, XP_029038899.1
OG0000042	XP_035732212.1	XP_029048713.1
OG0000043	XP_035731122.1	XP_029038126.1
OG0000043	XP_035718657.1	XP_029032665.1
OG0000044	XP_035717273.1	XP_029033389.1, XP_029033390.1
OG0000044	XP_035744089.1, XP_035744088.1	XP_029033388.1
OG0000045	XP_035720478.1, XP_035720481.1, XP_035720479.1	XP_029050902.1, XP_029050927.1, XP_029050914.1
OG0000045	XP_035731034.1, XP_035731019.1	XP_029043746.1
OG0000046	XP_035742705.1	XP_029046126.1
OG0000046	XP_035734549.1	XP_029054140.1
OG0000046	XP_035728851.1, XP_035728840.1	XP_029049335.1
OG0000048	XP_035728121.1	XP_029038641.1
OG0000048	XP_035728382.1	XP_029038664.1
OG0000050	XP_035737134.1, XP_035737133.1, XP_035737132.1, XP_035737155.1, XP_035737128.1	XP_029035421.1
OG0000050	XP_035718383.1	XP_029047238.1
OG0000052	XP_035730522.1	XP_029053695.1
OG0000053	XP_035737765.1, XP_035725546.1	XP_029054892.1
OG0000053	XP_035739246.1	XP_029054993.1
OG0000054	XP_035724338.1	XP_029050144.1
OG0000054	XP_035724099.1, XP_035724441.1	XP_029050156.1, XP_029050150.1
OG0000055	XP_035726348.1, XP_035726347.1	XP_029033370.1, XP_029033371.1
OG0000055	XP_035720014.1	XP_029035680.1
OG0000056	XP_035726130.1	XP_029043848.1, XP_029043447.1
OG0000056	XP_035728622.1	XP_029041052.1
OG0000056	XP_035733992.1	XP_029050404.1
OG0000056	XP_035741213.1	XP_029048153.1
OG0000056	XP_035729096.1	XP_029044167.1
OG0000057	XP_035734097.1	XP_029035838.1
OG0000057	XP_035721261.1	XP_029041778.1
OG0000057	XP_035734267.1, XP_035734266.1	XP_029035983.1
OG0000057	XP_035734264.1	XP_029035967.1
OG0000057	XP_035734268.1	XP_029035984.1
OG0000058	XP_035739545.1, XP_035739536.1	XP_029038287.1
OG0000058	XP_035728639.1, XP_035728540.1, XP_035728643.1, XP_035728642.1, XP_035728641.1	XP_029038274.1, XP_029038900.1, XP_029038888.1, XP_029038873.1, XP_029038863.1
OG0000060	XP_035730103.1	XP_029056239.1, XP_029056240.1
OG0000060	XP_035738199.1, XP_035738201.1, XP_035738202.1	XP_029040322.1, XP_029040321.1, XP_029040320.1, XP_029040318.1, XP_029040317.1
OG0000061	XP_035721661.1, XP_035721662.1, XP_035721660.1, XP_035721465.1	XP_029037437.1
OG0000062	XP_035728895.1	XP_029054767.1
OG0000062	XP_035728894.1	XP_029054437.1
OG0000062	XP_035728892.1	XP_029054447.1, XP_029054763.1
OG0000064	XP_035728239.1, XP_035741915.1, XP_035741916.1, XP_035741917.1	XP_029049217.1, XP_029049232.1, XP_029049008.1, XP_029049978.1
OG0000065	XP_035738514.1, XP_035738515.1, XP_035738510.1, XP_035738511.1, XP_035738513.1, XP_035738516.1	XP_029047719.1
OG0000067	XP_035734988.1	XP_029053164.1
OG0000067	XP_035718759.1	XP_029042775.1
OG0000067	XP_035729165.1	XP_029032763.1
OG0000067	XP_035729166.1	XP_029032764.1
OG0000067	XP_035724654.1	XP_029039161.1
OG0000069	XP_035737423.1	XP_029035424.1, XP_029035422.1
OG0000069	XP_035737135.1	XP_029035425.1, XP_029035429.1
OG0000073	XP_035733744.1	XP_029054983.1, XP_029052801.1, XP_029050690.1
OG0000074	XP_035719932.1, XP_035736547.1	XP_029038270.1
OG0000075	XP_035737766.1, XP_035725545.1, XP_035722714.1	XP_029044179.1, XP_029044180.1
OG0000077	XP_035738027.1	XP_029041461.1
OG0000077	XP_035722352.1, XP_035740324.1, XP_035742569.1, XP_035742630.1, XP_035738069.1	XP_029051620.1
OG0000078	XP_035741908.1, XP_035741909.1, XP_035741910.1, XP_035741911.1	XP_029038384.1
OG0000080	XP_035724002.1	XP_029048618.1, XP_029048619.1
OG0000080	XP_035722996.1	XP_029048655.1
OG0000081	XP_035739549.1, XP_035739551.1, XP_035739552.1	XP_029040920.1
OG0000081	XP_035739553.1	XP_029040924.1, XP_029040923.1, XP_029040922.1, XP_029040928.1, XP_029040927.1, XP_029040929.1, XP_029040930.1, XP_029040871.1
OG0000082	XP_035733049.1	XP_029037394.1
OG0000084	XP_035738869.1	XP_029034284.1
OG0000084	XP_035739145.1	XP_029034302.1
OG0000085	XP_035734061.1, XP_035734059.1, XP_035734060.1, XP_035734062.1	XP_029036566.1, XP_029036567.1
OG0000085	XP_035737189.1	XP_029036300.1, XP_029036301.1
OG0000086	XP_035737219.1, XP_035737220.1	XP_029036714.1
OG0000087	XP_035734892.1	XP_029056467.1
OG0000087	XP_035735028.1	XP_029056466.1
OG0000088	XP_035718097.1	XP_029051133.1
OG0000089	XP_035732042.1	XP_029053161.1, XP_029053163.1, XP_029053162.1
OG0000089	XP_035729577.1	XP_029051588.1
OG0000091	XP_035743855.1	XP_029041126.1, XP_029041124.1
OG0000092	XP_035729950.1	XP_029048799.1
OG0000092	XP_035719716.1, XP_035719715.1	XP_029041975.1, XP_029041991.1
OG0000092	XP_035719719.1	XP_029043422.1, XP_029044965.1, XP_029044957.1
OG0000092	XP_035718227.1	XP_029036169.1
OG0000094	XP_035742083.1, XP_035735320.1, XP_035735319.1, XP_035735318.1	XP_029033929.1
OG0000094	XP_035729864.1	XP_029034646.1, XP_029034647.1
OG0000095	XP_035720088.1, XP_035720091.1, XP_035720570.1, XP_035720568.1, XP_035720569.1, XP_035720572.1, XP_035721650.1, XP_035721665.1, XP_035721664.1, XP_035720092.1	XP_029035463.1
OG0000096	XP_035735801.1	XP_029039146.1
OG0000096	XP_035724668.1, XP_035724666.1	XP_029053037.1
OG0000097	XP_035742312.1, XP_035742314.1, XP_035742313.1	XP_029033159.1, XP_029033157.1, XP_029033158.1
OG0000097	XP_035739103.1, XP_035739101.1, XP_035739102.1, XP_035736455.1, XP_035736447.1	XP_029042191.1, XP_029042190.1
OG0000098	XP_035733072.1, XP_035733137.1	XP_029040058.1, XP_029040062.1, XP_029040061.1, XP_029040060.1, XP_029040057.1
OG0000099	XP_035723282.1, XP_035723292.1, XP_035723300.1	XP_029034823.1
OG0000099	XP_035721767.1	XP_029034765.1
OG0000099	XP_035729911.1	XP_029045960.1
OG0000100	XP_035731312.1, XP_035731311.1, XP_035731307.1, XP_035731310.1, XP_035731309.1	XP_029038954.1, XP_029038955.1, XP_029038950.1, XP_029038951.1, XP_029038952.1, XP_029038953.1
OG0000101	XP_035724161.1	XP_029038150.1
OG0000101	XP_035724180.1	XP_029038151.1
OG0000102	XP_035722712.1	XP_029052948.1
OG0000103	XP_035728991.1	XP_029044547.1
OG0000103	XP_035729002.1, XP_035728999.1	XP_029044558.1, XP_029044556.1
OG0000103	XP_035729084.1, XP_035729085.1, XP_035729086.1, XP_035729088.1	XP_029034468.1, XP_029034469.1, XP_029034466.1, XP_029034467.1
OG0000106	XP_035736824.1	XP_029044943.1
OG0000106	XP_035733484.1	XP_029048081.1, XP_029048075.1, XP_029048076.1, XP_029048085.1, XP_029048080.1, XP_029048078.1, XP_029048084.1
OG0000107	XP_035735907.1	XP_029051339.1
OG0000108	XP_035729104.1, XP_035729105.1	XP_029040200.1, XP_029040201.1
OG0000109	XP_035733082.1, XP_035733090.1, XP_035733088.1, XP_035733089.1, XP_035733086.1, XP_035733087.1, XP_035733084.1, XP_035733085.1, XP_035733092.1, XP_035733093.1, XP_035733091.1	XP_029050471.1, XP_029050469.1, XP_029050473.1, XP_029050472.1
OG0000110	XP_035727648.1, XP_035727647.1	XP_029038421.1, XP_029038418.1, XP_029038419.1
OG0000110	XP_035738900.1	XP_029043468.1
OG0000111	XP_035718068.1	XP_029036880.1, XP_029044472.1, XP_029044473.1, XP_029044439.1, XP_029044436.1, XP_029044435.1, XP_029044432.1, XP_029044433.1, XP_029044430.1
OG0000111	XP_035719146.1	XP_029047148.1
OG0000112	XP_035719175.1, XP_035719174.1, XP_035719177.1, XP_035719176.1, XP_035719171.1, XP_035719172.1	XP_029046532.1, XP_029046533.1
OG0000112	XP_035730834.1, XP_035730827.1, XP_035730828.1, XP_035730829.1, XP_035730830.1, XP_035730831.1, XP_035730832.1, XP_035730833.1	XP_029048168.1
OG0000113	XP_035724028.1	XP_029037699.1
OG0000113	XP_035725454.1	XP_029048517.1
OG0000114	XP_035719468.1	XP_029036590.1
OG0000115	XP_035719374.1	XP_029035566.1
OG0000115	XP_035728117.1	XP_029048286.1
OG0000116	XP_035728572.1, XP_035728573.1	XP_029036993.1, XP_029036999.1
OG0000116	XP_035728508.1, XP_035728506.1, XP_035728507.1	XP_029037819.1, XP_029037828.1
OG0000117	XP_035721151.1	XP_029050106.1
OG0000117	XP_035728960.1	XP_029053280.1, XP_029053279.1, XP_029053278.1, XP_029053281.1
OG0000119	XP_035728103.1, XP_035728091.1, XP_035728092.1, XP_035728099.1, XP_035728090.1, XP_035728088.1	XP_029036980.1, XP_029036750.1, XP_029036919.1, XP_029036815.1, XP_029036844.1
OG0000120	XP_035743508.1	XP_029038490.1, XP_029038486.1, XP_029038485.1, XP_029038483.1, XP_029038484.1, XP_029038488.1, XP_029038489.1
OG0000122	XP_035742190.1	XP_029051575.1
OG0000122	XP_035722129.1	XP_029054705.1
OG0000123	XP_035725246.1, XP_035725252.1	XP_029043158.1, XP_029043156.1, XP_029043157.1, XP_029043153.1, XP_029043155.1, XP_029043150.1, XP_029043149.1, XP_029043151.1, XP_029043152.1, XP_029043147.1, XP_029043148.1
OG0000124	XP_035724659.1	XP_029037788.1, XP_029036850.1, XP_029037019.1, XP_029036756.1, XP_029037535.1, XP_029037363.1, XP_029037873.1, XP_029037101.1, XP_029037448.1, XP_029037702.1, XP_029036672.1, XP_029037621.1, XP_029036938.1
OG0000125	XP_035743368.1, XP_035743367.1	XP_029038301.1, XP_029032057.1, XP_029036162.1, XP_029037018.1, XP_029032043.1, XP_029035307.1, XP_029032032.1, XP_029032023.1
OG0000126	XP_035731654.1, XP_035731655.1, XP_035731651.1, XP_035731652.1, XP_035731657.1, XP_035731656.1, XP_035731659.1, XP_035731653.1, XP_035731650.1	XP_029049817.1, XP_029049833.1, XP_029049843.1, XP_029049826.1, XP_029049807.1, XP_029049849.1
OG0000127	XP_035726374.1	XP_029049523.1, XP_029049524.1
OG0000129	XP_035741994.1, XP_035741995.1	XP_029038381.1, XP_029038382.1, XP_029038380.1, XP_029038379.1, XP_029038378.1, XP_029038377.1, XP_029038376.1, XP_029038375.1
OG0000130	XP_035721963.1	XP_029040004.1
OG0000130	XP_035721970.1, XP_035721971.1, XP_035721969.1, XP_035721972.1	XP_029040144.1, XP_029040135.1, XP_029040130.1
OG0000130	XP_035721444.1	XP_029040646.1
OG0000131	XP_035742296.1	XP_029035464.1
OG0000131	XP_035733339.1, XP_035733338.1	XP_029032564.1, XP_029032565.1, XP_029032563.1
OG0000132	XP_035721782.1, XP_035721781.1	XP_029042885.1, XP_029042884.1
OG0000132	XP_035732604.1	XP_029046706.1, XP_029046715.1
OG0000133	XP_035741242.1	XP_029032942.1, XP_029032943.1, XP_029032944.1
OG0000134	XP_035740651.1	XP_029054768.1, XP_029054636.1, XP_029055298.1
OG0000135	XP_035717163.1	XP_029052001.1
OG0000135	XP_035725594.1	XP_029033778.1
OG0000136	XP_035728633.1, XP_035728680.1, XP_035728635.1, XP_035728634.1	XP_029051548.1, XP_029055196.1, XP_029055024.1, XP_029051623.1
OG0000137	XP_035738396.1	XP_029048064.1
OG0000137	XP_035732267.1	XP_029051312.1
OG0000138	XP_035730963.1, XP_035730973.1, XP_035730946.1, XP_035730956.1, XP_035730998.1, XP_035731008.1, XP_035730984.1, XP_035730990.1	XP_029043735.1, XP_029043737.1, XP_029043736.1, XP_029043739.1, XP_029043738.1, XP_029043741.1, XP_029043740.1
OG0000138	XP_035722005.1	XP_029043742.1
OG0000139	XP_035719417.1, XP_035719753.1	XP_029050502.1
OG0000140	XP_035720742.1, XP_035720741.1	XP_029050611.1
OG0000141	XP_035723074.1, XP_035723075.1, XP_035723073.1	XP_029038466.1, XP_029038465.1
OG0000141	XP_035722354.1, XP_035722355.1	XP_029036213.1, XP_029036212.1
OG0000141	XP_035722392.1, XP_035722391.1	XP_029044664.1
OG0000143	XP_035726588.1	XP_029041592.1, XP_029041591.1, XP_029041594.1
OG0000143	XP_035726587.1, XP_035726585.1, XP_035726586.1	XP_029041621.1, XP_029041620.1, XP_029041624.1, XP_029041623.1, XP_029041622.1
OG0000145	XP_035739706.1, XP_035739705.1	XP_029047376.1, XP_029047377.1
OG0000145	XP_035732035.1, XP_035732034.1, XP_035732031.1, XP_035732032.1, XP_035732029.1, XP_035732030.1, XP_035732028.1, XP_035732033.1	XP_029043895.1, XP_029045165.1
OG0000146	XP_035732991.1, XP_035732990.1, XP_035732989.1, XP_035732988.1	XP_029045164.1, XP_029045163.1, XP_029038795.1, XP_029038794.1
OG0000147	XP_035734708.1	XP_029050244.1, XP_029048716.1, XP_029048715.1, XP_029048711.1, XP_029048710.1, XP_029048714.1, XP_029048709.1, XP_029048708.1, XP_029048717.1
OG0000149	XP_035726837.1	XP_029047226.1
OG0000149	XP_035726846.1, XP_035726843.1, XP_035726842.1, XP_035726847.1, XP_035726845.1	XP_029047230.1, XP_029047231.1, XP_029047232.1
OG0000150	XP_035733965.1, XP_035733966.1, XP_035733963.1, XP_035733964.1, XP_035733961.1, XP_035733962.1	XP_029041950.1
OG0000151	XP_035735864.1, XP_035735857.1, XP_035735862.1, XP_035735863.1, XP_035735861.1, XP_035735859.1, XP_035735858.1	XP_029031892.1, XP_029031893.1, XP_029031895.1, XP_029031894.1, XP_029031896.1
OG0000152	XP_035722053.1	XP_029047059.1
OG0000153	XP_035727062.1	XP_029039104.1, XP_029039105.1, XP_029039106.1, XP_029039101.1, XP_029039103.1
OG0000154	XP_035743057.1, XP_035743056.1	XP_029038796.1
OG0000155	XP_035724082.1, XP_035742778.1, XP_035733904.1, XP_035737499.1, XP_035737756.1, XP_035736367.1, XP_035725552.1, XP_035740255.1, XP_035725541.1	XP_029054807.1, XP_029054237.1
OG0000156	XP_035723493.1	XP_029035328.1
OG0000157	XP_035732282.1	XP_029051283.1
OG0000157	XP_035732281.1	XP_029051281.1
OG0000158	XP_035740054.1, XP_035740197.1, XP_035740199.1, XP_035740200.1, XP_035740198.1	XP_029046478.1, XP_029046471.1, XP_029046469.1, XP_029046468.1, XP_029042113.1, XP_029046467.1
OG0000160	XP_035723999.1	XP_029042735.1
OG0000160	XP_035733330.1, XP_035733325.1, XP_035733326.1, XP_035733328.1, XP_035733329.1	XP_029032546.1
OG0000161	XP_035719666.1, XP_035719656.1, XP_035719675.1	XP_029049654.1, XP_029049653.1
OG0000162	XP_035731205.1	XP_029035080.1
OG0000162	XP_035740246.1, XP_035740247.1	XP_029037503.1
OG0000164	XP_035732024.1	XP_029053418.1, XP_029053381.1, XP_029053299.1, XP_029053407.1
OG0000165	XP_035743313.1, XP_035743321.1, XP_035743314.1, XP_035743315.1, XP_035743316.1, XP_035743317.1, XP_035743320.1, XP_035743319.1, XP_035743322.1, XP_035743323.1	XP_029038180.1, XP_029038179.1
OG0000165	XP_035734576.1	XP_029047501.1
OG0000166	XP_035717393.1, XP_035717400.1, XP_035717381.1, XP_035717387.1, XP_035717382.1, XP_035717384.1	XP_029043654.1, XP_029043635.1, XP_029043629.1
OG0000168	XP_035736898.1	XP_029052804.1
OG0000169	XP_035729296.1	XP_029040131.1
OG0000170	XP_035742479.1	XP_029033623.1
OG0000171	XP_035741201.1, XP_035741202.1	XP_029047309.1
OG0000171	XP_035741205.1, XP_035741206.1	XP_029047311.1
OG0000172	XP_035738100.1, XP_035738101.1	XP_029040332.1, XP_029040337.1, XP_029040338.1, XP_029040333.1, XP_029040334.1, XP_029040335.1, XP_029040336.1
OG0000173	XP_035733795.1, XP_035733793.1, XP_035733794.1, XP_035733792.1	XP_029045882.1, XP_029045886.1, XP_029045884.1, XP_029045883.1, XP_029045881.1, XP_029045880.1
OG0000174	XP_035731433.1	XP_029038443.1, XP_029038444.1, XP_029038447.1, XP_029038446.1, XP_029038448.1
OG0000175	XP_035729116.1, XP_035729110.1, XP_035729111.1, XP_035729112.1, XP_035729113.1	XP_029032769.1, XP_029032767.1, XP_029032768.1
OG0000176	XP_035737411.1	XP_029041606.1
OG0000177	XP_035739406.1	XP_029035382.1, XP_029035383.1
OG0000177	XP_035739374.1	XP_029035403.1
OG0000177	XP_035739564.1	XP_029035380.1
OG0000178	XP_035725180.1	XP_029039971.1, XP_029039967.1
OG0000179	XP_035741505.1	XP_029046643.1
OG0000179	XP_035719102.1, XP_035719101.1	XP_029038918.1
OG0000179	XP_035737641.1	XP_029037996.1
OG0000180	XP_035743555.1, XP_035743552.1, XP_035743551.1, XP_035743554.1	XP_029046844.1, XP_029046842.1, XP_029046843.1
OG0000181	XP_035731090.1, XP_035731089.1, XP_035731092.1, XP_035731091.1	XP_029051355.1, XP_029051353.1, XP_029051352.1, XP_029051351.1, XP_029051350.1, XP_029051349.1, XP_029051354.1, XP_029051348.1
OG0000182	XP_035731858.1, XP_035731856.1, XP_035731855.1, XP_035731857.1, XP_035731854.1, XP_035731853.1, XP_035731859.1	XP_029044796.1, XP_029044797.1, XP_029044799.1, XP_029044800.1, XP_029044801.1, XP_029044793.1, XP_029044794.1, XP_029044795.1
OG0000183	XP_035738622.1, XP_035738621.1, XP_035738620.1, XP_035738623.1	XP_029047940.1
OG0000183	XP_035739701.1	XP_029053202.1
OG0000185	XP_035733203.1, XP_035733201.1, XP_035733205.1, XP_035733204.1, XP_035733207.1, XP_035733206.1, XP_035733199.1, XP_035733200.1	XP_029037641.1, XP_029037640.1
OG0000186	XP_035733371.1, XP_035733372.1, XP_035733373.1, XP_035733370.1, XP_035733460.1, XP_035733368.1, XP_035733369.1	XP_029043658.1, XP_029043698.1, XP_029043697.1
OG0000187	XP_035731676.1, XP_035731677.1	XP_029047831.1
OG0000188	XP_035731793.1	XP_029045188.1
OG0000188	XP_035740046.1	XP_029034574.1
OG0000189	XP_035728855.1	XP_029035806.1, XP_029035810.1, XP_029035809.1, XP_029035808.1
OG0000190	XP_035728040.1, XP_035728039.1	XP_029056400.1, XP_029056399.1, XP_029056401.1
OG0000191	XP_035735127.1	XP_029036825.1
OG0000192	XP_035718570.1, XP_035718565.1, XP_035718569.1, XP_035718568.1, XP_035718562.1, XP_035718563.1, XP_035718564.1	XP_029034267.1, XP_029034266.1
OG0000194	XP_035728648.1	XP_029038776.1
OG0000194	XP_035728646.1	XP_029038788.1
OG0000194	XP_035728547.1	XP_029038813.1
OG0000195	XP_035739727.1, XP_035739726.1	XP_029052983.1, XP_029052995.1, XP_029052191.1, XP_029052984.1, XP_029052188.1
OG0000196	XP_035720910.1	XP_029053549.1
OG0000198	XP_035723755.1	XP_029048757.1, XP_029048766.1, XP_029048776.1
OG0000199	XP_035729157.1	XP_029049343.1
OG0000200	XP_035719894.1, XP_035719895.1	XP_029052014.1
OG0000200	XP_035718373.1	XP_029049081.1, XP_029049085.1
OG0000201	XP_035742700.1	XP_029039891.1
OG0000202	XP_035735523.1, XP_035735525.1, XP_035735528.1, XP_035735524.1, XP_035735526.1, XP_035735527.1, XP_035735520.1, XP_035735522.1	XP_029044324.1
OG0000202	XP_035742672.1, XP_035742669.1, XP_035742670.1	XP_029032521.1, XP_029032520.1
OG0000203	XP_035739190.1	XP_029047463.1
OG0000203	XP_035727456.1, XP_035727445.1, XP_035727495.1, XP_035727486.1, XP_035727526.1, XP_035727477.1, XP_035727505.1, XP_035727467.1, XP_035727516.1	XP_029042308.1, XP_029042310.1
OG0000204	XP_035736371.1, XP_035736362.1, XP_035736353.1, XP_035736365.1	XP_029049274.1, XP_029049273.1, XP_029049272.1, XP_029049275.1
OG0000205	XP_035727194.1, XP_035727191.1, XP_035727193.1	XP_029047201.1, XP_029047202.1, XP_029047200.1, XP_029047205.1, XP_029047203.1, XP_029047204.1
OG0000206	XP_035731791.1	XP_029052215.1
OG0000206	XP_035731805.1	XP_029052187.1, XP_029052186.1
OG0000207	XP_035718709.1	XP_029046518.1
OG0000207	XP_035726226.1	XP_029041769.1
OG0000207	XP_035726227.1	XP_029041771.1
OG0000208	XP_035726225.1	XP_029041765.1
OG0000208	XP_035721855.1	XP_029033072.1
OG0000209	XP_035728112.1	XP_029047963.1, XP_029047965.1, XP_029047964.1
OG0000210	XP_035733688.1	XP_029037304.1
OG0000210	XP_035732804.1	XP_029045711.1
OG0000210	XP_035723457.1	XP_029041331.1
OG0000212	XP_035737335.1	XP_029034391.1, XP_029034390.1
OG0000212	XP_035737458.1	XP_029051929.1
OG0000213	XP_035723104.1	XP_029041152.1, XP_029041153.1, XP_029041150.1, XP_029041151.1
