Orthogroup	Vespa_mandarinia	Bombyx_mori
OG0000013	XP_035732326.1, XP_035732327.1, XP_035732323.1, XP_035732322.1, XP_035732328.1	NP_001091756.1
OG0000016	XP_035739379.1	XP_037866966.1, XP_037874854.1, XP_037869234.1, XP_037871463.1, XP_004927060.2, XP_037874057.1, XP_004923984.2, XP_037872903.1, XP_004927452.2, XP_004934209.2, XP_037876361.1, XP_037877133.1, XP_037869633.1, XP_037873340.1, XP_037867761.1, XP_037871662.1, XP_037871125.1, XP_037868132.1, XP_037872522.1, XP_004921763.2, XP_037872764.1, XP_037868492.1, XP_037874875.1, XP_037868964.1, XP_037877124.1, XP_037867762.1, XP_037871595.1, XP_037870977.1, XP_037871622.1, XP_037867766.1
OG0000016	XP_035733837.1	XP_037868134.1
OG0000017	XP_035722701.1	NP_001108466.1, XP_012546875.1, NP_001037420.1, NP_001037197.1, NP_001108464.1, NP_001108460.1
OG0000017	XP_035728385.1	XP_037877194.1, NP_001037546.1, XP_037867588.1, XP_037877193.1, XP_037867593.1, NP_001036974.1
OG0000018	XP_035730877.1	XP_037871931.1
OG0000018	XP_035718148.1	XP_021205339.2, XP_037871705.1
OG0000018	XP_035735080.1	NP_001243945.1, XP_037871800.1
OG0000019	XP_035725561.1, XP_035725574.1, XP_035725576.1	NP_001268819.1, XP_037869432.1, NP_001040220.1
OG0000019	XP_035720602.1	NP_001119718.1, XP_037872951.1, XP_004924270.3, XP_021204440.2, XP_004928788.2, XP_037874708.1, XP_012545204.1, XP_004927001.2, XP_021204176.1
OG0000019	XP_035726985.1	XP_004927318.1
OG0000020	XP_035723591.1	XP_021206581.1
OG0000020	XP_035725275.1	XP_012545030.1
OG0000020	XP_035728836.1	XP_012552719.1, XP_021202222.1
OG0000020	XP_035730287.1, XP_035730285.1, XP_035730286.1, XP_035730288.1, XP_035730289.1	XP_037874470.1, XP_037874469.1, XP_012548770.1
OG0000021	XP_035729141.1	XP_004932475.1, XP_021207797.1
OG0000021	XP_035721174.1, XP_035721172.1, XP_035721170.1, XP_035721169.1, XP_035721173.1	XP_012546046.1
OG0000021	XP_035723530.1	XP_004926417.1
OG0000021	XP_035723165.1, XP_035723164.1	XP_037869061.1
OG0000021	XP_035729144.1	XP_037872785.1
OG0000022	XP_035725916.1	NP_001153667.1
OG0000022	XP_035735991.1, XP_035732965.1	NP_001153666.1, NP_001036781.1
OG0000024	XP_035720575.1, XP_035720354.1, XP_035720356.1, XP_035720355.1, XP_035720353.1	XP_037872402.1
OG0000024	XP_035738182.1	XP_004924130.1
OG0000025	XP_035727341.1	XP_004929074.1
OG0000025	XP_035737500.1, XP_035727797.1, XP_035740328.1	XP_037869780.1
OG0000026	XP_035728457.1	XP_037867257.1
OG0000026	XP_035718093.1, XP_035718094.1	XP_021205952.1, XP_037874519.1, XP_037874423.1
OG0000027	XP_035725930.1	NP_001153669.1
OG0000029	XP_035732363.1, XP_035732348.1	NP_001036866.1, NP_001166691.1, NP_001166687.1
OG0000029	XP_035737588.1, XP_035732367.1, XP_035732349.1	NP_001093082.1, NP_001166690.1, NP_001166689.1
OG0000030	XP_035739081.1, XP_035741463.1, XP_035741476.1, XP_035742381.1, XP_035742412.1, XP_035741466.1	XP_037875304.1
OG0000030	XP_035723581.1	XP_004926017.1
OG0000032	XP_035723151.1	XP_012545284.2, XP_021208619.1
OG0000032	XP_035735826.1	XP_004931720.1
OG0000032	XP_035730167.1	XP_037867207.1, XP_004924199.2, NP_001036966.1, XP_012549133.1
OG0000035	XP_035731371.1	NP_001243971.1, NP_001243970.1, NP_001243969.1, NP_001243968.1, NP_001274756.1, XP_037870343.1, NP_001243972.1, XP_037870428.1
OG0000036	XP_035729817.1, XP_035729794.1	XP_037877629.1, XP_012544322.2
OG0000037	XP_035725074.1	NP_001166634.1, NP_001166643.1, NP_001166640.1, XP_021207417.1, NP_001166642.1, NP_001166626.1, NP_001166646.1, NP_001166657.1, NP_001166648.1, NP_001166659.1, NP_001166661.1, NP_001166647.1, NP_001166654.1, NP_001166652.1, NP_001166656.1, NP_001166655.1, NP_001166651.1, NP_001166653.1, NP_001166650.1, XP_012550695.2, XP_037874610.1, NP_001166649.1, NP_001166658.1, NP_001166660.1, XP_037874849.1, XP_037874613.1, XP_037874612.1, NP_001166662.1, NP_001036864.1, NP_001166674.1, NP_001166673.1, NP_001166676.1, NP_001166675.1, NP_001036838.1, NP_001166677.1, XP_012550704.2, NP_001166625.1, NP_001166671.1, NP_001166678.1, XP_012550693.1, NP_001166641.1, XP_004931961.1, NP_001166635.1, NP_001166644.1, NP_001166637.1
OG0000038	XP_035735002.1	XP_021208028.1
OG0000038	XP_035735001.1, XP_035735000.1	NP_001036884.1
OG0000038	XP_035727166.1	NP_001036886.1, XP_021204307.1
OG0000038	XP_035734959.1	NP_001036885.1
OG0000040	XP_035742485.1, XP_035725216.1	XP_037871589.1, XP_037877007.1
OG0000041	XP_035743035.1	XP_037872547.1, NP_001119727.1
OG0000041	XP_035742719.1, XP_035742718.1, XP_035742717.1	NP_001119724.1
OG0000042	XP_035732212.1	XP_004925565.1
OG0000043	XP_035731122.1	NP_001037067.1, NP_001037068.1
OG0000044	XP_035717273.1, XP_035744089.1, XP_035744088.1	NP_001036834.1
OG0000045	XP_035720478.1, XP_035720481.1, XP_035720479.1, XP_035731034.1, XP_035731019.1, XP_035720482.1	XP_037866529.1, XP_037866527.1, NP_001296551.1, XP_012549946.3, NP_001182391.1, XP_004930880.1
OG0000046	XP_035742705.1	NP_001036837.1, XP_012547740.1
OG0000046	XP_035722173.1	XP_037876891.1, XP_004933911.2, XP_037876874.1, NP_001296526.1, NP_001243928.1
OG0000046	XP_035734549.1, XP_035728851.1, XP_035728840.1	NP_001036892.1
OG0000050	XP_035737134.1, XP_035737133.1, XP_035737132.1, XP_035737155.1, XP_035737128.1, XP_035718383.1	NP_001165227.1, NP_001040466.1, XP_037875050.1, NP_001124352.1, NP_001116814.1, XP_004927162.1, XP_021203217.2, XP_021203196.2, XP_037870386.1, XP_037870387.1, XP_004925199.1, XP_004924525.1, XP_004932947.1, NP_001040174.1
OG0000052	XP_035730522.1, XP_035729830.1, XP_035729829.1, XP_035729805.1	XP_012545178.1, NP_001036907.1, XP_037868558.1, XP_037868546.1, XP_012545207.2, XP_012545182.2, XP_004925374.1, XP_037868485.1, XP_004925372.1, XP_004925371.1
OG0000052	XP_035743009.1, XP_035743008.1	XP_012545590.1, XP_012545589.1, XP_004925854.2, XP_004925855.2, XP_021203470.2, XP_004925899.1
OG0000054	XP_035724338.1	NP_001040112.1
OG0000054	XP_035724099.1, XP_035724441.1	NP_001036835.1, NP_001166743.1
OG0000055	XP_035720014.1	XP_021207833.1
OG0000056	XP_035726130.1, XP_035718477.1	XP_037866675.1
OG0000056	XP_035728622.1	XP_037872689.1
OG0000056	XP_035733992.1	XP_037871311.1
OG0000056	XP_035729096.1	XP_037873641.1
OG0000057	XP_035734097.1	NP_001036887.1, NP_001036964.1
OG0000057	XP_035721261.1	XP_004923508.1, XP_012553252.3
OG0000057	XP_035734267.1, XP_035734266.1	NP_001036965.1
OG0000057	XP_035734264.1	NP_001036888.1
OG0000057	XP_035734268.1	NP_001037492.1, NP_001093079.1
OG0000060	XP_035730103.1	XP_004925993.2
OG0000060	XP_035738199.1, XP_035738201.1, XP_035738202.1	XP_021206640.1, XP_004930776.1
OG0000061	XP_035724328.1	XP_012551685.2
OG0000062	XP_035737336.1	XP_021205992.1, NP_001091767.1
OG0000062	XP_035728895.1, XP_035728894.1, XP_035728892.1	XP_004923510.1, XP_037876893.1, XP_004933665.1, NP_001036941.1, NP_001036984.1, NP_001091794.1, XP_037877361.1, XP_037877362.1, NP_001037038.1, NP_001036942.1
OG0000065	XP_035738514.1, XP_035738515.1, XP_035738510.1, XP_035738511.1, XP_035738513.1, XP_035738516.1	XP_004931596.1
OG0000067	XP_035734988.1	XP_004931451.1
OG0000067	XP_035718759.1	NP_001037582.1
OG0000067	XP_035724654.1	XP_037877745.1
OG0000069	XP_035737423.1	NP_001243973.1
OG0000070	XP_035741675.1, XP_035741496.1, XP_035741497.1, XP_035741498.1, XP_035741499.1, XP_035741500.1, XP_035741698.1, XP_035741699.1, XP_035729713.1, XP_035730159.1, XP_035730158.1, XP_035741501.1, XP_035741694.1, XP_035741503.1, XP_035741697.1, XP_035741696.1, XP_035741504.1	NP_001166602.1
OG0000073	XP_035733744.1	NP_001243938.1
OG0000077	XP_035738027.1	XP_037870080.1
OG0000077	XP_035722352.1, XP_035740324.1, XP_035742569.1, XP_035742630.1, XP_035738069.1	NP_001037478.1
OG0000078	XP_035741908.1, XP_035741909.1, XP_035741910.1, XP_035741911.1	XP_037872110.1, NP_001159625.1, NP_001116810.1
OG0000079	XP_035741822.1	XP_004925192.2
OG0000080	XP_035724002.1	XP_021207527.1, XP_021207524.1, XP_021207523.1, XP_021207526.1, XP_021207525.1, XP_004931947.1, XP_037874742.1
OG0000080	XP_035722996.1	XP_037874734.1
OG0000082	XP_035733049.1, XP_035733058.1, XP_035733057.1, XP_035733059.1	XP_004927040.1, NP_001124343.1
OG0000084	XP_035738869.1, XP_035738870.1, XP_035739145.1	XP_012550708.1, NP_001166718.1
OG0000085	XP_035737189.1	NP_001239600.1, XP_037876340.1, XP_037876341.1, XP_037876393.1, XP_037876339.1
OG0000086	XP_035718518.1	NP_001243984.1
OG0000086	XP_035718534.1	NP_001153674.1
OG0000086	XP_035737219.1, XP_035737220.1	XP_004922188.1
OG0000087	XP_035734892.1	XP_004925118.1
OG0000087	XP_035735028.1	XP_004926772.1
OG0000088	XP_035718097.1	XP_037876269.1, XP_037876266.1
OG0000091	XP_035743855.1	XP_037871523.1, NP_001037021.1, NP_001139714.1, XP_012547717.1, NP_001037305.1, XP_037874620.1
OG0000092	XP_035729950.1, XP_035719716.1, XP_035719715.1, XP_035719719.1, XP_035718227.1	NP_001040445.1
OG0000094	XP_035729864.1	XP_037867226.1
OG0000095	XP_035720088.1, XP_035720091.1, XP_035720570.1, XP_035720568.1, XP_035720569.1, XP_035720572.1, XP_035721650.1, XP_035721665.1, XP_035721664.1, XP_035720092.1	XP_037874252.1, NP_001296528.1, XP_004927603.2, NP_001073134.1, NP_001103833.1
OG0000096	XP_035735801.1	XP_004933352.2
OG0000097	XP_035742312.1, XP_035742314.1, XP_035742313.1, XP_035739103.1, XP_035739101.1, XP_035739102.1, XP_035736455.1, XP_035736447.1	XP_012544532.1, XP_037871911.1, XP_004924657.1
OG0000098	XP_035733072.1, XP_035733137.1	XP_037867250.1, XP_037867248.1, XP_037867247.1, XP_037867246.1, XP_037867249.1
OG0000099	XP_035723282.1, XP_035723292.1, XP_035723300.1	XP_012551708.2
OG0000099	XP_035721767.1	XP_004933046.1
OG0000099	XP_035729911.1	XP_037876655.1
OG0000101	XP_035724180.1	XP_037875936.1, NP_001037053.1, NP_001040462.1, XP_037875581.1
OG0000102	XP_035722712.1, XP_035722713.1	XP_004925858.1, XP_037872752.1, XP_021205415.1, XP_004929095.1
OG0000103	XP_035728991.1	XP_037869904.1
OG0000104	XP_035731252.1, XP_035724084.1	XP_037870351.1, XP_037875874.1, XP_037866967.1, XP_037873354.1, XP_037869587.1, XP_037872508.1, XP_037868129.1, XP_037871377.1, XP_037875878.1, XP_037871664.1, XP_037874352.1, XP_037876062.1, XP_037875901.1, XP_037875914.1, XP_037876376.1, XP_037870855.1, XP_012545500.1
OG0000108	XP_035729104.1, XP_035729105.1	XP_004923866.1, XP_012545628.2, XP_037876582.1, XP_021203645.2, XP_021203646.2, XP_037876625.1, XP_037876626.1, XP_012551634.2, XP_004932336.1
OG0000109	XP_035733082.1, XP_035733090.1, XP_035733088.1, XP_035733089.1, XP_035733086.1, XP_035733087.1, XP_035733084.1, XP_035733085.1, XP_035733092.1, XP_035733093.1, XP_035733091.1	XP_021205885.1
OG0000110	XP_035727648.1, XP_035727647.1, XP_035738900.1	XP_037872696.1, XP_037872695.1, XP_037872710.1, XP_037872709.1
OG0000111	XP_035718068.1	XP_037868928.1, XP_037868924.1, XP_004922902.1, XP_004931121.1
OG0000111	XP_035719146.1	XP_004927517.1
OG0000112	XP_035730834.1, XP_035730827.1, XP_035730828.1, XP_035730829.1, XP_035730830.1, XP_035730831.1, XP_035730832.1, XP_035730833.1	NP_001240824.1, XP_012546717.1
OG0000113	XP_035724028.1, XP_035725454.1	XP_004929660.1, XP_004925443.2, XP_012545237.2
OG0000114	XP_035719468.1	XP_037876437.1
OG0000115	XP_035719374.1, XP_035728117.1	NP_001037077.1, XP_012544300.1, NP_001036994.1
OG0000117	XP_035721151.1	NP_001040298.1
OG0000117	XP_035728960.1	NP_001233214.1, XP_012552766.1
OG0000119	XP_035728103.1, XP_035728091.1, XP_035728092.1, XP_035728099.1, XP_035728090.1, XP_035728088.1	XP_037869697.1
OG0000120	XP_035743508.1	XP_021207126.2
OG0000122	XP_035722129.1	XP_037871005.1
OG0000122	XP_035738975.1, XP_035738980.1	XP_021202268.1, XP_012544010.1, XP_037868883.1, XP_004924046.1
OG0000123	XP_035725246.1, XP_035725252.1	NP_001037614.1, XP_012548321.1
OG0000124	XP_035724659.1	XP_037871306.1, XP_037871307.1, XP_021208751.2
OG0000125	XP_035743368.1, XP_035743367.1	XP_004926881.1, XP_012546430.1, XP_012547144.2
OG0000126	XP_035731654.1, XP_035731655.1, XP_035731651.1, XP_035731652.1, XP_035731657.1, XP_035731656.1, XP_035731659.1, XP_035731653.1, XP_035731650.1	XP_012549565.1, NP_001037319.1
OG0000127	XP_035718002.1, XP_035726611.1, XP_035726612.1, XP_035720274.1	XP_012551315.1, NP_001037024.1
OG0000127	XP_035726374.1	NP_001189458.1, XP_012551311.1
OG0000129	XP_035741994.1, XP_035741995.1	XP_021203173.1
OG0000130	XP_035721963.1, XP_035721970.1, XP_035721971.1, XP_035721969.1, XP_035721972.1	NP_001108469.1
OG0000130	XP_035721444.1	XP_012548931.3
OG0000131	XP_035742296.1	XP_004931759.1
OG0000131	XP_035733339.1, XP_035733338.1	NP_001091755.1
OG0000132	XP_035721782.1, XP_035721781.1	NP_001164651.1, XP_037870176.1
OG0000132	XP_035732604.1	NP_001164650.1
OG0000133	XP_035741242.1	XP_021207866.1, XP_004932639.1
OG0000134	XP_035740651.1	XP_004928832.1, XP_012546210.1, XP_004926641.1, XP_004922069.2
OG0000135	XP_035717163.1	NP_001166873.1, XP_037875522.1
OG0000135	XP_035725594.1	NP_001108335.1
OG0000136	XP_035728633.1, XP_035728680.1, XP_035728635.1, XP_035728634.1	XP_037876368.1, XP_004927026.1
OG0000137	XP_035738396.1, XP_035732267.1	XP_037868770.1
OG0000138	XP_035730963.1, XP_035730973.1, XP_035730946.1, XP_035730956.1, XP_035730998.1, XP_035731008.1, XP_035730984.1, XP_035730990.1, XP_035722005.1	XP_037868949.1, XP_004925223.3
OG0000139	XP_035719417.1, XP_035719753.1	XP_021208530.2, XP_004922757.1, XP_004922758.1, XP_004927864.1
OG0000140	XP_035720742.1, XP_035720741.1	XP_021202079.2
OG0000141	XP_035723074.1, XP_035723075.1, XP_035723073.1	XP_004931634.1
OG0000141	XP_035722392.1, XP_035722391.1	XP_021207972.2
OG0000143	XP_035726588.1, XP_035726587.1, XP_035726585.1, XP_035726586.1	XP_037870673.1, NP_001040254.1, XP_004927859.1
OG0000144	XP_035721338.1, XP_035721747.1	XP_021207362.2, NP_001243953.1, NP_001037590.1, XP_004931806.2, NP_001106747.2
OG0000145	XP_035739706.1, XP_035739705.1, XP_035732035.1, XP_035732034.1, XP_035732031.1, XP_035732032.1, XP_035732029.1, XP_035732030.1, XP_035732028.1, XP_035732033.1	XP_021209325.1, XP_037876916.1, XP_004923491.1
OG0000146	XP_035732991.1, XP_035732990.1, XP_035732989.1, XP_035732988.1	XP_004928716.1, XP_037871222.1, XP_004922825.1, XP_021204999.1, NP_001106739.1, NP_001106231.1
OG0000147	XP_035736865.1, XP_035736867.1, XP_035736868.1, XP_035736866.1, XP_035734708.1	XP_004933126.1
OG0000149	XP_035726837.1	XP_037875543.1
OG0000149	XP_035726846.1, XP_035726843.1, XP_035726842.1, XP_035726847.1, XP_035726845.1	XP_004924927.1, XP_004924928.1
OG0000150	XP_035733965.1, XP_035733966.1, XP_035733963.1, XP_035733964.1, XP_035733961.1, XP_035733962.1	XP_037869165.1, XP_037869166.1, XP_037869163.1, XP_037869164.1
OG0000151	XP_035735864.1, XP_035735857.1, XP_035735862.1, XP_035735863.1, XP_035735861.1, XP_035735859.1, XP_035735858.1	XP_037867739.1, XP_021208204.1, XP_021208205.1
OG0000152	XP_035722053.1	XP_021205393.1
OG0000153	XP_035727062.1	XP_037871508.1, XP_037871509.1, XP_037871510.1, XP_037871505.1
OG0000154	XP_035743057.1, XP_035743056.1	XP_037873529.1
OG0000155	XP_035724082.1, XP_035742778.1, XP_035733904.1, XP_035737499.1, XP_035737756.1, XP_035736367.1, XP_035725552.1, XP_035740255.1, XP_035725541.1	XP_037877412.1
OG0000156	XP_035723493.1	XP_021206155.2
OG0000157	XP_035732192.1, XP_035732282.1, XP_035732281.1	XP_037869375.1
OG0000158	XP_035740201.1, XP_035740054.1, XP_035740197.1, XP_035740199.1, XP_035740200.1, XP_035740198.1	XP_021204632.1
OG0000160	XP_035723999.1	XP_004925382.2
OG0000160	XP_035733330.1, XP_035733325.1, XP_035733326.1, XP_035733328.1, XP_035733329.1	XP_004925399.2, XP_004925398.1
OG0000161	XP_035719666.1, XP_035719656.1, XP_035719675.1	NP_001182393.1
OG0000162	XP_035731205.1	NP_001103389.1, XP_037868604.1
OG0000162	XP_035740246.1, XP_035740247.1	NP_001103388.1, XP_021203288.2
OG0000164	XP_035732501.1	XP_021205850.1
OG0000164	XP_035732024.1	XP_037875027.1, XP_037872511.1
OG0000165	XP_035743313.1, XP_035743321.1, XP_035743314.1, XP_035743315.1, XP_035743316.1, XP_035743317.1, XP_035743320.1, XP_035743319.1, XP_035743322.1, XP_035743323.1	XP_012547188.1, XP_021204892.1
OG0000165	XP_035734576.1	XP_012551706.2
OG0000166	XP_035717393.1, XP_035717400.1, XP_035717381.1, XP_035717387.1, XP_035717382.1, XP_035717384.1	XP_037868137.1
OG0000168	XP_035736898.1	XP_037866971.1, XP_037876295.1, XP_037867009.1, XP_037872857.1
OG0000168	XP_035731474.1	XP_037873451.1
OG0000169	XP_035729103.1, XP_035729296.1	NP_001243963.1, NP_001243962.1, NP_001243959.1, NP_001243958.1, NP_001243955.1, NP_001243956.1, NP_001243957.1, NP_001243991.1, NP_001135960.1, NP_001040425.1, NP_001243995.1, NP_001243978.1, NP_001127730.1
OG0000170	XP_035742479.1, XP_035742502.1, XP_035742492.1, XP_035742486.1	XP_004924795.2
OG0000171	XP_035741201.1, XP_035741202.1, XP_035741205.1, XP_035741206.1	NP_001296478.1, XP_037876331.1, XP_037876328.1
OG0000173	XP_035733795.1, XP_035733793.1, XP_035733794.1, XP_035733792.1	NP_001093316.1
OG0000174	XP_035731433.1	NP_001040490.1, XP_037874321.1
OG0000175	XP_035729116.1, XP_035729110.1, XP_035729111.1, XP_035729112.1, XP_035729113.1	NP_001040124.1
OG0000176	XP_035735356.1	XP_004925760.2
OG0000176	XP_035740845.1	XP_004930346.3
OG0000176	XP_035737411.1	XP_037868940.1, XP_037870006.1, XP_037876480.1, XP_037869968.1, XP_037867396.1
OG0000177	XP_035739406.1	XP_004931030.1
OG0000177	XP_035739374.1	XP_004931031.2
OG0000177	XP_035739564.1	XP_004930870.1
OG0000178	XP_035725180.1	XP_037871996.1, XP_004924483.2
OG0000179	XP_035741505.1	NP_001040172.1, XP_021206181.1
OG0000179	XP_035719102.1, XP_035719101.1	NP_001037301.1
OG0000180	XP_035743555.1, XP_035743552.1, XP_035743551.1, XP_035743554.1	XP_004930542.1
OG0000181	XP_035731090.1, XP_035731089.1, XP_035731092.1, XP_035731091.1	NP_001037380.1, XP_037871534.1
OG0000182	XP_035731858.1, XP_035731856.1, XP_035731855.1, XP_035731857.1, XP_035731854.1, XP_035731853.1, XP_035731859.1	XP_037866789.1
OG0000183	XP_035739701.1	XP_004930975.1
OG0000187	XP_035731676.1, XP_035731677.1	XP_004929301.1
OG0000189	XP_035728865.1	XP_037875495.1, XP_037875337.1
OG0000189	XP_035728855.1	XP_037875292.1, XP_037875291.1
OG0000190	XP_035728040.1, XP_035728039.1	XP_004931167.1
OG0000191	XP_035735127.1	XP_037872497.1, XP_037875388.1, XP_021208965.1, XP_021208964.2
OG0000192	XP_035718570.1, XP_035718565.1, XP_035718569.1, XP_035718568.1, XP_035718562.1, XP_035718563.1, XP_035718564.1	XP_021207317.1
OG0000195	XP_035739727.1, XP_035739726.1	NP_001037076.1, NP_001124371.1, NP_001124372.2, NP_001165396.1, XP_004922067.1, XP_004922068.1, NP_001091784.1
OG0000196	XP_035720910.1	XP_004929740.2, XP_021205898.2, XP_004929623.3, XP_021205897.2
OG0000198	XP_035723755.1	XP_037870155.1
OG0000200	XP_035719894.1, XP_035719895.1	XP_012550244.1, NP_001036841.1
OG0000200	XP_035718373.1	NP_001036881.1
OG0000201	XP_035742700.1	XP_004930370.2
OG0000202	XP_035735523.1, XP_035735525.1, XP_035735528.1, XP_035735524.1, XP_035735526.1, XP_035735527.1, XP_035735520.1, XP_035735522.1, XP_035742672.1, XP_035742669.1, XP_035742670.1	NP_001281213.1
OG0000203	XP_035739190.1	XP_004930258.2, XP_037876006.1
OG0000203	XP_035727456.1, XP_035727445.1, XP_035727495.1, XP_035727486.1, XP_035727526.1, XP_035727477.1, XP_035727505.1, XP_035727467.1, XP_035727516.1	XP_037867417.1
OG0000204	XP_035736371.1, XP_035736362.1, XP_035736353.1, XP_035736365.1, XP_035731143.1	XP_012547643.2, XP_037873174.1, XP_021205107.1, XP_004928344.1, XP_012547605.1, XP_004928345.1, XP_037873267.1
OG0000205	XP_035727194.1, XP_035727191.1, XP_035727193.1	NP_001243944.1
OG0000206	XP_035731791.1	XP_004924015.1
OG0000206	XP_035731805.1	XP_004922930.2
OG0000207	XP_035718709.1	NP_001037594.1
OG0000207	XP_035726226.1, XP_035726227.1	NP_001091793.1, XP_004930513.3
OG0000208	XP_035726225.1	XP_037869032.1, NP_001103395.1
OG0000209	XP_035728112.1	XP_037869646.1, XP_004932917.2, XP_037869645.1, XP_012551601.2, XP_012551602.2, XP_012551603.2
OG0000210	XP_035733688.1, XP_035732804.1	XP_012544085.3
OG0000210	XP_035723457.1	XP_037866888.1, XP_037866887.1
OG0000212	XP_035737335.1, XP_035737458.1	XP_037869182.1, NP_001106228.1
OG0000213	XP_035723104.1	XP_004922013.1
OG0000214	XP_035723354.1, XP_035723352.1, XP_035723353.1, XP_035723355.1	NP_001040475.1
OG0000214	XP_035741447.1, XP_035741444.1	NP_001040198.1, XP_037870587.1
OG0000215	XP_035724895.1, XP_035724894.1, XP_035724898.1, XP_035724897.1	XP_037866848.1, XP_004930044.1
OG0000216	XP_035724451.1	NP_001108343.1
OG0000217	XP_035740471.1	XP_021203021.2, XP_012548700.2, XP_004933855.2, XP_037870903.1
OG0000218	XP_035726856.1	XP_004930688.1
OG0000219	XP_035741255.1, XP_035741253.1, XP_035741259.1, XP_035741260.1, XP_035741251.1, XP_035741257.1, XP_035741254.1, XP_035741252.1, XP_035741256.1	XP_004931785.1
OG0000221	XP_035721735.1	XP_037867521.1, XP_021207573.1, XP_021207493.1, XP_004922691.2, XP_012551723.1, XP_012551720.1, XP_004922638.1, XP_037871234.1, XP_037877580.1, XP_037872846.1, XP_037877505.1, XP_037872849.1, XP_037872848.1, XP_037877503.1, XP_037877504.1, XP_037877506.1, XP_037877501.1, XP_037877502.1, XP_037872850.1, XP_037877579.1, XP_037877510.1, XP_037877561.1, XP_037877562.1
OG0000223	XP_035733807.1	NP_001037450.1, NP_001128672.1, XP_012550372.1, NP_001036840.1
OG0000224	XP_035739815.1, XP_035739812.1, XP_035739813.1, XP_035739814.1	XP_012545493.1, NP_001036891.1
OG0000225	XP_035734246.1, XP_035734248.1, XP_035742936.1	NP_001040252.1
OG0000227	XP_035735426.1	XP_012550182.2, XP_004931163.3, XP_012550180.2
OG0000228	XP_035731235.1	XP_037869231.1
OG0000229	XP_035730748.1, XP_035730749.1, XP_035731006.1, XP_035731009.1	XP_004928517.1, XP_012547831.1
OG0000230	XP_035733979.1, XP_035733977.1, XP_035733980.1, XP_035733976.1	XP_021208331.1, XP_004933333.1
OG0000231	XP_035738625.1, XP_035738626.1, XP_035738627.1	XP_037871854.1, XP_037877315.1
OG0000232	XP_035727361.1, XP_035727359.1, XP_035727360.1	XP_012546482.1, NP_001040472.1
OG0000233	XP_035718297.1	XP_004928912.1, XP_004928913.2
OG0000235	XP_035729544.1, XP_035729549.1, XP_035729541.1	XP_037877778.1, XP_012548383.2, XP_037877767.1, XP_037877779.1
OG0000236	XP_035735169.1	NP_001036882.1, XP_037871515.1, XP_037871704.1, XP_021205252.2
OG0000237	XP_035740253.1	XP_004931804.1
OG0000237	XP_035740306.1	XP_037875185.1
