Orthogroup	Vespa_mandarinia	Acyrthosiphon_pisum
OG0000080	XP_035724002.1	XP_001952817.1, XP_003241505.1
OG0000080	XP_035722996.1	XP_003240094.1
OG0000081	XP_035739549.1, XP_035739551.1, XP_035739552.1, XP_035739548.1, XP_035739553.1	XP_016660637.1, XP_003245950.2
OG0000084	XP_035738869.1, XP_035738870.1, XP_035739145.1	NP_001155431.1
OG0000085	XP_035734061.1, XP_035734059.1, XP_035734060.1, XP_035734062.1, XP_035737189.1	XP_029346873.1, XP_008179773.1, XP_001948387.1, XP_029346867.1, XP_029346870.1
OG0000086	XP_035718518.1	NP_001155379.1, XP_016661052.1, XP_016662788.2, XP_001951510.1, NP_001155766.1, XP_008182375.2, XP_016663261.1
OG0000086	XP_035737219.1, XP_035737220.1	XP_001950197.2
OG0000087	XP_035734892.1, XP_035735028.1	NP_001155638.1, XP_001944024.1, XP_016657705.1, XP_001945443.2, XP_001948828.1, XP_001950581.2
OG0000088	XP_035718097.1	XP_003247935.1, XP_016663969.1, XP_016664063.1, XP_029342933.1, XP_029348307.1, XP_029346584.1, XP_016661857.1, XP_016662464.2, XP_029342768.1, XP_029341200.1, XP_029346291.1, XP_008188258.2, XP_008179322.1, XP_029346118.1, XP_029346119.1, XP_029346120.1, XP_029346121.1, XP_029346122.1, XP_016664219.1, XP_016664222.1, XP_016664209.1, XP_016664208.1, XP_029346156.1, XP_016663761.1, XP_029342099.1, XP_008187921.2, XP_029341624.1, XP_029341315.1, XP_029341386.1, XP_008181127.1, XP_008186422.2, XP_029346035.1, XP_008186424.1, XP_016658637.1, XP_029341383.1, XP_029345190.1, XP_001947287.2, XP_029341316.1, XP_029341314.1, XP_016658366.2, XP_008181140.1, XP_016658368.2, XP_029348141.1, XP_016665001.1, XP_016658431.1, XP_029345338.1, XP_029341201.1, XP_029347594.1, XP_029342066.1, XP_029342299.1, XP_029343860.1, XP_008188293.1, XP_001951370.3, XP_016659573.1, XP_029344713.1, XP_029348332.1, XP_029344714.1, XP_008183072.2, XP_016658234.1, XP_029341287.1, XP_016658035.1, XP_016658036.1, XP_008180744.1, XP_003242965.1, XP_016657562.1, XP_016658130.1, XP_016657237.1, XP_008186058.1, XP_016662378.1, XP_001943952.3, XP_029345667.1
OG0000091	XP_035743855.1	XP_001950393.1, XP_001950205.1, NP_001155602.1, XP_008178940.1, XP_008178955.1, XP_001950277.2, NP_001156567.1, NP_001156102.2
OG0000092	XP_035729950.1, XP_035719716.1, XP_035719715.1, XP_035719719.1, XP_035718227.1	XP_001947820.1
OG0000094	XP_035742083.1, XP_035735320.1, XP_035735319.1, XP_035735318.1, XP_035729864.1	XP_001948596.2
OG0000097	XP_035742312.1, XP_035742314.1, XP_035742313.1, XP_035739103.1, XP_035739101.1, XP_035739102.1, XP_035736455.1, XP_035736447.1	XP_001948740.2, XP_008182369.1, XP_029347936.1
OG0000098	XP_035733072.1, XP_035733137.1	NP_001153821.1, XP_008189785.1
OG0000099	XP_035723282.1, XP_035723292.1, XP_035723300.1	XP_001945365.2
OG0000099	XP_035721767.1	XP_001945213.1
OG0000099	XP_035729911.1	XP_001951744.1
OG0000100	XP_035731312.1, XP_035731311.1, XP_035731307.1, XP_035731310.1, XP_035731309.1	XP_001944985.1
OG0000101	XP_035724161.1	XP_001950980.2, XP_001945570.2
OG0000101	XP_035724180.1	XP_001952301.1
OG0000102	XP_035722712.1, XP_035722713.1	XP_001946994.2
OG0000103	XP_035729002.1, XP_035728999.1, XP_035729084.1, XP_035729085.1, XP_035729086.1, XP_035729088.1	XP_003248994.1, XP_003243120.1
OG0000104	XP_035731252.1	XP_008181757.1, XP_008181533.1, XP_029342106.1, XP_016658006.1, XP_008178655.1, XP_008179320.1, XP_008181446.1, XP_029342761.1, XP_008180847.1, XP_029340938.1, XP_008178518.1, XP_008181591.1, XP_029341027.1, XP_003243695.1, XP_008178185.1, XP_029340942.1, XP_008181905.1, XP_008179458.1, XP_008183016.1, XP_016659447.1, XP_008181534.1, XP_003248346.1, XP_029348373.1, XP_008179041.1, XP_029344207.1, XP_008178312.1, XP_029348267.1, XP_029341870.1, XP_008181820.1, XP_008178936.1, XP_003248303.1
OG0000104	XP_035724084.1	XP_008184880.1
OG0000108	XP_035729960.1	XP_029345815.1
OG0000108	XP_035729104.1, XP_035729105.1	XP_001946492.1, XP_029345668.1, XP_016661558.1, XP_016661557.1, XP_001952406.2
OG0000109	XP_035733082.1, XP_035733090.1, XP_035733088.1, XP_035733089.1, XP_035733086.1, XP_035733087.1, XP_035733084.1, XP_035733085.1, XP_035733092.1, XP_035733093.1, XP_035733091.1	XP_001947883.2
OG0000112	XP_035719175.1, XP_035719174.1, XP_035719177.1, XP_035719176.1, XP_035719171.1, XP_035719172.1, XP_035730834.1, XP_035730827.1, XP_035730828.1, XP_035730829.1, XP_035730830.1, XP_035730831.1, XP_035730832.1, XP_035730833.1	XP_001944328.2
OG0000113	XP_035724028.1, XP_035725454.1	XP_001945521.1, XP_008179297.1, XP_003245917.1, XP_029344235.1, XP_029344236.1
OG0000115	XP_035719374.1, XP_035728117.1	XP_001952040.2, NP_001156113.1, NP_001280393.1, XP_008184829.1, NP_001313601.1, XP_016662440.1, NP_001156063.1
OG0000117	XP_035721151.1	XP_001947242.1
OG0000117	XP_035728960.1	XP_001945228.1
OG0000119	XP_035728103.1, XP_035728091.1, XP_035728092.1, XP_035728099.1, XP_035728090.1, XP_035728088.1	XP_001950896.2, XP_001946809.2
OG0000120	XP_035743508.1	XP_008183102.1, XP_008183682.2, XP_001946812.2, XP_016660349.1
OG0000122	XP_035742190.1	XP_029345164.1
OG0000122	XP_035738975.1, XP_035738980.1	XP_029345159.1, XP_001942872.1
OG0000123	XP_035725246.1, XP_035725252.1	XP_001944241.1
OG0000124	XP_035724659.1	XP_001946145.1, XP_029344203.1, XP_016657907.1, XP_003240297.1
OG0000125	XP_035743368.1, XP_035743367.1	XP_029343174.1, XP_029343175.1
OG0000126	XP_035731654.1, XP_035731655.1, XP_035731651.1, XP_035731652.1, XP_035731657.1, XP_035731656.1, XP_035731659.1, XP_035731653.1, XP_035731650.1	XP_029344350.1
OG0000127	XP_035718002.1, XP_035726611.1, XP_035726612.1, XP_035720274.1	XP_008184238.2, XP_008185467.1, XP_008185468.2, XP_001944157.3, XP_001947156.2
OG0000127	XP_035726374.1	XP_016661891.1
OG0000129	XP_035741994.1, XP_035741995.1	XP_029342557.1, XP_003243980.1, XP_008182280.1
OG0000130	XP_035721963.1, XP_035721970.1, XP_035721971.1, XP_035721969.1, XP_035721972.1	XP_008188212.1
OG0000130	XP_035721444.1	XP_029347188.1
OG0000131	XP_035742296.1	NP_001119635.1
OG0000131	XP_035733339.1, XP_035733338.1	XP_001944342.1, NP_001280296.1
OG0000132	XP_035721782.1, XP_035721781.1, XP_035732604.1	XP_001944867.2, XP_008188761.1
OG0000133	XP_035741242.1, XP_035729059.1, XP_035729055.1	XP_001947717.2, XP_029346829.1
OG0000134	XP_035740651.1	XP_008179309.1, XP_016661614.1, XP_008184229.1, XP_003240649.1, XP_003244810.1, XP_016660817.1, XP_029344030.1, XP_008187410.1, XP_016656058.1
OG0000135	XP_035717163.1, XP_035725594.1	XP_008183617.1, XP_016660307.1, XP_008183620.1, XP_008183619.1, XP_016660306.1, XP_029348611.1
OG0000137	XP_035738396.1, XP_035732267.1	XP_029345533.1, XP_029345535.1, XP_029345534.1, XP_001949204.1, XP_008183005.1, XP_008183006.1, XP_001951358.1, XP_001943488.1
OG0000138	XP_035730963.1, XP_035730973.1, XP_035730946.1, XP_035730956.1, XP_035730998.1, XP_035731008.1, XP_035730984.1, XP_035730990.1, XP_035722005.1	XP_029344015.1, XP_029344014.1, XP_029344016.1, XP_001948700.2
OG0000139	XP_035719417.1, XP_035719753.1	XP_001949990.1
OG0000140	XP_035720742.1, XP_035720741.1	XP_001950680.1, XP_029341066.1, XP_003245538.1, XP_003244834.1
OG0000141	XP_035723074.1, XP_035723075.1, XP_035723073.1, XP_035722354.1, XP_035722355.1, XP_035722392.1, XP_035722391.1	XP_029343859.1
OG0000143	XP_035726588.1, XP_035726587.1, XP_035726585.1, XP_035726586.1	XP_008183821.1, XP_001945042.2
OG0000146	XP_035732991.1, XP_035732990.1, XP_035732989.1, XP_035732988.1	NP_001119627.1
OG0000147	XP_035736865.1, XP_035736867.1, XP_035736868.1, XP_035736866.1, XP_035734708.1	NP_001119678.1
OG0000149	XP_035726837.1	NP_001233210.1, XP_008189229.1
OG0000149	XP_035726846.1, XP_035726843.1, XP_035726842.1, XP_035726847.1, XP_035726845.1	XP_001945852.2
OG0000150	XP_035733965.1, XP_035733966.1, XP_035733963.1, XP_035733964.1, XP_035733961.1, XP_035733962.1	XP_003241608.1, XP_001943456.1, XP_008178725.1, XP_008178726.1
OG0000151	XP_035735864.1, XP_035735857.1, XP_035735862.1, XP_035735863.1, XP_035735861.1, XP_035735859.1, XP_035735858.1	NP_001232992.1
OG0000152	XP_035722053.1	XP_001950609.1
OG0000153	XP_035727062.1	XP_001952790.2
OG0000154	XP_035743057.1, XP_035743056.1	XP_029348690.1, XP_029346266.1, XP_016657976.1, XP_029348689.1
OG0000155	XP_035724082.1, XP_035742778.1, XP_035733904.1, XP_035737499.1, XP_035737756.1, XP_035736367.1, XP_035725552.1, XP_035740255.1, XP_035725541.1	XP_029348437.1, XP_016656063.1, XP_016662687.1, XP_008181355.1, XP_016662187.1
OG0000156	XP_035723493.1	XP_016659611.1
OG0000160	XP_035723999.1	XP_001951963.1
OG0000160	XP_035733330.1, XP_035733325.1, XP_035733326.1, XP_035733328.1, XP_035733329.1	XP_008184790.2, NP_001280442.1, XP_001944828.2, XP_001944881.1, XP_029342333.1, NP_001280272.1, NP_001233238.1, XP_008184532.1, XP_029342331.1, NP_001280469.1, XP_029341215.1
OG0000161	XP_035719666.1, XP_035719656.1, XP_035719675.1	XP_001950765.1
OG0000162	XP_035731205.1	XP_029346510.1
OG0000162	XP_035740246.1, XP_035740247.1	XP_016657938.1, XP_008180629.1
OG0000164	XP_035732501.1, XP_035732024.1	XP_016661577.1
OG0000165	XP_035743313.1, XP_035743321.1, XP_035743314.1, XP_035743315.1, XP_035743316.1, XP_035743317.1, XP_035743320.1, XP_035743319.1, XP_035743322.1, XP_035743323.1	XP_029343832.1
OG0000165	XP_035734576.1	XP_029343481.1
OG0000166	XP_035717393.1, XP_035717400.1, XP_035717381.1, XP_035717387.1, XP_035717382.1, XP_035717384.1	XP_029347644.1, XP_029347638.1, XP_029347646.1
OG0000168	XP_035736898.1	XP_001951684.4, XP_003248836.2
OG0000168	XP_035731474.1	XP_001942542.1, XP_008186133.1
OG0000169	XP_035729103.1, XP_035729296.1	XP_016663900.2, XP_001944382.3
OG0000170	XP_035742479.1, XP_035742502.1, XP_035742492.1, XP_035742486.1	XP_029343183.1
OG0000171	XP_035741201.1, XP_035741202.1, XP_035741205.1, XP_035741206.1	XP_029345553.1
OG0000173	XP_035733795.1, XP_035733793.1, XP_035733794.1, XP_035733792.1	NP_001233019.1
OG0000174	XP_035731433.1	XP_008185372.1, XP_008189584.3, XP_008183684.1, XP_001944323.1, XP_008186867.1, XP_029343098.1, XP_029343097.1
OG0000175	XP_035729116.1, XP_035729110.1, XP_035729111.1, XP_035729112.1, XP_035729113.1	XP_029344556.1, XP_001951192.1
OG0000176	XP_035735356.1	XP_016657241.2, XP_029347801.1
OG0000176	XP_035737883.1	XP_008179367.1
OG0000176	XP_035740845.1	XP_029343812.1, XP_029345679.1
OG0000177	XP_035739406.1	XP_016657898.1, XP_008180564.2
OG0000177	XP_035739374.1, XP_035739564.1	XP_001952775.1
OG0000179	XP_035741505.1	XP_003240433.1
OG0000179	XP_035719102.1, XP_035719101.1	NP_001155435.1, NP_001280333.1
OG0000180	XP_035743555.1, XP_035743552.1, XP_035743551.1, XP_035743554.1	NP_001232980.1
OG0000181	XP_035731090.1, XP_035731089.1, XP_035731092.1, XP_035731091.1	XP_029343194.1, XP_001948653.1
OG0000182	XP_035731858.1, XP_035731856.1, XP_035731855.1, XP_035731857.1, XP_035731854.1, XP_035731853.1, XP_035731859.1	XP_003241873.1
OG0000183	XP_035738622.1, XP_035738621.1, XP_035738620.1, XP_035738623.1, XP_035739701.1	XP_016663191.1, XP_016662030.1
OG0000185	XP_035733203.1, XP_035733201.1, XP_035733205.1, XP_035733204.1, XP_035733207.1, XP_035733206.1, XP_035733199.1, XP_035733200.1	XP_029344304.1
OG0000188	XP_035731793.1	XP_029344969.1, XP_029345698.1
OG0000189	XP_035728865.1	XP_008180383.1
OG0000189	XP_035728855.1	XP_029345137.1, XP_008180387.1, XP_029345828.1
OG0000190	XP_035728040.1, XP_035728039.1	XP_008187339.1
OG0000191	XP_035735127.1	XP_029346818.1, XP_016659446.1, XP_029346152.1, XP_029344343.1, XP_029342439.1
OG0000192	XP_035718570.1, XP_035718565.1, XP_035718569.1, XP_035718568.1, XP_035718562.1, XP_035718563.1, XP_035718564.1	XP_029345853.1
OG0000196	XP_035720910.1	XP_003248273.1, XP_008188605.1, XP_029347409.1, XP_029347413.1
OG0000198	XP_035723755.1	XP_003240145.1, XP_016656873.1
OG0000200	XP_035719894.1, XP_035719895.1	XP_001949978.1
OG0000200	XP_035718373.1	XP_008182512.1
OG0000201	XP_035742700.1	XP_001951690.2
OG0000202	XP_035735523.1, XP_035735525.1, XP_035735528.1, XP_035735524.1, XP_035735526.1, XP_035735527.1, XP_035735520.1, XP_035735522.1	XP_003246184.1, XP_016661945.1
OG0000202	XP_035742672.1, XP_035742669.1, XP_035742670.1	XP_001944687.1
OG0000203	XP_035739190.1, XP_035727456.1, XP_035727445.1, XP_035727495.1, XP_035727486.1, XP_035727526.1, XP_035727477.1, XP_035727505.1, XP_035727467.1, XP_035727516.1	XP_016662444.1, XP_001947661.2, XP_001949662.1, XP_029342520.1, XP_001947565.2
OG0000204	XP_035736371.1, XP_035736362.1, XP_035736353.1, XP_035736365.1, XP_035731143.1	XP_003243588.1, XP_001948363.2
OG0000205	XP_035727194.1, XP_035727191.1, XP_035727193.1	XP_016660231.1, XP_029344431.1, XP_029344430.1, XP_003244837.1
OG0000207	XP_035718709.1	NP_001155712.1
OG0000207	XP_035726226.1, XP_035726227.1	NP_001192033.1, XP_001942674.1
OG0000208	XP_035726225.1, XP_035721855.1	XP_001950788.1
OG0000209	XP_035728112.1	XP_008183529.1
OG0000212	XP_035737335.1, XP_035737458.1	NP_001232971.1, XP_008179391.1
OG0000213	XP_035723104.1	XP_001945623.2, NP_001280334.1
OG0000214	XP_035723354.1, XP_035723352.1, XP_035723353.1, XP_035723355.1	XP_001945750.1
OG0000214	XP_035741447.1, XP_035741444.1	XP_008186309.1, XP_008186310.1, XP_008186312.3
OG0000215	XP_035724895.1, XP_035724894.1, XP_035724898.1, XP_035724897.1	XP_001949004.1, XP_016656471.1, XP_003241622.1
OG0000216	XP_035724451.1	XP_029341236.1, XP_029347825.1, XP_001952110.2
OG0000217	XP_035740471.1	XP_001952229.3, XP_008178352.2
OG0000218	XP_035726856.1	XP_008186264.1
OG0000223	XP_035733807.1, XP_035722636.1	XP_001944473.2, XP_029342159.1
OG0000224	XP_035739815.1, XP_035739812.1, XP_035739813.1, XP_035739814.1	XP_003247330.1, XP_001945322.1, XP_016656052.1, XP_029346604.1, XP_001950045.2
OG0000225	XP_035734246.1, XP_035734248.1, XP_035742936.1	XP_008183136.1, XP_001946333.2, XP_016659881.1
OG0000227	XP_035735426.1	XP_003245308.1, XP_008184764.2
OG0000228	XP_035731235.1	XP_029341222.1, XP_016657354.1
OG0000229	XP_035730748.1, XP_035730749.1, XP_035731006.1, XP_035731009.1	XP_029341397.1, XP_016661667.1, XP_016661666.1, XP_016661665.1, XP_016661664.1, XP_016661668.1, XP_008187110.1, NP_001233057.1
OG0000230	XP_035733979.1, XP_035733977.1, XP_035733980.1, XP_035733976.1	XP_016661982.1, XP_016661983.1, XP_016661984.1, XP_001943037.1
OG0000231	XP_035738625.1, XP_035738626.1, XP_035738627.1	XP_001946956.2, XP_001948201.2
OG0000232	XP_035727361.1, XP_035727359.1, XP_035727360.1	XP_001947878.1, XP_029346471.1
OG0000233	XP_035718297.1	XP_001947951.2, XP_029343172.1
OG0000234	XP_035726727.1	XP_001948143.1
OG0000235	XP_035729544.1, XP_035729549.1, XP_035729541.1	XP_001952457.1, XP_016662192.1
OG0000236	XP_035735169.1, XP_035735167.1	XP_016661843.1, XP_008185403.1
OG0000237	XP_035727295.1, XP_035740253.1, XP_035740306.1	XP_008186243.2, XP_029346011.1
OG0000242	XP_035723091.1, XP_035742763.1, XP_035742764.1, XP_035727376.1, XP_035727388.1, XP_035742921.1	XP_016662935.1, XP_001952439.2, XP_029342720.1, XP_001951034.3, XP_029348454.1, NP_001352059.1, XP_016656341.1, NP_001352061.1, XP_001944051.2, XP_016655899.1, XP_029343853.1, XP_016664232.1
