Orthogroup	Vespa_mandarinia	Drosophila_melanogaster
OG0000027	XP_035725928.1	NP_001027352.1, NP_001027357.1, NP_001027362.1, NP_001027382.1
OG0000027	XP_035725929.1	NP_001027332.1
OG0000029	XP_035732363.1, XP_035732348.1	NP_647872.1, NP_650813.2
OG0000029	XP_035732367.1, XP_035732349.1	NP_647875.1, NP_647873.2
OG0000032	XP_035723151.1	NP_609175.2
OG0000032	XP_035735826.1	NP_611166.2
OG0000032	XP_035730167.1	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1, NP_651403.1
OG0000035	XP_035731371.1	NP_001285591.1, NP_609909.1, NP_609911.1, NP_001246082.2
OG0000037	XP_035725074.1	NP_001137869.1, NP_648209.1, NP_001262052.1, NP_001261293.1, NP_001097547.1, NP_649120.1, NP_649121.1
OG0000038	XP_035735001.1, XP_035735000.1	NP_476772.1, NP_524264.1
OG0000038	XP_035739586.1	NP_650674.1
OG0000038	XP_035734959.1	NP_524297.1
OG0000040	XP_035742485.1, XP_035725216.1	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1
OG0000041	XP_035743035.1	NP_523625.1, NP_001014725.1
OG0000041	XP_035742718.1, XP_035742717.1	NP_001262200.1
OG0000042	XP_035732212.1	NP_731781.1
OG0000043	XP_035731122.1	NP_001286870.1
OG0000044	XP_035717273.1, XP_035744089.1, XP_035744088.1	NP_732652.1, NP_001303538.1, NP_650979.1
OG0000045	XP_035720478.1, XP_035720481.1, XP_035720479.1, XP_035731034.1, XP_035731019.1, XP_035720482.1	NP_001188791.2, NP_609522.1, NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2
OG0000046	XP_035742705.1	NP_001285139.1
OG0000046	XP_035722173.1	NP_524474.1, NP_650209.1, NP_788663.1, NP_524927.2, NP_731716.1, NP_731651.1, NP_524798.2
OG0000046	XP_035734549.1, XP_035728851.1, XP_035728840.1	NP_001262586.1
OG0000050	XP_035737134.1, XP_035737133.1, XP_035737132.1, XP_035737155.1, XP_035737128.1, XP_035718383.1	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1, NP_001287487.1
OG0000052	XP_035730522.1, XP_035729830.1, XP_035729829.1, XP_035729805.1	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2
OG0000052	XP_035743009.1, XP_035743008.1	NP_652665.3, NP_609664.1, NP_620115.2
OG0000054	XP_035724099.1, XP_035724441.1	NP_477282.2, NP_729146.1, NP_729147.1
OG0000055	XP_035726348.1, XP_035726347.1	NP_001284925.1
OG0000055	XP_035720014.1	NP_650904.3
OG0000056	XP_035726130.1, XP_035718477.1	NP_001369131.1
OG0000056	XP_035728622.1	NP_647937.2
OG0000056	XP_035729096.1	NP_995958.2
OG0000057	XP_035721261.1, XP_035734267.1, XP_035734266.1	NP_524290.2
OG0000057	XP_035734264.1	NP_523842.2
OG0000057	XP_035734268.1	NP_729172.1
OG0000060	XP_035730103.1	NP_650848.1
OG0000060	XP_035738199.1, XP_035738201.1, XP_035738202.1	NP_001163168.1
OG0000061	XP_035724328.1	NP_001097692.1
OG0000061	XP_035721661.1, XP_035721662.1, XP_035721660.1, XP_035721465.1	NP_648605.1, NP_536732.1, NP_523675.1, NP_611234.1
OG0000062	XP_035737336.1	NP_001261156.1
OG0000067	XP_035734988.1	NP_001284994.1
OG0000067	XP_035718759.1	NP_524243.2, NP_572330.2
OG0000067	XP_035729165.1, XP_035729166.1	NP_001261491.1
OG0000077	XP_035738027.1	NP_001137778.2, NP_001259986.1
OG0000077	XP_035722352.1, XP_035740324.1, XP_035742569.1, XP_035742630.1, XP_035738069.1	NP_001015405.3
OG0000080	XP_035724002.1	NP_001262255.1
OG0000080	XP_035722996.1	NP_001262254.1
OG0000082	XP_035733049.1, XP_035733058.1, XP_035733057.1, XP_035733059.1	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2, NP_609726.1, NP_572219.1
OG0000085	XP_035734061.1, XP_035734059.1, XP_035734060.1, XP_035734062.1, XP_035737189.1	NP_651221.1
OG0000086	XP_035718518.1	NP_651662.1, NP_651661.1, NP_001287578.1, NP_611736.1, NP_001033953.1
OG0000086	XP_035737219.1, XP_035737220.1	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1
OG0000087	XP_035734892.1	NP_001261716.1
OG0000087	XP_035735028.1	NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1
OG0000088	XP_035718097.1	NP_476589.4
OG0000089	XP_035732042.1	NP_001162840.1, NP_001259800.1
OG0000091	XP_035743855.1	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2
OG0000092	XP_035729950.1, XP_035719716.1, XP_035719715.1, XP_035719719.1, XP_035718227.1	NP_001262592.1
OG0000094	XP_035729864.1	NP_001284983.1, NP_651446.2, NP_650069.2
OG0000096	XP_035735801.1	NP_726022.1, NP_001246550.1
OG0000096	XP_035724668.1, XP_035724666.1	NP_611542.2
OG0000097	XP_035742312.1, XP_035742314.1, XP_035742313.1, XP_035739103.1, XP_035739101.1, XP_035739102.1, XP_035736455.1, XP_035736447.1	NP_524611.1
OG0000098	XP_035733072.1, XP_035733137.1	NP_001260487.1
OG0000099	XP_035723282.1, XP_035723292.1, XP_035723300.1	NP_608954.1
OG0000099	XP_035721767.1	NP_001034071.1
OG0000099	XP_035729911.1	NP_651628.1
OG0000100	XP_035731312.1, XP_035731311.1, XP_035731307.1, XP_035731310.1, XP_035731309.1	NP_001262908.1, NP_001262907.1
OG0000101	XP_035724161.1	NP_001286204.1, NP_610403.1, NP_609640.1
OG0000101	XP_035724180.1	NP_001285802.1, NP_001015212.1
OG0000102	XP_035722712.1, XP_035722713.1	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2
OG0000103	XP_035728991.1	NP_001303368.1
OG0000108	XP_035729104.1, XP_035729105.1	NP_648918.1
OG0000109	XP_035733082.1, XP_035733090.1, XP_035733088.1, XP_035733089.1, XP_035733086.1, XP_035733087.1, XP_035733084.1, XP_035733085.1, XP_035733092.1, XP_035733093.1, XP_035733091.1	NP_648392.1, NP_001245736.1
OG0000110	XP_035727648.1, XP_035727647.1, XP_035738900.1	NP_788521.2, NP_729246.2, NP_729014.1
OG0000111	XP_035719146.1	NP_650264.1
OG0000112	XP_035730834.1, XP_035730827.1, XP_035730828.1, XP_035730829.1, XP_035730830.1, XP_035730831.1, XP_035730832.1, XP_035730833.1	NP_001369123.1
OG0000113	XP_035724028.1, XP_035725454.1	NP_650037.2, NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2, NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1, NP_649688.1
OG0000115	XP_035719374.1, XP_035728117.1	NP_001261040.1
OG0000117	XP_035721151.1	NP_001286115.1
OG0000117	XP_035728960.1	NP_001262809.1
OG0000120	XP_035743508.1	NP_001260010.1, NP_001162947.1
OG0000122	XP_035742190.1	NP_001287102.1, NP_001163462.1, NP_649023.1
OG0000122	XP_035722129.1	NP_610807.3
OG0000123	XP_035725246.1, XP_035725252.1	NP_001259925.1
OG0000124	XP_035724659.1	NP_001260435.1, NP_001245746.1
OG0000125	XP_035743368.1, XP_035743367.1	NP_651172.1, NP_001097888.1
OG0000126	XP_035731654.1, XP_035731655.1, XP_035731651.1, XP_035731652.1, XP_035731657.1, XP_035731656.1, XP_035731659.1, XP_035731653.1, XP_035731650.1	NP_477498.1, NP_996167.1
OG0000127	XP_035718002.1, XP_035726611.1, XP_035726612.1, XP_035720274.1	NP_001261916.1
OG0000127	XP_035726374.1	NP_477127.1
OG0000129	XP_035741994.1, XP_035741995.1	NP_001188842.2
OG0000130	XP_035721963.1, XP_035721970.1, XP_035721971.1, XP_035721969.1, XP_035721972.1	NP_723165.2
OG0000130	XP_035721444.1	NP_001014474.3
OG0000131	XP_035742296.1	NP_001259087.1
OG0000131	XP_035733339.1, XP_035733338.1	NP_001097667.1
OG0000132	XP_035721782.1, XP_035721781.1	NP_001245934.1, NP_001137808.1, NP_609121.2
OG0000132	XP_035732604.1	NP_001245823.1, NP_724088.2, NP_724087.1
OG0000133	XP_035741242.1	NP_001368939.1
OG0000134	XP_035740651.1	NP_525003.2
OG0000135	XP_035717163.1	NP_001286904.1
OG0000135	XP_035725594.1	NP_524655.1
OG0000136	XP_035728633.1, XP_035728680.1, XP_035728635.1, XP_035728634.1	NP_611126.1, NP_611131.2, NP_001285647.1, NP_001097337.1
OG0000137	XP_035738396.1, XP_035732267.1	NP_727460.1, NP_611465.2
OG0000138	XP_035730963.1, XP_035730973.1, XP_035730946.1, XP_035730956.1, XP_035730998.1, XP_035731008.1, XP_035730984.1, XP_035730990.1, XP_035722005.1	NP_001036303.2
OG0000139	XP_035719417.1, XP_035719753.1	NP_651882.1
OG0000141	XP_035723074.1, XP_035723075.1, XP_035723073.1	NP_001287037.1
OG0000141	XP_035722354.1, XP_035722355.1	NP_651471.2
OG0000141	XP_035722392.1, XP_035722391.1	NP_724101.4
OG0000143	XP_035726588.1, XP_035726587.1, XP_035726585.1, XP_035726586.1	NP_001259687.1
OG0000144	XP_035721338.1, XP_035721747.1	NP_001287042.1, NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1
OG0000145	XP_035739706.1, XP_035739705.1, XP_035732035.1, XP_035732034.1, XP_035732031.1, XP_035732032.1, XP_035732029.1, XP_035732030.1, XP_035732028.1, XP_035732033.1	NP_651930.2
OG0000146	XP_035732991.1, XP_035732990.1, XP_035732989.1, XP_035732988.1	NP_648843.1, NP_572304.5
OG0000147	XP_035736865.1, XP_035736867.1, XP_035736868.1, XP_035736866.1, XP_035734708.1	NP_001245762.1
OG0000149	XP_035726837.1	NP_648425.1
OG0000149	XP_035726846.1, XP_035726843.1, XP_035726842.1, XP_035726847.1, XP_035726845.1	NP_647686.1
OG0000150	XP_035733965.1, XP_035733966.1, XP_035733963.1, XP_035733964.1, XP_035733961.1, XP_035733962.1	NP_001246198.1
OG0000151	XP_035735864.1, XP_035735857.1, XP_035735862.1, XP_035735863.1, XP_035735861.1, XP_035735859.1, XP_035735858.1	NP_001287124.1
OG0000152	XP_035722053.1	NP_001260743.1
OG0000153	XP_035727062.1	NP_001261584.1
OG0000154	XP_035743057.1, XP_035743056.1	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1
OG0000156	XP_035723493.1	NP_647767.1
OG0000157	XP_035732192.1, XP_035732282.1, XP_035732281.1	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1
OG0000158	XP_035740201.1, XP_035740054.1, XP_035740197.1, XP_035740199.1, XP_035740200.1, XP_035740198.1	NP_648354.1
OG0000160	XP_035723999.1	NP_001034016.1, NP_649019.2
OG0000160	XP_035733330.1, XP_035733325.1, XP_035733326.1, XP_035733328.1, XP_035733329.1	NP_649428.1
OG0000161	XP_035719666.1, XP_035719656.1, XP_035719675.1	NP_001261749.1, NP_788501.1
OG0000162	XP_035731205.1	NP_001097669.2
OG0000162	XP_035740246.1, XP_035740247.1	NP_001262916.1
OG0000164	XP_035732501.1	NP_647962.1
OG0000164	XP_035732024.1	NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1
OG0000165	XP_035743313.1, XP_035743321.1, XP_035743314.1, XP_035743315.1, XP_035743316.1, XP_035743317.1, XP_035743320.1, XP_035743319.1, XP_035743322.1, XP_035743323.1	NP_001245593.1
OG0000165	XP_035734576.1	NP_001284986.1
OG0000166	XP_035717393.1, XP_035717400.1, XP_035717381.1, XP_035717387.1, XP_035717382.1, XP_035717384.1	NP_001097498.1
OG0000168	XP_035736898.1	NP_996226.2
OG0000168	XP_035731474.1	NP_001261571.1, NP_001246162.1
OG0000171	XP_035741201.1, XP_035741202.1, XP_035741205.1, XP_035741206.1	NP_609310.2, NP_609309.1
OG0000173	XP_035733795.1, XP_035733793.1, XP_035733794.1, XP_035733792.1	NP_001247239.1
OG0000174	XP_035731433.1	NP_725682.2, NP_001286533.1, NP_611218.1
OG0000175	XP_035729116.1, XP_035729110.1, XP_035729111.1, XP_035729112.1, XP_035729113.1	NP_001163218.1
OG0000177	XP_035739406.1	NP_001261827.1
OG0000177	XP_035739374.1	NP_001261829.1
OG0000177	XP_035739564.1	NP_001261830.1
OG0000178	XP_035725180.1	NP_001356914.1
OG0000179	XP_035719102.1, XP_035719101.1	NP_523366.2, NP_648697.1
OG0000180	XP_035743555.1, XP_035743552.1, XP_035743551.1, XP_035743554.1	NP_001027161.1
OG0000182	XP_035731858.1, XP_035731856.1, XP_035731855.1, XP_035731857.1, XP_035731854.1, XP_035731853.1, XP_035731859.1	NP_001163460.1
OG0000183	XP_035738622.1, XP_035738621.1, XP_035738620.1, XP_035738623.1	NP_001287555.1
OG0000183	XP_035739701.1	NP_524074.1
OG0000185	XP_035733203.1, XP_035733201.1, XP_035733205.1, XP_035733204.1, XP_035733207.1, XP_035733206.1, XP_035733199.1, XP_035733200.1	NP_001259439.1
OG0000186	XP_035733371.1, XP_035733372.1, XP_035733373.1, XP_035733370.1, XP_035733460.1, XP_035733368.1, XP_035733369.1	NP_573320.1
OG0000187	XP_035731676.1, XP_035731677.1	NP_001188856.1
OG0000188	XP_035740046.1	NP_477462.1
OG0000189	XP_035728865.1	NP_651982.1, NP_001036733.1, NP_001262788.1
OG0000189	XP_035728855.1	NP_608557.4, NP_523485.3, NP_523484.2, NP_001036373.1
OG0000190	XP_035728040.1, XP_035728039.1	NP_732717.1
OG0000191	XP_035735127.1	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2, NP_001246909.1, NP_477232.1, NP_648125.3
OG0000192	XP_035718570.1, XP_035718565.1, XP_035718569.1, XP_035718568.1, XP_035718562.1, XP_035718563.1, XP_035718564.1	NP_611994.3
OG0000194	XP_035728644.1	NP_648207.1
OG0000196	XP_035720910.1	NP_730938.1
OG0000198	XP_035723755.1	NP_611747.2
OG0000200	XP_035719894.1, XP_035719895.1	NP_001262796.1
OG0000200	XP_035718373.1	NP_001259616.1
OG0000201	XP_035742700.1	NP_649026.1
OG0000202	XP_035742672.1, XP_035742669.1, XP_035742670.1	NP_001260674.1
OG0000203	XP_035739190.1	NP_001369023.1, NP_001287406.1, NP_650804.2, NP_650803.1
OG0000203	XP_035727456.1, XP_035727445.1, XP_035727495.1, XP_035727486.1, XP_035727526.1, XP_035727477.1, XP_035727505.1, XP_035727467.1, XP_035727516.1	NP_648067.2
OG0000204	XP_035736371.1, XP_035736362.1, XP_035736353.1, XP_035736365.1, XP_035731143.1	NP_001188590.1
OG0000205	XP_035727194.1, XP_035727191.1, XP_035727193.1	NP_001097505.1
OG0000206	XP_035731791.1	NP_650893.2
OG0000206	XP_035731805.1	NP_001097707.1, NP_001287222.1
OG0000207	XP_035718709.1	NP_001286310.1, NP_001287091.1
OG0000207	XP_035726226.1, XP_035726227.1	NP_001246139.1
OG0000208	XP_035726225.1	NP_001137606.1
OG0000209	XP_035728112.1	NP_001163199.1
OG0000212	XP_035737335.1, XP_035737458.1	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1
OG0000213	XP_035723104.1	NP_648589.1
OG0000214	XP_035723354.1, XP_035723352.1, XP_035723353.1, XP_035723355.1	NP_001260290.1
OG0000214	XP_035741447.1, XP_035741444.1	NP_001247324.1
OG0000215	XP_035724895.1, XP_035724894.1, XP_035724898.1, XP_035724897.1	NP_649139.1
OG0000216	XP_035724451.1	NP_524598.1, NP_001262008.1, NP_572780.3, NP_573003.2, NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1
OG0000217	XP_035740471.1	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1
OG0000218	XP_035726856.1	NP_649086.2
OG0000219	XP_035741255.1, XP_035741253.1, XP_035741259.1, XP_035741260.1, XP_035741251.1, XP_035741257.1, XP_035741254.1, XP_035741252.1, XP_035741256.1	NP_610764.1
OG0000220	XP_035717455.1, XP_035717452.1, XP_035717450.1, XP_035717454.1, XP_035717453.1	NP_650528.1
OG0000221	XP_035721735.1	NP_001036320.3
OG0000223	XP_035733807.1	NP_523986.2
OG0000223	XP_035722636.1	NP_524142.2, NP_524141.1
OG0000224	XP_035739815.1, XP_035739812.1, XP_035739813.1, XP_035739814.1	NP_647862.1, NP_728942.1
OG0000225	XP_035734246.1, XP_035734248.1, XP_035742936.1	NP_536756.1
OG0000227	XP_035735426.1	NP_001262022.1
OG0000229	XP_035730748.1, XP_035730749.1, XP_035731006.1, XP_035731009.1	NP_726223.1, NP_001303360.1, NP_001246468.1
OG0000231	XP_035738625.1, XP_035738626.1, XP_035738627.1	NP_650028.1, NP_650029.1, NP_001285882.1
OG0000232	XP_035727361.1, XP_035727359.1, XP_035727360.1	NP_001303567.1
OG0000233	XP_035718297.1	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1
OG0000234	XP_035726727.1	NP_726740.1, NP_649880.1, NP_649881.1
OG0000235	XP_035729544.1, XP_035729549.1, XP_035729541.1	NP_001261046.1
OG0000236	XP_035735167.1	NP_524368.5
OG0000237	XP_035740253.1	NP_523863.1
OG0000237	XP_035740306.1	NP_523862.1
OG0000243	XP_035719823.1, XP_035719832.1	NP_608584.1, NP_523761.2
OG0000244	XP_035735677.1, XP_035735674.1, XP_035735678.1, XP_035735673.1, XP_035735676.1, XP_035735675.1	NP_610117.1
OG0000245	XP_035726439.1	NP_476812.1, NP_610443.1, NP_524760.1
OG0000246	XP_035739647.1	NP_724163.1
OG0000246	XP_035722551.1, XP_035722552.1, XP_035722553.1	NP_476592.1
OG0000247	XP_035731997.1	NP_651898.2, NP_001096949.1
OG0000247	XP_035732193.1	NP_649833.1, NP_648548.1
OG0000249	XP_035744085.1, XP_035717767.1	NP_572996.1
OG0000250	XP_035723650.1	NP_650508.1, NP_001285102.1
OG0000252	XP_035720532.1, XP_035720531.1	NP_730950.2
OG0000253	XP_035742337.1, XP_035742338.1	NP_001162737.1
OG0000254	XP_035718876.1	NP_732295.1
OG0000254	XP_035732648.1	NP_001368946.1
OG0000255	XP_035728438.1, XP_035728437.1, XP_035728436.1	NP_001033900.2, NP_572436.1
OG0000256	XP_035743889.1, XP_035743888.1, XP_035743887.1, XP_035743890.1	NP_732900.1
OG0000257	XP_035740806.1, XP_035740850.1	NP_001262861.1
OG0000257	XP_035740701.1	NP_001287485.1
OG0000259	XP_035726652.1	NP_723538.3
OG0000260	XP_035730089.1	NP_001261383.1
OG0000263	XP_035722794.1, XP_035722793.1, XP_035722795.1, XP_035722792.1, XP_035722797.1	NP_001285111.1
OG0000264	XP_035735842.1	NP_001033939.2
OG0000264	XP_035728468.1	NP_476735.1
OG0000265	XP_035743707.1	NP_649517.1, NP_650190.1
OG0000266	XP_035743679.1	NP_524387.1
OG0000266	XP_035727916.1	NP_001285202.1
OG0000268	XP_035724329.1	NP_001285901.1, NP_001262995.1
OG0000269	XP_035719187.1, XP_035719185.1, XP_035719186.1, XP_035719184.1	NP_001284901.1
OG0000270	XP_035721119.1	NP_001034048.2
OG0000270	XP_035736463.1	NP_001163596.2
OG0000272	XP_035738837.1	NP_995675.1
OG0000272	XP_035729176.1	NP_001162795.1, NP_001356885.1
OG0000273	XP_035734287.1, XP_035734277.1	NP_001097437.1
OG0000274	XP_035728684.1	NP_001036681.1
OG0000275	XP_035721639.1, XP_035721634.1, XP_035721635.1, XP_035721637.1, XP_035721638.1, XP_035721636.1	NP_648909.1
OG0000276	XP_035719572.1, XP_035719570.1	NP_649535.2
OG0000277	XP_035720328.1, XP_035720326.1, XP_035720324.1, XP_035720323.1, XP_035720322.1, XP_035720327.1	NP_647800.1
OG0000278	XP_035742183.1, XP_035742182.1	NP_612039.1, NP_647794.1
OG0000283	XP_035732633.1, XP_035732632.1, XP_035732635.1, XP_035732634.1, XP_035732636.1, XP_035732638.1, XP_035732643.1, XP_035732639.1, XP_035732637.1, XP_035732628.1, XP_035732629.1, XP_035732630.1, XP_035732640.1, XP_035732641.1	NP_001286595.1
OG0000284	XP_035725371.1	NP_727448.1
OG0000284	XP_035736377.1	NP_001259432.1
OG0000285	XP_035725457.1, XP_035725458.1, XP_035725456.1	NP_001163186.1
OG0000286	XP_035731751.1, XP_035731750.1, XP_035731752.1	NP_729792.1
OG0000287	XP_035740381.1	NP_001036660.1
OG0000288	XP_035725617.1, XP_035725618.1, XP_035725619.1, XP_035725620.1	NP_476934.2
OG0000288	XP_035727964.1	NP_001188784.1
OG0000289	XP_035736843.1, XP_035736844.1, XP_035736845.1	NP_001303316.1
OG0000291	XP_035742447.1, XP_035742448.1	NP_648883.1, NP_648882.1
OG0000293	XP_035717704.1	NP_649119.2, NP_001262050.1
OG0000295	XP_035724522.1, XP_035724503.1, XP_035724513.1	NP_611878.1
OG0000296	XP_035742884.1, XP_035742883.1, XP_035742885.1	NP_573076.1, NP_001096988.2
OG0000297	XP_035732677.1	NP_651265.1
OG0000298	XP_035725046.1, XP_035725050.1, XP_035725049.1, XP_035725047.1, XP_035725048.1	NP_650963.2
OG0000300	XP_035727377.1, XP_035727386.1, XP_035727394.1, XP_035727402.1, XP_035727433.1, XP_035727422.1, XP_035727412.1	NP_001285398.1
OG0000301	XP_035741425.1	NP_572721.1
OG0000301	XP_035725195.1	NP_525031.1
OG0000302	XP_035736733.1	NP_730054.1
OG0000303	XP_035738398.1	NP_609514.1, NP_730670.1, NP_572924.1, NP_730671.1, NP_648026.1
OG0000304	XP_035737437.1, XP_035737434.1, XP_035737433.1, XP_035737435.1	NP_788277.1
OG0000305	XP_035725285.1	NP_001284764.1, NP_650013.3, NP_650012.2
OG0000307	XP_035721440.1, XP_035721443.1, XP_035721442.1	NP_650089.1
OG0000308	XP_035734694.1, XP_035734697.1	NP_001261704.1
OG0000309	XP_035724469.1, XP_035724734.1, XP_035724558.1, XP_035724388.1, XP_035724832.1, XP_035724645.1	NP_651063.1
OG0000310	XP_035742346.1, XP_035722399.1	NP_001286754.1
OG0000311	XP_035743868.1, XP_035743867.1	NP_477380.1
OG0000312	XP_035734088.1, XP_035734082.1, XP_035734083.1, XP_035734080.1, XP_035734081.1, XP_035734086.1, XP_035734084.1, XP_035734087.1, XP_035734085.1	NP_001286891.1
OG0000313	XP_035740443.1	NP_001262580.1, NP_727588.2
OG0000316	XP_035740432.1	NP_723502.2, NP_611157.1
OG0000316	XP_035729094.1, XP_035729092.1	NP_611470.1
OG0000317	XP_035740159.1	NP_732413.1
OG0000318	XP_035736725.1, XP_035736729.1, XP_035736727.1, XP_035736728.1, XP_035736730.1, XP_035736726.1, XP_035736724.1	NP_609354.1
