Orthogroup	Vespa_mandarinia	Osmia_lignaria
OG0000008	XP_035736200.1, XP_035736201.1, XP_035736202.1	XP_034185979.1, XP_034185978.1
OG0000008	XP_035739950.1, XP_035739951.1, XP_035739948.1	XP_034185982.1, XP_034185981.1, XP_034185980.1
OG0000009	XP_035722243.1	XP_034180231.1, XP_034180230.1, XP_034180232.1
OG0000009	XP_035733996.1	XP_034195958.1
OG0000009	XP_035722232.1, XP_035722233.1, XP_035722235.1, XP_035722241.1, XP_035722237.1, XP_035722240.1, XP_035722236.1, XP_035722238.1, XP_035722239.1	XP_034180228.1, XP_034180226.1, XP_034180498.1, XP_034180227.1
OG0000010	XP_035740330.1, XP_035741893.1, XP_035731225.1, XP_035742782.1, XP_035739222.1	XP_034183416.1, XP_034194926.1, XP_034195327.1, XP_034192190.1, XP_034190727.1, XP_034183422.1, XP_034182488.1
OG0000011	XP_035728388.1, XP_035728331.1, XP_035728389.1	XP_034178947.1
OG0000012	XP_035733658.1	XP_034181531.1
OG0000012	XP_035729179.1	XP_034195538.1
OG0000012	XP_035731128.1	XP_034193627.1
OG0000012	XP_035731058.1, XP_035731059.1	XP_034193625.1
OG0000013	XP_035732971.1	XP_034195020.1
OG0000013	XP_035725915.1	XP_034171451.1, XP_034184139.1, XP_034171306.1, XP_034173427.1, XP_034171174.1
OG0000013	XP_035732323.1, XP_035732322.1	XP_034191426.1
OG0000014	XP_035717855.1, XP_035725913.1, XP_035733113.1, XP_035733114.1, XP_035733115.1, XP_035735278.1	XP_034173943.1, XP_034175387.1, XP_034171057.1, XP_034183943.1, XP_034173506.1, XP_034173507.1, XP_034173418.1
OG0000016	XP_035739379.1	XP_034194692.1, XP_034172342.1, XP_034177369.1
OG0000017	XP_035722701.1	XP_034170905.1
OG0000017	XP_035728385.1	XP_034178979.1, XP_034178985.1, XP_034178984.1
OG0000018	XP_035730877.1	XP_034175482.1
OG0000018	XP_035718019.1	XP_034193265.1, XP_034193266.1, XP_034193267.1, XP_034193268.1
OG0000018	XP_035718148.1	XP_034193261.1
OG0000018	XP_035735080.1	XP_034193695.1, XP_034193694.1
OG0000019	XP_035725561.1, XP_035725574.1, XP_035725576.1	XP_034176014.1
OG0000019	XP_035726985.1	XP_034185441.1
OG0000020	XP_035725275.1	XP_034186694.1
OG0000020	XP_035728836.1	XP_034171877.1
OG0000020	XP_035730287.1, XP_035730285.1, XP_035730286.1, XP_035730288.1, XP_035730289.1	XP_034185768.1
OG0000021	XP_035721174.1, XP_035721172.1, XP_035721170.1, XP_035721169.1, XP_035721173.1	XP_034193153.1
OG0000021	XP_035723530.1	XP_034176195.1, XP_034176197.1, XP_034176196.1
OG0000021	XP_035723165.1, XP_035723164.1	XP_034184869.1
OG0000021	XP_035743843.1, XP_035743842.1	XP_034181343.1
OG0000021	XP_035729144.1	XP_034194090.1, XP_034194088.1, XP_034194089.1, XP_034194086.1, XP_034194087.1
OG0000022	XP_035725918.1, XP_035725921.1, XP_035725917.1, XP_035725920.1	XP_034173513.1
OG0000022	XP_035721830.1	XP_034187482.1
OG0000023	XP_035735383.1	XP_034173938.1
OG0000024	XP_035742194.1	XP_034183501.1, XP_034183524.1, XP_034183512.1
OG0000024	XP_035728675.1, XP_035728676.1, XP_035728677.1	XP_034173678.1
OG0000024	XP_035738183.1	XP_034193921.1
OG0000024	XP_035738182.1	XP_034193919.1
OG0000025	XP_035720880.1, XP_035742374.1, XP_035725548.1, XP_035737742.1	XP_034190491.1
OG0000026	XP_035728457.1	XP_034194425.1
OG0000026	XP_035718093.1, XP_035718094.1	XP_034181081.1
OG0000027	XP_035725930.1	XP_034174017.1
OG0000027	XP_035725928.1	XP_034173430.1
OG0000029	XP_035737588.1	XP_034187040.1
OG0000029	XP_035732367.1, XP_035732349.1	XP_034181507.1
OG0000030	XP_035739081.1, XP_035741463.1, XP_035741476.1, XP_035742381.1, XP_035742412.1, XP_035741466.1	XP_034172323.1
OG0000030	XP_035723581.1	XP_034183201.1
OG0000032	XP_035735826.1	XP_034191636.1
OG0000032	XP_035730167.1	XP_034185955.1
OG0000034	XP_035741912.1, XP_035741914.1	XP_034176024.1, XP_034175225.1, XP_034175224.1, XP_034178174.1, XP_034176023.1
OG0000035	XP_035731371.1	XP_034174457.1
OG0000036	XP_035729817.1	XP_034179599.1
OG0000036	XP_035729794.1	XP_034179598.1
OG0000037	XP_035725074.1	XP_034181170.1
OG0000038	XP_035735001.1, XP_035735000.1	XP_034191028.1, XP_034195488.1
OG0000038	XP_035739586.1	XP_034179614.1
OG0000038	XP_035727166.1	XP_034193717.1
OG0000038	XP_035733817.1	XP_034179069.1
OG0000040	XP_035742485.1	XP_034170811.1, XP_034170810.1, XP_034170809.1
OG0000041	XP_035743035.1	XP_034174489.1, XP_034174481.1
OG0000041	XP_035742719.1	XP_034183063.1
OG0000041	XP_035742718.1, XP_035742717.1	XP_034183066.1
OG0000042	XP_035732212.1	XP_034173998.1
OG0000043	XP_035731122.1	XP_034173650.1
OG0000043	XP_035718657.1	XP_034196124.1
OG0000044	XP_035717273.1	XP_034185423.1, XP_034185424.1
OG0000044	XP_035744089.1, XP_035744088.1	XP_034185422.1
OG0000045	XP_035720478.1, XP_035720481.1, XP_035720479.1	XP_034196329.1, XP_034196330.1
OG0000045	XP_035731034.1, XP_035731019.1	XP_034181260.1
OG0000045	XP_035742841.1	XP_034177285.1, XP_034177286.1
OG0000046	XP_035742705.1	XP_034194263.1
OG0000046	XP_035734549.1	XP_034188783.1
OG0000046	XP_035728851.1, XP_035728840.1	XP_034179386.1
OG0000048	XP_035728382.1	XP_034180253.1
OG0000050	XP_035718383.1	XP_034183260.1
OG0000052	XP_035729830.1, XP_035729829.1, XP_035729805.1	XP_034186731.1, XP_034194880.1
OG0000052	XP_035743009.1, XP_035743008.1	XP_034191839.1
OG0000053	XP_035741492.1, XP_035735020.1, XP_035737765.1, XP_035725546.1, XP_035739246.1	XP_034192365.1
OG0000054	XP_035724338.1	XP_034176647.1
OG0000054	XP_035724099.1, XP_035724441.1	XP_034176640.1, XP_034176646.1
OG0000055	XP_035726348.1, XP_035726347.1	XP_034185035.1, XP_034185036.1, XP_034185034.1, XP_034185037.1
OG0000055	XP_035720014.1	XP_034178359.1
OG0000056	XP_035726130.1	XP_034195921.1
OG0000056	XP_035718477.1	XP_034174982.1
OG0000056	XP_035728622.1	XP_034181068.1
OG0000056	XP_035733992.1	XP_034195945.1
OG0000056	XP_035741213.1	XP_034176871.1
OG0000056	XP_035729096.1	XP_034175501.1, XP_034175497.1
OG0000057	XP_035734097.1	XP_034187515.1
OG0000057	XP_035721261.1	XP_034180852.1
OG0000057	XP_035734267.1, XP_035734266.1	XP_034187516.1
OG0000057	XP_035734264.1	XP_034187514.1
OG0000057	XP_035734268.1	XP_034187518.1
OG0000058	XP_035739545.1, XP_035739536.1	XP_034179634.1
OG0000058	XP_035728639.1, XP_035728540.1, XP_035728643.1, XP_035728642.1, XP_035728641.1	XP_034196442.1, XP_034179608.1, XP_034196577.1, XP_034179620.1, XP_034191910.1, XP_034196053.1
OG0000060	XP_035730103.1	XP_034191137.1
OG0000060	XP_035738199.1, XP_035738201.1, XP_035738202.1	XP_034187152.1, XP_034187149.1, XP_034187153.1, XP_034187150.1, XP_034187148.1, XP_034187151.1
OG0000061	XP_035721661.1, XP_035721662.1, XP_035721660.1, XP_035721465.1	XP_034191746.1, XP_034191745.1, XP_034191749.1, XP_034191748.1, XP_034191747.1
OG0000062	XP_035728895.1	XP_034196475.1
OG0000062	XP_035728894.1	XP_034196469.1
OG0000062	XP_035728892.1	XP_034196468.1, XP_034170830.1
OG0000064	XP_035728239.1, XP_035741915.1, XP_035741916.1, XP_035741917.1	XP_034183284.1, XP_034183285.1, XP_034183048.1, XP_034183283.1, XP_034183052.1
OG0000065	XP_035738514.1, XP_035738515.1, XP_035738510.1, XP_035738511.1, XP_035738513.1, XP_035738516.1	XP_034186031.1, XP_034186030.1, XP_034186029.1, XP_034186032.1
OG0000067	XP_035734988.1	XP_034188060.1
OG0000067	XP_035729269.1	XP_034180178.1
OG0000067	XP_035718759.1	XP_034176568.1
OG0000067	XP_035729165.1	XP_034180395.1
OG0000067	XP_035729166.1	XP_034180397.1
OG0000067	XP_035724654.1	XP_034192090.1
OG0000069	XP_035737423.1	XP_034175784.1
OG0000069	XP_035737135.1	XP_034175786.1, XP_034175787.1, XP_034175788.1
OG0000073	XP_035733744.1	XP_034195422.1, XP_034195424.1
OG0000074	XP_035719932.1, XP_035736547.1	XP_034175255.1
OG0000075	XP_035737766.1, XP_035725545.1, XP_035722714.1	XP_034184988.1
OG0000077	XP_035738027.1	XP_034178573.1, XP_034178581.1
OG0000077	XP_035722352.1, XP_035740324.1, XP_035742569.1, XP_035742630.1, XP_035738069.1	XP_034192524.1
OG0000078	XP_035741908.1, XP_035741909.1, XP_035741910.1, XP_035741911.1	XP_034175210.1
OG0000080	XP_035724002.1	XP_034191096.1
OG0000081	XP_035739553.1	XP_034179208.1, XP_034179226.1, XP_034179214.1, XP_034179212.1, XP_034179508.1, XP_034179507.1, XP_034179211.1
OG0000082	XP_035733049.1	XP_034191543.1, XP_034191542.1
OG0000084	XP_035738869.1	XP_034188705.1
OG0000084	XP_035739145.1	XP_034188921.1
OG0000085	XP_035734061.1, XP_035734059.1, XP_035734060.1, XP_035734062.1	XP_034192632.1, XP_034192631.1
OG0000085	XP_035737189.1	XP_034171418.1
OG0000086	XP_035718518.1	XP_034193956.1
OG0000086	XP_035737219.1, XP_035737220.1	XP_034193661.1
OG0000087	XP_035734892.1	XP_034179279.1
OG0000087	XP_035735028.1	XP_034179278.1
OG0000088	XP_035718097.1	XP_034186223.1
OG0000089	XP_035732042.1	XP_034188076.1, XP_034188075.1, XP_034188074.1
OG0000089	XP_035729577.1	XP_034183382.1
OG0000091	XP_035743855.1	XP_034181366.1, XP_034181369.1, XP_034181364.1
OG0000092	XP_035729950.1	XP_034172508.1
OG0000092	XP_035719716.1, XP_035719715.1	XP_034196103.1
OG0000092	XP_035719719.1	XP_034196104.1, XP_034196105.1, XP_034196106.1, XP_034196107.1
OG0000092	XP_035718227.1	XP_034178502.1
OG0000094	XP_035742083.1, XP_035735320.1, XP_035735319.1, XP_035735318.1	XP_034172066.1
OG0000094	XP_035729864.1	XP_034183347.1, XP_034183349.1, XP_034183348.1
OG0000095	XP_035720088.1, XP_035720091.1, XP_035720570.1, XP_035720568.1, XP_035720569.1, XP_035720572.1, XP_035721650.1, XP_035721665.1, XP_035721664.1, XP_035720092.1	XP_034175885.1
OG0000096	XP_035735801.1	XP_034192124.1
OG0000096	XP_035724668.1, XP_035724666.1	XP_034177248.1
OG0000097	XP_035742312.1, XP_035742314.1, XP_035742313.1	XP_034190835.1, XP_034190836.1
OG0000097	XP_035739103.1, XP_035739101.1, XP_035739102.1, XP_035736455.1, XP_035736447.1	XP_034176738.1, XP_034176739.1
OG0000098	XP_035733072.1, XP_035733137.1	XP_034189435.1, XP_034189436.1, XP_034189437.1, XP_034189438.1, XP_034189434.1
OG0000099	XP_035723282.1, XP_035723292.1, XP_035723300.1	XP_034179642.1, XP_034179643.1, XP_034179641.1
OG0000099	XP_035729911.1	XP_034193873.1
OG0000100	XP_035731312.1, XP_035731311.1, XP_035731307.1, XP_035731310.1, XP_035731309.1	XP_034186665.1, XP_034186661.1, XP_034186660.1, XP_034186663.1, XP_034186662.1, XP_034186656.1, XP_034186655.1, XP_034186659.1, XP_034186658.1, XP_034186664.1, XP_034186666.1, XP_034186667.1, XP_034186669.1, XP_034186670.1, XP_034186654.1
OG0000101	XP_035724161.1	XP_034181509.1
OG0000101	XP_035724180.1	XP_034181515.1
OG0000102	XP_035722712.1	XP_034184723.1
OG0000102	XP_035722713.1	XP_034190695.1
OG0000103	XP_035728991.1	XP_034185802.1
OG0000103	XP_035729002.1, XP_035728999.1	XP_034183404.1
OG0000103	XP_035729084.1, XP_035729085.1, XP_035729086.1, XP_035729088.1	XP_034183410.1, XP_034183407.1, XP_034183408.1, XP_034183409.1
OG0000106	XP_035736824.1	XP_034172450.1
OG0000106	XP_035733484.1	XP_034195545.1
OG0000107	XP_035735907.1	XP_034193089.1
OG0000108	XP_035729104.1, XP_035729105.1	XP_034193813.1
OG0000109	XP_035733082.1, XP_035733090.1, XP_035733088.1, XP_035733089.1, XP_035733086.1, XP_035733087.1, XP_035733084.1, XP_035733085.1, XP_035733092.1, XP_035733093.1, XP_035733091.1	XP_034187724.1, XP_034187720.1, XP_034187719.1, XP_034187723.1, XP_034187722.1
OG0000110	XP_035727648.1, XP_035727647.1	XP_034180203.1
OG0000110	XP_035738900.1	XP_034180902.1
OG0000111	XP_035718068.1	XP_034179968.1, XP_034179487.1, XP_034179966.1, XP_034179488.1
OG0000111	XP_035719146.1	XP_034190336.1
OG0000112	XP_035719175.1, XP_035719174.1, XP_035719177.1, XP_035719176.1, XP_035719171.1, XP_035719172.1	XP_034175689.1
OG0000112	XP_035730834.1, XP_035730827.1, XP_035730828.1, XP_035730829.1, XP_035730830.1, XP_035730831.1, XP_035730832.1, XP_035730833.1	XP_034177437.1
OG0000113	XP_035724028.1	XP_034185991.1
OG0000113	XP_035725454.1	XP_034174201.1
OG0000114	XP_035719468.1	XP_034192603.1
OG0000115	XP_035719374.1	XP_034173929.1
OG0000115	XP_035728117.1	XP_034174012.1, XP_034174010.1, XP_034174009.1
OG0000116	XP_035728572.1, XP_035728573.1	XP_034183708.1, XP_034183753.1
OG0000116	XP_035728508.1, XP_035728506.1, XP_035728507.1	XP_034183636.1, XP_034183664.1, XP_034183656.1, XP_034183646.1, XP_034183695.1, XP_034183674.1, XP_034183684.1
OG0000117	XP_035721151.1	XP_034188640.1
OG0000117	XP_035728960.1	XP_034186050.1, XP_034186060.1, XP_034186043.1, XP_034186034.1
OG0000119	XP_035728103.1, XP_035728091.1, XP_035728092.1, XP_035728099.1, XP_035728090.1, XP_035728088.1	XP_034185219.1, XP_034185196.1, XP_034185454.1, XP_034185227.1, XP_034185236.1
OG0000122	XP_035742190.1	XP_034183230.1
OG0000122	XP_035722129.1	XP_034171356.1, XP_034171357.1
OG0000122	XP_035738975.1	XP_034174067.1
OG0000123	XP_035725246.1, XP_035725252.1	XP_034189051.1, XP_034189052.1
OG0000124	XP_035724659.1	XP_034195724.1, XP_034195725.1, XP_034195722.1, XP_034195721.1, XP_034195720.1, XP_034195715.1, XP_034195714.1, XP_034195719.1, XP_034195718.1, XP_034195717.1, XP_034195716.1
OG0000125	XP_035743368.1, XP_035743367.1	XP_034195792.1, XP_034195791.1, XP_034195790.1, XP_034195789.1
OG0000126	XP_035731654.1, XP_035731655.1, XP_035731651.1, XP_035731652.1, XP_035731657.1, XP_035731656.1, XP_035731659.1, XP_035731653.1, XP_035731650.1	XP_034182851.1, XP_034182856.1, XP_034182855.1, XP_034182854.1, XP_034182857.1, XP_034182852.1, XP_034182850.1
OG0000127	XP_035726374.1	XP_034173169.1, XP_034173170.1
OG0000129	XP_035741994.1, XP_035741995.1	XP_034176178.1, XP_034176173.1, XP_034176171.1, XP_034176172.1, XP_034176175.1, XP_034176174.1, XP_034176177.1, XP_034176176.1
OG0000130	XP_035721963.1	XP_034182741.1
OG0000130	XP_035721970.1, XP_035721971.1, XP_035721969.1, XP_035721972.1	XP_034182770.1, XP_034182761.1
OG0000130	XP_035721444.1	XP_034183368.1, XP_034183281.1
OG0000131	XP_035742296.1	XP_034176064.1
OG0000131	XP_035733339.1, XP_035733338.1	XP_034182652.1, XP_034182661.1
OG0000132	XP_035721782.1, XP_035721781.1	XP_034187328.1, XP_034187330.1
OG0000132	XP_035732604.1	XP_034173679.1, XP_034173677.1
OG0000133	XP_035741242.1	XP_034182098.1, XP_034182097.1
OG0000133	XP_035729059.1	XP_034172964.1
OG0000134	XP_035740651.1	XP_034188579.1
OG0000135	XP_035717163.1	XP_034173405.1
OG0000135	XP_035725594.1	XP_034194710.1
OG0000136	XP_035728633.1, XP_035728680.1, XP_035728635.1, XP_035728634.1	XP_034180981.1, XP_034173810.1
OG0000137	XP_035738396.1	XP_034196013.1
OG0000137	XP_035732267.1	XP_034178422.1
OG0000138	XP_035730963.1, XP_035730973.1, XP_035730946.1, XP_035730956.1, XP_035730998.1, XP_035731008.1, XP_035730984.1, XP_035730990.1	XP_034181257.1, XP_034181256.1, XP_034181258.1, XP_034181252.1, XP_034181253.1, XP_034181250.1, XP_034181251.1, XP_034181249.1, XP_034181254.1
OG0000138	XP_035722005.1	XP_034181259.1
OG0000139	XP_035719417.1, XP_035719753.1	XP_034187809.1
OG0000140	XP_035720742.1, XP_035720741.1	XP_034191662.1, XP_034191663.1, XP_034191664.1, XP_034191666.1, XP_034191665.1, XP_034191659.1
OG0000141	XP_035723074.1, XP_035723075.1, XP_035723073.1	XP_034180611.1, XP_034180612.1, XP_034180613.1, XP_034180614.1
OG0000141	XP_035722354.1, XP_035722355.1	XP_034171520.1, XP_034171519.1, XP_034171518.1, XP_034171521.1
OG0000141	XP_035722392.1, XP_035722391.1	XP_034191369.1, XP_034191364.1, XP_034191348.1, XP_034191355.1
OG0000143	XP_035726588.1	XP_034170956.1, XP_034170957.1, XP_034170955.1
OG0000143	XP_035726587.1, XP_035726585.1, XP_035726586.1	XP_034170950.1
OG0000145	XP_035739706.1, XP_035739705.1	XP_034172080.1, XP_034172081.1, XP_034172082.1, XP_034172083.1
OG0000145	XP_035732035.1, XP_035732034.1, XP_035732031.1, XP_035732032.1, XP_035732029.1, XP_035732030.1, XP_035732028.1, XP_035732033.1	XP_034194879.1
OG0000146	XP_035732991.1, XP_035732990.1, XP_035732989.1, XP_035732988.1	XP_034191002.1, XP_034184015.1, XP_034184014.1
OG0000147	XP_035734708.1	XP_034172317.1, XP_034176955.1, XP_034176956.1, XP_034176953.1, XP_034176954.1, XP_034176959.1, XP_034176957.1, XP_034176958.1
OG0000149	XP_035726837.1	XP_034188253.1
OG0000149	XP_035726846.1, XP_035726843.1, XP_035726842.1, XP_035726847.1, XP_035726845.1	XP_034188255.1, XP_034188259.1, XP_034188258.1, XP_034188260.1, XP_034188261.1, XP_034188257.1
OG0000150	XP_035733965.1, XP_035733966.1, XP_035733963.1, XP_035733964.1, XP_035733961.1, XP_035733962.1	XP_034191022.1
OG0000151	XP_035735864.1, XP_035735857.1, XP_035735862.1, XP_035735863.1, XP_035735861.1, XP_035735859.1, XP_035735858.1	XP_034171188.1, XP_034171191.1, XP_034171190.1, XP_034171189.1
OG0000152	XP_035722053.1	XP_034190547.1, XP_034190545.1, XP_034190544.1, XP_034190543.1, XP_034190550.1, XP_034190549.1, XP_034190548.1, XP_034190542.1
OG0000153	XP_035727062.1	XP_034191920.1, XP_034191919.1, XP_034191916.1, XP_034191917.1, XP_034191915.1, XP_034191918.1
OG0000154	XP_035743057.1, XP_035743056.1	XP_034183985.1
OG0000155	XP_035724082.1, XP_035742778.1, XP_035733904.1, XP_035737499.1, XP_035737756.1, XP_035736367.1, XP_035725552.1, XP_035740255.1, XP_035725541.1	XP_034194795.1
OG0000156	XP_035723493.1	XP_034172064.1
OG0000157	XP_035732282.1	XP_034178570.1
OG0000157	XP_035732281.1	XP_034178430.1
OG0000158	XP_035740201.1	XP_034177301.1
OG0000158	XP_035740054.1, XP_035740197.1, XP_035740199.1, XP_035740200.1, XP_035740198.1	XP_034177337.1, XP_034177300.1, XP_034177310.1, XP_034177338.1
OG0000160	XP_035723999.1	XP_034176220.1, XP_034176221.1
OG0000160	XP_035733330.1, XP_035733325.1, XP_035733326.1, XP_035733328.1, XP_035733329.1	XP_034182275.1
OG0000161	XP_035719666.1, XP_035719656.1, XP_035719675.1	XP_034182690.1
OG0000162	XP_035731205.1	XP_034185575.1
OG0000162	XP_035740246.1, XP_035740247.1	XP_034184537.1
OG0000164	XP_035732024.1	XP_034196183.1, XP_034195536.1
OG0000165	XP_035743313.1, XP_035743321.1, XP_035743314.1, XP_035743315.1, XP_035743316.1, XP_035743317.1, XP_035743320.1, XP_035743319.1, XP_035743322.1, XP_035743323.1	XP_034181772.1, XP_034181773.1, XP_034181774.1
OG0000165	XP_035734576.1	XP_034193100.1
OG0000166	XP_035717393.1, XP_035717400.1, XP_035717381.1, XP_035717387.1, XP_035717382.1, XP_035717384.1	XP_034172021.1, XP_034172006.1, XP_034171988.1, XP_034171990.1
OG0000169	XP_035729296.1	XP_034195551.1
OG0000170	XP_035742479.1	XP_034186107.1
OG0000170	XP_035742502.1, XP_035742492.1, XP_035742486.1	XP_034186108.1
OG0000171	XP_035741201.1, XP_035741202.1	XP_034175616.1
OG0000171	XP_035741205.1, XP_035741206.1	XP_034175629.1
OG0000172	XP_035738100.1, XP_035738101.1	XP_034186460.1, XP_034186461.1, XP_034186462.1, XP_034186463.1, XP_034186455.1, XP_034186454.1, XP_034186457.1, XP_034186459.1, XP_034186458.1, XP_034186464.1
OG0000173	XP_035733795.1, XP_035733793.1, XP_035733794.1, XP_035733792.1	XP_034193474.1, XP_034193472.1, XP_034193473.1, XP_034193470.1, XP_034193475.1, XP_034193476.1
OG0000174	XP_035731433.1	XP_034180576.1, XP_034180577.1, XP_034180578.1
OG0000175	XP_035729116.1, XP_035729110.1, XP_035729111.1, XP_035729112.1, XP_035729113.1	XP_034180406.1, XP_034180404.1, XP_034180403.1, XP_034180402.1
OG0000176	XP_035737411.1	XP_034171203.1
OG0000177	XP_035739406.1	XP_034175291.1
OG0000177	XP_035739374.1	XP_034176051.1, XP_034176049.1
OG0000177	XP_035739564.1	XP_034176052.1
OG0000178	XP_035725180.1	XP_034190100.1, XP_034190095.1
OG0000179	XP_035741505.1	XP_034186565.1, XP_034186567.1
OG0000179	XP_035719102.1, XP_035719101.1	XP_034186839.1
OG0000179	XP_035737641.1	XP_034172576.1
OG0000180	XP_035743555.1, XP_035743552.1, XP_035743551.1, XP_035743554.1	XP_034190519.1, XP_034190518.1, XP_034190520.1
OG0000181	XP_035731090.1, XP_035731089.1, XP_035731092.1, XP_035731091.1	XP_034175483.1, XP_034175486.1, XP_034175485.1, XP_034175484.1, XP_034175487.1, XP_034175489.1, XP_034175488.1
OG0000182	XP_035731858.1, XP_035731856.1, XP_035731855.1, XP_035731857.1, XP_035731854.1, XP_035731853.1, XP_035731859.1	XP_034185960.1, XP_034185984.1, XP_034185975.1, XP_034185966.1
OG0000183	XP_035738622.1, XP_035738621.1, XP_035738620.1, XP_035738623.1	XP_034184393.1, XP_034184394.1
OG0000183	XP_035739701.1	XP_034184584.1
OG0000185	XP_035733203.1, XP_035733201.1, XP_035733205.1, XP_035733204.1, XP_035733207.1, XP_035733206.1, XP_035733199.1, XP_035733200.1	XP_034191549.1, XP_034191548.1
OG0000186	XP_035733371.1, XP_035733372.1, XP_035733373.1, XP_035733370.1, XP_035733460.1, XP_035733368.1, XP_035733369.1	XP_034172036.1, XP_034172037.1, XP_034172035.1
OG0000187	XP_035731676.1, XP_035731677.1	XP_034184427.1, XP_034184426.1, XP_034184425.1, XP_034184424.1
OG0000188	XP_035740046.1	XP_034183311.1
OG0000189	XP_035728855.1	XP_034173527.1, XP_034173528.1, XP_034173529.1
OG0000190	XP_035728040.1, XP_035728039.1	XP_034178973.1
OG0000191	XP_035735127.1	XP_034193856.1
OG0000192	XP_035718570.1, XP_035718565.1, XP_035718569.1, XP_035718568.1, XP_035718562.1, XP_035718563.1, XP_035718564.1	XP_034188823.1, XP_034188824.1, XP_034188825.1
OG0000194	XP_035728644.1	XP_034172732.1
OG0000194	XP_035728648.1	XP_034179980.1
OG0000194	XP_035728646.1	XP_034179976.1
OG0000194	XP_035728547.1	XP_034179971.1
OG0000195	XP_035739727.1, XP_035739726.1	XP_034186983.1, XP_034186982.1, XP_034186892.1, XP_034186893.1
OG0000196	XP_035720910.1	XP_034194596.1
OG0000199	XP_035729157.1	XP_034179397.1
OG0000200	XP_035719894.1, XP_035719895.1	XP_034194186.1
OG0000200	XP_035718373.1	XP_034175393.1, XP_034175399.1
OG0000201	XP_035742700.1	XP_034190160.1
OG0000202	XP_035735523.1, XP_035735525.1, XP_035735528.1, XP_035735524.1, XP_035735526.1, XP_035735527.1, XP_035735520.1, XP_035735522.1	XP_034174741.1
OG0000202	XP_035742672.1, XP_035742669.1, XP_035742670.1	XP_034179831.1, XP_034179748.1
OG0000203	XP_035739190.1	XP_034187157.1
OG0000203	XP_035727456.1, XP_035727445.1, XP_035727495.1, XP_035727486.1, XP_035727526.1, XP_035727477.1, XP_035727505.1, XP_035727467.1, XP_035727516.1	XP_034176454.1
OG0000204	XP_035736371.1, XP_035736362.1, XP_035736353.1, XP_035736365.1	XP_034178486.1, XP_034178485.1
OG0000205	XP_035727194.1, XP_035727191.1, XP_035727193.1	XP_034188205.1, XP_034188206.1, XP_034188203.1, XP_034188202.1, XP_034188198.1, XP_034188201.1, XP_034188199.1, XP_034188204.1
OG0000206	XP_035731791.1	XP_034186883.1
OG0000207	XP_035718709.1	XP_034176138.1
OG0000207	XP_035726226.1	XP_034183197.1
OG0000207	XP_035726227.1	XP_034183198.1
OG0000208	XP_035726225.1	XP_034183186.1
OG0000208	XP_035721855.1	XP_034182757.1
OG0000209	XP_035728112.1	XP_034184421.1
OG0000210	XP_035733688.1	XP_034195547.1
OG0000210	XP_035723457.1	XP_034177733.1
OG0000212	XP_035737335.1	XP_034171934.1
OG0000212	XP_035737458.1	XP_034190213.1
OG0000213	XP_035723104.1	XP_034181405.1, XP_034181403.1, XP_034181402.1, XP_034181400.1, XP_034181399.1, XP_034181401.1
OG0000214	XP_035723354.1, XP_035723352.1, XP_035723353.1, XP_035723355.1	XP_034181682.1
OG0000215	XP_035724895.1, XP_035724894.1	XP_034179200.1, XP_034179201.1, XP_034179202.1
OG0000215	XP_035724898.1, XP_035724897.1	XP_034179204.1
OG0000216	XP_035724451.1	XP_034174664.1
