Orthogroup	Vespa_mandarinia	Aedes_aegypti
OG0000013	XP_035732323.1	XP_001657554.1, XP_001655332.2
OG0000014	XP_035717855.1, XP_035725913.1, XP_035733113.1, XP_035733114.1, XP_035733115.1, XP_035735278.1	XP_021712022.1, XP_021712028.1
OG0000016	XP_035739379.1, XP_035733837.1	XP_021712581.1, XP_021694278.1, XP_021695205.1
OG0000017	XP_035722701.1	XP_021701980.1, XP_021701981.1, XP_001658752.1, XP_021701977.1, XP_021701978.1, XP_021701979.1, XP_001658750.1, XP_021701982.1, XP_021701973.1, XP_021701974.1, XP_021701975.1, XP_021701976.1, XP_001658753.1, XP_001658755.1
OG0000017	XP_035728385.1	XP_001658009.2, XP_021693938.1, XP_001658007.2
OG0000018	XP_035730877.1	XP_021697392.1, XP_021697390.1, XP_021697387.1, XP_021697388.1, XP_021697389.1, XP_021697393.1
OG0000018	XP_035718019.1	XP_021706785.1, XP_021706786.1, XP_021706787.1, XP_021706788.1, XP_001651693.2
OG0000018	XP_035718148.1, XP_035735080.1	XP_021706781.1
OG0000019	XP_035725561.1, XP_035725574.1, XP_035725576.1	XP_021694331.1, XP_021694068.1
OG0000019	XP_035720602.1, XP_035726985.1	XP_001651730.2, XP_001662493.2, XP_001662497.2, XP_001662494.2, XP_021694070.1, XP_001662317.1, XP_001650036.2, XP_001662495.2
OG0000020	XP_035725275.1	XP_021703507.1, XP_021703506.1, XP_021703509.1, XP_001651414.2, XP_021703508.1, XP_021700207.1, XP_021700205.1, XP_021700206.1, XP_021700209.1, XP_021700211.1, XP_021700210.1
OG0000020	XP_035728836.1	XP_021700919.1, XP_001650147.2
OG0000020	XP_035730287.1, XP_035730285.1, XP_035730286.1, XP_035730288.1, XP_035730289.1	XP_021705068.1, XP_021706790.1
OG0000021	XP_035729141.1	XP_001654997.1, XP_021710336.1, XP_021710335.1
OG0000021	XP_035723530.1	XP_021699404.1
OG0000021	XP_035723165.1, XP_035723164.1	XP_021713110.1, XP_001662165.1
OG0000022	XP_035725916.1	XP_001657157.1, XP_001657152.1, XP_001657149.1, XP_001662624.1
OG0000022	XP_035735255.1	XP_021705289.1, XP_021705290.1, XP_021705016.1, XP_001657264.1, XP_001657267.1, XP_021705823.1, XP_021705017.1, XP_021705021.1, XP_021706527.1, XP_021706530.1, XP_021706531.1, XP_021706558.1, XP_021706529.1, XP_021706526.1, XP_021706571.1, XP_021706528.1, XP_021705296.1, XP_001657271.1, XP_001657278.1, XP_021706534.1, XP_021706548.1, XP_001652489.1, XP_001656988.1, XP_021706565.1, XP_021706568.1
OG0000023	XP_035735990.1	XP_021701441.1, XP_001657148.1
OG0000024	XP_035720575.1, XP_035720354.1, XP_035720356.1, XP_035720355.1, XP_035720353.1	XP_001653943.1, XP_021708435.1, XP_011492953.2, XP_011492954.2, XP_001659308.2, XP_011492952.2, XP_001661001.2, XP_001661002.2, XP_011493633.2, XP_021711830.1, XP_001660615.1, XP_001656527.2
OG0000026	XP_035718093.1, XP_035718094.1	XP_021706420.1
OG0000027	XP_035725930.1	XP_021706536.1
OG0000027	XP_035725928.1	XP_021705635.1, XP_021705023.1, XP_021705301.1, XP_021705299.1, XP_021705297.1, XP_021706523.1
OG0000029	XP_035732363.1, XP_035732348.1	XP_001654720.1, XP_021711708.1, XP_021704638.1, XP_021712736.1, XP_001654721.1, XP_021693569.1, XP_001660358.1, XP_001657546.2, XP_001660353.1, XP_001660356.1, XP_001660354.2, XP_001660359.1, XP_001660349.1, XP_021693574.1, XP_001660357.1, XP_001650809.1
OG0000029	XP_035737588.1	XP_001664018.2
OG0000029	XP_035732367.1, XP_035732349.1	XP_021704637.1, XP_021704641.1, XP_021712735.1
OG0000030	XP_035739081.1, XP_035741463.1, XP_035741476.1, XP_035742381.1, XP_035742412.1, XP_035741466.1	XP_001658050.1
OG0000032	XP_035723151.1	XP_021702783.1
OG0000032	XP_035735826.1	XP_021705631.1, XP_021705632.1, XP_021705633.1, XP_021705630.1
OG0000032	XP_035730167.1	XP_001652526.1, XP_021707253.1, XP_001652524.1, XP_001652523.2, XP_021707252.1, XP_001652525.1, XP_001652527.2, XP_001652528.2, XP_001652520.1, XP_021708318.1, XP_001662930.2, XP_021709531.1
OG0000035	XP_035731371.1	XP_001650274.2, XP_001662128.2
OG0000036	XP_035729806.1, XP_035742752.1	XP_001655506.1
OG0000036	XP_035729817.1, XP_035729794.1	XP_021695536.1
OG0000037	XP_035725074.1	XP_021698956.1, XP_021698957.1, XP_021698955.1, XP_001655400.1, XP_001659628.2, XP_001654516.2, XP_001650153.1, XP_001659658.1, XP_001650182.1, XP_001659653.2, XP_001659654.2, XP_001659610.1, XP_001647747.1, XP_001659651.2, XP_001659656.2, XP_001659657.1
OG0000038	XP_035735001.1, XP_035735000.1	XP_001652144.1, XP_001663407.1
OG0000038	XP_035739586.1	XP_021707546.1, XP_021707545.1, XP_021707544.1, XP_021707542.1
OG0000038	XP_035734959.1	XP_021694449.1
OG0000040	XP_035729456.1, XP_035729457.1	XP_001659969.2, XP_001659962.1
OG0000040	XP_035742485.1, XP_035725216.1	XP_021698609.1, XP_021698904.1, XP_001661388.1, XP_021698905.1, XP_021709866.1, XP_001654842.2, XP_001662080.2, XP_001662079.2, XP_001662078.2, XP_001658738.1, XP_001652121.2, XP_001662077.2, XP_001662076.1
OG0000041	XP_035743035.1	XP_001655176.1, XP_001655175.1
OG0000041	XP_035742718.1, XP_035742717.1	XP_001659963.1
OG0000042	XP_035732212.1	XP_021693433.1
OG0000043	XP_035731122.1	XP_001660749.1
OG0000044	XP_035717273.1, XP_035744089.1, XP_035744088.1	XP_001662886.2, XP_021704584.1, XP_021704583.1, XP_021704585.1, XP_001658981.2, XP_001659766.2, XP_001662888.1, XP_021693815.1, XP_001662885.2, XP_021693817.1, XP_001651477.2
OG0000045	XP_035720478.1, XP_035720481.1, XP_035720479.1, XP_035731034.1, XP_035731019.1, XP_035720482.1	XP_001660907.2, XP_021707666.1, XP_001660908.1, XP_001660906.2, XP_001660189.2, XP_001649784.1, XP_001649787.1, XP_001649783.1, XP_001649786.1, XP_001649788.1, XP_001656785.2
OG0000046	XP_035742705.1	XP_021707218.1, XP_011493320.1, XP_021711730.1, XP_021711729.1, XP_021711733.1, XP_021711731.1
OG0000046	XP_035722173.1	XP_021693655.1, XP_021693654.1, XP_021693653.1, XP_021693651.1, XP_021693652.1, XP_021693649.1
OG0000046	XP_035734549.1, XP_035728851.1, XP_035728840.1	XP_021707697.1
OG0000048	XP_035728121.1	XP_001663296.2
OG0000050	XP_035737134.1, XP_035737133.1, XP_035737132.1, XP_035737155.1, XP_035737128.1, XP_035718383.1	XP_001654509.1, XP_011493543.2, XP_001650372.3, XP_001648942.1, XP_001655125.2, XP_021711298.1, XP_001656532.2, XP_021712588.1, XP_001656533.1, XP_021711977.1, XP_021712587.1, XP_001656534.2, XP_021712580.1, XP_001656535.1, XP_021712578.1, XP_001656536.1, XP_021712579.1, XP_021712589.1, XP_001656537.1
OG0000052	XP_035743009.1, XP_035743008.1	XP_001653763.1
OG0000054	XP_035724099.1, XP_035724441.1	XP_001661677.2, XP_001657098.2, XP_001663703.1, XP_001663705.1, XP_001658209.1, XP_001658210.1, XP_001663706.1, XP_001663702.2
OG0000055	XP_035726348.1, XP_035726347.1	XP_021695325.1, XP_021695326.1, XP_001650510.1, XP_021695322.1, XP_021695324.1, XP_021695323.1
OG0000055	XP_035720014.1	XP_001654841.2
OG0000056	XP_035726130.1, XP_035718477.1	XP_021702305.1
OG0000056	XP_035728622.1	XP_021704129.1
OG0000056	XP_035729096.1	XP_021704390.1
OG0000057	XP_035734097.1	XP_001656025.1
OG0000057	XP_035721261.1, XP_035734267.1, XP_035734266.1	XP_021701591.1
OG0000057	XP_035734264.1	XP_001656026.2
OG0000057	XP_035734268.1	XP_001650054.1
OG0000060	XP_035730103.1	XP_001663993.2
OG0000060	XP_035738199.1, XP_035738201.1, XP_035738202.1	XP_021710092.1, XP_021710091.1, XP_001652667.1
OG0000061	XP_035724328.1	XP_021693614.1, XP_021693615.1, XP_021693616.1
OG0000061	XP_035721661.1, XP_035721662.1, XP_035721660.1, XP_035721465.1	XP_001664194.1, XP_001664195.2, XP_001661118.2
OG0000062	XP_035737336.1	XP_001661011.1, XP_001663492.1, XP_001663494.1, XP_001661010.2, XP_001663490.2, XP_001663495.1, XP_021698193.1, XP_001663497.1, XP_001663499.2
OG0000065	XP_035738514.1, XP_035738515.1, XP_035738510.1, XP_035738511.1, XP_035738513.1, XP_035738516.1	XP_011493201.1
OG0000067	XP_035734988.1	XP_001653435.1
OG0000067	XP_035718759.1	XP_001654897.1
OG0000067	XP_035729165.1, XP_035729166.1	XP_001653950.2, XP_001654592.2
OG0000067	XP_035724654.1	XP_001661370.1, XP_021698916.1
OG0000077	XP_035738027.1	XP_001658180.2
OG0000077	XP_035722352.1, XP_035740324.1, XP_035742569.1, XP_035742630.1, XP_035738069.1	XP_001654967.2, XP_001654963.2, XP_021703368.1, XP_001659008.2
OG0000079	XP_035741822.1, XP_035741817.1	XP_001662329.1
OG0000080	XP_035724002.1	XP_021693685.1
OG0000082	XP_035733049.1, XP_035733058.1, XP_035733057.1, XP_035733059.1	XP_021710856.1, XP_021710857.1, XP_021710858.1, XP_021710859.1, XP_001657071.2, XP_021705242.1, XP_021705991.1, XP_001657061.2, XP_021707062.1, XP_021711080.1
OG0000085	XP_035734061.1, XP_035734059.1, XP_035734060.1, XP_035734062.1, XP_035737189.1	XP_001657682.1, XP_021712292.1, XP_001657680.2, XP_021712303.1, XP_001657679.2, XP_021712327.1, XP_021693916.1, XP_021693917.1
OG0000086	XP_035718518.1	XP_021701219.1
OG0000086	XP_035737219.1, XP_035737220.1	XP_021694055.1, XP_001658786.2, XP_001658476.2, XP_001661765.2, XP_001658478.3, XP_001658781.1, XP_021696093.1, XP_021696094.1, XP_001661116.2, XP_001661117.2
OG0000087	XP_035734892.1	XP_001648461.1, XP_001648458.1
OG0000087	XP_035735028.1	XP_001648460.2, XP_001648456.1, XP_001648457.1, XP_001648454.1
OG0000088	XP_035718097.1	XP_021702205.1
OG0000089	XP_035732042.1	XP_001654187.2
OG0000091	XP_035743855.1	XP_021699738.1
OG0000092	XP_035729950.1	XP_021707375.1
OG0000092	XP_035718227.1	XP_021709998.1, XP_001655951.1
OG0000094	XP_035742083.1, XP_035735320.1, XP_035735319.1, XP_035735318.1	XP_021702456.1, XP_001660396.2
OG0000094	XP_035729864.1	XP_001651974.1, XP_001652484.1, XP_001656201.1
OG0000095	XP_035720088.1, XP_035720091.1, XP_035720570.1, XP_035720568.1, XP_035720569.1, XP_035720572.1, XP_035721650.1, XP_035721665.1, XP_035721664.1, XP_035720092.1	XP_001649682.2
OG0000096	XP_035735801.1	XP_001656233.2, XP_001663568.1, XP_021707618.1, XP_001662520.2, XP_021697666.1, XP_021697668.1, XP_021697665.1
OG0000096	XP_035724668.1, XP_035724666.1	XP_021710758.1, XP_021710759.1, XP_001663099.2, XP_021698426.1, XP_001663097.2
OG0000097	XP_035742312.1, XP_035742314.1, XP_035742313.1, XP_035739103.1, XP_035739101.1, XP_035739102.1, XP_035736455.1, XP_035736447.1	XP_021709275.1, XP_021709276.1, XP_011493325.1, XP_021709274.1
OG0000098	XP_035733072.1, XP_035733137.1	XP_001660410.1
OG0000099	XP_035723282.1, XP_035723292.1, XP_035723300.1	XP_021708064.1, XP_021708068.1, XP_021708072.1
OG0000099	XP_035721767.1	XP_001650952.2
OG0000099	XP_035729911.1	XP_021710287.1
OG0000100	XP_035731312.1, XP_035731311.1, XP_035731307.1, XP_035731310.1, XP_035731309.1	XP_001662579.2
OG0000101	XP_035724161.1	XP_001652481.1
OG0000101	XP_035724180.1	XP_021705368.1, XP_001655706.1, XP_021704385.1, XP_021706472.1, XP_001655711.1
OG0000102	XP_035722712.1, XP_035722713.1	XP_001654053.1, XP_021698700.1, XP_021698701.1, XP_021698703.1, XP_021698702.1, XP_021698704.1, XP_021698696.1, XP_021698697.1, XP_021698698.1, XP_021698699.1, XP_021698692.1, XP_021698693.1, XP_021698694.1, XP_001654056.2, XP_001654054.2
OG0000103	XP_035728991.1	XP_001661506.1
OG0000108	XP_035729104.1, XP_035729105.1	XP_001650340.2, XP_021698830.1, XP_001659854.2, XP_021694990.1, XP_021698831.1, XP_021698828.1
OG0000109	XP_035733082.1, XP_035733090.1, XP_035733088.1, XP_035733089.1, XP_035733086.1, XP_035733087.1, XP_035733084.1, XP_035733085.1, XP_035733092.1, XP_035733093.1, XP_035733091.1	XP_021709303.1
OG0000110	XP_035727648.1, XP_035727647.1, XP_035738900.1	XP_021711612.1, XP_021711613.1
OG0000111	XP_035719146.1	XP_021704753.1
OG0000112	XP_035719175.1, XP_035719174.1, XP_035719177.1, XP_035719176.1, XP_035719171.1, XP_035719172.1	XP_001656354.2, XP_021704950.1, XP_021704946.1, XP_001656353.2, XP_021704942.1
OG0000112	XP_035730834.1, XP_035730827.1, XP_035730828.1, XP_035730829.1, XP_035730830.1, XP_035730831.1, XP_035730832.1, XP_035730833.1	XP_021703753.1
OG0000113	XP_035724028.1, XP_035725454.1	XP_021706759.1, XP_021708730.1, XP_021699104.1, XP_021711742.1, XP_021704959.1, XP_001659002.1, XP_001664257.2, XP_001664258.1, XP_021712497.1, XP_001658997.1, XP_001659000.1, XP_001658999.1, XP_021712496.1, XP_001659001.1, XP_001659007.1
OG0000114	XP_035719468.1	XP_001656658.2
OG0000115	XP_035719374.1, XP_035728117.1	XP_021711348.1
OG0000116	XP_035728572.1, XP_035728573.1, XP_035728508.1, XP_035728506.1, XP_035728507.1	XP_021695569.1
OG0000117	XP_035721151.1	XP_001658273.1
OG0000117	XP_035728960.1	XP_021708342.1, XP_021708343.1, XP_021708344.1, XP_021708345.1, XP_021708346.1
OG0000119	XP_035728103.1, XP_035728091.1, XP_035728092.1, XP_035728099.1, XP_035728090.1, XP_035728088.1	XP_021699975.1, XP_021699973.1, XP_021699978.1, XP_021699974.1
OG0000120	XP_035743508.1	XP_021702687.1
OG0000122	XP_035742190.1	XP_001650409.1, XP_021711773.1
OG0000122	XP_035722129.1	XP_021707885.1
OG0000123	XP_035725246.1, XP_035725252.1	XP_001658691.1, XP_021703858.1, XP_021703857.1, XP_021703856.1, XP_021703860.1, XP_021703865.1, XP_021703863.1, XP_021703864.1, XP_021703861.1, XP_021703862.1, XP_021703859.1
OG0000124	XP_035724659.1	XP_021693241.1, XP_021693242.1, XP_021693243.1, XP_021693244.1, XP_021693245.1, XP_021693246.1, XP_021693247.1, XP_021693248.1
OG0000125	XP_035743368.1, XP_035743367.1	XP_001657204.2
OG0000126	XP_035731654.1, XP_035731655.1, XP_035731651.1, XP_035731652.1, XP_035731657.1, XP_035731656.1, XP_035731659.1, XP_035731653.1, XP_035731650.1	XP_021694197.1
OG0000127	XP_035718002.1, XP_035726611.1, XP_035726612.1, XP_035720274.1	XP_021695483.1, XP_021695480.1, XP_021695481.1, XP_021695484.1
OG0000127	XP_035726374.1	XP_021705806.1, XP_021705807.1, XP_001657917.3
OG0000129	XP_035741994.1, XP_035741995.1	XP_021700581.1, XP_021700580.1, XP_021700583.1, XP_001650044.1, XP_021700585.1, XP_021700582.1, XP_021700584.1
OG0000130	XP_035721963.1, XP_035721970.1, XP_035721971.1, XP_035721969.1, XP_035721972.1	XP_021695251.1
OG0000130	XP_035721444.1	XP_021700367.1
OG0000131	XP_035742296.1	XP_021705306.1
OG0000131	XP_035733339.1, XP_035733338.1	XP_021707624.1, XP_021707623.1, XP_021707625.1, XP_001652515.1
OG0000132	XP_035721782.1, XP_035721781.1	XP_001653225.3, XP_021709729.1, XP_021709728.1, XP_021709730.1, XP_021709732.1, XP_021709733.1, XP_021709734.1
OG0000132	XP_035732604.1	XP_021700410.1, XP_001660044.3, XP_001660042.3
OG0000133	XP_035741242.1	XP_021702724.1, XP_021702723.1
OG0000133	XP_035729059.1	XP_021702554.1
OG0000134	XP_035740651.1	XP_001652277.1
OG0000135	XP_035717163.1	XP_021711278.1, XP_021711277.1, XP_001651832.2
OG0000135	XP_035725594.1	XP_021697743.1, XP_021697742.1, XP_001649900.1, XP_021697746.1, XP_021697744.1, XP_021697745.1
OG0000136	XP_035728633.1, XP_035728680.1, XP_035728635.1, XP_035728634.1	XP_021698234.1, XP_001663772.2, XP_001661186.2, XP_021701760.1, XP_021701761.1, XP_021701762.1, XP_001663776.1, XP_021712126.1, XP_001660827.1, XP_001656378.1, XP_001656375.1
OG0000137	XP_035738396.1, XP_035732267.1	XP_021710706.1, XP_021710707.1, XP_021710708.1, XP_021710709.1
OG0000138	XP_035730963.1, XP_035730973.1, XP_035730946.1, XP_035730956.1, XP_035730998.1, XP_035731008.1, XP_035730984.1, XP_035730990.1, XP_035722005.1	XP_021712084.1, XP_021694527.1
OG0000139	XP_035719417.1, XP_035719753.1	XP_001663072.2
OG0000141	XP_035722354.1, XP_035722355.1	XP_021706046.1
OG0000141	XP_035722392.1, XP_035722391.1	XP_001663030.2
OG0000143	XP_035726588.1, XP_035726587.1, XP_035726585.1, XP_035726586.1	XP_021706097.1, XP_021706098.1, XP_021706096.1, XP_021706093.1, XP_021706094.1
OG0000144	XP_035721338.1, XP_035721747.1	XP_001663963.2, XP_001661466.2, XP_001659531.1, XP_021708224.1, XP_001657247.2, XP_021709081.1, XP_021705010.1, XP_001658835.2
OG0000145	XP_035739706.1, XP_035739705.1, XP_035732035.1, XP_035732034.1, XP_035732031.1, XP_035732032.1, XP_035732029.1, XP_035732030.1, XP_035732028.1, XP_035732033.1	XP_001661017.2
OG0000146	XP_035732991.1, XP_035732990.1, XP_035732989.1, XP_035732988.1	XP_001662762.1, XP_021707130.1, XP_001649220.1
OG0000147	XP_035736865.1, XP_035736867.1, XP_035736868.1, XP_035736866.1, XP_035734708.1	XP_021708848.1, XP_001659371.1
OG0000149	XP_035726837.1	XP_021701465.1
OG0000149	XP_035726846.1, XP_035726843.1, XP_035726842.1, XP_035726847.1, XP_035726845.1	XP_021701466.1, XP_021701469.1, XP_021701468.1, XP_021701472.1, XP_021701467.1
OG0000150	XP_035733965.1, XP_035733966.1, XP_035733963.1, XP_035733964.1, XP_035733961.1, XP_035733962.1	XP_021698126.1, XP_021698125.1, XP_021698128.1, XP_021698127.1
OG0000151	XP_035735864.1, XP_035735857.1, XP_035735862.1, XP_035735863.1, XP_035735861.1, XP_035735859.1, XP_035735858.1	XP_021697798.1
OG0000152	XP_035722053.1	XP_001653160.1
OG0000153	XP_035727062.1	XP_021697591.1, XP_021697584.1, XP_021697583.1, XP_021697588.1, XP_021697587.1, XP_021697586.1, XP_021697585.1, XP_021697590.1, XP_021697589.1
OG0000154	XP_035743057.1, XP_035743056.1	XP_001662815.2
OG0000156	XP_035723493.1	XP_021696919.1, XP_021712121.1
OG0000157	XP_035732192.1, XP_035732282.1, XP_035732281.1	XP_001655764.1, XP_011493631.1, XP_001655766.1, XP_001655767.1, XP_021702729.1
OG0000158	XP_035740201.1, XP_035740054.1, XP_035740197.1, XP_035740199.1, XP_035740200.1, XP_035740198.1	XP_021696507.1, XP_021696509.1, XP_021698714.1
OG0000160	XP_035723999.1	XP_021709766.1
OG0000160	XP_035733330.1, XP_035733325.1, XP_035733326.1, XP_035733328.1, XP_035733329.1	XP_021707900.1, XP_021710525.1, XP_001662274.1
OG0000161	XP_035719666.1, XP_035719656.1, XP_035719675.1	XP_001656119.2
OG0000162	XP_035731205.1	XP_021694432.1
OG0000162	XP_035740246.1, XP_035740247.1	XP_021706951.1
OG0000164	XP_035732501.1	XP_021710131.1, XP_021698765.1
OG0000164	XP_035732024.1	XP_001654887.2, XP_021701278.1, XP_001654888.2, XP_021697710.1, XP_021695328.1
OG0000165	XP_035743313.1, XP_035743321.1, XP_035743314.1, XP_035743315.1, XP_035743316.1, XP_035743317.1, XP_035743320.1, XP_035743319.1, XP_035743322.1, XP_035743323.1	XP_021697212.1
OG0000165	XP_035734576.1	XP_021704115.1, XP_021704136.1, XP_021704202.1
OG0000166	XP_035717393.1, XP_035717400.1, XP_035717381.1, XP_035717387.1, XP_035717382.1, XP_035717384.1	XP_021694247.1, XP_021704926.1, XP_021704934.1, XP_021704935.1
OG0000168	XP_035736898.1	XP_021712003.1, XP_021699894.1
OG0000168	XP_035731474.1	XP_021705545.1
OG0000169	XP_035729103.1, XP_035729296.1	XP_021702706.1
OG0000170	XP_035742479.1, XP_035742502.1, XP_035742492.1, XP_035742486.1	XP_021699236.1
OG0000171	XP_035741201.1, XP_035741202.1, XP_035741205.1, XP_035741206.1	XP_001654890.1, XP_001654889.1, XP_001654886.2, XP_001656792.2
OG0000173	XP_035733795.1, XP_035733793.1, XP_035733794.1, XP_035733792.1	XP_021694163.1, XP_001649426.1
OG0000174	XP_035731433.1	XP_021704325.1, XP_021704326.1
OG0000175	XP_035729116.1, XP_035729110.1, XP_035729111.1, XP_035729112.1, XP_035729113.1	XP_001654240.1
OG0000177	XP_035739406.1	XP_001651644.2
OG0000177	XP_035739374.1	XP_021707471.1, XP_021707472.1
OG0000177	XP_035739564.1	XP_001651645.1
OG0000178	XP_035725180.1	XP_021707000.1, XP_021706999.1
OG0000179	XP_035719102.1, XP_035719101.1	XP_001655662.1, XP_021712235.1
OG0000180	XP_035743555.1, XP_035743552.1, XP_035743551.1, XP_035743554.1	XP_001654382.1, XP_001654381.1, XP_021693530.1, XP_021693529.1
OG0000181	XP_035731090.1, XP_035731089.1, XP_035731092.1, XP_035731091.1	XP_001656977.3
OG0000183	XP_035738622.1, XP_035738621.1, XP_035738620.1, XP_035738623.1	XP_001655456.2
OG0000183	XP_035739701.1	XP_021704629.1, XP_021704627.1
OG0000185	XP_035733203.1, XP_035733201.1, XP_035733205.1, XP_035733204.1, XP_035733207.1, XP_035733206.1, XP_035733199.1, XP_035733200.1	XP_001651366.1
OG0000186	XP_035733371.1, XP_035733372.1, XP_035733373.1, XP_035733370.1, XP_035733460.1, XP_035733368.1, XP_035733369.1	XP_001658387.1, XP_021710177.1, XP_001652490.2
OG0000187	XP_035731676.1, XP_035731677.1	XP_021703024.1, XP_021703026.1, XP_021703025.1, XP_021703030.1, XP_021703029.1, XP_021703028.1, XP_021703027.1
OG0000188	XP_035731793.1	XP_021694895.1
OG0000188	XP_035740046.1	XP_001656810.1, XP_001656809.1
OG0000189	XP_035728865.1	XP_001655460.2
OG0000189	XP_035728855.1	XP_001655465.2, XP_001655464.2
OG0000190	XP_035728040.1, XP_035728039.1	XP_001660557.1
OG0000191	XP_035735127.1	XP_021708624.1, XP_021708625.1, XP_001651643.2, XP_021711114.1, XP_001658852.2, XP_021709915.1, XP_021708162.1, XP_021706594.1, XP_001647986.1, XP_021707346.1, XP_021705110.1, XP_001661290.1, XP_021706490.1
OG0000192	XP_035718570.1, XP_035718565.1, XP_035718569.1, XP_035718568.1, XP_035718562.1, XP_035718563.1, XP_035718564.1	XP_001664087.2
OG0000194	XP_035728644.1	XP_001658607.2
OG0000198	XP_035723755.1	XP_021706486.1
OG0000200	XP_035719894.1, XP_035719895.1	XP_001655242.1
OG0000201	XP_035742700.1	XP_001663057.1
OG0000202	XP_035742672.1, XP_035742669.1, XP_035742670.1	XP_021695300.1
OG0000203	XP_035739190.1	XP_001662504.2
OG0000203	XP_035727456.1, XP_035727445.1, XP_035727495.1, XP_035727486.1, XP_035727526.1, XP_035727477.1, XP_035727505.1, XP_035727467.1, XP_035727516.1	XP_021697410.1
OG0000204	XP_035736371.1, XP_035736362.1, XP_035736353.1, XP_035736365.1, XP_035731143.1	XP_021704598.1, XP_021704597.1, XP_001656463.1
OG0000205	XP_035727194.1, XP_035727191.1, XP_035727193.1	XP_021697855.1, XP_021697857.1, XP_021697856.1, XP_021697859.1, XP_021697858.1, XP_021697862.1, XP_021697860.1
OG0000206	XP_035731791.1	XP_001651825.1, XP_021704991.1
OG0000206	XP_035731805.1	XP_001648552.1
OG0000207	XP_035718709.1	XP_001650660.1
OG0000207	XP_035726226.1, XP_035726227.1	XP_021698130.1
OG0000208	XP_035726225.1	XP_021698134.1, XP_021698133.1
OG0000208	XP_035721855.1	XP_001653727.1
OG0000209	XP_035728112.1	XP_021711015.1, XP_021711016.1
OG0000210	XP_035733688.1, XP_035732804.1	XP_021702938.1
OG0000210	XP_035723457.1	XP_001655152.2
OG0000212	XP_035737335.1, XP_035737458.1	XP_001650168.2, XP_001650170.2, XP_001650169.2, XP_021705033.1
OG0000213	XP_035723104.1	XP_001660162.2
OG0000214	XP_035723354.1, XP_035723352.1, XP_035723353.1, XP_035723355.1	XP_001653648.2
OG0000214	XP_035741447.1, XP_035741444.1	XP_001660495.2, XP_001648014.1
OG0000215	XP_035724895.1, XP_035724894.1, XP_035724898.1, XP_035724897.1	XP_001650687.1
OG0000216	XP_035724451.1	XP_021695787.1, XP_021695812.1, XP_001658816.2, XP_001660657.2, XP_001652926.3, XP_021705200.1, XP_001652928.1, XP_001652922.1, XP_021704573.1, XP_001656766.3, XP_001663987.1, XP_001652925.2
OG0000217	XP_035740471.1	XP_021712681.1, XP_001656258.2, XP_021707319.1, XP_021696760.1, XP_021696771.1, XP_021694727.1
OG0000218	XP_035726856.1	XP_021706089.1, XP_001660419.1
OG0000219	XP_035741255.1, XP_035741253.1, XP_035741259.1, XP_035741260.1, XP_035741251.1, XP_035741257.1, XP_035741254.1, XP_035741252.1, XP_035741256.1	XP_001650937.1, XP_021711710.1
