	Apis_mellifera	Bombus_terrestris	Ceratina_calcarata	Dufourea_novaeangliae	Eufriesea_mexicana	Habropoda_laboriosa	Megachile_rotundata	Megalopta_genalis	Nomia_melanderi	Osmia_bicornis	Osmia_lignaria
'9	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.1	0.1
'10	0.0	0.1	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.1	0.1
11-15	0.1	0.1	0.1	0.0	0.0	0.0	0.1	0.1	0.3	0.1	0.1
16-20	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.1	0.1
21-50	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes	Number of genes
'0	0	0	0	0	0	0	0	0	0	0	0
'1	7696	7867	7570	8638	8391	8776	7730	7317	7556	7676	7776
'2	2362	2202	2608	1036	1606	1000	2380	2450	2032	2474	2226
'3	768	972	1056	333	537	267	1041	1098	1044	1080	1101
'4	356	664	592	128	252	144	580	528	688	716	616
'5	135	400	355	95	150	120	385	465	415	395	405
'6	138	324	234	60	120	72	216	246	330	276	258
'7	98	147	168	0	70	35	203	126	280	196	133
'8	80	96	128	0	88	32	144	72	224	208	136
'9	27	90	45	9	9	9	117	72	117	90	81
'10	10	60	30	30	30	10	70	30	70	90	60
11-15	71	99	113	25	12	37	157	99	371	193	188
16-20	38	16	54	20	16	0	34	109	65	127	123
21-50	42	23	78	22	0	72	81	0	26	157	48
51-100	0	0	0	0	0	0	0	0	0	0	0
101-150	0	0	0	0	0	0	0	0	0	0	0
151-200	0	0	0	0	0	0	0	0	0	0	0
201-500	0	0	0	0	0	0	0	0	0	0	0
501-1000	0	0	0	0	0	0	0	0	0	0	0
'1001+	0	0	0	0	0	0	0	0	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1	64.0	59.4	56.0	82.4	73.0	82.1	57.2	57.0	56.3	55.4	58.5
'2	19.7	16.6	19.3	9.9	14.0	9.4	17.6	19.1	15.1	17.9	16.7
'3	6.4	7.3	7.8	3.2	4.7	2.5	7.7	8.6	7.8	7.8	8.3
'4	3.0	5.0	4.4	1.2	2.2	1.3	4.3	4.1	5.1	5.2	4.6
'5	1.1	3.0	2.6	0.9	1.3	1.1	2.8	3.6	3.1	2.9	3.0
'6	1.1	2.4	1.7	0.6	1.0	0.7	1.6	1.9	2.5	2.0	1.9
'7	0.8	1.1	1.2	0.0	0.6	0.3	1.5	1.0	2.1	1.4	1.0
'8	0.7	0.7	0.9	0.0	0.8	0.3	1.1	0.6	1.7	1.5	1.0
'9	0.2	0.7	0.3	0.1	0.1	0.1	0.9	0.6	0.9	0.6	0.6
'10	0.1	0.5	0.2	0.3	0.3	0.1	0.5	0.2	0.5	0.6	0.5
11-15	0.6	0.7	0.8	0.2	0.1	0.3	1.2	0.8	2.8	1.4	1.4
16-20	0.3	0.1	0.4	0.2	0.1	0.0	0.3	0.8	0.5	0.9	0.9
21-50	0.3	0.2	0.6	0.2	0.0	0.7	0.6	0.0	0.2	1.1	0.4
51-100	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
101-150	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
151-200	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
201-500	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
501-1000	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
'1001+	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
