Orthogroup	Nomia_melanderi	Drosophila_melanogaster
OG0000100	XP_031841397.1, XP_031841398.1, XP_031841396.1, XP_031841400.1, XP_031841409.1, XP_031841408.1, XP_031841399.1, XP_031841403.1, XP_031841402.1, XP_031841407.1, XP_031841406.1, XP_031841405.1, XP_031841404.1, XP_031841395.1	NP_001262908.1, NP_001262907.1
OG0000101	XP_031848007.1	NP_001286204.1, NP_610403.1, NP_609640.1
OG0000101	XP_031848006.1	NP_001285802.1, NP_001015212.1
OG0000102	XP_031830192.1, XP_031830247.1, XP_031830259.1	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2
OG0000103	XP_031830730.1	NP_001303368.1
OG0000108	XP_031836809.1	NP_648918.1
OG0000109	XP_031828710.1, XP_031828711.1, XP_031828714.1, XP_031828715.1, XP_031828712.1, XP_031828713.1, XP_031828722.1, XP_031828723.1, XP_031828724.1, XP_031828718.1, XP_031828720.1, XP_031828721.1, XP_031828719.1, XP_031828716.1	NP_648392.1, NP_001245736.1
OG0000110	XP_031837099.1, XP_031848100.1, XP_031848102.1	NP_788521.2, NP_729246.2, NP_729014.1
OG0000111	XP_031842672.1	NP_650264.1
OG0000112	XP_031831414.1	NP_001369123.1
OG0000113	XP_031838147.1, XP_031842250.1	NP_650037.2, NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2, NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1, NP_649688.1
OG0000114	XP_031825659.1	NP_572582.1, NP_651168.1, NP_524362.2, NP_001303421.1, NP_650380.2
OG0000115	XP_031842331.1, XP_031842255.1	NP_001261040.1
OG0000117	XP_031840830.1	NP_001286115.1
OG0000117	XP_031841113.1, XP_031841103.1, XP_031841094.1, XP_031841084.1, XP_031841121.1, XP_031841052.1, XP_031841129.1, XP_031841059.1, XP_031841076.1, XP_031841068.1, XP_031841042.1	NP_001262809.1
OG0000120	XP_031837143.1, XP_031837140.1, XP_031837139.1, XP_031837144.1, XP_031837141.1, XP_031837145.1, XP_031837146.1, XP_031837147.1, XP_031837148.1, XP_031837149.1	NP_001260010.1, NP_001162947.1
OG0000122	XP_031848880.1	NP_001287102.1, NP_001163462.1, NP_649023.1
OG0000122	XP_031839754.1, XP_031839755.1, XP_031839753.1, XP_031839752.1, XP_031839750.1, XP_031839749.1	NP_610807.3
OG0000123	XP_031829219.1	NP_001259925.1
OG0000124	XP_031838642.1, XP_031838635.1, XP_031838638.1, XP_031838640.1, XP_031838636.1, XP_031838637.1, XP_031838643.1, XP_031838641.1	NP_001260435.1, NP_001245746.1
OG0000125	XP_031839027.1, XP_031839025.1, XP_031838819.1, XP_031838775.1	NP_651172.1, NP_001097888.1
OG0000126	XP_031846352.1	NP_477498.1, NP_996167.1
OG0000127	XP_031849581.1, XP_031849592.1, XP_031846850.1	NP_001261916.1
OG0000129	XP_031848648.1, XP_031848647.1	NP_001188842.2
OG0000130	XP_031826226.1, XP_031826291.1	NP_723165.2
OG0000130	XP_031826201.1	NP_001014474.3
OG0000131	XP_031828484.1	NP_001259087.1
OG0000131	XP_031840624.1, XP_031840625.1, XP_031840622.1, XP_031840623.1	NP_001097667.1
OG0000132	XP_031829308.1	NP_001245934.1, NP_001137808.1, NP_609121.2
OG0000132	XP_031845637.1, XP_031845638.1, XP_031845639.1	NP_001245823.1, NP_724088.2, NP_724087.1
OG0000133	XP_031836871.1, XP_031836868.1	NP_001368939.1
OG0000134	XP_031836169.1	NP_572838.2
OG0000134	XP_031832250.1	NP_610678.1
OG0000135	XP_031839483.1	NP_001286904.1
OG0000135	XP_031849617.1, XP_031849615.1, XP_031849616.1, XP_031849618.1	NP_524655.1
OG0000136	XP_031828129.1, XP_031828130.1, XP_031827941.1, XP_031829540.1	NP_611126.1, NP_611131.2, NP_001285647.1, NP_001097337.1
OG0000137	XP_031838894.1, XP_031830054.1, XP_031830055.1, XP_031830052.1	NP_727460.1, NP_611465.2
OG0000138	XP_031839076.1, XP_031839079.1	NP_001036303.2
OG0000139	XP_031836046.1, XP_031836045.1, XP_031836044.1, XP_031836043.1, XP_031836055.1, XP_031836054.1	NP_651882.1
OG0000141	XP_031837195.1	NP_001287037.1
OG0000141	XP_031839814.1	NP_651471.2
OG0000143	XP_031839633.1, XP_031839547.1	NP_001259687.1
OG0000144	XP_031829750.1, XP_031829749.1, XP_031829842.1	NP_001287042.1, NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1
OG0000145	XP_031837412.1, XP_031838797.1, XP_031838795.1	NP_651930.2
OG0000146	XP_031825439.1	NP_648843.1
OG0000146	XP_031844338.1	NP_610294.1
OG0000147	XP_031846647.1	NP_001245762.1
OG0000149	XP_031844539.1	NP_647686.1
OG0000150	XP_031826266.1, XP_031826326.1	NP_001246198.1
OG0000151	XP_031850487.1, XP_031850486.1, XP_031850491.1, XP_031850490.1, XP_031850493.1, XP_031850492.1, XP_031850494.1, XP_031850488.1	NP_001287124.1
OG0000152	XP_031830368.1	NP_001260743.1
OG0000153	XP_031837357.1, XP_031837349.1, XP_031837338.1, XP_031837284.1, XP_031837302.1, XP_031837367.1, XP_031837294.1, XP_031837319.1, XP_031837312.1, XP_031837329.1, XP_031837276.1	NP_001261584.1
OG0000154	XP_031838095.1	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1
OG0000156	XP_031828385.1, XP_031828383.1, XP_031828384.1, XP_031828378.1, XP_031828379.1, XP_031828380.1, XP_031828382.1, XP_031828374.1, XP_031828375.1, XP_031828376.1, XP_031828377.1, XP_031828389.1, XP_031828387.1, XP_031828386.1, XP_031828373.1, XP_031828388.1	NP_647767.1
OG0000157	XP_031827834.1, XP_031827676.1	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1
OG0000158	XP_031833446.1, XP_031833445.1	NP_648354.1
OG0000160	XP_031835553.1	NP_001034016.1, NP_649019.2
OG0000160	XP_031840569.1, XP_031840564.1, XP_031840565.1, XP_031840566.1, XP_031840570.1	NP_649428.1
OG0000161	XP_031840747.1, XP_031840748.1, XP_031840749.1	NP_001261749.1, NP_788501.1
OG0000162	XP_031844217.1	NP_001097669.2
OG0000162	XP_031846677.1, XP_031846685.1	NP_001262916.1
OG0000164	XP_031838886.1, XP_031838889.1, XP_031838888.1	NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1
OG0000165	XP_031845761.1	NP_001245593.1
OG0000165	XP_031849879.1	NP_001284986.1
OG0000166	XP_031834782.1, XP_031834789.1, XP_031834779.1, XP_031834778.1, XP_031834773.1	NP_001097498.1
OG0000168	XP_031840911.1	NP_996226.2
OG0000168	XP_031842375.1	NP_001261571.1, NP_001246162.1
OG0000171	XP_031825968.1, XP_031826361.1, XP_031826360.1, XP_031826362.1	NP_609310.2, NP_609309.1
OG0000173	XP_031842563.1, XP_031842562.1, XP_031842566.1, XP_031842567.1, XP_031842564.1, XP_031842565.1, XP_031842571.1, XP_031842572.1, XP_031842568.1, XP_031842569.1	NP_001247239.1
OG0000174	XP_031832594.1, XP_031832593.1, XP_031832592.1	NP_725682.2, NP_001286533.1, NP_611218.1
OG0000175	XP_031837388.1, XP_031837387.1, XP_031837386.1, XP_031837392.1, XP_031837391.1, XP_031837389.1	NP_001163218.1
OG0000177	XP_031850035.1	NP_001261827.1
OG0000177	XP_031849982.1, XP_031849983.1	NP_001261829.1
OG0000177	XP_031849977.1, XP_031849980.1	NP_001261830.1
OG0000178	XP_031843734.1	NP_001356914.1
OG0000179	XP_031842123.1	NP_523366.2, NP_648697.1
OG0000180	XP_031829739.1, XP_031829734.1, XP_031829738.1, XP_031829737.1, XP_031829736.1, XP_031829735.1	NP_001027161.1
OG0000182	XP_031841728.1	NP_001163460.1
OG0000183	XP_031838925.1	NP_001287555.1
OG0000183	XP_031828691.1, XP_031828693.1, XP_031828695.1, XP_031828694.1, XP_031828690.1	NP_524074.1
OG0000184	XP_031846910.1	NP_995642.1, NP_523504.2, NP_001162633.1
OG0000185	XP_031829650.1, XP_031829646.1, XP_031829645.1, XP_031829647.1	NP_001259439.1
OG0000186	XP_031834869.1	NP_573320.1
OG0000187	XP_031844556.1, XP_031844565.1, XP_031844499.1, XP_031844479.1, XP_031844458.1, XP_031844469.1, XP_031844528.1, XP_031844537.1, XP_031844547.1, XP_031844448.1, XP_031844518.1, XP_031844439.1, XP_031844509.1, XP_031844574.1, XP_031844582.1, XP_031844489.1	NP_001188856.1
OG0000188	XP_031843391.1	NP_477462.1
OG0000188	XP_031834431.1	NP_524551.2, NP_476974.1
OG0000189	XP_031837615.1	NP_608557.4, NP_523485.3, NP_523484.2, NP_001036373.1
OG0000190	XP_031829381.1, XP_031829385.1, XP_031829383.1, XP_031829384.1, XP_031829386.1	NP_732717.1
OG0000191	XP_031843261.1	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2, NP_001246909.1, NP_477232.1, NP_648125.3
OG0000192	XP_031847208.1	NP_611994.3
OG0000194	XP_031843496.1, XP_031843495.1	NP_648207.1
OG0000196	XP_031841275.1	NP_001261758.1
OG0000196	XP_031836104.1, XP_031836105.1, XP_031836106.1, XP_031836107.1, XP_031836103.1	NP_730938.1
OG0000197	XP_031837253.1, XP_031837082.1	NP_001287082.1
OG0000198	XP_031827645.1, XP_031827644.1	NP_611747.2
OG0000200	XP_031827782.1	NP_001262796.1
OG0000200	XP_031849412.1, XP_031849414.1	NP_001259616.1
OG0000201	XP_031831080.1	NP_649026.1
OG0000203	XP_031840442.1	NP_001369023.1, NP_001287406.1, NP_650804.2, NP_650803.1
OG0000203	XP_031831628.1, XP_031831625.1, XP_031831627.1, XP_031831626.1	NP_648067.2
OG0000204	XP_031827654.1, XP_031827655.1, XP_031827656.1, XP_031827653.1	NP_001188590.1
OG0000205	XP_031844495.1, XP_031844500.1, XP_031844501.1	NP_001097505.1
OG0000206	XP_031826752.1	NP_650893.2
OG0000206	XP_031826808.1, XP_031826811.1, XP_031826810.1, XP_031826809.1	NP_001097707.1, NP_001287222.1
OG0000207	XP_031850268.1	NP_001286310.1, NP_001287091.1
OG0000207	XP_031841289.1, XP_031841290.1	NP_001246139.1
OG0000208	XP_031841274.1	NP_001137606.1
OG0000209	XP_031835069.1, XP_031835073.1, XP_031835072.1, XP_031835071.1, XP_031835076.1, XP_031835075.1, XP_031835074.1	NP_001163199.1
OG0000212	XP_031834616.1, XP_031829597.1, XP_031829541.1	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1
OG0000213	XP_031829822.1, XP_031829824.1, XP_031829823.1	NP_648589.1
OG0000214	XP_031832084.1	NP_001260290.1
OG0000214	XP_031850423.1, XP_031850412.1, XP_031850402.1, XP_031850430.1, XP_031850440.1, XP_031850450.1	NP_001247324.1
OG0000215	XP_031842767.1, XP_031842763.1, XP_031842762.1, XP_031842761.1, XP_031842768.1, XP_031842764.1, XP_031842770.1	NP_649139.1
OG0000216	XP_031833974.1	NP_524598.1, NP_001262008.1, NP_572780.3, NP_573003.2, NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1
OG0000217	XP_031838827.1	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1
OG0000218	XP_031843157.1, XP_031843154.1, XP_031843156.1, XP_031843159.1, XP_031843158.1, XP_031843153.1, XP_031843152.1, XP_031843150.1, XP_031843149.1, XP_031843148.1, XP_031843151.1, XP_031843147.1, XP_031843160.1	NP_649086.2
OG0000219	XP_031844648.1, XP_031844645.1, XP_031844649.1, XP_031844644.1, XP_031844646.1	NP_610764.1
OG0000220	XP_031848722.1, XP_031848723.1, XP_031848720.1, XP_031848721.1, XP_031848719.1, XP_031848724.1, XP_031848727.1, XP_031848726.1	NP_650528.1
OG0000221	XP_031847181.1, XP_031847176.1, XP_031847173.1, XP_031847174.1, XP_031847177.1, XP_031847178.1, XP_031847170.1, XP_031847180.1, XP_031847179.1, XP_031847182.1, XP_031847172.1, XP_031847171.1	NP_001036320.3
OG0000223	XP_031843281.1	NP_523986.2
OG0000223	XP_031834465.1	NP_524142.2, NP_524141.1
OG0000224	XP_031845107.1	NP_647862.1, NP_728942.1
OG0000225	XP_031845382.1, XP_031845330.1, XP_031845328.1, XP_031845327.1	NP_536756.1
OG0000226	XP_031845835.1, XP_031845830.1	NP_001356958.1
OG0000226	XP_031845816.1	NP_611241.2
OG0000227	XP_031841465.1, XP_031841460.1, XP_031841461.1, XP_031841463.1, XP_031841462.1, XP_031841466.1	NP_001262022.1
OG0000229	XP_031828353.1, XP_031828352.1	NP_726223.1, NP_001303360.1, NP_001246468.1
OG0000231	XP_031830558.1, XP_031830557.1	NP_650028.1, NP_650029.1, NP_001285882.1
OG0000232	XP_031848186.1, XP_031848188.1, XP_031848187.1, XP_031848189.1	NP_001303567.1
OG0000233	XP_031828212.1, XP_031828211.1	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1
OG0000234	XP_031838672.1, XP_031838671.1, XP_031838673.1	NP_726740.1, NP_649880.1, NP_649881.1
OG0000235	XP_031837012.1, XP_031837013.1	NP_001261046.1
OG0000236	XP_031847306.1	NP_524368.5
OG0000237	XP_031848024.1	NP_523863.1
OG0000237	XP_031848023.1	NP_523862.1
OG0000239	XP_031848984.1	NP_733091.1, NP_611452.2, NP_001285793.1, NP_651369.1, NP_001027211.3, NP_001287526.1, NP_651371.1, NP_733121.1, NP_651372.1, NP_651370.2, NP_001262006.1, NP_001260130.1, NP_569859.1, NP_609015.2, NP_573269.1
OG0000241	XP_031848668.1, XP_031848664.1, XP_031839440.1, XP_031829061.1, XP_031829071.1	NP_001097059.1, NP_647821.2, NP_001285749.1
OG0000243	XP_031836576.1, XP_031836577.1	NP_608584.1, NP_523761.2
OG0000244	XP_031832857.1, XP_031832858.1, XP_031832855.1, XP_031832856.1, XP_031832846.1, XP_031832851.1, XP_031832860.1, XP_031832863.1, XP_031832862.1, XP_031832853.1, XP_031832854.1, XP_031832848.1, XP_031832852.1, XP_031832850.1, XP_031832859.1, XP_031832861.1, XP_031832849.1	NP_610117.1
OG0000245	XP_031828652.1	NP_476812.1, NP_610443.1, NP_524760.1
OG0000246	XP_031841788.1	NP_724163.1
OG0000246	XP_031841790.1, XP_031841789.1	NP_476592.1
OG0000247	XP_031825523.1, XP_031825522.1	NP_651898.2, NP_001096949.1
OG0000247	XP_031825527.1	NP_649833.1, NP_648548.1
OG0000249	XP_031846178.1, XP_031846219.1	NP_572996.1
OG0000250	XP_031847829.1, XP_031835810.1	NP_650508.1, NP_001285102.1
OG0000252	XP_031844068.1, XP_031844065.1, XP_031844066.1, XP_031844063.1, XP_031844064.1, XP_031844071.1, XP_031844072.1, XP_031844073.1, XP_031844067.1, XP_031844069.1, XP_031844070.1	NP_730950.2
OG0000253	XP_031840596.1, XP_031840598.1, XP_031840599.1	NP_001263132.1
OG0000254	XP_031832122.1	NP_732295.1
OG0000254	XP_031833515.1	NP_001368946.1
OG0000255	XP_031850284.1	NP_001033900.2, NP_572436.1
OG0000256	XP_031847101.1, XP_031847102.1, XP_031847099.1, XP_031847100.1	NP_732900.1
OG0000257	XP_031832830.1, XP_031832832.1	NP_001262861.1
OG0000257	XP_031832827.1	NP_001287485.1
OG0000259	XP_031841988.1, XP_031842008.1	NP_723538.3
OG0000260	XP_031842067.1	NP_001261383.1
OG0000261	XP_031846061.1, XP_031846059.1, XP_031846060.1, XP_031846057.1, XP_031846056.1, XP_031846055.1, XP_031846054.1, XP_031846053.1	NP_001286161.1, NP_610318.1, NP_610319.2
OG0000263	XP_031835360.1, XP_031835362.1, XP_031835361.1	NP_001285111.1
OG0000264	XP_031832256.1	NP_001033939.2
OG0000264	XP_031841809.1, XP_031841810.1	NP_476735.1
OG0000265	XP_031849046.1, XP_031836082.1, XP_031848965.1, XP_031836096.1	NP_649517.1, NP_650190.1
OG0000266	XP_031847517.1	NP_524387.1
OG0000266	XP_031836489.1, XP_031836488.1	NP_001285202.1
OG0000268	XP_031848594.1	NP_001285901.1, NP_001262995.1
OG0000269	XP_031828528.1, XP_031828529.1, XP_031828526.1, XP_031828527.1, XP_031828531.1, XP_031828530.1, XP_031828532.1	NP_001284901.1
OG0000270	XP_031834112.1	NP_001034048.2
