Orthogroup	Nomia_melanderi	Polistes_dominula
OG0000024	XP_031825741.1	XP_015181824.1
OG0000025	XP_031834418.1	XP_015189019.1
OG0000026	XP_031843508.1	XP_015181461.1, XP_015181460.1
OG0000026	XP_031834026.1	XP_015187707.1, XP_015187708.1, XP_015187709.1, XP_015187706.1
OG0000026	XP_031839037.1	XP_015191534.1
OG0000027	XP_031839376.1	XP_015190876.1, XP_015177661.1, XP_015177662.1, XP_015172645.1
OG0000029	XP_031827213.1, XP_031827214.1, XP_031827215.1	XP_015185507.1
OG0000029	XP_031829841.1	XP_015172137.1
OG0000030	XP_031839105.1, XP_031839104.1	XP_015180792.1, XP_015180789.1, XP_015172637.1
OG0000030	XP_031848732.1	XP_015187915.1, XP_015185971.1, XP_015185973.1, XP_015185974.1, XP_015185972.1, XP_015189947.1, XP_015189898.1, XP_015186637.1, XP_015189768.1, XP_015189842.1, XP_015186005.1, XP_015189795.1, XP_015189846.1, XP_015177899.1, XP_015186006.1, XP_015189579.1, XP_015189757.1, XP_015189580.1, XP_015189727.1, XP_015189305.1, XP_015189905.1, XP_015189578.1
OG0000030	XP_031827412.1	XP_015186638.1
OG0000032	XP_031845598.1	XP_015190440.1
OG0000032	XP_031832803.1	XP_015191817.1
OG0000032	XP_031833782.1	XP_015190537.1
OG0000032	XP_031831095.1	XP_015182537.1, XP_015182533.1
OG0000035	XP_031842253.1, XP_031842459.1	XP_015172482.1
OG0000036	XP_031846062.1, XP_031844854.1, XP_031844859.1, XP_031844857.1, XP_031844858.1, XP_031844816.1	XP_015175890.1
OG0000036	XP_031844820.1, XP_031844747.1	XP_015174610.1
OG0000036	XP_031844815.1	XP_015174768.1
OG0000037	XP_031838355.1	XP_015184679.1
OG0000038	XP_031835042.1	XP_015179360.1
OG0000038	XP_031825712.1	XP_015179091.1
OG0000038	XP_031847407.1	XP_015185565.1
OG0000038	XP_031844860.1	XP_015184119.1
OG0000040	XP_031849129.1, XP_031847901.1, XP_031847689.1	XP_015176239.1
OG0000040	XP_031847213.1	XP_015175500.1
OG0000041	XP_031836959.1, XP_031836960.1	XP_015182472.1
OG0000041	XP_031828107.1	XP_015179141.1
OG0000042	XP_031842358.1	XP_015186594.1, XP_015186595.1, XP_015186596.1, XP_015189781.1, XP_015189581.1, XP_015189834.1, XP_015171566.1, XP_015171565.1, XP_015171564.1, XP_015171563.1, XP_015171562.1
OG0000043	XP_031842101.1	XP_015177490.1, XP_015177491.1
OG0000043	XP_031831862.1	XP_015187201.1
OG0000043	XP_031828007.1	XP_015180729.1
OG0000044	XP_031831328.1	XP_015184594.1
OG0000044	XP_031848718.1, XP_031848716.1, XP_031848717.1	XP_015184599.1
OG0000045	XP_031836513.1	XP_015183311.1, XP_015183284.1
OG0000045	XP_031839078.1	XP_015173221.1
OG0000045	XP_031836517.1, XP_031836516.1, XP_031836515.1	XP_015183312.1
OG0000045	XP_031833680.1	XP_015172085.1
OG0000046	XP_031849512.1	XP_015179269.1
OG0000046	XP_031844716.1	XP_015177712.1
OG0000046	XP_031825836.1	XP_015174688.1, XP_015174687.1
OG0000048	XP_031844144.1	XP_015178617.1
OG0000048	XP_031848637.1	XP_015178621.1
OG0000048	XP_031848639.1	XP_015178591.1
OG0000048	XP_031848644.1	XP_015178592.1
OG0000052	XP_031831624.1, XP_031831623.1	XP_015186733.1
OG0000053	XP_031848020.1	XP_015189792.1, XP_015186004.1
OG0000054	XP_031843412.1	XP_015175390.1
OG0000054	XP_031843397.1, XP_031843398.1	XP_015175295.1, XP_015175296.1, XP_015175389.1
OG0000055	XP_031825307.1	XP_015171080.1
OG0000055	XP_031844409.1	XP_015176664.1
OG0000055	XP_031827062.1	XP_015173765.1, XP_015173767.1
OG0000056	XP_031840201.1	XP_015176704.1
OG0000056	XP_031838488.1	XP_015178312.1
OG0000056	XP_031846527.1	XP_015175416.1
OG0000056	XP_031838897.1	XP_015181793.1
OG0000056	XP_031831701.1	XP_015173622.1
OG0000056	XP_031835578.1	XP_015181325.1
OG0000057	XP_031845337.1	XP_015171970.1
OG0000057	XP_031832931.1	XP_015173587.1
OG0000057	XP_031845460.1	XP_015171878.1
OG0000057	XP_031845459.1	XP_015171877.1
OG0000057	XP_031845030.1	XP_015171777.1
OG0000058	XP_031838282.1	XP_015182294.1, XP_015182349.1, XP_015182350.1
OG0000060	XP_031827529.1, XP_031827528.1	XP_015185766.1, XP_015185775.1
OG0000060	XP_031827527.1	XP_015181080.1, XP_015181079.1
OG0000061	XP_031839331.1	XP_015188543.1
OG0000061	XP_031838029.1, XP_031840063.1	XP_015177990.1
OG0000062	XP_031836310.1	XP_015173092.1
OG0000062	XP_031836308.1	XP_015178479.1
OG0000065	XP_031830877.1	XP_015174229.1, XP_015174230.1, XP_015174227.1, XP_015174228.1, XP_015174231.1
OG0000066	XP_031830448.1, XP_031826346.1	XP_015189741.1, XP_015189693.1, XP_015189896.1, XP_015176551.1
OG0000067	XP_031834066.1	XP_015179349.1
OG0000067	XP_031837355.1	XP_015185638.1
OG0000067	XP_031838504.1	XP_015180637.1
OG0000067	XP_031845953.1	XP_015182629.1
OG0000069	XP_031829088.1, XP_031829087.1	XP_015175625.1
OG0000069	XP_031829094.1	XP_015175624.1
OG0000070	XP_031841689.1	XP_015181201.1
OG0000070	XP_031839945.1, XP_031848755.1, XP_031848754.1	XP_015181189.1
OG0000074	XP_031849072.1	XP_015188226.1, XP_015188225.1, XP_015174533.1, XP_015179365.1, XP_015174735.1
OG0000077	XP_031841494.1, XP_031841485.1	XP_015188023.1
OG0000077	XP_031831897.1	XP_015179002.1, XP_015185970.1
OG0000078	XP_031834906.1, XP_031834907.1	XP_015185284.1, XP_015185291.1, XP_015185285.1
OG0000080	XP_031827008.1, XP_031827009.1, XP_031827010.1, XP_031827011.1, XP_031827012.1, XP_031827013.1, XP_031827007.1	XP_015185202.1, XP_015185201.1, XP_015185203.1
OG0000080	XP_031826836.1, XP_031826837.1	XP_015188705.1, XP_015188706.1
OG0000080	XP_031827281.1, XP_031827282.1, XP_031827283.1, XP_031827284.1	XP_015185196.1
OG0000081	XP_031847372.1	XP_015179051.1, XP_015179053.1, XP_015179052.1, XP_015179158.1, XP_015179157.1
OG0000082	XP_031829547.1	XP_015175969.1
OG0000082	XP_031829549.1	XP_015175974.1
OG0000082	XP_031829550.1	XP_015175968.1
OG0000084	XP_031839513.1	XP_015180887.1
OG0000084	XP_031839516.1	XP_015180880.1
OG0000085	XP_031843333.1	XP_015172015.1
OG0000085	XP_031826359.1, XP_031826358.1, XP_031826356.1	XP_015179519.1, XP_015175778.1, XP_015175777.1, XP_015175779.1
OG0000086	XP_031842854.1	XP_015175698.1
OG0000087	XP_031843076.1	XP_015179311.1
OG0000087	XP_031843049.1	XP_015179470.1, XP_015179472.1, XP_015179471.1, XP_015179473.1
OG0000088	XP_031830799.1	XP_015175828.1
OG0000089	XP_031841904.1, XP_031841905.1, XP_031841906.1	XP_015191649.1
OG0000089	XP_031839041.1	XP_015191842.1
OG0000090	XP_031841174.1, XP_031848787.1, XP_031843838.1, XP_031838604.1, XP_031848702.1, XP_031828601.1, XP_031836614.1, XP_031847656.1, XP_031842050.1, XP_031836582.1, XP_031827996.1, XP_031848752.1	XP_015185985.1
OG0000091	XP_031846471.1, XP_031846477.1, XP_031846470.1	XP_015190282.1, XP_015190273.1
OG0000092	XP_031832478.1	XP_015182560.1
OG0000092	XP_031836523.1	XP_015171266.1
OG0000092	XP_031836568.1	XP_015171261.1
OG0000092	XP_031827660.1	XP_015180692.1
OG0000094	XP_031847199.1, XP_031847200.1	XP_015176150.1, XP_015184885.1
OG0000094	XP_031827484.1	XP_015189233.1
OG0000094	XP_031826729.1, XP_031826728.1	XP_015175380.1
OG0000095	XP_031850007.1, XP_031850009.1, XP_031850008.1	XP_015179352.1, XP_015179379.1, XP_015187338.1, XP_015179387.1, XP_015179306.1, XP_015187259.1, XP_015179367.1, XP_015179368.1, XP_015179309.1, XP_015188211.1, XP_015188462.1, XP_015189731.1, XP_015177511.1, XP_015177513.1, XP_015177512.1, XP_015188691.1, XP_015189818.1, XP_015188693.1
OG0000096	XP_031832678.1	XP_015179711.1, XP_015179710.1, XP_015179714.1, XP_015179713.1
OG0000096	XP_031843327.1	XP_015178304.1
OG0000097	XP_031827452.1, XP_031827442.1, XP_031827429.1, XP_031827419.1, XP_031827413.1	XP_015172032.1, XP_015172041.1
OG0000097	XP_031831172.1, XP_031831171.1, XP_031831170.1	XP_015182319.1, XP_015182320.1, XP_015177848.1
OG0000098	XP_031830538.1, XP_031830536.1, XP_031830540.1, XP_031830537.1	XP_015183431.1, XP_015183430.1, XP_015183429.1, XP_015183432.1, XP_015183427.1, XP_015183428.1
OG0000099	XP_031844823.1, XP_031844824.1, XP_031844822.1	XP_015176643.1
OG0000099	XP_031825801.1, XP_031825802.1	XP_015176645.1
OG0000099	XP_031843262.1	XP_015179938.1
OG0000100	XP_031841397.1, XP_031841398.1, XP_031841396.1, XP_031841400.1, XP_031841409.1, XP_031841408.1, XP_031841399.1, XP_031841403.1, XP_031841402.1, XP_031841407.1, XP_031841406.1, XP_031841405.1, XP_031841404.1, XP_031841395.1	XP_015189083.1, XP_015189082.1, XP_015189085.1, XP_015189084.1, XP_015189086.1, XP_015189080.1, XP_015189081.1
OG0000101	XP_031848007.1	XP_015184968.1
OG0000101	XP_031848006.1	XP_015178204.1, XP_015178201.1
OG0000102	XP_031830192.1	XP_015177204.1
OG0000102	XP_031830259.1	XP_015177232.1
OG0000103	XP_031830730.1	XP_015173914.1
OG0000103	XP_031830618.1	XP_015174400.1, XP_015174392.1
OG0000103	XP_031830446.1	XP_015174420.1, XP_015174451.1, XP_015174437.1, XP_015174429.1, XP_015174443.1, XP_015174411.1
OG0000106	XP_031841956.1	XP_015189668.1
OG0000106	XP_031838896.1	XP_015179304.1
OG0000107	XP_031849421.1, XP_031849424.1	XP_015172211.1, XP_015172212.1
OG0000108	XP_031836809.1	XP_015181990.1, XP_015182011.1, XP_015191850.1
OG0000109	XP_031828710.1, XP_031828711.1, XP_031828714.1, XP_031828715.1, XP_031828712.1, XP_031828713.1, XP_031828722.1, XP_031828723.1, XP_031828724.1, XP_031828718.1, XP_031828720.1, XP_031828721.1, XP_031828719.1, XP_031828716.1	XP_015175909.1, XP_015175910.1, XP_015175911.1, XP_015175907.1
OG0000110	XP_031837099.1	XP_015177093.1
OG0000110	XP_031848100.1, XP_031848102.1	XP_015180892.1
OG0000111	XP_031843589.1, XP_031825716.1	XP_015175971.1
OG0000111	XP_031842672.1	XP_015188005.1
OG0000112	XP_031849209.1, XP_031849210.1, XP_031849208.1, XP_031849207.1	XP_015188234.1, XP_015188235.1, XP_015188236.1
OG0000112	XP_031831414.1	XP_015180272.1, XP_015180273.1
OG0000113	XP_031838147.1	XP_015185884.1
OG0000113	XP_031842250.1	XP_015172979.1, XP_015172980.1
OG0000114	XP_031825659.1	XP_015171118.1
OG0000114	XP_031825640.1	XP_015171119.1
OG0000115	XP_031842331.1	XP_015171184.1, XP_015171185.1
OG0000115	XP_031842255.1	XP_015183848.1, XP_015183846.1
OG0000116	XP_031837852.1, XP_031837855.1, XP_031837856.1, XP_031837853.1, XP_031837854.1, XP_031837857.1, XP_031837858.1	XP_015173852.1, XP_015173854.1, XP_015173853.1
OG0000116	XP_031837730.1	XP_015173840.1, XP_015173841.1
OG0000117	XP_031840830.1	XP_015176195.1
OG0000117	XP_031841113.1, XP_031841103.1, XP_031841094.1, XP_031841084.1, XP_031841121.1, XP_031841052.1, XP_031841129.1, XP_031841059.1, XP_031841076.1, XP_031841068.1, XP_031841042.1	XP_015171648.1, XP_015171595.1
OG0000119	XP_031848621.1, XP_031848628.1, XP_031848630.1, XP_031848631.1	XP_015178611.1, XP_015178609.1, XP_015178605.1, XP_015178601.1
OG0000120	XP_031837143.1, XP_031837140.1, XP_031837139.1, XP_031837144.1, XP_031837141.1, XP_031837145.1, XP_031837146.1, XP_031837147.1, XP_031837148.1, XP_031837149.1	XP_015171646.1, XP_015171649.1, XP_015171650.1, XP_015171651.1, XP_015171644.1, XP_015171645.1, XP_015171647.1
OG0000122	XP_031848880.1	XP_015172102.1
OG0000122	XP_031839754.1, XP_031839755.1, XP_031839753.1, XP_031839752.1, XP_031839750.1, XP_031839749.1	XP_015172140.1
OG0000122	XP_031833934.1	XP_015182415.1
OG0000123	XP_031829219.1	XP_015185661.1, XP_015185658.1, XP_015185659.1, XP_015185654.1, XP_015185655.1, XP_015185656.1, XP_015185657.1, XP_015185653.1, XP_015185660.1
OG0000124	XP_031838642.1, XP_031838635.1, XP_031838638.1, XP_031838640.1, XP_031838636.1, XP_031838637.1, XP_031838643.1, XP_031838641.1	XP_015173329.1, XP_015173327.1, XP_015173328.1
OG0000125	XP_031839027.1, XP_031839025.1, XP_031838819.1, XP_031838775.1	XP_015191429.1
OG0000126	XP_031846352.1	XP_015180002.1, XP_015180011.1, XP_015180021.1, XP_015179995.1
OG0000127	XP_031849581.1, XP_031849592.1, XP_031846850.1	XP_015189033.1
OG0000129	XP_031848648.1, XP_031848647.1	XP_015185341.1, XP_015185342.1
OG0000130	XP_031826226.1	XP_015177984.1
OG0000130	XP_031826291.1	XP_015177985.1, XP_015177986.1
OG0000130	XP_031826201.1	XP_015178018.1, XP_015178019.1
OG0000131	XP_031828484.1	XP_015188702.1
OG0000131	XP_031840624.1, XP_031840625.1, XP_031840622.1, XP_031840623.1	XP_015181077.1, XP_015181078.1
OG0000132	XP_031829308.1	XP_015173499.1, XP_015173500.1
OG0000132	XP_031845637.1, XP_031845638.1, XP_031845639.1	XP_015188177.1
OG0000133	XP_031836871.1, XP_031836868.1	XP_015173823.1
OG0000135	XP_031837271.1	XP_015176354.1
OG0000135	XP_031839483.1	XP_015190379.1, XP_015190377.1, XP_015190378.1
OG0000135	XP_031849617.1, XP_031849615.1, XP_031849616.1, XP_031849618.1	XP_015186255.1
OG0000136	XP_031828129.1, XP_031828130.1, XP_031827941.1, XP_031829540.1	XP_015182073.1
OG0000137	XP_031838894.1	XP_015174184.1
OG0000138	XP_031839076.1	XP_015173336.1, XP_015173335.1, XP_015173334.1, XP_015173333.1
OG0000138	XP_031839079.1	XP_015181777.1
OG0000139	XP_031836046.1, XP_031836045.1, XP_031836044.1, XP_031836043.1	XP_015184451.1, XP_015184450.1
OG0000139	XP_031836055.1, XP_031836054.1	XP_015184449.1
OG0000140	XP_031832920.1	XP_015172454.1
OG0000141	XP_031837195.1	XP_015172584.1
OG0000141	XP_031839814.1	XP_015191838.1
OG0000142	XP_031844401.1, XP_031844400.1, XP_031844389.1	XP_015177690.1
OG0000143	XP_031839633.1	XP_015188708.1
OG0000143	XP_031839547.1	XP_015188709.1, XP_015188710.1
OG0000144	XP_031829750.1	XP_015177945.1
OG0000144	XP_031829842.1	XP_015177942.1
OG0000145	XP_031837412.1	XP_015182419.1, XP_015182420.1, XP_015182418.1, XP_015182421.1
OG0000145	XP_031838797.1, XP_031838795.1	XP_015191830.1, XP_015191831.1, XP_015191832.1
OG0000146	XP_031825439.1, XP_031838000.1, XP_031837999.1, XP_031838001.1	XP_015178326.1, XP_015178324.1
OG0000146	XP_031844338.1	XP_015181347.1
OG0000147	XP_031846647.1	XP_015172908.1
OG0000149	XP_031844539.1	XP_015183081.1, XP_015183080.1, XP_015183079.1
OG0000150	XP_031826266.1, XP_031826326.1	XP_015187534.1, XP_015187533.1, XP_015187535.1, XP_015187536.1
OG0000151	XP_031850487.1, XP_031850486.1, XP_031850491.1, XP_031850490.1, XP_031850493.1, XP_031850492.1, XP_031850494.1, XP_031850488.1	XP_015179752.1, XP_015179751.1, XP_015179755.1, XP_015179753.1, XP_015179750.1
OG0000152	XP_031830368.1	XP_015177279.1
OG0000153	XP_031837357.1, XP_031837349.1, XP_031837338.1, XP_031837284.1, XP_031837302.1, XP_031837367.1, XP_031837294.1, XP_031837319.1, XP_031837312.1, XP_031837329.1, XP_031837276.1	XP_015183219.1, XP_015183220.1, XP_015183221.1, XP_015183223.1, XP_015183222.1, XP_015183224.1
OG0000154	XP_031838095.1	XP_015178505.1, XP_015178503.1, XP_015178507.1, XP_015178506.1
OG0000156	XP_031828385.1, XP_031828383.1, XP_031828384.1, XP_031828378.1, XP_031828379.1, XP_031828380.1, XP_031828382.1, XP_031828374.1, XP_031828375.1, XP_031828376.1, XP_031828377.1, XP_031828389.1, XP_031828387.1, XP_031828386.1, XP_031828373.1, XP_031828388.1	XP_015190200.1, XP_015190202.1, XP_015190201.1, XP_015190205.1, XP_015190203.1, XP_015190204.1
OG0000157	XP_031827676.1	XP_015176246.1
OG0000158	XP_031833446.1	XP_015180258.1, XP_015180556.1, XP_015179489.1
OG0000158	XP_031833445.1	XP_015179488.1
OG0000160	XP_031835553.1	XP_015185930.1
OG0000160	XP_031840569.1, XP_031840564.1, XP_031840565.1, XP_031840566.1, XP_031840570.1	XP_015184081.1
OG0000161	XP_031840747.1, XP_031840748.1	XP_015176784.1
OG0000162	XP_031844217.1	XP_015186367.1
OG0000162	XP_031846677.1, XP_031846685.1	XP_015182682.1
OG0000164	XP_031838886.1	XP_015191636.1
OG0000164	XP_031838888.1	XP_015191588.1
OG0000165	XP_031845761.1	XP_015185448.1
OG0000165	XP_031849879.1	XP_015174982.1
OG0000166	XP_031834782.1, XP_031834789.1, XP_031834779.1, XP_031834778.1, XP_031834773.1	XP_015173109.1, XP_015173102.1, XP_015173096.1, XP_015173094.1, XP_015173098.1
OG0000169	XP_031828486.1	XP_015174834.1, XP_015178625.1, XP_015181526.1
OG0000170	XP_031847928.1	XP_015191093.1, XP_015191092.1
OG0000170	XP_031847930.1	XP_015191094.1
OG0000170	XP_031847931.1	XP_015191097.1, XP_015191098.1
OG0000171	XP_031825968.1	XP_015174391.1
OG0000171	XP_031826361.1, XP_031826360.1, XP_031826362.1	XP_015174730.1
OG0000172	XP_031826024.1, XP_031826014.1, XP_031826006.1, XP_031825998.1, XP_031825989.1, XP_031825979.1	XP_015184112.1, XP_015184114.1, XP_015184115.1, XP_015184116.1, XP_015184111.1
OG0000173	XP_031842563.1, XP_031842562.1, XP_031842566.1, XP_031842567.1, XP_031842564.1, XP_031842565.1, XP_031842571.1, XP_031842572.1, XP_031842568.1, XP_031842569.1	XP_015173985.1, XP_015173987.1, XP_015173988.1, XP_015173989.1
OG0000174	XP_031832594.1, XP_031832593.1, XP_031832592.1	XP_015191732.1, XP_015191730.1, XP_015191731.1
OG0000175	XP_031837388.1, XP_031837387.1, XP_031837386.1, XP_031837392.1, XP_031837391.1, XP_031837389.1	XP_015184505.1, XP_015184496.1, XP_015184487.1, XP_015184522.1, XP_015184514.1
OG0000176	XP_031839720.1	XP_015179485.1
OG0000177	XP_031850035.1	XP_015191041.1
OG0000177	XP_031849982.1, XP_031849983.1	XP_015190999.1
OG0000178	XP_031843734.1	XP_015179140.1
OG0000179	XP_031846959.1, XP_031846958.1, XP_031846955.1, XP_031846954.1, XP_031846953.1, XP_031846957.1, XP_031846956.1	XP_015183599.1
OG0000179	XP_031842123.1	XP_015184549.1
OG0000180	XP_031829739.1, XP_031829734.1, XP_031829738.1, XP_031829737.1, XP_031829736.1, XP_031829735.1	XP_015171486.1, XP_015171485.1, XP_015171484.1
OG0000181	XP_031850222.1, XP_031850221.1, XP_031850223.1, XP_031850218.1, XP_031850220.1	XP_015183736.1, XP_015183737.1, XP_015183738.1, XP_015183741.1, XP_015183739.1, XP_015183735.1
OG0000182	XP_031841728.1	XP_015177676.1, XP_015177666.1, XP_015177685.1, XP_015177651.1, XP_015177659.1
OG0000183	XP_031838925.1	XP_015175162.1
OG0000183	XP_031828691.1, XP_031828693.1, XP_031828695.1, XP_031828694.1, XP_031828690.1	XP_015181592.1
OG0000185	XP_031829646.1, XP_031829645.1, XP_031829647.1	XP_015175891.1, XP_015175892.1, XP_015175893.1
OG0000186	XP_031834869.1	XP_015183983.1, XP_015183981.1
OG0000187	XP_031844556.1, XP_031844565.1, XP_031844499.1, XP_031844479.1, XP_031844458.1, XP_031844469.1, XP_031844528.1, XP_031844537.1, XP_031844547.1, XP_031844448.1, XP_031844518.1, XP_031844439.1, XP_031844509.1, XP_031844574.1, XP_031844582.1, XP_031844489.1	XP_015180155.1, XP_015180146.1, XP_015180136.1
OG0000188	XP_031834431.1	XP_015176881.1
OG0000189	XP_031837615.1	XP_015171025.1
OG0000190	XP_031829381.1, XP_031829385.1, XP_031829383.1, XP_031829384.1, XP_031829386.1	XP_015184945.1
OG0000191	XP_031843261.1	XP_015179465.1, XP_015179466.1
OG0000192	XP_031847208.1	XP_015178452.1
OG0000194	XP_031843496.1, XP_031843495.1	XP_015173607.1
OG0000194	XP_031848879.1	XP_015173634.1
OG0000194	XP_031843507.1	XP_015173610.1
OG0000194	XP_031838309.1	XP_015181334.1, XP_015181335.1
OG0000195	XP_031825355.1, XP_031828216.1	XP_015179161.1
OG0000196	XP_031841275.1	XP_015178964.1
OG0000196	XP_031836104.1, XP_031836105.1, XP_031836106.1, XP_031836107.1, XP_031836103.1	XP_015174639.1
OG0000198	XP_031827645.1, XP_031827644.1	XP_015173178.1
OG0000200	XP_031827782.1	XP_015187594.1
OG0000200	XP_031849412.1, XP_031849414.1	XP_015178431.1, XP_015178427.1
OG0000201	XP_031831080.1	XP_015179138.1
OG0000202	XP_031842338.1, XP_031842336.1, XP_031842337.1, XP_031842339.1	XP_015177652.1, XP_015177653.1, XP_015177655.1, XP_015177654.1
OG0000203	XP_031840442.1	XP_015176004.1
OG0000203	XP_031831628.1, XP_031831625.1, XP_031831627.1, XP_031831626.1	XP_015174579.1, XP_015174578.1
OG0000204	XP_031827654.1, XP_031827655.1, XP_031827656.1, XP_031827653.1	XP_015182497.1, XP_015177887.1
OG0000205	XP_031844495.1, XP_031844500.1, XP_031844501.1	XP_015183111.1, XP_015183110.1
OG0000206	XP_031826752.1	XP_015186289.1
OG0000206	XP_031826808.1, XP_031826811.1, XP_031826810.1, XP_031826809.1	XP_015186290.1, XP_015186291.1
OG0000207	XP_031850268.1	XP_015175962.1
OG0000207	XP_031841289.1	XP_015186420.1, XP_015186417.1
OG0000208	XP_031841274.1	XP_015186385.1
OG0000208	XP_031841014.1, XP_031841015.1	XP_015173568.1
OG0000209	XP_031835069.1, XP_031835073.1, XP_031835072.1, XP_031835071.1, XP_031835076.1, XP_031835075.1, XP_031835074.1	XP_015184955.1
OG0000210	XP_031838858.1	XP_015177416.1
OG0000210	XP_031847872.1	XP_015180468.1
OG0000210	XP_031833724.1	XP_015185061.1
OG0000212	XP_031834616.1	XP_015179526.1, XP_015179527.1
OG0000212	XP_031829597.1	XP_015185495.1
OG0000212	XP_031829541.1	XP_015185494.1
OG0000213	XP_031829822.1, XP_031829824.1, XP_031829823.1	XP_015189481.1
OG0000214	XP_031832084.1	XP_015190491.1
OG0000214	XP_031850423.1, XP_031850412.1, XP_031850402.1, XP_031850430.1, XP_031850440.1, XP_031850450.1	XP_015175994.1
