Orthogroup	Nomia_melanderi	Acyrthosiphon_pisum
OG0000013	XP_031829654.1	XP_008188188.1, XP_008186887.1
OG0000013	XP_031829653.1	XP_003249043.1
OG0000014	XP_031848839.1, XP_031848838.1, XP_031848831.1	XP_008188957.2
OG0000017	XP_031829453.1, XP_031829454.1	XP_029345033.1, XP_016662561.1, XP_003246468.3, XP_016662288.1, XP_029345886.1, XP_008186550.1, XP_008186556.2, XP_029345031.1, NP_001156274.1
OG0000018	XP_031838689.1, XP_031838690.1, XP_031838691.1, XP_031838692.1, XP_031835584.1, XP_031835583.1, XP_031847312.1	XP_016663044.1, XP_008186888.2, XP_001946763.2, XP_008188568.1, XP_029346478.1, XP_029346617.1, XP_016664244.1, XP_029346475.1, XP_029346477.1, XP_029346476.1, XP_001948798.2, XP_001943056.2, XP_016658122.1, XP_001943526.2
OG0000019	XP_031838473.1, XP_031838474.1, XP_031838475.1	XP_029347490.1, XP_001952550.2, XP_016662737.1, XP_016662736.1, XP_008186492.2, XP_003241200.1
OG0000019	XP_031830114.1	XP_001952539.2
OG0000020	XP_031839751.1	XP_003244194.1
OG0000020	XP_031845392.1	XP_029343120.1
OG0000020	XP_031837838.1	XP_029345653.1
OG0000020	XP_031845236.1	XP_008182108.1
OG0000020	XP_031828635.1	XP_029344335.1, XP_016664934.1
OG0000020	XP_031828624.1	XP_029344334.1
OG0000020	XP_031847183.1	NP_001280338.1
OG0000020	XP_031830731.1	XP_029347131.1
OG0000020	XP_031843286.1	XP_001947843.1
OG0000020	XP_031837242.1, XP_031837243.1	XP_029343394.1
OG0000021	XP_031837236.1	XP_001945018.2
OG0000021	XP_031838575.1	XP_016663029.1, XP_003240228.1, XP_029342725.1
OG0000021	XP_031830175.1, XP_031846403.1	XP_016659978.2, XP_016662637.1, XP_016659979.1, XP_001949549.1, XP_029343712.1, XP_029343713.1, XP_016659980.1, XP_008183245.1, XP_029343716.1, XP_029343717.1, XP_029343714.1, XP_029343715.1, XP_029343711.1, XP_029343709.1
OG0000022	XP_031826113.1, XP_031833191.1, XP_031839488.1, XP_031838234.1, XP_031839319.1	XP_003241023.1, XP_003241031.1, XP_003241036.1, XP_003241039.1, XP_003248420.1, XP_001952706.2
OG0000023	XP_031849058.1, XP_031826007.1, XP_031839489.1, XP_031848812.1, XP_031839375.1, XP_031839363.1	XP_003248948.1, XP_003241030.1, XP_003241035.1, XP_003245104.1, XP_001950269.1, XP_001950698.1, XP_001947771.1
OG0000024	XP_031849116.1, XP_031849133.1, XP_031849117.1	XP_001949358.2
OG0000024	XP_031825693.1, XP_031825694.1, XP_031825741.1	XP_001945823.1, XP_008178907.1, NP_001156186.1, XP_008184690.1, XP_008184689.1, XP_016661278.1, XP_029342088.1, XP_001944108.2, XP_029345418.1, NP_001156094.1, XP_029341993.1, NP_001280411.1, NP_001153866.1, NP_001155931.1, XP_008185581.1, XP_016659708.1, NP_001156430.1
OG0000026	XP_031843508.1	XP_029342349.1, XP_029342350.1
OG0000026	XP_031834026.1	XP_029343074.1
OG0000026	XP_031828159.1	XP_029342802.1
OG0000026	XP_031839037.1	XP_029342414.1
OG0000027	XP_031849044.1	XP_008189396.1
OG0000027	XP_031839376.1	XP_008190046.1
OG0000028	XP_031836770.1	XP_029341381.1
OG0000028	XP_031836775.1	XP_008179516.1, XP_008182365.1
OG0000029	XP_031829744.1, XP_031829801.1	XP_016663309.2, XP_001952418.1
OG0000029	XP_031829841.1	NP_001165726.1, XP_001947860.1
OG0000030	XP_031848732.1, XP_031827412.1	XP_029344636.1, XP_016658280.1, XP_003248260.1, XP_001948318.2, XP_016664102.1, XP_003248040.1, XP_001947250.2
OG0000031	XP_031836242.1, XP_031836264.1, XP_031829397.1, XP_031829398.1, XP_031829399.1, XP_031842134.1	XP_008183945.1, XP_008182759.1
OG0000032	XP_031845598.1	XP_003246235.1, XP_001947862.2, XP_001948097.2, XP_003246236.1
OG0000032	XP_031832803.1	XP_003243898.1
OG0000033	XP_031837901.1	XP_008182854.1, XP_029348025.1, XP_008178823.1, XP_008185411.1, XP_008186193.1, XP_016656274.2, XP_008182823.1, XP_008189784.1, XP_008180205.1, XP_029340974.1, XP_008182739.1, XP_008181029.1, XP_029341451.1, XP_016661483.1, XP_003241729.1, XP_008178756.1, XP_016659109.1, XP_029345523.1, XP_029340907.1, XP_029348688.1, XP_016664841.1, XP_008180201.1, XP_016661474.1, XP_008182425.1, XP_008181197.1, XP_016659542.1, XP_008188170.1
OG0000035	XP_031842253.1, XP_031842459.1	XP_001951632.1, XP_016663720.1, XP_029345626.1, XP_003246783.1, XP_003246784.1, XP_001948117.1
OG0000035	XP_031834401.1	XP_001945842.2, XP_029345799.1, XP_029343210.1, XP_008186378.1, XP_029343209.1, XP_001943715.1, XP_001949845.2, XP_001949897.2, XP_029343092.1, XP_001952770.1
OG0000037	XP_031838355.1	XP_008187877.2, NP_001155504.1, XP_003241041.1, XP_003243107.1, NP_001165431.1, NP_001155507.1, XP_029343963.1, XP_003247374.1, XP_008190010.1, NP_001165734.1
OG0000038	XP_031848143.1, XP_031835042.1	XP_001948685.1
OG0000038	XP_031842989.1, XP_031842986.1	XP_003245830.1
OG0000039	XP_031848932.1, XP_031848981.1	XP_016661651.1
OG0000041	XP_031848908.1, XP_031828119.1, XP_031828107.1	NP_001136108.1, XP_001948457.2
OG0000042	XP_031842358.1	XP_016662708.1, XP_008186444.1
OG0000043	XP_031842101.1	NP_001128404.1, XP_029342103.1, NP_001119651.1
OG0000044	XP_031831328.1	XP_001948350.2, XP_001948442.2, XP_001944286.2, NP_001119606.1, XP_029343988.1, XP_008179772.1, XP_001946754.2
OG0000045	XP_031836513.1, XP_031839078.1, XP_031836517.1, XP_031836516.1, XP_031836515.1	XP_016659003.1, XP_001952163.2, NP_001119607.1, XP_001943317.1, XP_001943582.2
OG0000045	XP_031833680.1	XP_029347511.1, XP_003248124.2, XP_016656776.1, XP_008179193.1, XP_029346942.1, XP_003246887.1, XP_029346941.1, XP_016656775.1, XP_016659005.1, XP_001949423.2, XP_001949604.2, XP_008186205.1
OG0000046	XP_031849512.1	XP_008184380.1, NP_001156420.1
OG0000046	XP_031844716.1, XP_031825836.1	XP_001951207.1, XP_003244048.1
OG0000048	XP_031848646.1, XP_031844144.1, XP_031848637.1, XP_031848639.1, XP_031848633.1, XP_031848636.1, XP_031848634.1, XP_031848644.1	XP_016662412.1
OG0000050	XP_031826510.1, XP_031826305.1, XP_031826306.1	XP_008186168.1, XP_029344195.1
OG0000052	XP_031831624.1, XP_031831623.1	XP_008180304.1, XP_008180303.1
OG0000053	XP_031836323.1	XP_008178744.1, XP_008181635.1, XP_008188016.1, XP_008178393.1, XP_008178411.1
OG0000053	XP_031848020.1	XP_008178754.1, XP_008188582.3
OG0000054	XP_031843412.1, XP_031843397.1, XP_031843398.1	NP_001162107.1, XP_003243273.1, NP_001233051.1
OG0000055	XP_031825307.1	XP_016661453.1, XP_008184927.1, XP_029343156.1, XP_016661454.1
OG0000055	XP_031846127.1	XP_029348415.1
OG0000055	XP_031827062.1	XP_029343547.1, XP_016656611.2, XP_001944441.2, XP_008185529.1, XP_001950596.1, XP_029347200.1
OG0000056	XP_031840201.1, XP_031838488.1	XP_029341785.1, XP_016658856.2
OG0000056	XP_031846527.1	XP_029347390.1, XP_029340985.1
OG0000056	XP_031838897.1, XP_031831701.1	XP_029341336.1
OG0000056	XP_031835578.1	XP_029345472.1, XP_029341337.1
OG0000057	XP_031845337.1	NP_001177327.1
OG0000057	XP_031845459.1	XP_008190203.1
OG0000060	XP_031827529.1, XP_031827528.1	XP_029341750.1
OG0000060	XP_031827527.1	XP_016660546.1
OG0000061	XP_031839331.1	XP_001949814.2, XP_001946345.2, XP_001946301.2, XP_001946430.1, XP_001946479.3, XP_016660712.1
OG0000061	XP_031838029.1, XP_031840063.1	XP_008185969.1, XP_008185998.1, XP_001942953.1, XP_001950031.1, XP_001943804.2
OG0000062	XP_031836310.1, XP_031836308.1, XP_031836306.1, XP_031836307.1, XP_031836020.1	XP_001951309.3
OG0000065	XP_031830877.1	XP_001943808.2
OG0000065	XP_031830875.1, XP_031831100.1	XP_001950981.1
OG0000066	XP_031830448.1, XP_031826346.1	XP_008178755.1, XP_029348396.1, XP_029347905.1, XP_008187418.1, XP_029347848.1, XP_008178341.1, XP_008189191.1, XP_029347833.1, XP_029347832.1, XP_008180329.2, XP_008180328.1, XP_008186719.1, XP_008186645.1, XP_008178451.1, XP_008184821.1, XP_008189985.1, XP_008181030.1, XP_008181032.1, XP_008178816.1, XP_008181153.1
OG0000067	XP_031834066.1	XP_001948642.2
OG0000067	XP_031838504.1	XP_016658458.1
OG0000067	XP_031837354.1	XP_029347451.1, XP_001948493.1
OG0000067	XP_031845953.1	XP_008185788.1
OG0000069	XP_031829088.1, XP_031829087.1, XP_031829093.1, XP_031829089.1, XP_031829094.1	XP_029344273.1
OG0000074	XP_031849072.1	XP_016661872.1
OG0000075	XP_031826514.1	XP_016662368.1
OG0000077	XP_031841494.1, XP_031841485.1	XP_001945190.2
OG0000077	XP_031831897.1	XP_008187030.1
OG0000079	XP_031846019.1	XP_001952588.1
OG0000080	XP_031827008.1, XP_031827009.1, XP_031827010.1, XP_031827011.1, XP_031827012.1, XP_031827013.1, XP_031827007.1	XP_001952817.1, XP_003241505.1
OG0000080	XP_031827281.1, XP_031827282.1, XP_031827283.1, XP_031827284.1	XP_003240094.1
OG0000081	XP_031847372.1, XP_031847521.1, XP_031847370.1, XP_031847371.1, XP_031847522.1	XP_016660637.1, XP_003245950.2
OG0000084	XP_031839513.1, XP_031839514.1, XP_031839516.1	NP_001155431.1
OG0000084	XP_031839314.1	NP_001155786.1
OG0000085	XP_031843333.1, XP_031826359.1, XP_031826358.1, XP_031826356.1	XP_029346873.1, XP_008179773.1, XP_001948387.1, XP_029346867.1, XP_029346870.1
OG0000086	XP_031842854.1	XP_001950197.2
OG0000087	XP_031843075.1, XP_031843076.1, XP_031843049.1	NP_001155638.1, XP_001944024.1, XP_016657705.1, XP_001945443.2, XP_001948828.1, XP_001950581.2
OG0000088	XP_031830799.1	XP_003247935.1, XP_016663969.1, XP_016664063.1, XP_029342933.1, XP_029348307.1, XP_029346584.1, XP_016661857.1, XP_016662464.2, XP_029342768.1, XP_029341200.1, XP_029346291.1, XP_008188258.2, XP_008179322.1, XP_029346118.1, XP_029346119.1, XP_029346120.1, XP_029346121.1, XP_029346122.1, XP_016664219.1, XP_016664222.1, XP_016664209.1, XP_016664208.1, XP_029346156.1, XP_016663761.1, XP_029342099.1, XP_008187921.2, XP_029341624.1, XP_029341315.1, XP_029341386.1, XP_008181127.1, XP_008186422.2, XP_029346035.1, XP_008186424.1, XP_016658637.1, XP_029341383.1, XP_029345190.1, XP_001947287.2, XP_029341316.1, XP_029341314.1, XP_016658366.2, XP_008181140.1, XP_016658368.2, XP_029348141.1, XP_016665001.1, XP_016658431.1, XP_029345338.1, XP_029341201.1, XP_029347594.1, XP_029342066.1, XP_029342299.1, XP_029343860.1, XP_008188293.1, XP_001951370.3, XP_016659573.1, XP_029344713.1, XP_029348332.1, XP_029344714.1, XP_008183072.2, XP_016658234.1, XP_029341287.1, XP_016658035.1, XP_016658036.1, XP_008180744.1, XP_003242965.1, XP_016657562.1, XP_016658130.1, XP_016657237.1, XP_008186058.1, XP_016662378.1, XP_001943952.3, XP_029345667.1
OG0000091	XP_031846471.1, XP_031846477.1, XP_031846470.1	XP_001950393.1, XP_001950205.1, NP_001155602.1, XP_008178940.1, XP_008178955.1, XP_001950277.2, NP_001156567.1, NP_001156102.2
OG0000092	XP_031832478.1, XP_031836523.1, XP_031836568.1, XP_031827660.1	XP_001947820.1
OG0000093	XP_031829450.1, XP_031847203.1	XP_016662984.1, XP_008187890.1
OG0000094	XP_031847199.1, XP_031847200.1, XP_031827484.1, XP_031826729.1, XP_031826728.1	XP_001948596.2
OG0000097	XP_031827452.1, XP_031827442.1, XP_031827429.1, XP_031827419.1, XP_031827413.1, XP_031831172.1, XP_031831171.1, XP_031831170.1	XP_001948740.2, XP_008182369.1, XP_029347936.1
OG0000098	XP_031830538.1, XP_031830536.1, XP_031830540.1, XP_031830537.1	NP_001153821.1, XP_008189785.1
OG0000099	XP_031844823.1, XP_031844824.1, XP_031844822.1	XP_001945365.2
OG0000099	XP_031825801.1, XP_031825802.1	XP_001945213.1
OG0000099	XP_031843262.1	XP_001951744.1
OG0000100	XP_031841397.1, XP_031841398.1, XP_031841396.1, XP_031841400.1, XP_031841409.1, XP_031841408.1, XP_031841399.1, XP_031841403.1, XP_031841402.1, XP_031841407.1, XP_031841406.1, XP_031841405.1, XP_031841404.1, XP_031841395.1	XP_001944985.1
OG0000101	XP_031848007.1	XP_001950980.2, XP_001945570.2
OG0000101	XP_031848006.1	XP_001952301.1
OG0000102	XP_031830192.1, XP_031830247.1, XP_031830259.1	XP_001946994.2
OG0000103	XP_031830618.1, XP_031830446.1	XP_003248994.1, XP_003243120.1
OG0000108	XP_031836809.1	XP_001946492.1, XP_029345668.1, XP_016661558.1, XP_016661557.1, XP_001952406.2
OG0000109	XP_031828710.1, XP_031828711.1, XP_031828714.1, XP_031828715.1, XP_031828712.1, XP_031828713.1, XP_031828722.1, XP_031828723.1, XP_031828724.1, XP_031828718.1, XP_031828720.1, XP_031828721.1, XP_031828719.1, XP_031828716.1	XP_001947883.2
OG0000112	XP_031849209.1, XP_031849210.1, XP_031849208.1, XP_031849207.1, XP_031831414.1	XP_001944328.2
OG0000113	XP_031838147.1, XP_031842250.1	XP_001945521.1, XP_008179297.1, XP_003245917.1, XP_029344235.1, XP_029344236.1
OG0000115	XP_031842331.1, XP_031842255.1	XP_001952040.2, NP_001156113.1, NP_001280393.1, XP_008184829.1, NP_001313601.1, XP_016662440.1, NP_001156063.1
OG0000117	XP_031840830.1	XP_001947242.1
OG0000117	XP_031841113.1, XP_031841103.1, XP_031841094.1, XP_031841084.1, XP_031841121.1, XP_031841052.1, XP_031841129.1, XP_031841059.1, XP_031841076.1, XP_031841068.1, XP_031841042.1	XP_001945228.1
OG0000119	XP_031848621.1, XP_031848628.1, XP_031848630.1, XP_031848631.1	XP_001950896.2, XP_001946809.2
OG0000120	XP_031837143.1, XP_031837140.1, XP_031837139.1, XP_031837144.1, XP_031837141.1, XP_031837145.1, XP_031837146.1, XP_031837147.1, XP_031837148.1, XP_031837149.1	XP_008183102.1, XP_008183682.2, XP_001946812.2, XP_016660349.1
OG0000122	XP_031848880.1	XP_029345164.1
OG0000122	XP_031833934.1	XP_029345159.1, XP_001942872.1
OG0000123	XP_031829219.1	XP_001944241.1
OG0000124	XP_031838642.1, XP_031838635.1, XP_031838638.1, XP_031838640.1, XP_031838636.1, XP_031838637.1, XP_031838643.1, XP_031838641.1	XP_001946145.1, XP_029344203.1, XP_016657907.1, XP_003240297.1
OG0000125	XP_031839027.1, XP_031839025.1, XP_031838819.1, XP_031838775.1	XP_029343174.1, XP_029343175.1
OG0000126	XP_031846352.1	XP_029344350.1
OG0000127	XP_031849581.1, XP_031849592.1, XP_031846850.1	XP_008184238.2, XP_008185467.1, XP_008185468.2, XP_001944157.3, XP_001947156.2
OG0000129	XP_031848648.1, XP_031848647.1	XP_029342557.1, XP_003243980.1, XP_008182280.1
OG0000130	XP_031826226.1, XP_031826291.1	XP_008188212.1
OG0000130	XP_031826201.1	XP_029347188.1
OG0000131	XP_031828484.1	NP_001119635.1
OG0000131	XP_031840624.1, XP_031840625.1, XP_031840622.1, XP_031840623.1	XP_001944342.1, NP_001280296.1
OG0000132	XP_031829308.1, XP_031845637.1, XP_031845638.1, XP_031845639.1	XP_001944867.2, XP_008188761.1
OG0000133	XP_031836871.1, XP_031836868.1, XP_031827303.1, XP_031827306.1	XP_001947717.2, XP_029346829.1
OG0000134	XP_031836169.1	XP_016659080.1, XP_016655735.1, XP_029341669.1, XP_003244662.1, XP_016658650.1, XP_008186020.1
OG0000135	XP_031837271.1, XP_031839483.1, XP_031849617.1, XP_031849615.1, XP_031849616.1, XP_031849618.1	XP_008183617.1, XP_016660307.1, XP_008183620.1, XP_008183619.1, XP_016660306.1, XP_029348611.1
OG0000137	XP_031838894.1, XP_031830054.1, XP_031830055.1, XP_031830052.1	XP_029345533.1, XP_029345535.1, XP_029345534.1, XP_001949204.1, XP_008183005.1, XP_008183006.1, XP_001951358.1, XP_001943488.1
OG0000138	XP_031839076.1, XP_031839079.1	XP_029344015.1, XP_029344014.1, XP_029344016.1, XP_001948700.2
OG0000139	XP_031836046.1, XP_031836045.1, XP_031836044.1, XP_031836043.1, XP_031836055.1, XP_031836054.1	XP_001949990.1
OG0000140	XP_031832920.1	XP_001950680.1, XP_029341066.1, XP_003245538.1, XP_003244834.1
OG0000141	XP_031837195.1, XP_031839814.1	XP_029343859.1
OG0000143	XP_031839633.1, XP_031839547.1	XP_008183821.1, XP_001945042.2
OG0000146	XP_031825439.1, XP_031838000.1, XP_031837999.1, XP_031838001.1, XP_031844338.1	NP_001119627.1
OG0000147	XP_031846647.1	NP_001119678.1
OG0000149	XP_031844539.1	XP_001945852.2
OG0000150	XP_031826266.1, XP_031826326.1	XP_003241608.1, XP_001943456.1, XP_008178725.1, XP_008178726.1
OG0000151	XP_031850487.1, XP_031850486.1, XP_031850491.1, XP_031850490.1, XP_031850493.1, XP_031850492.1, XP_031850494.1, XP_031850488.1	NP_001232992.1
OG0000152	XP_031830368.1	XP_001950609.1
OG0000153	XP_031837357.1, XP_031837349.1, XP_031837338.1, XP_031837284.1, XP_031837302.1, XP_031837367.1, XP_031837294.1, XP_031837319.1, XP_031837312.1, XP_031837329.1, XP_031837276.1	XP_001952790.2
OG0000154	XP_031838095.1	XP_029348690.1, XP_029346266.1, XP_016657976.1, XP_029348689.1
OG0000156	XP_031828385.1, XP_031828383.1, XP_031828384.1, XP_031828378.1, XP_031828379.1, XP_031828380.1, XP_031828382.1, XP_031828374.1, XP_031828375.1, XP_031828376.1, XP_031828377.1, XP_031828389.1, XP_031828387.1, XP_031828386.1, XP_031828373.1, XP_031828388.1	XP_016659611.1
OG0000160	XP_031835553.1	XP_001951963.1
OG0000160	XP_031840569.1, XP_031840564.1, XP_031840565.1, XP_031840566.1, XP_031840570.1	XP_008184790.2, NP_001280442.1, XP_001944828.2, XP_001944881.1, XP_029342333.1, NP_001280272.1, NP_001233238.1, XP_008184532.1, XP_029342331.1, NP_001280469.1, XP_029341215.1
OG0000161	XP_031840747.1, XP_031840748.1, XP_031840749.1	XP_001950765.1
OG0000162	XP_031844217.1	XP_029346510.1
OG0000162	XP_031846677.1, XP_031846685.1	XP_016657938.1, XP_008180629.1
OG0000164	XP_031838886.1, XP_031838889.1, XP_031838888.1	XP_016661577.1
OG0000165	XP_031845761.1	XP_029343832.1
OG0000165	XP_031849879.1	XP_029343481.1
OG0000166	XP_031834782.1, XP_031834789.1, XP_031834779.1, XP_031834778.1, XP_031834773.1	XP_029347644.1, XP_029347638.1, XP_029347646.1
OG0000168	XP_031840911.1	XP_001951684.4, XP_003248836.2
OG0000168	XP_031842375.1	XP_001942542.1, XP_008186133.1
OG0000169	XP_031828486.1, XP_031836796.1, XP_031836630.1, XP_031836795.1, XP_031848872.1	XP_016663900.2, XP_001944382.3
OG0000170	XP_031847928.1	XP_008188310.1
OG0000170	XP_031847930.1, XP_031847931.1, XP_031847927.1, XP_031847933.1	XP_029343183.1
OG0000171	XP_031825968.1, XP_031826361.1, XP_031826360.1, XP_031826362.1	XP_029345553.1
OG0000173	XP_031842563.1, XP_031842562.1, XP_031842566.1, XP_031842567.1, XP_031842564.1, XP_031842565.1, XP_031842571.1, XP_031842572.1, XP_031842568.1, XP_031842569.1	NP_001233019.1
OG0000174	XP_031832594.1, XP_031832593.1, XP_031832592.1	XP_008185372.1, XP_008189584.3, XP_008183684.1, XP_001944323.1, XP_008186867.1, XP_029343098.1, XP_029343097.1
OG0000175	XP_031837388.1, XP_031837387.1, XP_031837386.1, XP_031837392.1, XP_031837391.1, XP_031837389.1	XP_029344556.1, XP_001951192.1
OG0000177	XP_031850035.1	XP_016657898.1, XP_008180564.2
OG0000177	XP_031849982.1, XP_031849983.1, XP_031849977.1, XP_031849980.1	XP_001952775.1
OG0000179	XP_031846959.1, XP_031846958.1, XP_031846955.1, XP_031846954.1, XP_031846953.1, XP_031846957.1, XP_031846956.1	XP_003240433.1
OG0000179	XP_031842123.1	NP_001155435.1, NP_001280333.1
OG0000180	XP_031829739.1, XP_031829734.1, XP_031829738.1, XP_031829737.1, XP_031829736.1, XP_031829735.1	NP_001232980.1
OG0000181	XP_031850222.1, XP_031850221.1, XP_031850223.1, XP_031850218.1, XP_031850220.1	XP_029343194.1, XP_001948653.1
OG0000182	XP_031841728.1	XP_003241873.1
OG0000183	XP_031838925.1, XP_031828691.1, XP_031828693.1, XP_031828695.1, XP_031828694.1, XP_031828690.1	XP_016663191.1, XP_016662030.1
OG0000184	XP_031846910.1	XP_029341516.1
OG0000185	XP_031829650.1, XP_031829646.1, XP_031829645.1, XP_031829647.1	XP_029344304.1
OG0000188	XP_031834431.1	XP_001944994.1
OG0000189	XP_031837615.1	XP_029345137.1, XP_008180387.1, XP_029345828.1
OG0000190	XP_031829381.1, XP_031829385.1, XP_031829383.1, XP_031829384.1, XP_031829386.1	XP_008187339.1
OG0000191	XP_031843261.1	XP_029346818.1, XP_016659446.1, XP_029346152.1, XP_029344343.1, XP_029342439.1
OG0000192	XP_031847208.1	XP_029345853.1
OG0000196	XP_031841275.1	XP_001943581.2
OG0000196	XP_031836104.1, XP_031836105.1, XP_031836106.1, XP_031836107.1, XP_031836103.1	XP_003248273.1, XP_008188605.1, XP_029347409.1, XP_029347413.1
OG0000197	XP_031837253.1, XP_031837082.1	XP_001949247.2, XP_001943809.2
OG0000198	XP_031827645.1, XP_031827644.1	XP_003240145.1, XP_016656873.1
OG0000200	XP_031827782.1	XP_001949978.1
OG0000200	XP_031849412.1, XP_031849414.1	XP_008182512.1
OG0000201	XP_031831080.1	XP_001951690.2
OG0000202	XP_031842338.1, XP_031842336.1, XP_031842337.1, XP_031842339.1	XP_003246184.1, XP_016661945.1
OG0000203	XP_031840442.1, XP_031831628.1, XP_031831625.1, XP_031831627.1, XP_031831626.1	XP_016662444.1, XP_001947661.2, XP_001949662.1, XP_029342520.1, XP_001947565.2
OG0000204	XP_031827654.1, XP_031827655.1, XP_031827656.1, XP_031827653.1	XP_003243588.1, XP_001948363.2
OG0000205	XP_031844495.1, XP_031844500.1, XP_031844501.1	XP_016660231.1, XP_029344431.1, XP_029344430.1, XP_003244837.1
OG0000207	XP_031850268.1	NP_001155712.1
OG0000207	XP_031841289.1, XP_031841290.1	NP_001192033.1, XP_001942674.1
OG0000208	XP_031841274.1, XP_031843304.1, XP_031841014.1, XP_031841015.1	XP_001950788.1
OG0000209	XP_031835069.1, XP_031835073.1, XP_031835072.1, XP_031835071.1, XP_031835076.1, XP_031835075.1, XP_031835074.1	XP_008183529.1
OG0000212	XP_031834616.1, XP_031829597.1, XP_031829541.1	NP_001232971.1, XP_008179391.1
OG0000213	XP_031829822.1, XP_031829824.1, XP_031829823.1	XP_001945623.2, NP_001280334.1
OG0000214	XP_031832084.1	XP_001945750.1
OG0000214	XP_031850423.1, XP_031850412.1, XP_031850402.1, XP_031850430.1, XP_031850440.1, XP_031850450.1	XP_008186309.1, XP_008186310.1, XP_008186312.3
OG0000215	XP_031842767.1, XP_031842763.1, XP_031842762.1, XP_031842761.1, XP_031842768.1, XP_031842764.1, XP_031842770.1	XP_001949004.1, XP_016656471.1, XP_003241622.1
OG0000216	XP_031833974.1	XP_029341236.1, XP_029347825.1, XP_001952110.2
OG0000217	XP_031838827.1	XP_001952229.3, XP_008178352.2
OG0000218	XP_031843157.1, XP_031843154.1, XP_031843156.1, XP_031843159.1, XP_031843158.1, XP_031843153.1, XP_031843152.1, XP_031843150.1, XP_031843149.1, XP_031843148.1, XP_031843151.1, XP_031843147.1, XP_031843160.1	XP_008186264.1
OG0000223	XP_031843281.1, XP_031834465.1	XP_001944473.2, XP_029342159.1
OG0000224	XP_031845107.1	XP_003247330.1, XP_001945322.1, XP_016656052.1, XP_029346604.1, XP_001950045.2
OG0000225	XP_031845382.1, XP_031845330.1, XP_031845328.1, XP_031845327.1	XP_008183136.1, XP_001946333.2, XP_016659881.1
OG0000226	XP_031845835.1, XP_031845830.1	XP_008185421.1
OG0000226	XP_031845816.1	XP_001947155.2, XP_029346388.1, XP_029346384.1, XP_029346385.1, XP_029346382.1, XP_029346383.1, XP_029346386.1, XP_029346387.1
