Orthogroup	Nomia_melanderi	Ceratina_calcarata
OG0000009	XP_031848283.1, XP_031848703.1, XP_031848282.1, XP_031847205.1, XP_031848281.1, XP_031848280.1, XP_031837098.1, XP_031848136.1, XP_031842170.1	XP_017882285.1, XP_017888595.2, XP_017882209.1, XP_017882161.1, XP_017882162.1
OG0000010	XP_031836981.1, XP_031831047.1, XP_031848973.1, XP_031848770.1, XP_031848469.1, XP_031848731.1	XP_017877879.2
OG0000010	XP_031848783.1	XP_017882798.1
OG0000011	XP_031849049.1, XP_031849051.1	XP_026674961.1
OG0000011	XP_031844818.1, XP_031849057.1	XP_026674960.1, XP_026674952.1
OG0000011	XP_031844741.1, XP_031844745.1, XP_031844742.1, XP_031844744.1, XP_031844743.1, XP_031844760.1, XP_031848956.1, XP_031844740.1	XP_026674953.1
OG0000011	XP_031849056.1	XP_017879450.1, XP_026669011.1, XP_017891472.2, XP_017881630.1, XP_026674945.1
OG0000011	XP_031838228.1	XP_017891477.2, XP_026674947.1
OG0000012	XP_031845723.1	XP_017893158.1
OG0000012	XP_031836558.1	XP_017890720.1, XP_017889198.1, XP_026674581.1
OG0000012	XP_031836778.1	XP_017875047.1
OG0000012	XP_031836638.1	XP_026666907.1
OG0000012	XP_031842887.1	XP_017890257.1, XP_026672566.1
OG0000013	XP_031839304.1	XP_017875197.1
OG0000013	XP_031829654.1	XP_017884545.1, XP_026671800.1, XP_026671799.1, XP_026671798.1, XP_026671797.1, XP_026671796.1, XP_017884546.1, XP_026671801.1, XP_026671795.1
OG0000014	XP_031839329.1	XP_017887641.1, XP_017875203.1
OG0000014	XP_031848785.1, XP_031848784.1, XP_031839374.1, XP_031839487.1	XP_017888173.1
OG0000016	XP_031828440.1	XP_017891439.1
OG0000017	XP_031840004.1, XP_031840003.1, XP_031840002.1, XP_031840001.1	XP_017892800.1
OG0000017	XP_031829474.1	XP_026675002.1
OG0000017	XP_031829453.1	XP_026675010.1
OG0000017	XP_031829454.1	XP_026675012.1, XP_026675011.1
OG0000018	XP_031838689.1, XP_031838690.1, XP_031838691.1, XP_031838692.1	XP_017883367.1, XP_017883368.1, XP_026670979.1, XP_026670978.1
OG0000018	XP_031835584.1	XP_017890591.1, XP_026674563.1, XP_017890593.1
OG0000018	XP_031835583.1	XP_017890581.1
OG0000018	XP_031847312.1	XP_017889371.1
OG0000019	XP_031838473.1, XP_031838474.1, XP_031838475.1	XP_017887380.2, XP_026668832.1, XP_017890717.1, XP_017877436.1, XP_017885792.1
OG0000019	XP_031830114.1	XP_017888742.1
OG0000019	XP_031838060.1	XP_017885630.1
OG0000020	XP_031845392.1	XP_017881798.1
OG0000020	XP_031837838.1	XP_026672764.1
OG0000020	XP_031828635.1	XP_017892668.1
OG0000020	XP_031843286.1	XP_017876760.1
OG0000020	XP_031837242.1, XP_031837243.1	XP_026668767.1
OG0000021	XP_031837236.1	XP_017892171.1
OG0000021	XP_031838575.1	XP_026674526.1, XP_017890431.1
OG0000021	XP_031846403.1	XP_017878927.1
OG0000022	XP_031826113.1	XP_017892302.1
OG0000022	XP_031833191.1	XP_017879112.1
OG0000022	XP_031838234.1	XP_017888174.1
OG0000023	XP_031839489.1	XP_017888175.1
OG0000023	XP_031839375.1	XP_026673239.1, XP_017881017.1
OG0000024	XP_031849116.1, XP_031849133.1, XP_031849117.1	XP_017876987.2
OG0000024	XP_031825693.1, XP_031825694.1	XP_017889793.1
OG0000024	XP_031825741.1	XP_017889792.1
OG0000025	XP_031834418.1	XP_026674121.1
OG0000026	XP_031843508.1	XP_017881604.1
OG0000026	XP_031839037.1	XP_026667172.1, XP_026667174.1, XP_026667173.1, XP_026667176.1, XP_026667175.1, XP_026667177.1
OG0000027	XP_031849044.1	XP_017887602.1
OG0000027	XP_031839376.1	XP_017888171.1
OG0000029	XP_031829744.1, XP_031829801.1	XP_017879055.1, XP_017878925.1
OG0000029	XP_031827213.1, XP_031827214.1, XP_031827215.1	XP_017883728.1
OG0000029	XP_031829841.1	XP_017878918.1
OG0000030	XP_031839105.1, XP_031839104.1	XP_026669786.1, XP_026668326.1
OG0000030	XP_031848732.1, XP_031827412.1	XP_017889314.1, XP_026673910.1, XP_026673911.1, XP_026673914.1, XP_026673913.1, XP_026673912.1
OG0000032	XP_031845598.1	XP_017879113.1
OG0000032	XP_031833782.1	XP_026669191.1, XP_017879823.1
OG0000032	XP_031831095.1	XP_017891597.1
OG0000033	XP_031837901.1	XP_017881686.1
OG0000035	XP_031834401.1	XP_017886557.1
OG0000036	XP_031844854.1	XP_017881583.1, XP_017889704.1, XP_017889703.1, XP_026674041.1
OG0000036	XP_031844859.1	XP_017881580.1, XP_017889701.1, XP_017889702.1
OG0000036	XP_031844816.1	XP_017889442.1, XP_026674036.1
OG0000036	XP_031844820.1, XP_031844747.1	XP_017889438.1
OG0000036	XP_031844815.1	XP_017889422.1
OG0000036	XP_031850071.1	XP_017888379.2
OG0000037	XP_031838355.1	XP_017893255.1
OG0000038	XP_031848143.1	XP_017875625.1
OG0000038	XP_031835042.1	XP_017877449.1
OG0000038	XP_031825712.1	XP_017889363.1
OG0000038	XP_031847407.1	XP_017889379.1
OG0000038	XP_031844860.1	XP_017882886.1
OG0000038	XP_031842989.1, XP_031842986.1	XP_017886375.1
OG0000039	XP_031831007.1	XP_017881850.1
OG0000040	XP_031847213.1	XP_017877450.1, XP_017888048.1, XP_017889733.1, XP_017888163.1
OG0000041	XP_031836959.1, XP_031836960.1	XP_026675486.1, XP_017892322.1, XP_017892323.1
OG0000041	XP_031828119.1, XP_031828107.1	XP_017880123.1
OG0000042	XP_031842358.1	XP_017883943.2, XP_026673615.1
OG0000043	XP_031842101.1	XP_017886026.1
OG0000043	XP_031831863.1, XP_031831864.1	XP_017878064.1
OG0000043	XP_031831862.1	XP_017877704.1
OG0000043	XP_031828007.1	XP_017881454.1
OG0000044	XP_031831328.1	XP_026674447.1
OG0000044	XP_031848718.1, XP_031848716.1, XP_031848717.1	XP_026675544.1
OG0000045	XP_031839078.1	XP_017885494.1, XP_017885495.1
OG0000045	XP_031836517.1, XP_031836516.1, XP_031836515.1	XP_026672577.1
OG0000045	XP_031833680.1	XP_026670847.1
OG0000046	XP_031849512.1	XP_017880728.1
OG0000046	XP_031844716.1	XP_017877146.1
OG0000046	XP_031825836.1	XP_017889622.1
OG0000046	XP_031827836.1	XP_017876333.1
OG0000050	XP_031826510.1, XP_031826305.1, XP_031826306.1	XP_017890628.2
OG0000052	XP_031831624.1, XP_031831623.1	XP_017876353.1
OG0000053	XP_031836323.1	XP_017882546.1
OG0000053	XP_031848020.1	XP_026675479.1
OG0000054	XP_031843412.1	XP_017877140.2
OG0000054	XP_031843397.1	XP_017882628.1
OG0000055	XP_031825307.1	XP_026670741.1
OG0000055	XP_031844409.1	XP_026669873.1
OG0000055	XP_031846127.1	XP_026668345.1, XP_017877892.1
OG0000055	XP_031827062.1	XP_026670737.1
OG0000056	XP_031838488.1	XP_026668599.1
OG0000056	XP_031846527.1	XP_017878877.2
OG0000056	XP_031838897.1	XP_026674744.1
OG0000056	XP_031831701.1	XP_026667107.1
OG0000056	XP_031835578.1	XP_026673034.1
OG0000057	XP_031845337.1	XP_017893620.1
OG0000057	XP_031845460.1	XP_017893593.1
OG0000057	XP_031845459.1	XP_017893591.1
OG0000057	XP_031845030.1	XP_026666868.1
OG0000058	XP_031838282.1	XP_026669998.1
OG0000058	XP_031838462.1, XP_031838489.1, XP_031838503.1, XP_031838476.1	XP_026674585.1, XP_026669241.1, XP_017890641.2, XP_026667263.1, XP_026674805.1, XP_026667259.1, XP_026669747.1, XP_026669980.1, XP_026667260.1, XP_026669995.1
OG0000060	XP_031827529.1, XP_031827528.1	XP_017886873.1
OG0000060	XP_031827527.1	XP_017888800.1, XP_017888809.1, XP_017888818.1, XP_017888829.1
OG0000061	XP_031839331.1	XP_017875889.1
OG0000061	XP_031838029.1, XP_031840063.1	XP_017878262.1
OG0000062	XP_031836310.1	XP_017884166.1
OG0000062	XP_031836308.1	XP_017884165.1
OG0000062	XP_031836020.1	XP_017883750.1, XP_017889879.1
OG0000065	XP_031830877.1	XP_026668887.1
OG0000065	XP_031830875.1	XP_017879155.1, XP_017882484.1
OG0000066	XP_031830448.1, XP_031826346.1	XP_017893308.1, XP_017886546.1, XP_017892307.1, XP_026666824.1, XP_026673906.1, XP_026674185.1, XP_017892139.2, XP_026672447.1
OG0000067	XP_031834066.1	XP_017879415.1
OG0000067	XP_031837355.1	XP_026666573.1
OG0000067	XP_031838504.1	XP_017890435.1
OG0000067	XP_031837354.1	XP_017893293.1
OG0000067	XP_031845953.1	XP_017875523.1
OG0000069	XP_031829088.1, XP_031829087.1	XP_017886230.2
OG0000069	XP_031829093.1, XP_031829089.1	XP_026668196.1, XP_017877635.1, XP_017875627.2, XP_017877634.1, XP_017875123.2
OG0000069	XP_031829094.1	XP_026667998.1, XP_017877327.1, XP_017886254.1, XP_026669813.1
OG0000070	XP_031841689.1	XP_026674236.1
OG0000070	XP_031839945.1, XP_031848755.1, XP_031848754.1	XP_017889960.2
OG0000073	XP_031842058.1, XP_031837430.1	XP_017875573.2, XP_026667851.1
OG0000074	XP_031849072.1	XP_017890868.1
OG0000077	XP_031841494.1, XP_031841485.1	XP_017875015.1
OG0000077	XP_031831897.1	XP_026672146.1, XP_026671946.1, XP_017888250.2, XP_017885489.2, XP_017893147.2, XP_026672126.1
OG0000078	XP_031834906.1, XP_031834907.1	XP_026670822.1, XP_026670829.1
OG0000079	XP_031846019.1	XP_026668250.1
OG0000080	XP_031827008.1, XP_031827009.1, XP_031827010.1, XP_031827011.1, XP_031827012.1, XP_031827013.1, XP_031827007.1	XP_017890681.1
OG0000080	XP_031826836.1, XP_031826837.1	XP_017883725.1
OG0000080	XP_031827281.1, XP_031827282.1, XP_031827283.1, XP_031827284.1	XP_017890685.1
OG0000081	XP_031847521.1, XP_031847370.1, XP_031847371.1, XP_031847522.1	XP_026674182.1, XP_017889350.1, XP_026674208.1, XP_026674209.1, XP_017889349.2
OG0000082	XP_031829547.1	XP_017884449.1
OG0000082	XP_031829549.1	XP_017884391.1
OG0000084	XP_031839513.1	XP_017892832.1
OG0000084	XP_031839514.1	XP_017892831.1
OG0000084	XP_031839516.1	XP_017892838.1
OG0000084	XP_031839314.1	XP_017886965.1
OG0000085	XP_031843333.1	XP_017890150.1
OG0000085	XP_031826359.1, XP_031826358.1, XP_031826356.1	XP_026671441.1
OG0000086	XP_031842854.1	XP_017889819.1
OG0000087	XP_031843075.1	XP_017889598.1
OG0000087	XP_031843076.1	XP_017889597.1
OG0000087	XP_031843049.1	XP_017889543.1, XP_026674171.1
OG0000088	XP_031830799.1	XP_017876693.1
OG0000089	XP_031841904.1, XP_031841905.1, XP_031841906.1	XP_017879467.1, XP_017879474.1, XP_026669111.1, XP_026669105.1, XP_026669096.1
OG0000089	XP_031839041.1	XP_017879753.1
OG0000091	XP_031846471.1, XP_031846477.1, XP_031846470.1	XP_017878945.1, XP_017878947.1, XP_017875917.2
OG0000092	XP_031832478.1	XP_017890756.1
OG0000092	XP_031836523.1	XP_017879703.1, XP_026669127.1
OG0000092	XP_031836568.1	XP_017879700.1
OG0000092	XP_031827660.1	XP_017883478.1
OG0000093	XP_031829450.1	XP_017884046.1
OG0000094	XP_031847199.1, XP_031847200.1	XP_017888932.1
OG0000094	XP_031827484.1	XP_017879892.1, XP_017892146.2, XP_017879895.1
OG0000094	XP_031826729.1, XP_031826728.1	XP_026667942.1, XP_017877215.1
OG0000095	XP_031850007.1, XP_031850009.1, XP_031850008.1	XP_017892624.1, XP_026675535.1, XP_026667713.1, XP_026667550.1, NP_001352264.1, XP_017882357.2, XP_026666988.1
OG0000096	XP_031832678.1	XP_026671822.1
OG0000096	XP_031843327.1	XP_017880991.1, XP_017890421.1, XP_017876925.1, XP_026674562.1
OG0000097	XP_031827452.1, XP_031827442.1, XP_031827429.1, XP_031827419.1, XP_031827413.1	XP_017882777.1, XP_017882779.1, XP_026670731.1, XP_026670734.1, XP_026670732.1
OG0000097	XP_031831172.1, XP_031831171.1, XP_031831170.1	XP_026669182.1, XP_017879834.1
OG0000098	XP_031830538.1, XP_031830536.1, XP_031830540.1, XP_031830537.1	XP_017882103.1, XP_017882102.1, XP_017882104.1, XP_017882105.1, XP_026670298.1
OG0000099	XP_031844823.1, XP_031844824.1, XP_031844822.1	XP_017878131.1
OG0000099	XP_031825801.1, XP_031825802.1	XP_017882904.1
OG0000099	XP_031843262.1	XP_017889756.1
OG0000100	XP_031841397.1, XP_031841398.1, XP_031841396.1, XP_031841400.1, XP_031841409.1, XP_031841408.1, XP_031841399.1, XP_031841403.1, XP_031841402.1, XP_031841407.1, XP_031841406.1, XP_031841405.1, XP_031841404.1, XP_031841395.1	XP_026672742.1, XP_026672741.1, XP_026672740.1
OG0000101	XP_031848007.1	XP_026672149.1
OG0000101	XP_031848006.1	XP_017885597.1
OG0000102	XP_031830192.1	XP_017888807.1
OG0000102	XP_031830259.1	XP_017888735.1
OG0000103	XP_031830730.1	XP_017881956.1
OG0000103	XP_031830618.1	XP_017881941.1
OG0000103	XP_031830446.1	XP_017881954.1
OG0000106	XP_031841956.1	XP_017875835.1
OG0000106	XP_031838896.1	XP_017890716.2, XP_017883369.2
OG0000107	XP_031849421.1, XP_031849424.1	XP_017877578.1, XP_026668184.1
OG0000108	XP_031836809.1	XP_017875876.1, XP_026667327.1, XP_017875874.1, XP_026667326.1
OG0000109	XP_031828710.1, XP_031828711.1, XP_031828714.1, XP_031828715.1, XP_031828712.1, XP_031828713.1, XP_031828722.1, XP_031828723.1, XP_031828724.1, XP_031828718.1, XP_031828720.1, XP_031828721.1, XP_031828719.1, XP_031828716.1	XP_017877144.1, XP_017877143.1, XP_017877142.1, XP_017877141.1, XP_017877145.1
OG0000110	XP_031837099.1	XP_026671942.1
OG0000110	XP_031848100.1, XP_031848102.1	XP_026671669.1, XP_026671670.1, XP_017884745.1
OG0000111	XP_031843589.1	XP_026667865.1
OG0000111	XP_031825716.1	XP_017886304.1, XP_017887546.1
OG0000111	XP_031842672.1	XP_017892963.2
OG0000112	XP_031849209.1, XP_031849210.1, XP_031849208.1, XP_031849207.1	XP_026668642.1, XP_017878656.1, XP_017878658.1
OG0000112	XP_031831414.1	XP_017883504.1, XP_026671066.1
OG0000113	XP_031838147.1	XP_017875141.1, XP_017886534.2
OG0000113	XP_031842250.1	XP_017878803.1
OG0000114	XP_031825640.1	XP_017890039.2
OG0000115	XP_031842331.1	XP_017887780.1, XP_017887778.1, XP_017885409.1
OG0000115	XP_031842255.1	XP_017881697.1
OG0000116	XP_031837852.1, XP_031837855.1, XP_031837856.1, XP_031837853.1, XP_031837854.1, XP_031837857.1, XP_031837858.1	XP_017881657.1, XP_026670219.1
OG0000116	XP_031837730.1	XP_017881740.1
OG0000117	XP_031840830.1	XP_017881345.1
OG0000117	XP_031841113.1, XP_031841103.1, XP_031841094.1, XP_031841084.1, XP_031841121.1, XP_031841052.1, XP_031841129.1, XP_031841059.1, XP_031841076.1, XP_031841068.1, XP_031841042.1	XP_017887828.1, XP_026673222.1, XP_026673221.1, XP_026673223.1, XP_017887829.1
OG0000120	XP_031837143.1, XP_031837140.1, XP_031837139.1, XP_031837144.1, XP_031837141.1, XP_031837145.1, XP_031837146.1, XP_031837147.1, XP_031837148.1, XP_031837149.1	XP_017885112.1, XP_017885113.1, XP_017885114.1, XP_026671925.1, XP_026671926.1, XP_026671923.1, XP_026671924.1, XP_017885115.1, XP_026671929.1, XP_026671928.1, XP_026671927.1, XP_017885111.1
OG0000122	XP_031848880.1	XP_026667849.1
OG0000122	XP_031839754.1, XP_031839755.1, XP_031839753.1, XP_031839752.1, XP_031839750.1, XP_031839749.1	XP_017884012.1
OG0000122	XP_031833934.1	XP_017882995.2
OG0000123	XP_031829219.1	XP_026671916.1, XP_017885083.1, XP_017885082.1, XP_017885077.1, XP_017885085.1, XP_017885084.1, XP_017885081.1
OG0000124	XP_031838642.1, XP_031838635.1, XP_031838638.1, XP_031838640.1, XP_031838636.1, XP_031838637.1, XP_031838643.1, XP_031838641.1	XP_026668669.1, XP_026668670.1, XP_017878668.1, XP_026668667.1, XP_026668668.1, XP_017878669.1
OG0000125	XP_031839027.1	XP_026667182.1, XP_026674457.1, XP_017875567.1, XP_026667179.1, XP_026667181.1, XP_017875575.1, XP_017875574.1
OG0000125	XP_031839025.1, XP_031838819.1, XP_031838775.1	XP_017875581.1
OG0000126	XP_031846352.1	XP_026674600.1, XP_026674596.1, XP_026674598.1, XP_026674597.1, XP_017890658.1
OG0000127	XP_031849581.1, XP_031849592.1, XP_031846850.1	XP_017876054.2
OG0000129	XP_031848648.1, XP_031848647.1	XP_026673235.1, XP_026673236.1, XP_017887874.1
OG0000130	XP_031826226.1	XP_017890630.1
OG0000130	XP_031826291.1	XP_017890624.2, XP_026674583.1, XP_026674584.1
OG0000130	XP_031826201.1	XP_026670684.1
OG0000131	XP_031828484.1	XP_017887498.1
OG0000131	XP_031840624.1, XP_031840625.1, XP_031840622.1, XP_031840623.1	XP_026673152.1
OG0000132	XP_031829308.1	XP_017878842.1
OG0000132	XP_031845637.1, XP_031845638.1, XP_031845639.1	XP_026668316.1
OG0000133	XP_031836871.1, XP_031836868.1	XP_017877510.1
OG0000133	XP_031827303.1	XP_017887809.1
OG0000133	XP_031827306.1	XP_026673220.1
OG0000134	XP_031832250.1	XP_026667909.1
OG0000135	XP_031839483.1	XP_026673412.1
OG0000135	XP_031849617.1, XP_031849615.1, XP_031849616.1, XP_031849618.1	XP_026669661.1
OG0000136	XP_031828129.1	XP_026675214.1
OG0000136	XP_031828130.1, XP_031827941.1, XP_031829540.1	XP_017892253.1
OG0000137	XP_031838894.1	XP_026670973.1
OG0000137	XP_031830054.1, XP_031830055.1, XP_031830052.1	XP_026670220.1
OG0000138	XP_031839076.1	XP_017885549.1, XP_026672117.1
OG0000138	XP_031839079.1	XP_017885589.1, XP_017885588.1, XP_017885587.1
OG0000139	XP_031836055.1, XP_031836054.1	XP_026673554.1
OG0000140	XP_031832920.1	XP_017884943.1
OG0000141	XP_031837195.1	XP_017885124.1
OG0000141	XP_031839814.1	XP_026671329.1, XP_026671326.1, XP_026671328.1, XP_017884016.1, XP_026671325.1
OG0000142	XP_031844401.1	XP_026669751.1, XP_017892956.2, XP_017891025.1
OG0000142	XP_031844400.1, XP_031844389.1	XP_017891024.1
OG0000143	XP_031839633.1	XP_017891548.1
OG0000143	XP_031839547.1	XP_026675129.1, XP_017891695.1, XP_017891686.1
OG0000144	XP_031829750.1	XP_026673668.1
OG0000144	XP_031829842.1	XP_017888863.1
OG0000145	XP_031837412.1	XP_026667451.1, XP_017876164.1
OG0000145	XP_031838797.1, XP_031838795.1	XP_017875158.1
OG0000146	XP_031825439.1	XP_017880213.1
OG0000146	XP_031838000.1, XP_031837999.1, XP_031838001.1	XP_017876237.1
OG0000146	XP_031844338.1	XP_017880666.1
OG0000147	XP_031846647.1	XP_017875842.1, XP_017875843.1, XP_026667285.1
OG0000149	XP_031844539.1	XP_017880633.1, XP_026669623.1, XP_017880636.1, XP_017880635.1, XP_026669622.1
OG0000150	XP_031826266.1, XP_031826326.1	XP_026671385.1, XP_026671384.1, XP_017884134.1, XP_017884140.1, XP_017884141.1, XP_017884135.1, XP_017884138.1, XP_017884143.1, XP_017884145.1, XP_026671383.1
OG0000151	XP_031850487.1, XP_031850486.1, XP_031850491.1, XP_031850490.1, XP_031850493.1, XP_031850492.1, XP_031850494.1, XP_031850488.1	XP_026667339.1, XP_026667338.1, XP_026667337.1, XP_017875900.1, XP_017875902.1
OG0000152	XP_031830368.1	XP_026667393.1, XP_026667394.1, XP_026667391.1, XP_026667392.1, XP_017876039.1
OG0000153	XP_031837357.1, XP_031837349.1, XP_031837338.1, XP_031837284.1, XP_031837302.1, XP_031837367.1, XP_031837294.1, XP_031837319.1, XP_031837312.1, XP_031837329.1, XP_031837276.1	XP_017884723.1, XP_017884724.1, XP_017884725.1, XP_017884726.1, XP_026671618.1
OG0000154	XP_031838095.1	XP_017876215.1
OG0000156	XP_031828385.1, XP_031828383.1, XP_031828384.1, XP_031828378.1, XP_031828379.1, XP_031828380.1, XP_031828382.1, XP_031828374.1, XP_031828375.1, XP_031828376.1, XP_031828377.1, XP_031828389.1, XP_031828387.1, XP_031828386.1, XP_031828373.1, XP_031828388.1	XP_017887763.1, XP_026673086.1, XP_017887760.1, XP_017887762.1, XP_017887761.1, XP_026673087.1
OG0000157	XP_031827834.1	XP_017891817.1
OG0000157	XP_031827676.1	XP_017891818.1
OG0000158	XP_031833446.1	XP_017883012.1
OG0000158	XP_031833445.1	XP_017893148.1, XP_017892229.1, XP_017892218.2, XP_017883003.2
OG0000160	XP_031835553.1	XP_017886269.2, XP_017886270.1
OG0000160	XP_031840569.1, XP_031840564.1, XP_031840565.1, XP_031840566.1, XP_031840570.1	XP_017887715.1, XP_026673143.1, XP_026673144.1
OG0000161	XP_031840747.1, XP_031840748.1	XP_017882448.1
OG0000162	XP_031844217.1	XP_017889429.1
OG0000162	XP_031846677.1, XP_031846685.1	XP_017885311.1
OG0000164	XP_031838886.1	XP_026674186.1
OG0000164	XP_031838889.1	XP_026673941.1
OG0000165	XP_031845761.1	XP_017893274.1, XP_017893275.1, XP_017893271.1, XP_017893273.1, XP_017893272.1
OG0000165	XP_031849879.1	XP_017880352.1
OG0000166	XP_031834782.1, XP_031834789.1, XP_031834779.1, XP_031834778.1, XP_031834773.1	XP_017884326.1, XP_026671456.1, XP_026671462.1, XP_026671458.1, XP_026671477.1
OG0000168	XP_031840911.1	XP_017883928.1
OG0000169	XP_031828486.1	XP_017875038.1
OG0000170	XP_031847928.1	XP_017883822.1
OG0000170	XP_031847930.1	XP_017883824.1
OG0000170	XP_031847927.1	XP_017883820.1
OG0000170	XP_031847933.1	XP_017883828.1, XP_026671258.1, XP_026671257.1
OG0000171	XP_031825968.1	XP_017888625.2
OG0000171	XP_031826361.1, XP_031826360.1, XP_031826362.1	XP_017893176.1
OG0000172	XP_031826024.1, XP_031826014.1, XP_031826006.1, XP_031825998.1, XP_031825989.1, XP_031825979.1	XP_017877808.2, XP_017888362.2
OG0000173	XP_031842563.1, XP_031842562.1, XP_031842566.1, XP_031842567.1, XP_031842564.1, XP_031842565.1, XP_031842571.1, XP_031842572.1, XP_031842568.1, XP_031842569.1	XP_017889483.1, XP_026674100.1, XP_026674098.1, XP_026674099.1
OG0000174	XP_031832594.1, XP_031832593.1, XP_031832592.1	XP_017884502.1, XP_017884504.1, XP_017884503.1, XP_017884500.1, XP_017884501.1, XP_026671517.1, XP_017884509.1, XP_017884505.1, XP_017884508.1
OG0000175	XP_031837388.1, XP_031837387.1, XP_031837386.1, XP_031837392.1, XP_031837391.1, XP_031837389.1	XP_017893183.1, XP_017893184.1, XP_017893185.1
OG0000176	XP_031839720.1	XP_017891232.1
OG0000177	XP_031850035.1	XP_017876272.1
OG0000177	XP_031849982.1, XP_031849983.1	XP_017876310.1
OG0000177	XP_031849977.1, XP_031849980.1	XP_017876269.1
OG0000179	XP_031846959.1, XP_031846958.1, XP_031846955.1, XP_031846954.1, XP_031846953.1, XP_031846957.1, XP_031846956.1	XP_017886749.1
OG0000179	XP_031842123.1	XP_017888464.1
OG0000180	XP_031829739.1, XP_031829734.1, XP_031829738.1, XP_031829737.1, XP_031829736.1, XP_031829735.1	XP_017890818.1
OG0000181	XP_031850222.1, XP_031850221.1, XP_031850223.1, XP_031850218.1, XP_031850220.1	XP_017887447.1, XP_017887445.1, XP_017887444.1, XP_026673014.1
OG0000182	XP_031841728.1	XP_026670184.1, XP_026670178.1, XP_026670174.1, XP_017881549.1
OG0000183	XP_031838925.1	XP_026670364.1
OG0000183	XP_031828691.1, XP_031828693.1, XP_031828695.1, XP_031828694.1, XP_031828690.1	XP_017876952.1, XP_017876951.1, XP_017876954.1, XP_017876953.1
OG0000184	XP_031846910.1	XP_017880151.1
OG0000185	XP_031829646.1, XP_031829645.1, XP_031829647.1	XP_017884792.1, XP_017884791.1
OG0000186	XP_031834869.1	XP_017880985.2, XP_017889237.1, XP_017889238.1, XP_017884325.1, XP_017889240.1, XP_026673871.1, XP_017879879.1, XP_017879865.1, XP_017893576.1, XP_017877687.1, XP_017877675.1, XP_017885068.1, XP_017890095.1, XP_017884322.1, XP_017884320.1, XP_017884321.1, XP_017891413.1
OG0000187	XP_031844556.1, XP_031844565.1, XP_031844499.1, XP_031844479.1, XP_031844458.1, XP_031844469.1, XP_031844528.1, XP_031844537.1, XP_031844547.1, XP_031844448.1, XP_031844518.1, XP_031844439.1, XP_031844509.1, XP_031844574.1, XP_031844582.1, XP_031844489.1	XP_017885442.1, XP_017885441.1, XP_026672109.1, XP_026672110.1
OG0000188	XP_031834431.1	XP_017881748.1
OG0000189	XP_031837615.1	XP_017883266.1
OG0000190	XP_031829381.1, XP_031829385.1, XP_031829383.1, XP_031829384.1, XP_031829386.1	XP_026670787.1, XP_017882897.1, XP_017882899.1, XP_017882898.1
