Orthogroup	Nomia_melanderi	Solenopsis_invicta
OG0000029	XP_031827213.1, XP_031827214.1, XP_031827215.1	XP_025987625.1
OG0000029	XP_031829841.1	XP_025994361.1
OG0000030	XP_031839105.1, XP_031839104.1	XP_025986100.1
OG0000030	XP_031848732.1, XP_031827412.1	XP_011165417.3, XP_039308147.1, XP_039313768.1
OG0000032	XP_031832803.1	XP_025991246.2
OG0000032	XP_031833782.1	XP_011159466.2
OG0000032	XP_031831095.1	XP_011165027.1, XP_011165031.2, XP_011165029.2, XP_011165028.2
OG0000035	XP_031842253.1, XP_031842459.1	XP_039312187.1
OG0000035	XP_031834401.1	XP_025987669.2
OG0000036	XP_031844820.1, XP_031844747.1, XP_031844815.1, XP_031849986.1, XP_031850071.1	XP_011166049.1
OG0000037	XP_031838355.1	XP_011161783.1
OG0000038	XP_031848143.1, XP_031835042.1	XP_011172049.1
OG0000038	XP_031833332.1	XP_011173370.1
OG0000038	XP_031847407.1	XP_011174246.2
OG0000038	XP_031844860.1	XP_025991821.1
OG0000039	XP_031848981.1	XP_039311331.1, XP_039303495.1, XP_039303407.1, XP_039303449.1, XP_039312874.1, XP_039315492.1, XP_039312525.1, XP_039311327.1, XP_039305149.1, XP_025994381.1, XP_011162982.1, XP_039315449.1, XP_039309120.1, XP_039310752.1, XP_039304385.1, XP_011169959.1, XP_039301724.1, XP_039303416.1
OG0000039	XP_031831007.1	XP_011160646.1, XP_039303925.1, XP_011163115.1
OG0000040	XP_031849129.1, XP_031847901.1, XP_031847689.1	XP_011157958.2, XP_011160398.1
OG0000040	XP_031847213.1	XP_039308303.1, XP_011155953.3, XP_025987097.2, XP_039308361.1, XP_039303181.1
OG0000041	XP_031836959.1, XP_031836960.1	XP_011173672.1
OG0000041	XP_031848908.1, XP_031828119.1, XP_031828107.1	XP_011173634.1, XP_011173641.1
OG0000042	XP_031842358.1	XP_025988401.1, XP_025988400.1
OG0000043	XP_031842101.1	XP_011166108.1
OG0000043	XP_031828007.1	XP_011172450.1
OG0000044	XP_031831328.1	XP_039306340.1, XP_025986513.2
OG0000044	XP_031848718.1, XP_031848716.1, XP_031848717.1	XP_025986451.2, XP_025986364.1, XP_025986365.1, XP_025986366.1, XP_025986367.1
OG0000045	XP_031836513.1	XP_011157503.2
OG0000045	XP_031839078.1	XP_011156768.2
OG0000045	XP_031836517.1, XP_031836516.1, XP_031836515.1	XP_025992324.2
OG0000045	XP_031833680.1	XP_039312826.1
OG0000046	XP_031849512.1	XP_011168512.1
OG0000046	XP_031844716.1	XP_011168531.1
OG0000046	XP_031825836.1	XP_039310878.1, XP_039310880.1, XP_039310879.1
OG0000052	XP_031831624.1, XP_031831623.1	XP_039313337.1
OG0000053	XP_031836323.1	XP_039315547.1
OG0000053	XP_031848020.1	XP_011162891.2
OG0000054	XP_031843412.1	XP_011164393.2
OG0000054	XP_031843397.1, XP_031843398.1	XP_011164215.1, XP_011164214.2
OG0000055	XP_031825307.1	XP_039311167.1
OG0000055	XP_031844409.1	XP_039311121.1
OG0000055	XP_031846127.1	XP_011169776.2
OG0000055	XP_031827062.1	XP_011162045.1
OG0000056	XP_031840201.1	XP_039301684.1
OG0000056	XP_031838488.1	XP_025992809.2
OG0000056	XP_031846527.1	XP_011167471.3
OG0000056	XP_031838897.1	XP_039313454.1
OG0000056	XP_031831701.1	XP_039306715.1
OG0000057	XP_031845337.1	XP_011165693.1
OG0000057	XP_031832931.1	XP_011161996.1
OG0000057	XP_031845460.1	XP_011165691.1
OG0000057	XP_031845459.1	XP_011165692.1
OG0000058	XP_031838462.1, XP_031838489.1, XP_031838503.1, XP_031838476.1	XP_011160196.3, XP_039304404.1, XP_011166290.1, XP_011160197.2, XP_039304698.1, XP_039304395.1, XP_039304704.1, XP_039304706.1
OG0000060	XP_031827529.1, XP_031827528.1	XP_011166599.1, XP_039312995.1, XP_039313020.1
OG0000060	XP_031827527.1	XP_011166588.1, XP_039313855.1, XP_039313856.1
OG0000061	XP_031839331.1	XP_039310102.1
OG0000065	XP_031830877.1	XP_011161811.1, XP_039309142.1, XP_025991903.1, XP_011161836.1, XP_011161820.1
OG0000065	XP_031830875.1	XP_039308740.1, XP_011176028.1, XP_011176027.2
OG0000066	XP_031830448.1, XP_031826346.1	XP_039309173.1
OG0000067	XP_031834066.1	XP_011168949.1
OG0000067	XP_031837355.1	XP_039302008.1, XP_011157859.1
OG0000067	XP_031837354.1	XP_011157858.1, XP_025991420.1
OG0000067	XP_031845953.1	XP_025989655.1
OG0000069	XP_031829088.1, XP_031829087.1	XP_025987486.1
OG0000069	XP_031829094.1	XP_011163891.1, XP_039303799.1, XP_039303801.1, XP_025989421.2, XP_039303891.1, XP_011171057.2, XP_039309137.1, XP_039309138.1, XP_039308972.1, XP_039308973.1, XP_039308974.1, XP_039309139.1, XP_039308971.1, XP_039308970.1, XP_039308969.1, XP_039309140.1, XP_011168216.3
OG0000070	XP_031839945.1, XP_031848755.1, XP_031848754.1	XP_039308666.1, XP_025985811.2, XP_025985886.1, XP_039308665.1, XP_039308664.1, XP_039308741.1
OG0000073	XP_031842058.1, XP_031837430.1	XP_011157914.1
OG0000074	XP_031849072.1	XP_011157636.1, XP_025987236.2, XP_025987238.1, XP_039314707.1
OG0000077	XP_031841494.1, XP_031841485.1	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1
OG0000077	XP_031831897.1	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1
OG0000078	XP_031834906.1, XP_031834907.1	XP_039309962.1, XP_039310440.1, XP_011156215.2, XP_039309961.1, XP_039310430.1, XP_039309963.1, XP_011155704.2, XP_011155659.3, XP_011155817.3, XP_039309966.1, XP_011156294.1, XP_039310434.1, XP_011155782.2, XP_011155805.2, XP_025991287.2, XP_039309964.1
OG0000080	XP_031827008.1, XP_031827009.1, XP_031827010.1, XP_031827011.1, XP_031827012.1, XP_031827013.1, XP_031827007.1	XP_039313662.1, XP_011161097.1, XP_011161096.1
OG0000080	XP_031826836.1, XP_031826837.1	XP_025995013.1
OG0000080	XP_031827281.1, XP_031827282.1, XP_031827283.1, XP_031827284.1	XP_011173727.1
OG0000081	XP_031847372.1	XP_011174507.3, XP_025987271.2, XP_011174500.3
OG0000081	XP_031847521.1, XP_031847370.1, XP_031847371.1, XP_031847522.1	XP_025987228.1, XP_025987227.1, XP_025987226.2, XP_039314403.1, XP_039314406.1, XP_039314405.1, XP_039314325.1, XP_025987223.2, XP_039314716.1, XP_025987270.2
OG0000082	XP_031829549.1	XP_011158501.1
OG0000082	XP_031829550.1	XP_011158531.2
OG0000084	XP_031839513.1	XP_011155841.2
OG0000084	XP_031839514.1	XP_011155844.1
OG0000084	XP_031839516.1	XP_039310256.1, XP_011155840.3
OG0000084	XP_031839314.1	XP_011155335.1
OG0000085	XP_031826359.1, XP_031826358.1, XP_031826356.1	XP_025987478.1, XP_025987477.1
OG0000086	XP_031842854.1	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2
OG0000087	XP_031843075.1, XP_031843076.1	XP_025989498.1, XP_011170042.2
OG0000088	XP_031830799.1	XP_025996218.1, XP_039311698.1
OG0000089	XP_031841904.1, XP_031841905.1, XP_031841906.1	XP_039308778.1, XP_011166981.2, XP_011166985.2
OG0000089	XP_031839041.1	XP_011171848.1
OG0000090	XP_031841174.1, XP_031848787.1, XP_031843838.1, XP_031838604.1, XP_031848702.1, XP_031828601.1, XP_031836614.1, XP_031847656.1, XP_031842050.1, XP_031836582.1, XP_031827996.1	XP_039308386.1
OG0000090	XP_031848752.1	XP_025997709.2, XP_039305766.1, XP_039303294.1, XP_039310030.1, XP_039310471.1, XP_039305112.1
OG0000091	XP_031846471.1, XP_031846477.1, XP_031846470.1	XP_011175219.1, XP_011175223.1, XP_011175233.1
OG0000092	XP_031832478.1	XP_011165503.1
OG0000092	XP_031836523.1	XP_011175720.1, XP_011175721.1
OG0000092	XP_031827660.1	XP_011162964.1
OG0000093	XP_031829450.1	XP_039313509.1, XP_039303479.1, XP_011161917.1
OG0000093	XP_031847203.1	XP_039303354.1, XP_011164915.1
OG0000094	XP_031847199.1, XP_031847200.1	XP_039302038.1, XP_039302037.1, XP_039302036.1, XP_025991363.1
OG0000094	XP_031827484.1	XP_039303166.1
OG0000095	XP_031850007.1, XP_031850009.1, XP_031850008.1	NP_001291530.1, XP_039307299.1, XP_039307298.1, XP_011156878.1, XP_039307311.1, NP_001291531.1, XP_039312645.1, XP_039304610.1, XP_039304261.1, XP_039304262.1, XP_025997578.1, XP_039304282.1
OG0000096	XP_031832678.1	XP_011156409.1, XP_039313932.1
OG0000096	XP_031843327.1	XP_039306601.1
OG0000097	XP_031827452.1, XP_031827442.1, XP_031827429.1, XP_031827419.1, XP_031827413.1	XP_025987027.1, XP_025987029.1, XP_039302265.1, XP_025987030.1
OG0000097	XP_031831172.1, XP_031831171.1, XP_031831170.1	XP_025992182.1, XP_011159441.1
OG0000098	XP_031830538.1, XP_031830536.1, XP_031830540.1, XP_031830537.1	XP_025996352.1
OG0000099	XP_031844823.1, XP_031844824.1, XP_031844822.1	XP_039314446.1, XP_025989491.1, XP_025989492.2, XP_039314447.1, XP_011166692.1, XP_039301759.1, XP_039301757.1, XP_039301758.1, XP_039310390.1, XP_039314464.1, XP_039314463.1, XP_039311961.1, XP_039311641.1
OG0000099	XP_031825801.1, XP_031825802.1	XP_039314426.1
OG0000099	XP_031843262.1	XP_011164670.2
OG0000101	XP_031848007.1	XP_011159599.3
OG0000101	XP_031848006.1	XP_025989569.1
OG0000102	XP_031830192.1	XP_025989688.2, XP_025989699.1
OG0000102	XP_031830259.1	XP_025989703.1
OG0000103	XP_031830730.1	XP_011161395.1
OG0000103	XP_031830618.1	XP_011161367.1
OG0000103	XP_031830446.1	XP_011161334.1
OG0000106	XP_031838896.1	XP_039314717.1
OG0000107	XP_031849421.1, XP_031849424.1	XP_011159805.1
OG0000108	XP_031836809.1	XP_025985914.1
OG0000109	XP_031828710.1, XP_031828711.1, XP_031828714.1, XP_031828715.1, XP_031828712.1, XP_031828713.1, XP_031828722.1, XP_031828723.1, XP_031828724.1, XP_031828718.1, XP_031828720.1, XP_031828721.1, XP_031828719.1, XP_031828716.1	XP_011157413.1, XP_011157412.1
OG0000110	XP_031837099.1	XP_025991740.2, XP_025991741.2, XP_039308312.1, XP_039308317.1, XP_039308316.1, XP_039308308.1, XP_039308309.1, XP_039308311.1, XP_039308310.1, XP_039308313.1, XP_039308315.1, XP_039308314.1
OG0000111	XP_031843589.1	XP_039301713.1
OG0000111	XP_031825716.1	XP_011165202.1, XP_025990766.2, NP_001291520.1
OG0000111	XP_031842672.1	XP_039308795.1
OG0000112	XP_031849209.1, XP_031849210.1, XP_031849208.1, XP_031849207.1	XP_025989590.2
OG0000113	XP_031838147.1	XP_011169897.1
OG0000113	XP_031842250.1	XP_011176341.1, XP_011176387.1
OG0000114	XP_031825659.1	XP_011161124.1
OG0000114	XP_031825640.1	XP_039314478.1, XP_011172282.1, XP_025993302.2, XP_025993279.1, XP_039314479.1
OG0000115	XP_031842331.1	NP_001291541.1
OG0000115	XP_031842255.1	XP_011165645.2
OG0000116	XP_031837852.1, XP_031837855.1, XP_031837856.1, XP_031837853.1, XP_031837854.1, XP_031837857.1, XP_031837858.1	XP_011158331.1, XP_039303768.1
OG0000116	XP_031837730.1	XP_039303766.1
OG0000117	XP_031840830.1	XP_011157894.1
OG0000117	XP_031841113.1, XP_031841103.1, XP_031841094.1, XP_031841084.1, XP_031841121.1, XP_031841052.1, XP_031841129.1, XP_031841059.1, XP_031841076.1, XP_031841068.1, XP_031841042.1	XP_011170972.1, XP_011170971.1
OG0000119	XP_031848621.1, XP_031848628.1, XP_031848630.1, XP_031848631.1	XP_039303820.1, XP_025988519.1, XP_011160452.1, XP_011160472.1, XP_039303816.1, XP_011160453.1, XP_011160457.2, XP_011160459.1, XP_011160469.1
OG0000120	XP_031837143.1, XP_031837140.1, XP_031837139.1, XP_031837144.1, XP_031837141.1, XP_031837145.1, XP_031837146.1, XP_031837147.1, XP_031837148.1, XP_031837149.1	XP_011175144.2
OG0000122	XP_031848880.1	XP_039310041.1
OG0000122	XP_031839754.1, XP_031839755.1, XP_031839753.1, XP_031839752.1, XP_031839750.1, XP_031839749.1	XP_039305859.1
OG0000122	XP_031833934.1	XP_011173307.2
OG0000123	XP_031829219.1	XP_011169664.1
OG0000124	XP_031838642.1, XP_031838635.1, XP_031838638.1, XP_031838640.1, XP_031838636.1, XP_031838637.1, XP_031838643.1, XP_031838641.1	XP_039302015.1
OG0000125	XP_031839027.1, XP_031839025.1, XP_031838819.1, XP_031838775.1	XP_011166830.1, XP_011166831.1
OG0000126	XP_031846352.1	XP_011155410.1, XP_039309160.1, XP_039309158.1, XP_025990026.1, XP_025990027.1, XP_025990024.1
OG0000127	XP_031849581.1, XP_031849592.1, XP_031846850.1	XP_011165176.1, XP_039307622.1, XP_025994182.1
OG0000129	XP_031848648.1, XP_031848647.1	XP_039310447.1, XP_039310449.1, XP_039310448.1, XP_025991275.2, XP_025991277.2
OG0000130	XP_031826226.1	XP_039309465.1
OG0000130	XP_031826201.1	XP_025991693.1, XP_025991692.1
OG0000131	XP_031828484.1	XP_011159624.1
OG0000131	XP_031840624.1, XP_031840625.1, XP_031840622.1, XP_031840623.1	XP_011168548.1
OG0000132	XP_031829308.1	XP_039305040.1, XP_011175354.1
OG0000132	XP_031845637.1, XP_031845638.1, XP_031845639.1	XP_011162113.1
OG0000133	XP_031836871.1, XP_031836868.1	XP_025988235.1, XP_025988236.1, XP_039308247.1, XP_039308246.1
OG0000135	XP_031837271.1	XP_025991427.1
OG0000135	XP_031839483.1	XP_011168086.1
OG0000135	XP_031849617.1, XP_031849615.1, XP_031849616.1, XP_031849618.1	XP_025992521.1
OG0000136	XP_031828129.1, XP_031828130.1, XP_031827941.1, XP_031829540.1	XP_011168434.2, XP_011168435.1, XP_011168438.2, XP_039309206.1, XP_025989059.2, XP_011168437.1, XP_011168436.1, XP_011168451.1
OG0000137	XP_031838894.1	XP_039302269.1, XP_011164282.1
OG0000137	XP_031830054.1, XP_031830055.1, XP_031830052.1	XP_025987902.2, XP_011171988.2, XP_011171990.2, XP_011171989.2
OG0000138	XP_031839076.1	XP_011156769.2
OG0000139	XP_031836046.1, XP_031836045.1, XP_031836044.1, XP_031836043.1	XP_011163331.1, XP_011163323.1, XP_011163250.1
OG0000139	XP_031836055.1, XP_031836054.1	XP_011163312.2, XP_025992297.2
OG0000141	XP_031837195.1	XP_011172931.2
OG0000142	XP_031844401.1, XP_031844400.1, XP_031844389.1	XP_039305867.1, XP_025986931.2, XP_039314570.1, XP_025986941.2, XP_025986936.2, XP_039314535.1, XP_039314558.1, XP_011168007.2, XP_039314529.1, XP_039314590.1, XP_039314564.1, XP_039305868.1, XP_039305708.1, XP_039305809.1, XP_039305616.1, XP_039305178.1, XP_039305782.1
OG0000143	XP_031839547.1	XP_011158940.1, XP_011158941.1
OG0000144	XP_031829750.1	XP_011155485.2
OG0000144	XP_031829842.1	XP_011155484.1
OG0000145	XP_031837412.1	XP_039310475.1, XP_039310474.1
OG0000145	XP_031838797.1, XP_031838795.1	XP_025989810.1
OG0000146	XP_031825439.1	XP_011158610.1
OG0000146	XP_031838000.1, XP_031837999.1, XP_031838001.1	XP_011163024.1, XP_011163029.1
OG0000146	XP_031844338.1	XP_011157598.1
OG0000147	XP_031846647.1	XP_025987816.1, XP_039314750.1
OG0000149	XP_031844539.1	XP_039303906.1, XP_011168707.2, XP_011168703.2, XP_011168705.2, XP_011168706.2, XP_011168701.2
OG0000150	XP_031826266.1, XP_031826326.1	XP_011156682.1, XP_025991203.1, XP_011156666.1, XP_011156673.1, XP_025991204.1
OG0000151	XP_031850487.1, XP_031850486.1, XP_031850491.1, XP_031850490.1, XP_031850493.1, XP_031850492.1, XP_031850494.1, XP_031850488.1	XP_011167344.2
OG0000152	XP_031830368.1	XP_011159593.1, XP_011159592.1
OG0000153	XP_031837357.1, XP_031837349.1, XP_031837338.1, XP_031837284.1, XP_031837302.1, XP_031837367.1, XP_031837294.1, XP_031837319.1, XP_031837312.1, XP_031837329.1, XP_031837276.1	XP_025991417.2
OG0000154	XP_031838095.1	XP_039306572.1, XP_011172804.1, XP_039306683.1
OG0000156	XP_031828385.1, XP_031828383.1, XP_031828384.1, XP_031828378.1, XP_031828379.1, XP_031828380.1, XP_031828382.1, XP_031828374.1, XP_031828375.1, XP_031828376.1, XP_031828377.1, XP_031828389.1, XP_031828387.1, XP_031828386.1, XP_031828373.1, XP_031828388.1	XP_039313051.1, XP_039313052.1, XP_011167313.1, XP_011167314.1, XP_011167312.1
OG0000157	XP_031827834.1, XP_031827676.1	XP_039311111.1, XP_039311110.1
OG0000158	XP_031833446.1	XP_039312830.1
OG0000160	XP_031835553.1	XP_025995468.2
OG0000160	XP_031840569.1, XP_031840564.1, XP_031840565.1, XP_031840566.1, XP_031840570.1	XP_039307899.1
OG0000161	XP_031840747.1, XP_031840748.1	XP_011171818.2, XP_011157167.1, XP_011171836.1
OG0000162	XP_031846677.1, XP_031846685.1	XP_025990139.1
OG0000164	XP_031838888.1	XP_011175603.2, XP_039313027.1
OG0000165	XP_031845761.1	XP_011162664.1, XP_011162665.1, XP_025987522.1, XP_025987521.1
OG0000165	XP_031849879.1	XP_011173553.1
OG0000166	XP_031834782.1, XP_031834789.1, XP_031834779.1, XP_031834778.1, XP_031834773.1	XP_025986750.2, XP_025986751.2, XP_039305072.1, XP_039305077.1
OG0000169	XP_031828486.1	XP_011166801.1, XP_011166805.2, XP_011166806.2
OG0000170	XP_031847928.1	XP_011161394.2
OG0000170	XP_031847930.1	XP_011161401.1
OG0000170	XP_031847931.1	XP_011161396.1
OG0000170	XP_031847927.1	XP_011161392.2
OG0000170	XP_031847933.1	XP_011161398.1
OG0000171	XP_031825968.1, XP_031826361.1, XP_031826360.1, XP_031826362.1	XP_011160261.1, XP_039309768.1, XP_011160941.1, XP_039309770.1, XP_011160937.1, XP_011160936.1
OG0000172	XP_031826024.1, XP_031826014.1, XP_031826006.1, XP_031825998.1, XP_031825989.1, XP_031825979.1	XP_039313711.1
OG0000173	XP_031842563.1, XP_031842562.1, XP_031842566.1, XP_031842567.1, XP_031842564.1, XP_031842565.1, XP_031842571.1, XP_031842572.1, XP_031842568.1, XP_031842569.1	XP_025993243.1, XP_011165836.1, XP_039304290.1, XP_011165837.1, XP_011165835.1
OG0000174	XP_031832594.1, XP_031832593.1, XP_031832592.1	XP_025991237.1, XP_025991236.1, XP_025991235.1, XP_025991234.1, XP_025991233.1, XP_039302167.1, XP_039302166.1
OG0000175	XP_031837388.1, XP_031837387.1, XP_031837386.1, XP_031837392.1, XP_031837391.1, XP_031837389.1	XP_039302006.1, XP_039302007.1, XP_011157853.1
OG0000176	XP_031839720.1	XP_025986721.1
OG0000177	XP_031850035.1	XP_025993788.1
OG0000177	XP_031849982.1, XP_031849983.1	XP_011167661.1
OG0000179	XP_031846959.1, XP_031846958.1, XP_031846955.1, XP_031846954.1, XP_031846953.1, XP_031846957.1, XP_031846956.1	XP_039308745.1
OG0000179	XP_031842123.1	XP_011164111.1
OG0000180	XP_031829739.1, XP_031829734.1, XP_031829738.1, XP_031829737.1, XP_031829736.1, XP_031829735.1	XP_011166951.1, XP_011166952.1, XP_025986052.1, XP_025986051.1
OG0000181	XP_031850222.1, XP_031850221.1, XP_031850223.1, XP_031850218.1, XP_031850220.1	XP_025994298.1, XP_025994299.1, XP_039312812.1, XP_039312813.1, XP_011169149.1, XP_011169148.1
OG0000182	XP_031841728.1	XP_011171027.1, XP_039307169.1, XP_039307168.1, XP_039307167.1, XP_039307166.1, XP_025991013.1
OG0000183	XP_031838925.1	XP_011173713.1, XP_011173715.1
OG0000183	XP_031828691.1, XP_031828693.1, XP_031828695.1, XP_031828694.1, XP_031828690.1	XP_025992667.1
OG0000184	XP_031846910.1	XP_039308158.1, XP_039308138.1, XP_039308136.1
OG0000185	XP_031829646.1, XP_031829645.1, XP_031829647.1	XP_011158491.1, XP_011158492.1
