Orthogroup	Nomia_melanderi	Bombyx_mori
OG0000035	XP_031842253.1, XP_031842459.1	NP_001243971.1, NP_001243970.1, NP_001243969.1, NP_001243968.1, NP_001274756.1, XP_037870343.1, NP_001243972.1, XP_037870428.1
OG0000035	XP_031834401.1	NP_001243964.1, NP_001243980.1
OG0000036	XP_031844820.1, XP_031844747.1, XP_031844815.1, XP_031849986.1, XP_031850071.1	XP_037877629.1, XP_012544322.2
OG0000037	XP_031838355.1	NP_001166634.1, NP_001166643.1, NP_001166640.1, XP_021207417.1, NP_001166642.1, NP_001166626.1, NP_001166646.1, NP_001166657.1, NP_001166648.1, NP_001166659.1, NP_001166661.1, NP_001166647.1, NP_001166654.1, NP_001166652.1, NP_001166656.1, NP_001166655.1, NP_001166651.1, NP_001166653.1, NP_001166650.1, XP_012550695.2, XP_037874610.1, NP_001166649.1, NP_001166658.1, NP_001166660.1, XP_037874849.1, XP_037874613.1, XP_037874612.1, NP_001166662.1, NP_001036864.1, NP_001166674.1, NP_001166673.1, NP_001166676.1, NP_001166675.1, NP_001036838.1, NP_001166677.1, XP_012550704.2, NP_001166625.1, NP_001166671.1, NP_001166678.1, XP_012550693.1, NP_001166641.1, XP_004931961.1, NP_001166635.1, NP_001166644.1, NP_001166637.1
OG0000038	XP_031848143.1, XP_031835042.1	NP_001036884.1
OG0000038	XP_031847407.1	NP_001036886.1, XP_021204307.1
OG0000039	XP_031848932.1, XP_031848981.1	XP_037877377.1, XP_037875720.1, XP_037875730.1, XP_037875679.1, XP_037877102.1, XP_037877190.1, XP_037877066.1
OG0000039	XP_031831007.1	XP_037875873.1, XP_037875721.1, XP_037875722.1, XP_037875265.1, XP_037867939.1, XP_037877376.1, XP_037877375.1, XP_037870392.1, XP_037870333.1, XP_012548402.1, XP_012548403.1, XP_021207874.2, XP_037866956.1, XP_037868982.1, XP_037877018.1, XP_012548919.1
OG0000040	XP_031843292.1, XP_031847213.1	XP_037871589.1, XP_037877007.1
OG0000041	XP_031848908.1, XP_031828119.1, XP_031828107.1	NP_001119724.1
OG0000042	XP_031842358.1	XP_004925565.1
OG0000043	XP_031842101.1	NP_001037067.1, NP_001037068.1
OG0000043	XP_031831862.1	NP_001091780.1, XP_021206019.2
OG0000044	XP_031831328.1	NP_001036834.1
OG0000044	XP_031848718.1, XP_031848716.1, XP_031848717.1	XP_037868658.1
OG0000044	XP_031849052.1, XP_031844224.1	NP_001266372.1, XP_012552714.2
OG0000045	XP_031836513.1, XP_031839078.1, XP_031836517.1, XP_031836516.1, XP_031836515.1	XP_037866529.1, XP_037866527.1, NP_001296551.1, XP_012549946.3, NP_001182391.1, XP_004930880.1
OG0000046	XP_031849512.1	NP_001036837.1, XP_012547740.1
OG0000046	XP_031844716.1, XP_031825836.1	NP_001036892.1
OG0000050	XP_031826510.1, XP_031826305.1, XP_031826306.1	NP_001165227.1, NP_001040466.1, XP_037875050.1, NP_001124352.1, NP_001116814.1, XP_004927162.1, XP_021203217.2, XP_021203196.2, XP_037870386.1, XP_037870387.1, XP_004925199.1, XP_004924525.1, XP_004932947.1, NP_001040174.1
OG0000052	XP_031831624.1, XP_031831623.1	XP_012545178.1, NP_001036907.1, XP_037868558.1, XP_037868546.1, XP_012545207.2, XP_012545182.2, XP_004925374.1, XP_037868485.1, XP_004925372.1, XP_004925371.1
OG0000054	XP_031843412.1	NP_001040112.1
OG0000054	XP_031843397.1, XP_031843398.1	NP_001036835.1, NP_001166743.1
OG0000055	XP_031844409.1	XP_021207833.1
OG0000055	XP_031827062.1	XP_012548893.1, NP_001036959.1
OG0000056	XP_031840201.1, XP_031838488.1	XP_037866675.1
OG0000056	XP_031846527.1	XP_037872689.1
OG0000056	XP_031838897.1	XP_037871311.1
OG0000056	XP_031835578.1	XP_037873641.1
OG0000057	XP_031845337.1	NP_001036887.1, NP_001036964.1
OG0000057	XP_031832931.1	XP_004923508.1, XP_012553252.3
OG0000057	XP_031845460.1	NP_001036965.1
OG0000057	XP_031845459.1	NP_001036888.1
OG0000057	XP_031845030.1	NP_001037492.1, NP_001093079.1
OG0000060	XP_031827529.1, XP_031827528.1	XP_004925993.2
OG0000060	XP_031827527.1	XP_021206640.1, XP_004930776.1
OG0000061	XP_031839331.1	XP_012551685.2
OG0000062	XP_031836310.1, XP_031836308.1, XP_031836306.1, XP_031836307.1, XP_031836020.1	XP_004923510.1, XP_037876893.1, XP_004933665.1, NP_001036941.1, NP_001036984.1, NP_001091794.1, XP_037877361.1, XP_037877362.1, NP_001037038.1, NP_001036942.1
OG0000065	XP_031830877.1	XP_004931596.1
OG0000065	XP_031830875.1, XP_031831100.1	NP_001037610.1, XP_037869237.1, XP_037869334.1, XP_012550936.1, XP_037869425.1, XP_037869333.1, XP_004921651.2
OG0000067	XP_031834066.1	XP_004931451.1
OG0000067	XP_031838504.1	NP_001037582.1
OG0000067	XP_031845953.1	XP_037877745.1
OG0000069	XP_031829088.1, XP_031829087.1	NP_001243973.1
OG0000070	XP_031841704.1, XP_031841650.1, XP_031841664.1, XP_031841675.1, XP_031841808.1, XP_031843606.1, XP_031841689.1, XP_031839945.1, XP_031848755.1, XP_031848754.1, XP_031841802.1	NP_001166602.1
OG0000073	XP_031842058.1, XP_031837430.1	NP_001243938.1
OG0000075	XP_031826514.1	XP_037868115.1
OG0000076	XP_031848811.1, XP_031842248.1	XP_037869185.1, XP_037874698.1, XP_037877095.1
OG0000077	XP_031841494.1, XP_031841485.1	XP_037870080.1
OG0000077	XP_031831897.1	NP_001037478.1
OG0000078	XP_031840314.1, XP_031840327.1, XP_031840326.1, XP_031834906.1, XP_031834907.1, XP_031840328.1, XP_031840325.1	XP_037872110.1, NP_001159625.1, NP_001116810.1
OG0000080	XP_031827008.1, XP_031827009.1, XP_031827010.1, XP_031827011.1, XP_031827012.1, XP_031827013.1, XP_031827007.1	XP_021207527.1, XP_021207524.1, XP_021207523.1, XP_021207526.1, XP_021207525.1, XP_004931947.1, XP_037874742.1
OG0000080	XP_031826836.1, XP_031826837.1	XP_004931946.1
OG0000080	XP_031827281.1, XP_031827282.1, XP_031827283.1, XP_031827284.1	XP_037874734.1
OG0000082	XP_031829547.1, XP_031829549.1, XP_031829550.1	XP_004927040.1, NP_001124343.1
OG0000084	XP_031839513.1, XP_031839514.1, XP_031839516.1	XP_012550708.1, NP_001166718.1
OG0000084	XP_031839314.1	NP_001166714.1, NP_001036828.1, NP_001166712.1, NP_001166744.1, NP_001036827.1, NP_001166742.1
OG0000085	XP_031826359.1, XP_031826358.1, XP_031826356.1	NP_001239600.1, XP_037876340.1, XP_037876341.1, XP_037876393.1, XP_037876339.1
OG0000086	XP_031842854.1	XP_004922188.1
OG0000087	XP_031843075.1, XP_031843076.1	XP_004925118.1
OG0000087	XP_031843049.1	XP_004926772.1
OG0000088	XP_031830799.1	XP_037876269.1, XP_037876266.1
OG0000091	XP_031846471.1, XP_031846477.1, XP_031846470.1	XP_037871523.1, NP_001037021.1, NP_001139714.1, XP_012547717.1, NP_001037305.1, XP_037874620.1
OG0000092	XP_031832478.1, XP_031836523.1, XP_031836568.1, XP_031827660.1	NP_001040445.1
OG0000093	XP_031829450.1	XP_037875268.1
OG0000094	XP_031827484.1	XP_037867226.1
OG0000094	XP_031826729.1, XP_031826728.1	XP_004929868.2
OG0000095	XP_031850007.1, XP_031850009.1, XP_031850008.1	XP_037874252.1, NP_001296528.1, XP_004927603.2, NP_001073134.1, NP_001103833.1
OG0000096	XP_031832678.1	XP_004933352.2
OG0000097	XP_031827452.1, XP_031827442.1, XP_031827429.1, XP_031827419.1, XP_031827413.1, XP_031831172.1, XP_031831171.1, XP_031831170.1	XP_012544532.1, XP_037871911.1, XP_004924657.1
OG0000098	XP_031830538.1, XP_031830536.1, XP_031830540.1, XP_031830537.1	XP_037867250.1, XP_037867248.1, XP_037867247.1, XP_037867246.1, XP_037867249.1
OG0000099	XP_031844823.1, XP_031844824.1, XP_031844822.1	XP_012551708.2
OG0000099	XP_031825801.1, XP_031825802.1	XP_004933046.1
OG0000099	XP_031843262.1	XP_037876655.1
OG0000101	XP_031848006.1	XP_037875936.1, NP_001037053.1, NP_001040462.1, XP_037875581.1
OG0000102	XP_031830192.1, XP_031830247.1, XP_031830259.1	XP_004925858.1, XP_037872752.1, XP_021205415.1, XP_004929095.1
OG0000103	XP_031830730.1	XP_037869904.1
OG0000108	XP_031836809.1	XP_004923866.1, XP_012545628.2, XP_037876582.1, XP_021203645.2, XP_021203646.2, XP_037876625.1, XP_037876626.1, XP_012551634.2, XP_004932336.1
OG0000109	XP_031828710.1, XP_031828711.1, XP_031828714.1, XP_031828715.1, XP_031828712.1, XP_031828713.1, XP_031828722.1, XP_031828723.1, XP_031828724.1, XP_031828718.1, XP_031828720.1, XP_031828721.1, XP_031828719.1, XP_031828716.1	XP_021205885.1
OG0000110	XP_031837099.1, XP_031848100.1, XP_031848102.1	XP_037872696.1, XP_037872695.1, XP_037872710.1, XP_037872709.1
OG0000111	XP_031843589.1, XP_031825716.1	XP_037868928.1, XP_037868924.1, XP_004922902.1, XP_004931121.1
OG0000111	XP_031842672.1	XP_004927517.1
OG0000112	XP_031831414.1	NP_001240824.1, XP_012546717.1
OG0000113	XP_031838147.1, XP_031842250.1	XP_004929660.1, XP_004925443.2, XP_012545237.2
OG0000114	XP_031825659.1	XP_037876113.1, NP_001036844.1
OG0000114	XP_031825640.1	XP_037876437.1
OG0000115	XP_031842331.1, XP_031842255.1	NP_001037077.1, XP_012544300.1, NP_001036994.1
OG0000117	XP_031840830.1	NP_001040298.1
OG0000117	XP_031841113.1, XP_031841103.1, XP_031841094.1, XP_031841084.1, XP_031841121.1, XP_031841052.1, XP_031841129.1, XP_031841059.1, XP_031841076.1, XP_031841068.1, XP_031841042.1	NP_001233214.1, XP_012552766.1
OG0000119	XP_031848621.1, XP_031848628.1, XP_031848630.1, XP_031848631.1	XP_037869697.1
OG0000120	XP_031837143.1, XP_031837140.1, XP_031837139.1, XP_031837144.1, XP_031837141.1, XP_031837145.1, XP_031837146.1, XP_031837147.1, XP_031837148.1, XP_031837149.1	XP_021207126.2
OG0000122	XP_031839754.1, XP_031839755.1, XP_031839753.1, XP_031839752.1, XP_031839750.1, XP_031839749.1	XP_037871005.1
OG0000122	XP_031833934.1	XP_021202268.1, XP_012544010.1, XP_037868883.1, XP_004924046.1
OG0000123	XP_031829219.1	NP_001037614.1, XP_012548321.1
OG0000124	XP_031838642.1, XP_031838635.1, XP_031838638.1, XP_031838640.1, XP_031838636.1, XP_031838637.1, XP_031838643.1, XP_031838641.1	XP_037871306.1, XP_037871307.1, XP_021208751.2
OG0000125	XP_031839027.1, XP_031839025.1, XP_031838819.1, XP_031838775.1	XP_004926881.1, XP_012546430.1, XP_012547144.2
OG0000126	XP_031846352.1	XP_012549565.1, NP_001037319.1
OG0000127	XP_031849581.1, XP_031849592.1, XP_031846850.1	XP_012551315.1, NP_001037024.1
OG0000129	XP_031848648.1, XP_031848647.1	XP_021203173.1
OG0000130	XP_031826226.1, XP_031826291.1	NP_001108469.1
OG0000130	XP_031826201.1	XP_012548931.3
OG0000131	XP_031828484.1	XP_004931759.1
OG0000131	XP_031840624.1, XP_031840625.1, XP_031840622.1, XP_031840623.1	NP_001091755.1
OG0000132	XP_031829308.1	NP_001164651.1, XP_037870176.1
OG0000132	XP_031845637.1, XP_031845638.1, XP_031845639.1	NP_001164650.1
OG0000133	XP_031836871.1, XP_031836868.1	XP_021207866.1, XP_004932639.1
OG0000134	XP_031836169.1	XP_004924013.1, XP_004924014.1, XP_012544046.1
OG0000134	XP_031832250.1	XP_004923935.1
OG0000135	XP_031837271.1	NP_001108336.1, XP_021202711.1
OG0000135	XP_031839483.1	NP_001166873.1, XP_037875522.1
OG0000135	XP_031849617.1, XP_031849615.1, XP_031849616.1, XP_031849618.1	NP_001108335.1
OG0000136	XP_031828129.1, XP_031828130.1, XP_031827941.1, XP_031829540.1	XP_037876368.1, XP_004927026.1
OG0000137	XP_031838894.1, XP_031830054.1, XP_031830055.1, XP_031830052.1	XP_037868770.1
OG0000138	XP_031839076.1, XP_031839079.1	XP_037868949.1, XP_004925223.3
OG0000139	XP_031836046.1, XP_031836045.1, XP_031836044.1, XP_031836043.1, XP_031836055.1, XP_031836054.1	XP_021208530.2, XP_004922757.1, XP_004922758.1, XP_004927864.1
OG0000141	XP_031837195.1	XP_004931634.1
OG0000143	XP_031839633.1, XP_031839547.1	XP_037870673.1, NP_001040254.1, XP_004927859.1
OG0000144	XP_031829750.1, XP_031829749.1, XP_031829842.1	XP_021207362.2, NP_001243953.1, NP_001037590.1, XP_004931806.2, NP_001106747.2
OG0000145	XP_031837412.1, XP_031838797.1, XP_031838795.1	XP_021209325.1, XP_037876916.1, XP_004923491.1
OG0000146	XP_031825439.1	XP_037871222.1, XP_004922825.1
OG0000146	XP_031838000.1, XP_031837999.1, XP_031838001.1	NP_001106739.1, NP_001106231.1
OG0000147	XP_031846647.1	XP_004933126.1
OG0000149	XP_031844539.1	XP_004924927.1, XP_004924928.1
OG0000150	XP_031826266.1, XP_031826326.1	XP_037869165.1, XP_037869166.1, XP_037869163.1, XP_037869164.1
OG0000151	XP_031850487.1, XP_031850486.1, XP_031850491.1, XP_031850490.1, XP_031850493.1, XP_031850492.1, XP_031850494.1, XP_031850488.1	XP_037867739.1, XP_021208204.1, XP_021208205.1
OG0000152	XP_031830368.1	XP_021205393.1
OG0000153	XP_031837357.1, XP_031837349.1, XP_031837338.1, XP_031837284.1, XP_031837302.1, XP_031837367.1, XP_031837294.1, XP_031837319.1, XP_031837312.1, XP_031837329.1, XP_031837276.1	XP_037871508.1, XP_037871509.1, XP_037871510.1, XP_037871505.1
OG0000154	XP_031838095.1	XP_037873529.1
OG0000156	XP_031828385.1, XP_031828383.1, XP_031828384.1, XP_031828378.1, XP_031828379.1, XP_031828380.1, XP_031828382.1, XP_031828374.1, XP_031828375.1, XP_031828376.1, XP_031828377.1, XP_031828389.1, XP_031828387.1, XP_031828386.1, XP_031828373.1, XP_031828388.1	XP_021206155.2
OG0000157	XP_031827834.1, XP_031827676.1	XP_037869375.1
OG0000158	XP_031833446.1, XP_031833445.1	XP_021204632.1
OG0000160	XP_031835553.1	XP_004925382.2
OG0000160	XP_031840569.1, XP_031840564.1, XP_031840565.1, XP_031840566.1, XP_031840570.1	XP_004925399.2, XP_004925398.1
OG0000161	XP_031840747.1, XP_031840748.1, XP_031840749.1	NP_001182393.1
OG0000162	XP_031844217.1	NP_001103389.1, XP_037868604.1
OG0000162	XP_031846677.1, XP_031846685.1	NP_001103388.1, XP_021203288.2
OG0000164	XP_031838886.1, XP_031838889.1, XP_031838888.1	XP_037875027.1, XP_037872511.1
OG0000165	XP_031845761.1	XP_012547188.1, XP_021204892.1
OG0000165	XP_031849879.1	XP_012551706.2
OG0000166	XP_031834782.1, XP_031834789.1, XP_031834779.1, XP_031834778.1, XP_031834773.1	XP_037868137.1
OG0000168	XP_031840911.1	XP_037866971.1, XP_037876295.1, XP_037867009.1, XP_037872857.1
OG0000168	XP_031842375.1	XP_037873451.1
OG0000169	XP_031828486.1	NP_001243963.1, NP_001243962.1, NP_001243959.1, NP_001243958.1, NP_001243955.1, NP_001243956.1, NP_001243957.1, NP_001243991.1, NP_001135960.1, NP_001040425.1, NP_001243995.1, NP_001243978.1, NP_001127730.1
OG0000170	XP_031847928.1	XP_021202707.2
OG0000170	XP_031847930.1, XP_031847931.1, XP_031847927.1, XP_031847933.1	XP_004924795.2
OG0000171	XP_031825968.1, XP_031826361.1, XP_031826360.1, XP_031826362.1	NP_001296478.1, XP_037876331.1, XP_037876328.1
OG0000173	XP_031842563.1, XP_031842562.1, XP_031842566.1, XP_031842567.1, XP_031842564.1, XP_031842565.1, XP_031842571.1, XP_031842572.1, XP_031842568.1, XP_031842569.1	NP_001093316.1
OG0000174	XP_031832594.1, XP_031832593.1, XP_031832592.1	NP_001040490.1, XP_037874321.1
OG0000175	XP_031837388.1, XP_031837387.1, XP_031837386.1, XP_031837392.1, XP_031837391.1, XP_031837389.1	NP_001040124.1
OG0000176	XP_031839720.1	XP_037868940.1, XP_037870006.1, XP_037876480.1, XP_037869968.1, XP_037867396.1
OG0000177	XP_031850035.1	XP_004931030.1
OG0000177	XP_031849982.1, XP_031849983.1	XP_004931031.2
OG0000177	XP_031849977.1, XP_031849980.1	XP_004930870.1
OG0000178	XP_031843734.1	XP_037871996.1, XP_004924483.2
OG0000179	XP_031846959.1, XP_031846958.1, XP_031846955.1, XP_031846954.1, XP_031846953.1, XP_031846957.1, XP_031846956.1	NP_001040172.1, XP_021206181.1
OG0000179	XP_031842123.1	NP_001037301.1
OG0000180	XP_031829739.1, XP_031829734.1, XP_031829738.1, XP_031829737.1, XP_031829736.1, XP_031829735.1	XP_004930542.1
OG0000181	XP_031850222.1, XP_031850221.1, XP_031850223.1, XP_031850218.1, XP_031850220.1	NP_001037380.1, XP_037871534.1
OG0000182	XP_031841728.1	XP_037866789.1
OG0000183	XP_031828691.1, XP_031828693.1, XP_031828695.1, XP_031828694.1, XP_031828690.1	XP_004930975.1
OG0000184	XP_031846910.1	XP_004932760.3
OG0000187	XP_031844556.1, XP_031844565.1, XP_031844499.1, XP_031844479.1, XP_031844458.1, XP_031844469.1, XP_031844528.1, XP_031844537.1, XP_031844547.1, XP_031844448.1, XP_031844518.1, XP_031844439.1, XP_031844509.1, XP_031844574.1, XP_031844582.1, XP_031844489.1	XP_004929301.1
OG0000188	XP_031834431.1	NP_001037050.1
OG0000189	XP_031837615.1	XP_037875292.1, XP_037875291.1
OG0000190	XP_031829381.1, XP_031829385.1, XP_031829383.1, XP_031829384.1, XP_031829386.1	XP_004931167.1
OG0000191	XP_031843261.1	XP_037872497.1, XP_037875388.1, XP_021208965.1, XP_021208964.2
OG0000192	XP_031847208.1	XP_021207317.1
OG0000195	XP_031825355.1, XP_031828216.1, XP_031826783.1	NP_001037076.1, NP_001124371.1, NP_001124372.2, NP_001165396.1, XP_004922067.1, XP_004922068.1, NP_001091784.1
OG0000196	XP_031841275.1	XP_012545232.2
OG0000196	XP_031836104.1, XP_031836105.1, XP_031836106.1, XP_031836107.1, XP_031836103.1	XP_004929740.2, XP_021205898.2, XP_004929623.3, XP_021205897.2
OG0000197	XP_031837253.1, XP_031837082.1	XP_012551294.2, XP_004932561.2, XP_037872840.1, XP_004931928.2, XP_004931927.1, XP_037868489.1
OG0000198	XP_031827645.1, XP_031827644.1	XP_037870155.1
OG0000200	XP_031827782.1	XP_012550244.1, NP_001036841.1
OG0000200	XP_031849412.1, XP_031849414.1	NP_001036881.1
OG0000201	XP_031831080.1	XP_004930370.2
OG0000202	XP_031842338.1, XP_031842336.1, XP_031842337.1, XP_031842339.1	NP_001281213.1
OG0000203	XP_031840442.1	XP_004930258.2, XP_037876006.1
OG0000203	XP_031831628.1, XP_031831625.1, XP_031831627.1, XP_031831626.1	XP_037867417.1
OG0000204	XP_031827654.1, XP_031827655.1, XP_031827656.1, XP_031827653.1	XP_012547643.2, XP_037873174.1, XP_021205107.1, XP_004928344.1, XP_012547605.1, XP_004928345.1, XP_037873267.1
OG0000205	XP_031844495.1, XP_031844500.1, XP_031844501.1	NP_001243944.1
OG0000206	XP_031826752.1	XP_004924015.1
OG0000206	XP_031826808.1, XP_031826811.1, XP_031826810.1, XP_031826809.1	XP_004922930.2
OG0000207	XP_031850268.1	NP_001037594.1
OG0000207	XP_031841289.1, XP_031841290.1	NP_001091793.1, XP_004930513.3
OG0000208	XP_031841274.1	XP_037869032.1, NP_001103395.1
OG0000209	XP_031835069.1, XP_031835073.1, XP_031835072.1, XP_031835071.1, XP_031835076.1, XP_031835075.1, XP_031835074.1	XP_037869646.1, XP_004932917.2, XP_037869645.1, XP_012551601.2, XP_012551602.2, XP_012551603.2
OG0000210	XP_031838858.1, XP_031847872.1	XP_012544085.3
OG0000210	XP_031833724.1	XP_037866888.1, XP_037866887.1
OG0000212	XP_031834616.1, XP_031829597.1, XP_031829541.1	XP_037869182.1, NP_001106228.1
OG0000213	XP_031829822.1, XP_031829824.1, XP_031829823.1	XP_004922013.1
OG0000214	XP_031832084.1	NP_001040475.1
OG0000214	XP_031850423.1, XP_031850412.1, XP_031850402.1, XP_031850430.1, XP_031850440.1, XP_031850450.1	NP_001040198.1, XP_037870587.1
OG0000215	XP_031842767.1, XP_031842763.1, XP_031842762.1, XP_031842761.1, XP_031842768.1, XP_031842764.1, XP_031842770.1	XP_037866848.1, XP_004930044.1
OG0000216	XP_031833974.1	NP_001108343.1
OG0000217	XP_031838827.1	XP_021203021.2, XP_012548700.2, XP_004933855.2, XP_037870903.1
OG0000218	XP_031843157.1, XP_031843154.1, XP_031843156.1, XP_031843159.1, XP_031843158.1, XP_031843153.1, XP_031843152.1, XP_031843150.1, XP_031843149.1, XP_031843148.1, XP_031843151.1, XP_031843147.1, XP_031843160.1	XP_004930688.1
OG0000219	XP_031844648.1, XP_031844645.1, XP_031844649.1, XP_031844644.1, XP_031844646.1	XP_004931785.1
OG0000221	XP_031847181.1, XP_031847176.1, XP_031847173.1, XP_031847174.1, XP_031847177.1, XP_031847178.1, XP_031847170.1, XP_031847180.1, XP_031847179.1, XP_031847182.1, XP_031847172.1, XP_031847171.1	XP_037867521.1, XP_021207573.1, XP_021207493.1, XP_004922691.2, XP_012551723.1, XP_012551720.1, XP_004922638.1, XP_037871234.1, XP_037877580.1, XP_037872846.1, XP_037877505.1, XP_037872849.1, XP_037872848.1, XP_037877503.1, XP_037877504.1, XP_037877506.1, XP_037877501.1, XP_037877502.1, XP_037872850.1, XP_037877579.1, XP_037877510.1, XP_037877561.1, XP_037877562.1
OG0000223	XP_031843281.1	NP_001037450.1, NP_001128672.1, XP_012550372.1, NP_001036840.1
OG0000225	XP_031845382.1, XP_031845330.1, XP_031845328.1, XP_031845327.1	NP_001040252.1
OG0000226	XP_031845835.1, XP_031845830.1	NP_001127711.1, XP_021204237.1
OG0000226	XP_031845816.1	XP_037873831.1, NP_001127712.1
OG0000227	XP_031841465.1, XP_031841460.1, XP_031841461.1, XP_031841463.1, XP_031841462.1, XP_031841466.1	XP_012550182.2, XP_004931163.3, XP_012550180.2
