Orthogroup	Nomia_melanderi	Osmia_bicornis
OG0000005	XP_031850389.1	XP_029055018.1
OG0000006	XP_031827661.1	XP_029036167.1
OG0000006	XP_031847963.1, XP_031847958.1, XP_031847960.1	XP_029033655.1
OG0000008	XP_031838197.1	XP_029037761.1
OG0000008	XP_031838199.1, XP_031838198.1	XP_029037752.1, XP_029037753.1
OG0000008	XP_031845812.1	XP_029041248.1
OG0000008	XP_031838213.1	XP_029037757.1
OG0000008	XP_031838205.1	XP_029037755.1
OG0000008	XP_031838211.1	XP_029037762.1
OG0000009	XP_031837183.1	XP_029039353.1
OG0000009	XP_031839007.1	XP_029050383.1
OG0000009	XP_031837097.1	XP_029039416.1
OG0000009	XP_031848703.1, XP_031848282.1, XP_031847205.1, XP_031848281.1, XP_031848280.1, XP_031837098.1, XP_031848136.1, XP_031842170.1	XP_029039350.1, XP_029039348.1, XP_029039349.1
OG0000010	XP_031836981.1, XP_031831047.1, XP_031848973.1, XP_031848770.1, XP_031848469.1, XP_031848731.1	XP_029054044.1, XP_029054342.1, XP_029053689.1, XP_029053833.1, XP_029054571.1, XP_029055204.1, XP_029055000.1, XP_029054706.1, XP_029054282.1, XP_029054238.1
OG0000010	XP_031848783.1	XP_029054090.1
OG0000011	XP_031844818.1, XP_031849057.1	XP_029039510.1, XP_029039509.1, XP_029039508.1
OG0000011	XP_031844760.1, XP_031848956.1, XP_031844740.1	XP_029039474.1, XP_029039507.1
OG0000011	XP_031849056.1	XP_029053128.1, XP_029053127.1, XP_029052576.1, XP_029054131.1, XP_029054129.1, XP_029052577.1, XP_029053130.1, XP_029053132.1, XP_029053134.1, XP_029052579.1, XP_029053590.1, XP_029053754.1, XP_029053755.1, XP_029053123.1, XP_029054135.1, XP_029053126.1, XP_029053131.1, XP_029054368.1, XP_029054370.1, XP_029052586.1, XP_029054369.1
OG0000012	XP_031845723.1	XP_029044618.1
OG0000012	XP_031836558.1	XP_029040151.1
OG0000012	XP_031836778.1	XP_029040169.1
OG0000012	XP_031842887.1	XP_029036967.1
OG0000013	XP_031839304.1	XP_029053452.1, XP_029054967.1, XP_029053453.1
OG0000013	XP_031829654.1	XP_029037650.1
OG0000013	XP_031829653.1	XP_029037649.1
OG0000014	XP_031839329.1	XP_029035522.1, XP_029053444.1, XP_029055146.1, XP_029053956.1, XP_029054088.1, XP_029051685.1
OG0000014	XP_031848785.1, XP_031848784.1, XP_031839374.1, XP_031839487.1	XP_029051987.1
OG0000014	XP_031848839.1, XP_031848838.1, XP_031848831.1	XP_029054658.1
OG0000017	XP_031840004.1, XP_031840003.1, XP_031840002.1, XP_031840001.1	XP_029036237.1
OG0000017	XP_031829474.1	XP_029039562.1
OG0000017	XP_031829453.1	XP_029039555.1
OG0000017	XP_031829454.1	XP_029039565.1, XP_029039563.1, XP_029039564.1
OG0000018	XP_031838689.1, XP_031838690.1, XP_031838691.1, XP_031838692.1	XP_029048068.1, XP_029048069.1, XP_029048067.1
OG0000018	XP_031835584.1	XP_029049739.1, XP_029049738.1, XP_029049740.1
OG0000018	XP_031835583.1	XP_029049735.1
OG0000018	XP_031847312.1	XP_029036695.1
OG0000019	XP_031838473.1, XP_031838474.1, XP_031838475.1	XP_029052871.1, XP_029052872.1
OG0000019	XP_031830114.1	XP_029052293.1
OG0000019	XP_031838060.1	XP_029033414.1
OG0000020	XP_031839751.1	XP_029050516.1
OG0000020	XP_031837838.1	XP_029043034.1
OG0000020	XP_031828635.1	XP_029055041.1
OG0000020	XP_031847183.1	XP_029042549.1
OG0000020	XP_031830731.1	XP_029051090.1
OG0000020	XP_031837242.1, XP_031837243.1	XP_029032757.1
OG0000021	XP_031837236.1	XP_029039360.1, XP_029039361.1, XP_029039362.1
OG0000021	XP_031838575.1	XP_029046571.1
OG0000021	XP_031830175.1	XP_029049609.1
OG0000021	XP_031846403.1	XP_029041225.1
OG0000022	XP_031833191.1	XP_029035866.1
OG0000023	XP_031839375.1	XP_029051698.1, XP_029053456.1, XP_029054574.1, XP_029054086.1, XP_029053954.1, XP_029055089.1, XP_029053953.1, XP_029051696.1, XP_029051697.1, XP_029053457.1
OG0000024	XP_031849116.1, XP_031849133.1, XP_031849117.1	XP_029051585.1, XP_029051584.1, XP_029051583.1
OG0000024	XP_031825693.1, XP_031825694.1	XP_029045871.1
OG0000024	XP_031825741.1	XP_029045870.1
OG0000025	XP_031834418.1	XP_029052233.1, XP_029054180.1
OG0000026	XP_031843508.1	XP_029039364.1
OG0000026	XP_031828159.1	XP_029035302.1
OG0000026	XP_031839037.1	XP_029032070.1, XP_029039545.1
OG0000027	XP_031849044.1	XP_029035641.1, XP_029053960.1
OG0000027	XP_031839376.1	XP_029053959.1, XP_029053445.1, XP_029035639.1
OG0000028	XP_031848885.1	XP_029054361.1
OG0000028	XP_031836770.1	XP_029054960.1, XP_029054456.1, XP_029053834.1
OG0000028	XP_031836775.1	XP_029054284.1, XP_029053972.1
OG0000029	XP_031829744.1, XP_031829801.1	XP_029041149.1
OG0000029	XP_031827213.1, XP_031827214.1, XP_031827215.1	XP_029049864.1, XP_029049863.1
OG0000029	XP_031829841.1	XP_029041266.1
OG0000030	XP_031839105.1, XP_031839104.1	XP_029038012.1
OG0000030	XP_031848732.1, XP_031827412.1	XP_029049282.1
OG0000031	XP_031829397.1, XP_031829398.1, XP_031829399.1	XP_029039306.1, XP_029039307.1, XP_029039305.1, XP_029039303.1, XP_029039304.1, XP_029053776.1, XP_029053777.1, XP_029053775.1, XP_029053774.1, XP_029053773.1, XP_029053772.1, XP_029053771.1
OG0000031	XP_031842134.1	XP_029054853.1, XP_029055093.1, XP_029054751.1, XP_029055141.1
OG0000032	XP_031833782.1	XP_029055718.1, XP_029055719.1, XP_029055717.1
OG0000032	XP_031831095.1	XP_029050538.1
OG0000035	XP_031842253.1, XP_031842459.1	XP_029032235.1
OG0000036	XP_031844859.1	XP_029047761.1
OG0000036	XP_031844820.1, XP_031844747.1	XP_029047765.1
OG0000036	XP_031844815.1	XP_029047764.1
OG0000036	XP_031849986.1	XP_029043016.1
OG0000036	XP_031850071.1	XP_029043017.1
OG0000037	XP_031838355.1	XP_029047042.1
OG0000038	XP_031848143.1	XP_029041947.1, XP_029050411.1
OG0000038	XP_031833332.1	XP_029032964.1
OG0000038	XP_031825712.1	XP_029039496.1
OG0000038	XP_031847407.1	XP_029036717.1, XP_029036716.1
OG0000038	XP_031844860.1	XP_029034840.1
OG0000038	XP_031842989.1, XP_031842986.1	XP_029045842.1, XP_029045843.1, XP_029045841.1
OG0000040	XP_031847213.1	XP_029055961.1, XP_029055960.1, XP_029055959.1
OG0000041	XP_031836959.1, XP_031836960.1	XP_029032654.1, XP_029032653.1
OG0000041	XP_031828119.1, XP_031828107.1	XP_029038901.1, XP_029038899.1
OG0000042	XP_031842358.1	XP_029048713.1
OG0000043	XP_031842101.1	XP_029038126.1
OG0000043	XP_031831863.1, XP_031831864.1	XP_029042859.1
OG0000043	XP_031831862.1	XP_029042860.1
OG0000043	XP_031828007.1	XP_029032665.1
OG0000044	XP_031831328.1	XP_029033389.1, XP_029033390.1
OG0000044	XP_031848718.1, XP_031848716.1, XP_031848717.1	XP_029033272.1, XP_029033270.1, XP_029033271.1
OG0000045	XP_031836513.1	XP_029050902.1, XP_029050927.1, XP_029050914.1
OG0000045	XP_031839078.1	XP_029043746.1
OG0000046	XP_031849512.1	XP_029046126.1
OG0000046	XP_031844716.1	XP_029054140.1
OG0000046	XP_031825836.1	XP_029049335.1
OG0000046	XP_031827836.1	XP_029049438.1, XP_029049436.1, XP_029049437.1
OG0000048	XP_031844144.1	XP_029038664.1
OG0000050	XP_031826510.1, XP_031826305.1, XP_031826306.1	XP_029047238.1
OG0000052	XP_031831624.1, XP_031831623.1	XP_029053695.1
OG0000053	XP_031836323.1	XP_029055282.1, XP_029054610.1
OG0000053	XP_031848020.1	XP_029054836.1, XP_029054892.1, XP_029054993.1
OG0000054	XP_031843412.1	XP_029050144.1
OG0000054	XP_031843397.1	XP_029050156.1
OG0000054	XP_031843398.1	XP_029050150.1
OG0000055	XP_031825307.1	XP_029033370.1, XP_029033371.1
OG0000055	XP_031844409.1	XP_029035680.1
OG0000055	XP_031846127.1	XP_029033281.1, XP_029033290.1, XP_029033297.1
OG0000055	XP_031827062.1	XP_029033206.1
OG0000056	XP_031840201.1	XP_029043848.1, XP_029043447.1
OG0000056	XP_031846527.1	XP_029041052.1
OG0000056	XP_031838897.1	XP_029050404.1
OG0000056	XP_031831701.1	XP_029048153.1
OG0000056	XP_031835578.1	XP_029044167.1
OG0000057	XP_031845337.1	XP_029035838.1
OG0000057	XP_031832931.1	XP_029041778.1
OG0000057	XP_031845460.1	XP_029035983.1
OG0000057	XP_031845459.1	XP_029035967.1
OG0000057	XP_031845030.1	XP_029035984.1
OG0000058	XP_031838282.1	XP_029038287.1
OG0000058	XP_031838462.1, XP_031838489.1, XP_031838503.1, XP_031838476.1	XP_029038274.1, XP_029038900.1, XP_029038888.1, XP_029038873.1, XP_029038863.1
OG0000060	XP_031827529.1, XP_031827528.1	XP_029056239.1, XP_029056240.1
OG0000060	XP_031827527.1	XP_029040322.1, XP_029040321.1, XP_029040320.1, XP_029040318.1, XP_029040317.1
OG0000061	XP_031839331.1	XP_029042514.1
OG0000061	XP_031838029.1, XP_031840063.1	XP_029037437.1
OG0000062	XP_031836310.1	XP_029054767.1
OG0000062	XP_031836308.1	XP_029054389.1
OG0000062	XP_031836306.1	XP_029054437.1
OG0000062	XP_031836307.1	XP_029054447.1
OG0000062	XP_031836020.1	XP_029054763.1
OG0000065	XP_031830877.1	XP_029047719.1
OG0000066	XP_031830448.1, XP_031826346.1	XP_029053476.1
OG0000067	XP_031834066.1	XP_029053164.1
OG0000067	XP_031838504.1	XP_029042775.1
OG0000067	XP_031837354.1	XP_029032763.1
OG0000067	XP_031845953.1	XP_029039161.1
OG0000069	XP_031829088.1, XP_031829087.1	XP_029035424.1, XP_029035422.1
OG0000069	XP_031829094.1	XP_029035425.1, XP_029035429.1
OG0000070	XP_031841704.1, XP_031841650.1, XP_031841664.1, XP_031841675.1, XP_031841808.1, XP_031843606.1	XP_029038560.1, XP_029038569.1
OG0000070	XP_031841689.1	XP_029038581.1
OG0000073	XP_031842058.1, XP_031837430.1	XP_029051176.1, XP_029051151.1
OG0000074	XP_031849072.1	XP_029038270.1
OG0000075	XP_031826514.1	XP_029044179.1, XP_029044180.1
OG0000076	XP_031848811.1	XP_029054673.1, XP_029054785.1, XP_029054773.1, XP_029054062.1
OG0000076	XP_031842248.1	XP_029053971.1
OG0000077	XP_031841494.1, XP_031841485.1	XP_029041461.1
OG0000077	XP_031831897.1	XP_029051620.1
OG0000078	XP_031834906.1, XP_031834907.1	XP_029038384.1
OG0000078	XP_031840328.1	XP_029038253.1
OG0000079	XP_031846019.1	XP_029035221.1
OG0000080	XP_031827008.1, XP_031827009.1, XP_031827010.1, XP_031827011.1, XP_031827012.1, XP_031827013.1, XP_031827007.1	XP_029048618.1, XP_029048619.1
OG0000080	XP_031826836.1, XP_031826837.1	XP_029048621.1, XP_029048620.1
OG0000080	XP_031827281.1, XP_031827282.1, XP_031827283.1, XP_031827284.1	XP_029048655.1
OG0000081	XP_031847372.1	XP_029040920.1
OG0000081	XP_031847521.1, XP_031847370.1, XP_031847371.1, XP_031847522.1	XP_029040924.1, XP_029040923.1, XP_029040922.1, XP_029040928.1, XP_029040927.1, XP_029040929.1, XP_029040930.1, XP_029040871.1
OG0000082	XP_031829547.1	XP_029037393.1
OG0000082	XP_031829549.1	XP_029037394.1
OG0000082	XP_031829550.1	XP_029037395.1
OG0000084	XP_031839513.1	XP_029034284.1
OG0000084	XP_031839514.1	XP_029034285.1
OG0000084	XP_031839516.1	XP_029034302.1
OG0000084	XP_031839314.1	XP_029039752.1
OG0000085	XP_031843333.1	XP_029036566.1, XP_029036567.1
OG0000085	XP_031826359.1, XP_031826358.1, XP_031826356.1	XP_029036300.1, XP_029036301.1
OG0000086	XP_031842854.1	XP_029036714.1
OG0000087	XP_031843075.1	XP_029056468.1
OG0000087	XP_031843076.1	XP_029056467.1
OG0000087	XP_031843049.1	XP_029056466.1
OG0000088	XP_031830799.1	XP_029051133.1
OG0000089	XP_031841904.1, XP_031841905.1, XP_031841906.1	XP_029053161.1, XP_029053163.1, XP_029053162.1
OG0000089	XP_031839041.1	XP_029051588.1
OG0000090	XP_031841174.1, XP_031848787.1, XP_031843838.1, XP_031838604.1, XP_031848702.1, XP_031828601.1, XP_031836614.1, XP_031847656.1, XP_031842050.1, XP_031836582.1, XP_031827996.1, XP_031848752.1	XP_029055220.1
OG0000091	XP_031846471.1, XP_031846477.1, XP_031846470.1	XP_029041126.1, XP_029041124.1
OG0000092	XP_031832478.1	XP_029048799.1
OG0000092	XP_031836523.1	XP_029041975.1, XP_029041991.1
OG0000092	XP_031836568.1	XP_029043422.1, XP_029044965.1, XP_029044957.1
OG0000092	XP_031827660.1	XP_029036169.1
OG0000094	XP_031847199.1, XP_031847200.1	XP_029033929.1
OG0000094	XP_031827484.1	XP_029034646.1, XP_029034647.1
OG0000094	XP_031826729.1, XP_031826728.1	XP_029050994.1
OG0000095	XP_031850007.1, XP_031850009.1, XP_031850008.1	XP_029035463.1
OG0000096	XP_031832678.1	XP_029039146.1
OG0000096	XP_031843327.1	XP_029053037.1
OG0000097	XP_031827452.1, XP_031827442.1, XP_031827429.1, XP_031827419.1, XP_031827413.1	XP_029033159.1, XP_029033157.1, XP_029033158.1
OG0000097	XP_031831172.1, XP_031831171.1, XP_031831170.1	XP_029042191.1, XP_029042190.1
OG0000098	XP_031830538.1, XP_031830536.1, XP_031830540.1, XP_031830537.1	XP_029040058.1, XP_029040062.1, XP_029040061.1, XP_029040060.1, XP_029040057.1
OG0000099	XP_031844823.1, XP_031844824.1, XP_031844822.1	XP_029034823.1
OG0000099	XP_031825801.1, XP_031825802.1	XP_029034765.1
OG0000099	XP_031843262.1	XP_029045960.1
OG0000100	XP_031841397.1, XP_031841398.1, XP_031841396.1, XP_031841400.1, XP_031841409.1, XP_031841408.1, XP_031841399.1, XP_031841403.1, XP_031841402.1, XP_031841407.1, XP_031841406.1, XP_031841405.1, XP_031841404.1, XP_031841395.1	XP_029038954.1, XP_029038955.1, XP_029038950.1, XP_029038951.1, XP_029038952.1, XP_029038953.1
OG0000101	XP_031848007.1	XP_029038150.1
OG0000101	XP_031848006.1	XP_029038151.1
OG0000102	XP_031830192.1	XP_029052948.1
OG0000103	XP_031830730.1	XP_029044547.1
OG0000103	XP_031830618.1	XP_029044558.1, XP_029044556.1
OG0000103	XP_031830446.1	XP_029034468.1, XP_029034469.1, XP_029034466.1, XP_029034467.1
OG0000106	XP_031841956.1	XP_029044943.1
OG0000106	XP_031838896.1	XP_029048081.1, XP_029048075.1, XP_029048076.1, XP_029048085.1, XP_029048080.1, XP_029048078.1, XP_029048084.1
OG0000107	XP_031849421.1, XP_031849424.1	XP_029051339.1
OG0000108	XP_031836809.1	XP_029040200.1, XP_029040201.1
OG0000109	XP_031828710.1, XP_031828711.1, XP_031828714.1, XP_031828715.1, XP_031828712.1, XP_031828713.1, XP_031828722.1, XP_031828723.1, XP_031828724.1, XP_031828718.1, XP_031828720.1, XP_031828721.1, XP_031828719.1, XP_031828716.1	XP_029050471.1, XP_029050469.1, XP_029050473.1, XP_029050472.1
OG0000110	XP_031837099.1	XP_029038421.1, XP_029038418.1, XP_029038419.1
OG0000110	XP_031848100.1, XP_031848102.1	XP_029043468.1
OG0000111	XP_031843589.1	XP_029036880.1
OG0000111	XP_031825716.1	XP_029044472.1, XP_029044473.1, XP_029044439.1, XP_029044436.1, XP_029044435.1, XP_029044432.1, XP_029044433.1, XP_029044430.1
OG0000111	XP_031842672.1	XP_029047148.1
OG0000112	XP_031849209.1, XP_031849210.1, XP_031849208.1, XP_031849207.1	XP_029046532.1, XP_029046533.1
OG0000112	XP_031831414.1	XP_029048168.1
OG0000113	XP_031838147.1	XP_029037699.1
OG0000113	XP_031842250.1	XP_029048517.1
OG0000114	XP_031825659.1	XP_029044505.1, XP_029050777.1, XP_029050778.1
OG0000114	XP_031825640.1	XP_029036590.1
OG0000115	XP_031842255.1	XP_029048286.1
OG0000116	XP_031837852.1, XP_031837855.1, XP_031837856.1, XP_031837853.1, XP_031837854.1, XP_031837857.1, XP_031837858.1	XP_029036993.1, XP_029036999.1
OG0000116	XP_031837730.1	XP_029037819.1, XP_029037828.1
OG0000117	XP_031840830.1	XP_029050106.1
OG0000117	XP_031841113.1, XP_031841103.1, XP_031841094.1, XP_031841084.1, XP_031841121.1, XP_031841052.1, XP_031841129.1, XP_031841059.1, XP_031841076.1, XP_031841068.1, XP_031841042.1	XP_029053280.1, XP_029053279.1, XP_029053278.1, XP_029053281.1
OG0000119	XP_031848621.1, XP_031848628.1, XP_031848630.1, XP_031848631.1	XP_029036750.1, XP_029036919.1, XP_029036815.1, XP_029036844.1
OG0000120	XP_031837143.1, XP_031837140.1, XP_031837139.1, XP_031837144.1, XP_031837141.1, XP_031837145.1, XP_031837146.1, XP_031837147.1, XP_031837148.1, XP_031837149.1	XP_029038490.1, XP_029038486.1, XP_029038485.1, XP_029038483.1, XP_029038484.1, XP_029038488.1, XP_029038489.1
OG0000122	XP_031848880.1	XP_029051575.1
OG0000122	XP_031839754.1, XP_031839755.1, XP_031839753.1, XP_031839752.1, XP_031839750.1, XP_031839749.1	XP_029054705.1
OG0000123	XP_031829219.1	XP_029043158.1, XP_029043156.1, XP_029043157.1, XP_029043153.1, XP_029043155.1, XP_029043150.1, XP_029043149.1, XP_029043151.1, XP_029043152.1, XP_029043147.1, XP_029043148.1
OG0000124	XP_031838642.1, XP_031838635.1, XP_031838638.1, XP_031838640.1, XP_031838636.1, XP_031838637.1, XP_031838643.1, XP_031838641.1	XP_029037788.1, XP_029036850.1, XP_029037019.1, XP_029036756.1, XP_029037535.1, XP_029037363.1, XP_029037873.1, XP_029037101.1, XP_029037448.1, XP_029037702.1, XP_029036672.1, XP_029037621.1, XP_029036938.1
OG0000125	XP_031839027.1	XP_029038301.1, XP_029032057.1, XP_029036162.1, XP_029037018.1, XP_029032043.1, XP_029035307.1, XP_029032032.1, XP_029032023.1
OG0000126	XP_031846352.1	XP_029049817.1, XP_029049833.1, XP_029049843.1, XP_029049826.1, XP_029049807.1, XP_029049849.1
OG0000129	XP_031848648.1, XP_031848647.1	XP_029038381.1, XP_029038382.1, XP_029038380.1, XP_029038379.1, XP_029038378.1, XP_029038377.1, XP_029038376.1, XP_029038375.1
OG0000130	XP_031826226.1	XP_029040004.1
OG0000130	XP_031826291.1	XP_029040144.1, XP_029040135.1, XP_029040130.1
OG0000130	XP_031826201.1	XP_029040646.1
OG0000131	XP_031828484.1	XP_029035464.1
OG0000131	XP_031840624.1, XP_031840625.1, XP_031840622.1, XP_031840623.1	XP_029032564.1, XP_029032565.1, XP_029032563.1
OG0000132	XP_031829308.1	XP_029042885.1, XP_029042884.1
OG0000132	XP_031845637.1, XP_031845638.1, XP_031845639.1	XP_029046706.1, XP_029046715.1
OG0000133	XP_031836871.1, XP_031836868.1	XP_029032942.1, XP_029032943.1, XP_029032944.1
OG0000133	XP_031827303.1	XP_029035782.1
OG0000135	XP_031837271.1	XP_029032688.1
OG0000135	XP_031839483.1	XP_029052001.1
OG0000135	XP_031849617.1, XP_031849615.1, XP_031849616.1, XP_031849618.1	XP_029033778.1
OG0000136	XP_031828129.1	XP_029051548.1
OG0000136	XP_031828130.1, XP_031827941.1, XP_031829540.1	XP_029051623.1
OG0000137	XP_031838894.1	XP_029048064.1
OG0000137	XP_031830054.1, XP_031830055.1, XP_031830052.1	XP_029046790.1, XP_029046789.1, XP_029046791.1, XP_029046788.1
OG0000138	XP_031839076.1	XP_029043735.1, XP_029043737.1, XP_029043736.1, XP_029043739.1, XP_029043738.1, XP_029043741.1, XP_029043740.1
OG0000138	XP_031839079.1	XP_029043742.1
OG0000139	XP_031836055.1, XP_031836054.1	XP_029050502.1
OG0000141	XP_031837195.1	XP_029038466.1, XP_029038465.1
OG0000141	XP_031839814.1	XP_029036213.1, XP_029036212.1
OG0000142	XP_031844401.1	XP_029044489.1, XP_029044511.1
OG0000142	XP_031844400.1, XP_031844389.1	XP_029053705.1, XP_029044543.1, XP_029054183.1, XP_029044512.1
OG0000143	XP_031839633.1	XP_029041592.1, XP_029041591.1, XP_029041594.1
OG0000143	XP_031839547.1	XP_029041621.1, XP_029041620.1, XP_029041624.1, XP_029041623.1, XP_029041622.1
OG0000144	XP_031829842.1	XP_029035145.1
OG0000145	XP_031837412.1	XP_029047376.1, XP_029047377.1
OG0000145	XP_031838797.1, XP_031838795.1	XP_029043895.1, XP_029045165.1
OG0000146	XP_031825439.1	XP_029045164.1, XP_029045163.1
OG0000146	XP_031838000.1, XP_031837999.1, XP_031838001.1	XP_029038795.1, XP_029038794.1
OG0000147	XP_031846647.1	XP_029048716.1, XP_029048715.1, XP_029048711.1, XP_029048710.1, XP_029048714.1, XP_029048709.1, XP_029048708.1, XP_029048717.1
OG0000149	XP_031844539.1	XP_029047230.1, XP_029047231.1, XP_029047232.1
OG0000150	XP_031826266.1, XP_031826326.1	XP_029041950.1
OG0000151	XP_031850487.1, XP_031850486.1, XP_031850491.1, XP_031850490.1, XP_031850493.1, XP_031850492.1, XP_031850494.1, XP_031850488.1	XP_029031892.1, XP_029031893.1, XP_029031895.1, XP_029031894.1, XP_029031896.1
OG0000152	XP_031830368.1	XP_029047059.1
OG0000153	XP_031837357.1, XP_031837349.1, XP_031837338.1, XP_031837284.1, XP_031837302.1, XP_031837367.1, XP_031837294.1, XP_031837319.1, XP_031837312.1, XP_031837329.1, XP_031837276.1	XP_029039104.1, XP_029039105.1, XP_029039106.1, XP_029039101.1, XP_029039103.1
OG0000154	XP_031838095.1	XP_029038796.1
OG0000156	XP_031828385.1, XP_031828383.1, XP_031828384.1, XP_031828378.1, XP_031828379.1, XP_031828380.1, XP_031828382.1, XP_031828374.1, XP_031828375.1, XP_031828376.1, XP_031828377.1, XP_031828389.1, XP_031828387.1, XP_031828386.1, XP_031828373.1, XP_031828388.1	XP_029035328.1
OG0000157	XP_031827834.1	XP_029051283.1
OG0000157	XP_031827676.1	XP_029051281.1
OG0000158	XP_031833445.1	XP_029046478.1, XP_029046471.1, XP_029046469.1, XP_029046468.1, XP_029042113.1
OG0000160	XP_031835553.1	XP_029042735.1
OG0000160	XP_031840569.1, XP_031840564.1, XP_031840565.1, XP_031840566.1, XP_031840570.1	XP_029032546.1
OG0000161	XP_031840747.1, XP_031840748.1	XP_029049654.1, XP_029049653.1
OG0000162	XP_031844217.1	XP_029035080.1
OG0000162	XP_031846677.1, XP_031846685.1	XP_029037503.1
OG0000164	XP_031838886.1	XP_029053418.1, XP_029053381.1
OG0000164	XP_031838889.1	XP_029053299.1
OG0000164	XP_031838888.1	XP_029053407.1
OG0000165	XP_031845761.1	XP_029038180.1, XP_029038179.1
OG0000165	XP_031849879.1	XP_029047501.1
OG0000166	XP_031834782.1, XP_031834789.1, XP_031834779.1, XP_031834778.1, XP_031834773.1	XP_029043654.1, XP_029043635.1, XP_029043629.1
OG0000168	XP_031840911.1	XP_029052804.1
OG0000169	XP_031828486.1	XP_029040131.1
OG0000169	XP_031836796.1, XP_031836630.1, XP_031836795.1, XP_031848872.1	XP_029040198.1
OG0000170	XP_031847930.1	XP_029033623.1
OG0000170	XP_031847927.1	XP_029033620.1, XP_029033633.1
OG0000170	XP_031847933.1	XP_029033625.1
OG0000171	XP_031825968.1	XP_029047309.1
OG0000171	XP_031826361.1, XP_031826360.1, XP_031826362.1	XP_029047311.1
OG0000172	XP_031826024.1, XP_031826014.1, XP_031826006.1, XP_031825998.1, XP_031825989.1, XP_031825979.1	XP_029040332.1, XP_029040337.1, XP_029040338.1, XP_029040333.1, XP_029040334.1, XP_029040335.1, XP_029040336.1
OG0000173	XP_031842563.1, XP_031842562.1, XP_031842566.1, XP_031842567.1, XP_031842564.1, XP_031842565.1, XP_031842571.1, XP_031842572.1, XP_031842568.1, XP_031842569.1	XP_029045882.1, XP_029045886.1, XP_029045884.1, XP_029045883.1, XP_029045881.1, XP_029045880.1
OG0000174	XP_031832594.1, XP_031832593.1, XP_031832592.1	XP_029038443.1, XP_029038444.1, XP_029038447.1, XP_029038446.1, XP_029038448.1
OG0000175	XP_031837388.1, XP_031837387.1, XP_031837386.1, XP_031837392.1, XP_031837391.1, XP_031837389.1	XP_029032769.1, XP_029032767.1, XP_029032768.1
OG0000176	XP_031839720.1	XP_029041606.1
OG0000177	XP_031850035.1	XP_029035382.1, XP_029035383.1
OG0000177	XP_031849977.1, XP_031849980.1	XP_029035380.1
OG0000179	XP_031846959.1, XP_031846958.1, XP_031846955.1, XP_031846954.1, XP_031846953.1, XP_031846957.1, XP_031846956.1	XP_029046643.1
OG0000179	XP_031842123.1	XP_029038918.1
OG0000180	XP_031829739.1, XP_031829734.1, XP_031829738.1, XP_031829737.1, XP_031829736.1, XP_031829735.1	XP_029046844.1, XP_029046842.1, XP_029046843.1
OG0000181	XP_031850222.1, XP_031850221.1, XP_031850223.1, XP_031850218.1, XP_031850220.1	XP_029051355.1, XP_029051353.1, XP_029051352.1, XP_029051351.1, XP_029051350.1, XP_029051349.1, XP_029051354.1, XP_029051348.1
OG0000182	XP_031841728.1	XP_029044796.1, XP_029044797.1, XP_029044799.1, XP_029044800.1, XP_029044801.1, XP_029044793.1, XP_029044794.1, XP_029044795.1
OG0000183	XP_031838925.1	XP_029047940.1
