Orthogroup	Nomia_melanderi	Megalopta_genalis
OG0000050	XP_031826305.1, XP_031826306.1	XP_033332837.1
OG0000052	XP_031831624.1, XP_031831623.1	XP_033323679.1
OG0000053	XP_031848020.1	XP_033339815.1, XP_033323538.1, XP_033323537.1, XP_033323540.1, XP_033335402.1, XP_033331112.1, XP_033339896.1
OG0000054	XP_031843412.1	XP_033321308.1
OG0000054	XP_031843398.1	XP_033321391.1, XP_033321390.1
OG0000055	XP_031825307.1	XP_033327524.1, XP_033327522.1, XP_033327526.1, XP_033327525.1
OG0000055	XP_031844409.1	XP_033330133.1
OG0000055	XP_031827062.1	XP_033323580.1
OG0000056	XP_031840201.1	XP_033329125.1
OG0000056	XP_031838488.1	XP_033343017.1
OG0000056	XP_031846527.1	XP_033329947.1
OG0000056	XP_031838897.1	XP_033321060.1
OG0000056	XP_031831701.1	XP_033332176.1
OG0000056	XP_031835578.1	XP_033342931.1, XP_033342927.1
OG0000057	XP_031845337.1	XP_033338100.1
OG0000057	XP_031832931.1	XP_033330917.1
OG0000057	XP_031845460.1	XP_033338102.1
OG0000057	XP_031845459.1	XP_033338099.1
OG0000057	XP_031845030.1	XP_033338103.1
OG0000058	XP_031838282.1	XP_033339143.1, XP_033339144.1
OG0000058	XP_031838462.1	XP_033339129.1, XP_033339131.1, XP_033339132.1, XP_033339133.1, XP_033339140.1, XP_033328276.1
OG0000058	XP_031838489.1, XP_031838503.1, XP_031838476.1	XP_033339130.1, XP_033339287.1, XP_033339137.1, XP_033339139.1, XP_033339138.1, XP_033339134.1
OG0000060	XP_031827529.1, XP_031827528.1	XP_033325149.1, XP_033325147.1
OG0000060	XP_031827527.1	XP_033326345.1, XP_033326346.1, XP_033326347.1, XP_033326349.1, XP_033326348.1, XP_033326352.1, XP_033326351.1, XP_033326344.1
OG0000061	XP_031839331.1	XP_033328585.1
OG0000061	XP_031838029.1, XP_031840063.1	XP_033333649.1
OG0000062	XP_031836310.1	XP_033339725.1
OG0000062	XP_031836308.1	XP_033323498.1
OG0000062	XP_031836020.1	XP_033339724.1
OG0000065	XP_031830877.1	XP_033320904.1
OG0000066	XP_031830448.1, XP_031826346.1	XP_033339069.1, XP_033339070.1, XP_033322899.1, XP_033336647.1, XP_033325791.1, XP_033330914.1, XP_033331125.1, XP_033335269.1, XP_033339072.1, XP_033339073.1, XP_033339079.1, XP_033339076.1, XP_033339080.1, XP_033322435.1
OG0000067	XP_031834066.1	XP_033333911.1
OG0000067	XP_031838504.1	XP_033335042.1
OG0000067	XP_031837354.1	XP_033335707.1
OG0000067	XP_031845953.1	XP_033336615.1
OG0000069	XP_031829088.1, XP_031829087.1	XP_033334725.1
OG0000069	XP_031829094.1	XP_033334726.1, XP_033334728.1
OG0000070	XP_031841704.1, XP_031841650.1, XP_031841664.1, XP_031841675.1, XP_031841808.1, XP_031843606.1	XP_033333758.1
OG0000070	XP_031841689.1	XP_033333759.1
OG0000070	XP_031839945.1, XP_031848755.1, XP_031848754.1	XP_033333736.1, XP_033333776.1
OG0000074	XP_031849072.1	XP_033343118.1
OG0000077	XP_031841494.1, XP_031841485.1	XP_033333760.1
OG0000077	XP_031831897.1	XP_033332959.1
OG0000078	XP_031840327.1, XP_031840326.1	XP_033337616.1
OG0000078	XP_031834906.1, XP_031834907.1	XP_033342126.1
OG0000078	XP_031840328.1	XP_033337334.1, XP_033337342.1, XP_033337625.1, XP_033337637.1
OG0000078	XP_031840325.1	XP_033337576.1, XP_033337322.1, XP_033337589.1, XP_033337603.1
OG0000079	XP_031846019.1	XP_033333837.1
OG0000080	XP_031827008.1, XP_031827009.1, XP_031827010.1, XP_031827011.1, XP_031827012.1, XP_031827013.1, XP_031827007.1	XP_033326379.1, XP_033326376.1, XP_033326378.1, XP_033326380.1
OG0000080	XP_031826836.1, XP_031826837.1	XP_033335311.1
OG0000080	XP_031827281.1, XP_031827282.1, XP_031827283.1, XP_031827284.1	XP_033326285.1
OG0000081	XP_031847521.1, XP_031847370.1, XP_031847371.1, XP_031847522.1	XP_033339803.1
OG0000082	XP_031829547.1	XP_033336170.1
OG0000082	XP_031829549.1	XP_033336010.1
OG0000082	XP_031829550.1	XP_033336012.1
OG0000084	XP_031839513.1	XP_033339433.1
OG0000084	XP_031839514.1	XP_033339434.1
OG0000084	XP_031839516.1	XP_033339432.1
OG0000084	XP_031839314.1	XP_033337518.1
OG0000085	XP_031843333.1	XP_033339267.1, XP_033339268.1, XP_033339265.1, XP_033339264.1
OG0000085	XP_031826359.1, XP_031826358.1, XP_031826356.1	XP_033337654.1
OG0000086	XP_031842854.1	XP_033331032.1
OG0000087	XP_031843076.1	XP_033330624.1, XP_033324927.1
OG0000087	XP_031843049.1	XP_033324926.1
OG0000088	XP_031830799.1	XP_033340711.1
OG0000089	XP_031841904.1, XP_031841905.1, XP_031841906.1	XP_033329242.1, XP_033329243.1, XP_033329244.1
OG0000089	XP_031839041.1	XP_033320834.1
OG0000091	XP_031846471.1, XP_031846477.1, XP_031846470.1	XP_033327591.1, XP_033327610.1
OG0000092	XP_031832478.1	XP_033328764.1
OG0000092	XP_031836523.1	XP_033322679.1, XP_033322678.1
OG0000092	XP_031836568.1	XP_033322688.1
OG0000092	XP_031827660.1	XP_033332253.1
OG0000093	XP_031829450.1	XP_033326118.1, XP_033326113.1
OG0000094	XP_031847199.1, XP_031847200.1	XP_033328912.1
OG0000094	XP_031826729.1, XP_031826728.1	XP_033338575.1
OG0000095	XP_031850007.1, XP_031850009.1, XP_031850008.1	XP_033334699.1, XP_033334698.1
OG0000096	XP_031832678.1	XP_033336669.1
OG0000096	XP_031843327.1	XP_033321241.1, XP_033321218.1, XP_033321147.1, XP_033321130.1
OG0000097	XP_031827452.1, XP_031827442.1, XP_031827429.1, XP_031827419.1, XP_031827413.1	XP_033322825.1
OG0000098	XP_031830538.1, XP_031830536.1, XP_031830540.1, XP_031830537.1	XP_033321452.1, XP_033321450.1, XP_033321451.1
OG0000099	XP_031844823.1, XP_031844824.1, XP_031844822.1	XP_033322301.1
OG0000099	XP_031825801.1, XP_031825802.1	XP_033322345.1
OG0000099	XP_031843262.1	XP_033341688.1
OG0000100	XP_031841397.1, XP_031841398.1, XP_031841396.1, XP_031841400.1, XP_031841409.1, XP_031841408.1, XP_031841399.1, XP_031841403.1, XP_031841402.1, XP_031841407.1, XP_031841406.1, XP_031841405.1, XP_031841404.1, XP_031841395.1	XP_033332436.1, XP_033332438.1, XP_033332435.1
OG0000101	XP_031848007.1	XP_033329295.1
OG0000101	XP_031848006.1	XP_033329294.1, XP_033329291.1
OG0000102	XP_031830192.1	XP_033337546.1
OG0000102	XP_031830247.1, XP_031830259.1	XP_033327585.1
OG0000103	XP_031830730.1	XP_033320987.1, XP_033320986.1, XP_033320989.1, XP_033320988.1
OG0000103	XP_031830618.1	XP_033321001.1
OG0000103	XP_031830446.1	XP_033320999.1, XP_033321000.1
OG0000106	XP_031841956.1	XP_033325290.1
OG0000106	XP_031838896.1	XP_033320766.1, XP_033320765.1, XP_033333838.1, XP_033333876.1, XP_033320767.1
OG0000107	XP_031849421.1, XP_031849424.1	XP_033342710.1
OG0000108	XP_031836809.1	XP_033333478.1
OG0000109	XP_031828710.1, XP_031828711.1, XP_031828714.1, XP_031828715.1, XP_031828712.1, XP_031828713.1, XP_031828722.1, XP_031828723.1, XP_031828724.1, XP_031828718.1, XP_031828720.1, XP_031828721.1, XP_031828719.1, XP_031828716.1	XP_033339546.1, XP_033339549.1, XP_033339550.1, XP_033339547.1, XP_033339548.1
OG0000110	XP_031848100.1, XP_031848102.1	XP_033334675.1, XP_033333647.1
OG0000111	XP_031842672.1	XP_033327466.1
OG0000112	XP_031849209.1, XP_031849210.1, XP_031849208.1, XP_031849207.1	XP_033342648.1, XP_033342649.1, XP_033342647.1, XP_033342644.1, XP_033342645.1
OG0000112	XP_031831414.1	XP_033338986.1
OG0000113	XP_031838147.1	XP_033339074.1
OG0000113	XP_031842250.1	XP_033343072.1, XP_033343071.1, XP_033343075.1
OG0000114	XP_031825640.1	XP_033328279.1
OG0000115	XP_031842331.1	XP_033335200.1, XP_033335186.1, XP_033335198.1, XP_033335199.1, XP_033326630.1
OG0000116	XP_031837852.1, XP_031837855.1, XP_031837856.1, XP_031837853.1, XP_031837854.1, XP_031837857.1, XP_031837858.1	XP_033334929.1, XP_033334945.1, XP_033334936.1, XP_033334954.1, XP_033334963.1
OG0000116	XP_031837730.1	XP_033334348.1, XP_033334350.1, XP_033334349.1
OG0000117	XP_031840830.1	XP_033329862.1
OG0000117	XP_031841113.1, XP_031841103.1, XP_031841094.1, XP_031841084.1, XP_031841121.1, XP_031841052.1, XP_031841129.1, XP_031841059.1, XP_031841076.1, XP_031841068.1, XP_031841042.1	XP_033333385.1
OG0000119	XP_031848621.1, XP_031848628.1, XP_031848630.1, XP_031848631.1	XP_033327860.1, XP_033327861.1, XP_033327858.1, XP_033327862.1
OG0000120	XP_031837143.1, XP_031837140.1, XP_031837139.1, XP_031837144.1, XP_031837141.1, XP_031837145.1, XP_031837146.1, XP_031837147.1, XP_031837148.1, XP_031837149.1	XP_033323873.1
OG0000122	XP_031839754.1, XP_031839755.1, XP_031839753.1, XP_031839752.1, XP_031839750.1, XP_031839749.1	XP_033334236.1
OG0000123	XP_031829219.1	XP_033333520.1, XP_033333521.1
OG0000124	XP_031838642.1, XP_031838635.1, XP_031838638.1, XP_031838640.1, XP_031838636.1, XP_031838637.1, XP_031838643.1, XP_031838641.1	XP_033323689.1, XP_033323691.1, XP_033323690.1, XP_033323694.1, XP_033323692.1, XP_033323686.1, XP_033323688.1, XP_033323687.1
OG0000125	XP_031839027.1	XP_033321046.1, XP_033321048.1
OG0000125	XP_031838819.1	XP_033339916.1, XP_033343094.1
OG0000125	XP_031838775.1	XP_033339915.1, XP_033320773.1
OG0000126	XP_031846352.1	XP_033325055.1, XP_033325049.1, XP_033325050.1, XP_033325047.1, XP_033325048.1, XP_033325053.1, XP_033325052.1, XP_033325054.1, XP_033325051.1
OG0000127	XP_031849581.1, XP_031849592.1, XP_031846850.1	XP_033341265.1
OG0000129	XP_031848648.1, XP_031848647.1	XP_033337260.1, XP_033337245.1, XP_033337227.1, XP_033337236.1, XP_033337219.1, XP_033337252.1
OG0000130	XP_031826226.1	XP_033328411.1
OG0000130	XP_031826291.1	XP_033328425.1, XP_033328424.1, XP_033328423.1
OG0000130	XP_031826201.1	XP_033328418.1
OG0000131	XP_031828484.1	XP_033335039.1
OG0000131	XP_031840624.1, XP_031840625.1, XP_031840622.1, XP_031840623.1	XP_033340309.1, XP_033340308.1
OG0000132	XP_031829308.1	XP_033338073.1, XP_033338074.1, XP_033338075.1
OG0000132	XP_031845637.1, XP_031845638.1, XP_031845639.1	XP_033336949.1, XP_033336946.1, XP_033336947.1, XP_033336948.1
OG0000133	XP_031836871.1, XP_031836868.1	XP_033338068.1, XP_033337902.1, XP_033337989.1, XP_033338145.1
OG0000133	XP_031827303.1	XP_033338340.1
OG0000135	XP_031839483.1	XP_033328565.1
OG0000135	XP_031849617.1, XP_031849615.1, XP_031849616.1, XP_031849618.1	XP_033329896.1
OG0000136	XP_031828129.1	XP_033340885.1
OG0000136	XP_031828130.1	XP_033340891.1, XP_033340948.1
OG0000136	XP_031827941.1, XP_031829540.1	XP_033340890.1, XP_033339792.1, XP_033340886.1
OG0000137	XP_031838894.1	XP_033333875.1, XP_033333874.1, XP_033333872.1, XP_033333871.1
OG0000138	XP_031839076.1	XP_033329208.1, XP_033329207.1, XP_033329205.1, XP_033329209.1, XP_033329210.1, XP_033329204.1
OG0000138	XP_031839079.1	XP_033329393.1, XP_033329391.1, XP_033329394.1
OG0000139	XP_031836055.1, XP_031836054.1	XP_033336023.1
OG0000140	XP_031832920.1	XP_033336138.1, XP_033336137.1
OG0000141	XP_031837195.1	XP_033323945.1
OG0000141	XP_031839814.1	XP_033323610.1, XP_033323609.1
OG0000142	XP_031844401.1	XP_033330200.1, XP_033330159.1, XP_033330161.1
OG0000142	XP_031844400.1	XP_033330163.1
OG0000142	XP_031844389.1	XP_033330158.1, XP_033330192.1, XP_033330162.1, XP_033335998.1, XP_033335872.1
OG0000143	XP_031839633.1	XP_033338241.1, XP_033338240.1, XP_033338242.1
OG0000143	XP_031839547.1	XP_033338224.1
OG0000144	XP_031829750.1	XP_033329958.1, XP_033329957.1
OG0000145	XP_031837412.1	XP_033326152.1, XP_033326151.1, XP_033326156.1, XP_033326155.1, XP_033326154.1, XP_033326153.1
OG0000145	XP_031838797.1, XP_031838795.1	XP_033331052.1, XP_033331054.1, XP_033331055.1, XP_033331053.1
OG0000146	XP_031825439.1	XP_033338432.1
OG0000146	XP_031838000.1, XP_031837999.1, XP_031838001.1	XP_033321210.1
OG0000147	XP_031846647.1	XP_033324165.1
OG0000149	XP_031844539.1	XP_033323100.1, XP_033323099.1
OG0000150	XP_031826266.1, XP_031826326.1	XP_033330026.1, XP_033330029.1
OG0000151	XP_031850487.1, XP_031850486.1, XP_031850491.1, XP_031850490.1, XP_031850493.1, XP_031850492.1, XP_031850494.1, XP_031850488.1	XP_033330568.1, XP_033330647.1, XP_033330405.1, XP_033330738.1, XP_033330816.1, XP_033330319.1, XP_033330486.1
OG0000152	XP_031830368.1	XP_033337897.1, XP_033337901.1, XP_033337900.1, XP_033337899.1, XP_033337898.1
OG0000153	XP_031837357.1, XP_031837349.1, XP_031837338.1, XP_031837284.1, XP_031837302.1, XP_031837367.1, XP_031837294.1, XP_031837319.1, XP_031837312.1, XP_031837329.1, XP_031837276.1	XP_033336074.1, XP_033336076.1, XP_033336075.1
OG0000154	XP_031838095.1	XP_033321243.1, XP_033321242.1
OG0000156	XP_031828385.1, XP_031828383.1, XP_031828384.1, XP_031828378.1, XP_031828379.1, XP_031828380.1, XP_031828382.1, XP_031828374.1, XP_031828375.1, XP_031828376.1, XP_031828377.1, XP_031828389.1, XP_031828387.1, XP_031828386.1, XP_031828373.1, XP_031828388.1	XP_033328352.1, XP_033328346.1, XP_033328347.1, XP_033328354.1, XP_033328345.1, XP_033328353.1, XP_033328348.1, XP_033328349.1, XP_033328356.1, XP_033328355.1
OG0000157	XP_031827834.1	XP_033333782.1
OG0000157	XP_031827676.1	XP_033334269.1
OG0000158	XP_031833446.1	XP_033332768.1, XP_033333935.1, XP_033333395.1, XP_033328277.1
OG0000160	XP_031835553.1	XP_033342703.1, XP_033342702.1
OG0000161	XP_031840747.1, XP_031840748.1	XP_033331231.1
OG0000161	XP_031840749.1	XP_033321839.1
OG0000162	XP_031844217.1	XP_033334806.1
OG0000162	XP_031846677.1, XP_031846685.1	XP_033338174.1
OG0000164	XP_031838886.1	XP_033320770.1
OG0000164	XP_031838889.1	XP_033320763.1
OG0000164	XP_031838888.1	XP_033343121.1
OG0000165	XP_031845761.1	XP_033333149.1, XP_033333152.1
OG0000165	XP_031849879.1	XP_033335006.1
OG0000169	XP_031828486.1	XP_033338959.1
OG0000169	XP_031836796.1, XP_031836630.1, XP_031836795.1, XP_031848872.1	XP_033333680.1, XP_033333360.1
OG0000170	XP_031847928.1	XP_033325780.1
OG0000170	XP_031847930.1	XP_033325783.1
OG0000170	XP_031847931.1	XP_033325782.1
OG0000170	XP_031847927.1	XP_033325779.1
OG0000171	XP_031825968.1	XP_033333068.1
OG0000171	XP_031826361.1, XP_031826360.1, XP_031826362.1	XP_033333056.1
OG0000172	XP_031826024.1, XP_031826014.1, XP_031826006.1, XP_031825998.1, XP_031825989.1, XP_031825979.1	XP_033326361.1
OG0000173	XP_031842563.1, XP_031842562.1, XP_031842566.1, XP_031842567.1, XP_031842564.1, XP_031842565.1, XP_031842571.1, XP_031842572.1, XP_031842568.1, XP_031842569.1	XP_033324680.1, XP_033324678.1, XP_033324679.1, XP_033324677.1
OG0000174	XP_031832594.1, XP_031832593.1, XP_031832592.1	XP_033336682.1, XP_033336684.1, XP_033336683.1
OG0000175	XP_031837388.1, XP_031837387.1, XP_031837386.1, XP_031837392.1, XP_031837391.1, XP_031837389.1	XP_033336009.1, XP_033336008.1, XP_033336007.1, XP_033336006.1, XP_033336005.1, XP_033336004.1, XP_033336003.1
OG0000176	XP_031839720.1	XP_033321468.1, XP_033321469.1
OG0000177	XP_031850035.1	XP_033335034.1
OG0000177	XP_031849982.1, XP_031849983.1	XP_033334971.1
OG0000177	XP_031849977.1, XP_031849980.1	XP_033334932.1
OG0000178	XP_031843734.1	XP_033330470.1, XP_033330472.1
OG0000179	XP_031846959.1, XP_031846958.1, XP_031846955.1, XP_031846954.1, XP_031846953.1, XP_031846957.1, XP_031846956.1	XP_033324424.1
OG0000179	XP_031842123.1	XP_033329714.1
OG0000180	XP_031829739.1, XP_031829734.1, XP_031829738.1, XP_031829737.1, XP_031829736.1, XP_031829735.1	XP_033332614.1, XP_033332613.1, XP_033332612.1, XP_033332615.1
OG0000181	XP_031850222.1, XP_031850221.1, XP_031850223.1, XP_031850218.1, XP_031850220.1	XP_033334751.1, XP_033334750.1, XP_033334749.1, XP_033334748.1
OG0000182	XP_031841728.1	XP_033334305.1, XP_033334301.1, XP_033334302.1, XP_033334304.1
OG0000183	XP_031838925.1	XP_033334085.1
OG0000183	XP_031828691.1, XP_031828693.1, XP_031828695.1, XP_031828694.1, XP_031828690.1	XP_033333570.1
OG0000184	XP_031846910.1	XP_033341498.1, XP_033341490.1, XP_033333263.1, XP_033333261.1, XP_033341497.1
OG0000185	XP_031829650.1	XP_033335697.1
OG0000185	XP_031829646.1, XP_031829645.1, XP_031829647.1	XP_033335695.1, XP_033335694.1
OG0000186	XP_031834869.1	XP_033322600.1
