Orthogroup	Drosophila_melanogaster	Dufourea_novaeangliae
OG0000020	NP_001097100.1, NP_001188701.2	XP_015433825.1
OG0000020	NP_723828.1	XP_015439463.1
OG0000020	NP_001137799.1, NP_723441.2	XP_015431804.1
OG0000020	NP_001097508.2	XP_015435292.1
OG0000020	NP_651649.1	XP_015440423.1
OG0000020	NP_001138225.1	XP_015431800.1
OG0000020	NP_001259218.1	XP_015437420.1
OG0000021	NP_648539.1	XP_015436481.1
OG0000021	NP_001263113.1, NP_651812.1, NP_001189282.1	XP_015436556.1
OG0000021	NP_611262.1, NP_651761.2	XP_015430481.1
OG0000021	NP_650482.1, NP_732032.1	XP_015428676.1
OG0000022	NP_001027366.1, NP_001027371.1, NP_001027376.1	XP_015430686.1
OG0000022	NP_001027331.1, NP_001027351.1, NP_001027292.1	XP_015438104.1
OG0000023	NP_001027291.1, NP_001027283.1, NP_001027287.1, NP_001027345.1, NP_001027350.1, NP_001027320.1, NP_001027360.1, NP_001027355.1, NP_001027370.1, NP_001027365.1, NP_001027330.1, NP_001027325.1, NP_001027380.1, NP_001027315.1, NP_724342.1, NP_001027385.1, NP_001027375.1, NP_001027300.1, NP_001027305.1, NP_001027310.1, NP_001027296.1, NP_001027340.1, NP_001027335.1	XP_015438105.1
OG0000026	NP_729591.1, NP_001287018.1	XP_015439534.1
OG0000026	NP_001014616.2	XP_015434403.1
OG0000026	NP_001287332.1	XP_015436711.1
OG0000026	NP_001163838.2	XP_015437222.1
OG0000026	NP_001285239.1	XP_015440357.1, XP_015440372.1
OG0000027	NP_001027322.1, NP_724344.1, NP_001027312.1, NP_001027302.1, NP_001027297.1, NP_001027293.1, NP_001027307.1, NP_001027342.1, NP_001027317.1, NP_001027337.1	XP_015435411.1
OG0000027	NP_001027377.1, NP_001027284.1, NP_001027352.1, NP_001027357.1, NP_001027362.1, NP_001027382.1, NP_001027332.1, NP_001027288.1, NP_001027347.1	XP_015440405.1
OG0000029	NP_647872.1, NP_650813.2	XP_015428687.1, XP_015428726.1
OG0000029	NP_647875.1, NP_647873.2	XP_015428686.1
OG0000032	NP_609175.2	XP_015431638.1
OG0000032	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1, NP_651403.1	XP_015439764.1, XP_015439837.1, XP_015439765.1, XP_015439830.1, XP_015438580.1
OG0000033	NP_001285694.1	XP_015437849.1, XP_015434582.1, XP_015434937.1
OG0000035	NP_001285591.1, NP_609909.1, NP_609911.1, NP_001246082.2	XP_015436890.1, XP_015436892.1
OG0000035	NP_001261394.1, NP_001287111.1, NP_001246079.1, NP_001036565.1, NP_001286734.1, NP_611563.1, NP_001097859.4, NP_651153.1, NP_651152.1, NP_651154.1, NP_001262470.1, NP_652619.1, NP_524313.2, NP_652623.2, NP_652622.3, NP_651866.1, NP_524314.2, NP_001097744.1, NP_652625.2, NP_652626.1, NP_001287281.1	XP_015436992.1
OG0000036	NP_001287583.1, NP_001369024.1	XP_015434704.1
OG0000038	NP_476772.1, NP_524264.1	XP_015436794.1, XP_015438692.1
OG0000040	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1	XP_015428989.1, XP_015429021.1, XP_015439748.1
OG0000041	NP_001262200.1	XP_015438128.1, XP_015434651.1, XP_015434661.1
OG0000042	NP_731781.1	XP_015431768.1
OG0000042	NP_651966.2, NP_650201.1, NP_652731.1	XP_015431650.1, XP_015431773.1, XP_015431779.1, XP_015431770.1
OG0000043	NP_001286870.1	XP_015429520.1
OG0000043	NP_524121.2	XP_015440180.1
OG0000044	NP_651674.3	XP_015435691.1
OG0000045	NP_001188791.2, NP_609522.1, NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2	XP_015432638.1, XP_015429239.1, XP_015432639.1
OG0000046	NP_001285139.1	XP_015433680.1
OG0000046	NP_001262586.1	XP_015435615.1, XP_015435626.1
OG0000046	NP_524063.1	XP_015437775.1
OG0000050	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1, NP_001287487.1	XP_015435553.1, XP_015434531.1, XP_015434396.1
OG0000052	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2	XP_015430581.1, XP_015437086.1
OG0000052	NP_725600.1	XP_015437305.1
OG0000054	NP_477282.2, NP_729146.1, NP_729147.1	XP_015438771.1, XP_015438765.1
OG0000055	NP_001284925.1	XP_015437264.1
OG0000055	NP_650904.3	XP_015436857.1
OG0000055	NP_609815.1	XP_015431672.1
OG0000055	NP_001246914.1	XP_015428835.1
OG0000056	NP_001369131.1	XP_015437145.1, XP_015440426.1
OG0000056	NP_647937.2	XP_015428673.1
OG0000056	NP_995958.2	XP_015437708.1
OG0000057	NP_524290.2	XP_015434046.1
OG0000057	NP_725896.1	XP_015430803.1
OG0000057	NP_523842.2	XP_015430702.1, XP_015430703.1
OG0000057	NP_729172.1	XP_015430706.1, XP_015430705.1
OG0000060	NP_650848.1	XP_015438716.1
OG0000060	NP_001163168.1	XP_015432264.1, XP_015432266.1, XP_015432267.1
OG0000061	NP_001097692.1	XP_015432844.1
OG0000061	NP_648605.1, NP_536732.1, NP_523675.1, NP_611234.1	XP_015431091.1, XP_015435594.1
OG0000062	NP_001261156.1	XP_015432477.1
OG0000065	NP_524105.2, NP_001285777.1, NP_001027266.1, NP_001027272.1, NP_648885.1, NP_652673.2	XP_015431271.1, XP_015431347.1
OG0000066	NP_610976.1	XP_015434666.1
OG0000067	NP_001284994.1	XP_015429287.1
OG0000067	NP_524243.2, NP_572330.2	XP_015435565.1
OG0000067	NP_001261491.1	XP_015435216.1
OG0000074	NP_536776.2	XP_015438453.1
OG0000077	NP_001137778.2, NP_001259986.1	XP_015436389.1
OG0000077	NP_001015405.3	XP_015435143.1
OG0000080	NP_001262255.1	XP_015432762.1
OG0000080	NP_001262254.1	XP_015432781.1
OG0000082	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2, NP_609726.1, NP_572219.1	XP_015434043.1, XP_015434042.1, XP_015434075.1, XP_015434041.1
OG0000085	NP_651221.1	XP_015439820.1, XP_015433752.1
OG0000086	NP_651662.1, NP_651661.1, NP_001287578.1, NP_611736.1, NP_001033953.1	XP_015439351.1
OG0000086	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1	XP_015439307.1
OG0000087	NP_001261716.1	XP_015433138.1, XP_015433161.1
OG0000087	NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1	XP_015433219.1, XP_015433217.1, XP_015433218.1, XP_015433159.1
OG0000088	NP_476589.4	XP_015430594.1
OG0000089	NP_001162840.1, NP_001259800.1	XP_015429642.1, XP_015429641.1, XP_015429643.1, XP_015429644.1
OG0000091	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2	XP_015428722.1, XP_015428720.1, XP_015428718.1
OG0000092	NP_001262592.1	XP_015433035.1, XP_015431194.1, XP_015431125.1, XP_015432408.1
OG0000094	NP_001284983.1, NP_651446.2, NP_650069.2	XP_015432272.1
OG0000094	NP_651889.3, NP_001189331.1, NP_651891.2	XP_015430372.1
OG0000096	NP_726022.1, NP_001246550.1	XP_015438977.1
OG0000096	NP_611542.2	XP_015439740.1
OG0000097	NP_524611.1	XP_015428851.1, XP_015428850.1, XP_015428848.1, XP_015439293.1, XP_015439294.1
OG0000098	NP_001260487.1	XP_015431421.1, XP_015431420.1, XP_015431419.1, XP_015431416.1, XP_015431417.1
OG0000099	NP_608954.1	XP_015434840.1
OG0000099	NP_001034071.1	XP_015437951.1
OG0000099	NP_651628.1	XP_015439443.1
OG0000100	NP_001262908.1, NP_001262907.1	XP_015432704.1, XP_015432705.1
OG0000101	NP_001286204.1, NP_610403.1, NP_609640.1	XP_015429187.1
OG0000101	NP_001285802.1, NP_001015212.1	XP_015437434.1, XP_015434419.1
OG0000102	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2	XP_015437466.1, XP_015437463.1
OG0000103	NP_001303368.1	XP_015431403.1
OG0000108	NP_648918.1	XP_015431062.1
OG0000109	NP_648392.1, NP_001245736.1	XP_015429717.1
OG0000110	NP_788521.2, NP_729246.2, NP_729014.1	XP_015438727.1, XP_015438930.1
OG0000111	NP_650264.1	XP_015430891.1
OG0000112	NP_001369123.1	XP_015439824.1
OG0000113	NP_650037.2, NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2, NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1, NP_649688.1	XP_015431174.1, XP_015436887.1, XP_015436888.1
OG0000114	NP_572582.1, NP_651168.1, NP_524362.2, NP_001303421.1, NP_650380.2	XP_015439692.1, XP_015439905.1
OG0000115	NP_001261040.1	XP_015431679.1, XP_015431680.1, XP_015439194.1, XP_015431789.1, XP_015431678.1
OG0000117	NP_001286115.1	XP_015435315.1
OG0000117	NP_001262809.1	XP_015436200.1
OG0000120	NP_001260010.1, NP_001162947.1	XP_015437451.1, XP_015437450.1, XP_015437448.1
OG0000122	NP_001287102.1, NP_001163462.1, NP_649023.1	XP_015433447.1
OG0000122	NP_610807.3	XP_015431888.1
OG0000123	NP_001259925.1	XP_015435654.1, XP_015435655.1
OG0000124	NP_001260435.1, NP_001245746.1	XP_015437181.1
OG0000125	NP_651172.1, NP_001097888.1	XP_015440379.1, XP_015440359.1, XP_015440376.1, XP_015440360.1
OG0000126	NP_477498.1, NP_996167.1	XP_015428496.1
OG0000127	NP_001261916.1	XP_015432901.1, XP_015432902.1, XP_015432903.1
OG0000129	NP_001188842.2	XP_015436027.1
OG0000130	NP_723165.2	XP_015429425.1, XP_015429434.1
OG0000130	NP_001014474.3	XP_015429842.1
OG0000131	NP_001259087.1	XP_015436559.1
OG0000131	NP_001097667.1	XP_015436693.1, XP_015436700.1, XP_015436679.1, XP_015436686.1
OG0000132	NP_001245934.1, NP_001137808.1, NP_609121.2	XP_015437606.1
OG0000132	NP_001245823.1, NP_724088.2, NP_724087.1	XP_015431599.1
OG0000133	NP_001368939.1	XP_015434318.1
OG0000134	NP_525003.2	XP_015429489.1, XP_015433726.1
OG0000135	NP_001286904.1	XP_015435320.1, XP_015435321.1
OG0000135	NP_524655.1	XP_015431583.1
OG0000136	NP_611126.1, NP_611131.2, NP_001285647.1, NP_001097337.1	XP_015437319.1, XP_015436484.1, XP_015438169.1
OG0000137	NP_727460.1, NP_611465.2	XP_015432001.1, XP_015433288.1
OG0000138	NP_001036303.2	XP_015429248.1, XP_015429192.1
OG0000139	NP_651882.1	XP_015435212.1
OG0000141	NP_001287037.1	XP_015435225.1
OG0000141	NP_651471.2	XP_015431506.1
OG0000141	NP_724101.4	XP_015435164.1, XP_015435072.1
OG0000143	NP_001259687.1	XP_015429124.1, XP_015429114.1
OG0000144	NP_001287042.1, NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1	XP_015428670.1, XP_015428727.1
OG0000145	NP_651930.2	XP_015436844.1, XP_015431112.1
OG0000146	NP_648843.1	XP_015432760.1
OG0000146	NP_610294.1	XP_015435877.1
OG0000147	NP_001245762.1	XP_015435294.1, XP_015435295.1, XP_015439801.1
OG0000149	NP_648425.1	XP_015435823.1
OG0000149	NP_647686.1	XP_015435834.1
OG0000150	NP_001246198.1	XP_015432205.1
OG0000151	NP_001287124.1	XP_015429673.1, XP_015429674.1, XP_015429675.1
OG0000152	NP_001260743.1	XP_015433494.1
OG0000153	NP_001261584.1	XP_015439140.1
OG0000154	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1	XP_015436141.1
OG0000156	NP_647767.1	XP_015429868.1
OG0000157	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1	XP_015433606.1, XP_015433605.1
OG0000158	NP_648354.1	XP_015439684.1, XP_015440019.1, XP_015440020.1, XP_015439979.1
OG0000160	NP_001034016.1, NP_649019.2	XP_015437280.1
OG0000160	NP_649428.1	XP_015436859.1, XP_015436868.1
OG0000161	NP_001261749.1, NP_788501.1	XP_015432556.1
OG0000162	NP_001097669.2	XP_015435684.1
OG0000162	NP_001262916.1	XP_015439554.1
OG0000164	NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1	XP_015437865.1, XP_015437659.1, XP_015437774.1
OG0000165	NP_001245593.1	XP_015429586.1
OG0000165	NP_001284986.1	XP_015435493.1
OG0000166	NP_001097498.1	XP_015435053.1
OG0000168	NP_996226.2	XP_015435199.1
OG0000168	NP_001261500.1	XP_015430998.1
OG0000168	NP_001261571.1, NP_001246162.1	XP_015436891.1
OG0000171	NP_609310.2, NP_609309.1	XP_015434404.1, XP_015434466.1
OG0000173	NP_001247239.1	XP_015434867.1, XP_015434866.1, XP_015434871.1, XP_015434870.1, XP_015434869.1, XP_015434868.1
OG0000174	NP_725682.2, NP_001286533.1, NP_611218.1	XP_015438965.1
OG0000175	NP_001163218.1	XP_015437422.1, XP_015437423.1
OG0000177	NP_001261827.1	XP_015435549.1
OG0000177	NP_001261829.1	XP_015435485.1
OG0000177	NP_001261830.1	XP_015435546.1
OG0000178	NP_001356914.1	XP_015438494.1
OG0000179	NP_523366.2, NP_648697.1	XP_015434426.1
OG0000180	NP_001027161.1	XP_015430454.1, XP_015430456.1, XP_015430455.1, XP_015430457.1
OG0000182	NP_001163460.1	XP_015436232.1
OG0000183	NP_001287555.1	XP_015431052.1
OG0000183	NP_524074.1	XP_015435715.1
OG0000184	NP_995642.1, NP_523504.2, NP_001162633.1	XP_015432847.1
OG0000185	NP_001259439.1	XP_015434150.1, XP_015434133.1
OG0000186	NP_573320.1	XP_015434985.1, XP_015434960.1, XP_015434988.1, XP_015434990.1
OG0000187	NP_001188856.1	XP_015436316.1
OG0000188	NP_477462.1	XP_015431252.1
OG0000188	NP_524551.2, NP_476974.1	XP_015431689.1
OG0000189	NP_651982.1, NP_001036733.1, NP_001262788.1	XP_015429531.1
OG0000189	NP_650925.1	XP_015429543.1
OG0000189	NP_608557.4, NP_523485.3, NP_523484.2, NP_001036373.1	XP_015429076.1
OG0000190	NP_732717.1	XP_015440287.1, XP_015440288.1, XP_015440289.1
OG0000191	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2, NP_001246909.1, NP_477232.1, NP_648125.3	XP_015434794.1
OG0000192	NP_611994.3	XP_015433091.1
OG0000194	NP_648207.1	XP_015439485.1
OG0000196	NP_001261758.1	XP_015432167.1
OG0000196	NP_730938.1	XP_015437821.1
OG0000197	NP_001287082.1	XP_015439072.1, XP_015439073.1, XP_015439149.1
OG0000200	NP_001262796.1	XP_015435653.1
OG0000200	NP_001259616.1	XP_015438807.1, XP_015438810.1
OG0000201	NP_649026.1	XP_015438380.1
OG0000201	NP_730973.1, NP_001262292.1, NP_649563.1, NP_730974.1, NP_569875.2	XP_015438436.1
OG0000202	NP_001260674.1	XP_015433874.1
OG0000203	NP_001369023.1, NP_001287406.1, NP_650804.2, NP_650803.1	XP_015429928.1
OG0000204	NP_001188590.1	XP_015428607.1
OG0000205	NP_001097505.1	XP_015435790.1
OG0000206	NP_650893.2	XP_015432679.1
OG0000206	NP_001097707.1, NP_001287222.1	XP_015432778.1, XP_015432779.1
OG0000207	NP_001286310.1, NP_001287091.1	XP_015437049.1
OG0000207	NP_001246139.1	XP_015434683.1, XP_015434682.1
OG0000208	NP_001137606.1	XP_015434613.1
OG0000209	NP_001163199.1	XP_015436163.1
OG0000212	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1	XP_015431045.1, XP_015430967.1, XP_015430965.1, XP_015430966.1
OG0000213	NP_648589.1	XP_015428729.1
OG0000214	NP_001260290.1	XP_015435958.1
OG0000214	NP_001247324.1	XP_015428442.1
OG0000215	NP_649139.1	XP_015432430.1, XP_015432437.1
OG0000216	NP_524598.1, NP_001262008.1, NP_572780.3, NP_573003.2, NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1	XP_015431904.1
OG0000217	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1	XP_015437152.1
OG0000218	NP_649086.2	XP_015434934.1, XP_015434933.1
OG0000219	NP_610764.1	XP_015434863.1, XP_015434855.1
OG0000220	NP_650528.1	XP_015435676.1, XP_015435677.1
OG0000223	NP_523986.2	XP_015433759.1
OG0000223	NP_524142.2, NP_524141.1	XP_015437890.1
OG0000224	NP_647862.1, NP_728942.1	XP_015431603.1, XP_015431605.1
OG0000225	NP_536756.1	XP_015430669.1, XP_015430668.1, XP_015430670.1, XP_015430654.1
OG0000226	NP_001356958.1	XP_015432296.1, XP_015432295.1
OG0000226	NP_611241.2	XP_015432297.1
OG0000227	NP_001262022.1	XP_015438705.1
OG0000229	NP_726223.1, NP_001303360.1, NP_001246468.1	XP_015437954.1
OG0000230	NP_001286852.1	XP_015428614.1, XP_015428616.1, XP_015428615.1
OG0000231	NP_650028.1, NP_650029.1, NP_001285882.1	XP_015438519.1
OG0000232	NP_001303567.1	XP_015439264.1
OG0000233	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1	XP_015435413.1, XP_015435414.1
OG0000234	NP_726740.1, NP_649880.1, NP_649881.1	XP_015436796.1, XP_015436761.1
OG0000235	NP_001261046.1	XP_015433084.1
OG0000236	NP_524368.5	XP_015433153.1
OG0000237	NP_523863.1	XP_015438767.1
OG0000237	NP_523862.1	XP_015438769.1
OG0000239	NP_733091.1, NP_611452.2, NP_001285793.1, NP_651369.1, NP_001027211.3, NP_001287526.1, NP_651371.1, NP_733121.1, NP_651372.1, NP_651370.2, NP_001262006.1, NP_001260130.1, NP_569859.1, NP_609015.2, NP_573269.1	XP_015432329.1
OG0000241	NP_001097059.1, NP_647821.2, NP_001285749.1	XP_015435537.1, XP_015436630.1
OG0000243	NP_608584.1, NP_523761.2	XP_015436725.1
OG0000244	NP_610117.1	XP_015439085.1
OG0000245	NP_476812.1, NP_610443.1, NP_524760.1	XP_015437253.1, XP_015435215.1
OG0000246	NP_724163.1	XP_015438662.1
OG0000246	NP_476592.1	XP_015438684.1
OG0000249	NP_572996.1	XP_015431145.1, XP_015431096.1, XP_015431100.1
OG0000250	NP_650508.1, NP_001285102.1	XP_015428900.1, XP_015428865.1
OG0000252	NP_730950.2	XP_015430094.1, XP_015430087.1, XP_015430103.1
OG0000253	NP_001162737.1	XP_015433105.1
OG0000253	NP_001263132.1	XP_015430007.1
OG0000254	NP_732295.1	XP_015435101.1
OG0000254	NP_001368946.1	XP_015440243.1
OG0000255	NP_001033900.2, NP_572436.1	XP_015440437.1
OG0000256	NP_732900.1	XP_015435282.1, XP_015435281.1
OG0000257	NP_001262861.1	XP_015439225.1
OG0000257	NP_001287485.1	XP_015439223.1
OG0000258	NP_725929.1, NP_725926.1	XP_015434789.1
OG0000261	NP_001286161.1, NP_610318.1, NP_610319.2	XP_015431688.1
OG0000263	NP_001285111.1	XP_015438831.1, XP_015438832.1, XP_015438830.1
OG0000264	NP_001033939.2	XP_015438044.1
OG0000264	NP_476735.1	XP_015429295.1, XP_015429294.1
OG0000265	NP_649517.1, NP_650190.1	XP_015429094.1
OG0000266	NP_524387.1	XP_015433228.1
OG0000266	NP_001285202.1	XP_015431896.1
OG0000268	NP_001285901.1, NP_001262995.1	XP_015439427.1
OG0000269	NP_001284901.1	XP_015440166.1
OG0000270	NP_001034048.2	XP_015429298.1
OG0000270	NP_001163596.2	XP_015429562.1
OG0000271	NP_001014620.1, NP_731788.1, NP_731790.1	XP_015431651.1
OG0000272	NP_995675.1	XP_015430061.1
OG0000272	NP_001162795.1, NP_001356885.1	XP_015438983.1
OG0000273	NP_001097437.1	XP_015436896.1, XP_015436881.1
OG0000274	NP_001014485.3	XP_015439714.1
OG0000274	NP_001036681.1	XP_015433358.1
OG0000275	NP_648909.1	XP_015433891.1
OG0000276	NP_649535.2	XP_015432586.1
OG0000277	NP_647800.1	XP_015430231.1
OG0000278	NP_612039.1, NP_647794.1	XP_015431164.1
OG0000279	NP_001137708.2, NP_001356890.1	XP_015432369.1
OG0000281	NP_001350861.1	XP_015432612.1
OG0000283	NP_001286595.1	XP_015440094.1
OG0000284	NP_727448.1	XP_015429852.1
OG0000284	NP_001259432.1	XP_015439650.1, XP_015438214.1
OG0000285	NP_001163186.1	XP_015436920.1, XP_015436921.1
OG0000286	NP_729792.1	XP_015436588.1, XP_015436589.1
OG0000287	NP_001036660.1	XP_015438255.1
OG0000287	NP_001260729.1	XP_015438180.1
OG0000288	NP_476934.2	XP_015435796.1
OG0000288	NP_001188784.1	XP_015439791.1
OG0000289	NP_001303316.1	XP_015432866.1, XP_015432868.1, XP_015432869.1, XP_015432870.1, XP_015432867.1
OG0000293	NP_649119.2, NP_001262050.1	XP_015434629.1
OG0000295	NP_611878.1	XP_015433330.1, XP_015433328.1, XP_015433329.1
OG0000296	NP_573076.1, NP_001096988.2	XP_015434298.1
OG0000297	NP_651265.1	XP_015429556.1
OG0000298	NP_650963.2	XP_015433364.1
OG0000300	NP_648000.1	XP_015436168.1
OG0000300	NP_001285398.1	XP_015437092.1, XP_015437090.1, XP_015437089.1
OG0000301	NP_572721.1	XP_015428488.1
OG0000301	NP_525031.1	XP_015434699.1
OG0000302	NP_001246314.1	XP_015433893.1
OG0000302	NP_730054.1	XP_015438406.1
OG0000303	NP_609514.1, NP_730670.1, NP_572924.1, NP_730671.1, NP_648026.1	XP_015430384.1
OG0000304	NP_788277.1	XP_015430485.1
OG0000305	NP_001284764.1, NP_650013.3, NP_650012.2	XP_015434461.1
OG0000307	NP_650089.1	XP_015428477.1
OG0000308	NP_001261704.1	XP_015438475.1
OG0000309	NP_651063.1	XP_015430291.1
OG0000310	NP_001286754.1	XP_015435023.1
OG0000311	NP_477380.1	XP_015428715.1
OG0000312	NP_001286891.1	XP_015431093.1
OG0000313	NP_001262580.1, NP_727588.2	XP_015433511.1
OG0000314	NP_611815.3	XP_015430168.1
OG0000314	NP_001287244.1	XP_015430171.1
OG0000316	NP_723502.2, NP_611157.1	XP_015438634.1
OG0000316	NP_611470.1	XP_015431212.1
OG0000317	NP_732413.1	XP_015438869.1
OG0000318	NP_609354.1	XP_015432674.1
OG0000319	NP_523751.2	XP_015437316.1
OG0000320	NP_001285825.1, NP_476734.1	XP_015434182.1
OG0000321	NP_523551.1	XP_015438194.1
OG0000322	NP_649068.1	XP_015438004.1
OG0000323	NP_524359.2	XP_015436562.1
OG0000324	NP_001189070.1	XP_015440322.1
OG0000326	NP_001246635.1	XP_015436335.1
OG0000327	NP_001246651.1	XP_015436510.1
OG0000330	NP_523672.1	XP_015431229.1, XP_015431230.1
OG0000332	NP_651838.1	XP_015431199.1, XP_015431198.1
OG0000333	NP_731787.1, NP_650273.2, NP_650274.2	XP_015439205.1, XP_015431766.1
OG0000334	NP_001260523.1, NP_724023.1, NP_001097168.1, NP_609817.1	XP_015431428.1
OG0000335	NP_608439.2, NP_001285956.1	XP_015428456.1
OG0000336	NP_001286141.1	XP_015428756.1, XP_015428757.1, XP_015434373.1
OG0000337	NP_001097630.2	XP_015437277.1
OG0000338	NP_001303553.1, NP_728030.2	XP_015432576.1
OG0000338	NP_001245442.1, NP_001285408.1	XP_015439789.1
OG0000339	NP_649788.2	XP_015439872.1
OG0000339	NP_001245907.1	XP_015428725.1
OG0000340	NP_726025.1, NP_611123.2	XP_015438911.1
OG0000341	NP_001284896.1	XP_015436438.1, XP_015436439.1, XP_015436440.1, XP_015436441.1
