Orthogroup	Drosophila_melanogaster	Eufriesea_mexicana
OG0000067	NP_001261491.1	XP_017757818.1
OG0000074	NP_536776.2	XP_017765289.1
OG0000077	NP_001137778.2, NP_001259986.1	XP_017764095.1
OG0000077	NP_001015405.3	XP_017755927.1
OG0000080	NP_001262255.1	XP_017763299.1
OG0000080	NP_001262254.1	XP_017763303.1
OG0000082	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2, NP_609726.1, NP_572219.1	XP_017760548.1, XP_017760559.1, XP_017760564.1
OG0000085	NP_651221.1	XP_017757451.1, XP_017759168.1, XP_017759169.1
OG0000086	NP_651662.1, NP_651661.1, NP_001287578.1, NP_611736.1, NP_001033953.1	XP_017752779.1, XP_017752829.1, XP_017752828.1
OG0000086	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1	XP_017758047.1
OG0000087	NP_001261716.1	XP_017764961.1
OG0000087	NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1	XP_017764986.1, XP_017764988.1, XP_017764987.1
OG0000088	NP_476589.4	XP_017758470.1
OG0000089	NP_001162840.1, NP_001259800.1	XP_017760295.1, XP_017760292.1, XP_017760296.1, XP_017760294.1, XP_017760299.1, XP_017760298.1, XP_017760293.1
OG0000091	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2	XP_017755131.1
OG0000092	NP_001262592.1	XP_017761157.1, XP_017758288.1, XP_017758287.1, XP_017758318.1, XP_017766724.1, XP_017766723.1
OG0000094	NP_001284983.1, NP_651446.2, NP_650069.2	XP_017763745.1
OG0000094	NP_651889.3, NP_001189331.1, NP_651891.2	XP_017764407.1
OG0000096	NP_726022.1, NP_001246550.1	XP_017759853.1
OG0000096	NP_611542.2	XP_017753661.1
OG0000097	NP_524611.1	XP_017759272.1, XP_017759271.1, XP_017755959.1, XP_017755960.1
OG0000098	NP_001260487.1	XP_017760521.1, XP_017760519.1, XP_017760520.1, XP_017760517.1, XP_017760518.1, XP_017760523.1, XP_017760524.1, XP_017760522.1
OG0000099	NP_608954.1	XP_017762062.1, XP_017762063.1
OG0000099	NP_001034071.1	XP_017765789.1
OG0000099	NP_651628.1	XP_017763025.1
OG0000100	NP_001262908.1, NP_001262907.1	XP_017762097.1
OG0000101	NP_001286204.1, NP_610403.1, NP_609640.1	XP_017762608.1
OG0000101	NP_001285802.1, NP_001015212.1	XP_017752973.1, XP_017752972.1, XP_017762351.1
OG0000102	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2	XP_017755997.1, XP_017756024.1, XP_017756022.1, XP_017756023.1, XP_017756026.1
OG0000103	NP_001303368.1	XP_017761262.1
OG0000108	NP_648918.1	XP_017755056.1, XP_017755065.1
OG0000109	NP_648392.1, NP_001245736.1	XP_017765546.1, XP_017765544.1, XP_017765545.1, XP_017765540.1, XP_017765542.1, XP_017765541.1, XP_017765543.1
OG0000110	NP_788521.2, NP_729246.2, NP_729014.1	XP_017752642.1, XP_017763176.1
OG0000111	NP_650264.1	XP_017756246.1
OG0000112	NP_001369123.1	XP_017752746.1, XP_017752755.1, XP_017752737.1, XP_017752760.1, XP_017752729.1
OG0000113	NP_650037.2, NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2, NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1, NP_649688.1	XP_017754450.1, XP_017766321.1
OG0000115	NP_001261040.1	XP_017765840.1, XP_017765841.1, XP_017765838.1, XP_017757043.1
OG0000117	NP_001286115.1	XP_017754328.1
OG0000117	NP_001262809.1	XP_017755804.1
OG0000120	NP_001260010.1, NP_001162947.1	XP_017760327.1, XP_017760326.1, XP_017760325.1
OG0000122	NP_001287102.1, NP_001163462.1, NP_649023.1	XP_017760255.1
OG0000122	NP_610807.3	XP_017766449.1
OG0000123	NP_001259925.1	XP_017760450.1, XP_017760451.1, XP_017760448.1, XP_017760449.1, XP_017760452.1
OG0000124	NP_001260435.1, NP_001245746.1	XP_017759439.1, XP_017759448.1
OG0000125	NP_651172.1, NP_001097888.1	XP_017752157.1, XP_017752160.1, XP_017752159.1, XP_017752162.1, XP_017752161.1, XP_017752163.1, XP_017767778.1, XP_017767758.1
OG0000126	NP_477498.1, NP_996167.1	XP_017753608.1, XP_017753607.1, XP_017753606.1, XP_017753605.1, XP_017753604.1
OG0000127	NP_001261916.1	XP_017754012.1, XP_017754013.1
OG0000127	NP_477127.1	XP_017754044.1
OG0000129	NP_001188842.2	XP_017753388.1
OG0000130	NP_723165.2	XP_017754767.1
OG0000130	NP_001014474.3	XP_017759668.1
OG0000131	NP_001259087.1	XP_017758818.1
OG0000131	NP_001097667.1	XP_017761464.1, XP_017761457.1, XP_017761449.1
OG0000132	NP_001245934.1, NP_001137808.1, NP_609121.2	XP_017760124.1
OG0000132	NP_001245823.1, NP_724088.2, NP_724087.1	XP_017756059.1
OG0000133	NP_001368939.1	XP_017755394.1
OG0000134	NP_525003.2	XP_017755456.1
OG0000135	NP_001286904.1	XP_017754219.1
OG0000135	NP_524655.1	XP_017756053.1, XP_017756054.1
OG0000136	NP_611126.1, NP_611131.2, NP_001285647.1, NP_001097337.1	XP_017753466.1, XP_017753465.1, XP_017753464.1, XP_017753463.1, XP_017753462.1, XP_017753460.1
OG0000137	NP_727460.1, NP_611465.2	XP_017761738.1, XP_017758968.1
OG0000138	NP_001036303.2	XP_017753919.1, XP_017753916.1
OG0000139	NP_651882.1	XP_017764607.1, XP_017764606.1
OG0000141	NP_001287037.1	XP_017757816.1
OG0000141	NP_651471.2	XP_017766373.1
OG0000141	NP_724101.4	XP_017756234.1
OG0000143	NP_001259687.1	XP_017757050.1, XP_017765696.1, XP_017765697.1, XP_017765698.1
OG0000144	NP_001287042.1, NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1	XP_017759465.1, XP_017759463.1, XP_017759475.1
OG0000145	NP_651930.2	XP_017753508.1, XP_017753509.1, XP_017752454.1
OG0000146	NP_648843.1	XP_017762149.1
OG0000146	NP_610294.1	XP_017757313.1
OG0000147	NP_001245762.1	XP_017764859.1, XP_017755245.1
OG0000149	NP_648425.1	XP_017752370.1
OG0000149	NP_647686.1	XP_017752374.1, XP_017752372.1, XP_017752371.1
OG0000150	NP_001246198.1	XP_017761423.1
OG0000151	NP_001287124.1	XP_017754495.1, XP_017754494.1
OG0000152	NP_001260743.1	XP_017752525.1, XP_017752524.1, XP_017752522.1, XP_017752523.1, XP_017752519.1, XP_017752521.1
OG0000153	NP_001261584.1	XP_017752578.1, XP_017752577.1
OG0000154	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1	XP_017755034.1, XP_017755068.1
OG0000156	NP_647767.1	XP_017764881.1
OG0000157	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1	XP_017766530.1, XP_017766794.1
OG0000158	NP_648354.1	XP_017757401.1, XP_017757402.1
OG0000160	NP_001034016.1, NP_649019.2	XP_017762321.1
OG0000160	NP_649428.1	XP_017760990.1, XP_017760976.1, XP_017760983.1, XP_017760969.1
OG0000161	NP_001261749.1, NP_788501.1	XP_017766190.1, XP_017765612.1, XP_017766182.1, XP_017766192.1, XP_017753075.1, XP_017765621.1
OG0000162	NP_001097669.2	XP_017760661.1
OG0000162	NP_001285015.1	XP_017760068.1, XP_017761789.1
OG0000162	NP_001262916.1	XP_017758852.1
OG0000164	NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1	XP_017752452.1, XP_017752453.1, XP_017752455.1
OG0000165	NP_001245593.1	XP_017763109.1, XP_017763110.1, XP_017763108.1
OG0000165	NP_001284986.1	XP_017754783.1
OG0000166	NP_001097498.1	XP_017765680.1
OG0000168	NP_996226.2	XP_017755371.1
OG0000168	NP_001261571.1, NP_001246162.1	XP_017767433.1
OG0000171	NP_609310.2, NP_609309.1	XP_017763743.1, XP_017763746.1
OG0000173	NP_001247239.1	XP_017753788.1, XP_017753789.1
OG0000174	NP_725682.2, NP_001286533.1, NP_611218.1	XP_017759915.1, XP_017759914.1, XP_017759916.1, XP_017765580.1
OG0000175	NP_001163218.1	XP_017757084.1, XP_017757081.1, XP_017757082.1, XP_017757083.1
OG0000177	NP_001261827.1	XP_017754838.1
OG0000177	NP_001261829.1	XP_017754830.1
OG0000177	NP_001261830.1	XP_017754833.1
OG0000178	NP_001356914.1	XP_017764768.1
OG0000179	NP_523366.2, NP_648697.1	XP_017762477.1, XP_017762476.1
OG0000180	NP_001027161.1	XP_017764209.1, XP_017764210.1, XP_017764208.1
OG0000182	NP_001163460.1	XP_017761809.1, XP_017761808.1
OG0000183	NP_001287555.1	XP_017755734.1
OG0000183	NP_524074.1	XP_017758250.1
OG0000184	NP_995642.1, NP_523504.2, NP_001162633.1	XP_017766044.1
OG0000185	NP_001259439.1	XP_017760614.1, XP_017760602.1
OG0000186	NP_573320.1	XP_017765694.1, XP_017765695.1
OG0000187	NP_001188856.1	XP_017755788.1, XP_017755787.1
OG0000188	NP_477462.1	XP_017763805.1
OG0000188	NP_524551.2, NP_476974.1	XP_017761111.1
OG0000189	NP_651982.1, NP_001036733.1, NP_001262788.1	XP_017753298.1, XP_017753288.1
OG0000189	NP_650925.1	XP_017753248.1
OG0000189	NP_608557.4, NP_523485.3, NP_523484.2, NP_001036373.1	XP_017753499.1
OG0000190	NP_732717.1	XP_017757675.1, XP_017757673.1, XP_017757674.1
OG0000191	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2, NP_001246909.1, NP_477232.1, NP_648125.3	XP_017753882.1
OG0000192	NP_611994.3	XP_017760341.1, XP_017758954.1, XP_017758953.1
OG0000194	NP_648207.1	XP_017756837.1
OG0000196	NP_001261758.1	XP_017756213.1
OG0000196	NP_730938.1	XP_017757746.1, XP_017757744.1, XP_017757745.1
OG0000197	NP_001287082.1	XP_017753812.1, XP_017753801.1, XP_017753795.1
OG0000198	NP_611747.2	XP_017761419.1, XP_017761421.1
OG0000200	NP_001262796.1	XP_017759260.1
OG0000200	NP_001259616.1	XP_017760688.1, XP_017760689.1
OG0000201	NP_649026.1	XP_017757589.1
OG0000201	NP_730973.1, NP_001262292.1, NP_649563.1, NP_730974.1, NP_569875.2	XP_017757600.1
OG0000202	NP_001260674.1	XP_017765124.1
OG0000203	NP_001369023.1, NP_001287406.1, NP_650804.2, NP_650803.1	XP_017753354.1
OG0000203	NP_648067.2	XP_017759088.1
OG0000204	NP_001188590.1	XP_017766805.1
OG0000205	NP_001097505.1	XP_017752413.1, XP_017752414.1
OG0000206	NP_650893.2	XP_017762170.1
OG0000206	NP_001097707.1, NP_001287222.1	XP_017762186.1, XP_017762192.1, XP_017762190.1, XP_017762189.1, XP_017762187.1, XP_017762188.1
OG0000207	NP_001286310.1, NP_001287091.1	XP_017760687.1
OG0000207	NP_001246139.1	XP_017756106.1, XP_017756102.1
OG0000208	NP_001137606.1	XP_017756194.1
OG0000209	NP_001163199.1	XP_017756958.1, XP_017756959.1, XP_017756956.1, XP_017756957.1, XP_017756954.1, XP_017756955.1, XP_017756953.1, XP_017756961.1
OG0000212	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1	XP_017759725.1, XP_017760333.1, XP_017760334.1
OG0000213	NP_648589.1	XP_017755129.1, XP_017755127.1, XP_017755128.1
OG0000214	NP_001260290.1	XP_017752245.1
OG0000214	NP_001247324.1	XP_017752185.1
OG0000215	NP_649139.1	XP_017765029.1
OG0000216	NP_524598.1, NP_001262008.1, NP_572780.3, NP_573003.2, NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1	XP_017761217.1
OG0000217	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1	XP_017766098.1
OG0000218	NP_649086.2	XP_017762070.1
OG0000219	NP_610764.1	XP_017755416.1, XP_017755417.1, XP_017755418.1, XP_017755419.1
OG0000220	NP_650528.1	XP_017767298.1, XP_017767297.1
OG0000221	NP_001036320.3	XP_017758018.1, XP_017758012.1, XP_017758010.1, XP_017758011.1, XP_017758017.1, XP_017758016.1, XP_017758009.1, XP_017758013.1
OG0000223	NP_523986.2	XP_017759246.1
OG0000223	NP_524142.2, NP_524141.1	XP_017762663.1
OG0000224	NP_647862.1, NP_728942.1	XP_017765938.1
OG0000225	NP_536756.1	XP_017757175.1, XP_017757174.1, XP_017757173.1, XP_017766315.1
OG0000226	NP_001356958.1	XP_017766524.1
OG0000226	NP_611241.2	XP_017766628.1, XP_017766627.1
OG0000227	NP_001262022.1	XP_017753440.1, XP_017753439.1
OG0000229	NP_726223.1, NP_001303360.1, NP_001246468.1	XP_017752613.1
OG0000230	NP_001286852.1	XP_017766664.1, XP_017766665.1, XP_017766666.1
OG0000231	NP_650028.1, NP_650029.1, NP_001285882.1	XP_017757286.1
OG0000232	NP_001303567.1	XP_017760637.1, XP_017760638.1
OG0000233	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1	XP_017764854.1, XP_017764853.1, XP_017764855.1
OG0000234	NP_726740.1, NP_649880.1, NP_649881.1	XP_017761679.1, XP_017761675.1
OG0000235	NP_001261046.1	XP_017760227.1
OG0000236	NP_524368.5	XP_017758056.1
OG0000237	NP_523863.1	XP_017755467.1
OG0000237	NP_523862.1	XP_017755463.1
OG0000239	NP_733091.1, NP_611452.2, NP_001285793.1, NP_651369.1, NP_001027211.3, NP_001287526.1, NP_651371.1, NP_733121.1, NP_651372.1, NP_651370.2, NP_001262006.1, NP_001260130.1, NP_569859.1, NP_609015.2, NP_573269.1	XP_017766799.1
OG0000241	NP_001097059.1, NP_647821.2, NP_001285749.1	XP_017758632.1
OG0000243	NP_608584.1, NP_523761.2	XP_017763095.1, XP_017766909.1
OG0000244	NP_610117.1	XP_017759937.1
OG0000245	NP_476812.1, NP_610443.1, NP_524760.1	XP_017761178.1, XP_017755476.1
OG0000246	NP_724163.1	XP_017766874.1
OG0000246	NP_476592.1	XP_017766882.1
OG0000247	NP_651898.2, NP_001096949.1	XP_017758709.1
OG0000247	NP_649833.1, NP_648548.1	XP_017758708.1
OG0000248	NP_001137727.2	XP_017762294.1
OG0000249	NP_572996.1	XP_017759215.1, XP_017759214.1, XP_017759216.1, XP_017759219.1, XP_017759218.1, XP_017759217.1
OG0000250	NP_650508.1, NP_001285102.1	XP_017767365.1
OG0000252	NP_730950.2	XP_017759065.1, XP_017759064.1
OG0000253	NP_001162737.1	XP_017758167.1
OG0000253	NP_001263132.1	XP_017756999.1
OG0000254	NP_732295.1	XP_017755940.1
OG0000254	NP_001368946.1	XP_017757429.1
OG0000255	NP_001033900.2, NP_572436.1	XP_017763388.1
OG0000256	NP_732900.1	XP_017763260.1
OG0000257	NP_001262861.1	XP_017762887.1
OG0000257	NP_001287485.1	XP_017762885.1
OG0000259	NP_723538.3	XP_017760199.1
OG0000260	NP_001261383.1	XP_017761321.1, XP_017761870.1
OG0000261	NP_001286161.1, NP_610318.1, NP_610319.2	XP_017758628.1, XP_017758626.1, XP_017758627.1
OG0000263	NP_001285111.1	XP_017760362.1, XP_017760363.1, XP_017760364.1
OG0000264	NP_001033939.2	XP_017763058.1
OG0000264	NP_476735.1	XP_017760279.1
OG0000265	NP_649517.1, NP_650190.1	XP_017758651.1
OG0000266	NP_524387.1	XP_017752229.1
OG0000266	NP_001285202.1	XP_017753963.1
OG0000268	NP_001285901.1, NP_001262995.1	XP_017764685.1
OG0000269	NP_001284901.1	XP_017761057.1, XP_017759815.1
OG0000270	NP_001034048.2	XP_017763344.1, XP_017761334.1, XP_017761333.1
OG0000270	NP_001163596.2	XP_017763346.1
OG0000271	NP_001014620.1, NP_731788.1, NP_731790.1	XP_017757031.1
OG0000272	NP_995675.1	XP_017757070.1, XP_017761053.1
OG0000272	NP_001162795.1, NP_001356885.1	XP_017767088.1
OG0000273	NP_001097437.1	XP_017759692.1, XP_017767195.1
OG0000274	NP_001014485.3	XP_017761345.1
OG0000274	NP_001036681.1	XP_017757446.1
OG0000276	NP_649535.2	XP_017766286.1
OG0000277	NP_647800.1	XP_017761525.1, XP_017761523.1, XP_017761524.1
OG0000278	NP_612039.1, NP_647794.1	XP_017763984.1
OG0000279	NP_001137708.2, NP_001356890.1	XP_017766856.1
OG0000281	NP_001350861.1	XP_017766298.1
OG0000283	NP_001286595.1	XP_017758719.1
OG0000284	NP_727448.1	XP_017759685.1
OG0000284	NP_001259432.1	XP_017757405.1, XP_017762765.1
OG0000285	NP_001163186.1	XP_017766324.1
OG0000286	NP_729792.1	XP_017765196.1, XP_017765195.1, XP_017765197.1, XP_017765198.1
OG0000287	NP_001036660.1	XP_017764927.1, XP_017764926.1
OG0000287	NP_001260729.1	XP_017764925.1
OG0000288	NP_476934.2	XP_017767044.1
OG0000288	NP_001188784.1	XP_017761352.1
OG0000289	NP_001303316.1	XP_017765987.1, XP_017765989.1
OG0000291	NP_648883.1, NP_648882.1	XP_017756608.1
OG0000292	NP_612066.1	XP_017765489.1
OG0000293	NP_649119.2, NP_001262050.1	XP_017758690.1, XP_017758689.1
OG0000295	NP_611878.1	XP_017755677.1, XP_017755678.1, XP_017755679.1
OG0000296	NP_573076.1, NP_001096988.2	XP_017766587.1, XP_017766604.1, XP_017766595.1
OG0000297	NP_651265.1	XP_017763070.1
OG0000298	NP_650963.2	XP_017757484.1, XP_017757482.1, XP_017757483.1
OG0000300	NP_648000.1	XP_017755193.1
OG0000300	NP_001285398.1	XP_017759087.1
OG0000301	NP_572721.1	XP_017763305.1
OG0000301	NP_525031.1	XP_017755344.1
OG0000302	NP_001246314.1	XP_017756514.1
OG0000302	NP_730054.1	XP_017765394.1
OG0000303	NP_609514.1, NP_730670.1, NP_572924.1, NP_730671.1, NP_648026.1	XP_017764406.1
OG0000304	NP_788277.1	XP_017761260.1, XP_017761259.1
OG0000307	NP_650089.1	XP_017759960.1, XP_017759969.1
OG0000308	NP_001261704.1	XP_017758002.1
OG0000309	NP_651063.1	XP_017763310.1, XP_017763311.1, XP_017763312.1, XP_017763314.1, XP_017763313.1
OG0000310	NP_001286754.1	XP_017756405.1
OG0000311	NP_477380.1	XP_017755083.1
OG0000312	NP_001286891.1	XP_017756660.1
