Orthogroup	Drosophila_melanogaster	Bombyx_mori
OG0000091	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2	XP_037871523.1, NP_001037021.1, NP_001139714.1, XP_012547717.1, NP_001037305.1, XP_037874620.1
OG0000092	NP_001262592.1	NP_001040445.1
OG0000094	NP_001284983.1, NP_651446.2, NP_650069.2	XP_037867226.1
OG0000094	NP_651889.3, NP_001189331.1, NP_651891.2	XP_004932347.1, XP_004929868.2
OG0000096	NP_726022.1, NP_001246550.1	XP_004933352.2
OG0000097	NP_001286321.1	XP_012549126.1, NP_001037510.1
OG0000097	NP_524611.1	XP_012544532.1, XP_037871911.1, XP_004924657.1
OG0000098	NP_001260487.1	XP_037867250.1, XP_037867248.1, XP_037867247.1, XP_037867246.1, XP_037867249.1
OG0000099	NP_608954.1	XP_012551708.2
OG0000099	NP_001034071.1	XP_004933046.1
OG0000099	NP_651628.1	XP_037876655.1
OG0000101	NP_001015212.1	XP_037875936.1, NP_001037053.1, NP_001040462.1, XP_037875581.1
OG0000102	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2	XP_004925858.1, XP_037872752.1, XP_021205415.1, XP_004929095.1
OG0000102	NP_001188733.1	XP_021205209.1
OG0000103	NP_524206.1	XP_004927136.2
OG0000103	NP_001303368.1	XP_037869904.1
OG0000108	NP_648918.1	XP_004923866.1, XP_012545628.2, XP_037876582.1, XP_021203645.2, XP_021203646.2, XP_037876625.1, XP_037876626.1, XP_012551634.2, XP_004932336.1
OG0000109	NP_648392.1, NP_001245736.1	XP_021205885.1
OG0000110	NP_788521.2, NP_729246.2, NP_729014.1	XP_037872696.1, XP_037872695.1, XP_037872710.1, XP_037872709.1
OG0000111	NP_650264.1	XP_004927517.1
OG0000112	NP_001369123.1	NP_001240824.1, XP_012546717.1
OG0000113	NP_649688.1	XP_004929660.1
OG0000114	NP_572582.1, NP_651168.1, NP_524362.2, NP_001303421.1, NP_650380.2	XP_037876113.1, NP_001036844.1
OG0000114	NP_651784.2, NP_651821.3, NP_649734.2	XP_021205798.1
OG0000115	NP_001261040.1	NP_001037077.1, XP_012544300.1, NP_001036994.1
OG0000117	NP_001286115.1	NP_001040298.1
OG0000117	NP_001262809.1	NP_001233214.1, XP_012552766.1
OG0000120	NP_001260010.1, NP_001162947.1	XP_021207126.2
OG0000122	NP_610807.3	XP_037871005.1
OG0000123	NP_001259925.1	NP_001037614.1, XP_012548321.1
OG0000124	NP_001260435.1, NP_001245746.1	XP_037871306.1, XP_037871307.1, XP_021208751.2
OG0000125	NP_651172.1, NP_001097888.1	XP_004926881.1, XP_012546430.1, XP_012547144.2
OG0000126	NP_477498.1, NP_996167.1	XP_012549565.1, NP_001037319.1
OG0000127	NP_001261916.1	XP_012551315.1, NP_001037024.1
OG0000127	NP_477127.1	NP_001189458.1, XP_012551311.1
OG0000129	NP_001188842.2	XP_021203173.1
OG0000130	NP_723165.2	NP_001108469.1
OG0000130	NP_001014474.3	XP_012548931.3
OG0000131	NP_001259087.1	XP_004931759.1
OG0000131	NP_001097667.1	NP_001091755.1
OG0000132	NP_001245934.1, NP_001137808.1, NP_609121.2	NP_001164651.1, XP_037870176.1
OG0000132	NP_001245823.1, NP_724088.2, NP_724087.1	NP_001164650.1
OG0000133	NP_001368939.1	XP_021207866.1, XP_004932639.1
OG0000134	NP_001163401.1	XP_012543968.1
OG0000134	NP_572838.2, NP_609298.1	XP_004924013.1, XP_004924014.1, XP_012544046.1
OG0000134	NP_525003.2	XP_004928832.1, XP_012546210.1, XP_004926641.1, XP_004922069.2
OG0000134	NP_610678.1	XP_004923935.1
OG0000135	NP_001286904.1	NP_001166873.1, XP_037875522.1
OG0000135	NP_524655.1	NP_001108335.1
OG0000136	NP_611126.1, NP_611131.2, NP_001285647.1	XP_037876368.1
OG0000136	NP_001097337.1	XP_004927026.1
OG0000137	NP_727460.1, NP_611465.2	XP_037868770.1
OG0000138	NP_001036303.2	XP_037868949.1, XP_004925223.3
OG0000139	NP_651882.1	XP_021208530.2, XP_004922757.1, XP_004922758.1, XP_004927864.1
OG0000141	NP_001287037.1	XP_004931634.1
OG0000141	NP_724101.4	XP_021207972.2, XP_037866583.1
OG0000143	NP_001259687.1	XP_037870673.1, NP_001040254.1
OG0000144	NP_001287042.1, NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1	XP_021207362.2, NP_001243953.1, NP_001037590.1, XP_004931806.2, NP_001106747.2
OG0000145	NP_651930.2	XP_021209325.1, XP_037876916.1, XP_004923491.1
OG0000146	NP_648843.1	XP_037871222.1, XP_004922825.1
OG0000146	NP_572304.5	XP_021204999.1
OG0000147	NP_001245762.1	XP_004933126.1
OG0000149	NP_648425.1	XP_037875543.1
OG0000149	NP_647686.1	XP_004924927.1, XP_004924928.1
OG0000150	NP_001246198.1	XP_037869165.1, XP_037869166.1, XP_037869163.1, XP_037869164.1
OG0000151	NP_001287124.1	XP_037867739.1, XP_021208204.1, XP_021208205.1
OG0000152	NP_001260743.1	XP_021205393.1
OG0000153	NP_001097608.1	XP_004930976.1
OG0000153	NP_001261584.1	XP_037871508.1, XP_037871509.1, XP_037871510.1, XP_037871505.1
OG0000154	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1	XP_037873529.1
OG0000154	NP_649002.3, NP_608445.2	XP_037872810.1, XP_037872808.1, XP_037872811.1, XP_037872812.1, XP_012546915.1, XP_012546914.1
OG0000156	NP_647767.1	XP_021206155.2
OG0000157	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1	XP_037869375.1
OG0000158	NP_648354.1	XP_021204632.1
OG0000160	NP_649019.2	XP_004925382.2
OG0000160	NP_649428.1	XP_004925399.2, XP_004925398.1
OG0000161	NP_001261749.1, NP_788501.1	NP_001182393.1
OG0000162	NP_001097669.2	NP_001103389.1, XP_037868604.1
OG0000162	NP_001285015.1	NP_001103387.2, XP_037868602.1
OG0000162	NP_001262916.1	NP_001103388.1, XP_021203288.2
OG0000164	NP_647962.1	XP_021205850.1
OG0000164	NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1	XP_037875027.1, XP_037872511.1
OG0000165	NP_001245593.1	XP_012547188.1, XP_021204892.1
OG0000165	NP_001284986.1	XP_012551706.2
OG0000166	NP_001097498.1	XP_037868137.1
OG0000168	NP_996226.2	XP_037866971.1, XP_037876295.1, XP_037867009.1, XP_037872857.1
OG0000168	NP_001261500.1, NP_001261571.1, NP_001246162.1	XP_037873451.1
OG0000171	NP_001245931.1, NP_609310.2, NP_609309.1, NP_001260213.1, NP_609133.2, NP_610819.1, NP_648060.1	NP_001296478.1, XP_037876331.1, XP_037876328.1
OG0000173	NP_001247239.1	NP_001093316.1
OG0000174	NP_725682.2, NP_001286533.1, NP_611218.1	NP_001040490.1, XP_037874321.1
OG0000175	NP_001163218.1	NP_001040124.1
OG0000176	NP_649837.1	XP_004923611.2
OG0000177	NP_001261827.1	XP_004931030.1
OG0000177	NP_001261829.1	XP_004931031.2
OG0000177	NP_001261830.1	XP_004930870.1
OG0000178	NP_001356914.1	XP_037871996.1, XP_004924483.2
OG0000179	NP_523366.2, NP_648697.1	NP_001037301.1
OG0000180	NP_001027161.1	XP_004930542.1
OG0000182	NP_001163460.1	XP_037866789.1
OG0000183	NP_524074.1	XP_004930975.1
OG0000183	NP_001245996.1	XP_004930971.1
OG0000184	NP_995642.1, NP_523504.2, NP_001162633.1	XP_004932760.3
OG0000187	NP_001188856.1	XP_004929301.1
OG0000188	NP_524551.2, NP_476974.1	NP_001037050.1
OG0000189	NP_651982.1, NP_001036733.1, NP_001262788.1	XP_037875495.1, XP_037875337.1
OG0000189	NP_608557.4, NP_523485.3, NP_523484.2, NP_001036373.1	XP_037875292.1, XP_037875291.1
OG0000190	NP_732717.1	XP_004931167.1
OG0000191	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2	XP_037872497.1
OG0000191	NP_001246909.1, NP_477232.1, NP_648125.3	XP_037875388.1
OG0000192	NP_611994.3	XP_021207317.1
OG0000193	NP_572591.1, NP_727376.2, NP_649170.1, NP_609018.3, NP_001246376.1, NP_611641.6, NP_726164.1, NP_573254.1, NP_723894.2, NP_610396.2	XP_037877873.1, XP_021206153.2
OG0000196	NP_001261758.1	XP_012545232.2
OG0000196	NP_730938.1	XP_004929740.2, XP_021205898.2, XP_004929623.3, XP_021205897.2
OG0000197	NP_001287082.1	XP_012551294.2, XP_004932561.2, XP_037872840.1, XP_004931928.2, XP_004931927.1, XP_037868489.1
OG0000198	NP_611747.2	XP_037870155.1
OG0000200	NP_001262796.1	XP_012550244.1, NP_001036841.1
OG0000200	NP_001259616.1	NP_001036881.1
OG0000201	NP_649026.1	XP_004930370.2
OG0000201	NP_730973.1, NP_001262292.1, NP_649563.1, NP_730974.1	NP_001040155.1, NP_001040154.1
OG0000201	NP_569875.2	XP_012552516.1, XP_012552521.1, NP_001243997.1, XP_004922761.1, XP_004922760.1, XP_004922779.1, XP_004931809.1, XP_004928423.2, XP_004931849.1, XP_004931273.1
OG0000202	NP_001260674.1	NP_001281213.1
OG0000203	NP_001369023.1, NP_001287406.1, NP_650804.2, NP_650803.1	XP_004930258.2, XP_037876006.1
OG0000203	NP_648067.2	XP_037867417.1
OG0000204	NP_001188590.1	XP_012547643.2, XP_037873174.1, XP_021205107.1, XP_004928344.1, XP_012547605.1, XP_004928345.1, XP_037873267.1
OG0000205	NP_001097505.1	NP_001243944.1
OG0000206	NP_650893.2	XP_004924015.1
OG0000206	NP_001097707.1, NP_001287222.1	XP_004922930.2
OG0000207	NP_001286310.1, NP_001287091.1	NP_001037594.1
OG0000207	NP_001246139.1	NP_001091793.1
OG0000208	NP_001137606.1	XP_037869032.1, NP_001103395.1
OG0000209	NP_001163199.1	XP_037869646.1, XP_004932917.2, XP_037869645.1, XP_012551601.2, XP_012551602.2, XP_012551603.2
OG0000212	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1	XP_037869182.1, NP_001106228.1
OG0000213	NP_648589.1	XP_004922013.1
OG0000214	NP_001260290.1	NP_001040475.1
OG0000214	NP_001247324.1	NP_001040198.1, XP_037870587.1
OG0000215	NP_649139.1	XP_037866848.1, XP_004930044.1
OG0000216	NP_573003.2, NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1	NP_001108343.1
OG0000217	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1	XP_012548700.2, XP_004933855.2
OG0000218	NP_649086.2	XP_004930688.1
OG0000219	NP_610764.1	XP_004931785.1
OG0000221	NP_001036320.3	XP_037867521.1, XP_021207573.1, XP_021207493.1, XP_004922691.2, XP_012551723.1, XP_012551720.1, XP_004922638.1, XP_037871234.1, XP_037877580.1, XP_037872846.1, XP_037877505.1, XP_037872849.1, XP_037872848.1, XP_037877503.1, XP_037877504.1, XP_037877506.1, XP_037877501.1, XP_037877502.1, XP_037872850.1, XP_037877579.1, XP_037877510.1, XP_037877561.1, XP_037877562.1
OG0000223	NP_523986.2	NP_001128672.1, XP_012550372.1, NP_001036840.1
OG0000224	NP_647862.1, NP_728942.1	XP_012545493.1, NP_001036891.1
OG0000225	NP_536756.1	NP_001040252.1
OG0000226	NP_001356958.1	NP_001127711.1, XP_021204237.1
OG0000226	NP_611241.2	XP_037873831.1, NP_001127712.1
OG0000227	NP_001262022.1	XP_012550182.2, XP_004931163.3, XP_012550180.2
OG0000229	NP_001097421.2	XP_037877602.1, XP_037877539.1, XP_037877538.1, XP_037877357.1, XP_037877541.1, XP_004927940.4, XP_037877290.1, XP_037877291.1, XP_037877358.1, XP_037877552.1
OG0000229	NP_001033966.1	XP_004924526.1, XP_004928515.1
OG0000229	NP_726223.1, NP_001303360.1, NP_001246468.1	XP_004928517.1, XP_012547831.1
OG0000230	NP_001286852.1	XP_021208331.1, XP_004933333.1
OG0000231	NP_650028.1, NP_650029.1, NP_001285882.1	XP_037871854.1, XP_037877315.1
OG0000232	NP_001303567.1	XP_012546482.1, NP_001040472.1
OG0000233	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1	XP_004928912.1, XP_004928913.2
OG0000235	NP_001261046.1	XP_037877778.1, XP_012548383.2, XP_037877767.1, XP_037877779.1
OG0000237	NP_523863.1	XP_004931804.1
OG0000237	NP_523862.1	XP_037875185.1
OG0000241	NP_001285749.1	XP_012546361.1, XP_004929513.1, XP_004929472.2
OG0000244	NP_610117.1	XP_021202524.1
OG0000245	NP_476812.1, NP_610443.1, NP_524760.1	NP_001037534.1, XP_037872283.1, XP_012548212.3, NP_001037335.1, XP_037872125.1
OG0000246	NP_724163.1	XP_012549895.1, NP_001037174.1
OG0000246	NP_476592.1	XP_004931016.1
OG0000247	NP_649833.1, NP_648548.1	XP_021207883.2
OG0000248	NP_001137727.2	XP_012552972.1
OG0000249	NP_572996.1	NP_001138804.1, XP_012545064.1
OG0000249	NP_732904.2	NP_001040143.1
OG0000250	NP_650508.1, NP_001285102.1	XP_021206228.1, XP_004930144.1
OG0000251	NP_524526.1	XP_012550111.2
OG0000252	NP_730950.2	NP_001104796.1
OG0000253	NP_001162737.1	XP_021208580.1, NP_001037287.1
OG0000253	NP_001263132.1	NP_001037285.1
OG0000254	NP_732295.1	XP_004921802.3
OG0000254	NP_001368946.1	XP_004924523.1, XP_037876397.1
OG0000255	NP_001033900.2, NP_572436.1	XP_012543911.1, XP_012543887.2
OG0000256	NP_732900.1	NP_001093298.1, XP_037870495.1
OG0000257	NP_001262861.1	XP_012551257.1, XP_012551255.1
OG0000257	NP_001287485.1	XP_004932600.1
OG0000258	NP_725929.1, NP_725926.1	XP_037871409.1
OG0000258	NP_995903.1, NP_611442.1, NP_611445.1, NP_001286619.1	NP_001037500.1
OG0000259	NP_723538.3	XP_012548404.1
OG0000260	NP_001261383.1	XP_004929696.2, NP_001036839.1
OG0000261	NP_001286161.1, NP_610318.1, NP_610319.2	XP_004922950.1, NP_001303996.1
OG0000263	NP_001285111.1	XP_012549376.1, NP_001040274.1
OG0000264	NP_001033939.2	NP_001037358.2
OG0000264	NP_476735.1	XP_037875045.1, NP_001037084.1
OG0000265	NP_726038.1	NP_001138797.1
OG0000266	NP_524387.1	NP_001040464.1
OG0000266	NP_001285202.1	XP_012544346.1, NP_001037083.1
OG0000268	NP_001285901.1, NP_001262995.1	XP_021204157.1
OG0000269	NP_001284901.1	XP_004924161.2
OG0000270	NP_001163596.2	NP_001171666.1
OG0000271	NP_001014620.1	XP_037870196.1, NP_001036913.1
OG0000271	NP_731788.1, NP_731790.1	XP_021203229.1, NP_001036977.1
