Orthogroup	Drosophila_melanogaster	Aedes_aegypti
OG0000014	NP_001027290.1, NP_001027282.1, NP_001027369.1, NP_001027374.1, NP_001027379.1, NP_001027334.1, NP_001027286.1, NP_001027344.1, NP_001027349.1, NP_001027359.1, NP_001027354.1, NP_001027364.1, NP_001027329.1, NP_001027324.1, NP_001027319.1, NP_001027314.1, NP_001027384.1, NP_724341.1, NP_001027304.1, NP_001027309.1, NP_001027299.1, NP_001027295.1, NP_001027339.1	XP_021712835.1, XP_021712191.1, XP_021712166.1, XP_021706478.1, XP_021705014.1, XP_021712175.1, XP_021705015.1, XP_021711142.1, XP_021705288.1, XP_021712199.1, XP_021705824.1, XP_021712187.1, XP_021705024.1, XP_021712165.1, XP_021705025.1, XP_021711147.1, XP_021706543.1, XP_021711141.1, XP_021711145.1, XP_021706544.1, XP_021706545.1, XP_021712186.1, XP_021706546.1, XP_021712839.1, XP_021706549.1, XP_021711149.1, XP_021706554.1, XP_021711146.1, XP_021707481.1, XP_021712685.1, XP_021706569.1, XP_021712097.1, XP_021712027.1, XP_021708651.1, XP_021706552.1, XP_021711152.1, XP_021711139.1, XP_021706550.1, XP_021708655.1, XP_021711144.1, XP_021708656.1, XP_021712095.1, XP_021706560.1, XP_021711143.1, XP_021706563.1, XP_021712692.1, XP_021708754.1, XP_021711151.1, XP_021706553.1, XP_021712155.1, XP_021708646.1, XP_021711150.1, XP_021708807.1
OG0000017	NP_611325.2, NP_611326.1, NP_611327.1, NP_611328.1, NP_001286571.1, NP_611329.1, NP_725784.1, NP_001286570.1, NP_611323.1, NP_611324.1, NP_001246500.1, NP_001286575.1, NP_001188889.1	XP_021701980.1, XP_021701981.1, XP_001658752.1, XP_021701977.1, XP_021701978.1, XP_021701979.1, XP_001658750.1, XP_021701982.1, XP_021701973.1, XP_021701974.1, XP_021701975.1, XP_021701976.1, XP_001658753.1, XP_001658755.1
OG0000017	NP_001138040.1	XP_001658010.2
OG0000017	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1	XP_001658009.2, XP_021693938.1, XP_001658007.2
OG0000018	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1	XP_021697392.1, XP_021697390.1, XP_021697387.1, XP_021697388.1, XP_021697389.1, XP_021697393.1
OG0000018	NP_651678.1, NP_651679.2, NP_611571.2	XP_021693724.1, XP_021693725.1, XP_001662529.1, XP_021693721.1, XP_021693723.1, XP_021693720.1
OG0000018	NP_001247286.1	XP_021706781.1
OG0000019	NP_477331.1, NP_610138.4, NP_001286441.1, NP_650219.2	XP_001649991.2, XP_001662496.1
OG0000019	NP_001014548.1	XP_001663502.2, XP_001663504.2
OG0000019	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1	XP_001651730.2, XP_001662493.2, XP_001662497.2, XP_001662494.2, XP_021694070.1, XP_001662317.1, XP_001650036.2, XP_001662495.2
OG0000020	NP_001097100.1	XP_021703507.1, XP_021703506.1, XP_021703509.1, XP_001651414.2, XP_021703508.1
OG0000020	NP_001188701.2	XP_021700207.1, XP_021700205.1, XP_021700206.1, XP_021700209.1, XP_021700211.1, XP_021700210.1
OG0000020	NP_723828.1	XP_021703504.1
OG0000020	NP_001137799.1	XP_021700919.1
OG0000020	NP_723441.2	XP_001650147.2
OG0000020	NP_651649.1	XP_021705068.1
OG0000020	NP_001138225.1	XP_021703783.1
OG0000020	NP_001259218.1	XP_021699908.1
OG0000021	NP_648539.1	XP_001654997.1, XP_021710336.1, XP_021710335.1
OG0000021	NP_001263113.1, NP_651812.1	XP_021699404.1
OG0000021	NP_611262.1, NP_651761.2	XP_021713110.1, XP_001662165.1
OG0000022	NP_001027331.1, NP_001027351.1, NP_001027292.1	XP_021705017.1, XP_021705021.1, XP_021706527.1, XP_021706530.1, XP_021706531.1, XP_021706558.1, XP_021706529.1, XP_021706526.1, XP_021706571.1, XP_021706528.1, XP_021705296.1
OG0000022	NP_001027301.1, NP_001027341.1	XP_001656988.1, XP_021706565.1, XP_021706568.1
OG0000023	NP_001027291.1, NP_001027283.1, NP_001027287.1, NP_001027345.1, NP_001027350.1, NP_001027320.1, NP_001027360.1, NP_001027355.1, NP_001027370.1, NP_001027365.1, NP_001027330.1, NP_001027325.1, NP_001027380.1, NP_001027315.1, NP_724342.1, NP_001027385.1, NP_001027375.1, NP_001027300.1, NP_001027305.1, NP_001027310.1, NP_001027296.1, NP_001027340.1, NP_001027335.1	XP_021706557.1
OG0000024	NP_001287440.1, NP_572746.1, NP_788887.1, NP_001036311.2, NP_001036313.1, NP_572695.2, NP_648664.2, NP_608991.2	XP_001653943.1, XP_021708435.1, XP_011492953.2, XP_011492954.2, XP_001659308.2, XP_011492952.2, XP_001661001.2, XP_001661002.2, XP_011493633.2, XP_021711830.1, XP_001660615.1
OG0000024	NP_001262831.1	XP_001656527.2
OG0000026	NP_001014616.2	XP_021706420.1
OG0000026	NP_650080.3	XP_021706888.1, XP_021706889.1, XP_021706887.1, XP_021706890.1, XP_021706891.1
OG0000026	NP_001287332.1	XP_021708568.1, XP_021708571.1
OG0000026	NP_001163838.2	XP_021702583.1, XP_021702581.1, XP_021702582.1, XP_021702584.1
OG0000027	NP_001027302.1, NP_001027297.1, NP_001027293.1, NP_001027307.1, NP_001027342.1	XP_021706536.1
OG0000027	NP_001027337.1	XP_021706547.1, XP_021706542.1
OG0000027	NP_001027352.1, NP_001027357.1, NP_001027362.1, NP_001027382.1	XP_021705299.1, XP_021705297.1, XP_021706523.1
OG0000029	NP_647872.1	XP_001654720.1, XP_021711708.1, XP_021704638.1, XP_021712736.1, XP_001654721.1
OG0000029	NP_650813.2	XP_021693569.1, XP_001660358.1, XP_001657546.2, XP_001660353.1, XP_001660356.1, XP_001660354.2, XP_001660359.1, XP_001660349.1, XP_021693574.1, XP_001660357.1, XP_001650809.1
OG0000029	NP_647875.1	XP_021704637.1
OG0000029	NP_647873.2	XP_021704641.1, XP_021712735.1
OG0000030	NP_651652.2	XP_021696991.1, XP_001660265.2, XP_021696300.1, XP_001658217.2
OG0000032	NP_609175.2	XP_021702783.1
OG0000032	NP_611166.2	XP_021705631.1, XP_021705632.1, XP_021705633.1, XP_021705630.1
OG0000032	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1	XP_001652526.1, XP_021707253.1, XP_001652524.1, XP_001652523.2, XP_021707252.1, XP_001652525.1, XP_001652527.2, XP_001652528.2, XP_001652520.1
OG0000032	NP_651403.1	XP_021708318.1, XP_001662930.2, XP_021709531.1
OG0000033	NP_001285694.1	XP_021702767.1
OG0000035	NP_001285591.1	XP_001650274.2
OG0000035	NP_609909.1, NP_609911.1, NP_001246082.2	XP_001662128.2
OG0000035	NP_001246079.1	XP_021702436.1, XP_001660379.1, XP_021702428.1
OG0000035	NP_001036565.1, NP_001286734.1, NP_611563.1, NP_001097859.4	XP_021696237.1, XP_021696236.1
OG0000035	NP_651153.1, NP_651152.1, NP_651154.1, NP_001262470.1, NP_652619.1, NP_524313.2, NP_652623.2, NP_652622.3, NP_651866.1, NP_524314.2, NP_001097744.1, NP_652625.2, NP_652626.1, NP_001287281.1	XP_001663166.2, XP_001663167.2, XP_001663165.2, XP_001654498.2, XP_021699048.1, XP_021699049.1, XP_001654514.2, XP_021699050.1
OG0000037	NP_001137869.1	XP_021698957.1
OG0000037	NP_648209.1	XP_021698955.1
OG0000037	NP_001097547.1	XP_001655400.1
OG0000037	NP_649120.1	XP_001650182.1, XP_001659653.2, XP_001659654.2, XP_001659610.1, XP_001647747.1, XP_001659651.2
OG0000037	NP_649121.1	XP_001659656.2, XP_001659657.1
OG0000038	NP_476772.1, NP_524264.1	XP_001663407.1
OG0000038	NP_650674.1	XP_021707546.1, XP_021707545.1, XP_021707544.1, XP_021707542.1
OG0000038	NP_524009.2	XP_021698339.1, XP_021698338.1, XP_021704212.1
OG0000038	NP_524297.1	XP_021694449.1
OG0000040	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1	XP_021698609.1, XP_021698904.1, XP_001661388.1, XP_021698905.1
OG0000041	NP_523800.1, NP_001287314.1	XP_001649530.1
OG0000041	NP_001262200.1	XP_001659963.1
OG0000041	NP_477037.2	XP_001649531.1
OG0000042	NP_731781.1	XP_021693433.1
OG0000042	NP_001287604.1	XP_021711166.1
OG0000043	NP_001286870.1	XP_001660749.1
OG0000043	NP_524121.2	XP_001660753.1
OG0000043	NP_001286808.1	XP_001660785.1, XP_001660754.1, XP_001660774.1, XP_001660775.1, XP_021703266.1, XP_001660780.1, XP_001660777.1, XP_001660776.1, XP_001660779.1, XP_001660778.1, XP_001660781.1, XP_001660770.1, XP_001660773.1, XP_001660768.2, XP_021703264.1, XP_001660771.1, XP_001660767.1, XP_001660764.1, XP_001660769.1, XP_021703265.1, XP_001660763.1, XP_001660766.1, XP_001660765.1, XP_001660759.1, XP_001660760.1, XP_001660784.1, XP_001660762.1, XP_001660761.1
OG0000044	NP_732652.1, NP_001303538.1	XP_001662886.2, XP_021704584.1, XP_021704583.1, XP_021704585.1, XP_001658981.2, XP_001659766.2, XP_001662888.1, XP_021693815.1
OG0000044	NP_650979.1	XP_001662885.2
OG0000044	NP_732654.1, NP_732655.3	XP_001651479.2, XP_021712899.1, XP_021712941.1, XP_021712940.1
OG0000044	NP_651674.3	XP_021712943.1
OG0000044	NP_611781.3, NP_001356886.1, NP_648488.1, NP_572643.1, NP_572644.1, NP_001350853.2, NP_001263064.1, NP_001263065.1	XP_001661567.1, XP_001662326.1
OG0000045	NP_001188791.2, NP_609522.1	XP_001660907.2, XP_021707666.1, XP_001660908.1, XP_001660906.2
OG0000045	NP_476627.3	XP_001660189.2, XP_001649784.1
OG0000045	NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2	XP_001649787.1, XP_001649783.1, XP_001649786.1, XP_001649788.1, XP_001656785.2
OG0000046	NP_001285139.1	XP_021707218.1, XP_011493320.1, XP_021711730.1, XP_021711729.1, XP_021711733.1, XP_021711731.1
OG0000046	NP_524339.1	XP_021709388.1, XP_021709332.1
OG0000046	NP_524474.1, NP_650209.1, NP_788663.1, NP_524927.2, NP_731716.1, NP_731651.1, NP_524798.2	XP_021693655.1, XP_021693654.1, XP_021693653.1, XP_021693651.1, XP_021693652.1, XP_021693649.1
OG0000046	NP_001262586.1	XP_021707697.1
OG0000046	NP_524063.1	XP_021698547.1, XP_021698548.1
OG0000047	NP_652056.2	XP_021713287.1, XP_021713290.1, XP_021698064.1, XP_021698875.1, XP_021705066.1, XP_021697550.1
OG0000050	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1	XP_001654509.1, XP_011493543.2
OG0000052	NP_652665.3, NP_609664.1, NP_620115.2	XP_001653763.1
OG0000052	NP_725600.1	XP_021711564.1
OG0000053	NP_610793.1	XP_021695319.1, XP_021692971.1, XP_021711432.1
OG0000054	NP_523854.1, NP_001286953.1	XP_001655288.2
OG0000054	NP_477272.1, NP_652662.1, NP_477273.1, NP_788468.1, NP_477274.1, NP_524814.2, NP_788469.1, NP_001097523.1, NP_001261467.1, NP_477279.1, NP_001261466.1, NP_477280.1	XP_021702234.1
OG0000054	NP_477282.2, NP_729146.1, NP_729147.1	XP_001661677.2, XP_001657098.2, XP_001663703.1, XP_001663705.1, XP_001658209.1, XP_001658210.1, XP_001663706.1, XP_001663702.2
OG0000055	NP_001284925.1	XP_021695325.1, XP_021695326.1, XP_001650510.1, XP_021695322.1, XP_021695324.1, XP_021695323.1
OG0000055	NP_650904.3	XP_001654841.2
OG0000056	NP_001369131.1	XP_021702305.1
OG0000056	NP_647937.2	XP_021704129.1
OG0000056	NP_995958.2	XP_021704390.1
OG0000057	NP_524290.2	XP_021701591.1
OG0000057	NP_523842.2	XP_001656026.2
OG0000057	NP_729172.1	XP_001650054.1
OG0000057	NP_001163753.1	XP_001650331.1, XP_001650332.1
OG0000060	NP_650848.1	XP_001663993.2
OG0000060	NP_001163168.1	XP_021710092.1, XP_021710091.1, XP_001652667.1
OG0000061	NP_001097692.1	XP_021693614.1, XP_021693615.1, XP_021693616.1
OG0000061	NP_648605.1	XP_001664194.1, XP_001664195.2
OG0000061	NP_536732.1, NP_523675.1, NP_611234.1	XP_001661118.2
OG0000062	NP_001261156.1	XP_001661011.1, XP_001663492.1, XP_001663494.1, XP_001661010.2, XP_001663490.2, XP_001663495.1, XP_021698193.1, XP_001663497.1, XP_001663499.2
OG0000065	NP_524105.2, NP_001285777.1, NP_001027266.1, NP_001027272.1, NP_648885.1, NP_652673.2	XP_011493637.2, XP_011493079.2, XP_011493699.2, XP_021699125.1
OG0000067	NP_001284994.1	XP_001653435.1
OG0000067	NP_524243.2, NP_572330.2	XP_001654897.1
OG0000067	NP_001261491.1	XP_001653950.2, XP_001654592.2
OG0000068	NP_001245670.1	XP_021712444.1, XP_021694306.1
OG0000073	NP_001163428.1, NP_996064.1	XP_001655681.2
OG0000073	NP_649186.1	XP_021703552.1, XP_021705322.1
OG0000073	NP_001356902.1	XP_001647607.2, XP_001660197.2, XP_001653248.2, XP_001652848.2, XP_001655365.1, XP_001649820.2, XP_001657561.2, XP_001660201.2, XP_021699361.1, XP_021698326.1
OG0000074	NP_536776.2	XP_021707386.1
OG0000077	NP_001137778.2, NP_001259986.1	XP_001658180.2
OG0000077	NP_001015405.3	XP_001654967.2, XP_001654963.2, XP_021703368.1, XP_001659008.2
OG0000080	NP_001262255.1	XP_021693685.1
OG0000082	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2	XP_021710856.1, XP_021710857.1, XP_021710858.1, XP_021710859.1, XP_001657071.2, XP_021705242.1, XP_021705991.1, XP_001657061.2, XP_021707062.1
OG0000082	NP_609726.1	XP_021711080.1
OG0000084	NP_001097285.1	XP_001656586.1
OG0000084	NP_610774.3	XP_001656600.1
OG0000084	NP_648031.1	XP_001656587.2
OG0000085	NP_651221.1	XP_001657682.1, XP_021712292.1, XP_001657680.2, XP_021712303.1, XP_001657679.2, XP_021712327.1, XP_021693916.1, XP_021693917.1
OG0000086	NP_650254.1, NP_001246901.1, NP_001368950.1	XP_001658786.2
OG0000086	NP_001097766.1	XP_001658476.2, XP_001661765.2, XP_001658478.3, XP_001658781.1, XP_021696093.1, XP_021696094.1, XP_001661116.2, XP_001661117.2
OG0000087	NP_001261716.1	XP_001648461.1, XP_001648458.1
OG0000087	NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1	XP_001648460.2, XP_001648456.1, XP_001648457.1, XP_001648454.1
OG0000088	NP_476589.4	XP_021702205.1
OG0000089	NP_001162840.1, NP_001259800.1	XP_001654187.2
OG0000091	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2	XP_021699738.1
OG0000092	NP_001262592.1	XP_021707375.1, XP_021709998.1, XP_001655951.1
OG0000094	NP_001284983.1	XP_001651974.1
OG0000094	NP_651446.2	XP_001652484.1
OG0000094	NP_650069.2	XP_001656201.1
OG0000094	NP_651889.3, NP_001189331.1, NP_651891.2	XP_021704594.1
OG0000096	NP_726022.1	XP_001656233.2
OG0000096	NP_001246550.1	XP_021707618.1, XP_001662520.2, XP_021697666.1, XP_021697668.1, XP_021697665.1
OG0000096	NP_611542.2	XP_001663099.2, XP_021698426.1, XP_001663097.2
OG0000097	NP_001286321.1	XP_011493435.1
OG0000097	NP_524611.1	XP_021709275.1, XP_021709276.1, XP_011493325.1, XP_021709274.1
OG0000098	NP_001260487.1	XP_001660410.1
OG0000099	NP_608954.1	XP_021708064.1, XP_021708068.1, XP_021708072.1
OG0000099	NP_001034071.1	XP_001650952.2
OG0000099	NP_651628.1	XP_021710287.1
OG0000100	NP_001262908.1, NP_001262907.1	XP_001662579.2
OG0000101	NP_001286204.1, NP_610403.1, NP_609640.1	XP_001652481.1
OG0000101	NP_001285802.1	XP_021705368.1, XP_001655706.1, XP_021704385.1, XP_021706472.1
OG0000101	NP_001015212.1	XP_001655711.1
OG0000102	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2	XP_001654053.1, XP_021698700.1, XP_021698701.1, XP_021698703.1, XP_021698702.1, XP_021698704.1, XP_021698696.1, XP_021698697.1, XP_021698698.1, XP_021698699.1, XP_021698692.1, XP_021698693.1, XP_021698694.1, XP_001654056.2, XP_001654054.2
OG0000102	NP_001188733.1	XP_021700055.1
OG0000103	NP_524206.1	XP_021707710.1, XP_021707709.1
OG0000103	NP_001303368.1	XP_001661506.1
OG0000108	NP_648918.1	XP_001650340.2, XP_021698830.1, XP_001659854.2, XP_021694990.1, XP_021698831.1, XP_021698828.1
OG0000109	NP_648392.1, NP_001245736.1	XP_021709303.1
OG0000110	NP_788521.2, NP_729246.2, NP_729014.1	XP_021711612.1, XP_021711613.1
OG0000111	NP_650264.1	XP_021704753.1
OG0000112	NP_001369123.1	XP_021703753.1
OG0000113	NP_650037.2	XP_021706759.1
OG0000113	NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2	XP_021708730.1, XP_021699104.1, XP_021711742.1, XP_021704959.1, XP_001659002.1, XP_001664257.2, XP_001664258.1
OG0000113	NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1	XP_021712497.1, XP_001658997.1, XP_001659000.1, XP_001658999.1, XP_021712496.1, XP_001659001.1
OG0000113	NP_649688.1	XP_001659007.1
OG0000114	NP_572582.1, NP_651168.1, NP_524362.2, NP_001303421.1, NP_650380.2	XP_001650347.2, XP_001647864.2, XP_001647865.1, XP_001647870.2, XP_001650899.2, XP_001647873.3, XP_001647872.2, XP_001650301.1
OG0000114	NP_651784.2, NP_651821.3, NP_649734.2	XP_021711058.1, XP_021711014.1, XP_021711004.1
OG0000115	NP_001261040.1	XP_021711348.1
OG0000117	NP_001286115.1	XP_001658273.1
OG0000117	NP_001262809.1	XP_021708342.1, XP_021708343.1, XP_021708344.1, XP_021708345.1, XP_021708346.1
OG0000118	NP_611204.2	XP_021710468.1
OG0000120	NP_001260010.1, NP_001162947.1	XP_021702687.1
OG0000122	NP_001287102.1, NP_001163462.1, NP_649023.1	XP_001650409.1, XP_021711773.1
OG0000122	NP_610807.3	XP_021707885.1
OG0000123	NP_001259925.1	XP_001658691.1, XP_021703858.1, XP_021703857.1, XP_021703856.1, XP_021703860.1, XP_021703865.1, XP_021703863.1, XP_021703864.1, XP_021703861.1, XP_021703862.1, XP_021703859.1
OG0000124	NP_001260435.1, NP_001245746.1	XP_021693241.1, XP_021693242.1, XP_021693243.1, XP_021693244.1, XP_021693245.1, XP_021693246.1, XP_021693247.1, XP_021693248.1
OG0000125	NP_651172.1, NP_001097888.1	XP_001657204.2
OG0000126	NP_477498.1, NP_996167.1	XP_021694197.1
OG0000127	NP_001261916.1	XP_021695483.1, XP_021695480.1, XP_021695481.1, XP_021695484.1
OG0000127	NP_477127.1	XP_021705806.1, XP_021705807.1, XP_001657917.3
OG0000129	NP_001188842.2	XP_021700581.1, XP_021700580.1, XP_021700583.1, XP_001650044.1, XP_021700585.1, XP_021700582.1, XP_021700584.1
OG0000130	NP_723165.2	XP_021695251.1
OG0000130	NP_001014474.3	XP_021700367.1
OG0000131	NP_001259087.1	XP_021705306.1
OG0000131	NP_001097667.1	XP_021707624.1, XP_021707623.1, XP_021707625.1, XP_001652515.1
OG0000132	NP_001245934.1, NP_001137808.1, NP_609121.2	XP_001653225.3, XP_021709729.1, XP_021709728.1, XP_021709730.1, XP_021709732.1, XP_021709733.1, XP_021709734.1
OG0000132	NP_001245823.1, NP_724088.2, NP_724087.1	XP_021700410.1, XP_001660044.3, XP_001660042.3
OG0000133	NP_001368939.1	XP_021702724.1, XP_021702723.1
OG0000134	NP_572838.2, NP_609298.1	XP_001659678.1, XP_021709873.1
OG0000134	NP_525003.2	XP_001652277.1
OG0000134	NP_610678.1	XP_001660707.1, XP_021702138.1, XP_001654223.2, XP_001650418.1
OG0000135	NP_001286904.1	XP_021711278.1, XP_021711277.1, XP_001651832.2
OG0000135	NP_524655.1	XP_021697743.1, XP_021697742.1, XP_001649900.1, XP_021697746.1, XP_021697744.1, XP_021697745.1
OG0000136	NP_001097337.1	XP_021698234.1
OG0000137	NP_727460.1, NP_611465.2	XP_021710706.1, XP_021710707.1, XP_021710708.1, XP_021710709.1
OG0000138	NP_001036303.2	XP_021712084.1, XP_021694527.1
OG0000139	NP_651882.1	XP_001663072.2
OG0000141	NP_651471.2	XP_021706046.1
OG0000141	NP_724101.4	XP_001663030.2
OG0000144	NP_001287042.1	XP_001663963.2, XP_001661466.2, XP_001659531.1
OG0000144	NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1	XP_021708224.1, XP_001657247.2, XP_021709081.1, XP_021705010.1, XP_001658835.2
OG0000145	NP_651930.2	XP_001661017.2
OG0000146	NP_648843.1	XP_001662762.1
OG0000146	NP_572304.5	XP_021707130.1, XP_001649220.1
OG0000146	NP_610294.1	XP_001660580.2
OG0000147	NP_001245762.1	XP_021708848.1, XP_001659371.1
OG0000149	NP_648425.1	XP_021701465.1
OG0000149	NP_647686.1	XP_021701466.1, XP_021701469.1, XP_021701468.1, XP_021701472.1, XP_021701467.1
OG0000150	NP_001246198.1	XP_021698126.1, XP_021698125.1, XP_021698128.1, XP_021698127.1
OG0000151	NP_001287124.1	XP_021697798.1
OG0000152	NP_001260743.1	XP_001653160.1
OG0000153	NP_001097608.1	XP_021705481.1
OG0000153	NP_001261584.1	XP_021697591.1, XP_021697584.1, XP_021697583.1, XP_021697588.1, XP_021697587.1, XP_021697586.1, XP_021697585.1, XP_021697590.1, XP_021697589.1
OG0000154	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1	XP_001662815.2
OG0000154	NP_649002.3, NP_608445.2	XP_001654315.1, XP_021709760.1, XP_021709756.1, XP_021697249.1, XP_001662813.2, XP_021697250.1, XP_021697252.1, XP_021697253.1
OG0000156	NP_647767.1	XP_021696919.1, XP_021712121.1
OG0000157	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1	XP_001655764.1, XP_011493631.1, XP_001655766.1, XP_001655767.1, XP_021702729.1
OG0000158	NP_648354.1	XP_021696507.1, XP_021696509.1, XP_021698714.1
OG0000160	NP_001034016.1	XP_021709766.1
OG0000160	NP_649428.1	XP_021707900.1, XP_021710525.1, XP_001662274.1
OG0000161	NP_001261749.1, NP_788501.1	XP_001656119.2
OG0000162	NP_001097669.2	XP_021694432.1
OG0000162	NP_001285015.1	XP_021704010.1
OG0000162	NP_001262916.1	XP_021706951.1
OG0000164	NP_647962.1	XP_021698765.1
OG0000164	NP_001137966.2, NP_649013.3, NP_649012.2	XP_001654887.2, XP_021701278.1, XP_001654888.2
OG0000164	NP_001260346.1	XP_021697710.1, XP_021695328.1
OG0000165	NP_001245593.1	XP_021697212.1
OG0000165	NP_001284986.1	XP_021704115.1, XP_021704136.1, XP_021704202.1
OG0000166	NP_001097498.1	XP_021694247.1, XP_021704926.1, XP_021704934.1, XP_021704935.1
OG0000168	NP_996226.2	XP_021712003.1, XP_021699894.1
OG0000168	NP_001246162.1	XP_021705545.1
OG0000171	NP_609310.2, NP_609309.1	XP_001654890.1, XP_001654889.1, XP_001654886.2, XP_001656792.2
OG0000171	NP_001260213.1, NP_609133.2, NP_610819.1, NP_648060.1	XP_001653329.2, XP_001653331.1, XP_001653330.2, XP_001653328.2
OG0000173	NP_001247239.1	XP_021694163.1, XP_001649426.1
OG0000174	NP_001286533.1, NP_611218.1	XP_021704325.1, XP_021704326.1
OG0000175	NP_001163218.1	XP_001654240.1
OG0000177	NP_001261827.1	XP_001651644.2
OG0000177	NP_001261829.1	XP_021707471.1, XP_021707472.1
OG0000177	NP_001261830.1	XP_001651645.1
OG0000178	NP_001356914.1	XP_021707000.1, XP_021706999.1
OG0000179	NP_523366.2, NP_648697.1	XP_001655662.1, XP_021712235.1
OG0000180	NP_001027161.1	XP_001654382.1, XP_001654381.1, XP_021693530.1, XP_021693529.1
OG0000183	NP_001287555.1	XP_001655456.2
OG0000183	NP_524074.1	XP_021704629.1, XP_021704627.1
OG0000183	NP_001245996.1	XP_021693217.1, XP_021693215.1, XP_021693216.1
OG0000184	NP_995642.1, NP_523504.2	XP_001655087.1, XP_011493580.2
