Orthogroup	Drosophila_melanogaster	Nasonia_vitripennis
OG0000021	NP_648539.1	XP_032452884.1, XP_016845846.1, XP_001607795.1
OG0000021	NP_001263113.1, NP_651812.1, NP_001189282.1	XP_001603725.1
OG0000021	NP_611262.1, NP_651761.2	XP_001601834.2
OG0000021	NP_650482.1, NP_732032.1	XP_008201868.1
OG0000022	NP_001027366.1, NP_001027371.1, NP_001027376.1	XP_016836664.1, XP_031778026.1, XP_001607891.1, XP_001599199.1, XP_001599641.1, XP_001607931.1, XP_001608227.1, XP_031778029.1, XP_031778028.1, XP_031787981.1, XP_031787980.1, XP_001599883.1, XP_001603712.1, XP_001607947.1, XP_001607826.1, XP_032456654.1, XP_008202870.1, XP_001607717.1, XP_016843625.1, XP_001606447.1, XP_001600014.1
OG0000024	NP_001287440.1, NP_572746.1, NP_788887.1, NP_001036311.2, NP_001036313.1, NP_572695.2, NP_648664.2, NP_608991.2, NP_001262831.1	XP_003425961.1, XP_016838044.1, XP_001606051.1, XP_001599715.1, XP_001599851.1, XP_001606577.2, XP_001604918.1, XP_001604981.1, XP_008209485.1, XP_008209484.1, XP_001600270.1
OG0000026	NP_729591.1, NP_001287018.1	XP_032452024.1
OG0000026	NP_001014616.2	XP_008204831.1
OG0000026	NP_001163838.2	XP_008210347.1, XP_016840213.1, XP_016840212.1, XP_031782078.1, XP_031782077.1, XP_031782079.1
OG0000026	NP_001285239.1	XP_001599637.2, XP_001599666.2
OG0000027	NP_001027312.1, NP_001027302.1, NP_001027297.1, NP_001027293.1, NP_001027307.1, NP_001027342.1	XP_001599220.1
OG0000027	NP_001027317.1	XP_003424595.1
OG0000027	NP_001027337.1	XP_031787587.1
OG0000027	NP_001027352.1, NP_001027357.1, NP_001027362.1, NP_001027382.1	XP_001600560.1, XP_031785593.1, XP_031785592.1
OG0000027	NP_001027288.1	XP_001599230.1
OG0000027	NP_001027347.1	XP_031778035.1
OG0000029	NP_647872.1, NP_650813.2	XP_031787434.1, NP_001166269.1, NP_001166268.1, NP_001166270.1, NP_001166276.1, NP_001166277.1, XP_032455898.1, NP_001153407.1, NP_001161335.1
OG0000029	NP_647875.1, NP_647873.2	NP_001166275.1, NP_001161319.1, NP_001166272.1
OG0000032	NP_609175.2	XP_016838416.1
OG0000032	NP_001285067.1	XP_001600583.1, XP_001605911.2
OG0000032	NP_611166.2	XP_031787250.1
OG0000032	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1, NP_651403.1	XP_001608012.1, NP_001164368.1, XP_003426142.1, XP_016840393.1, NP_001164369.1
OG0000033	NP_001036361.1	XP_032457470.1, XP_008211300.1, XP_032453421.1
OG0000035	NP_001285591.1, NP_609909.1, NP_609911.1, NP_001246082.2	XP_016838618.1, XP_032453168.1, XP_031780251.1, XP_008204964.1
OG0000037	NP_001137869.1, NP_648209.1, NP_001262052.1, NP_001261293.1, NP_001097547.1, NP_649120.1, NP_649121.1	XP_008216622.1, XP_008216623.1
OG0000038	NP_476772.1, NP_524264.1	XP_001607699.1, XP_001604160.1
OG0000040	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1	XP_001607871.2, XP_031788471.1, XP_031783595.1, XP_032452313.1, XP_032456102.1, XP_016837475.1, XP_016836866.1, NP_001166253.1, XP_032457056.1, NP_001166073.1, NP_001166069.1, XP_016838948.1, NP_001166068.1, XP_016838625.2, XP_001605658.3, XP_031779738.1, XP_032453050.1, NP_001166054.1, XP_016837013.1
OG0000041	NP_523625.1, NP_001014725.1	XP_032453601.1, NP_001157191.1, NP_001157192.1
OG0000041	NP_001262200.1	XP_001601342.1
OG0000041	NP_477037.2	XP_001601504.1, XP_016845814.1
OG0000042	NP_731781.1	XP_008205137.1, XP_008205135.1, XP_008205136.1
OG0000042	NP_001287604.1	XP_008205676.1, XP_001602540.1
OG0000042	NP_651966.2, NP_650201.1, NP_652731.1	XP_003425691.1, XP_032453872.1, XP_032453871.1, XP_031783785.1, XP_031783782.1, XP_031783784.1, XP_031783783.1
OG0000043	NP_001286870.1	XP_008208463.1
OG0000044	NP_732652.1, NP_001303538.1, NP_650979.1	XP_031787739.1
OG0000044	NP_732654.1, NP_732655.3	XP_001602131.2
OG0000044	NP_651674.3	XP_031788192.1
OG0000045	NP_001188791.2, NP_609522.1, NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2	XP_001604688.1, XP_001604507.3, XP_001604459.1, NP_001153339.1, NP_001153340.1, XP_001604662.2
OG0000046	NP_001285139.1	XP_001604460.2
OG0000046	NP_524474.1, NP_650209.1, NP_788663.1, NP_524927.2, NP_731716.1, NP_731651.1, NP_524798.2	XP_001599773.3, XP_031779567.1, XP_001604951.2
OG0000046	NP_001262586.1	XP_032452163.1, NP_001166228.1, XP_001608044.1
OG0000050	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1, NP_001287487.1	NP_001165950.1, XP_003427743.2, XP_001602331.2, NP_001165951.1, XP_032455970.1, NP_001165962.1, NP_001165960.1, NP_001165958.1, NP_001165947.1, XP_008212266.2, XP_008216259.1, XP_001608200.1
OG0000052	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2	XP_001607313.2, XP_031779680.1, XP_016838631.1
OG0000052	NP_652665.3, NP_609664.1, NP_620115.2	XP_031779622.1, XP_003428054.1, XP_031776989.1, XP_001601084.2, XP_001602124.1, XP_016837116.1, XP_001602148.2, XP_001600160.2, XP_016838653.2, XP_008207931.1, XP_001602097.1, XP_031778518.1, XP_032452509.1, XP_016838309.1, XP_031778517.1, XP_031778516.1, XP_001600185.1, XP_001602071.1
OG0000052	NP_725600.1	XP_001602874.2
OG0000054	NP_477282.2, NP_729146.1, NP_729147.1	XP_016837121.1, XP_001602743.1, NP_001161317.1, XP_031780215.1, XP_031780249.1, XP_001602894.2
OG0000055	NP_001284925.1	XP_001602853.1
OG0000055	NP_650904.3	XP_008215920.1
OG0000055	NP_609815.1	XP_032454549.1
OG0000055	NP_001246914.1	XP_001600035.1, XP_008208159.3
OG0000056	NP_001369131.1	XP_031780252.1, XP_001604931.2
OG0000056	NP_647937.2	XP_008202999.3
OG0000056	NP_995958.2	XP_031784842.1
OG0000057	NP_524290.2	XP_001602360.1
OG0000057	NP_523842.2	XP_003427519.1
OG0000057	NP_729172.1	XP_001600234.1, XP_001606290.1
OG0000060	NP_650848.1	XP_031784439.1, XP_031784422.1, XP_031784431.1
OG0000060	NP_001163168.1	XP_008205703.1, XP_016845553.1, XP_016845554.1, XP_016845551.1, XP_016845552.1
OG0000061	NP_001097692.1	XP_031786737.1, NP_001164380.1
OG0000065	NP_524105.2, NP_001285777.1, NP_001027266.1, NP_001027272.1, NP_648885.1, NP_652673.2	XP_001605553.3, XP_032454719.1, XP_032453000.1, XP_008205745.1, XP_031776818.1, XP_001607018.2
OG0000066	NP_610976.1	XP_031784236.1, XP_031781387.2, XP_016843120.1, XP_031784228.1
OG0000067	NP_001284994.1	XP_001605420.2
OG0000067	NP_524243.2, NP_572330.2	XP_031788440.1
OG0000067	NP_001261491.1	XP_031782248.1
OG0000072	NP_663311.1	XP_008213440.1
OG0000077	NP_001137778.2, NP_001259986.1	XP_003423914.1
OG0000077	NP_001015405.3	XP_001605700.1, XP_008203901.1
OG0000080	NP_001262255.1	XP_016838697.1, XP_001600017.1
OG0000080	NP_001262254.1	XP_016838620.1
OG0000082	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2, NP_609726.1, NP_572219.1	XP_016845753.1, XP_003427814.1
OG0000085	NP_651221.1	XP_008205560.1, XP_032455585.1, XP_001604903.1, XP_031785409.1
OG0000086	NP_651662.1, NP_651661.1, NP_001287578.1, NP_611736.1, NP_001033953.1	XP_031786740.1, NP_001166061.1
OG0000086	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1	XP_008218019.2
OG0000087	NP_001261716.1	NP_001153410.1, NP_001153411.1
OG0000087	NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1	XP_001603938.2, XP_003425364.1, XP_001604204.2
OG0000089	NP_001162840.1, NP_001259800.1	XP_016843743.1
OG0000091	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2	XP_016842346.1, XP_016842349.1, XP_001606111.2, XP_016842348.1, XP_001606152.2
OG0000092	NP_001262592.1	NP_001153343.1, XP_016843499.1, XP_001599003.1
OG0000094	NP_001284983.1, NP_651446.2, NP_650069.2	XP_001605100.1
OG0000094	NP_651889.3, NP_001189331.1, NP_651891.2	XP_001600571.1
OG0000096	NP_726022.1, NP_001246550.1	XP_008209422.1
OG0000096	NP_611542.2	XP_031777519.1, NP_001128139.2, XP_001600140.2, XP_008210082.1, XP_032454795.1, XP_008210079.1
OG0000097	NP_524611.1	XP_001600781.1, NP_001166227.1, XP_008208182.1
OG0000098	NP_001260487.1	XP_032454809.1, XP_032454803.1, XP_032454802.1, XP_032454801.1, XP_032454800.1, XP_032454805.1, XP_031786230.1, XP_016843896.1, XP_032454811.1, XP_032454806.1, XP_001603053.2, XP_032454810.1, XP_032454799.1, XP_032454808.1, XP_032454807.1
OG0000099	NP_608954.1	XP_008207065.2
OG0000099	NP_651628.1	XP_031785392.1
OG0000100	NP_001262908.1, NP_001262907.1	XP_008215741.1, XP_008215742.1, XP_031787872.1, XP_032457061.1, XP_016844119.1
OG0000101	NP_001286204.1, NP_610403.1, NP_609640.1	XP_016842653.2
OG0000101	NP_001285802.1, NP_001015212.1	XP_001603117.1, NP_001166254.1, XP_008211083.1, NP_001155060.1
OG0000102	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2	XP_031786135.1, XP_001605390.2, XP_008216939.1, XP_008216934.1, XP_031786805.1
OG0000108	NP_648918.1	XP_001600108.2, NP_001136332.1, XP_031777794.1, XP_008213502.1, XP_016842778.1
OG0000109	NP_648392.1, NP_001245736.1	XP_031780775.1, XP_032452756.1, XP_008217859.1, XP_008217864.1, XP_016837633.1
OG0000110	NP_788521.2, NP_729246.2, NP_729014.1	XP_008201867.1
OG0000111	NP_650264.1	XP_001605587.3
OG0000112	NP_001369123.1	XP_031780635.1
OG0000113	NP_650037.2, NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2, NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1, NP_649688.1	XP_031785048.1, XP_001599906.1, XP_008208626.1, XP_001603394.1, XP_008204873.1, XP_001603447.1
OG0000114	NP_572582.1, NP_651168.1, NP_524362.2, NP_001303421.1, NP_650380.2	XP_031785569.1, NP_001155077.1
OG0000115	NP_001261040.1	NP_001165922.1, NP_001165921.1, NP_001165923.1, NP_001165920.1, XP_008203102.1, XP_008203103.1, XP_032452848.1, XP_032457577.1, NP_001165924.1, NP_001165919.1, NP_001165918.1
OG0000117	NP_001286115.1	XP_003424885.1
OG0000117	NP_001262809.1	XP_016845279.1, XP_003428202.1, XP_008214870.1
OG0000122	NP_001287102.1, NP_001163462.1, NP_649023.1	XP_001604760.1
OG0000123	NP_001259925.1	XP_032452434.1, XP_001602993.1
OG0000124	NP_001260435.1, NP_001245746.1	XP_031781470.1
OG0000125	NP_651172.1, NP_001097888.1	XP_008201883.2, XP_031781412.1, XP_031788436.1, XP_031788437.1
OG0000126	NP_477498.1, NP_996167.1	XP_031784298.1, NP_001161164.1
OG0000127	NP_001261916.1	XP_031782271.1, XP_031782270.1
OG0000127	NP_477127.1	XP_001606042.2
OG0000129	NP_001188842.2	XP_032454413.1, XP_016839449.1
OG0000130	NP_001014474.3	XP_031776696.1
OG0000131	NP_001259087.1	NP_001153335.1, XP_032458192.1
OG0000131	NP_001097667.1	XP_031781148.1, XP_032457466.1, XP_001599092.1, XP_032457465.1
OG0000132	NP_001245934.1, NP_001137808.1, NP_609121.2	XP_031780045.1, XP_032453407.1
OG0000132	NP_001245823.1, NP_724088.2, NP_724087.1	XP_016837749.1
OG0000133	NP_001368939.1	XP_031778739.1, XP_031778741.1, XP_008208013.1, XP_031778740.1
OG0000135	NP_001286904.1	XP_001603371.1
OG0000136	NP_611126.1, NP_611131.2, NP_001285647.1, NP_001097337.1	XP_008208307.1
OG0000137	NP_727460.1, NP_611465.2	XP_016841737.2
OG0000138	NP_001036303.2	XP_031787653.1, XP_001605659.1
OG0000139	NP_651882.1	XP_031783357.1, XP_001606341.1, XP_016838561.1, XP_001602751.1, XP_008204858.1, XP_032452316.1, XP_032452315.1, XP_008216641.1
OG0000141	NP_001287037.1	XP_032458118.1, XP_032458115.1, XP_032458114.1, XP_031789200.1
OG0000143	NP_001259687.1	XP_008203875.1, XP_003425736.1, XP_001605275.2, XP_032454553.1
OG0000144	NP_001287042.1, NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1	XP_001600430.1, XP_031777854.1, XP_016839327.2, NP_001153417.1, XP_032453317.1, XP_032453316.1, NP_001164332.1
OG0000145	NP_651930.2	XP_001607062.1, XP_001602428.1
OG0000146	NP_648843.1	XP_016840249.1
OG0000146	NP_610294.1	XP_032452549.1, XP_001602324.1
OG0000147	NP_001245762.1	XP_001600440.1, XP_001602387.1
OG0000149	NP_648425.1	XP_001606233.2
OG0000149	NP_647686.1	XP_016840414.1, XP_008211722.2
OG0000150	NP_001246198.1	XP_031781028.1, XP_031781038.1, XP_032457432.1
OG0000151	NP_001287124.1	XP_003426709.1
OG0000152	NP_001260743.1	XP_003425682.1, XP_032454103.1, XP_016839188.1, XP_008203561.1, XP_008203562.1, XP_032454105.1, XP_032454104.1, XP_032454106.1, XP_008203564.1, XP_008203563.1
OG0000153	NP_001261584.1	XP_031778705.1, XP_031778704.1, XP_031778706.1
OG0000154	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1	XP_008203624.1, XP_008205027.1, XP_031788668.1, XP_008203596.1
OG0000156	NP_647767.1	XP_031782954.1, XP_031782971.1, XP_032457184.1, XP_031782949.1, XP_031782945.1
OG0000157	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1	NP_001166055.1, NP_001166050.1, XP_031777515.1, NP_001166083.1, NP_001166080.1, XP_031776689.1, NP_001166084.1, NP_001166081.1, NP_001155076.1, XP_031781530.1, XP_032456198.1, XP_031788611.1
OG0000158	NP_648354.1	NP_001166006.1, NP_001166005.1, XP_003426453.2, XP_016840739.1, XP_031785765.1, XP_016840738.1
OG0000160	NP_001034016.1, NP_649019.2	XP_008204617.1
OG0000160	NP_649428.1	XP_003424871.1, XP_003424872.1
OG0000161	NP_001261749.1, NP_788501.1	XP_001599809.1, XP_016839500.1, XP_001605936.1, NP_001165968.1, XP_001603114.1, XP_031779032.1, NP_001165966.1, NP_001165965.1, XP_001602765.2, XP_031779585.1
OG0000162	NP_001097669.2	NP_001234904.1, XP_031787426.1
OG0000162	NP_001285015.1	XP_008205092.1, NP_001234892.1
OG0000162	NP_001262916.1	XP_031789332.1, NP_001234893.1
OG0000164	NP_647962.1	XP_016843433.1, XP_031785500.1
OG0000164	NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1	XP_031777945.1, XP_016843278.1, XP_031780582.1, XP_031777892.1, XP_031777902.1, XP_031780583.1
OG0000165	NP_001284986.1	XP_008211085.1
OG0000166	NP_001097498.1	XP_032458153.1, XP_031777661.1, XP_031777675.1, XP_032458168.1
OG0000168	NP_996226.2	XP_008207992.2
OG0000168	NP_001261500.1	XP_031785658.1
OG0000171	NP_609310.2, NP_609309.1	XP_016838928.1, XP_001608062.2, XP_031780002.1
OG0000173	NP_001247239.1	XP_031787440.1, NP_001153423.1, NP_001153422.1
OG0000174	NP_725682.2, NP_001286533.1, NP_611218.1	XP_001600210.1
OG0000177	NP_001261827.1	XP_001606472.1
OG0000177	NP_001261829.1	XP_008210134.1
OG0000177	NP_001261830.1	XP_003427240.1
OG0000178	NP_001356914.1	XP_031787092.1
OG0000179	NP_523366.2, NP_648697.1	XP_032451900.1, XP_001607038.1, XP_032451901.1
OG0000180	NP_001027161.1	XP_008206406.1, XP_001606981.2
OG0000182	NP_001163460.1	XP_001601987.2, XP_016841479.1, XP_016841478.1, XP_031787113.1, XP_031787104.1, XP_031787105.1, XP_031787106.1, XP_031787109.1, XP_031787110.1, XP_031787111.1, XP_031787112.1, XP_008205687.1, XP_008205678.1, XP_031787103.1
OG0000183	NP_001287555.1	XP_003426002.1, XP_008204775.1, XP_008204776.1, XP_008204778.1
OG0000183	NP_524074.1	XP_001603387.1
OG0000184	NP_995642.1, NP_523504.2, NP_001162633.1	NP_001177442.1, XP_031786125.1, NP_001177456.1, NP_001177454.1, NP_001177455.1, NP_001177445.1, NP_001177448.1, NP_001177447.1, XP_031786129.1, NP_001177452.1, NP_001177453.1, NP_001177446.1, XP_032454720.1, NP_001177450.1, NP_001164388.1, NP_001177421.1, NP_001177422.1, XP_016845192.1, NP_001177460.1, NP_001177457.1, NP_001177449.1, NP_001177451.1, NP_001164464.1, NP_001177642.1, XP_031786111.1, NP_001177697.1, NP_001177444.1, NP_001177458.1, NP_001177459.1, NP_001177443.1, NP_001177441.1
OG0000185	NP_001259439.1	XP_008202977.1
OG0000186	NP_573320.1	XP_008214191.1, NP_001165994.1
OG0000187	NP_001188856.1	XP_016840762.1, XP_032455395.1, XP_032455396.1, XP_032455397.1, XP_008211394.1, XP_008211389.1, XP_031785200.1
OG0000188	NP_524551.2, NP_476974.1	XP_001604859.1, XP_008211609.1
OG0000189	NP_651982.1, NP_001036733.1, NP_001262788.1	XP_016838483.1, XP_031781823.1
OG0000189	NP_608557.4, NP_523485.3, NP_523484.2, NP_001036373.1	XP_031781874.1
OG0000190	NP_732717.1	XP_008201771.1, XP_032456089.1, XP_032456090.1, XP_032456086.1, XP_001605005.1, XP_032456093.1, XP_032456091.1, XP_032456092.1, XP_032456087.1, XP_032456088.1, XP_001604983.1, XP_003425264.1, XP_008201772.1, XP_032456085.1, XP_008201769.1, XP_032456082.1, XP_032456084.1, XP_032456083.1, XP_008201770.1
OG0000191	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2, NP_001246909.1, NP_477232.1, NP_648125.3	XP_008207212.2
OG0000192	NP_611994.3	XP_031780067.1, XP_031780066.1
OG0000194	NP_648207.1	NP_001166262.1
OG0000196	NP_001261758.1	XP_003423952.1, XP_008215430.1
OG0000196	NP_730938.1	XP_008215207.1
OG0000197	NP_001287082.1	XP_016837276.1, XP_016837275.1, NP_001155183.1, XP_016837279.1, XP_016837277.1, XP_032452047.1, XP_031777742.1, XP_031777741.1, XP_031777743.1
OG0000198	NP_611747.2	XP_008213258.1
OG0000200	NP_001262796.1	XP_001601256.2
OG0000200	NP_001259616.1	NP_001153462.1
OG0000201	NP_649026.1	XP_001606137.1
OG0000201	NP_730973.1, NP_001262292.1, NP_649563.1, NP_730974.1, NP_569875.2	XP_001607558.2
OG0000202	NP_001260674.1	XP_031788443.1, XP_031788445.1
OG0000203	NP_001369023.1, NP_001287406.1, NP_650804.2, NP_650803.1	XP_001608051.1
OG0000203	NP_648067.2	XP_032452106.1, XP_031779307.1
OG0000204	NP_001188590.1	XP_016841715.1, XP_031788586.1, XP_016841716.1
OG0000205	NP_001097505.1	XP_031784084.1
OG0000207	NP_001286310.1, NP_001287091.1	XP_001605874.1
OG0000207	NP_001246139.1	XP_031780977.1, XP_031779878.1, XP_031781051.1
OG0000208	NP_001137606.1	XP_031781008.1
OG0000209	NP_001163199.1	XP_032456886.1
OG0000212	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1	XP_001603421.1, XP_001601231.2
OG0000213	NP_648589.1	XP_003427028.1, XP_001605473.1, XP_032456240.1
OG0000214	NP_001260290.1	XP_032457643.1, XP_032457642.1, XP_031781552.1, XP_031781551.1
OG0000214	NP_001247324.1	XP_032455627.1, XP_031784508.1
OG0000215	NP_649139.1	XP_016843751.2, XP_016843750.2, XP_016843749.2, XP_031788092.1, XP_032456457.1, XP_001603599.4
OG0000216	NP_524598.1	XP_001603476.3
OG0000217	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1	XP_032453386.1, XP_001605149.3, XP_031780038.1, XP_001599171.3, XP_032451628.1
OG0000218	NP_649086.2	XP_008207040.1, XP_008207042.1, XP_008207041.1
OG0000219	NP_610764.1	XP_032452539.1
OG0000220	NP_650528.1	XP_008206095.1, XP_008206096.1, XP_008206094.1, XP_016843252.1, XP_008206097.1, XP_001604656.1
OG0000221	NP_001036320.3	XP_001607468.1
OG0000223	NP_523986.2	NP_001155149.1, XP_008213618.1
OG0000223	NP_524142.2, NP_524141.1	XP_031785562.1
OG0000224	NP_647862.1, NP_728942.1	NP_001166091.1, XP_016836998.2, XP_032452314.1, XP_031780168.1, XP_016838644.1, XP_032453420.1, XP_031780156.1
OG0000225	NP_536756.1	XP_001602931.1, XP_031781485.1, XP_032457609.1, XP_031777410.1
OG0000226	NP_001356958.1	XP_016844695.1
OG0000226	NP_611241.2	XP_016845008.1
OG0000229	NP_726223.1, NP_001303360.1, NP_001246468.1	XP_008215504.1
OG0000230	NP_001286852.1	XP_003424711.1
OG0000231	NP_650028.1, NP_650029.1, NP_001285882.1	XP_001602920.1
OG0000232	NP_001303567.1	XP_031788753.1
OG0000233	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1	XP_008216033.1, XP_016836863.1, XP_003423899.1, XP_031777023.1
OG0000234	NP_726740.1, NP_649880.1, NP_649881.1	XP_031780756.1, NP_001166090.1, NP_001166255.1, NP_001166089.1, NP_001166062.1, XP_003426198.1, XP_003426213.1, XP_003426199.1
OG0000235	NP_001261046.1	XP_031779029.1, XP_031779025.1, XP_031779027.1
OG0000236	NP_524368.5	XP_031785405.1
OG0000237	NP_723721.1, NP_523863.1, NP_523862.1	XP_008203240.1
OG0000239	NP_733091.1, NP_611452.2, NP_001285793.1, NP_651369.1, NP_001027211.3, NP_001287526.1, NP_651371.1, NP_733121.1, NP_651372.1, NP_651370.2, NP_001262006.1, NP_001260130.1, NP_569859.1, NP_609015.2, NP_573269.1	XP_031785698.1
OG0000241	NP_001097059.1, NP_647821.2, NP_001285749.1	XP_001599078.1, XP_031784889.1
OG0000243	NP_608584.1, NP_523761.2	XP_001605952.2
OG0000244	NP_610117.1	XP_031781211.1, XP_008214562.1, XP_008214563.1, XP_032457510.1, XP_031781210.1
OG0000245	NP_476812.1, NP_610443.1, NP_524760.1	NP_001164331.1, NP_001164357.1, XP_031783456.1
OG0000246	NP_724163.1	XP_001603679.1
OG0000246	NP_476592.1	XP_003427114.1, XP_031778429.1
OG0000249	NP_572996.1	NP_001153452.1, XP_031787477.1
OG0000250	NP_650508.1, NP_001285102.1	XP_001607440.2
OG0000252	NP_730950.2	XP_008202453.1, XP_008202456.1, XP_032457326.1, XP_031777444.1, XP_031777443.1, XP_032457324.1, XP_032457323.1, XP_032457325.1
OG0000253	NP_001162737.1	NP_001164367.1
OG0000253	NP_001263132.1	XP_031781922.1, NP_001122571.1
OG0000254	NP_732295.1	XP_008211229.1, XP_031785157.1
OG0000254	NP_001368946.1	XP_008206656.1
