Orthogroup	Drosophila_melanogaster	Tribolium_castaneum
OG0000046	NP_001285139.1	XP_008200986.2, XP_015838368.1
OG0000046	NP_524339.1	XP_973521.1
OG0000046	NP_524474.1, NP_650209.1, NP_788663.1, NP_524927.2, NP_731716.1, NP_731651.1, NP_524798.2	NP_001164199.1, NP_001164200.1, XP_974442.1, NP_001164098.1
OG0000046	NP_001262586.1	XP_966611.1
OG0000047	NP_652056.2	XP_015839407.1, XP_015839283.1, XP_008200958.2
OG0000050	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1	XP_967835.1, XP_967268.2, XP_008195484.1, XP_967439.2, NP_001034512.1, NP_001034534.1, XP_008195481.1, XP_967916.2, XP_015838352.1
OG0000052	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2	XP_015838429.1, XP_008197309.1, XP_974366.1, XP_015838434.1, XP_974340.1, XP_974289.1, XP_015838419.1, XP_008197312.1, XP_974427.1
OG0000052	NP_652665.3, NP_609664.1, NP_620115.2	XP_008197196.2, XP_008197191.1
OG0000054	NP_477272.1, NP_652662.1, NP_477273.1, NP_788468.1, NP_477274.1, NP_524814.2, NP_788469.1, NP_001097523.1, NP_001261467.1, NP_477279.1, NP_001261466.1, NP_477280.1	XP_015836116.1
OG0000054	NP_477282.2, NP_729146.1, NP_729147.1	XP_970381.1, XP_970445.1, XP_008193936.1
OG0000055	NP_001284925.1	XP_971821.3
OG0000055	NP_650904.3	XP_969454.3
OG0000055	NP_001246914.1	XP_008194095.1
OG0000056	NP_001369131.1	XP_015835680.1
OG0000056	NP_647937.2	XP_008197222.1
OG0000056	NP_995958.2	XP_970084.2
OG0000057	NP_524290.2	XP_969993.1
OG0000057	NP_523842.2	XP_967348.1
OG0000057	NP_729172.1	XP_968314.1
OG0000060	NP_650848.1	XP_008194927.2
OG0000060	NP_001163168.1	XP_015836433.1, XP_973431.2, XP_008194835.1, XP_008194834.1, XP_008194832.1, XP_015836434.1
OG0000061	NP_001097692.1	XP_969936.2
OG0000061	NP_648605.1, NP_536732.1, NP_523675.1, NP_611234.1	XP_008197154.2
OG0000062	NP_001261156.1	XP_968760.1
OG0000065	NP_524105.2, NP_001285777.1, NP_001027266.1, NP_001027272.1, NP_648885.1, NP_652673.2	XP_969514.1, XP_008198984.1, XP_008198951.1, XP_966889.1, XP_015837535.1, XP_015834023.1, XP_015834022.1
OG0000066	NP_610976.1	XP_015840033.1
OG0000067	NP_001284994.1	XP_008200210.1
OG0000067	NP_524243.2, NP_572330.2	NP_001164095.1, XP_008200192.1
OG0000072	NP_663311.1	XP_015840428.1
OG0000073	NP_001246864.1	XP_008195260.1
OG0000073	NP_649186.1	XP_015832956.1, XP_015833016.1
OG0000073	NP_001356902.1	XP_008192409.1, NP_001161921.1, NP_001161922.1
OG0000074	NP_536776.2	XP_015837890.1, XP_970945.2
OG0000077	NP_001137778.2, NP_001259986.1	XP_008200285.1
OG0000077	NP_001015405.3	XP_008194480.2, XP_971466.1, XP_015836196.1
OG0000080	NP_001262255.1	XP_971544.1
OG0000080	NP_001262254.1	XP_015838833.1, XP_968784.1, XP_008199652.2
OG0000082	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2, NP_609726.1, NP_572219.1	XP_008196787.1, XP_008196786.1
OG0000084	NP_001097285.1	XP_008194340.1
OG0000084	NP_610774.3	XP_973788.1
OG0000084	NP_648031.1	XP_008194204.2
OG0000085	NP_651221.1	XP_008190480.1, XP_008190479.1, XP_008190478.1, XP_967226.1, XP_015836787.1, XP_008198171.2, XP_966820.2, XP_008193769.1, XP_968088.2, XP_967599.1
OG0000086	NP_651662.1, NP_651661.1, NP_001287578.1, NP_611736.1, NP_001033953.1	XP_008200636.2, XP_971578.1, XP_008193572.1, XP_008197635.1, XP_008193352.1, XP_015839617.1
OG0000086	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1	XP_008200062.1, XP_015834290.1
OG0000087	NP_001261716.1	XP_969526.1, XP_969601.1, XP_015838300.1, XP_970029.1, XP_969456.2
OG0000087	NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1	XP_969383.1, XP_001808639.1, XP_008200953.1, XP_974493.2
OG0000088	NP_476589.4	XP_015837887.1
OG0000089	NP_001162840.1, NP_001259800.1	XP_967001.1, XP_966814.1, XP_966903.1, XP_015834458.1, XP_015834457.1, XP_971728.1, XP_968587.1
OG0000091	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2	XP_008200105.1, XP_973883.2, XP_974001.1, XP_015838041.1, XP_015838239.1, XP_015838040.1, XP_015838232.1, XP_008196804.1, XP_008196800.2, XP_974288.1, XP_974388.1, XP_972482.1, XP_015840665.1, XP_008196885.2
OG0000092	NP_001262592.1	XP_008198926.1, XP_967128.1
OG0000094	NP_001284983.1, NP_651446.2, NP_650069.2	XP_008194293.1
OG0000094	NP_651889.3, NP_001189331.1, NP_651891.2	XP_008194180.1, XP_008191415.1, XP_015834034.1, XP_015837589.1, XP_974270.2
OG0000096	NP_001246550.1	XP_970191.2
OG0000096	NP_611542.2	NP_001038094.1, NP_001073567.1, XP_015836778.1, NP_001036034.1, XP_973005.1, NP_001034517.1, NP_001034516.3, NP_001038095.1, XP_015836950.1, XP_008195468.1, XP_015836949.1, NP_001038096.1, NP_001034515.1
OG0000097	NP_001286321.1	NP_001107835.1
OG0000097	NP_524611.1	XP_966355.1, XP_008200463.1
OG0000098	NP_001260487.1	XP_976115.2, XP_008200746.1, XP_008200744.1, XP_008200745.1
OG0000099	NP_608954.1	XP_973444.1
OG0000099	NP_001034071.1	XP_967359.1
OG0000099	NP_651628.1	XP_008198312.1
OG0000100	NP_001262908.1, NP_001262907.1	XP_015833282.1, XP_008190946.1, XP_008190945.1
OG0000101	NP_001286204.1, NP_610403.1, NP_609640.1	XP_015840974.1, XP_968341.1, XP_968427.1, XP_008192885.1, XP_969438.2, XP_970214.1, XP_968268.2, XP_969384.1
OG0000101	NP_001285802.1	XP_968658.1
OG0000101	NP_001015212.1	XP_008190341.1, XP_968586.1
OG0000102	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2	XP_015836203.1, XP_972020.3, XP_971968.1
OG0000102	NP_001188733.1	XP_008201580.1
OG0000103	NP_524206.1	NP_001107839.1
OG0000103	NP_001303368.1	NP_001121967.1
OG0000108	NP_648918.1	XP_015837318.1, XP_008195645.1, XP_972082.1, XP_972134.1, XP_968318.1, XP_015839337.1, XP_015839336.1, XP_972032.1, XP_972386.3, XP_972182.1, XP_008195643.1, XP_975666.1, XP_015837080.1, XP_966332.1
OG0000109	NP_648392.1, NP_001245736.1	XP_008200716.1, XP_968250.2
OG0000110	NP_788521.2, NP_729246.2, NP_729014.1	XP_008193808.1, XP_008193810.1, XP_015836889.1, XP_008193809.1, XP_008193811.1, XP_008193812.1, XP_015836885.1, XP_015836884.1, XP_015836883.1, XP_015836887.1, XP_008193800.1, XP_015836924.1, XP_015836925.1, XP_008193802.1, XP_008193803.1, XP_008193805.1, XP_008193798.1, XP_008193799.1, XP_008193801.1, XP_008193797.1, XP_015836882.1, XP_015836881.1, XP_015836880.1, XP_008193806.1, XP_008193807.1, XP_015836886.1, XP_001807608.2
OG0000112	NP_001369123.1	XP_008198195.1, XP_015837714.1
OG0000113	NP_650037.2, NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2, NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1, NP_649688.1	XP_967872.2, XP_008198495.1, XP_008198500.1
OG0000114	NP_572582.1, NP_651168.1, NP_524362.2, NP_001303421.1, NP_650380.2	XP_015836792.1, XP_015836794.1
OG0000115	NP_001261040.1	XP_969146.1, XP_970714.1, XP_970442.1, XP_015832951.1, XP_015833288.1, XP_008190960.1, XP_967475.1
OG0000117	NP_001286115.1	XP_008198411.1
OG0000117	NP_001262809.1	XP_008200394.1, XP_008200396.1, XP_008200398.1, XP_008200397.1
OG0000120	NP_001260010.1, NP_001162947.1	XP_015838347.1
OG0000122	NP_001287102.1, NP_001163462.1, NP_649023.1	XP_015834556.1
OG0000122	NP_610807.3	XP_008192222.1
OG0000123	NP_001259925.1	XP_001813105.1
OG0000124	NP_001260435.1, NP_001245746.1	XP_015834874.1
OG0000125	NP_651172.1, NP_001097888.1	XP_975608.1, XP_975649.1, XP_975653.1, XP_015837066.1, XP_975651.1
OG0000126	NP_477498.1, NP_996167.1	NP_001034505.1
OG0000127	NP_001261916.1	XP_008201644.1
OG0000127	NP_477127.1	NP_001280519.1, XP_015839687.1
OG0000129	NP_001188842.2	XP_008192539.1, XP_008192541.1, XP_970374.1, XP_008192542.1, XP_015834648.1
OG0000130	NP_723165.2	XP_008200084.1, XP_001811552.1
OG0000130	NP_001014474.3	XP_008200083.1
OG0000131	NP_001259087.1	XP_001808435.1
OG0000131	NP_001097667.1	XP_008198189.1, XP_968387.1, XP_008198188.1
OG0000132	NP_001245934.1, NP_001137808.1, NP_609121.2	XP_008198166.1, XP_015839207.1
OG0000133	NP_001368939.1	XP_975308.3
OG0000134	NP_001163401.1	XP_008195592.1
OG0000134	NP_610678.1	XP_008201435.1
OG0000135	NP_001286904.1	XP_008190640.1, XP_008190639.1
OG0000135	NP_524655.1	NP_001153713.1
OG0000136	NP_611126.1, NP_611131.2, NP_001285647.1	XP_971514.1
OG0000137	NP_727460.1, NP_611465.2	XP_015835481.1, XP_015835482.1, XP_015835483.1, XP_015835484.1, XP_015835486.1, XP_015835485.1
OG0000138	NP_001036303.2	XP_015840574.1, XP_967720.2, XP_015840573.1
OG0000139	NP_651882.1	XP_001808164.2, XP_967589.2, XP_967061.2, XP_015838049.1
OG0000141	NP_001287037.1	XP_015833202.1
OG0000141	NP_724101.4	XP_008193877.2
OG0000144	NP_001287042.1, NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1	NP_001164245.1, XP_008197349.1, NP_001164202.1, NP_001107851.1, NP_001164358.1, NP_001164335.1, XP_008197347.1, NP_001164204.1
OG0000145	NP_651930.2	XP_008193348.1
OG0000146	NP_648843.1	XP_966544.1, XP_001811608.2
OG0000146	NP_610294.1	XP_974294.1
OG0000147	NP_001245762.1	XP_966688.1
OG0000149	NP_648425.1	XP_008191323.1
OG0000150	NP_001246198.1	XP_015838556.1, XP_015838555.1, XP_015838554.1
OG0000151	NP_001287124.1	XP_969439.1, XP_015840091.1
OG0000152	NP_001260743.1	XP_966734.2
OG0000153	NP_001097608.1, NP_001261584.1	XP_970869.1, XP_008195606.1
OG0000154	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1	XP_008195104.1
OG0000154	NP_649002.3, NP_608445.2	XP_015839325.1, XP_015839324.1, XP_008199705.2, XP_015838950.1, XP_015833663.1, XP_008193592.1, XP_015840362.1, XP_008199148.1, XP_015840355.1
OG0000156	NP_647767.1	XP_008199571.1, XP_008199569.1, XP_008199570.1
OG0000157	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1	NP_001161084.1, XP_008194710.1, NP_001161130.1
OG0000158	NP_648354.1	XP_008198818.1
OG0000160	NP_001034016.1	XP_008199283.1
OG0000160	NP_649428.1	XP_967023.4
OG0000161	NP_001261749.1, NP_788501.1	NP_001164097.1, XP_015838131.1, XP_968215.1, XP_968291.1, XP_008198786.1, XP_015839834.1, XP_970896.1, XP_968653.3
OG0000162	NP_001097669.2	XP_008201498.1, NP_001103246.1
OG0000162	NP_001285015.1	XP_008200302.1, NP_001107770.1
OG0000162	NP_001262916.1	NP_001103245.1
OG0000164	NP_647962.1	XP_008196039.2, XP_015837358.1, XP_008196049.2
OG0000164	NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1	XP_015833602.1, XP_015840341.1, XP_015833616.1
OG0000165	NP_001245593.1	XP_008192571.1
OG0000165	NP_001284986.1	XP_974173.2
OG0000166	NP_001097498.1	XP_008199436.1, XP_008199431.1
OG0000168	NP_001261500.1	XP_008199616.2, XP_015834098.1
OG0000168	NP_001261571.1, NP_001246162.1	XP_015838873.1, NP_001107841.1
OG0000171	NP_609310.2, NP_609309.1	XP_971346.1, XP_015836633.1
OG0000173	NP_001247239.1	XP_008194517.1
OG0000174	NP_725682.2, NP_001286533.1, NP_611218.1	XP_015838513.1
OG0000175	NP_001163218.1	XP_974770.1, XP_015836695.1
OG0000177	NP_001261827.1	XP_971910.1
OG0000177	NP_001261829.1	XP_008194311.1
OG0000177	NP_001261830.1	XP_972072.1, XP_015836135.1, XP_972019.2
OG0000178	NP_001356914.1	XP_008200484.2, XP_015835582.1
OG0000179	NP_523366.2, NP_648697.1	XP_966308.2
OG0000180	NP_001027161.1	XP_976031.1, XP_008200320.1
OG0000182	NP_001163460.1	XP_015832992.1
OG0000183	NP_001287555.1	XP_975025.1
OG0000183	NP_524074.1	XP_970665.1
OG0000183	NP_001245996.1	XP_973463.1
OG0000184	NP_995642.1, NP_523504.2	XP_015837372.1, XP_015837383.1
OG0000184	NP_001162633.1	XP_975520.3
OG0000185	NP_001259439.1	XP_008197397.1
OG0000186	NP_573320.1	XP_008199126.1, XP_008199118.1, XP_015835450.1
OG0000187	NP_001188856.1	XP_975362.1
OG0000188	NP_477462.1	XP_008197500.1
OG0000188	NP_524551.2, NP_476974.1	XP_967501.2
OG0000189	NP_651982.1, NP_001036733.1, NP_001262788.1	XP_966528.2, XP_008201661.1
OG0000189	NP_608557.4, NP_523485.3, NP_523484.2, NP_001036373.1	XP_008198457.1, XP_008193919.1
OG0000190	NP_732717.1	XP_015839424.1, XP_968802.1
OG0000191	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2	XP_015840404.1
OG0000191	NP_001246909.1, NP_477232.1, NP_648125.3	XP_972346.1
OG0000192	NP_611994.3	XP_976201.3, XP_008197081.1, XP_015838219.1, XP_008197084.1, XP_008197085.1, XP_008197082.1
OG0000193	NP_572591.1, NP_727376.2, NP_649170.1, NP_609018.3, NP_001246376.1, NP_611641.6, NP_726164.1, NP_573254.1, NP_723894.2, NP_610396.2	XP_008190576.1, XP_008190590.1, XP_015833035.1, XP_008190578.1
OG0000194	NP_648207.1	XP_008193011.1
OG0000196	NP_001261758.1	XP_969047.2
OG0000196	NP_730938.1	XP_967948.2
OG0000197	NP_001287082.1	XP_015837925.1
OG0000198	NP_611747.2	XP_008196149.1
OG0000200	NP_001262796.1	XP_974164.1
OG0000200	NP_001259616.1	XP_967143.1, XP_015839106.1, XP_974030.1
OG0000201	NP_649026.1	XP_015833113.1
OG0000201	NP_730973.1, NP_001262292.1, NP_649563.1, NP_730974.1, NP_569875.2	XP_974115.1
OG0000203	NP_648067.2	XP_972061.1
OG0000204	NP_001188590.1	XP_008192748.1, XP_015834354.1, XP_015834322.1, XP_001810985.1, XP_015834355.1, XP_966892.1
OG0000205	NP_001097505.1	XP_015834252.1, XP_969899.1, XP_972246.2, XP_969838.2
OG0000206	NP_650893.2	XP_975174.1
OG0000206	NP_001097707.1, NP_001287222.1	XP_967870.1
OG0000208	NP_001137606.1	NP_001034487.2, XP_008199220.1
OG0000209	NP_001163199.1	XP_015833617.1
OG0000212	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1	XP_970912.2, XP_015835896.1, XP_015840439.1, XP_015840441.1
OG0000213	NP_648589.1	XP_970612.2
OG0000214	NP_001260290.1	XP_967960.2
OG0000214	NP_001247324.1	XP_970835.1
OG0000215	NP_649139.1	XP_972301.2, XP_008197697.1, XP_008197706.1, XP_015839776.1
OG0000216	NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1	NP_001123993.1, XP_008193185.1, XP_008199996.1, XP_971612.1, NP_001123994.1
OG0000217	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1	XP_015839401.1, XP_015839404.1, XP_015839405.1, XP_008199621.1, XP_015839403.1, XP_015840143.1, XP_008192685.2, XP_008192686.2, XP_015835054.1, XP_015835055.1, XP_008191628.1, XP_008191600.1
OG0000218	NP_649086.2	XP_967940.2
OG0000219	NP_610764.1	XP_968383.1
OG0000220	NP_650528.1	XP_015840696.1
OG0000221	NP_001036320.3	XP_015837155.1, XP_974256.1
OG0000223	NP_523986.2	XP_972063.1
OG0000224	NP_647862.1, NP_728942.1	XP_970766.1, XP_008193916.1
OG0000225	NP_536756.1	XP_971086.2
OG0000226	NP_001356958.1	NP_001280522.1, XP_008197480.1
OG0000226	NP_611241.2	XP_015838522.1
OG0000227	NP_001262022.1	XP_008198897.2
OG0000229	NP_001097421.2	XP_008190759.1
OG0000229	NP_726223.1, NP_001303360.1, NP_001246468.1	XP_008190780.1
OG0000230	NP_001286852.1	XP_015836723.1
OG0000230	NP_611887.2	XP_008195159.1
OG0000231	NP_650028.1, NP_650029.1, NP_001285882.1	XP_015836454.1, XP_015836453.1, XP_973943.1, XP_008194841.1
OG0000232	NP_001303567.1	XP_970131.1
OG0000233	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1	XP_008196062.1, XP_008196018.1, XP_008196019.1
OG0000234	NP_726740.1, NP_649880.1, NP_649881.1	XP_972520.3, XP_001814003.1
OG0000235	NP_001261046.1	XP_015835330.1, XP_015835329.1, XP_015835324.1, XP_015835328.1
OG0000237	NP_523863.1	XP_008197452.1
OG0000237	NP_523862.1	XP_008197451.1
OG0000239	NP_733091.1, NP_611452.2, NP_001285793.1, NP_651369.1, NP_001027211.3, NP_001287526.1, NP_651371.1, NP_733121.1, NP_651372.1, NP_651370.2, NP_001262006.1, NP_001260130.1, NP_569859.1, NP_609015.2, NP_573269.1	XP_015836807.1, XP_008200144.1
OG0000244	NP_610117.1	XP_974579.1, XP_015836330.1
OG0000245	NP_476812.1, NP_610443.1, NP_524760.1	XP_008194988.1, NP_001034522.1, NP_001034493.1
OG0000246	NP_724163.1	NP_001096056.1
OG0000246	NP_476592.1	XP_973068.2, XP_008193582.1
