Orthogroup	Drosophila_melanogaster	Polistes_dominula
OG0000038	NP_650674.1	XP_015179091.1
OG0000038	NP_524297.1	XP_015179361.1
OG0000040	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1	XP_015175500.1, XP_015186212.1
OG0000041	NP_001014725.1	XP_015182472.1
OG0000041	NP_001262200.1	XP_015179139.1, XP_015179141.1
OG0000042	NP_731781.1	XP_015186594.1, XP_015186595.1, XP_015186596.1, XP_015189781.1, XP_015189581.1, XP_015189834.1, XP_015171566.1, XP_015171565.1, XP_015171564.1, XP_015171563.1, XP_015171562.1
OG0000042	NP_651966.2, NP_650201.1, NP_652731.1	XP_015171717.1, XP_015171718.1, XP_015171719.1
OG0000043	NP_001286870.1	XP_015177490.1, XP_015177491.1
OG0000043	NP_524121.2	XP_015187201.1
OG0000044	NP_732652.1, NP_001303538.1, NP_650979.1	XP_015184594.1
OG0000044	NP_651674.3	XP_015184599.1
OG0000045	NP_001188791.2, NP_609522.1, NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2	XP_015183311.1, XP_015183284.1, XP_015173221.1, XP_015183312.1
OG0000046	NP_001285139.1	XP_015179269.1
OG0000046	NP_524474.1, NP_650209.1, NP_788663.1, NP_524927.2, NP_731716.1, NP_731651.1, NP_524798.2	XP_015189296.1
OG0000046	NP_001262586.1	XP_015177712.1, XP_015174688.1, XP_015174687.1
OG0000047	NP_652056.2	XP_015181292.1, XP_015182538.1, XP_015189429.1, XP_015189816.1, XP_015189433.1
OG0000050	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1, NP_001287487.1	XP_015187332.1, XP_015175623.1
OG0000052	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2	XP_015186733.1
OG0000052	NP_725600.1	XP_015175045.1
OG0000054	NP_477282.2, NP_729146.1, NP_729147.1	XP_015175295.1, XP_015175296.1, XP_015175389.1
OG0000055	NP_001284925.1	XP_015171080.1
OG0000055	NP_650904.3	XP_015176664.1
OG0000055	NP_001246914.1	XP_015173765.1, XP_015173767.1
OG0000056	NP_001369131.1	XP_015176704.1, XP_015178312.1
OG0000056	NP_647937.2	XP_015175416.1
OG0000056	NP_995958.2	XP_015181325.1
OG0000057	NP_524290.2	XP_015173587.1, XP_015171878.1
OG0000057	NP_523842.2	XP_015171877.1
OG0000057	NP_729172.1	XP_015171777.1
OG0000060	NP_650848.1	XP_015185766.1, XP_015185775.1
OG0000060	NP_001163168.1	XP_015181080.1, XP_015181079.1
OG0000061	NP_001097692.1	XP_015178059.1, XP_015188543.1
OG0000061	NP_648605.1, NP_536732.1, NP_523675.1, NP_611234.1	XP_015177990.1
OG0000062	NP_001261156.1	XP_015179445.1
OG0000066	NP_610976.1	XP_015189876.1
OG0000067	NP_001284994.1	XP_015179349.1
OG0000067	NP_524243.2, NP_572330.2	XP_015180637.1
OG0000067	NP_001261491.1	XP_015184670.1
OG0000077	NP_001137778.2, NP_001259986.1	XP_015188023.1
OG0000077	NP_001015405.3	XP_015179002.1, XP_015185970.1
OG0000080	NP_001262255.1	XP_015185202.1, XP_015185201.1, XP_015185203.1
OG0000080	NP_001262254.1	XP_015185196.1
OG0000082	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2, NP_609726.1, NP_572219.1	XP_015175969.1, XP_015175974.1, XP_015175968.1
OG0000085	NP_651221.1	XP_015172015.1, XP_015179519.1, XP_015175778.1, XP_015175777.1, XP_015175779.1
OG0000086	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1	XP_015175698.1
OG0000087	NP_001261716.1	XP_015179311.1
OG0000087	NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1	XP_015179470.1, XP_015179472.1, XP_015179471.1, XP_015179473.1
OG0000088	NP_476589.4	XP_015175828.1
OG0000089	NP_001162840.1, NP_001259800.1	XP_015191649.1
OG0000091	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2	XP_015190282.1, XP_015190273.1
OG0000092	NP_001262592.1	XP_015182560.1, XP_015171266.1, XP_015171261.1, XP_015180692.1
OG0000094	NP_001284983.1, NP_651446.2, NP_650069.2	XP_015189233.1
OG0000094	NP_651889.3, NP_001189331.1, NP_651891.2	XP_015175380.1
OG0000096	NP_726022.1, NP_001246550.1	XP_015179711.1, XP_015179710.1, XP_015179714.1, XP_015179713.1
OG0000096	NP_611542.2	XP_015178304.1
OG0000097	NP_524611.1	XP_015172032.1, XP_015172041.1, XP_015182319.1, XP_015182320.1, XP_015177848.1
OG0000098	NP_001260487.1	XP_015183431.1, XP_015183430.1, XP_015183429.1, XP_015183432.1, XP_015183427.1, XP_015183428.1
OG0000099	NP_608954.1	XP_015176643.1
OG0000099	NP_001034071.1	XP_015176645.1
OG0000099	NP_651628.1	XP_015179938.1
OG0000100	NP_001262908.1, NP_001262907.1	XP_015189083.1, XP_015189082.1, XP_015189085.1, XP_015189084.1, XP_015189086.1, XP_015189080.1, XP_015189081.1
OG0000101	NP_001286204.1, NP_610403.1, NP_609640.1	XP_015184968.1
OG0000101	NP_001285802.1, NP_001015212.1	XP_015178204.1, XP_015178201.1
OG0000102	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2	XP_015177204.1, XP_015177230.1, XP_015177232.1
OG0000103	NP_001303368.1	XP_015173914.1
OG0000108	NP_648918.1	XP_015181990.1, XP_015182011.1, XP_015191850.1
OG0000109	NP_648392.1, NP_001245736.1	XP_015175909.1, XP_015175910.1, XP_015175911.1, XP_015175907.1
OG0000110	NP_788521.2, NP_729246.2, NP_729014.1	XP_015177093.1, XP_015180892.1
OG0000111	NP_650264.1	XP_015188005.1
OG0000112	NP_001369123.1	XP_015180272.1, XP_015180273.1
OG0000113	NP_650037.2, NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2, NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1, NP_649688.1	XP_015185884.1, XP_015172979.1, XP_015172980.1
OG0000114	NP_572582.1, NP_651168.1, NP_524362.2, NP_001303421.1, NP_650380.2	XP_015171118.1
OG0000115	NP_001261040.1	XP_015171184.1, XP_015171185.1, XP_015183848.1, XP_015183846.1
OG0000117	NP_001286115.1	XP_015176195.1
OG0000117	NP_001262809.1	XP_015171648.1, XP_015171595.1
OG0000120	NP_001260010.1, NP_001162947.1	XP_015171646.1, XP_015171649.1, XP_015171650.1, XP_015171651.1, XP_015171644.1, XP_015171645.1, XP_015171647.1
OG0000122	NP_001287102.1, NP_001163462.1, NP_649023.1	XP_015172102.1
OG0000122	NP_610807.3	XP_015172140.1
OG0000123	NP_001259925.1	XP_015185661.1, XP_015185658.1, XP_015185659.1, XP_015185654.1, XP_015185655.1, XP_015185656.1, XP_015185657.1, XP_015185653.1, XP_015185660.1
OG0000124	NP_001260435.1, NP_001245746.1	XP_015173329.1, XP_015173327.1, XP_015173328.1
OG0000125	NP_651172.1, NP_001097888.1	XP_015191429.1
OG0000126	NP_477498.1, NP_996167.1	XP_015180002.1, XP_015180011.1, XP_015180021.1, XP_015179995.1
OG0000127	NP_001261916.1	XP_015178412.1, XP_015178414.1, XP_015189033.1
OG0000127	NP_477127.1	XP_015188504.1
OG0000129	NP_001188842.2	XP_015185341.1, XP_015185342.1
OG0000130	NP_723165.2	XP_015177984.1, XP_015177985.1, XP_015177986.1
OG0000130	NP_001014474.3	XP_015178018.1, XP_015178019.1
OG0000131	NP_001259087.1	XP_015188702.1
OG0000131	NP_001097667.1	XP_015181077.1, XP_015181078.1
OG0000132	NP_001245934.1, NP_001137808.1, NP_609121.2	XP_015173499.1, XP_015173500.1
OG0000132	NP_001245823.1, NP_724088.2, NP_724087.1	XP_015188177.1
OG0000133	NP_001368939.1	XP_015173823.1
OG0000135	NP_001286904.1	XP_015190379.1, XP_015190377.1, XP_015190378.1
OG0000135	NP_524655.1	XP_015186255.1
OG0000136	NP_611126.1, NP_611131.2, NP_001285647.1, NP_001097337.1	XP_015182073.1
OG0000137	NP_727460.1, NP_611465.2	XP_015174184.1, XP_015176307.1
OG0000138	NP_001036303.2	XP_015173336.1, XP_015173335.1, XP_015173334.1, XP_015173333.1, XP_015181777.1
OG0000139	NP_651882.1	XP_015184451.1, XP_015184450.1, XP_015184449.1
OG0000141	NP_001287037.1	XP_015172584.1
OG0000141	NP_651471.2	XP_015191838.1
OG0000141	NP_724101.4	XP_015178844.1, XP_015178845.1
OG0000143	NP_001259687.1	XP_015188708.1, XP_015188709.1, XP_015188710.1
OG0000144	NP_001287042.1, NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1	XP_015177945.1, XP_015177944.1, XP_015177942.1
OG0000145	NP_651930.2	XP_015182419.1, XP_015182420.1, XP_015182418.1, XP_015182421.1, XP_015191830.1, XP_015191831.1, XP_015191832.1
OG0000146	NP_648843.1, NP_572304.5	XP_015178326.1, XP_015178324.1
OG0000146	NP_610294.1	XP_015181347.1
OG0000147	NP_001245762.1	XP_015188786.1, XP_015188787.1, XP_015188785.1, XP_015188788.1, XP_015172908.1
OG0000149	NP_648425.1	XP_015183082.1
OG0000149	NP_647686.1	XP_015183081.1, XP_015183080.1, XP_015183079.1
OG0000150	NP_001246198.1	XP_015187534.1, XP_015187533.1, XP_015187535.1, XP_015187536.1
OG0000151	NP_001287124.1	XP_015179752.1, XP_015179751.1, XP_015179755.1, XP_015179753.1, XP_015179750.1
OG0000152	NP_001260743.1	XP_015177279.1
OG0000153	NP_001261584.1	XP_015183219.1, XP_015183220.1, XP_015183221.1, XP_015183223.1, XP_015183222.1, XP_015183224.1
OG0000154	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1	XP_015178505.1, XP_015178503.1, XP_015178507.1, XP_015178506.1
OG0000156	NP_647767.1	XP_015190200.1, XP_015190202.1, XP_015190201.1, XP_015190205.1, XP_015190203.1, XP_015190204.1
OG0000157	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1	XP_015176246.1
OG0000158	NP_648354.1	XP_015180258.1, XP_015180556.1, XP_015179489.1, XP_015179488.1
OG0000160	NP_001034016.1, NP_649019.2	XP_015185930.1
OG0000160	NP_649428.1	XP_015184081.1
OG0000161	NP_001261749.1, NP_788501.1	XP_015176784.1
OG0000162	NP_001097669.2	XP_015186367.1
OG0000162	NP_001262916.1	XP_015182682.1
OG0000164	NP_647962.1	XP_015180421.1, XP_015180420.1
OG0000164	NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1	XP_015191636.1, XP_015191547.1, XP_015191637.1, XP_015191588.1
OG0000165	NP_001245593.1	XP_015185448.1
OG0000165	NP_001284986.1	XP_015174982.1
OG0000166	NP_001097498.1	XP_015173109.1, XP_015173102.1, XP_015173096.1, XP_015173094.1, XP_015173098.1
OG0000171	NP_609310.2, NP_609309.1	XP_015174391.1, XP_015174730.1
OG0000173	NP_001247239.1	XP_015173985.1, XP_015173987.1, XP_015173988.1, XP_015173989.1
OG0000174	NP_725682.2, NP_001286533.1, NP_611218.1	XP_015191732.1, XP_015191730.1, XP_015191731.1
OG0000175	NP_001163218.1	XP_015184505.1, XP_015184496.1, XP_015184487.1, XP_015184522.1, XP_015184514.1
OG0000177	NP_001261827.1	XP_015191041.1
OG0000177	NP_001261829.1	XP_015190999.1
OG0000178	NP_001356914.1	XP_015179140.1
OG0000179	NP_523366.2, NP_648697.1	XP_015184549.1
OG0000180	NP_001027161.1	XP_015171486.1, XP_015171485.1, XP_015171484.1
OG0000182	NP_001163460.1	XP_015177676.1, XP_015177666.1, XP_015177685.1, XP_015177651.1, XP_015177659.1
OG0000183	NP_001287555.1	XP_015175162.1
OG0000183	NP_524074.1	XP_015181592.1
OG0000185	NP_001259439.1	XP_015175891.1, XP_015175892.1, XP_015175893.1
OG0000186	NP_573320.1	XP_015183983.1, XP_015183981.1
OG0000187	NP_001188856.1	XP_015180155.1, XP_015180146.1, XP_015180136.1
OG0000188	NP_524551.2, NP_476974.1	XP_015176881.1, XP_015174592.1
OG0000189	NP_651982.1, NP_001036733.1, NP_001262788.1	XP_015173121.1, XP_015173134.1
OG0000189	NP_608557.4, NP_523485.3, NP_523484.2, NP_001036373.1	XP_015171025.1
OG0000190	NP_732717.1	XP_015184945.1
OG0000191	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2, NP_001246909.1, NP_477232.1, NP_648125.3	XP_015179465.1, XP_015179466.1
OG0000192	NP_611994.3	XP_015178452.1
OG0000194	NP_648207.1	XP_015173607.1
OG0000196	NP_001261758.1	XP_015178964.1
OG0000196	NP_730938.1	XP_015174639.1
OG0000198	NP_611747.2	XP_015173178.1
OG0000200	NP_001262796.1	XP_015187594.1
OG0000200	NP_001259616.1	XP_015178431.1, XP_015178427.1
OG0000201	NP_649026.1	XP_015179138.1
OG0000203	NP_001369023.1, NP_001287406.1, NP_650804.2, NP_650803.1	XP_015176004.1
OG0000203	NP_648067.2	XP_015174579.1, XP_015174578.1
OG0000204	NP_001188590.1	XP_015182497.1, XP_015177887.1, XP_015179941.1
OG0000205	NP_001097505.1	XP_015183111.1, XP_015183110.1
OG0000206	NP_650893.2	XP_015186289.1
OG0000206	NP_001097707.1, NP_001287222.1	XP_015186290.1, XP_015186291.1
OG0000207	NP_001286310.1, NP_001287091.1	XP_015175962.1
OG0000207	NP_001246139.1	XP_015186420.1, XP_015186417.1
OG0000208	NP_001137606.1	XP_015186385.1
OG0000209	NP_001163199.1	XP_015184955.1
OG0000212	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1	XP_015179526.1, XP_015179527.1, XP_015185495.1, XP_015185494.1
OG0000213	NP_648589.1	XP_015189481.1
OG0000214	NP_001260290.1	XP_015190491.1
OG0000214	NP_001247324.1	XP_015175994.1
OG0000215	NP_649139.1	XP_015185000.1, XP_015185001.1
OG0000216	NP_524598.1, NP_001262008.1, NP_572780.3, NP_573003.2, NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1	XP_015185916.1
OG0000217	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1	XP_015186718.1
OG0000218	NP_649086.2	XP_015174590.1, XP_015174588.1, XP_015174591.1
OG0000219	NP_610764.1	XP_015173758.1, XP_015173757.1, XP_015173756.1
OG0000220	NP_650528.1	XP_015184604.1
OG0000221	NP_001036320.3	XP_015184406.1
OG0000223	NP_523986.2	XP_015186521.1
OG0000223	NP_524142.2, NP_524141.1	XP_015178968.1
OG0000224	NP_647862.1, NP_728942.1	XP_015174244.1
OG0000225	NP_536756.1	XP_015171829.1, XP_015171828.1, XP_015176375.1
OG0000227	NP_001262022.1	XP_015177648.1, XP_015177645.1
OG0000229	NP_726223.1, NP_001303360.1, NP_001246468.1	XP_015186538.1
OG0000230	NP_001286852.1	XP_015187246.1, XP_015187244.1, XP_015187242.1, XP_015187243.1
OG0000231	NP_650028.1, NP_650029.1, NP_001285882.1	XP_015174418.1, XP_015174419.1
OG0000232	NP_001303567.1	XP_015185539.1, XP_015185538.1, XP_015185537.1
OG0000233	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1	XP_015178474.1
OG0000235	NP_001261046.1	XP_015191589.1
OG0000236	NP_524368.5	XP_015175615.1
OG0000237	NP_523863.1	XP_015171667.1
OG0000237	NP_523862.1	XP_015171630.1
OG0000239	NP_733091.1, NP_611452.2, NP_001285793.1, NP_651369.1, NP_001027211.3, NP_001287526.1, NP_651371.1, NP_733121.1, NP_651372.1, NP_651370.2, NP_001262006.1, NP_001260130.1, NP_569859.1, NP_609015.2, NP_573269.1	XP_015190308.1, XP_015190309.1, XP_015189352.1
OG0000243	NP_608584.1, NP_523761.2	XP_015174530.1
OG0000244	NP_610117.1	XP_015179576.1, XP_015179577.1, XP_015179580.1, XP_015179579.1, XP_015179578.1
OG0000245	NP_476812.1, NP_610443.1, NP_524760.1	XP_015189008.1
OG0000246	NP_724163.1	XP_015179151.1
OG0000246	NP_476592.1	XP_015182115.1, XP_015182116.1
OG0000247	NP_651898.2, NP_001096949.1	XP_015191550.1
OG0000247	NP_649833.1, NP_648548.1	XP_015191855.1, XP_015191854.1
OG0000249	NP_572996.1	XP_015187603.1, XP_015190237.1, XP_015190236.1
OG0000250	NP_650508.1, NP_001285102.1	XP_015190042.1
OG0000252	NP_730950.2	XP_015171597.1, XP_015171596.1
OG0000253	NP_001162737.1	XP_015190633.1
OG0000253	NP_001263132.1	XP_015182084.1
OG0000254	NP_732295.1	XP_015190592.1
OG0000254	NP_001368946.1	XP_015179929.1
OG0000255	NP_001033900.2, NP_572436.1	XP_015175472.1
OG0000256	NP_732900.1	XP_015190359.1
OG0000257	NP_001262861.1	XP_015191073.1, XP_015191061.1
OG0000257	NP_001287485.1	XP_015191056.1
OG0000259	NP_723538.3	XP_015189497.1
OG0000260	NP_572306.1	XP_015186969.1
OG0000263	NP_001285111.1	XP_015182751.1
OG0000264	NP_001033939.2	XP_015177860.1
OG0000264	NP_476735.1	XP_015175459.1
OG0000265	NP_649517.1, NP_650190.1	XP_015187998.1, XP_015187683.1, XP_015188988.1
OG0000266	NP_524387.1	XP_015188854.1
OG0000266	NP_001285202.1	XP_015188288.1
OG0000268	NP_001285901.1, NP_001262995.1	XP_015181711.1
OG0000269	NP_001284901.1	XP_015188277.1, XP_015188276.1, XP_015188274.1
OG0000270	NP_001034048.2	XP_015178020.1
OG0000270	NP_001163596.2	XP_015180910.1
OG0000272	NP_995675.1	XP_015171556.1
OG0000272	NP_001162795.1, NP_001356885.1	XP_015185525.1
OG0000273	NP_001097437.1	XP_015191012.1, XP_015191013.1
OG0000275	NP_648909.1	XP_015173577.1, XP_015173578.1, XP_015173580.1
OG0000276	NP_649535.2	XP_015184477.1
OG0000277	NP_647800.1	XP_015172488.1, XP_015172487.1, XP_015172485.1, XP_015172489.1, XP_015172490.1
OG0000278	NP_612039.1, NP_647794.1	XP_015171924.1, XP_015181215.1, XP_015181217.1, XP_015181216.1, XP_015181214.1
OG0000279	NP_001137708.2, NP_001356890.1	XP_015187581.1, XP_015187580.1
OG0000281	NP_001350861.1	XP_015184470.1
OG0000283	NP_001286595.1	XP_015179948.1, XP_015179949.1
OG0000284	NP_727448.1	XP_015182032.1
OG0000284	NP_001259432.1	XP_015181126.1
OG0000285	NP_001188680.1	XP_015181188.1
OG0000285	NP_001163186.1	XP_015173011.1, XP_015173009.1
OG0000286	NP_729792.1	XP_015177428.1, XP_015177411.1, XP_015177397.1, XP_015177404.1, XP_015177419.1
OG0000287	NP_001036660.1	XP_015187469.1
OG0000288	NP_476934.2	XP_015186294.1
OG0000288	NP_001188784.1	XP_015183873.1
OG0000289	NP_001303316.1	XP_015177216.1, XP_015177215.1, XP_015177214.1
OG0000291	NP_648883.1, NP_648882.1	XP_015174407.1
OG0000292	NP_612066.1	XP_015175924.1
OG0000293	NP_649119.2, NP_001262050.1	XP_015179982.1, XP_015180247.1, XP_015190022.1
OG0000295	NP_611878.1	XP_015185216.1, XP_015185218.1, XP_015185219.1, XP_015185221.1, XP_015185220.1
OG0000296	NP_573076.1, NP_001096988.2	XP_015175143.1
OG0000298	NP_650963.2	XP_015178198.1
OG0000300	NP_001285398.1	XP_015174564.1, XP_015174566.1, XP_015174563.1, XP_015174565.1, XP_015174562.1
OG0000301	NP_572721.1	XP_015180681.1
OG0000301	NP_525031.1	XP_015183588.1
OG0000302	NP_001246314.1	XP_015171510.1
OG0000302	NP_730054.1	XP_015178748.1
OG0000303	NP_609514.1, NP_730670.1, NP_572924.1, NP_730671.1, NP_648026.1	XP_015174186.1
OG0000304	NP_788277.1	XP_015186040.1, XP_015186043.1, XP_015186044.1, XP_015186041.1, XP_015186042.1, XP_015186039.1
OG0000307	NP_650089.1	XP_015176072.1
OG0000308	NP_001261704.1	XP_015172660.1
OG0000309	NP_651063.1	XP_015185206.1, XP_015185207.1
OG0000310	NP_001286754.1	XP_015178812.1, XP_015178815.1, XP_015178811.1
OG0000311	NP_477380.1	XP_015189996.1
OG0000312	NP_001286891.1	XP_015172100.1, XP_015172101.1
OG0000313	NP_001262580.1, NP_727588.2	XP_015186194.1
OG0000314	NP_611815.3	XP_015173286.1
OG0000314	NP_001287244.1	XP_015174831.1, XP_015174832.1
OG0000316	NP_723502.2, NP_611157.1	XP_015188891.1
OG0000316	NP_611470.1	XP_015185171.1
OG0000317	NP_732413.1	XP_015174046.1
OG0000318	NP_609354.1	XP_015181576.1
OG0000319	NP_523751.2	XP_015177103.1, XP_015177105.1, XP_015177107.1, XP_015177104.1
OG0000320	NP_001285825.1, NP_476734.1	XP_015190093.1
OG0000321	NP_523551.1	XP_015180736.1, XP_015180737.1, XP_015180734.1, XP_015180735.1, XP_015180740.1, XP_015180739.1, XP_015180738.1
OG0000322	NP_996040.1	XP_015180479.1
OG0000322	NP_649068.1	XP_015177862.1, XP_015177861.1
OG0000323	NP_524359.2	XP_015190020.1, XP_015190019.1
OG0000324	NP_001189070.1	XP_015178081.1
OG0000326	NP_001246635.1	XP_015187782.1
OG0000327	NP_001246651.1	XP_015171979.1, XP_015171973.1
OG0000330	NP_523672.1	XP_015171434.1, XP_015171433.1
OG0000331	NP_572986.1, NP_001285254.1, NP_001285253.1	XP_015183004.1
OG0000332	NP_651838.1	XP_015172020.1, XP_015172019.1, XP_015172018.1
OG0000333	NP_731787.1, NP_650273.2, NP_650274.2	XP_015171023.1, XP_015171557.1
OG0000334	NP_001260523.1, NP_724023.1, NP_001097168.1, NP_609817.1	XP_015182857.1, XP_015182847.1, XP_015182876.1, XP_015182866.1, XP_015182885.1
OG0000335	NP_608439.2, NP_001285956.1	XP_015180888.1, XP_015180897.1
