Orthogroup	Drosophila_melanogaster	Solenopsis_invicta
OG0000047	NP_652056.2	XP_039311272.1, XP_039307231.1, XP_039307232.1, XP_025997124.1, XP_039305177.1, XP_039308536.1, XP_039308537.1, XP_039302440.1
OG0000050	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1, NP_001287487.1	XP_039305304.1, XP_039305308.1, XP_039305204.1, XP_011163179.1, XP_039310190.1, XP_025987483.2, XP_039310191.1
OG0000052	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2	XP_039313337.1
OG0000052	NP_652665.3, NP_609664.1, NP_620115.2	XP_011160846.1
OG0000052	NP_725600.1	XP_025995966.1
OG0000053	NP_610793.1	XP_039309233.1
OG0000054	NP_477282.2, NP_729146.1, NP_729147.1	XP_011164215.1, XP_011164214.2
OG0000055	NP_001284925.1	XP_039311167.1
OG0000055	NP_650904.3	XP_039311121.1
OG0000055	NP_609815.1	XP_011169776.2
OG0000055	NP_001246914.1	XP_011162045.1
OG0000056	NP_001369131.1	XP_039301684.1, XP_025992809.2
OG0000056	NP_647937.2	XP_011167471.3
OG0000057	NP_524290.2	XP_011161996.1, XP_011165691.1
OG0000057	NP_523842.2	XP_011165692.1
OG0000060	NP_650848.1	XP_011166599.1, XP_039312995.1, XP_039313020.1
OG0000060	NP_001163168.1	XP_011166588.1, XP_039313855.1, XP_039313856.1
OG0000061	NP_001097692.1	XP_039302873.1, XP_039310102.1
OG0000061	NP_648605.1, NP_536732.1, NP_523675.1, NP_611234.1	XP_039311104.1
OG0000062	NP_001261156.1	XP_025989351.2
OG0000065	NP_524105.2, NP_001285777.1, NP_001027266.1, NP_001027272.1, NP_648885.1, NP_652673.2	XP_039308740.1, XP_011176028.1, XP_011176027.2, XP_039307834.1, XP_039307956.1, XP_011165754.1, XP_039313781.1, XP_039313721.1, XP_039307833.1, XP_039313722.1, XP_011164020.1, XP_039307832.1, XP_039307645.1, XP_039308148.1, XP_025994478.1
OG0000066	NP_610976.1	XP_039306035.1, XP_039312738.1, XP_039302943.1, XP_011173934.3, XP_025996408.2, XP_039303305.1, XP_039313707.1, XP_039303413.1, XP_025996127.1, XP_011159374.1
OG0000067	NP_001284994.1	XP_011168949.1
OG0000067	NP_001261491.1	XP_011157858.1, XP_025991420.1
OG0000068	NP_001245670.1	XP_025993298.2, XP_039312003.1, XP_039302002.1, XP_039301996.1, XP_039309209.1, XP_039310968.1, XP_039315494.1, XP_039308060.1, XP_025992133.2, XP_039306295.1, XP_039307933.1, XP_025996623.2, XP_039303039.1, XP_039302948.1, XP_039302079.1, XP_039315232.1
OG0000072	NP_663311.1	XP_011174276.1, XP_039303571.1
OG0000073	NP_648529.1	XP_025995879.2, XP_025994688.1, XP_039309614.1, XP_011166088.3
OG0000074	NP_536776.2	XP_025985929.1
OG0000077	NP_001137778.2, NP_001259986.1	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1
OG0000077	NP_001015405.3	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1
OG0000080	NP_001262255.1	XP_039313662.1, XP_011161097.1, XP_011161096.1
OG0000080	NP_001262254.1	XP_011173727.1
OG0000082	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2, NP_609726.1, NP_572219.1	XP_011158501.1, XP_039315682.1, XP_039315686.1, XP_039315687.1, XP_039315688.1, XP_039315689.1, XP_039315684.1, XP_039315685.1, XP_011158493.1, XP_011158531.2
OG0000085	NP_651221.1	XP_025987478.1, XP_025987477.1
OG0000086	NP_651662.1, NP_651661.1, NP_001287578.1, NP_611736.1, NP_001033953.1	XP_039314702.1, XP_039314703.1, XP_039314704.1, XP_039314705.1, XP_025990739.2
OG0000086	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2
OG0000087	NP_001261716.1	XP_025989498.1, XP_011170042.2
OG0000088	NP_476589.4	XP_025996218.1, XP_039311698.1
OG0000089	NP_001162840.1, NP_001259800.1	XP_039308778.1, XP_011166981.2, XP_011166985.2
OG0000091	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2	XP_011175219.1, XP_011175223.1, XP_011175233.1
OG0000092	NP_001262592.1	XP_011165503.1, XP_011175720.1, XP_011175721.1, XP_011175719.1, XP_011162964.1
OG0000094	NP_001284983.1, NP_651446.2, NP_650069.2	XP_039303166.1
OG0000096	NP_726022.1, NP_001246550.1	XP_011156409.1, XP_039313932.1
OG0000096	NP_611542.2	XP_039306601.1
OG0000097	NP_524611.1	XP_025987027.1, XP_025987029.1, XP_039302265.1, XP_025987030.1, XP_025992182.1, XP_011159441.1
OG0000098	NP_001260487.1	XP_025996352.1
OG0000099	NP_608954.1	XP_039314446.1, XP_025989491.1, XP_025989492.2, XP_039314447.1, XP_011166692.1, XP_039301759.1, XP_039301757.1, XP_039301758.1, XP_039310390.1, XP_039314464.1, XP_039314463.1, XP_039311961.1, XP_039311641.1
OG0000099	NP_001034071.1	XP_039314426.1
OG0000099	NP_651628.1	XP_011164670.2
OG0000101	NP_001286204.1, NP_610403.1, NP_609640.1	XP_011159599.3
OG0000101	NP_001285802.1, NP_001015212.1	XP_025989569.1
OG0000102	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2	XP_025989688.2, XP_025989699.1, XP_011164886.1, XP_011164887.1, XP_039303339.1, XP_039303337.1, XP_025989702.1, XP_025989701.1, XP_025989700.1, XP_011164888.1, XP_025989703.1
OG0000103	NP_001303368.1	XP_011161395.1
OG0000108	NP_648918.1	XP_025985914.1
OG0000109	NP_648392.1, NP_001245736.1	XP_011157413.1, XP_011157412.1
OG0000110	NP_788521.2, NP_729246.2, NP_729014.1	XP_025991740.2, XP_025991741.2, XP_039308312.1, XP_039308317.1, XP_039308316.1, XP_039308308.1, XP_039308309.1, XP_039308311.1, XP_039308310.1, XP_039308313.1, XP_039308315.1, XP_039308314.1
OG0000111	NP_650264.1	XP_039308795.1
OG0000113	NP_650037.2, NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2, NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1, NP_649688.1	XP_011169897.1, XP_011176341.1, XP_011176387.1
OG0000114	NP_572582.1, NP_651168.1, NP_524362.2, NP_001303421.1, NP_650380.2	XP_011161124.1
OG0000115	NP_001261040.1	NP_001291541.1, XP_011165645.2, XP_011165643.1, XP_011165649.2, XP_011165650.1
OG0000117	NP_001286115.1	XP_011157894.1
OG0000117	NP_001262809.1	XP_011170972.1, XP_011170971.1
OG0000120	NP_001260010.1, NP_001162947.1	XP_011175144.2
OG0000122	NP_001287102.1, NP_001163462.1, NP_649023.1	XP_039310041.1
OG0000122	NP_610807.3	XP_039305859.1
OG0000123	NP_001259925.1	XP_011169664.1
OG0000124	NP_001260435.1, NP_001245746.1	XP_039302015.1
OG0000125	NP_651172.1, NP_001097888.1	XP_011166830.1, XP_011166831.1, XP_039307624.1
OG0000126	NP_477498.1, NP_996167.1	XP_011155410.1, XP_039309160.1, XP_039309158.1, XP_025990026.1, XP_025990027.1, XP_025990024.1
OG0000127	NP_001261916.1	XP_011165176.1, XP_039307622.1, XP_025994182.1
OG0000127	NP_477127.1	XP_039307613.1, XP_039307615.1
OG0000129	NP_001188842.2	XP_039310447.1, XP_039310449.1, XP_039310448.1, XP_025991275.2, XP_025991277.2
OG0000130	NP_723165.2	XP_039309465.1
OG0000130	NP_001014474.3	XP_025991693.1, XP_025991692.1
OG0000131	NP_001259087.1	XP_011159624.1
OG0000131	NP_001097667.1	XP_011168548.1, XP_011168539.1
OG0000132	NP_001245934.1, NP_001137808.1, NP_609121.2	XP_039305040.1, XP_011175354.1
OG0000132	NP_001245823.1, NP_724088.2, NP_724087.1	XP_011162113.1
OG0000133	NP_001368939.1	XP_025988235.1, XP_025988236.1, XP_039308247.1, XP_039308246.1
OG0000134	NP_525003.2	XP_011160707.1
OG0000135	NP_001286904.1	XP_011168086.1
OG0000135	NP_524655.1	XP_025992521.1
OG0000136	NP_611126.1, NP_611131.2, NP_001285647.1, NP_001097337.1	XP_011168434.2, XP_011168435.1, XP_011168438.2, XP_039309206.1, XP_025989059.2, XP_011168437.1, XP_011168436.1, XP_011168451.1
OG0000137	NP_727460.1, NP_611465.2	XP_039302269.1, XP_011164282.1, XP_025987902.2, XP_011171988.2, XP_011171990.2, XP_011171989.2
OG0000138	NP_001036303.2	XP_011156769.2
OG0000139	NP_651882.1	XP_011163331.1, XP_011163323.1, XP_011163250.1, XP_011163312.2, XP_025992297.2, XP_039315649.1, XP_039315647.1, XP_039301829.1, XP_039315650.1, XP_039302240.1, XP_039302238.1, XP_039302239.1, XP_025994094.1, XP_039304648.1, XP_039304661.1, XP_039304659.1, XP_039304653.1, XP_039304655.1, XP_039304654.1, XP_039304658.1, XP_039304657.1, XP_039304656.1, XP_039304652.1, XP_039304651.1, XP_039304649.1, XP_039304664.1, XP_039304665.1, XP_039304663.1, XP_039304662.1
OG0000141	NP_001287037.1	XP_011172931.2
OG0000141	NP_724101.4	XP_011173169.1
OG0000143	NP_001259687.1	XP_011158940.1, XP_011158941.1
OG0000144	NP_001287042.1, NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1	XP_011155485.2, XP_011155484.1
OG0000145	NP_651930.2	XP_039310475.1, XP_039310474.1, XP_025989810.1
OG0000146	NP_648843.1	XP_011158610.1
OG0000146	NP_610294.1	XP_011157598.1
OG0000147	NP_001245762.1	XP_039307845.1, XP_025987816.1, XP_039314750.1
OG0000149	NP_648425.1	XP_011168700.1
OG0000149	NP_647686.1	XP_039303906.1, XP_011168707.2, XP_011168703.2, XP_011168705.2, XP_011168706.2, XP_011168701.2
OG0000150	NP_001246198.1	XP_011156682.1, XP_025991203.1, XP_011156666.1, XP_011156673.1, XP_025991204.1
OG0000151	NP_001287124.1	XP_011167344.2
OG0000152	NP_001260743.1	XP_011159593.1, XP_011159592.1
OG0000153	NP_001261584.1	XP_025991417.2
OG0000154	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1	XP_039306572.1, XP_011172804.1, XP_039306683.1
OG0000156	NP_647767.1	XP_039313051.1, XP_039313052.1, XP_011167313.1, XP_011167314.1, XP_011167312.1
OG0000157	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1	XP_039311111.1, XP_039311110.1
OG0000158	NP_648354.1	XP_039312830.1, XP_011168943.1, XP_011168955.1, XP_039312827.1
OG0000160	NP_001034016.1, NP_649019.2	XP_025995468.2
OG0000160	NP_649428.1	XP_039307899.1
OG0000161	NP_001261749.1, NP_788501.1	XP_011171818.2, XP_011157167.1, XP_011171836.1
OG0000162	NP_001285015.1	XP_011158164.1
OG0000162	NP_001262916.1	XP_025990139.1
OG0000164	NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1	XP_011175603.2, XP_039313027.1
OG0000165	NP_001245593.1	XP_011162664.1, XP_011162665.1, XP_025987522.1, XP_025987521.1
OG0000165	NP_001284986.1	XP_011173553.1
OG0000166	NP_001097498.1	XP_025986750.2, XP_025986751.2, XP_039305072.1, XP_039305077.1
OG0000168	NP_001261500.1	XP_025989788.2
OG0000171	NP_609310.2, NP_609309.1	XP_011160261.1, XP_039309768.1, XP_011160941.1, XP_039309770.1, XP_011160937.1, XP_011160936.1
OG0000173	NP_001247239.1	XP_025993243.1, XP_011165836.1, XP_039304290.1, XP_011165837.1, XP_011165835.1
OG0000174	NP_725682.2, NP_001286533.1, NP_611218.1	XP_025991237.1, XP_025991236.1, XP_025991235.1, XP_025991234.1, XP_025991233.1, XP_039302167.1, XP_039302166.1
OG0000175	NP_001163218.1	XP_039302006.1, XP_039302007.1, XP_011157853.1
OG0000177	NP_001261827.1	XP_025993788.1
OG0000177	NP_001261829.1	XP_011167661.1
OG0000178	NP_001356914.1	XP_011165136.1
OG0000179	NP_523366.2, NP_648697.1	XP_011164111.1
OG0000180	NP_001027161.1	XP_011166951.1, XP_011166952.1, XP_025986052.1, XP_025986051.1
OG0000182	NP_001163460.1	XP_011171027.1, XP_039307169.1, XP_039307168.1, XP_039307167.1, XP_039307166.1, XP_025991013.1
OG0000183	NP_001287555.1	XP_011173713.1, XP_011173715.1
OG0000183	NP_524074.1	XP_025992667.1
OG0000184	NP_995642.1, NP_523504.2, NP_001162633.1	XP_039308158.1, XP_039308138.1, XP_039308136.1
OG0000185	NP_001259439.1	XP_011158491.1, XP_011158492.1
OG0000186	NP_573320.1	XP_039303622.1, XP_025989743.2, XP_011172186.2, XP_039302616.1, XP_011172178.2, XP_011172155.1, XP_025989742.2, XP_011172133.1
OG0000187	NP_001188856.1	XP_039309150.1, XP_011165088.1, XP_011165087.1
OG0000188	NP_524551.2, NP_476974.1	XP_011168465.1
OG0000189	NP_608557.4, NP_523485.3, NP_523484.2, NP_001036373.1	XP_011170993.1, XP_039306223.1
OG0000190	NP_732717.1	XP_011166168.1, XP_039304064.1, XP_025988559.1
OG0000191	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2, NP_001246909.1, NP_477232.1, NP_648125.3	XP_039315120.1, XP_011164616.2
OG0000192	NP_611994.3	XP_039310511.1, XP_039310512.1, XP_039310513.1, XP_039310514.1, XP_025989114.2, XP_025989113.2, XP_011155855.2
OG0000194	NP_648207.1	XP_039304800.1
OG0000196	NP_001261758.1	XP_039306717.1, XP_011171411.1, XP_011171412.1, XP_039306716.1
OG0000196	NP_730938.1	XP_011161482.2
OG0000197	NP_001287082.1	XP_011157191.1
OG0000198	NP_611747.2	XP_011163990.2, XP_039313887.1, XP_025994493.1
OG0000200	NP_001262796.1	XP_011170758.1
OG0000200	NP_001259616.1	XP_011168061.1, XP_011168064.1
OG0000201	NP_649026.1	XP_025990401.2
OG0000201	NP_730973.1, NP_001262292.1, NP_649563.1, NP_730974.1, NP_569875.2	XP_039308817.1, XP_011165064.3, XP_039308820.1, XP_011165062.1, XP_011165070.2, XP_011165069.2
OG0000202	NP_001260674.1	XP_025993071.1
OG0000203	NP_001369023.1, NP_001287406.1, NP_650804.2, NP_650803.1	XP_011160113.1, XP_011160112.1
OG0000203	NP_648067.2	XP_011168468.1, XP_039309884.1
OG0000204	NP_001188590.1	XP_011157986.2, XP_039310926.1, XP_039310928.1, XP_039310930.1, XP_039310927.1, XP_025986662.2, XP_025986663.1, XP_011157989.1, XP_039310924.1, XP_025986661.1, XP_011157991.1, XP_011156232.2
OG0000205	NP_001097505.1	XP_011168746.1, XP_039308307.1
OG0000206	NP_650893.2	XP_025988777.2, XP_039314221.1, XP_039314222.1
OG0000206	NP_001097707.1, NP_001287222.1	XP_039314588.1, XP_039314587.1, XP_039314586.1, XP_039302134.1, XP_039302063.1, XP_011172221.2, XP_011172346.2, XP_025993307.2
OG0000207	NP_001286310.1, NP_001287091.1	XP_025996998.1
OG0000207	NP_001246139.1	XP_011156648.1, NP_001291516.1
OG0000208	NP_001137606.1	XP_011156625.1
OG0000209	NP_001163199.1	XP_011160517.1, XP_011160520.1
OG0000212	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1	XP_011175849.1, XP_011175847.2
OG0000213	NP_648589.1	XP_039307097.1, XP_039307100.1, XP_039307098.1, XP_039307099.1, XP_039307096.1
OG0000214	NP_001260290.1	XP_011162082.1
OG0000214	NP_001247324.1	XP_025990048.1, XP_025990047.1
OG0000215	NP_649139.1	XP_025993451.1, XP_039314411.1, XP_011167858.1, XP_011167862.1, XP_039314414.1, XP_039314413.1, XP_011167867.1, XP_039314640.1
OG0000216	NP_524598.1, NP_001262008.1, NP_572780.3, NP_573003.2, NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1	XP_011163750.1
OG0000217	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1	XP_011155464.2
OG0000218	NP_649086.2	XP_011160002.1, XP_011160001.1, XP_011160003.1, XP_011160000.1
OG0000219	NP_610764.1	XP_011168754.1, XP_011168753.1, XP_011168751.1, XP_011168750.1, XP_011168748.1
OG0000220	NP_650528.1	XP_039306555.1, XP_039306557.1, XP_039306558.1, XP_039306556.1, XP_039306554.1, XP_011172901.1
OG0000221	NP_001036320.3	XP_025986297.1
OG0000223	NP_523986.2	XP_011166243.1
OG0000223	NP_524142.2, NP_524141.1	XP_011158143.1
OG0000224	NP_647862.1, NP_728942.1	XP_011167331.2, XP_025988662.1, XP_011167330.1, XP_025988660.1
OG0000225	NP_536756.1	XP_011163590.1, XP_011163589.1, XP_039304922.1, XP_011163592.1
OG0000226	NP_001356958.1	XP_039305990.1, XP_011165709.2, XP_039305989.1, XP_025988432.1, XP_025988435.1
OG0000226	NP_611241.2	XP_025988429.1
OG0000227	NP_001262022.1	XP_025988617.1, XP_025988616.1
OG0000229	NP_726223.1, NP_001303360.1, NP_001246468.1	XP_011167118.1
OG0000230	NP_001286852.1	XP_039310937.1, XP_011157985.1
OG0000231	NP_650028.1, NP_650029.1, NP_001285882.1	XP_039311197.1, XP_025994418.1, XP_025994419.1, XP_025994417.1
OG0000232	NP_001303567.1	XP_011161208.1, XP_011161207.1
OG0000233	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1	XP_011165376.2, XP_011165374.2, XP_011165377.1, XP_011165378.1, XP_011165383.1, XP_025993530.1, XP_011165381.1, XP_011165400.1, XP_025993534.2
OG0000234	NP_726740.1, NP_649880.1, NP_649881.1	XP_039301750.1, XP_039301749.1, XP_025986027.1, XP_025986025.2, XP_025986029.1, XP_025986030.1, XP_025986032.1, XP_025986033.1, XP_025986034.1, XP_025992614.1, XP_011166748.1, XP_039301747.1, XP_011166749.1, XP_011166747.1, XP_011166745.1, XP_011166746.1
OG0000235	NP_001261046.1	XP_039301746.1, XP_011176069.1, XP_011176072.1, XP_011176068.1
OG0000236	NP_524368.5	XP_025993904.1
OG0000237	NP_523862.1	XP_025992756.2
OG0000239	NP_733091.1, NP_611452.2, NP_001285793.1, NP_651369.1, NP_001027211.3, NP_001287526.1, NP_651371.1, NP_733121.1, NP_651372.1, NP_651370.2, NP_001262006.1, NP_001260130.1, NP_569859.1, NP_609015.2, NP_573269.1	XP_011164898.1, XP_011164905.1, XP_039315084.1, XP_039313572.1, XP_025986634.2, XP_025986633.2, XP_025986632.2
OG0000241	NP_001097059.1, NP_647821.2, NP_001285749.1	XP_011175763.2
OG0000243	NP_608584.1, NP_523761.2	XP_039301690.1, XP_039301691.1, XP_011170229.2, XP_039312287.1, XP_039312290.1, XP_011163953.1, XP_039304163.1, XP_011166868.1, XP_011166866.1, XP_011166867.2
OG0000244	NP_610117.1	XP_039306518.1, XP_011175201.1, XP_011175202.1
OG0000245	NP_476812.1, NP_610443.1, NP_524760.1	XP_011162616.1
OG0000246	NP_724163.1	XP_011161827.1, XP_039303228.1
OG0000246	NP_476592.1	XP_039302793.1, XP_039302661.1
OG0000247	NP_649833.1, NP_648548.1	XP_011173011.1
OG0000249	NP_572996.1	XP_011156910.2, XP_039306219.1, XP_011156908.1, XP_011174006.1
OG0000250	NP_650508.1, NP_001285102.1	XP_011161725.1, XP_025995993.1, XP_025995992.1, XP_011156530.2, XP_039308592.1
OG0000252	NP_730950.2	XP_025997250.1
OG0000253	NP_001263132.1	XP_039309534.1
OG0000254	NP_732295.1	XP_011166638.1
OG0000254	NP_001368946.1	XP_011155529.1
