Orthogroup	Drosophila_melanogaster	Anopheles_gambiae
OG0000017	NP_611325.2, NP_611326.1, NP_611327.1, NP_611328.1, NP_001286571.1, NP_611329.1, NP_725784.1, NP_001286570.1, NP_611323.1, NP_611324.1, NP_001246500.1, NP_001286575.1, NP_001188889.1	XP_319968.3, XP_319970.3, XP_319969.1, XP_319967.1, XP_319966.1, XP_001238234.1, XP_319972.1
OG0000017	NP_001138040.1	XP_562676.3
OG0000017	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1	XP_562680.2, XP_313048.1, XP_313052.1, XP_313050.3, XP_313049.1
OG0000018	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1	XP_316463.3, XP_557101.2
OG0000018	NP_651678.1, NP_651679.2, NP_611571.2	XP_001237640.2, XP_315221.5, XP_001688623.2
OG0000018	NP_001247286.1	XP_312930.5
OG0000019	NP_477331.1, NP_610138.4, NP_001286441.1, NP_650219.2	XP_312042.5
OG0000019	NP_001014548.1	XP_316926.4
OG0000019	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1	XP_003436388.1, XP_312768.5, XP_314084.4, XP_312606.4
OG0000020	NP_723103.1	XP_554133.3
OG0000020	NP_001097100.1	XP_314903.3
OG0000020	NP_001188701.2	XP_554132.3
OG0000020	NP_723828.1	XP_314904.3
OG0000020	NP_001137799.1	XP_001238085.2
OG0000020	NP_723441.2	XP_319101.4
OG0000020	NP_001097508.2	XP_315006.4
OG0000020	NP_651649.1	XP_312941.4
OG0000020	NP_001138225.1	XP_555858.3
OG0000020	NP_001259218.1	XP_001231126.3
OG0000021	NP_648539.1	XP_313342.5, XP_003436532.1
OG0000021	NP_001263113.1, NP_651812.1	XP_320239.4
OG0000021	NP_001189282.1	XP_312638.5
OG0000021	NP_611262.1, NP_651761.2	XP_003436878.1, XP_315178.5, XP_315182.5, XP_315184.4
OG0000021	NP_650482.1, NP_732032.1	XP_321592.4
OG0000022	NP_001027366.1, NP_001027371.1, NP_001027376.1	XP_318365.3
OG0000022	NP_001027301.1, NP_001027341.1	XP_307083.3
OG0000024	NP_001287440.1, NP_572746.1, NP_788887.1, NP_001036311.2, NP_001036313.1, NP_572695.2, NP_648664.2, NP_608991.2	XP_319504.3, XP_315663.4, XP_315499.1, XP_001237675.1, XP_001237676.2, XP_556135.3, XP_315496.4
OG0000024	NP_001262831.1	XP_312977.3
OG0000026	NP_729591.1, NP_001287018.1	XP_558069.3
OG0000026	NP_001014616.2	XP_321915.5
OG0000026	NP_650080.3	XP_321911.5
OG0000026	NP_001287332.1	XP_003436038.1, XP_308060.4
OG0000026	NP_001163838.2	XP_320025.4, XP_320023.4, XP_320032.4, XP_320040.3, XP_320020.4, XP_553184.3
OG0000026	NP_001285239.1	XP_322033.4
OG0000027	NP_001027302.1, NP_001027297.1, NP_001027293.1, NP_001027307.1, NP_001027342.1	XP_315129.4
OG0000027	NP_001027352.1, NP_001027357.1, NP_001027362.1, NP_001027382.1	XP_307607.3
OG0000029	NP_647872.1	XP_311670.4, XP_001688322.1, XP_001688325.1, XP_001688324.1, XP_001688323.1, XP_311667.3, XP_001230823.2, XP_001230824.2, XP_306539.4, XP_001230390.1
OG0000029	NP_650813.2	XP_321427.2, XP_001238481.1, XP_321429.3, XP_551138.2, XP_551139.2, XP_551141.1
OG0000029	NP_647875.1	XP_001688326.1
OG0000029	NP_647873.2	XP_003436466.1, XP_560960.4, XP_311664.4
OG0000030	NP_650568.2, NP_650567.1, NP_650566.1, NP_001027183.1, NP_001027182.1, NP_001260257.1, NP_001097509.3	XP_309854.4
OG0000030	NP_651652.2	XP_001688768.1, XP_556664.3, XP_001688769.1, XP_001688770.1
OG0000032	NP_001285067.1	XP_001231044.2
OG0000032	NP_611166.2	XP_309525.4
OG0000032	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1	XP_321319.5, XP_320826.2, XP_320829.4
OG0000032	NP_651403.1	XP_313740.5, XP_310281.6
OG0000035	NP_609909.1, NP_609911.1, NP_001246082.2	XP_317561.4
OG0000035	NP_001246079.1	XP_317047.3, XP_555044.3
OG0000035	NP_001036565.1, NP_001286734.1, NP_611563.1, NP_001097859.4	XP_308459.4
OG0000035	NP_651153.1, NP_651152.1, NP_651154.1, NP_001262470.1, NP_652619.1, NP_524313.2, NP_652623.2, NP_652622.3, NP_651866.1, NP_524314.2, NP_001097744.1, NP_652625.2, NP_652626.1, NP_001287281.1	XP_308744.4, XP_001688832.1, XP_316292.4, XP_308743.3
OG0000036	NP_001287583.1, NP_001369024.1	XP_316611.2
OG0000037	NP_001137869.1	XP_308913.3
OG0000037	NP_648209.1	XP_308915.3
OG0000037	NP_001097547.1	XP_316348.4
OG0000037	NP_649120.1	XP_308891.2, XP_316624.3, XP_001688133.1, XP_001688134.1, XP_308903.4, XP_001237148.2, XP_001688135.1, XP_001237147.2, XP_001688132.1, XP_001237146.1, XP_001688131.1, XP_308896.4, XP_308892.4, XP_001688124.1, XP_001688129.1, XP_001688130.1, XP_001688127.1, XP_001688128.1, XP_001688125.1, XP_001688120.1, XP_001688126.1, XP_001688123.1, XP_001237145.2, XP_001688119.1, XP_001688121.1, XP_001688122.1
OG0000038	NP_476772.1, NP_524264.1	XP_309723.4
OG0000038	NP_650674.1	XP_312152.5
OG0000038	NP_524009.2	XP_308639.4, XP_563022.4
OG0000040	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1	XP_314093.2, XP_565496.1, XP_309032.2, XP_309033.2, XP_309036.1, XP_565054.3, XP_308619.3
OG0000041	NP_001262200.1	XP_313971.4
OG0000041	NP_477037.2	XP_315271.4
OG0000042	NP_731781.1	XP_311704.5
OG0000042	NP_001287604.1	XP_003436368.1, XP_003436369.1, XP_001237393.3, XP_003436367.1
OG0000042	NP_651966.2, NP_650201.1, NP_652731.1	XP_003435912.1, XP_003435911.1, XP_003435913.1, XP_321375.3, XP_307056.3
OG0000043	NP_001286870.1	XP_317400.2
OG0000043	NP_524121.2	XP_317404.2
OG0000043	NP_001286808.1	XP_317407.1, XP_317405.3, XP_317408.2
OG0000044	NP_732652.1, NP_001303538.1	XP_318000.4, XP_001689317.2, XP_003435967.1, XP_003435966.1, XP_003436699.1, XP_312430.5
OG0000044	NP_650979.1	XP_554544.3
OG0000044	NP_732654.1, NP_732655.3	XP_003436569.1, XP_003436570.1, XP_003436568.1, XP_003436573.1, XP_003436571.1, XP_003436572.1
OG0000044	NP_651674.3	XP_003436574.1
OG0000044	NP_611781.3, NP_001356886.1, NP_648488.1, NP_572643.1, NP_572644.1, NP_001350853.2, NP_001263064.1, NP_001263065.1	XP_316862.5
OG0000045	NP_001188791.2, NP_609522.1	XP_001689203.1, XP_316055.4, XP_552857.3, XP_319713.4
OG0000045	NP_476627.3	XP_320938.3, XP_320155.3
OG0000045	NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2	XP_320159.3, XP_320158.1, XP_552300.3
OG0000046	NP_001285139.1	XP_313085.3
OG0000046	NP_524474.1, NP_650209.1, NP_788663.1, NP_524927.2, NP_731716.1, NP_731651.1, NP_524798.2	XP_001688467.2
OG0000046	NP_001262586.1	XP_001689308.2
OG0000046	NP_524063.1	XP_315042.3
OG0000050	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1	XP_316295.4, XP_316296.3
OG0000050	NP_001287487.1	XP_312564.5
OG0000052	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2	XP_319685.4
OG0000052	NP_652665.3, NP_609664.1, NP_620115.2	XP_317786.3
OG0000052	NP_725600.1	XP_320291.3
OG0000054	NP_523854.1, NP_001286953.1	XP_312323.3
OG0000054	NP_477282.2, NP_729146.1, NP_729147.1	XP_316036.1, XP_316039.1, XP_316038.1, XP_316040.1, XP_316041.3
OG0000055	NP_001284925.1	XP_553645.3
OG0000055	NP_650904.3	XP_312790.4
OG0000055	NP_001246914.1	XP_321277.5
OG0000056	NP_001369131.1	XP_318579.4
OG0000056	NP_647937.2	XP_550805.4
OG0000056	NP_995958.2	XP_317863.3
OG0000057	NP_523842.2	XP_314483.4
OG0000057	NP_729172.1	XP_315005.3
OG0000057	NP_001163753.1	XP_309083.4, XP_001688163.1
OG0000060	NP_650848.1	XP_318748.4
OG0000061	NP_001097692.1	XP_003436493.1, XP_003436494.1, XP_003436495.1, XP_309674.5
OG0000061	NP_648605.1	XP_309223.5, XP_003437178.1, XP_003437179.1
OG0000061	NP_536732.1, NP_523675.1, NP_611234.1	XP_311857.4
OG0000062	NP_001261156.1	XP_308609.4, XP_308610.4, XP_315550.4, XP_315549.4, XP_308607.3, XP_308606.2, XP_001688031.1
OG0000065	NP_524105.2, NP_001285777.1, NP_001027266.1, NP_001027272.1, NP_648885.1, NP_652673.2	XP_565271.3
OG0000067	NP_001284994.1	XP_320481.4
OG0000067	NP_001261491.1	XP_315003.3, XP_001688603.1, XP_315671.4
OG0000073	NP_001246864.1	XP_311477.4
OG0000073	NP_001356902.1	XP_001237740.2, XP_316332.1, XP_001237817.1, XP_316470.3, XP_001237816.1, XP_001238312.2, XP_318942.3, XP_308951.1, XP_308952.3
OG0000074	NP_536776.2	XP_321263.5
OG0000077	NP_001137778.2, NP_001259986.1	XP_319941.4
OG0000077	NP_001015405.3	XP_316979.4, XP_321166.4
OG0000080	NP_001262255.1	XP_313655.5
OG0000080	NP_649754.1	XP_313358.4
OG0000080	NP_001262254.1	XP_313656.5, XP_003436798.1, XP_003436797.1
OG0000082	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2	XP_309846.3, XP_564070.3, XP_309845.4
OG0000082	NP_609726.1	XP_309840.2
OG0000084	NP_001097285.1	XP_318996.4
OG0000084	NP_610774.3	XP_318989.4
OG0000084	NP_648031.1	XP_318995.4
OG0000085	NP_651221.1	XP_003436490.1, XP_560023.4, XP_001688203.2, XP_309687.5, XP_316739.3
OG0000086	NP_650254.1, NP_001246901.1, NP_001368950.1	XP_312070.5
OG0000086	NP_001097766.1	XP_313588.3, XP_313589.2, XP_313388.5, XP_003436544.1, XP_562493.4, XP_003436543.1
OG0000087	NP_001261716.1	XP_308086.3, XP_309579.4, XP_309577.4, XP_308085.4
OG0000087	NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1	XP_306334.2, XP_308083.4, XP_308082.4
OG0000088	NP_476589.4	XP_317091.3
OG0000089	NP_001162840.1, NP_001259800.1	XP_319737.4
OG0000091	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2	XP_314159.2, XP_314157.3, XP_314156.2, XP_314158.2
OG0000092	NP_001262592.1	XP_003435946.1, XP_003435945.1, XP_003435944.1, XP_003435942.1, XP_003435943.1, XP_321262.1, XP_003435947.1
OG0000094	NP_001284983.1	XP_321973.5
OG0000094	NP_651446.2	XP_321095.5, XP_003435979.1
OG0000094	NP_650069.2	XP_321571.5
OG0000094	NP_651889.3, NP_001189331.1, NP_651891.2	XP_312311.5
OG0000096	NP_726022.1	XP_003436133.1, XP_003436134.1
OG0000096	NP_001246550.1	XP_315650.4
OG0000096	NP_611542.2	XP_319801.4, XP_316256.4, XP_314312.4, XP_316448.2
OG0000097	NP_001286321.1	XP_308429.3
OG0000097	NP_524611.1	XP_003436515.1, XP_003436516.1, XP_562379.1
OG0000098	NP_001260487.1	XP_314814.3
OG0000099	NP_608954.1	XP_320987.5
OG0000099	NP_001034071.1	XP_312290.4
OG0000099	NP_651628.1	XP_313462.4
OG0000100	NP_001262908.1, NP_001262907.1	XP_313581.5
OG0000101	NP_001286204.1, NP_610403.1, NP_609640.1	XP_321098.5
OG0000101	NP_001285802.1	XP_001238368.1, XP_552458.3, XP_320729.4, XP_320730.2, XP_320721.3, XP_320722.4, XP_320723.2, XP_320728.3
OG0000101	NP_001015212.1	XP_552464.1
OG0000102	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2	XP_308709.4, XP_565152.3
OG0000102	NP_001188733.1	XP_312189.5, XP_003436226.1
OG0000103	NP_001287130.1	XP_001230804.1
OG0000108	NP_648918.1	XP_557098.2, XP_316461.3, XP_001237813.1, XP_316460.3, XP_557100.2
OG0000109	NP_648392.1, NP_001245736.1	XP_309801.3
OG0000110	NP_788521.2, NP_729246.2, NP_729014.1	XP_001689285.1
OG0000112	NP_001369123.1	XP_560420.2
OG0000113	NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2	XP_001231003.2, XP_550924.1, XP_321171.4, XP_550973.4, XP_321231.5
OG0000113	NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1	XP_321172.5
OG0000113	NP_649688.1	XP_321170.4
OG0000114	NP_572582.1, NP_651168.1, NP_524362.2, NP_001303421.1, NP_650380.2	XP_312956.3, XP_307750.3, XP_003436426.1, XP_306194.4, XP_307755.1, XP_001237509.2, XP_001237510.1, XP_312959.4, XP_320219.3, XP_307756.2, XP_313032.4
OG0000114	NP_651784.2, NP_651821.3, NP_649734.2	XP_312744.4, XP_003436374.1
OG0000115	NP_001261040.1	XP_311546.4
OG0000117	NP_001286115.1	XP_318912.3
OG0000117	NP_001262809.1	XP_001238428.3
OG0000118	NP_611204.2	XP_003435810.1, XP_321773.4
OG0000120	NP_001260010.1, NP_001162947.1	XP_319911.4
OG0000122	NP_001287102.1, NP_001163462.1, NP_649023.1	XP_309303.3, XP_564139.3
OG0000122	NP_610807.3	XP_552160.3
OG0000123	NP_001259925.1	XP_317585.4
OG0000124	NP_001260435.1, NP_001245746.1	XP_312632.5
OG0000125	NP_651172.1, NP_001097888.1	XP_321447.5
OG0000126	NP_477498.1, NP_996167.1	XP_003436885.1, XP_311618.2
OG0000127	NP_001261916.1	XP_308528.2, XP_308529.3, XP_001237095.2, XP_560812.1, XP_308527.5
OG0000127	NP_477127.1	XP_309323.2
OG0000129	NP_001188842.2	XP_319208.4
OG0000130	NP_723165.2	XP_314859.4
OG0000130	NP_001014474.3	XP_314860.4, XP_557898.3
OG0000131	NP_001259087.1	XP_311973.1, XP_003436315.1
OG0000131	NP_001097667.1	XP_320516.2
OG0000132	NP_001245934.1, NP_001137808.1, NP_609121.2	XP_314281.4
OG0000132	NP_001245823.1, NP_724088.2, NP_724087.1	XP_317287.4, XP_319288.2
OG0000133	NP_001368939.1	XP_001238215.2
OG0000134	NP_572838.2, NP_609298.1	XP_320672.3
OG0000134	NP_610678.1	XP_553069.3
OG0000135	NP_001286904.1	XP_321549.1
OG0000135	NP_524655.1	XP_308966.4
OG0000136	NP_001097337.1	XP_557311.3
OG0000137	NP_727460.1, NP_611465.2	XP_313095.4
OG0000138	NP_001036303.2	XP_310751.5
OG0000139	NP_651882.1	XP_318027.4
OG0000141	NP_651471.2	XP_312292.5
OG0000141	NP_724101.4	XP_317639.4
OG0000143	NP_001259687.1	XP_311266.4
OG0000144	NP_001287042.1	XP_321434.5, XP_321436.5, XP_321800.4
OG0000144	NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1	XP_001237710.1, XP_001688727.1, XP_315780.4
OG0000145	NP_651930.2	XP_318854.4
OG0000146	NP_648843.1	XP_556748.3
OG0000146	NP_572304.5	XP_001238402.1, XP_320925.3, XP_001238796.1
OG0000146	NP_610294.1	XP_308640.2
OG0000147	NP_001245762.1	XP_312505.3, XP_003436127.1, XP_003436126.1
OG0000149	NP_648425.1	XP_319018.3
OG0000150	NP_001246198.1	XP_316248.3
OG0000151	NP_001287124.1	XP_001687986.1
OG0000152	NP_001260743.1	XP_001688746.1, XP_315920.4
OG0000153	NP_001097608.1	XP_307093.4, XP_317935.4
OG0000153	NP_001261584.1	XP_315414.4
OG0000154	NP_649002.3, NP_608445.2	XP_552044.3, XP_320377.4, XP_308371.4, XP_001688862.1, XP_557048.3
OG0000156	NP_647767.1	XP_315693.3
OG0000157	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1	XP_319874.4, XP_319873.4
OG0000160	NP_001034016.1	XP_314536.3
OG0000160	NP_649428.1	XP_314534.4
OG0000161	NP_001261749.1, NP_788501.1	XP_315381.4, XP_556009.2, XP_001237651.1, XP_556011.2
OG0000162	NP_001097669.2	XP_566274.3, XP_311007.4
OG0000162	NP_001285015.1	XP_310786.3
OG0000162	NP_001262916.1	XP_311918.3
OG0000164	NP_647962.1	XP_315013.4
OG0000164	NP_001260346.1	XP_552916.2
OG0000165	NP_001245593.1	XP_311219.3
OG0000165	NP_001284986.1	XP_311252.5
OG0000166	NP_001097498.1	XP_001689364.2, XP_001689365.2, XP_001689363.2, XP_321832.5, XP_003435807.1
OG0000168	NP_996226.2	XP_314120.4
OG0000168	NP_001261500.1	XP_001688600.1, XP_314993.4, XP_001688601.1
OG0000168	NP_001261571.1	XP_308666.4
OG0000168	NP_001246162.1	XP_309810.4
OG0000171	NP_609310.2, NP_609309.1	XP_553377.2, XP_318615.2, XP_317868.4, XP_554784.3
OG0000171	NP_001260213.1, NP_609133.2, NP_610819.1, NP_648060.1	XP_001237882.1, XP_317081.2, XP_001689001.1
OG0000173	NP_001247239.1	XP_313784.5
OG0000174	NP_001286533.1, NP_611218.1	XP_313394.4
OG0000175	NP_001163218.1	XP_001687949.1, XP_308467.4
OG0000177	NP_001261827.1	XP_309771.2
OG0000177	NP_001261829.1	XP_001230649.2
OG0000177	NP_001261830.1	XP_001688246.1
OG0000178	NP_001356914.1	XP_307952.5
OG0000179	NP_523366.2, NP_648697.1	XP_003437002.1, XP_310632.5
OG0000180	NP_001027161.1	XP_003436547.1, XP_003436546.1, XP_313417.5
OG0000183	NP_001287555.1	XP_311711.3
OG0000183	NP_524074.1	XP_317936.4
OG0000183	NP_001245996.1	XP_307630.3
OG0000184	NP_995642.1, NP_523504.2	XP_319373.1
OG0000185	NP_001259439.1	XP_001688361.2
OG0000186	NP_573320.1	XP_308393.4
OG0000187	NP_001188856.1	XP_318759.3
OG0000188	NP_477462.1	XP_315011.4, XP_315012.3, XP_001230552.2, XP_315010.4, XP_320581.4, XP_320580.4
OG0000188	NP_524551.2, NP_476974.1	XP_316795.2
OG0000189	NP_651982.1, NP_001036733.1, NP_001262788.1	XP_559460.4, XP_003436249.1, XP_312117.5
OG0000189	NP_650925.1	XP_003437104.1, XP_311341.5
OG0000189	NP_608557.4, NP_523485.3, NP_523484.2, NP_001036373.1	XP_311343.4, XP_309276.4
OG0000190	NP_732717.1	XP_003436713.1, XP_312971.1
OG0000191	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2	XP_321501.2
OG0000191	NP_001246909.1, NP_477232.1, NP_648125.3	XP_320256.4, XP_001230641.2, XP_320896.4, XP_320897.4, XP_309543.4
OG0000192	NP_611994.3	XP_311585.4
OG0000193	NP_649170.1	XP_001689131.1
OG0000193	NP_609018.3, NP_001246376.1, NP_611641.6, NP_726164.1, NP_573254.1, NP_723894.2, NP_610396.2	XP_308841.4, XP_308724.4, XP_320534.4, XP_314500.4
OG0000194	NP_648207.1	XP_556986.2
OG0000196	NP_001261758.1	XP_321556.3
OG0000196	NP_730938.1	XP_001687817.2, XP_560491.4
OG0000197	NP_001287082.1	XP_308795.4
OG0000198	NP_611747.2	XP_314495.3
OG0000200	NP_001262796.1	XP_559572.2, XP_003436619.1, XP_003436618.1, XP_003436620.1
OG0000201	NP_649026.1	XP_316379.4
OG0000201	NP_730973.1, NP_001262292.1, NP_649563.1, NP_730974.1	XP_312417.5
OG0000201	NP_569875.2	XP_003436144.1, XP_312416.4, XP_320665.4
OG0000203	NP_001369023.1, NP_001287406.1, NP_650804.2, NP_650803.1	XP_321914.5
OG0000203	NP_648067.2	XP_315944.3
OG0000204	NP_001188590.1	XP_003436222.1, XP_312208.4
OG0000205	NP_001097505.1	XP_001688795.1, XP_003436549.1
OG0000206	NP_650893.2	XP_003435909.1, XP_321392.5
OG0000206	NP_001097707.1, NP_001287222.1	XP_003436103.1, XP_563817.3
OG0000207	NP_001286310.1, NP_001287091.1	XP_308487.3
OG0000207	NP_001246139.1	XP_001688813.1, XP_001688814.1, XP_556880.3
OG0000208	NP_001137606.1	XP_001688810.1, XP_316236.4
OG0000209	NP_001163199.1	XP_001230643.2, XP_309738.3
OG0000212	NP_611810.1	XP_554502.2
OG0000212	NP_788433.2, NP_611812.2, NP_001261154.1	XP_318238.4
OG0000213	NP_648589.1	XP_309297.2
OG0000214	NP_001260290.1	XP_313425.3, XP_003436551.1
OG0000214	NP_001247324.1	XP_319075.3, XP_313331.4
OG0000215	NP_649139.1	XP_001689079.1, XP_001230280.1, XP_318019.4
OG0000216	NP_524598.1	XP_310940.5, XP_001237336.2, XP_310941.5, XP_559040.3
OG0000216	NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1	XP_001237476.3, XP_003436120.1, XP_003436121.1, XP_317098.4, XP_317096.4, XP_312527.4
OG0000217	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1	XP_310550.5, XP_309658.5
OG0000218	NP_649086.2	XP_308642.4
OG0000219	NP_610764.1	XP_309335.4
OG0000220	NP_650528.1	XP_314482.4
OG0000221	NP_001036320.3	XP_310745.5
OG0000223	NP_523986.2	XP_320146.3
OG0000223	NP_524142.2, NP_524141.1	XP_308984.1
OG0000224	NP_647862.1	XP_312099.2
OG0000224	NP_728942.1	XP_312102.4
OG0000225	NP_536756.1	XP_310636.2, XP_003437000.1
OG0000226	NP_001356958.1	XP_313395.2
OG0000226	NP_611241.2	XP_317851.1
OG0000227	NP_001262022.1	XP_308342.4, XP_001237064.2
OG0000229	NP_001097421.2	XP_319805.4, XP_001238197.1
OG0000230	NP_001286852.1	XP_001688611.1
OG0000230	NP_611887.2	XP_001688610.1
OG0000231	NP_650028.1, NP_650029.1	XP_003436333.1
OG0000231	NP_001285882.1	XP_316371.4
OG0000232	NP_001303567.1	XP_315941.1, XP_315942.3, XP_315943.3
OG0000233	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1	XP_311447.4
OG0000234	NP_726740.1, NP_649880.1, NP_649881.1	XP_314989.4, XP_316577.4
OG0000235	NP_001261046.1	XP_309952.4
OG0000236	NP_524368.5	XP_312478.1, XP_001238571.2
OG0000237	NP_523863.1	XP_559100.2
OG0000237	NP_523862.1	XP_311581.3
OG0000239	NP_733091.1	XP_003436598.1
OG0000239	NP_611452.2, NP_001285793.1, NP_651369.1, NP_001027211.3, NP_001287526.1, NP_651371.1, NP_733121.1, NP_651372.1, NP_651370.2, NP_001262006.1	XP_559533.6
OG0000239	NP_001260130.1, NP_569859.1, NP_609015.2, NP_573269.1	XP_319807.4
OG0000241	NP_001285749.1	XP_553025.3
OG0000243	NP_608584.1	XP_312943.4, XP_308057.4, XP_321049.3
OG0000243	NP_523761.2	XP_308058.4
OG0000244	NP_610117.1	XP_313365.4
OG0000245	NP_476812.1	XP_315084.2, XP_001230554.1, XP_307623.1, XP_315083.1, XP_001231041.1, XP_001687787.1, XP_315074.1, XP_315076.1, XP_315075.1, XP_315073.2, XP_316323.2
OG0000245	NP_610443.1, NP_524760.1	XP_312089.2
OG0000246	NP_724163.1	XP_319840.2, XP_319841.3
OG0000246	NP_476592.1	XP_319838.3
OG0000247	NP_651898.2, NP_001096949.1	XP_001687768.2, XP_313774.4, XP_311005.4
OG0000248	NP_649074.2	XP_315067.4
OG0000248	NP_001137727.2	XP_316226.4
OG0000249	NP_572996.1	XP_310971.5
OG0000249	NP_732904.2	XP_003436284.1, XP_312022.5
OG0000250	NP_650508.1, NP_001285102.1	XP_003436312.1, XP_003436311.1, XP_311978.5
OG0000251	NP_524526.1	XP_310768.4
OG0000252	NP_730950.2	XP_321164.1
OG0000253	NP_001162737.1	XP_310451.4, XP_310450.4, XP_001238805.2
