Orthogroup	Drosophila_melanogaster	Megalopta_genalis
OG0000061	NP_648605.1, NP_536732.1, NP_523675.1, NP_611234.1	XP_033333649.1, XP_033340644.1
OG0000066	NP_610976.1	XP_033326446.1, XP_033325792.1, XP_033332603.1
OG0000067	NP_001284994.1	XP_033333911.1
OG0000067	NP_524243.2, NP_572330.2	XP_033335042.1
OG0000067	NP_001261491.1	XP_033335707.1, XP_033335708.1
OG0000073	NP_001246864.1	XP_033331553.1
OG0000077	NP_001137778.2, NP_001259986.1	XP_033333760.1
OG0000077	NP_001015405.3	XP_033332959.1
OG0000080	NP_001262255.1	XP_033326379.1, XP_033326376.1, XP_033326378.1, XP_033326380.1
OG0000080	NP_001262254.1	XP_033326285.1
OG0000082	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2, NP_609726.1, NP_572219.1	XP_033336170.1, XP_033336010.1, XP_033336011.1, XP_033336012.1
OG0000085	NP_651221.1	XP_033339267.1, XP_033339268.1, XP_033339265.1, XP_033339264.1, XP_033337654.1
OG0000086	NP_651662.1, NP_651661.1, NP_001287578.1, NP_611736.1, NP_001033953.1	XP_033341642.1
OG0000086	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1	XP_033331032.1
OG0000087	NP_001261716.1	XP_033330624.1, XP_033324927.1
OG0000087	NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1	XP_033324926.1
OG0000088	NP_476589.4	XP_033340711.1
OG0000089	NP_001162840.1, NP_001259800.1	XP_033329242.1, XP_033329243.1, XP_033329244.1
OG0000091	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2	XP_033327591.1, XP_033327610.1
OG0000092	NP_001262592.1	XP_033328764.1, XP_033322679.1, XP_033322678.1, XP_033322688.1, XP_033332253.1
OG0000094	NP_651889.3, NP_001189331.1, NP_651891.2	XP_033338575.1
OG0000096	NP_726022.1, NP_001246550.1	XP_033336669.1
OG0000096	NP_611542.2	XP_033321241.1, XP_033321218.1, XP_033321147.1, XP_033321130.1
OG0000097	NP_524611.1	XP_033322825.1
OG0000098	NP_001260487.1	XP_033321452.1, XP_033321450.1, XP_033321451.1
OG0000099	NP_608954.1	XP_033322301.1
OG0000099	NP_001034071.1	XP_033322345.1
OG0000099	NP_651628.1	XP_033341688.1
OG0000100	NP_001262908.1, NP_001262907.1	XP_033332436.1, XP_033332438.1, XP_033332435.1
OG0000101	NP_001286204.1, NP_610403.1, NP_609640.1	XP_033329295.1
OG0000101	NP_001285802.1, NP_001015212.1	XP_033329294.1, XP_033329291.1
OG0000102	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2	XP_033337546.1, XP_033327585.1
OG0000103	NP_001303368.1	XP_033320987.1, XP_033320986.1, XP_033320989.1, XP_033320988.1
OG0000108	NP_648918.1	XP_033333478.1
OG0000109	NP_648392.1, NP_001245736.1	XP_033339546.1, XP_033339549.1, XP_033339550.1, XP_033339547.1, XP_033339548.1
OG0000110	NP_788521.2, NP_729246.2, NP_729014.1	XP_033334675.1, XP_033333647.1
OG0000111	NP_650264.1	XP_033327466.1
OG0000112	NP_001369123.1	XP_033338986.1
OG0000113	NP_650037.2, NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2, NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1, NP_649688.1	XP_033339074.1, XP_033343072.1, XP_033343071.1, XP_033343075.1
OG0000115	NP_001261040.1	XP_033335200.1, XP_033335186.1, XP_033335198.1, XP_033335199.1, XP_033326630.1, XP_033336981.1, XP_033335187.1
OG0000117	NP_001286115.1	XP_033329862.1
OG0000117	NP_001262809.1	XP_033333385.1
OG0000120	NP_001260010.1, NP_001162947.1	XP_033326033.1, XP_033326042.1, XP_033323873.1
OG0000122	NP_610807.3	XP_033334236.1
OG0000123	NP_001259925.1	XP_033333520.1, XP_033333521.1
OG0000124	NP_001260435.1, NP_001245746.1	XP_033323689.1, XP_033323691.1, XP_033323690.1, XP_033323694.1, XP_033323692.1, XP_033323686.1, XP_033323688.1, XP_033323687.1
OG0000125	NP_651172.1, NP_001097888.1	XP_033321046.1, XP_033321048.1, XP_033339916.1, XP_033343094.1, XP_033339915.1, XP_033320773.1
OG0000126	NP_477498.1, NP_996167.1	XP_033325055.1, XP_033325049.1, XP_033325050.1, XP_033325047.1, XP_033325048.1, XP_033325053.1, XP_033325052.1, XP_033325054.1, XP_033325051.1
OG0000127	NP_001261916.1	XP_033341265.1
OG0000129	NP_001188842.2	XP_033337260.1, XP_033337245.1, XP_033337227.1, XP_033337236.1, XP_033337219.1, XP_033337252.1
OG0000130	NP_723165.2	XP_033328411.1, XP_033328425.1, XP_033328424.1, XP_033328423.1
OG0000130	NP_001014474.3	XP_033328418.1
OG0000131	NP_001259087.1	XP_033335039.1
OG0000131	NP_001097667.1	XP_033340309.1, XP_033340308.1
OG0000132	NP_001245934.1, NP_001137808.1, NP_609121.2	XP_033338073.1, XP_033338074.1, XP_033338075.1
OG0000132	NP_001245823.1, NP_724088.2, NP_724087.1	XP_033336949.1, XP_033336946.1, XP_033336947.1, XP_033336948.1
OG0000133	NP_001368939.1	XP_033338068.1, XP_033337902.1, XP_033337989.1, XP_033338145.1
OG0000134	NP_525003.2	XP_033330806.1, XP_033326408.1
OG0000135	NP_001286904.1	XP_033328565.1
OG0000135	NP_524655.1	XP_033329896.1
OG0000136	NP_611126.1, NP_611131.2, NP_001285647.1, NP_001097337.1	XP_033340885.1, XP_033340891.1, XP_033340948.1, XP_033340890.1, XP_033339792.1, XP_033340886.1
OG0000137	NP_727460.1, NP_611465.2	XP_033333875.1, XP_033333874.1, XP_033333872.1, XP_033333871.1
OG0000138	NP_001036303.2	XP_033329208.1, XP_033329207.1, XP_033329205.1, XP_033329209.1, XP_033329210.1, XP_033329204.1, XP_033329393.1, XP_033329391.1, XP_033329394.1
OG0000139	NP_651882.1	XP_033336023.1
OG0000141	NP_001287037.1	XP_033323945.1
OG0000141	NP_651471.2	XP_033323610.1, XP_033323609.1
OG0000143	NP_001259687.1	XP_033338241.1, XP_033338240.1, XP_033338242.1, XP_033338224.1
OG0000144	NP_001287042.1, NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1	XP_033329958.1, XP_033329957.1
OG0000145	NP_651930.2	XP_033326152.1, XP_033326151.1, XP_033326156.1, XP_033326155.1, XP_033326154.1, XP_033326153.1, XP_033331052.1, XP_033331054.1, XP_033331055.1, XP_033331053.1
OG0000146	NP_648843.1	XP_033338432.1
OG0000147	NP_001245762.1	XP_033341113.1, XP_033341112.1, XP_033324165.1
OG0000149	NP_648425.1	XP_033323096.1
OG0000149	NP_647686.1	XP_033323100.1, XP_033323099.1
OG0000150	NP_001246198.1	XP_033330026.1, XP_033330029.1
OG0000151	NP_001287124.1	XP_033330568.1, XP_033330647.1, XP_033330405.1, XP_033330738.1, XP_033330816.1, XP_033330319.1, XP_033330486.1
OG0000152	NP_001260743.1	XP_033337897.1, XP_033337901.1, XP_033337900.1, XP_033337899.1, XP_033337898.1
OG0000153	NP_001261584.1	XP_033336074.1, XP_033336076.1, XP_033336075.1
OG0000154	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1	XP_033321243.1, XP_033321242.1
OG0000156	NP_647767.1	XP_033328352.1, XP_033328346.1, XP_033328347.1, XP_033328354.1, XP_033328345.1, XP_033328353.1, XP_033328348.1, XP_033328349.1, XP_033328356.1, XP_033328355.1
OG0000157	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1	XP_033333782.1, XP_033334269.1
OG0000158	NP_648354.1	XP_033332768.1, XP_033333935.1, XP_033333395.1, XP_033328277.1
OG0000160	NP_001034016.1, NP_649019.2	XP_033342703.1, XP_033342702.1
OG0000161	NP_001261749.1, NP_788501.1	XP_033331231.1, XP_033321839.1
OG0000162	NP_001097669.2	XP_033334806.1
OG0000162	NP_001262916.1	XP_033338174.1
OG0000164	NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1	XP_033320770.1, XP_033320763.1, XP_033343121.1
OG0000165	NP_001245593.1	XP_033333149.1, XP_033333152.1
OG0000165	NP_001284986.1	XP_033335006.1
OG0000168	NP_001261500.1	XP_033339918.1
OG0000171	NP_609310.2, NP_609309.1	XP_033333068.1, XP_033333056.1
OG0000173	NP_001247239.1	XP_033324680.1, XP_033324678.1, XP_033324679.1, XP_033324677.1
OG0000174	NP_725682.2, NP_001286533.1, NP_611218.1	XP_033336682.1, XP_033336684.1, XP_033336683.1
OG0000175	NP_001163218.1	XP_033336009.1, XP_033336008.1, XP_033336007.1, XP_033336006.1, XP_033336005.1, XP_033336004.1, XP_033336003.1
OG0000177	NP_001261827.1	XP_033335034.1
OG0000177	NP_001261829.1	XP_033334971.1
OG0000177	NP_001261830.1	XP_033334932.1
OG0000178	NP_001356914.1	XP_033330470.1, XP_033330472.1
OG0000179	NP_523366.2, NP_648697.1	XP_033329714.1
OG0000180	NP_001027161.1	XP_033332614.1, XP_033332613.1, XP_033332612.1, XP_033332615.1
OG0000182	NP_001163460.1	XP_033334305.1, XP_033334301.1, XP_033334302.1, XP_033334304.1
OG0000183	NP_001287555.1	XP_033334085.1
OG0000183	NP_524074.1	XP_033333570.1
OG0000184	NP_995642.1, NP_523504.2, NP_001162633.1	XP_033341498.1, XP_033341490.1, XP_033333263.1, XP_033333261.1, XP_033341497.1
OG0000185	NP_001259439.1	XP_033335697.1, XP_033335695.1, XP_033335694.1
OG0000186	NP_573320.1	XP_033322600.1
OG0000187	NP_001188856.1	XP_033333281.1, XP_033333280.1, XP_033333279.1, XP_033333278.1
OG0000188	NP_477462.1	XP_033325090.1
OG0000188	NP_524551.2, NP_476974.1	XP_033332397.1, XP_033339920.1
OG0000189	NP_651982.1, NP_001036733.1, NP_001262788.1	XP_033338330.1
OG0000190	NP_732717.1	XP_033320777.1, XP_033320785.1, XP_033320794.1, XP_033320771.1
OG0000191	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2, NP_001246909.1, NP_477232.1, NP_648125.3	XP_033324612.1, XP_033324613.1
OG0000192	NP_611994.3	XP_033330674.1, XP_033330682.1, XP_033330681.1, XP_033330684.1, XP_033330683.1, XP_033330689.1, XP_033330679.1, XP_033330678.1, XP_033330686.1, XP_033330685.1, XP_033330677.1, XP_033330690.1, XP_033330687.1, XP_033330688.1, XP_033330692.1, XP_033330676.1, XP_033330675.1
OG0000194	NP_648207.1	XP_033339145.1
OG0000196	NP_001261758.1	XP_033325034.1
OG0000196	NP_730938.1	XP_033326430.1
OG0000197	NP_001287082.1	XP_033335784.1, XP_033335975.1, XP_033335974.1, XP_033335976.1, XP_033335973.1
OG0000198	NP_611747.2	XP_033335479.1
OG0000200	NP_001259616.1	XP_033342572.1, XP_033342575.1
OG0000201	NP_649026.1	XP_033340961.1
OG0000201	NP_730973.1, NP_001262292.1, NP_649563.1, NP_730974.1, NP_569875.2	XP_033340957.1
OG0000202	NP_001260674.1	XP_033333451.1
OG0000203	NP_001369023.1, NP_001287406.1, NP_650804.2, NP_650803.1	XP_033330196.1
OG0000203	NP_648067.2	XP_033332078.1
OG0000204	NP_001188590.1	XP_033332020.1, XP_033332021.1
OG0000205	NP_001097505.1	XP_033323241.1, XP_033323242.1, XP_033323243.1, XP_033323244.1
OG0000206	NP_650893.2	XP_033326327.1, XP_033326324.1
OG0000206	NP_001097707.1, NP_001287222.1	XP_033326332.1, XP_033332305.1
OG0000207	NP_001286310.1, NP_001287091.1	XP_033334745.1
OG0000207	NP_001246139.1	XP_033335457.1, XP_033335455.1
OG0000208	NP_001137606.1	XP_033335301.1
OG0000209	NP_001163199.1	XP_033325797.1, XP_033325796.1
OG0000212	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1	XP_033337306.1, XP_033337304.1, XP_033337305.1
OG0000213	NP_648589.1	XP_033335273.1, XP_033335255.1, XP_033335248.1, XP_033335265.1
OG0000214	NP_001260290.1	XP_033329279.1
OG0000214	NP_001247324.1	XP_033332495.1
OG0000215	NP_649139.1	XP_033324846.1, XP_033324848.1
OG0000216	NP_524598.1, NP_001262008.1, NP_572780.3, NP_573003.2, NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1	XP_033329437.1
OG0000217	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1	XP_033326893.1
OG0000218	NP_649086.2	XP_033324698.1, XP_033324701.1, XP_033324699.1, XP_033324700.1, XP_033324694.1, XP_033324693.1, XP_033324696.1, XP_033324695.1
OG0000219	NP_610764.1	XP_033341813.1, XP_033341838.1, XP_033341823.1, XP_033341832.1, XP_033341847.1
OG0000220	NP_650528.1	XP_033334552.1
OG0000221	NP_001036320.3	XP_033341189.1
OG0000223	NP_523986.2	XP_033321135.1, XP_033336081.1
OG0000223	NP_524142.2, NP_524141.1	XP_033326615.1
OG0000224	NP_647862.1, NP_728942.1	XP_033336757.1
OG0000225	NP_536756.1	XP_033327125.1, XP_033327126.1, XP_033326964.1
OG0000226	NP_001356958.1	XP_033333963.1, XP_033334005.1
OG0000226	NP_611241.2	XP_033334386.1, XP_033334377.1
OG0000227	NP_001262022.1	XP_033335345.1, XP_033335343.1, XP_033335344.1, XP_033335341.1, XP_033335342.1
OG0000229	NP_726223.1, NP_001303360.1, NP_001246468.1	XP_033329851.1, XP_033329859.1
OG0000230	NP_001286852.1	XP_033332064.1, XP_033332065.1
OG0000231	NP_650028.1, NP_650029.1, NP_001285882.1	XP_033341044.1, XP_033341042.1, XP_033341032.1, XP_033341037.1, XP_033341036.1, XP_033341034.1, XP_033341041.1, XP_033341039.1, XP_033341043.1, XP_033341035.1, XP_033341033.1, XP_033341038.1
OG0000232	NP_001303567.1	XP_033336594.1
OG0000233	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1	XP_033328835.1, XP_033330123.1
OG0000234	NP_726740.1, NP_649880.1, NP_649881.1	XP_033322626.1, XP_033322627.1, XP_033322628.1
OG0000235	NP_001261046.1	XP_033327679.1, XP_033327639.1
OG0000236	NP_524368.5	XP_033341647.1
OG0000237	NP_523863.1	XP_033330897.1
OG0000237	NP_523862.1	XP_033330926.1
OG0000239	NP_733091.1, NP_611452.2, NP_001285793.1, NP_651369.1, NP_001027211.3, NP_001287526.1, NP_651371.1, NP_733121.1, NP_651372.1, NP_651370.2, NP_001262006.1, NP_001260130.1, NP_569859.1, NP_609015.2, NP_573269.1	XP_033331997.1, XP_033331996.1, XP_033331995.1
OG0000241	NP_001097059.1, NP_647821.2, NP_001285749.1	XP_033322650.1, XP_033322611.1, XP_033334508.1, XP_033334500.1, XP_033334501.1, XP_033334502.1, XP_033334507.1, XP_033334506.1
OG0000243	NP_608584.1, NP_523761.2	XP_033330955.1
OG0000244	NP_610117.1	XP_033335781.1, XP_033335780.1, XP_033335782.1
OG0000245	NP_476812.1, NP_610443.1, NP_524760.1	XP_033323070.1
OG0000246	NP_476592.1	XP_033331324.1, XP_033331325.1
OG0000247	NP_651898.2, NP_001096949.1	XP_033324057.1
OG0000247	NP_649833.1, NP_648548.1	XP_033324120.1
OG0000249	NP_572996.1	XP_033324895.1, XP_033324916.1, XP_033324906.1
OG0000249	NP_732904.2	XP_033325592.1, XP_033325604.1, XP_033324884.1
OG0000250	NP_650508.1, NP_001285102.1	XP_033331459.1, XP_033325499.1, XP_033325504.1
OG0000252	NP_730950.2	XP_033340169.1, XP_033340168.1, XP_033340167.1
OG0000253	NP_001162737.1	XP_033327704.1
OG0000253	NP_001263132.1	XP_033326834.1
OG0000254	NP_732295.1	XP_033333235.1
OG0000254	NP_001368946.1	XP_033339944.1, XP_033327994.1
OG0000255	NP_001033900.2, NP_572436.1	XP_033334959.1
OG0000256	NP_732900.1	XP_033341517.1
OG0000257	NP_001262861.1	XP_033335911.1, XP_033335914.1, XP_033335912.1, XP_033335913.1
OG0000257	NP_001287485.1	XP_033335903.1
OG0000259	NP_723538.3	XP_033325263.1, XP_033325266.1, XP_033325265.1, XP_033325260.1, XP_033325261.1, XP_033325258.1, XP_033325259.1, XP_033325264.1
OG0000260	NP_001261383.1	XP_033342091.1, XP_033323053.1
OG0000261	NP_001286161.1, NP_610318.1, NP_610319.2	XP_033329797.1
OG0000263	NP_001285111.1	XP_033342453.1, XP_033342455.1, XP_033342456.1
OG0000264	NP_001033939.2	XP_033339250.1
OG0000264	NP_476735.1	XP_033329580.1
OG0000265	NP_649517.1, NP_650190.1	XP_033342102.1
OG0000266	NP_524387.1	XP_033340749.1
OG0000266	NP_001285202.1	XP_033338173.1
OG0000268	NP_001285901.1, NP_001262995.1	XP_033325300.1, XP_033325301.1
OG0000269	NP_001284901.1	XP_033324455.1, XP_033324487.1, XP_033324472.1, XP_033324481.1, XP_033324463.1
OG0000270	NP_001034048.2	XP_033332852.1, XP_033332853.1, XP_033332850.1, XP_033332967.1
OG0000270	NP_001163596.2	XP_033333269.1
OG0000271	NP_001014620.1, NP_731788.1, NP_731790.1	XP_033335191.1
OG0000272	NP_995675.1	XP_033334149.1
OG0000272	NP_001162795.1, NP_001356885.1	XP_033323942.1, XP_033323944.1
OG0000273	NP_001097437.1	XP_033335472.1, XP_033335572.1, XP_033335541.1, XP_033335536.1, XP_033335548.1, XP_033335557.1, XP_033335563.1, XP_033335534.1
OG0000274	NP_001014485.3	XP_033324105.1, XP_033324106.1
OG0000274	NP_001036681.1	XP_033324310.1
OG0000275	NP_648909.1	XP_033329977.1, XP_033329978.1
OG0000276	NP_649535.2	XP_033322708.1
OG0000277	NP_647800.1	XP_033336084.1
OG0000278	NP_612039.1, NP_647794.1	XP_033322809.1
OG0000279	NP_001137708.2, NP_001356890.1	XP_033323438.1
OG0000280	NP_001260503.1	XP_033340364.1, XP_033340363.1
OG0000281	NP_001350861.1	XP_033322646.1
OG0000283	NP_001286595.1	XP_033331140.1, XP_033331139.1, XP_033331138.1, XP_033331136.1, XP_033331137.1
OG0000284	NP_727448.1	XP_033331949.1
OG0000284	NP_001259432.1	XP_033323843.1, XP_033340215.1, XP_033340029.1
OG0000285	NP_001163186.1	XP_033343077.1
OG0000286	NP_729792.1	XP_033335143.1, XP_033335144.1, XP_033335142.1, XP_033335145.1
OG0000287	NP_001036660.1	XP_033340778.1
OG0000287	NP_001260729.1	XP_033340776.1
OG0000288	NP_476934.2	XP_033321660.1
OG0000288	NP_001188784.1	XP_033328032.1
OG0000289	NP_001303316.1	XP_033322908.1, XP_033322907.1, XP_033322906.1, XP_033322909.1
OG0000291	NP_648883.1, NP_648882.1	XP_033327296.1
OG0000292	NP_612066.1	XP_033330924.1
OG0000293	NP_649119.2, NP_001262050.1	XP_033322533.1, XP_033322534.1
OG0000295	NP_611878.1	XP_033321431.1, XP_033321430.1, XP_033321429.1
