Orthogroup	Drosophila_melanogaster	Apis_mellifera
OG0000041	NP_001262200.1	XP_003251464.1, XP_016767697.1
OG0000041	NP_477037.2	XP_625015.1
OG0000042	NP_731781.1	XP_026296155.1, XP_026296156.1, XP_026296157.1, XP_026296158.1, XP_006571892.1, XP_623925.2, XP_026296164.1, XP_026296165.1
OG0000042	NP_651966.2, NP_650201.1, NP_652731.1	XP_026295892.1, XP_026295893.1
OG0000043	NP_001286870.1	XP_016768084.1, NP_001071287.1
OG0000043	NP_524121.2	XP_006557941.1, NP_001071282.1
OG0000044	NP_732652.1, NP_001303538.1, NP_650979.1	XP_006565547.1, XP_006565544.2
OG0000044	NP_651674.3	XP_006565537.1
OG0000045	NP_001188791.2, NP_609522.1, NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2	NP_001035326.1, NP_001035349.1, NP_001011608.1
OG0000046	NP_001285139.1	NP_001153524.1
OG0000046	NP_001262586.1	NP_001153522.1, NP_001153544.1
OG0000050	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1, NP_001287487.1	XP_026299635.1, XP_392696.5, XP_026297792.1, XP_026297793.1, XP_016768459.2, XP_026297794.1, XP_026300733.1, XP_026300653.1, NP_001128419.1, XP_006564307.1, NP_001136081.1
OG0000052	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2	XP_624251.3
OG0000052	NP_725600.1	XP_006570493.1
OG0000054	NP_477282.2, NP_729146.1, NP_729147.1	NP_001257754.1, NP_001257753.1
OG0000055	NP_650904.3	XP_016771370.1
OG0000055	NP_609815.1	XP_006562397.1
OG0000055	NP_001246914.1	XP_393860.4
OG0000056	NP_001369131.1	XP_026297251.1
OG0000056	NP_647937.2	XP_026301167.1
OG0000056	NP_995958.2	XP_026299492.1
OG0000057	NP_524290.2	XP_026300739.1, XP_394471.1
OG0000057	NP_523842.2	XP_394469.1
OG0000060	NP_650848.1	XP_006565271.2, XP_006565270.3, XP_026300076.1, XP_026300077.1, XP_016770937.2, XP_016770938.2
OG0000060	NP_001163168.1	NP_001180219.1, XP_006565210.1
OG0000061	NP_001097692.1	XP_397017.3
OG0000061	NP_648605.1, NP_536732.1, NP_523675.1, NP_611234.1	XP_624322.1, XP_016773033.1
OG0000062	NP_001261156.1	XP_006568238.2
OG0000065	NP_524105.2, NP_001285777.1, NP_001027266.1, NP_001027272.1, NP_648885.1, NP_652673.2	XP_026299150.1
OG0000067	NP_001284994.1	XP_006561513.1
OG0000067	NP_524243.2, NP_572330.2	XP_026299464.1
OG0000067	NP_001261491.1	XP_006560064.1
OG0000073	NP_001246864.1, NP_001163428.1, NP_996064.1, NP_649186.1	XP_003250137.2
OG0000077	NP_001137778.2, NP_001259986.1	XP_006567467.1
OG0000077	NP_001015405.3	XP_395426.5
OG0000080	NP_001262255.1	XP_397228.2
OG0000080	NP_001262254.1	XP_006559470.1
OG0000082	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2, NP_609726.1, NP_572219.1	XP_006565018.1, XP_026300908.1, XP_006565021.2, XP_006565022.2, XP_016773421.2
OG0000085	NP_651221.1	XP_394579.2
OG0000086	NP_651662.1, NP_651661.1, NP_001287578.1, NP_611736.1, NP_001033953.1	XP_016772143.2, XP_001120043.2
OG0000086	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1	XP_016772088.2
OG0000087	NP_001261716.1	XP_624353.1
OG0000087	NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1	XP_016772139.1
OG0000088	NP_476589.4	XP_006566240.1, XP_006566239.1, XP_026299220.1
OG0000089	NP_001162840.1, NP_001259800.1	XP_003249883.2, XP_016768850.2
OG0000091	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2	XP_026299597.1, XP_026299596.1
OG0000092	NP_001262592.1	XP_006558182.1, XP_396653.1, XP_396654.1, XP_016768016.1, XP_006560146.1
OG0000094	NP_001284983.1, NP_651446.2, NP_650069.2	XP_026299983.1
OG0000094	NP_651889.3, NP_001189331.1, NP_651891.2	XP_006572211.1
OG0000096	NP_726022.1, NP_001246550.1	XP_026300868.1
OG0000096	NP_611542.2	XP_003250667.2, XP_006562163.1
OG0000097	NP_524611.1	XP_006566906.1, NP_001011628.1, NP_001014993.1
OG0000098	NP_001260487.1	XP_006561279.1
OG0000099	NP_608954.1	XP_026301459.1
OG0000099	NP_001034071.1	XP_026301457.1, XP_026301458.1
OG0000099	NP_651628.1	XP_006563474.1
OG0000100	NP_001262908.1, NP_001262907.1	XP_026300139.1, XP_026300138.1, XP_026300137.1, XP_026300136.1
OG0000101	NP_001286204.1, NP_610403.1, NP_609640.1	XP_016769181.1
OG0000101	NP_001285802.1, NP_001015212.1	XP_016769182.2
OG0000102	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2	XP_026298009.1, XP_016768868.1, XP_006559629.1
OG0000103	NP_001303368.1	XP_395932.2, XP_016769753.1, XP_006559124.1, XP_006559125.1
OG0000108	NP_648918.1	XP_026296997.1, XP_026296995.1, XP_026296996.1
OG0000109	NP_648392.1, NP_001245736.1	XP_006568159.1, XP_396912.1, XP_026300511.1, XP_006568157.1
OG0000110	NP_788521.2, NP_729246.2, NP_729014.1	XP_016771484.1, XP_026300877.1, XP_016771820.2
OG0000111	NP_650264.1	XP_016769305.2
OG0000112	NP_001369123.1	XP_395840.2
OG0000113	NP_650037.2, NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2, NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1, NP_649688.1	XP_001120149.1, XP_001121347.2
OG0000115	NP_001261040.1	NP_001153742.1, XP_026295756.1, NP_001136128.1, XP_006560566.1
OG0000117	NP_001286115.1	XP_006566844.1
OG0000117	NP_001262809.1	XP_016769650.1, XP_006561716.1, XP_006561714.1, XP_006561715.1, XP_006561713.1
OG0000120	NP_001260010.1, NP_001162947.1	XP_026295458.1, XP_026300994.1, XP_026300993.1, XP_026300992.1, XP_396662.2, XP_006559344.1
OG0000122	NP_001287102.1, NP_001163462.1, NP_649023.1	XP_396281.5
OG0000122	NP_610807.3	XP_006569022.1
OG0000123	NP_001259925.1	XP_026296924.1, XP_026296929.1, XP_026296930.1, XP_026296925.1, XP_026296926.1, XP_026296927.1, XP_026296928.1
OG0000124	NP_001260435.1, NP_001245746.1	XP_026297158.1, XP_026297157.1, XP_026297160.1, XP_026297159.1
OG0000125	NP_651172.1, NP_001097888.1	XP_016768147.1, XP_393208.1
OG0000126	NP_477498.1, NP_996167.1	XP_016772382.1, NP_001011571.1
OG0000127	NP_001261916.1	XP_006570777.1, XP_016771428.1, XP_016771429.1, XP_001122616.1
OG0000127	NP_477127.1	XP_396819.2
OG0000129	NP_001188842.2	XP_016772787.1, XP_006571982.1, XP_003251836.1, XP_006571984.1, XP_006571986.1
OG0000130	NP_723165.2	XP_006568433.1, XP_006568428.1, XP_394686.4
OG0000130	NP_001014474.3	XP_026297554.1, XP_394687.3, XP_006565573.1
OG0000131	NP_001259087.1	XP_006564418.1
OG0000131	NP_001097667.1	XP_392990.2, XP_003251503.1
OG0000132	NP_001245934.1, NP_001137808.1, NP_609121.2	XP_006569358.1, XP_006569359.1, XP_016767260.1
OG0000132	NP_001245823.1, NP_724088.2, NP_724087.1	XP_006567280.1, XP_006567283.1, XP_006567281.1
OG0000133	NP_001368939.1	XP_026295597.1, XP_026295595.1, XP_026295600.1, XP_026295601.1, XP_026295598.1, XP_026295599.1, XP_026295602.1, XP_026295596.1
OG0000135	NP_001286904.1	XP_006570858.1, XP_026300893.1
OG0000136	NP_611126.1, NP_611131.2, NP_001285647.1, NP_001097337.1	XP_001123230.2, XP_001122953.3, XP_026298823.1, XP_003251589.1, XP_006570633.1, XP_006570637.2
OG0000137	NP_727460.1, NP_611465.2	XP_016768164.1, XP_016768165.1, XP_393390.3, XP_016768163.1, XP_026298341.1
OG0000138	NP_001036303.2	XP_006561534.1, XP_006561540.1
OG0000139	NP_651882.1	XP_026302052.1
OG0000141	NP_001287037.1	XP_396377.3, XP_016771703.1
OG0000141	NP_724101.4	XP_393772.4
OG0000143	NP_001259687.1	XP_394342.1, XP_001120755.1, XP_006568273.1, XP_006568272.1, XP_006568271.1, XP_016766288.1
OG0000144	NP_001287042.1, NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1	NP_001092187.1, NP_001011600.1, NP_001104234.1
OG0000145	NP_651930.2	XP_006571519.1, NP_001128406.1, XP_006557552.1, NP_001011643.1
OG0000146	NP_648843.1	XP_006569990.1
OG0000147	NP_001245762.1	XP_026301958.1
OG0000149	NP_648425.1	XP_624573.2
OG0000149	NP_647686.1	XP_006560541.1
OG0000150	NP_001246198.1	XP_006565287.1, XP_006565286.1, XP_006565285.1, XP_006565289.1, XP_006565288.1, XP_393853.1
OG0000151	NP_001287124.1	XP_026295481.1, XP_026295482.1, XP_026295477.1, XP_026295478.1, XP_026295479.1, XP_026295480.1, XP_026295483.1
OG0000152	NP_001260743.1	XP_016768964.1, XP_006564637.1, XP_006564641.1, XP_006564638.1, XP_006564639.1, XP_006564640.1
OG0000153	NP_001261584.1	XP_006557622.1
OG0000154	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1	XP_003249939.3
OG0000156	NP_647767.1	XP_006570154.1, XP_016768502.1, XP_016768504.1, XP_016768503.1
OG0000157	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1	XP_016771183.1, XP_016771274.2
OG0000158	NP_648354.1	XP_026295419.1, XP_026296654.1, XP_026296664.1
OG0000160	NP_001034016.1, NP_649019.2	XP_006570492.2
OG0000161	NP_001261749.1, NP_788501.1	NP_001011563.1, NP_001119716.1
OG0000162	NP_001097669.2	NP_001091691.1, XP_006562616.1
OG0000162	NP_001285015.1	XP_016767550.1, NP_001073029.1
OG0000162	NP_001262916.1	NP_001091690.1, XP_026298411.1
OG0000164	NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1	XP_016768018.2, XP_006558190.2
OG0000165	NP_001245593.1	XP_006559859.1, XP_006559861.1, XP_006559860.1, XP_396828.2
OG0000165	NP_001284986.1	XP_006566324.1
OG0000166	NP_001097498.1	XP_016766244.2, XP_016766231.2, XP_016766233.2, XP_016766234.2, XP_006569176.3, XP_006569170.3
OG0000168	NP_001261500.1	XP_016767974.1, NP_001035325.2
OG0000168	NP_001261571.1, NP_001246162.1	NP_001014991.1, XP_026295680.1
OG0000171	NP_609310.2, NP_609309.1	XP_623922.2
OG0000173	NP_001247239.1	XP_006560020.1, XP_006560019.1
OG0000174	NP_725682.2, NP_001286533.1, NP_611218.1	XP_394018.2
OG0000175	NP_001163218.1	XP_026300817.1, XP_026300815.1, XP_006560073.1, XP_006560074.1, XP_623977.2, XP_026300816.1
OG0000177	NP_001261827.1	XP_001121910.1
OG0000177	NP_001261829.1	XP_016770327.1, XP_006566372.1
OG0000177	NP_001261830.1	XP_016770328.1
OG0000178	NP_001356914.1	XP_026295366.1, XP_026295349.1, XP_026295348.1, XP_026295362.1, XP_026295342.1, XP_026295361.1, XP_026295350.1, XP_026295334.1, XP_026295368.1, XP_026295335.1, XP_026295343.1, XP_026295364.1, XP_026295345.1, XP_026295336.1, XP_026295367.1, XP_026295337.1, XP_026295352.1, XP_026295365.1, XP_026295333.1, XP_026295341.1, XP_026295331.1, XP_026295372.1, XP_026295340.1, XP_026295353.1, XP_026295370.1, XP_026295354.1, XP_026295358.1, XP_026295347.1, XP_026295355.1, XP_026295363.1, XP_026295346.1, XP_026295344.1, XP_026295359.1, XP_026295351.1, XP_026295338.1, XP_026295339.1, XP_026295369.1, XP_026295332.1, XP_026295356.1, XP_026295371.1, XP_026295357.1, XP_026295360.1
OG0000179	NP_523366.2, NP_648697.1	XP_393381.2
OG0000180	NP_001027161.1	XP_006559502.1, XP_006559501.1, XP_393573.1, XP_016769007.1, XP_016769006.1
OG0000182	NP_001163460.1	XP_006561855.2
OG0000183	NP_001287555.1	XP_026298476.1, XP_026298477.1
OG0000183	NP_524074.1	XP_395404.2
OG0000184	NP_995642.1, NP_523504.2, NP_001162633.1	XP_016773569.1, XP_026300573.1
OG0000185	NP_001259439.1	XP_003250560.1
OG0000186	NP_573320.1	XP_001119981.4
OG0000187	NP_001188856.1	XP_016769442.2
OG0000188	NP_524551.2, NP_476974.1	XP_395697.2
OG0000190	NP_732717.1	XP_006563703.1, XP_006563702.1, XP_006563701.1, XP_006563700.1
OG0000191	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2, NP_001246909.1, NP_477232.1, NP_648125.3	XP_026301152.1
OG0000192	NP_611994.3	XP_006557723.1, XP_396406.5, XP_006557720.1
OG0000194	NP_648207.1	XP_003249950.2
OG0000196	NP_001261758.1	XP_003250051.2
OG0000196	NP_730938.1	XP_003251169.1, XP_016771426.1
OG0000197	NP_001287082.1	XP_006565013.1, XP_016773443.1, XP_026300501.1, XP_006565014.2
OG0000198	NP_611747.2	XP_006566997.1, XP_624772.2
OG0000200	NP_001262796.1	XP_026296548.1
OG0000200	NP_001259616.1	XP_006566649.2, XP_006566650.1
OG0000201	NP_730973.1, NP_001262292.1, NP_649563.1, NP_730974.1, NP_569875.2	XP_006562412.3
OG0000202	NP_001260674.1	XP_016768758.1, XP_016768759.1
OG0000203	NP_001369023.1, NP_001287406.1, NP_650804.2, NP_650803.1	XP_623676.2
OG0000203	NP_648067.2	XP_006558107.2, XP_395356.4
OG0000204	NP_001188590.1	XP_001121814.2
OG0000205	NP_001097505.1	XP_016766914.1
OG0000206	NP_001097707.1, NP_001287222.1	XP_026300186.1
OG0000207	NP_001286310.1, NP_001287091.1	NP_001014430.1, XP_006566311.1
OG0000207	NP_001246139.1	NP_001011652.1, NP_001305411.1
OG0000208	NP_001137606.1	XP_006562317.1
OG0000209	NP_001163199.1	XP_016769475.1, XP_016769473.1, XP_016769472.1, XP_016769471.1, XP_016769470.1, XP_016769476.1, XP_016769474.1
OG0000212	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1	XP_001121043.2, XP_026298300.1
OG0000213	NP_648589.1	XP_006572329.1, XP_006572330.1, XP_016772966.1, XP_623325.1
OG0000214	NP_001260290.1	XP_623084.1
OG0000214	NP_001247324.1	XP_392104.4
OG0000215	NP_649139.1	XP_016772012.1, XP_394061.2
OG0000216	NP_524598.1, NP_001262008.1, NP_572780.3, NP_573003.2, NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1	XP_016767691.1
OG0000217	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1	XP_394861.4
OG0000218	NP_649086.2	XP_623312.2
OG0000219	NP_610764.1	XP_392277.4, XP_006563970.2
OG0000221	NP_001036320.3	XP_006571382.1
OG0000223	NP_523986.2	NP_001157186.1, XP_016769330.2
OG0000223	NP_524142.2, NP_524141.1	XP_001121634.3
OG0000224	NP_647862.1, NP_728942.1	XP_006560620.1
OG0000225	NP_536756.1	XP_006567210.2
OG0000226	NP_001356958.1	XP_026300579.1
OG0000227	NP_001262022.1	XP_006562291.2, XP_006562294.2, XP_006562293.2, XP_016770836.2
OG0000229	NP_726223.1, NP_001303360.1, NP_001246468.1	XP_001121505.2
OG0000230	NP_001286852.1	XP_026300638.1, XP_026300637.1
OG0000231	NP_650028.1, NP_650029.1, NP_001285882.1	XP_006562424.1
OG0000232	NP_001303567.1	XP_393976.2, XP_006563043.1, XP_006563042.1
OG0000233	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1	XP_001120116.2, XP_016768768.2, XP_397073.5, XP_026300288.1
OG0000234	NP_726740.1, NP_649880.1, NP_649881.1	XP_393127.4
OG0000235	NP_001261046.1	XP_026294767.1, XP_026294798.1, XP_026294810.1
OG0000236	NP_524368.5	NP_001071293.1
OG0000237	NP_523863.1	XP_006559356.1
OG0000237	NP_523862.1	XP_006559358.1
OG0000239	NP_733091.1, NP_611452.2, NP_001285793.1, NP_651369.1, NP_001027211.3, NP_001287526.1, NP_651371.1, NP_733121.1, NP_651372.1, NP_651370.2, NP_001262006.1, NP_001260130.1, NP_569859.1, NP_609015.2, NP_573269.1	XP_006560473.1, XP_623685.1
OG0000241	NP_001097059.1, NP_647821.2, NP_001285749.1	XP_006571827.3, XP_016770807.2, XP_016770806.2, XP_016770796.1, XP_016770795.1, XP_026299638.1
OG0000243	NP_608584.1, NP_523761.2	XP_026297086.1
OG0000244	NP_610117.1	XP_026300900.1
OG0000245	NP_476812.1, NP_610443.1, NP_524760.1	NP_001011627.1
OG0000246	NP_724163.1	XP_394115.2
OG0000246	NP_476592.1	XP_006563197.1
OG0000247	NP_651898.2, NP_001096949.1	XP_026296516.1, XP_026296517.1
OG0000247	NP_649833.1, NP_648548.1	XP_006562263.2
OG0000249	NP_572996.1	XP_026298733.1
OG0000250	NP_650508.1, NP_001285102.1	XP_026299154.1, XP_625112.2
OG0000252	NP_730950.2	XP_026298583.1, XP_026298580.1, XP_026298584.1
OG0000253	NP_001162737.1	XP_393612.2
OG0000254	NP_732295.1	XP_392477.4
OG0000254	NP_001368946.1	XP_623652.2
OG0000256	NP_732900.1	XP_006571385.1
OG0000257	NP_001262861.1	XP_026300984.1
OG0000257	NP_001287485.1	XP_026300982.1
OG0000259	NP_723538.3	XP_026302035.1
OG0000260	NP_001261383.1	XP_016770898.2
OG0000261	NP_001286161.1, NP_610318.1, NP_610319.2	XP_393396.2
OG0000263	NP_001285111.1	XP_006570503.1, XP_393761.1
OG0000264	NP_001033939.2	XP_026298264.1, XP_026298263.1
OG0000264	NP_476735.1	NP_001171498.1
OG0000265	NP_649517.1, NP_650190.1	XP_624456.2
OG0000266	NP_524387.1	NP_001171495.1
OG0000266	NP_001285202.1	XP_003249289.2
OG0000268	NP_001285901.1, NP_001262995.1	XP_006562783.1, XP_016767403.1, XP_026295852.1, XP_026295853.1, XP_016767402.1, XP_016767400.1, XP_016767401.1, XP_016767399.1
OG0000269	NP_001284901.1	XP_001120910.2
OG0000270	NP_001034048.2	XP_003249152.1
OG0000270	NP_001163596.2	XP_006558130.1
OG0000271	NP_001014620.1, NP_731788.1, NP_731790.1	XP_026295760.1, NP_001091688.1
OG0000272	NP_995675.1	NP_001073564.1, XP_026302163.1
OG0000272	NP_001162795.1, NP_001356885.1	XP_026300655.1, NP_001011621.1
OG0000273	NP_001097437.1	XP_016767148.1, XP_006560612.2
OG0000274	NP_001036681.1	XP_396815.3
OG0000275	NP_648909.1	XP_026298534.1, XP_026298730.1, XP_026298718.1, XP_003251850.1
OG0000276	NP_649535.2	XP_624151.1
OG0000277	NP_647800.1	XP_001122835.3, XP_006565811.2
OG0000278	NP_612039.1, NP_647794.1	XP_026296923.1
OG0000279	NP_001137708.2, NP_001356890.1	NP_001164579.1
OG0000280	NP_001260503.1	XP_026300514.1
OG0000283	NP_001286595.1	XP_006567824.1, XP_006567820.1, XP_006567825.1, XP_006567823.1, XP_016767795.1, XP_016767792.1, XP_026296835.1
OG0000284	NP_727448.1	NP_001010975.1
OG0000284	NP_001259432.1	XP_026296666.1, XP_395934.2
OG0000285	NP_001163186.1	XP_016767133.1, XP_001120198.1
OG0000286	NP_729792.1	NP_001164443.1
OG0000287	NP_001036660.1	XP_016771224.1, XP_026302005.1, XP_026302006.1, XP_026302007.1, XP_026302008.1, XP_006570139.1, XP_006570135.1, XP_006570134.1, XP_006570140.1, XP_026302009.1
OG0000287	NP_001260729.1	XP_624121.2
OG0000288	NP_476934.2	XP_026295225.1
OG0000288	NP_001188784.1	XP_624678.1
OG0000289	NP_001303316.1	XP_396469.1, XP_006571187.1, XP_006571186.1, XP_006571185.1
OG0000291	NP_648883.1, NP_648882.1	XP_026298041.1
OG0000292	NP_612066.1	XP_016772487.1
OG0000293	NP_649119.2, NP_001262050.1	NP_001013377.2
OG0000295	NP_611878.1	XP_026296372.1, XP_026296371.1
OG0000296	NP_573076.1, NP_001096988.2	XP_003249767.1, XP_392285.1
OG0000297	NP_651265.1	NP_001011640.1
OG0000298	NP_650963.2	XP_016767798.1, XP_006567970.1, XP_006567968.1, XP_006567969.1, XP_006567967.1
OG0000300	NP_648000.1	XP_016773009.2
OG0000300	NP_001285398.1	XP_624183.1
OG0000301	NP_572721.1	XP_016772392.1, NP_001035323.1
OG0000302	NP_001246314.1	XP_006571833.1
OG0000302	NP_730054.1	XP_395048.4
OG0000303	NP_609514.1, NP_730670.1, NP_572924.1, NP_730671.1, NP_648026.1	XP_016772523.1
OG0000304	NP_788277.1	XP_006568070.1
OG0000307	NP_650089.1	XP_006561447.1, XP_026301562.1, XP_016772425.1
OG0000308	NP_001261704.1	XP_392582.1
OG0000310	NP_001286754.1	XP_006568882.1, XP_006568883.1
OG0000311	NP_477380.1	XP_026300397.1, XP_016772838.2, XP_026300405.1, XP_026300396.1, XP_624298.3, XP_001122575.3, XP_006572097.2, XP_026300402.1
OG0000312	NP_001286891.1	XP_397055.1, XP_006558287.1
OG0000313	NP_001262580.1, NP_727588.2	XP_026298038.1
