Orthogroup	Drosophila_melanogaster	Acyrthosiphon_pisum
OG0000022	NP_001027366.1, NP_001027371.1, NP_001027376.1, NP_001027336.1, NP_001027346.1, NP_001027356.1, NP_001027361.1, NP_001027331.1, NP_001027351.1, NP_001027292.1, NP_001027326.1, NP_001027381.1, NP_001027321.1, NP_001027316.1, NP_001027386.1, NP_724343.1, NP_001027306.1, NP_001027311.1, NP_001027301.1, NP_001027341.1	XP_003241023.1, XP_003241031.1, XP_003241036.1, XP_003241039.1, XP_003248420.1, XP_001952706.2
OG0000023	NP_001027291.1, NP_001027283.1, NP_001027287.1, NP_001027345.1, NP_001027350.1, NP_001027320.1, NP_001027360.1, NP_001027355.1, NP_001027370.1, NP_001027365.1, NP_001027330.1, NP_001027325.1, NP_001027380.1, NP_001027315.1, NP_724342.1, NP_001027385.1, NP_001027375.1, NP_001027300.1, NP_001027305.1, NP_001027310.1, NP_001027296.1, NP_001027340.1, NP_001027335.1	XP_003248948.1, XP_003241030.1, XP_003241035.1, XP_003245104.1, XP_001950269.1, XP_001950698.1, XP_001947771.1
OG0000024	NP_001287440.1, NP_572746.1, NP_788887.1, NP_001036311.2, NP_001036313.1, NP_572695.2, NP_648664.2, NP_608991.2, NP_001262831.1	XP_001945823.1, XP_008178907.1, NP_001156186.1, XP_008184690.1, XP_008184689.1, XP_016661278.1, XP_029342088.1, XP_001944108.2, XP_029345418.1, NP_001156094.1, XP_029341993.1, NP_001280411.1, NP_001153866.1, NP_001155931.1, XP_008185581.1, XP_016659708.1, NP_001156430.1
OG0000026	NP_729591.1, NP_001287018.1	XP_029342349.1, XP_029342350.1
OG0000026	NP_001014616.2	XP_029343074.1
OG0000026	NP_001287332.1	XP_029345451.1
OG0000026	NP_001163838.2	XP_029342802.1
OG0000026	NP_001285239.1	XP_029342414.1
OG0000027	NP_001027302.1, NP_001027297.1, NP_001027293.1, NP_001027307.1, NP_001027342.1	NP_001156692.1
OG0000027	NP_001027377.1, NP_001027284.1, NP_001027352.1, NP_001027357.1, NP_001027362.1, NP_001027382.1, NP_001027332.1, NP_001027288.1, NP_001027347.1	XP_008190046.1
OG0000029	NP_647872.1, NP_650813.2	XP_016663309.2, XP_001952418.1
OG0000029	NP_647875.1	NP_001165726.1
OG0000029	NP_647873.2	XP_001947860.1
OG0000030	NP_651652.2	XP_029346313.1, XP_003242308.1, XP_001948211.2, XP_001944515.2, XP_001946150.2, XP_029345605.1, XP_029346252.1
OG0000032	NP_609175.2	XP_003246235.1, XP_001947862.2, XP_001948097.2, XP_003246236.1
OG0000032	NP_001285067.1	XP_029347116.1, XP_001949029.2, XP_016662740.1
OG0000032	NP_611166.2	XP_003243898.1
OG0000033	NP_001036361.1	XP_008187161.1, XP_029345803.1, XP_008189831.1, XP_016657071.1, XP_008189987.1, XP_008179529.1
OG0000033	NP_001285694.1	XP_029345598.1
OG0000035	NP_001285591.1, NP_609909.1, NP_609911.1, NP_001246082.2	XP_001951632.1, XP_016663720.1, XP_029345626.1
OG0000035	NP_001246079.1, NP_001036565.1, NP_001286734.1, NP_611563.1, NP_001097859.4	XP_001945842.2, XP_029345799.1, XP_029343210.1, XP_008186378.1, XP_029343209.1, XP_001943715.1, XP_001949845.2, XP_001949897.2, XP_029343092.1, XP_001952770.1
OG0000037	NP_001137869.1	XP_003241041.1
OG0000037	NP_648209.1	NP_001155507.1, XP_029343963.1
OG0000037	NP_001262052.1	XP_003247374.1, XP_008190010.1, NP_001165734.1
OG0000038	NP_476772.1, NP_524264.1	XP_001948685.1
OG0000038	NP_524009.2	XP_001945695.1
OG0000038	NP_524297.1	XP_003243865.1
OG0000041	NP_524367.1, NP_523800.1, NP_001287314.1, NP_001262200.1	NP_001136108.1, XP_001948457.2
OG0000041	NP_477037.2	XP_001948128.1
OG0000042	NP_731781.1	XP_016662708.1, XP_008186444.1
OG0000042	NP_001287604.1	NP_001191869.1, XP_029345377.1
OG0000042	NP_651966.2, NP_650201.1, NP_652731.1	NP_001191885.1, XP_008184085.1, NP_001191886.1, XP_001944248.1, NP_001119674.1, XP_008179499.1, XP_001943917.1
OG0000043	NP_001286870.1	NP_001128404.1, XP_029342103.1, NP_001119651.1
OG0000043	NP_001286808.1	NP_001156287.1
OG0000044	NP_732652.1, NP_001303538.1, NP_650979.1, NP_732654.1, NP_732655.3	XP_001948350.2, XP_001948442.2, XP_001944286.2, NP_001119606.1, XP_029343988.1, XP_008179772.1, XP_001946754.2
OG0000044	NP_611781.3, NP_001356886.1, NP_648488.1, NP_572643.1, NP_572644.1, NP_001350853.2, NP_001263064.1, NP_001263065.1	XP_008182457.2, XP_029342681.1, XP_001944764.2
OG0000045	NP_001188791.2, NP_609522.1, NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2	XP_016659003.1, XP_001952163.2, NP_001119607.1, XP_001943317.1, XP_001943582.2
OG0000046	NP_001285139.1	XP_008184380.1, NP_001156420.1
OG0000046	NP_524339.1	XP_001949837.1
OG0000046	NP_524474.1, NP_650209.1, NP_788663.1, NP_524927.2, NP_731716.1, NP_731651.1, NP_524798.2	XP_008190051.1, XP_001951915.1, XP_003248918.1, XP_001945786.2
OG0000046	NP_001262586.1	XP_001951207.1, XP_003244048.1
OG0000047	NP_652056.2	XP_008188471.1, XP_008182780.1, XP_008182496.1, XP_008180759.1, XP_016661993.1, XP_029348003.1, XP_029342264.1, XP_029341344.1, XP_008178222.1, XP_008178291.1, XP_029341022.1, XP_008178525.1, XP_008189339.1, XP_008185268.1, XP_008178820.1, XP_016660548.2, XP_003245376.1, XP_003241214.1, XP_008188668.1, XP_008181747.1, XP_008178517.2, XP_003244703.1, XP_008189952.1, XP_008185493.1, XP_029347997.1, XP_016663902.1, XP_016656212.1, NP_001233059.1, NP_001191896.1, XP_029348349.1, XP_008180703.1, XP_008183156.1, XP_001944531.1, XP_008190228.1, XP_029348058.1, XP_001951909.1, XP_008181765.1, XP_008189984.1, XP_029345735.1, XP_008187181.1, XP_016659199.2, XP_008182981.1, XP_008184725.1, XP_008189733.1, XP_008178797.1
OG0000050	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1, NP_001287487.1	XP_008186168.1, XP_029344195.1
OG0000052	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2	XP_008180304.1, XP_008180303.1
OG0000052	NP_652665.3, NP_609664.1, NP_620115.2	XP_001949739.1, XP_001947560.2, XP_029343576.1, XP_001952551.3
OG0000052	NP_725600.1	XP_003243917.1, XP_001950194.2
OG0000053	NP_610793.1	XP_003245517.1
OG0000054	NP_610657.1, NP_610655.1, NP_649345.1, NP_610658.1, NP_523854.1, NP_001286953.1, NP_477272.1, NP_652662.1, NP_477273.1, NP_788468.1, NP_477274.1, NP_524814.2, NP_788469.1, NP_001097523.1, NP_001261467.1, NP_477279.1, NP_001261466.1, NP_477280.1, NP_477282.2, NP_729146.1, NP_729147.1	NP_001162107.1, XP_003243273.1, NP_001233051.1
OG0000055	NP_001284925.1	XP_016661453.1, XP_008184927.1, XP_029343156.1, XP_016661454.1
OG0000055	NP_609815.1	XP_029348415.1
OG0000055	NP_001246914.1	XP_029343547.1, XP_016656611.2, XP_001944441.2, XP_008185529.1, XP_001950596.1, XP_029347200.1
OG0000056	NP_001369131.1	XP_029341785.1, XP_016658856.2
OG0000056	NP_647937.2	XP_029347390.1, XP_029340985.1
OG0000056	NP_995958.2	XP_029345472.1, XP_029341337.1
OG0000057	NP_725896.1	XP_001951158.2
OG0000057	NP_523842.2	XP_008190203.1
OG0000057	NP_001163753.1	XP_001943593.2
OG0000060	NP_650848.1	XP_029341750.1
OG0000060	NP_001163168.1	XP_016660546.1
OG0000061	NP_001097692.1	XP_001949814.2, XP_001946345.2, XP_001946301.2, XP_001946430.1, XP_001946479.3, XP_016660712.1
OG0000061	NP_648605.1, NP_536732.1, NP_523675.1, NP_611234.1	XP_008185969.1, XP_008185998.1, XP_001942953.1, XP_001950031.1, XP_001943804.2
OG0000062	NP_001261156.1	XP_001951309.3
OG0000065	NP_524105.2, NP_001285777.1, NP_001027266.1, NP_001027272.1, NP_648885.1, NP_652673.2	XP_001950981.1
OG0000066	NP_610976.1	XP_008180330.1, XP_008184253.1, XP_008178157.1, XP_008182364.1, XP_008182864.1, XP_029341012.1, XP_008179068.1, XP_016656442.1, XP_016656220.2, XP_008179054.1, XP_008189844.1, XP_029341034.1, XP_029348339.1, XP_029341294.1, XP_008180143.1, XP_016660748.1, XP_008181152.1
OG0000067	NP_001284994.1	XP_001948642.2
OG0000067	NP_524243.2, NP_572330.2	XP_016658458.1
OG0000067	NP_001261491.1	XP_029347451.1, XP_001948493.1
OG0000068	NP_001245670.1	XP_016657551.1, XP_029341046.1, XP_029348450.1, XP_008178491.1, XP_029341860.1, XP_008178156.1, XP_029345390.1, XP_008187441.1, XP_016659110.1, XP_008179271.1, XP_008182278.1, XP_029347775.1, XP_008182019.1, XP_029347896.1, XP_029348337.1
OG0000072	NP_663311.1	XP_029346399.1
OG0000074	NP_536776.2	XP_029344853.1, XP_029345069.1, XP_016655841.1, XP_016655840.1, XP_029345083.1, XP_029345084.1, XP_029342157.1, XP_029345068.1, XP_008189736.3, XP_003248965.2, XP_003248702.1, XP_029342723.1, XP_029345751.1, XP_003244613.1, XP_008185438.1, XP_003240403.1, XP_029344854.1, XP_016661523.1, XP_029345888.1, XP_029348279.1, XP_029345085.1, XP_008185021.1, XP_029341723.1, XP_029341728.1, XP_029341729.1, XP_029344850.1, XP_001946490.2, XP_016661868.1, XP_029342388.1, XP_003246142.3, XP_016661519.1, XP_008181131.2, XP_029346353.1, XP_029346354.1, XP_029341136.1, XP_016661865.2, XP_029345078.1, XP_016663995.1, XP_008181949.2, XP_016658567.1, XP_016658569.1, XP_029345073.1, XP_029345045.1, XP_029345061.1, XP_029345058.1, XP_029342395.1, XP_029342396.1, XP_029342397.1, XP_008188177.1, XP_016664028.1, XP_016664027.1, XP_001942568.2, XP_016659718.1, XP_029343824.1
OG0000077	NP_001137778.2, NP_001259986.1	XP_001945190.2
OG0000077	NP_001015405.3	XP_008187030.1
OG0000080	NP_001262255.1	XP_001952817.1, XP_003241505.1
OG0000080	NP_649754.1	XP_001952818.2, XP_008178563.1
OG0000080	NP_001262254.1	XP_003240094.1
OG0000084	NP_001097285.1	NP_001156310.1
OG0000084	NP_610774.3	NP_001155786.1
OG0000085	NP_651221.1	XP_029346873.1, XP_008179773.1, XP_001948387.1, XP_029346867.1, XP_029346870.1
OG0000086	NP_651662.1, NP_651661.1, NP_001287578.1, NP_611736.1, NP_001033953.1	NP_001155379.1, XP_016661052.1, XP_016662788.2, XP_001951510.1, NP_001155766.1, XP_008182375.2, XP_016663261.1
OG0000086	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1	XP_001950197.2
OG0000087	NP_001261716.1, NP_648485.1, NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1	NP_001155638.1, XP_001944024.1, XP_016657705.1, XP_001945443.2, XP_001948828.1, XP_001950581.2
OG0000088	NP_476589.4	XP_003247935.1, XP_016663969.1, XP_016664063.1, XP_029342933.1, XP_029348307.1, XP_029346584.1, XP_016661857.1, XP_016662464.2, XP_029342768.1, XP_029341200.1, XP_029346291.1, XP_008188258.2, XP_008179322.1, XP_029346118.1, XP_029346119.1, XP_029346120.1, XP_029346121.1, XP_029346122.1, XP_016664219.1, XP_016664222.1, XP_016664209.1, XP_016664208.1, XP_029346156.1, XP_016663761.1, XP_029342099.1, XP_008187921.2, XP_029341624.1, XP_029341315.1, XP_029341386.1, XP_008181127.1, XP_008186422.2, XP_029346035.1, XP_008186424.1, XP_016658637.1, XP_029341383.1, XP_029345190.1, XP_001947287.2, XP_029341316.1, XP_029341314.1, XP_016658366.2, XP_008181140.1, XP_016658368.2, XP_029348141.1, XP_016665001.1, XP_016658431.1, XP_029345338.1, XP_029341201.1, XP_029347594.1, XP_029342066.1, XP_029342299.1, XP_029343860.1, XP_008188293.1, XP_001951370.3, XP_016659573.1, XP_029344713.1, XP_029348332.1, XP_029344714.1, XP_008183072.2, XP_016658234.1, XP_029341287.1, XP_016658035.1, XP_016658036.1, XP_008180744.1, XP_003242965.1, XP_016657562.1, XP_016658130.1, XP_016657237.1, XP_008186058.1, XP_016662378.1, XP_001943952.3, XP_029345667.1
OG0000091	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2	XP_001950393.1, XP_001950205.1, NP_001155602.1, XP_008178940.1, XP_008178955.1, XP_001950277.2, NP_001156567.1, NP_001156102.2
OG0000092	NP_001262592.1	XP_001947820.1
OG0000094	NP_001284983.1, NP_651446.2, NP_650069.2, NP_651889.3, NP_001189331.1, NP_651891.2	XP_001948596.2
OG0000097	NP_001286321.1, NP_524611.1	XP_001948740.2, XP_008182369.1, XP_029347936.1
OG0000098	NP_001260487.1	NP_001153821.1, XP_008189785.1
OG0000099	NP_608954.1	XP_001945365.2
OG0000099	NP_001034071.1	XP_001945213.1
OG0000099	NP_651628.1	XP_001951744.1
OG0000100	NP_001262908.1, NP_001262907.1	XP_001944985.1
OG0000101	NP_001286204.1, NP_610403.1, NP_609640.1	XP_001950980.2, XP_001945570.2
OG0000101	NP_001285802.1	XP_001952301.1
OG0000102	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2, NP_001188733.1	XP_001946994.2
OG0000103	NP_524206.1	XP_003244332.1
OG0000108	NP_648918.1	XP_001946492.1, XP_029345668.1, XP_016661558.1, XP_016661557.1, XP_001952406.2
OG0000109	NP_648392.1, NP_001245736.1	XP_001947883.2
OG0000112	NP_001369123.1	XP_001944328.2
OG0000113	NP_650037.2, NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2, NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1, NP_649688.1	XP_001945521.1, XP_008179297.1, XP_003245917.1, XP_029344235.1, XP_029344236.1
OG0000115	NP_001261040.1	XP_001952040.2, NP_001156113.1, NP_001280393.1, XP_008184829.1, NP_001313601.1, XP_016662440.1, NP_001156063.1
OG0000117	NP_001286115.1	XP_001947242.1
OG0000117	NP_001262809.1	XP_001945228.1
OG0000118	NP_611204.2	XP_016664517.2
OG0000120	NP_001260010.1, NP_001162947.1	XP_008183102.1, XP_008183682.2, XP_001946812.2, XP_016660349.1
OG0000122	NP_001287102.1, NP_001163462.1, NP_649023.1	XP_029345164.1
OG0000123	NP_001259925.1	XP_001944241.1
OG0000124	NP_001260435.1, NP_001245746.1	XP_001946145.1, XP_029344203.1, XP_016657907.1, XP_003240297.1
OG0000125	NP_651172.1, NP_001097888.1	XP_029343174.1, XP_029343175.1
OG0000126	NP_477498.1, NP_996167.1	XP_029344350.1
OG0000127	NP_001261916.1	XP_008184238.2, XP_008185467.1, XP_008185468.2, XP_001944157.3, XP_001947156.2
OG0000127	NP_477127.1	XP_016661891.1
OG0000129	NP_001188842.2	XP_029342557.1, XP_003243980.1, XP_008182280.1
OG0000130	NP_723165.2	XP_008188212.1
OG0000130	NP_001014474.3	XP_029347188.1
OG0000131	NP_001259087.1	NP_001119635.1
OG0000131	NP_001097667.1	XP_001944342.1, NP_001280296.1
OG0000132	NP_001245934.1, NP_001137808.1, NP_609121.2, NP_001245823.1, NP_724088.2, NP_724087.1	XP_001944867.2, XP_008188761.1
OG0000133	NP_001368939.1	XP_001947717.2, XP_029346829.1
OG0000134	NP_001163401.1	XP_016657924.1
OG0000134	NP_572838.2	XP_016659080.1, XP_016655735.1, XP_029341669.1, XP_003244662.1, XP_016658650.1, XP_008186020.1
OG0000134	NP_525003.2	XP_008179309.1, XP_016661614.1, XP_008184229.1, XP_003240649.1, XP_003244810.1, XP_016660817.1, XP_029344030.1, XP_008187410.1, XP_016656058.1
OG0000135	NP_001286904.1, NP_524655.1	XP_008183617.1, XP_016660307.1, XP_008183620.1, XP_008183619.1, XP_016660306.1, XP_029348611.1
OG0000137	NP_727460.1, NP_611465.2	XP_029345533.1, XP_029345535.1, XP_029345534.1, XP_001949204.1, XP_008183005.1, XP_008183006.1, XP_001951358.1, XP_001943488.1
OG0000138	NP_001036303.2	XP_029344015.1, XP_029344014.1, XP_029344016.1, XP_001948700.2
OG0000139	NP_651882.1	XP_001949990.1
OG0000141	NP_001287037.1, NP_651471.2, NP_724101.4	XP_029343859.1
OG0000143	NP_001259687.1	XP_008183821.1
OG0000146	NP_648843.1, NP_572304.5, NP_610294.1	NP_001119627.1
OG0000147	NP_001245762.1	NP_001119678.1
OG0000149	NP_648425.1	NP_001233210.1, XP_008189229.1
OG0000149	NP_647686.1	XP_001945852.2
OG0000150	NP_001246198.1	XP_003241608.1, XP_001943456.1, XP_008178725.1, XP_008178726.1
OG0000151	NP_001287124.1	NP_001232992.1
OG0000152	NP_001260743.1	XP_001950609.1
OG0000153	NP_001097608.1, NP_001261584.1	XP_001952790.2
OG0000154	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1	XP_029348690.1, XP_029346266.1, XP_016657976.1, XP_029348689.1
OG0000154	NP_649002.3, NP_608445.2	XP_029344492.1, XP_029344491.1, XP_003246127.1
OG0000156	NP_647767.1	XP_016659611.1
OG0000160	NP_001034016.1, NP_649019.2	XP_001951963.1
OG0000160	NP_649428.1	XP_008184790.2, NP_001280442.1, XP_001944828.2, XP_001944881.1, XP_029342333.1, NP_001280272.1, NP_001233238.1, XP_008184532.1, XP_029342331.1, NP_001280469.1, XP_029341215.1
OG0000161	NP_001261749.1, NP_788501.1	XP_001950765.1
OG0000162	NP_001097669.2	XP_029346510.1
OG0000162	NP_001285015.1	XP_008186164.1, XP_029342674.1
OG0000162	NP_001262916.1	XP_016657938.1, XP_008180629.1
OG0000164	NP_647962.1, NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1	XP_016661577.1
OG0000165	NP_001245593.1	XP_029343832.1
OG0000165	NP_001284986.1	XP_029343481.1
OG0000166	NP_001097498.1	XP_029347644.1, XP_029347638.1, XP_029347646.1
OG0000168	NP_996226.2	XP_001951684.4, XP_003248836.2
OG0000168	NP_001261571.1, NP_001246162.1	XP_001942542.1, XP_008186133.1
OG0000171	NP_001245931.1, NP_609310.2, NP_609309.1, NP_001260213.1, NP_609133.2, NP_610819.1, NP_648060.1	XP_029345553.1
OG0000173	NP_001247239.1	NP_001233019.1
OG0000174	NP_725682.2, NP_001286533.1, NP_611218.1	XP_008185372.1, XP_008189584.3, XP_008183684.1, XP_001944323.1, XP_008186867.1, XP_029343098.1, XP_029343097.1
OG0000175	NP_001163218.1	XP_029344556.1, XP_001951192.1
OG0000176	NP_649837.1	XP_008180668.1, XP_016660658.1, XP_016661896.1, XP_008182988.1
OG0000177	NP_001261827.1	XP_016657898.1, XP_008180564.2
OG0000177	NP_001261829.1, NP_001261830.1	XP_001952775.1
OG0000179	NP_523366.2, NP_648697.1	NP_001280333.1
OG0000180	NP_001027161.1	NP_001232980.1
OG0000182	NP_001163460.1	XP_003241873.1
OG0000183	NP_001287555.1, NP_524074.1, NP_001245996.1	XP_016663191.1, XP_016662030.1
OG0000184	NP_995642.1, NP_523504.2, NP_001162633.1	XP_029341516.1
OG0000185	NP_001259439.1	XP_029344304.1
OG0000188	NP_524551.2, NP_476974.1	XP_001944994.1
OG0000189	NP_651982.1, NP_001036733.1, NP_001262788.1	XP_008180383.1
OG0000189	NP_650925.1	XP_008180381.1
OG0000189	NP_608557.4, NP_523485.3, NP_523484.2, NP_001036373.1	XP_029345137.1, XP_008180387.1, XP_029345828.1
OG0000190	NP_732717.1	XP_008187339.1
OG0000191	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2	XP_029346818.1
OG0000191	NP_001246909.1, NP_477232.1, NP_648125.3	XP_016659446.1, XP_029346152.1, XP_029344343.1, XP_029342439.1
OG0000192	NP_611994.3	XP_029345853.1
OG0000196	NP_001261758.1	XP_001943581.2
OG0000196	NP_730938.1	XP_003248273.1, XP_008188605.1, XP_029347409.1, XP_029347413.1
OG0000197	NP_001287082.1	XP_001949247.2, XP_001943809.2
OG0000198	NP_611747.2	XP_003240145.1, XP_016656873.1
OG0000200	NP_001262796.1	XP_001949978.1
OG0000200	NP_001259616.1	XP_008182512.1
OG0000201	NP_649026.1	XP_001951690.2
OG0000201	NP_730973.1, NP_001262292.1, NP_649563.1, NP_730974.1, NP_569875.2	NP_001313588.1
OG0000202	NP_001260674.1	XP_001944687.1
OG0000203	NP_001369023.1, NP_001287406.1, NP_650804.2, NP_650803.1, NP_648067.2	XP_016662444.1, XP_001947661.2, XP_001949662.1, XP_029342520.1, XP_001947565.2
OG0000204	NP_001188590.1	XP_003243588.1, XP_001948363.2
OG0000205	NP_001097505.1	XP_016660231.1, XP_029344431.1, XP_029344430.1, XP_003244837.1
OG0000207	NP_001286310.1, NP_001287091.1	NP_001155712.1
OG0000207	NP_001246139.1	NP_001192033.1
OG0000208	NP_001137606.1	XP_001950788.1
OG0000209	NP_001163199.1	XP_008183529.1
OG0000212	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1	NP_001232971.1, XP_008179391.1
OG0000213	NP_648589.1	XP_001945623.2, NP_001280334.1
OG0000214	NP_001260290.1	XP_001945750.1
OG0000214	NP_001247324.1	XP_008186309.1, XP_008186310.1, XP_008186312.3
OG0000215	NP_649139.1	XP_001949004.1, XP_016656471.1, XP_003241622.1
OG0000216	NP_524598.1, NP_001262008.1, NP_572780.3, NP_573003.2, NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1	XP_029341236.1, XP_029347825.1, XP_001952110.2
OG0000218	NP_649086.2	XP_008186264.1
OG0000223	NP_523986.2, NP_524142.2, NP_524141.1	XP_001944473.2, XP_029342159.1
OG0000224	NP_647862.1, NP_728942.1	XP_003247330.1, XP_001945322.1, XP_016656052.1, XP_029346604.1, XP_001950045.2
OG0000225	NP_536756.1	XP_008183136.1, XP_001946333.2, XP_016659881.1
OG0000226	NP_001356958.1	XP_008185421.1
OG0000226	NP_611241.2	XP_001947155.2, XP_029346388.1, XP_029346384.1, XP_029346385.1, XP_029346382.1, XP_029346383.1, XP_029346386.1, XP_029346387.1
OG0000227	NP_001262022.1	XP_003245308.1, XP_008184764.2
OG0000229	NP_001097421.2, NP_001286738.1, NP_001246465.1, NP_001246466.1, NP_001033966.1, NP_726223.1, NP_001303360.1, NP_001246468.1	XP_029341397.1, XP_016661667.1, XP_016661666.1, XP_016661665.1, XP_016661664.1, XP_016661668.1, XP_008187110.1, NP_001233057.1
OG0000230	NP_001286852.1, NP_611887.2	XP_016661982.1, XP_016661983.1, XP_016661984.1, XP_001943037.1
OG0000231	NP_650028.1, NP_650029.1, NP_001285882.1	XP_001946956.2, XP_001948201.2
OG0000232	NP_001303567.1	XP_001947878.1, XP_029346471.1
