Orthogroup	Drosophila_melanogaster	Ceratina_calcarata
OG0000117	NP_001286115.1	XP_017881345.1
OG0000117	NP_001262809.1	XP_017887828.1, XP_026673222.1, XP_026673221.1, XP_026673223.1, XP_017887829.1
OG0000120	NP_001260010.1, NP_001162947.1	XP_026671941.1, XP_017885112.1, XP_017885113.1, XP_017885114.1, XP_026671925.1, XP_026671926.1, XP_026671923.1, XP_026671924.1, XP_017885115.1, XP_026671929.1, XP_026671928.1, XP_026671927.1, XP_017885111.1
OG0000122	NP_001287102.1, NP_001163462.1, NP_649023.1	XP_026667849.1
OG0000122	NP_610807.3	XP_017884012.1
OG0000123	NP_001259925.1	XP_026671916.1, XP_017885083.1, XP_017885082.1, XP_017885077.1, XP_017885085.1, XP_017885084.1, XP_017885081.1
OG0000124	NP_001260435.1, NP_001245746.1	XP_026668669.1, XP_026668670.1, XP_017878668.1, XP_026668667.1, XP_026668668.1, XP_017878669.1
OG0000125	NP_651172.1, NP_001097888.1	XP_017875584.1, XP_017875585.1, XP_026667182.1, XP_026674457.1, XP_017875567.1, XP_026667179.1, XP_026667181.1, XP_017875575.1, XP_017875574.1, XP_017875581.1
OG0000126	NP_477498.1, NP_996167.1	XP_026674600.1, XP_026674596.1, XP_026674598.1, XP_026674597.1, XP_017890658.1
OG0000127	NP_001261916.1	XP_017876054.2, XP_017881008.1
OG0000127	NP_477127.1	XP_026671168.1, XP_026667416.1
OG0000129	NP_001188842.2	XP_026673235.1, XP_026673236.1, XP_017887874.1
OG0000130	NP_723165.2	XP_017890630.1, XP_017890624.2, XP_026674583.1, XP_026674584.1, XP_026670687.1
OG0000130	NP_001014474.3	XP_026670684.1
OG0000131	NP_001259087.1	XP_017887498.1
OG0000131	NP_001097667.1	XP_017887622.1, XP_026673152.1
OG0000132	NP_001245934.1, NP_001137808.1, NP_609121.2	XP_017878842.1
OG0000132	NP_001245823.1, NP_724088.2, NP_724087.1	XP_026668316.1
OG0000133	NP_001368939.1	XP_017877510.1
OG0000134	NP_525003.2	XP_017887655.1, XP_017887663.1
OG0000134	NP_610678.1	XP_026667909.1
OG0000135	NP_001286904.1	XP_026673412.1
OG0000135	NP_524655.1	XP_026669661.1
OG0000136	NP_611126.1, NP_611131.2, NP_001285647.1, NP_001097337.1	XP_026675214.1, XP_017892253.1
OG0000137	NP_727460.1, NP_611465.2	XP_026670973.1, XP_026670220.1, XP_026675240.1
OG0000138	NP_001036303.2	XP_017885549.1, XP_026672117.1, XP_017885589.1, XP_017885588.1, XP_017885587.1
OG0000139	NP_651882.1	XP_026673554.1
OG0000141	NP_001287037.1	XP_017885124.1
OG0000141	NP_651471.2	XP_026671329.1, XP_026671326.1, XP_026671328.1, XP_017884016.1, XP_026671325.1
OG0000141	NP_724101.4	XP_017876335.1
OG0000143	NP_001259687.1	XP_017891548.1, XP_026675129.1, XP_017891695.1, XP_017891686.1
OG0000144	NP_001287042.1, NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1	XP_026673668.1, XP_017888863.1
OG0000145	NP_651930.2	XP_026667451.1, XP_017876164.1, XP_017875158.1
OG0000146	NP_648843.1	XP_017880213.1
OG0000146	NP_610294.1	XP_017880666.1
OG0000147	NP_001245762.1	XP_026667896.1, XP_017877071.1, XP_017877072.1, XP_017877070.1, XP_017875842.1, XP_017875843.1, XP_026667285.1
OG0000149	NP_648425.1	XP_026669621.1
OG0000149	NP_647686.1	XP_017880633.1, XP_026669623.1, XP_017880636.1, XP_017880635.1, XP_026669622.1
OG0000150	NP_001246198.1	XP_026671385.1, XP_026671384.1, XP_017884134.1, XP_017884140.1, XP_017884141.1, XP_017884135.1, XP_017884138.1, XP_017884143.1, XP_017884145.1, XP_026671383.1
OG0000151	NP_001287124.1	XP_026667339.1, XP_026667338.1, XP_026667337.1, XP_017875900.1, XP_017875902.1
OG0000152	NP_001260743.1	XP_026667393.1, XP_026667394.1, XP_026667391.1, XP_026667392.1, XP_017876039.1
OG0000153	NP_001261584.1	XP_017884723.1, XP_017884724.1, XP_017884725.1, XP_017884726.1, XP_026671618.1
OG0000154	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1	XP_017876215.1
OG0000156	NP_647767.1	XP_017887763.1, XP_026673086.1, XP_017887760.1, XP_017887762.1, XP_017887761.1, XP_026673087.1
OG0000157	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1	XP_017891817.1, XP_017891818.1
OG0000158	NP_648354.1	XP_017883012.1, XP_017893148.1, XP_017892229.1, XP_017892218.2, XP_017883003.2
OG0000160	NP_001034016.1, NP_649019.2	XP_017886269.2, XP_017886270.1
OG0000160	NP_649428.1	XP_017887715.1, XP_026673143.1, XP_026673144.1
OG0000161	NP_001261749.1, NP_788501.1	XP_017882448.1, XP_017877494.1, XP_017878197.1
OG0000162	NP_001097669.2	XP_017889429.1
OG0000162	NP_001262916.1	XP_017885311.1
OG0000164	NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1	XP_026674186.1, XP_026673941.1
OG0000165	NP_001245593.1	XP_017893274.1, XP_017893275.1, XP_017893271.1, XP_017893273.1, XP_017893272.1
OG0000165	NP_001284986.1	XP_017880352.1
OG0000166	NP_001097498.1	XP_017884326.1, XP_026671456.1, XP_026671462.1, XP_026671458.1, XP_026671477.1
OG0000168	NP_996226.2	XP_017883928.1
OG0000168	NP_001261500.1	XP_017885312.2
OG0000171	NP_609310.2, NP_609309.1	XP_017888625.2, XP_017893176.1
OG0000173	NP_001247239.1	XP_017889483.1, XP_026674100.1, XP_026674098.1, XP_026674099.1
OG0000174	NP_725682.2, NP_001286533.1, NP_611218.1	XP_017884502.1, XP_017884504.1, XP_017884503.1, XP_017884500.1, XP_017884501.1, XP_026671517.1, XP_017884509.1, XP_017884505.1, XP_017884508.1
OG0000175	NP_001163218.1	XP_017893183.1, XP_017893184.1, XP_017893185.1
OG0000177	NP_001261827.1	XP_017876272.1
OG0000177	NP_001261829.1	XP_017876310.1
OG0000177	NP_001261830.1	XP_017876269.1
OG0000178	NP_001356914.1	XP_026671237.1, XP_017883869.1
OG0000179	NP_523366.2, NP_648697.1	XP_017888464.1
OG0000180	NP_001027161.1	XP_017890818.1
OG0000182	NP_001163460.1	XP_026670184.1, XP_026670178.1, XP_026670174.1, XP_017881549.1
OG0000183	NP_001287555.1	XP_026670364.1
OG0000183	NP_524074.1	XP_017876952.1, XP_017876951.1, XP_017876954.1, XP_017876953.1
OG0000184	NP_995642.1, NP_523504.2, NP_001162633.1	XP_017880151.1
OG0000185	NP_001259439.1	XP_017884792.1, XP_017884791.1
OG0000186	NP_573320.1	XP_017880985.2, XP_017889237.1, XP_017889238.1, XP_017884325.1, XP_017889240.1, XP_026673871.1, XP_017879879.1, XP_017879865.1, XP_017893576.1, XP_017877687.1, XP_017877675.1, XP_017885068.1, XP_017890095.1, XP_017884322.1, XP_017884320.1, XP_017884321.1, XP_017891413.1
OG0000187	NP_001188856.1	XP_017885442.1, XP_017885441.1, XP_026672109.1, XP_026672110.1
OG0000188	NP_524551.2, NP_476974.1	XP_017881748.1
OG0000189	NP_650925.1	XP_026666490.1
OG0000189	NP_608557.4, NP_523485.3, NP_523484.2, NP_001036373.1	XP_017883266.1
OG0000190	NP_732717.1	XP_026670787.1, XP_017882897.1, XP_017882899.1, XP_017882898.1
OG0000191	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2, NP_001246909.1, NP_477232.1, NP_648125.3	XP_026668491.1
OG0000192	NP_611994.3	XP_026666469.1, XP_026666468.1, XP_026666467.1, XP_026666466.1, XP_026666470.1, XP_017892919.1
OG0000194	NP_648207.1	XP_026669791.1
OG0000196	NP_001261758.1	XP_017876924.1, XP_026672114.1
OG0000196	NP_730938.1	XP_026675560.1
OG0000197	NP_001287082.1	XP_017882165.1, XP_017882164.1, XP_017882163.1
OG0000198	NP_611747.2	XP_017889330.1
OG0000200	NP_001262796.1	XP_017890009.1, XP_017890010.1
OG0000200	NP_001259616.1	XP_017878648.1, XP_017878649.1
OG0000201	NP_649026.1, NP_730973.1, NP_001262292.1, NP_649563.1, NP_730974.1, NP_569875.2	XP_017881997.1
OG0000203	NP_001369023.1, NP_001287406.1, NP_650804.2, NP_650803.1	XP_017887879.1
OG0000203	NP_648067.2	XP_017887627.1, XP_017887629.1, XP_017887626.1
OG0000204	NP_001188590.1	XP_017890364.1, XP_017890363.1, XP_017890362.1
OG0000205	NP_001097505.1	XP_026669616.1, XP_026669617.1, XP_026669618.1, XP_017880691.1, XP_017880690.1
OG0000206	NP_650893.2	XP_017886680.1
OG0000206	NP_001097707.1, NP_001287222.1	XP_026672663.1, XP_017886684.1
OG0000207	NP_001286310.1, NP_001287091.1	XP_017887500.1
OG0000207	NP_001246139.1	XP_026674616.1, XP_017892647.1
OG0000208	NP_001137606.1	XP_017888023.2
OG0000209	NP_001163199.1	XP_017877461.1
OG0000212	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1	XP_017878882.2, XP_017881503.1, XP_017881501.1, XP_017881502.1
OG0000213	NP_648589.1	XP_017880316.1, XP_017880314.1, XP_017880318.1, XP_017880317.1, XP_017880320.1, XP_017880319.1, XP_017880312.1, XP_017880311.1, XP_017880310.1
OG0000214	NP_001260290.1	XP_017887358.1
OG0000214	NP_001247324.1	XP_017883709.1
OG0000215	NP_649139.1	XP_026674154.1, XP_026674156.1
OG0000216	NP_524598.1, NP_001262008.1, NP_572780.3, NP_573003.2, NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1	XP_026675305.1, XP_017879922.1
OG0000217	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1	XP_017875872.2
OG0000218	NP_649086.2	XP_017886341.1, XP_017886340.1, XP_017886339.1
OG0000219	NP_610764.1	XP_017877521.1, XP_017877526.1
OG0000220	NP_650528.1	XP_017876340.1, XP_026667525.1, XP_026667523.1, XP_026667524.1
OG0000221	NP_001036320.3	XP_026670075.1, XP_017881592.1, XP_026670076.1
OG0000223	NP_523986.2	XP_017882775.1
OG0000223	NP_524142.2, NP_524141.1	XP_017893356.1
OG0000224	NP_647862.1, NP_728942.1	XP_017880350.1, XP_026669417.1, XP_017889312.2, XP_017880348.2, XP_026670597.1, XP_017888028.2, XP_017888027.2, XP_026673571.1, XP_017888596.1, XP_026670596.1, XP_017882521.1, XP_026673573.1
OG0000225	NP_536756.1	XP_026666844.1, XP_017893638.1, XP_017893637.1, XP_017893635.1, XP_017893634.1, XP_017893640.1, XP_017893639.1, XP_017878810.1
OG0000226	NP_001356958.1	XP_026666804.1, XP_026666810.1
OG0000226	NP_611241.2	XP_017893380.1
OG0000227	NP_001262022.1	XP_017888470.1, XP_017888471.1, XP_017888467.1, XP_017888469.1, XP_017888468.1
OG0000229	NP_726223.1, NP_001303360.1, NP_001246468.1	XP_017875075.1
OG0000230	NP_001286852.1	XP_017890279.1
OG0000231	NP_650028.1, NP_650029.1, NP_001285882.1	XP_017876697.1
OG0000232	NP_001303567.1	XP_017884958.1, XP_017884957.1
OG0000233	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1	XP_026675538.1, XP_017892650.2, XP_017892649.1, XP_026669124.1, XP_017879788.1, XP_017879699.1
OG0000234	NP_726740.1, NP_649880.1, NP_649881.1	XP_017888526.1, XP_017888643.1
OG0000235	NP_001261046.1	XP_017875862.1
OG0000236	NP_524368.5	XP_017889373.1
OG0000237	NP_523863.1	XP_017876361.1
OG0000237	NP_523862.1	XP_017876360.1
OG0000239	NP_733091.1, NP_611452.2, NP_001285793.1, NP_651369.1, NP_001027211.3, NP_001287526.1, NP_651371.1, NP_733121.1, NP_651372.1, NP_651370.2, NP_001262006.1, NP_001260130.1, NP_569859.1, NP_609015.2, NP_573269.1	XP_017893445.1
OG0000241	NP_001097059.1, NP_647821.2, NP_001285749.1	XP_026666971.1, XP_026666464.1
OG0000243	NP_608584.1, NP_523761.2	XP_017884615.1
OG0000244	NP_610117.1	XP_017875461.1
OG0000245	NP_476812.1, NP_610443.1, NP_524760.1	XP_017884414.2, XP_017877241.2, XP_017877242.1
OG0000246	NP_724163.1	XP_026672439.1, XP_017886206.1, XP_017886207.1
OG0000247	NP_651898.2, NP_001096949.1	XP_017879482.1
OG0000247	NP_649833.1, NP_648548.1	XP_026669061.1
OG0000249	NP_572996.1	XP_017881184.1, XP_017889296.1, XP_017889295.1, XP_017881308.1
OG0000250	NP_650508.1, NP_001285102.1	XP_017891897.1, XP_017892094.1
OG0000252	NP_730950.2	XP_017882976.1, XP_017882975.1
OG0000253	NP_001162737.1	XP_017892580.1
OG0000253	NP_001263132.1	XP_017887593.1
OG0000254	NP_732295.1	XP_017885582.1
OG0000254	NP_001368946.1	XP_026670867.1, XP_017883145.1
OG0000255	NP_001033900.2, NP_572436.1	XP_017876450.1, XP_017876430.1, XP_017876438.1, XP_017876443.1
OG0000256	NP_732900.1	XP_017888223.1, XP_017888224.1
OG0000257	NP_001262861.1	XP_017888096.1
OG0000257	NP_001287485.1	XP_017888092.1
OG0000259	NP_723538.3	XP_026675575.1, XP_026675576.1, XP_026674289.1
OG0000260	NP_572306.1	XP_017877095.2
OG0000261	NP_001286161.1, NP_610318.1, NP_610319.2	XP_026673608.1, XP_017888695.1, XP_017888696.1, XP_017888680.1, XP_017888716.1
OG0000263	NP_001285111.1	XP_017879981.1, XP_017879980.1
OG0000264	NP_001033939.2	XP_017891067.1
OG0000264	NP_476735.1	XP_017876369.1
OG0000265	NP_649517.1, NP_650190.1	XP_026669532.1, XP_017885091.1
OG0000266	NP_524387.1	XP_017891607.1, XP_026674990.1, XP_017891608.1
OG0000266	NP_001285202.1	XP_017885430.1, XP_017885429.1
OG0000268	NP_001285901.1, NP_001262995.1	XP_017885444.1
OG0000269	NP_001284901.1	XP_026675551.1, XP_026675554.1, XP_026675552.1, XP_026675550.1, XP_026675553.1, XP_017892665.1
OG0000270	NP_001034048.2	XP_017876933.1, XP_017888657.2, XP_017879441.2
OG0000270	NP_001163596.2	XP_017889037.1
OG0000271	NP_001014620.1, NP_731788.1, NP_731790.1	XP_017883617.2, XP_026671280.1
OG0000272	NP_995675.1	XP_017892842.1
OG0000272	NP_001162795.1, NP_001356885.1	XP_017876935.1
OG0000273	NP_001097437.1	XP_017881716.1, XP_026670142.1, XP_026670143.1
OG0000274	NP_001014485.3	XP_017883552.1
OG0000274	NP_001036681.1	XP_026674273.1, XP_026674274.1, XP_026674275.1
OG0000275	NP_648909.1	XP_017876926.2
