Orthogroup	Aedes_aegypti	Nasonia_vitripennis
OG0000014	XP_021712835.1, XP_021712191.1, XP_021712166.1, XP_021706478.1, XP_021705014.1, XP_021712175.1, XP_021705015.1, XP_021711142.1, XP_021705288.1, XP_021712199.1, XP_021705824.1, XP_021712187.1, XP_021705024.1, XP_021712165.1, XP_021705025.1, XP_021711147.1, XP_021706543.1, XP_021711141.1, XP_021711145.1, XP_021706544.1, XP_021706545.1, XP_021712186.1, XP_021706546.1, XP_021712839.1, XP_021706549.1, XP_021711149.1, XP_021706554.1, XP_021711146.1, XP_021707481.1, XP_021712685.1, XP_021706569.1, XP_021712097.1, XP_021712027.1, XP_021708651.1, XP_021706552.1, XP_021711152.1, XP_021711139.1, XP_021706550.1, XP_021708655.1, XP_021711144.1, XP_021708656.1, XP_021712095.1, XP_021706560.1, XP_021711143.1, XP_021706563.1, XP_021712692.1, XP_021708754.1, XP_021711151.1, XP_021706553.1, XP_021712155.1, XP_021708646.1, XP_021711150.1, XP_021708807.1	XP_031787726.1, XP_001608125.1
OG0000016	XP_021712581.1, XP_021694278.1, XP_021695205.1	XP_031782910.1, XP_031785914.1, XP_031785821.1, XP_032457816.1, XP_031786062.1, XP_031788870.1, XP_008206132.1, XP_031782977.1, XP_032456536.1
OG0000017	XP_001658010.2	NP_001165915.1, XP_031787492.1, XP_001600187.1
OG0000017	XP_001658009.2, XP_021693938.1, XP_001658007.2	NP_001165913.1, NP_001165914.1
OG0000018	XP_021697392.1, XP_021697390.1, XP_021697387.1, XP_021697388.1, XP_021697389.1, XP_021697393.1	XP_008214580.1
OG0000018	XP_021706785.1, XP_021706786.1, XP_021706787.1, XP_021706788.1, XP_001651693.2	XP_001604347.2
OG0000018	XP_021706781.1	XP_031784239.1, XP_032455220.1, XP_001603263.2, XP_001603558.2, XP_001603825.1
OG0000019	XP_021694331.1, XP_021694068.1	XP_032454031.1, XP_008206500.1, XP_032457652.1, XP_031776844.1
OG0000019	XP_001651730.2, XP_001662493.2, XP_001662497.2, XP_001662494.2, XP_021694070.1, XP_001662317.1, XP_001650036.2, XP_001662495.2	XP_031777606.1, XP_008213182.2, XP_016840785.1, XP_001602620.2, XP_031783671.1
OG0000020	XP_021700919.1, XP_001650147.2	XP_031778749.1, XP_031781856.1
OG0000020	XP_021699908.1	XP_016838656.1, XP_031778996.1
OG0000021	XP_001654997.1, XP_021710336.1, XP_021710335.1	XP_032452884.1, XP_016845846.1, XP_001607795.1
OG0000021	XP_021699404.1	XP_001603725.1
OG0000021	XP_021713110.1, XP_001662165.1	XP_001601834.2
OG0000022	XP_001657157.1, XP_001657152.1, XP_001657149.1, XP_001662624.1	XP_032456078.1
OG0000023	XP_021705294.1, XP_021705295.1, XP_021705020.1, XP_021705019.1, XP_021705018.1, XP_021705026.1, XP_021705293.1, XP_021706644.1, XP_021706645.1, XP_021706808.1, XP_021706809.1, XP_021706669.1, XP_021706668.1, XP_021706564.1, XP_001656991.1, XP_001656987.1, XP_021706561.1, XP_021706555.1, XP_021706479.1, XP_021706481.1, XP_021705027.1, XP_001657281.1, XP_021705827.1, XP_001657266.1, XP_021705292.1	XP_001608226.1, XP_001608234.1, XP_001599909.1, XP_003424473.1, XP_016844748.1, XP_001607906.1, XP_031778032.1, XP_031778031.1, XP_031777923.1, XP_031778030.1, XP_001607725.1, XP_031787982.1, XP_001607191.1, XP_031787525.1, XP_016836789.2, XP_001603608.1, XP_001607945.1
OG0000024	XP_001653943.1, XP_021708435.1, XP_011492953.2, XP_011492954.2, XP_001659308.2, XP_011492952.2, XP_001661001.2, XP_001661002.2, XP_011493633.2, XP_021711830.1, XP_001660615.1, XP_001656527.2	XP_003425961.1, XP_016838044.1, XP_001606051.1, XP_001599715.1, XP_001599851.1, XP_001606577.2, XP_001604918.1, XP_001604981.1, XP_008209485.1, XP_008209484.1, XP_001600270.1
OG0000026	XP_021706420.1	XP_008204831.1
OG0000026	XP_021702583.1, XP_021702581.1, XP_021702582.1, XP_021702584.1	XP_008210347.1, XP_016840213.1, XP_016840212.1, XP_031782078.1, XP_031782077.1, XP_031782079.1
OG0000027	XP_001663888.1, XP_021706536.1	XP_001599220.1
OG0000027	XP_021706547.1, XP_021706542.1	XP_031787587.1
OG0000027	XP_001656994.2	XP_001599471.2
OG0000027	XP_021706523.1	XP_001600560.1, XP_031785593.1, XP_031785592.1
OG0000029	XP_001654720.1, XP_021711708.1, XP_021704638.1, XP_021712736.1, XP_001654721.1, XP_021693569.1, XP_001660358.1, XP_001657546.2, XP_001660353.1, XP_001660356.1, XP_001660354.2, XP_001660359.1, XP_001660349.1, XP_021693574.1, XP_001660357.1, XP_001650809.1	XP_031787434.1, NP_001166269.1, NP_001166268.1, NP_001166270.1, NP_001166276.1, NP_001166277.1, XP_032455898.1, NP_001153407.1, NP_001161335.1
OG0000029	XP_001664018.2	NP_001166265.1
OG0000029	XP_021704637.1, XP_021704641.1, XP_021712735.1	NP_001166275.1, NP_001161319.1, NP_001166272.1
OG0000032	XP_021702783.1	XP_016838416.1
OG0000032	XP_021705631.1, XP_021705632.1, XP_021705633.1, XP_021705630.1	XP_031787250.1
OG0000032	XP_001652526.1, XP_021707253.1, XP_001652524.1, XP_001652523.2, XP_021707252.1, XP_001652525.1, XP_001652527.2, XP_001652528.2, XP_001652520.1, XP_021708318.1, XP_001662930.2, XP_021709531.1	XP_001608012.1, NP_001164368.1, XP_003426142.1, XP_016840393.1, NP_001164369.1
OG0000033	XP_021707816.1	XP_031777405.1, XP_031776790.1, XP_031777406.1, XP_031786261.1, XP_031786260.1, XP_031781166.1, XP_031779670.1, XP_031788567.1, XP_016841972.2
OG0000033	XP_021705680.1, XP_021704128.1	XP_031788710.1, XP_008205139.1
OG0000035	XP_001650274.2, XP_001662128.2	XP_016838618.1, XP_032453168.1, XP_031780251.1, XP_008204964.1
OG0000036	XP_021695536.1	XP_001607369.1, XP_031776621.1, XP_032451907.1, XP_032451908.1, XP_008215341.1, NP_001155022.1, XP_031776641.1, XP_003423856.1, XP_032451911.1, XP_016845877.1, XP_008215340.1
OG0000037	XP_021698956.1, XP_021698957.1, XP_021698955.1, XP_001655400.1, XP_001659628.2, XP_001654516.2, XP_001650153.1, XP_001659658.1, XP_001650182.1, XP_001659653.2, XP_001659654.2, XP_001659610.1, XP_001647747.1, XP_001659651.2, XP_001659656.2, XP_001659657.1	XP_008216622.1, XP_008216623.1
OG0000038	XP_001652144.1, XP_001663407.1	XP_001607699.1, XP_001604160.1
OG0000040	XP_001659969.2, XP_001659962.1	NP_001166071.1, XP_001607047.2, XP_016836762.1, XP_008203154.1, NP_001166072.1, XP_031787073.1
OG0000040	XP_021698609.1, XP_021698904.1, XP_001661388.1, XP_021698905.1, XP_021709866.1, XP_001654842.2, XP_001662080.2, XP_001662079.2, XP_001662078.2, XP_001658738.1, XP_001652121.2, XP_001662077.2, XP_001662076.1	XP_001607871.2, XP_031788471.1, XP_031783595.1, XP_032452313.1, XP_032456102.1, XP_016837475.1, XP_016836866.1, NP_001166253.1, XP_032457056.1, NP_001166073.1, NP_001166069.1, XP_016838948.1, NP_001166068.1, XP_016838625.2, XP_001605658.3, XP_031779738.1, XP_032453050.1, NP_001166054.1, XP_016837013.1
OG0000041	XP_001655176.1, XP_001655175.1	XP_032453601.1, NP_001157191.1, NP_001157192.1
OG0000041	XP_001659963.1	XP_001601342.1
OG0000041	XP_001649531.1	XP_001601504.1, XP_016845814.1
OG0000042	XP_021693433.1	XP_008205137.1, XP_008205135.1, XP_008205136.1
OG0000042	XP_001658411.2	XP_001607893.1
OG0000042	XP_021711166.1	XP_008205676.1, XP_001602540.1
OG0000043	XP_001660749.1	XP_008208463.1
OG0000044	XP_001662886.2, XP_021704584.1, XP_021704583.1, XP_021704585.1, XP_001658981.2, XP_001659766.2, XP_001662888.1, XP_021693815.1, XP_001662885.2, XP_021693817.1, XP_001651477.2	XP_031787739.1
OG0000044	XP_001651479.2, XP_021712899.1, XP_021712941.1, XP_021712940.1	XP_001602131.2
OG0000044	XP_021712943.1	XP_031788192.1
OG0000045	XP_001660907.2, XP_021707666.1, XP_001660908.1, XP_001660906.2, XP_001660189.2, XP_001649784.1, XP_001649787.1, XP_001649783.1, XP_001649786.1, XP_001649788.1, XP_001656785.2	XP_001604688.1, XP_001604507.3, XP_001604459.1, NP_001153339.1, NP_001153340.1, XP_001604662.2
OG0000046	XP_021707218.1, XP_011493320.1, XP_021711730.1, XP_021711729.1, XP_021711733.1, XP_021711731.1	XP_001604460.2
OG0000046	XP_021693655.1, XP_021693654.1, XP_021693653.1, XP_021693651.1, XP_021693652.1, XP_021693649.1	XP_001599773.3, XP_031779567.1, XP_001604951.2
OG0000046	XP_021707697.1	XP_032452163.1, NP_001166228.1, XP_001608044.1
OG0000048	XP_001663296.2	XP_003426470.1
OG0000050	XP_001654509.1, XP_011493543.2, XP_001650372.3, XP_001648942.1, XP_001655125.2, XP_021711298.1, XP_001656532.2, XP_021712588.1, XP_001656533.1, XP_021711977.1, XP_021712587.1, XP_001656534.2, XP_021712580.1, XP_001656535.1, XP_021712578.1, XP_001656536.1, XP_021712579.1, XP_021712589.1, XP_001656537.1	NP_001165950.1, XP_003427743.2, XP_001602331.2, NP_001165951.1, XP_032455970.1, NP_001165962.1, NP_001165960.1, NP_001165958.1, NP_001165947.1, XP_008212266.2, XP_008216259.1, XP_001608200.1
OG0000052	XP_001653763.1	XP_031779622.1, XP_003428054.1, XP_031776989.1, XP_001601084.2, XP_001602124.1, XP_016837116.1, XP_001602148.2, XP_001600160.2, XP_016838653.2, XP_008207931.1, XP_001602097.1, XP_031778518.1, XP_032452509.1, XP_016838309.1, XP_031778517.1, XP_031778516.1, XP_001600185.1, XP_001602071.1
OG0000052	XP_021697771.1, XP_021697773.1	XP_031777611.1
OG0000052	XP_021711564.1	XP_001602874.2
OG0000054	XP_001661677.2, XP_001657098.2, XP_001663703.1, XP_001663705.1, XP_001658209.1, XP_001658210.1, XP_001663706.1, XP_001663702.2	XP_016837121.1, XP_001602743.1, NP_001161317.1, XP_031780215.1, XP_031780249.1, XP_001602894.2
OG0000055	XP_021695325.1, XP_021695326.1, XP_001650510.1, XP_021695322.1, XP_021695324.1, XP_021695323.1	XP_001602853.1
OG0000055	XP_001654841.2	XP_008215920.1
OG0000056	XP_021702305.1	XP_031780252.1, XP_001604931.2
OG0000056	XP_021704129.1	XP_008202999.3
OG0000056	XP_021704390.1	XP_031784842.1
OG0000057	XP_001656025.1	XP_031785452.1
OG0000057	XP_021701591.1	XP_001602360.1
OG0000057	XP_001656026.2	XP_003427519.1
OG0000057	XP_001650054.1	XP_001600234.1, XP_001606290.1
OG0000059	XP_021708124.1, XP_021711752.1, XP_021706436.1, XP_021695266.1, XP_021695996.1, XP_021694735.1	XP_008214724.1
OG0000059	XP_021694291.1, XP_021712004.1, XP_021711614.1, XP_021699997.1, XP_021708414.1, XP_021703427.1, XP_021694822.1	XP_031778828.1
OG0000060	XP_001663993.2	XP_031784439.1, XP_031784422.1, XP_031784431.1
OG0000060	XP_021710092.1, XP_021710091.1, XP_001652667.1	XP_008205703.1, XP_016845553.1, XP_016845554.1, XP_016845551.1, XP_016845552.1
OG0000061	XP_021693614.1, XP_021693615.1, XP_021693616.1	XP_031786737.1, NP_001164380.1
OG0000063	XP_021706514.1, XP_021712878.1	XP_031784373.1, XP_032457267.1, XP_031781630.1, XP_031782179.1, XP_031784220.1
OG0000065	XP_011493201.1	XP_001606156.1, XP_016836539.1, XP_016836538.1, XP_016836540.1, XP_008215330.1, XP_008215325.1, XP_008215326.1
OG0000065	XP_011493637.2, XP_011493079.2, XP_011493699.2, XP_021699125.1	XP_001605553.3, XP_032454719.1, XP_032453000.1, XP_008205745.1, XP_031776818.1, XP_001607018.2
OG0000067	XP_001653435.1	XP_001605420.2
OG0000067	XP_001654897.1	XP_031788440.1
OG0000067	XP_001653950.2, XP_001654592.2	XP_031782248.1
OG0000067	XP_001661370.1, XP_021698916.1	XP_008209138.1
OG0000071	XP_021703680.1, XP_021702229.1, XP_021694311.1, XP_021706464.1, XP_021703997.1, XP_021695236.1, XP_021701192.1, XP_021709271.1, XP_021695636.1, XP_021710570.1, XP_021708727.1, XP_021702221.1, XP_021706502.1, XP_021694267.1	XP_001602581.1, XP_031788357.1, XP_016840145.2
OG0000071	XP_021696059.1	XP_008215689.1
OG0000073	XP_021707539.1	XP_032456547.1
OG0000077	XP_001658180.2	XP_003423914.1
OG0000077	XP_001654967.2, XP_001654963.2, XP_021703368.1, XP_001659008.2	XP_001605700.1, XP_008203901.1
OG0000080	XP_021693685.1	XP_016838697.1, XP_001600017.1
OG0000082	XP_021710856.1, XP_021710857.1, XP_021710858.1, XP_021710859.1, XP_001657071.2, XP_021705242.1, XP_021705991.1, XP_001657061.2, XP_021707062.1, XP_021711080.1	XP_016845753.1, XP_003427814.1
OG0000085	XP_001657682.1, XP_021712292.1, XP_001657680.2, XP_021712303.1, XP_001657679.2, XP_021712327.1, XP_021693916.1, XP_021693917.1	XP_008205560.1, XP_032455585.1, XP_001604903.1, XP_031785409.1
OG0000086	XP_021701219.1	XP_031786740.1, NP_001166061.1
OG0000086	XP_021694055.1, XP_001658786.2, XP_001658476.2, XP_001661765.2, XP_001658478.3, XP_001658781.1, XP_021696093.1, XP_021696094.1, XP_001661116.2, XP_001661117.2	XP_008218019.2
OG0000087	XP_001648461.1, XP_001648458.1	NP_001153410.1, NP_001153411.1
OG0000087	XP_001648460.2, XP_001648456.1, XP_001648457.1, XP_001648454.1	XP_001603938.2, XP_003425364.1, XP_001604204.2
OG0000089	XP_001654187.2	XP_016843743.1
OG0000091	XP_021699738.1	XP_016842346.1, XP_016842349.1, XP_001606111.2, XP_016842348.1, XP_001606152.2
OG0000092	XP_021709998.1, XP_001655951.1	XP_001599003.1
OG0000094	XP_021702456.1, XP_001660396.2	XP_008208123.2, XP_001606944.4, XP_001606857.1, XP_008201862.1, XP_001606385.1
OG0000094	XP_001651974.1, XP_001652484.1, XP_001656201.1	XP_001605100.1
OG0000094	XP_021704594.1	XP_001600571.1
OG0000095	XP_001649682.2	XP_031783038.1, NP_001165978.1, NP_001165932.1, XP_001601822.2, NP_001165935.1, XP_031785516.1, XP_008213359.1, XP_031781916.1, NP_001165938.1, NP_001165934.1, XP_016841077.1, NP_001165987.1, NP_001352146.1, XP_016840411.1, NP_001165985.1
OG0000096	XP_001656233.2, XP_001663568.1, XP_021707618.1, XP_001662520.2, XP_021697666.1, XP_021697668.1, XP_021697665.1	XP_008209422.1
OG0000096	XP_021710758.1, XP_021710759.1, XP_001663099.2, XP_021698426.1, XP_001663097.2	XP_031777519.1, NP_001128139.2, XP_001600140.2, XP_008210082.1, XP_032454795.1, XP_008210079.1
OG0000097	XP_021709275.1, XP_021709276.1, XP_011493325.1, XP_021709274.1	XP_001600781.1, NP_001166227.1, XP_008208182.1
OG0000098	XP_001660410.1	XP_032454809.1, XP_032454803.1, XP_032454802.1, XP_032454801.1, XP_032454800.1, XP_032454805.1, XP_031786230.1, XP_016843896.1, XP_032454811.1, XP_032454806.1, XP_001603053.2, XP_032454810.1, XP_032454799.1, XP_032454808.1, XP_032454807.1
OG0000099	XP_021708064.1, XP_021708068.1, XP_021708072.1	XP_008207065.2
OG0000099	XP_021710287.1	XP_031785392.1
OG0000100	XP_001662579.2	XP_008215741.1, XP_008215742.1, XP_031787872.1, XP_032457061.1, XP_016844119.1
OG0000101	XP_001652481.1	XP_016842653.2
OG0000101	XP_021705368.1, XP_001655706.1, XP_021704385.1, XP_021706472.1, XP_001655711.1	XP_001603117.1, NP_001166254.1, XP_008211083.1, NP_001155060.1
OG0000102	XP_001654053.1, XP_021698700.1, XP_021698701.1, XP_021698703.1, XP_021698702.1, XP_021698704.1, XP_021698696.1, XP_021698697.1, XP_021698698.1, XP_021698699.1, XP_021698692.1, XP_021698693.1, XP_021698694.1, XP_001654056.2, XP_001654054.2	XP_031786135.1, XP_001605390.2, XP_008216939.1, XP_008216934.1, XP_031786805.1
OG0000108	XP_001650340.2, XP_021698830.1, XP_001659854.2, XP_021694990.1, XP_021698831.1, XP_021698828.1	XP_001600108.2, NP_001136332.1, XP_031777794.1, XP_008213502.1, XP_016842778.1
OG0000109	XP_021709303.1	XP_031780775.1, XP_032452756.1, XP_008217859.1, XP_008217864.1, XP_016837633.1
OG0000110	XP_021711612.1, XP_021711613.1	XP_008201867.1
OG0000111	XP_021704753.1	XP_001605587.3
OG0000112	XP_001656354.2, XP_021704950.1, XP_021704946.1, XP_001656353.2, XP_021704942.1	XP_003425489.1
OG0000112	XP_021703753.1	XP_031780635.1
OG0000113	XP_021706759.1, XP_021708730.1, XP_021699104.1, XP_021711742.1, XP_021704959.1, XP_001659002.1, XP_001664257.2, XP_001664258.1, XP_021712497.1, XP_001658997.1, XP_001659000.1, XP_001658999.1, XP_021712496.1, XP_001659001.1, XP_001659007.1	XP_031785048.1, XP_001599906.1, XP_008208626.1, XP_001603394.1, XP_008204873.1, XP_001603447.1
OG0000114	XP_001650347.2, XP_001647864.2, XP_001647865.1, XP_001647870.2, XP_001650899.2, XP_001647873.3, XP_001647872.2, XP_001650301.1	XP_031785569.1, NP_001155077.1
OG0000114	XP_001656658.2	XP_031788613.1, NP_001155043.1, XP_032454692.1
OG0000115	XP_021711348.1	NP_001165922.1, NP_001165921.1, NP_001165923.1, NP_001165920.1, XP_008203102.1, XP_008203103.1, XP_032452848.1, XP_032457577.1, NP_001165924.1, NP_001165919.1, NP_001165918.1
OG0000116	XP_021695569.1	XP_031779751.1, XP_031779749.1, XP_031779753.1, XP_032451719.1, XP_031779741.1, XP_031779737.1, XP_032451720.1, XP_032451721.1
OG0000117	XP_001658273.1	XP_003424885.1
OG0000117	XP_021708342.1, XP_021708343.1, XP_021708344.1, XP_021708345.1, XP_021708346.1	XP_016845279.1, XP_003428202.1, XP_008214870.1
OG0000118	XP_021693212.1	XP_003426431.1, XP_003427091.1, XP_003427245.1
OG0000119	XP_021699975.1, XP_021699973.1, XP_021699978.1, XP_021699974.1	XP_031787150.1, XP_032456419.1, XP_031787154.1, XP_031787143.1, XP_031787149.1, XP_031787146.1, XP_031787160.1, XP_031787140.1
OG0000122	XP_001650409.1, XP_021711773.1	XP_001604760.1
OG0000123	XP_001658691.1, XP_021703858.1, XP_021703857.1, XP_021703856.1, XP_021703860.1, XP_021703865.1, XP_021703863.1, XP_021703864.1, XP_021703861.1, XP_021703862.1, XP_021703859.1	XP_032452434.1, XP_001602993.1
OG0000124	XP_021693241.1, XP_021693242.1, XP_021693243.1, XP_021693244.1, XP_021693245.1, XP_021693246.1, XP_021693247.1, XP_021693248.1	XP_031781470.1
OG0000125	XP_001657204.2	XP_008201883.2, XP_031781412.1, XP_031788436.1, XP_031788437.1
OG0000126	XP_021694197.1	XP_031784298.1, NP_001161164.1
OG0000127	XP_021695483.1, XP_021695480.1, XP_021695481.1, XP_021695484.1	XP_031782271.1, XP_031782270.1
OG0000127	XP_021705806.1, XP_021705807.1, XP_001657917.3	XP_001606042.2
OG0000129	XP_021700581.1, XP_021700580.1, XP_021700583.1, XP_001650044.1, XP_021700585.1, XP_021700582.1, XP_021700584.1	XP_032454413.1, XP_016839449.1
OG0000130	XP_021700367.1	XP_031776696.1
OG0000131	XP_021705306.1	NP_001153335.1, XP_032458192.1
OG0000131	XP_021707624.1, XP_021707623.1, XP_021707625.1, XP_001652515.1	XP_031781148.1, XP_032457466.1, XP_001599092.1, XP_032457465.1
OG0000132	XP_001653225.3, XP_021709729.1, XP_021709728.1, XP_021709730.1, XP_021709732.1, XP_021709733.1, XP_021709734.1	XP_031780045.1, XP_032453407.1
OG0000132	XP_021700410.1, XP_001660044.3, XP_001660042.3	XP_016837749.1
OG0000133	XP_021702724.1, XP_021702723.1	XP_031778739.1, XP_031778741.1, XP_008208013.1, XP_031778740.1
OG0000135	XP_021711278.1, XP_021711277.1, XP_001651832.2	XP_001603371.1
OG0000136	XP_021698234.1, XP_001663772.2, XP_001661186.2, XP_021701760.1, XP_021701761.1, XP_021701762.1, XP_001663776.1, XP_021712126.1, XP_001660827.1, XP_001656378.1, XP_001656375.1	XP_008208307.1
OG0000137	XP_021710706.1, XP_021710707.1, XP_021710708.1, XP_021710709.1	XP_016841737.2
OG0000138	XP_021712084.1, XP_021694527.1	XP_031787653.1, XP_001605659.1
OG0000139	XP_001663072.2	XP_031783357.1, XP_001606341.1, XP_016838561.1, XP_001602751.1, XP_008204858.1, XP_032452316.1, XP_032452315.1, XP_008216641.1
OG0000140	XP_021702905.1	XP_003424447.1
OG0000143	XP_021706097.1, XP_021706098.1, XP_021706096.1, XP_021706093.1, XP_021706094.1	XP_008203875.1, XP_003425736.1, XP_001605275.2, XP_032454553.1
OG0000144	XP_001663963.2, XP_001661466.2, XP_001659531.1, XP_021708224.1, XP_001657247.2, XP_021709081.1, XP_021705010.1, XP_001658835.2	XP_001600430.1, XP_031777854.1, XP_016839327.2, NP_001153417.1, XP_032453317.1, XP_032453316.1, NP_001164332.1
OG0000145	XP_001661017.2	XP_001607062.1, XP_001602428.1
OG0000146	XP_001662762.1	XP_016840249.1
OG0000146	XP_001660580.2	XP_032452549.1, XP_001602324.1
OG0000147	XP_021708848.1, XP_001659371.1	XP_001600440.1, XP_001602387.1
OG0000149	XP_021701465.1	XP_001606233.2
OG0000149	XP_021701466.1, XP_021701469.1, XP_021701468.1, XP_021701472.1, XP_021701467.1	XP_016840414.1, XP_008211722.2
OG0000150	XP_021698126.1, XP_021698125.1, XP_021698128.1, XP_021698127.1	XP_031781028.1, XP_031781038.1, XP_032457432.1
OG0000151	XP_021697798.1	XP_003426709.1
OG0000152	XP_001653160.1	XP_003425682.1, XP_032454103.1, XP_016839188.1, XP_008203561.1, XP_008203562.1, XP_032454105.1, XP_032454104.1, XP_032454106.1, XP_008203564.1, XP_008203563.1
OG0000153	XP_021697591.1, XP_021697584.1, XP_021697583.1, XP_021697588.1, XP_021697587.1, XP_021697586.1, XP_021697585.1, XP_021697590.1, XP_021697589.1	XP_031778705.1, XP_031778704.1, XP_031778706.1
OG0000154	XP_001662815.2	XP_008203624.1, XP_008205027.1, XP_031788668.1, XP_008203596.1
OG0000156	XP_021696919.1, XP_021712121.1	XP_031782954.1, XP_031782971.1, XP_032457184.1, XP_031782949.1, XP_031782945.1
OG0000157	XP_001660449.1, XP_001663061.2, XP_001658492.2, XP_001660450.1	NP_001166256.1, XP_031777809.1
OG0000157	XP_001655764.1, XP_011493631.1, XP_001655766.1, XP_001655767.1, XP_021702729.1	NP_001166055.1, NP_001166050.1, XP_031777515.1, NP_001166083.1, NP_001166080.1, XP_031776689.1, NP_001166084.1, NP_001166081.1, NP_001155076.1, XP_031781530.1, XP_032456198.1, XP_031788611.1
OG0000158	XP_021696507.1, XP_021696509.1, XP_021698714.1	NP_001166006.1, NP_001166005.1, XP_003426453.2, XP_016840739.1, XP_031785765.1, XP_016840738.1
OG0000160	XP_021709766.1	XP_008204617.1
OG0000160	XP_021707900.1, XP_021710525.1, XP_001662274.1	XP_003424871.1, XP_003424872.1
OG0000161	XP_001656119.2	XP_001599809.1, XP_016839500.1, XP_001605936.1, NP_001165968.1, XP_001603114.1, XP_031779032.1, NP_001165966.1, NP_001165965.1, XP_001602765.2, XP_031779585.1
OG0000162	XP_021694432.1	NP_001234904.1, XP_031787426.1
OG0000162	XP_021704010.1	XP_008205092.1, NP_001234892.1
OG0000162	XP_021706951.1	XP_031789332.1, NP_001234893.1
