Orthogroup	Aedes_aegypti	Megachile_rotundata
OG0000038	XP_001652144.1, XP_001663407.1	XP_012136030.1, XP_003703285.1
OG0000038	XP_021707546.1, XP_021707545.1, XP_021707544.1, XP_021707542.1	XP_012143992.1
OG0000040	XP_021698609.1, XP_021698904.1, XP_001661388.1, XP_021698905.1, XP_021709866.1, XP_001654842.2, XP_001662080.2, XP_001662079.2, XP_001662078.2, XP_001658738.1, XP_001652121.2, XP_001662077.2, XP_001662076.1	XP_012139968.1, XP_003700885.1, XP_012135227.1, XP_003700881.1, XP_003700979.1, XP_012135225.1, XP_003700879.1, XP_003700882.2, XP_003700841.2, XP_012148108.1
OG0000041	XP_001655176.1, XP_001655175.1	XP_012137793.1, XP_012137792.1, XP_003702208.1
OG0000041	XP_001659963.1	XP_003706098.1, XP_003706097.1, XP_012147262.1, XP_012147261.1, XP_012147260.1, XP_012147263.1
OG0000041	XP_001649531.1	XP_003700544.1
OG0000042	XP_001658411.2	XP_012140350.1
OG0000043	XP_001660749.1	XP_003705047.1
OG0000043	XP_001660756.1	XP_012153654.1
OG0000043	XP_001660753.1	XP_003700214.1
OG0000044	XP_001662886.2, XP_021704584.1, XP_021704583.1, XP_021704585.1, XP_001658981.2, XP_001659766.2, XP_001662888.1, XP_021693815.1, XP_001662885.2, XP_021693817.1, XP_001651477.2	XP_012148083.1, XP_012148084.1
OG0000044	XP_021712943.1	XP_003706475.2
OG0000045	XP_001660907.2, XP_021707666.1, XP_001660908.1, XP_001660906.2, XP_001660189.2, XP_001649784.1, XP_001649787.1, XP_001649783.1, XP_001649786.1, XP_001649788.1, XP_001656785.2	XP_003702695.1, XP_003703631.1
OG0000046	XP_021707218.1, XP_011493320.1, XP_021711730.1, XP_021711729.1, XP_021711733.1, XP_021711731.1	XP_012146503.1
OG0000046	XP_021707697.1	XP_003705538.1, XP_012153320.1
OG0000046	XP_021698547.1, XP_021698548.1	XP_003705669.2
OG0000048	XP_001663296.2	XP_012150784.1
OG0000050	XP_001654509.1, XP_011493543.2, XP_001650372.3, XP_001648942.1, XP_001655125.2, XP_021711298.1, XP_001656532.2, XP_021712588.1, XP_001656533.1, XP_021711977.1, XP_021712587.1, XP_001656534.2, XP_021712580.1, XP_001656535.1, XP_021712578.1, XP_001656536.1, XP_021712579.1, XP_021712589.1, XP_001656537.1	XP_003700585.1, XP_003704799.2
OG0000051	XP_021694238.1	XP_012139276.1
OG0000052	XP_001653763.1	XP_012144734.1
OG0000054	XP_001661677.2, XP_001657098.2, XP_001663703.1, XP_001663705.1, XP_001658209.1, XP_001658210.1, XP_001663706.1, XP_001663702.2	XP_012149797.1, XP_003707236.1
OG0000055	XP_021695325.1, XP_021695326.1, XP_001650510.1, XP_021695322.1, XP_021695324.1, XP_021695323.1	XP_003702736.1
OG0000055	XP_001654841.2	XP_012143001.1
OG0000056	XP_021702305.1	XP_012140855.1, XP_012148645.1
OG0000056	XP_021704129.1	XP_012147749.1
OG0000056	XP_021704390.1	XP_012154207.1, XP_012154186.1
OG0000057	XP_001656025.1	XP_003706217.1
OG0000057	XP_021701591.1	XP_003702759.1, XP_012147418.1
OG0000057	XP_001656026.2	XP_003706216.1
OG0000059	XP_021708124.1	XP_012152118.1
OG0000059	XP_021709602.1, XP_001650831.2, XP_021708195.1, XP_021698490.1, XP_021698237.1, XP_021706387.1, XP_021712566.1, XP_021693892.1, XP_021713038.1, XP_021693592.1, XP_021693590.1, XP_021713046.1, XP_021701689.1, XP_021700461.1, XP_021695451.1, XP_021696584.1, XP_021707043.1, XP_021704477.1, XP_021704487.1, XP_021704488.1, XP_021696917.1, XP_021696912.1, XP_021704541.1, XP_021705873.1	XP_012148650.1
OG0000060	XP_001663993.2	XP_012134573.1, XP_012134574.1, XP_012134572.1
OG0000060	XP_021710092.1, XP_021710091.1, XP_001652667.1	XP_003704987.1, XP_012144429.1, XP_012144430.1, XP_012144432.1, XP_012144433.1, XP_012144434.1, XP_012144435.1
OG0000061	XP_021693614.1, XP_021693615.1, XP_021693616.1	XP_003703873.1
OG0000061	XP_001664194.1, XP_001664195.2, XP_001661118.2	XP_012143526.1, XP_003704544.2, XP_003704543.1, XP_003704539.1, XP_003704545.1, XP_003704542.1, XP_012143334.1, XP_003704521.1, XP_012143269.1, XP_012143273.1, XP_012143272.1, XP_003704535.1, XP_012143274.1, XP_012143275.1, XP_012153335.1
OG0000062	XP_001661011.1, XP_001663492.1, XP_001663494.1, XP_001661010.2, XP_001663490.2, XP_001663495.1, XP_021698193.1, XP_001663497.1, XP_001663499.2	XP_012135095.1
OG0000063	XP_021706514.1, XP_021712878.1	XP_012153232.1, XP_012146118.1, XP_012147780.1
OG0000065	XP_011493201.1	XP_012143903.1, XP_012143889.1, XP_012143895.1
OG0000067	XP_001653435.1	XP_012148170.1
OG0000067	XP_001654897.1	XP_012152266.1
OG0000067	XP_001653950.2, XP_001654592.2	XP_003701916.1
OG0000067	XP_001661370.1, XP_021698916.1	XP_003707128.1
OG0000071	XP_021703680.1, XP_021702229.1, XP_021694311.1, XP_021706464.1, XP_021703997.1, XP_021695236.1, XP_021701192.1, XP_021709271.1, XP_021695636.1, XP_021710570.1, XP_021708727.1, XP_021702221.1, XP_021706502.1, XP_021694267.1, XP_021695334.1, XP_021696059.1	XP_012148642.1, XP_003706755.2, XP_012148644.1, XP_012148643.1, XP_012149906.1
OG0000073	XP_021705856.1, XP_001655681.2, XP_021703552.1, XP_021705322.1	XP_012147570.1
OG0000074	XP_021707386.1	XP_003705844.2
OG0000077	XP_001658180.2	XP_012150605.1, XP_012150604.1
OG0000077	XP_001654967.2, XP_001654963.2, XP_021703368.1, XP_001659008.2	XP_003703606.1
OG0000079	XP_001662329.1	XP_012142006.1, XP_012141955.1
OG0000080	XP_021693685.1	XP_012154343.1, XP_012154339.1, XP_012154340.1, XP_012154342.1, XP_012154341.1
OG0000082	XP_021710856.1, XP_021710857.1, XP_021710858.1, XP_021710859.1, XP_001657071.2, XP_021705242.1, XP_021705991.1, XP_001657061.2, XP_021707062.1, XP_021711080.1	XP_012151975.1, XP_012151997.1, XP_012151993.1
OG0000085	XP_001657682.1, XP_021712292.1, XP_001657680.2, XP_021712303.1, XP_001657679.2, XP_021712327.1, XP_021693916.1, XP_021693917.1	XP_003702681.1, XP_012135334.1, XP_012135335.1, XP_012135336.1, XP_012135337.1, XP_003701022.1, XP_012135341.1, XP_012135339.1, XP_012135338.1, XP_012135340.1
OG0000086	XP_021701219.1	XP_003699659.2
OG0000086	XP_021694055.1, XP_001658786.2, XP_001658476.2, XP_001661765.2, XP_001658478.3, XP_001658781.1, XP_021696093.1, XP_021696094.1, XP_001661116.2, XP_001661117.2	XP_012143956.1, XP_012143955.1
OG0000087	XP_001648461.1, XP_001648458.1	XP_003708584.1
OG0000087	XP_001648460.2, XP_001648456.1, XP_001648457.1, XP_001648454.1	XP_012153278.1
OG0000088	XP_021702205.1	XP_003701082.1
OG0000089	XP_001654187.2	XP_012148159.1, XP_012148158.1, XP_012148161.1, XP_012148160.1, XP_012148157.1, XP_003706562.1
OG0000091	XP_021699738.1	XP_012147561.1, XP_012147560.1, XP_012147559.1, XP_012147526.1, XP_012147527.1, XP_012147542.1
OG0000092	XP_021707375.1	XP_012144682.1
OG0000092	XP_021709998.1, XP_001655951.1	XP_012142981.1, XP_003704244.1
OG0000094	XP_021702456.1, XP_001660396.2	XP_012151693.1
OG0000094	XP_021704594.1	XP_012154361.1
OG0000096	XP_001656233.2, XP_001663568.1, XP_021707618.1, XP_001662520.2, XP_021697666.1, XP_021697668.1, XP_021697665.1	XP_012147708.1
OG0000096	XP_021710758.1, XP_021710759.1, XP_001663099.2, XP_021698426.1, XP_001663097.2	XP_012137363.1, XP_012137365.1
OG0000097	XP_021709275.1, XP_021709276.1, XP_011493325.1, XP_021709274.1	XP_012153341.1, XP_003705350.1
OG0000098	XP_001660410.1	XP_012149140.1, XP_003706871.1, XP_012149138.1, XP_012149139.1, XP_012149137.1
OG0000099	XP_021708064.1, XP_021708068.1, XP_021708072.1	XP_003705981.1, XP_012146974.1
OG0000099	XP_001650952.2	XP_012140644.1, XP_012140638.1, XP_012140627.1, XP_012140632.1
OG0000099	XP_021710287.1	XP_012136224.1
OG0000100	XP_001662579.2	XP_012144538.1, XP_012144537.1, XP_012144535.1, XP_012144536.1, XP_003704922.1
OG0000101	XP_001652481.1	XP_012141182.1, XP_012141571.1
OG0000101	XP_021705368.1, XP_001655706.1, XP_021704385.1, XP_021706472.1, XP_001655711.1	XP_012141186.1, XP_003703468.1
OG0000102	XP_001654053.1, XP_021698700.1, XP_021698701.1, XP_021698703.1, XP_021698702.1, XP_021698704.1, XP_021698696.1, XP_021698697.1, XP_021698698.1, XP_021698699.1, XP_021698692.1, XP_021698693.1, XP_021698694.1, XP_001654056.2, XP_001654054.2	XP_012135996.1, XP_012135840.1, XP_012135835.1
OG0000103	XP_001661506.1	XP_012144431.1, XP_012144424.1
OG0000108	XP_001650340.2, XP_021698830.1, XP_001659854.2, XP_021694990.1, XP_021698831.1, XP_021698828.1	XP_012145715.1, XP_012145712.1, XP_012145714.1, XP_012145710.1, XP_012145711.1
OG0000109	XP_021709303.1	XP_003700281.2
OG0000110	XP_021711612.1, XP_021711613.1	XP_012147291.1, XP_012139832.1
OG0000111	XP_021704753.1	XP_012135601.1, XP_012135600.1
OG0000112	XP_001656354.2, XP_021704950.1, XP_021704946.1, XP_001656353.2, XP_021704942.1	XP_012147792.1, XP_012147787.1, XP_003699938.1, XP_012147768.1, XP_012147782.1
OG0000112	XP_021703753.1	XP_003700355.1, XP_012154003.1
OG0000113	XP_021706759.1, XP_021708730.1, XP_021699104.1, XP_021711742.1, XP_021704959.1, XP_001659002.1, XP_001664257.2, XP_001664258.1, XP_021712497.1, XP_001658997.1, XP_001659000.1, XP_001658999.1, XP_021712496.1, XP_001659001.1, XP_001659007.1	XP_003701045.1, XP_003699454.1
OG0000114	XP_001656658.2	XP_003707384.2
OG0000115	XP_021711348.1	XP_003703956.1, XP_012139900.1, XP_003703954.1
OG0000116	XP_021695569.1	XP_003700102.1, XP_012150301.1, XP_003700101.1
OG0000117	XP_001658273.1	XP_012142234.1
OG0000117	XP_021708342.1, XP_021708343.1, XP_021708344.1, XP_021708345.1, XP_021708346.1	XP_003699580.1, XP_012140342.1, XP_012140336.1, XP_012140349.1, XP_012140354.1
OG0000119	XP_021699975.1, XP_021699973.1, XP_021699978.1, XP_021699974.1	XP_012150732.1, XP_012150733.1, XP_012150724.1, XP_012150728.1, XP_012150729.1, XP_012150745.1, XP_012150740.1
OG0000120	XP_021702687.1	XP_003701951.1, XP_012137585.1, XP_012137586.1, XP_012137583.1, XP_012137584.1
OG0000122	XP_001650409.1, XP_021711773.1	XP_003705279.2
OG0000122	XP_021707885.1	XP_003702313.1
OG0000123	XP_001658691.1, XP_021703858.1, XP_021703857.1, XP_021703856.1, XP_021703860.1, XP_021703865.1, XP_021703863.1, XP_021703864.1, XP_021703861.1, XP_021703862.1, XP_021703859.1	XP_003702607.2
OG0000124	XP_021693241.1, XP_021693242.1, XP_021693243.1, XP_021693244.1, XP_021693245.1, XP_021693246.1, XP_021693247.1, XP_021693248.1	XP_003703399.2
OG0000125	XP_001657204.2	XP_003703348.2
OG0000126	XP_021694197.1	XP_012154275.1, XP_012154268.1, XP_012154270.1, XP_012154269.1, XP_012154272.1, XP_012154271.1, XP_012154274.1, XP_012154273.1
OG0000127	XP_021695483.1, XP_021695480.1, XP_021695481.1, XP_021695484.1	XP_003707941.2
OG0000127	XP_021705806.1, XP_021705807.1, XP_001657917.3	XP_012151449.1
OG0000129	XP_021700581.1, XP_021700580.1, XP_021700583.1, XP_001650044.1, XP_021700585.1, XP_021700582.1, XP_021700584.1	XP_012149828.1, XP_012149829.1, XP_012149830.1, XP_012149831.1, XP_012149825.1, XP_012149827.1, XP_012149826.1
OG0000130	XP_021695251.1	XP_012141592.1, XP_012141591.1, XP_003703718.1
OG0000130	XP_021700367.1	XP_003702400.1
OG0000131	XP_021705306.1	XP_012138681.1, XP_003699377.1
OG0000131	XP_021707624.1, XP_021707623.1, XP_021707625.1, XP_001652515.1	XP_012138075.1, XP_012138074.1, XP_003702087.1, XP_012138073.1
OG0000132	XP_001653225.3, XP_021709729.1, XP_021709728.1, XP_021709730.1, XP_021709732.1, XP_021709733.1, XP_021709734.1	XP_003706203.1, XP_012147468.1
OG0000132	XP_021700410.1, XP_001660044.3, XP_001660042.3	XP_012152838.1, XP_003708422.1
OG0000133	XP_021702724.1, XP_021702723.1	XP_003707714.1
OG0000133	XP_021702554.1	XP_012147924.1
OG0000134	XP_001659678.1, XP_021709873.1	XP_012148670.1
OG0000134	XP_001655292.1	XP_003705740.1
OG0000135	XP_021711278.1, XP_021711277.1, XP_001651832.2	XP_003708004.1
OG0000135	XP_021697743.1, XP_021697742.1, XP_001649900.1, XP_021697746.1, XP_021697744.1, XP_021697745.1	XP_003708115.1
OG0000136	XP_021698234.1, XP_001663772.2, XP_001661186.2, XP_021701760.1, XP_021701761.1, XP_021701762.1, XP_001663776.1, XP_021712126.1, XP_001660827.1, XP_001656378.1, XP_001656375.1	XP_003705561.1, XP_012146210.1
OG0000137	XP_021710706.1, XP_021710707.1, XP_021710708.1, XP_021710709.1	XP_003705868.1, XP_012135720.1, XP_012140417.1
OG0000138	XP_021712084.1, XP_021694527.1	XP_012141572.1, XP_012141209.1
OG0000139	XP_001663072.2	XP_003700273.1, XP_012153876.1, XP_012153877.1, XP_012153878.1, XP_012153875.1
OG0000140	XP_021702905.1	XP_012139579.1, XP_012139878.1
OG0000141	XP_001663030.2	XP_003704620.1
OG0000143	XP_021706097.1, XP_021706098.1, XP_021706096.1, XP_021706093.1, XP_021706094.1	XP_003702327.1, XP_012138200.1, XP_012138199.1, XP_012138201.1, XP_012138202.1, XP_003702328.1
OG0000144	XP_001663963.2, XP_001661466.2, XP_001659531.1, XP_021708224.1, XP_001657247.2, XP_021709081.1, XP_021705010.1, XP_001658835.2	XP_003705520.2, XP_003705522.1
OG0000145	XP_001661017.2	XP_012141845.1, XP_012141847.1, XP_012141846.1, XP_012141849.1, XP_012141851.1, XP_003703775.1, XP_012141850.1, XP_012138596.1
OG0000146	XP_001662762.1	XP_003705369.1
OG0000146	XP_001660580.2	XP_003708217.1
OG0000147	XP_021708848.1, XP_001659371.1	XP_012151556.1, XP_003707862.1, XP_012151555.1, XP_012149993.1, XP_003707471.1
OG0000149	XP_021701465.1	XP_012147339.1
OG0000149	XP_021701466.1, XP_021701469.1, XP_021701468.1, XP_021701472.1, XP_021701467.1	XP_012147343.1, XP_012147342.1, XP_003706133.1
OG0000150	XP_021698126.1, XP_021698125.1, XP_021698128.1, XP_021698127.1	XP_012149657.1, XP_012149656.1, XP_012149659.1, XP_012149658.1, XP_003707166.1, XP_012149660.1, XP_012149661.1
OG0000151	XP_021697798.1	XP_003704470.2
OG0000152	XP_001653160.1	XP_012135668.1, XP_012135673.1, XP_012135674.1, XP_012135671.1, XP_012135669.1, XP_012135670.1, XP_003701272.1
OG0000153	XP_021697591.1, XP_021697584.1, XP_021697583.1, XP_021697588.1, XP_021697587.1, XP_021697586.1, XP_021697585.1, XP_021697590.1, XP_021697589.1	XP_012139835.1
OG0000154	XP_001662815.2	XP_012152021.1
OG0000156	XP_021696919.1, XP_021712121.1	XP_012150894.1
OG0000157	XP_001655764.1, XP_011493631.1, XP_001655766.1, XP_001655767.1, XP_021702729.1	XP_003703163.1, XP_012140472.1
OG0000158	XP_021696507.1, XP_021696509.1, XP_021698714.1	XP_012150089.1, XP_003705555.2, XP_012145928.1, XP_003706752.1, XP_012152076.1, XP_012150572.1, XP_012148634.1, XP_012148635.1, XP_012145922.1, XP_012150087.1, XP_012150086.1
OG0000160	XP_021709766.1	XP_012147327.1
OG0000160	XP_021707900.1, XP_021710525.1, XP_001662274.1	XP_012138102.1, XP_003702188.1
OG0000161	XP_001656119.2	XP_003703976.1
OG0000162	XP_021694432.1	XP_003699383.2
OG0000162	XP_021706951.1	XP_012151345.1
OG0000164	XP_001654887.2, XP_021701278.1, XP_001654888.2, XP_021697710.1, XP_021695328.1	XP_012138610.1, XP_012138588.1, XP_012138609.1
OG0000165	XP_021697212.1	XP_012141446.1, XP_012141448.1, XP_012141447.1
OG0000165	XP_021704115.1, XP_021704136.1, XP_021704202.1	XP_012138919.1
OG0000166	XP_021694247.1, XP_021704926.1, XP_021704934.1, XP_021704935.1	XP_012138260.1, XP_012138247.1, XP_012138255.1, XP_012138249.1
OG0000168	XP_021712003.1, XP_021699894.1	XP_012142201.1
OG0000168	XP_021705545.1	XP_012136943.1
OG0000169	XP_021702706.1	XP_003705463.1
OG0000170	XP_001654345.1	XP_012135505.1
OG0000170	XP_021699236.1	XP_003701076.1, XP_012135503.1, XP_012143625.1
OG0000171	XP_001654890.1, XP_001654889.1, XP_001654886.2, XP_001656792.2	XP_003704787.1, XP_012144044.1
OG0000173	XP_021694163.1, XP_001649426.1	XP_012141604.1
OG0000174	XP_021704325.1, XP_021704326.1	XP_012139778.1, XP_012139779.1, XP_012139777.1, XP_012139776.1, XP_012139775.1, XP_012139774.1
OG0000175	XP_001654240.1	XP_012137455.1, XP_012137456.1, XP_012137454.1, XP_003701918.1
OG0000177	XP_001651644.2	XP_003707752.1
OG0000177	XP_021707471.1, XP_021707472.1	XP_012151117.1
OG0000177	XP_001651645.1	XP_012151116.1
OG0000178	XP_021707000.1, XP_021706999.1	XP_012149455.1
OG0000179	XP_001655662.1, XP_021712235.1	XP_003707098.1
OG0000180	XP_001654382.1, XP_001654381.1, XP_021693530.1, XP_021693529.1	XP_012138838.1, XP_012138835.1, XP_012138836.1, XP_012138837.1, XP_003702490.1
OG0000181	XP_001656977.3	XP_012135659.1
OG0000183	XP_001655456.2	XP_012144139.1
OG0000183	XP_021704629.1, XP_021704627.1	XP_012136967.1
OG0000184	XP_011493295.2, XP_021702574.1, XP_001655087.1, XP_011493580.2	XP_012151665.1
OG0000185	XP_001651366.1	XP_012152010.1, XP_012152006.1, XP_012152009.1, XP_012152008.1, XP_003708091.1, XP_012152007.1
OG0000186	XP_001658387.1, XP_021710177.1, XP_001652490.2	XP_012138246.1, XP_003702219.1, XP_003702293.1
OG0000187	XP_021703024.1, XP_021703026.1, XP_021703025.1, XP_021703030.1, XP_021703029.1, XP_021703028.1, XP_021703027.1	XP_012144258.1
OG0000188	XP_021694895.1	XP_003705392.1
OG0000188	XP_021704883.1	XP_003703034.1
OG0000189	XP_001655465.2, XP_001655464.2	XP_012147949.1
OG0000190	XP_001660557.1	XP_012142605.1
OG0000191	XP_021708624.1, XP_021708625.1, XP_001651643.2, XP_021711114.1, XP_001658852.2, XP_021709915.1, XP_021708162.1, XP_021706594.1, XP_001647986.1, XP_021707346.1, XP_021705110.1, XP_001661290.1, XP_021706490.1	XP_012136269.1
OG0000192	XP_001664087.2	XP_003702365.2
OG0000194	XP_001658607.2	XP_003699995.1
OG0000196	XP_021709422.1, XP_021709426.1	XP_012134628.1
OG0000197	XP_021697283.1, XP_021697282.1, XP_021697285.1, XP_021697284.1, XP_001661709.1, XP_021697516.1, XP_021697517.1, XP_021697518.1, XP_021697519.1	XP_012144858.1, XP_003699822.1
OG0000198	XP_021706486.1	XP_012136053.1, XP_012136051.1
OG0000200	XP_001655242.1	XP_003701725.1
OG0000201	XP_001663057.1	XP_012148479.1
OG0000201	XP_011493157.1, XP_001652982.2, XP_021711304.1, XP_001659011.2, XP_001659009.1, XP_021712798.1, XP_001654269.2	XP_012148478.1
OG0000202	XP_021695300.1	XP_012137745.1
OG0000203	XP_021697410.1	XP_003705579.2
OG0000204	XP_021704598.1, XP_021704597.1, XP_001656463.1	XP_003704418.1
OG0000205	XP_021697855.1, XP_021697857.1, XP_021697856.1, XP_021697859.1, XP_021697858.1, XP_021697862.1, XP_021697860.1	XP_003705021.1, XP_012144620.1, XP_012144622.1, XP_012144618.1, XP_012144619.1
OG0000206	XP_001651825.1, XP_021704991.1	XP_003707704.1
OG0000206	XP_001648552.1	XP_012150998.1
OG0000207	XP_001650660.1	XP_012146454.1
