Orthogroup	Aedes_aegypti	Bombyx_mori
OG0000014	XP_021712218.1, XP_021712784.1, XP_021712783.1, XP_021712339.1, XP_021712330.1, XP_021712329.1, XP_021712221.1, XP_021712313.1, XP_021712314.1, XP_021712340.1, XP_021712206.1, XP_021706421.1, XP_021712216.1, XP_001662034.1, XP_021712926.1, XP_021695294.1, XP_021712190.1, XP_021706522.1, XP_021706535.1	NP_001040247.1
OG0000016	XP_021712581.1, XP_021694278.1, XP_021695205.1	XP_037875269.1, XP_037869058.1, XP_037866966.1, XP_037874854.1, XP_037869234.1, XP_037871463.1, XP_004927060.2, XP_037874057.1, XP_004923984.2, XP_037872903.1, XP_004927452.2, XP_004934209.2, XP_037876361.1, XP_037877133.1, XP_037869633.1, XP_037873340.1, XP_037867761.1, XP_037871662.1, XP_037871125.1, XP_037868132.1, XP_037872522.1, XP_004921763.2, XP_037872764.1, XP_037868492.1, XP_037874875.1, XP_037868964.1, XP_037877124.1, XP_037867762.1, XP_037871595.1, XP_037870977.1, XP_037871622.1, XP_037867766.1, XP_037868134.1, XP_037877372.1, XP_037872165.1, XP_037874047.1, XP_037867769.1, XP_037870018.1
OG0000017	XP_021701980.1, XP_021701981.1, XP_001658752.1, XP_021701977.1, XP_021701978.1, XP_021701979.1, XP_001658750.1, XP_021701982.1, XP_021701973.1, XP_021701974.1, XP_021701975.1, XP_021701976.1, XP_001658753.1, XP_001658755.1	NP_001108466.1, XP_012546875.1, NP_001037420.1
OG0000017	XP_001654620.1	NP_001040130.1
OG0000017	XP_001658010.2	NP_001037183.1
OG0000017	XP_001658009.2, XP_021693938.1, XP_001658007.2	XP_037877194.1, NP_001037546.1, XP_037867588.1, XP_037877193.1, XP_037867593.1, NP_001036974.1
OG0000018	XP_021697392.1, XP_021697390.1, XP_021697387.1, XP_021697388.1, XP_021697389.1, XP_021697393.1	XP_037871931.1
OG0000018	XP_021693724.1, XP_021693725.1, XP_001662529.1, XP_021693721.1, XP_021693723.1, XP_021693720.1	XP_037875232.1
OG0000018	XP_021706781.1	XP_021205339.2, XP_037871705.1, NP_001243945.1, XP_037871800.1
OG0000019	XP_021694331.1, XP_021694068.1	NP_001268819.1, XP_037869432.1, NP_001040220.1
OG0000019	XP_021694330.1, XP_001662499.1, XP_021694069.1, XP_001649991.2, XP_001662496.1, XP_001663502.2, XP_001663504.2	XP_037866672.1, XP_004931474.1, XP_004925522.1, XP_021203269.2, XP_004922003.2
OG0000019	XP_001651730.2, XP_001662493.2, XP_001662497.2, XP_001662494.2, XP_021694070.1, XP_001662317.1, XP_001650036.2, XP_001662495.2	NP_001119718.1, XP_037872951.1, XP_004924270.3, XP_021204440.2, XP_004928788.2, XP_037874708.1, XP_012545204.1, XP_004927001.2, XP_021204176.1, XP_004927318.1
OG0000020	XP_021703507.1, XP_021703506.1, XP_021703509.1, XP_001651414.2, XP_021703508.1, XP_021700207.1, XP_021700205.1, XP_021700206.1, XP_021700209.1, XP_021700211.1, XP_021700210.1	XP_012545030.1
OG0000020	XP_021703504.1	XP_037867737.1
OG0000020	XP_021700919.1, XP_001650147.2	XP_012552719.1, XP_021202222.1
OG0000020	XP_021705068.1	XP_037874470.1, XP_037874469.1
OG0000020	XP_021706790.1	XP_012548770.1
OG0000020	XP_021699908.1	XP_037867242.1, XP_012549186.1
OG0000021	XP_001654997.1, XP_021710336.1, XP_021710335.1	XP_004932475.1, XP_021207797.1
OG0000021	XP_021699404.1	XP_004926417.1
OG0000021	XP_021713110.1, XP_001662165.1	XP_037869061.1
OG0000022	XP_001662624.1	NP_001153667.1
OG0000023	XP_021705294.1, XP_021705295.1, XP_021705020.1, XP_021705019.1, XP_021705018.1, XP_021705026.1, XP_021705293.1, XP_021706644.1, XP_021706645.1, XP_021706808.1, XP_021706809.1, XP_021706669.1, XP_021706668.1, XP_021706564.1, XP_001656991.1, XP_001656987.1, XP_021706561.1, XP_021706555.1, XP_021706479.1, XP_021706481.1, XP_021705027.1, XP_001657281.1, XP_021705827.1, XP_001657266.1, XP_021705292.1	NP_001153668.1
OG0000024	XP_001653943.1, XP_021708435.1, XP_011492953.2, XP_011492954.2, XP_001659308.2, XP_011492952.2, XP_001661001.2, XP_001661002.2, XP_011493633.2, XP_021711830.1, XP_001660615.1, XP_001656527.2	XP_037872402.1
OG0000026	XP_021706420.1, XP_021706888.1, XP_021706889.1, XP_021706887.1, XP_021706890.1, XP_021706891.1	XP_021205952.1, XP_037874519.1, XP_037874423.1
OG0000026	XP_021708568.1, XP_021708571.1	XP_021204803.2
OG0000027	XP_001663888.1, XP_021706536.1	NP_001153669.1
OG0000027	XP_021706547.1, XP_021706542.1	XP_012551883.1
OG0000029	XP_001654720.1, XP_021711708.1, XP_021704638.1, XP_021712736.1, XP_001654721.1	NP_001166687.1
OG0000029	XP_001664018.2, XP_021704637.1, XP_021704641.1, XP_021712735.1	NP_001093082.1, NP_001166690.1, NP_001166689.1
OG0000030	XP_001658050.1	XP_037875304.1
OG0000030	XP_021696991.1, XP_001660265.2, XP_021696300.1, XP_001658217.2	XP_037875287.1, XP_004925987.1, XP_037875088.1, XP_037875087.1, XP_021203547.2, XP_037875086.1
OG0000032	XP_021702783.1	XP_012545284.2, XP_021208619.1
OG0000032	XP_021705631.1, XP_021705632.1, XP_021705633.1, XP_021705630.1	XP_004931720.1
OG0000032	XP_001652526.1, XP_021707253.1, XP_001652524.1, XP_001652523.2, XP_021707252.1, XP_001652525.1, XP_001652527.2, XP_001652528.2, XP_001652520.1, XP_021708318.1, XP_001662930.2, XP_021709531.1	XP_037867207.1, XP_004924199.2, NP_001036966.1, XP_012549133.1
OG0000033	XP_021707816.1	XP_037868454.1, XP_037871213.1, XP_037866765.1, XP_037877017.1, XP_037870514.1
OG0000033	XP_021705680.1, XP_021704128.1	XP_004925104.2, XP_004925103.1
OG0000033	XP_021702767.1	XP_021203082.2, XP_037875893.1, XP_037873002.1, XP_037872937.1, XP_037873482.1
OG0000035	XP_001650274.2, XP_001662128.2	NP_001243971.1, NP_001243970.1, NP_001243969.1, NP_001243968.1, NP_001274756.1, XP_037870343.1, NP_001243972.1, XP_037870428.1
OG0000035	XP_021702436.1, XP_001660379.1, XP_021702428.1, XP_021696237.1, XP_021696236.1	NP_001243964.1, NP_001243980.1
OG0000036	XP_021695536.1	XP_037877629.1, XP_012544322.2
OG0000037	XP_021698957.1	NP_001166643.1
OG0000037	XP_021698955.1	NP_001166642.1
OG0000037	XP_001655400.1	XP_012550693.1, NP_001166641.1
OG0000037	XP_001659628.2, XP_001654516.2	NP_001166635.1
OG0000037	XP_001650153.1, XP_001659658.1	NP_001166644.1
OG0000037	XP_001659656.2, XP_001659657.1	NP_001166637.1
OG0000038	XP_001652144.1, XP_001663407.1	NP_001036884.1
OG0000038	XP_021698339.1, XP_021698338.1, XP_021704212.1	XP_021205243.1
OG0000038	XP_021694449.1	NP_001036885.1
OG0000040	XP_021698609.1, XP_021698904.1, XP_001661388.1, XP_021698905.1	XP_037871589.1, XP_037877007.1
OG0000041	XP_001655176.1, XP_001655175.1	NP_001119727.1
OG0000041	XP_001649530.1, XP_001659963.1	NP_001119724.1
OG0000041	XP_001649531.1	NP_001119726.1, XP_037872546.1
OG0000042	XP_021693433.1	XP_004925565.1
OG0000042	XP_001658411.2	NP_001296474.1, NP_001296524.1, NP_001296530.1
OG0000042	XP_021711166.1	NP_001296494.1, XP_021203267.2
OG0000043	XP_001651341.1, XP_021710636.1, XP_001651340.1, XP_001651343.1, XP_001651344.1, XP_001651345.1, XP_001660749.1	NP_001037067.1, NP_001037068.1
OG0000043	XP_001660753.1	NP_001091780.1, XP_021206019.2
OG0000044	XP_001662886.2, XP_021704584.1, XP_021704583.1, XP_021704585.1, XP_001658981.2, XP_001659766.2, XP_001662888.1, XP_021693815.1, XP_001662885.2, XP_021693817.1, XP_001651477.2	NP_001036834.1
OG0000044	XP_001651479.2, XP_021712899.1, XP_021712941.1, XP_021712940.1	NP_001037013.1, XP_037868605.1, NP_001104835.1, NP_001254654.1, NP_001266323.1
OG0000044	XP_021712943.1	XP_037868658.1
OG0000044	XP_001661567.1, XP_001662326.1	NP_001296554.1
OG0000045	XP_001660189.2, XP_001649784.1, XP_001649787.1, XP_001649783.1, XP_001649786.1, XP_001649788.1, XP_001656785.2	XP_037866529.1, XP_037866527.1, NP_001296551.1, XP_012549946.3, NP_001182391.1, XP_004930880.1
OG0000046	XP_021707218.1, XP_011493320.1, XP_021711730.1, XP_021711729.1, XP_021711733.1, XP_021711731.1	NP_001036837.1, XP_012547740.1
OG0000046	XP_021709388.1, XP_021709332.1	XP_004923548.1
OG0000046	XP_021693655.1, XP_021693654.1, XP_021693653.1, XP_021693651.1, XP_021693652.1, XP_021693649.1	XP_037876891.1, XP_004933911.2, XP_037876874.1, NP_001296526.1, NP_001243928.1
OG0000046	XP_021707697.1	NP_001036892.1
OG0000047	XP_021713287.1, XP_021713290.1, XP_021698064.1, XP_021698875.1, XP_021705066.1, XP_021697550.1	XP_037869855.1, XP_037866933.1, XP_037874605.1, XP_037869737.1, XP_037871249.1, XP_037877229.1, XP_037867871.1, XP_037867870.1, XP_037875392.1, XP_037876653.1, XP_037875391.1, XP_037876466.1, XP_012543806.2, XP_037876380.1, XP_012552278.1, XP_012552527.2, XP_037872680.1, XP_037876439.1, XP_037875038.1, XP_037876528.1
OG0000050	XP_001654509.1, XP_011493543.2	XP_004927162.1, XP_021203217.2, XP_021203196.2, XP_037870386.1, XP_037870387.1
OG0000050	XP_001650372.3, XP_001648942.1, XP_001655125.2, XP_021711298.1, XP_001656532.2, XP_021712588.1, XP_001656533.1, XP_021711977.1, XP_021712587.1, XP_001656534.2, XP_021712580.1, XP_001656535.1, XP_021712578.1, XP_001656536.1, XP_021712579.1, XP_021712589.1, XP_001656537.1	XP_004925199.1
OG0000052	XP_001653763.1	XP_012545590.1, XP_012545589.1, XP_004925854.2, XP_004925855.2, XP_021203470.2, XP_004925899.1
OG0000052	XP_021711564.1	XP_012545009.1, NP_001182634.1
OG0000054	XP_001655288.2	NP_001037001.1
OG0000054	XP_021702234.1	NP_001166705.1
OG0000054	XP_001661677.2, XP_001657098.2, XP_001663703.1, XP_001663705.1, XP_001658209.1, XP_001658210.1, XP_001663706.1, XP_001663702.2	NP_001036835.1, NP_001166743.1, NP_001166724.1, XP_037874910.1
OG0000055	XP_001654841.2	XP_021207833.1
OG0000056	XP_021702305.1	XP_037866675.1
OG0000056	XP_021704129.1	XP_037872689.1
OG0000056	XP_021704390.1	XP_037873641.1
OG0000057	XP_001656025.1	NP_001036887.1, NP_001036964.1
OG0000057	XP_021701591.1	XP_004923508.1, XP_012553252.3, NP_001036965.1
OG0000057	XP_001656026.2	NP_001036888.1
OG0000057	XP_001650054.1	NP_001037492.1, NP_001093079.1
OG0000057	XP_001650331.1, XP_001650332.1	XP_012548036.1, XP_004922155.1
OG0000059	XP_021694291.1	XP_037867705.1, XP_037869003.1, XP_012553005.2, XP_037876015.1, XP_012551329.2
OG0000059	XP_021712004.1, XP_021711614.1, XP_021699997.1	XP_037876954.1, XP_037869306.1, XP_037869305.1, XP_037876953.1, XP_037868417.1
OG0000059	XP_021694822.1	XP_037867542.1
OG0000060	XP_001663993.2	XP_004925993.2
OG0000060	XP_021710092.1, XP_021710091.1, XP_001652667.1	XP_021206640.1, XP_004930776.1
OG0000061	XP_021693614.1, XP_021693615.1, XP_021693616.1	XP_012551685.2
OG0000062	XP_001661011.1, XP_001663492.1, XP_001663494.1, XP_001661010.2, XP_001663490.2, XP_001663495.1, XP_021698193.1, XP_001663497.1, XP_001663499.2	XP_021205992.1, NP_001091767.1
OG0000063	XP_021706514.1, XP_021712878.1	XP_037867560.1, XP_037877026.1, XP_037868831.1, XP_037869779.1, XP_037870303.1, XP_037873338.1, XP_037876423.1, XP_037875121.1, XP_037875120.1, XP_037869757.1, XP_037869756.1, XP_037869471.1, XP_037869470.1, XP_037868509.1, XP_037869469.1
OG0000065	XP_011493201.1	XP_004931596.1
OG0000065	XP_011493637.2, XP_011493079.2, XP_011493699.2, XP_021699125.1	NP_001037610.1, XP_037869237.1, XP_037869334.1, XP_012550936.1, XP_037869425.1, XP_037869333.1, XP_004921651.2
OG0000067	XP_001653435.1	XP_004931451.1
OG0000067	XP_001654897.1	NP_001037582.1
OG0000067	XP_001661370.1, XP_021698916.1	XP_037877745.1
OG0000068	XP_021712444.1, XP_021694306.1	XP_037869744.1
OG0000071	XP_021703680.1, XP_021702229.1, XP_021694311.1, XP_021706464.1, XP_021703997.1, XP_021695236.1, XP_021701192.1, XP_021709271.1, XP_021695636.1, XP_021710570.1, XP_021708727.1, XP_021702221.1, XP_021706502.1, XP_021694267.1	XP_004930894.1
OG0000071	XP_021695334.1	XP_012551633.2, XP_012549673.2, XP_037868447.1, XP_037870552.1, XP_037869876.1, XP_037873665.1
OG0000073	XP_021703552.1, XP_021705322.1	NP_001296559.1
OG0000074	XP_021707386.1	XP_037875797.1
OG0000077	XP_001658180.2	XP_037870080.1
OG0000077	XP_001654967.2, XP_001654963.2, XP_021703368.1, XP_001659008.2	NP_001037478.1
OG0000079	XP_001662329.1	XP_004925192.2
OG0000080	XP_021693685.1	XP_021207527.1, XP_021207524.1, XP_021207523.1, XP_021207526.1, XP_021207525.1, XP_004931947.1, XP_037874742.1
OG0000082	XP_021710856.1, XP_021710857.1, XP_021710858.1, XP_021710859.1, XP_001657071.2, XP_021705242.1, XP_021705991.1, XP_001657061.2, XP_021707062.1, XP_021711080.1	XP_004927040.1, NP_001124343.1
OG0000084	XP_001656586.1	NP_001036869.1
OG0000084	XP_001656600.1	NP_001166715.1, XP_021207423.1
OG0000084	XP_001656587.2	NP_001166719.1
OG0000085	XP_001657682.1, XP_021712292.1, XP_001657680.2, XP_021712303.1, XP_001657679.2, XP_021712327.1, XP_021693916.1, XP_021693917.1	NP_001239600.1, XP_037876340.1, XP_037876341.1, XP_037876393.1, XP_037876339.1
OG0000086	XP_021701219.1	NP_001243984.1
OG0000086	XP_021694055.1, XP_001658786.2, XP_001658476.2, XP_001661765.2, XP_001658478.3, XP_001658781.1, XP_021696093.1, XP_021696094.1, XP_001661116.2, XP_001661117.2	XP_004922188.1
OG0000087	XP_001648461.1, XP_001648458.1	XP_004925118.1
OG0000087	XP_001648460.2, XP_001648456.1, XP_001648457.1, XP_001648454.1	XP_004926772.1
OG0000088	XP_021702205.1	XP_037876269.1, XP_037876266.1
OG0000091	XP_021699738.1	XP_037871523.1, NP_001037021.1, NP_001139714.1, XP_012547717.1, NP_001037305.1, XP_037874620.1
OG0000092	XP_021707375.1, XP_021709998.1, XP_001655951.1	NP_001040445.1
OG0000094	XP_001651974.1, XP_001652484.1, XP_001656201.1	XP_037867226.1
OG0000094	XP_021704594.1	XP_004932347.1, XP_004929868.2
OG0000095	XP_001649682.2	XP_037874252.1, NP_001296528.1, XP_004927603.2, NP_001073134.1, NP_001103833.1
OG0000096	XP_001656233.2, XP_001663568.1, XP_021707618.1, XP_001662520.2, XP_021697666.1, XP_021697668.1, XP_021697665.1	XP_004933352.2
OG0000097	XP_011493435.1	XP_012549126.1, NP_001037510.1
OG0000097	XP_021709275.1, XP_021709276.1, XP_011493325.1, XP_021709274.1	XP_012544532.1, XP_037871911.1, XP_004924657.1
OG0000098	XP_001660410.1	XP_037867250.1, XP_037867248.1, XP_037867247.1, XP_037867246.1, XP_037867249.1
OG0000099	XP_021708064.1, XP_021708068.1, XP_021708072.1	XP_012551708.2
OG0000099	XP_001650952.2	XP_004933046.1
OG0000099	XP_021710287.1	XP_037876655.1
OG0000101	XP_001655711.1	XP_037875936.1, NP_001037053.1, NP_001040462.1, XP_037875581.1
OG0000102	XP_001654053.1, XP_021698700.1, XP_021698701.1, XP_021698703.1, XP_021698702.1, XP_021698704.1, XP_021698696.1, XP_021698697.1, XP_021698698.1, XP_021698699.1, XP_021698692.1, XP_021698693.1, XP_021698694.1, XP_001654056.2, XP_001654054.2	XP_004925858.1, XP_037872752.1, XP_021205415.1, XP_004929095.1
OG0000102	XP_021700055.1	XP_021205209.1
OG0000103	XP_021707710.1, XP_021707709.1	XP_004927136.2
OG0000103	XP_001661506.1	XP_037869904.1
OG0000108	XP_001650340.2, XP_021698830.1, XP_001659854.2, XP_021694990.1, XP_021698831.1, XP_021698828.1	XP_004923866.1, XP_012545628.2, XP_037876582.1, XP_021203645.2, XP_021203646.2, XP_037876625.1, XP_037876626.1, XP_012551634.2, XP_004932336.1
OG0000109	XP_021709303.1	XP_021205885.1
OG0000110	XP_021711612.1, XP_021711613.1	XP_037872696.1, XP_037872695.1, XP_037872710.1, XP_037872709.1
OG0000111	XP_021704753.1	XP_004927517.1
OG0000112	XP_021703753.1	NP_001240824.1, XP_012546717.1
OG0000113	XP_001659007.1	XP_004929660.1
OG0000114	XP_001650347.2, XP_001647864.2, XP_001647865.1, XP_001647870.2, XP_001650899.2, XP_001647873.3, XP_001647872.2, XP_001650301.1	XP_037876113.1, NP_001036844.1
OG0000114	XP_001657086.2	NP_001036832.1, XP_037877078.1
OG0000114	XP_021711058.1, XP_021711014.1, XP_021711004.1	XP_021205798.1
OG0000114	XP_001656658.2	XP_037876437.1
OG0000115	XP_021711348.1	NP_001037077.1, XP_012544300.1, NP_001036994.1
OG0000117	XP_001658273.1	NP_001040298.1
OG0000117	XP_021708342.1, XP_021708343.1, XP_021708344.1, XP_021708345.1, XP_021708346.1	NP_001233214.1, XP_012552766.1
OG0000118	XP_021693048.1, XP_021707566.1, XP_021707125.1, XP_021697078.1, XP_021700766.1, XP_021698879.1	XP_037872962.1
OG0000118	XP_021703512.1	XP_037872296.1
OG0000119	XP_021699975.1, XP_021699973.1, XP_021699978.1, XP_021699974.1	XP_037869697.1
OG0000120	XP_021702687.1	XP_021207126.2
OG0000121	XP_021706922.1, XP_021703681.1, XP_021707262.1, XP_021711713.1, XP_021696466.1, XP_021696467.1, XP_021712906.1, XP_021712905.1, XP_021694710.1	XP_004923242.2
OG0000122	XP_021707885.1	XP_037871005.1
OG0000123	XP_001658691.1, XP_021703858.1, XP_021703857.1, XP_021703856.1, XP_021703860.1, XP_021703865.1, XP_021703863.1, XP_021703864.1, XP_021703861.1, XP_021703862.1, XP_021703859.1	NP_001037614.1, XP_012548321.1
OG0000124	XP_021693241.1, XP_021693242.1, XP_021693243.1, XP_021693244.1, XP_021693245.1, XP_021693246.1, XP_021693247.1, XP_021693248.1	XP_037871306.1, XP_037871307.1, XP_021208751.2
OG0000125	XP_001657204.2	XP_004926881.1, XP_012546430.1, XP_012547144.2
OG0000126	XP_021694197.1	XP_012549565.1, NP_001037319.1
OG0000127	XP_021695483.1, XP_021695480.1, XP_021695481.1, XP_021695484.1	XP_012551315.1, NP_001037024.1
OG0000127	XP_021705806.1, XP_021705807.1, XP_001657917.3	NP_001189458.1, XP_012551311.1
OG0000129	XP_021700581.1, XP_021700580.1, XP_021700583.1, XP_001650044.1, XP_021700585.1, XP_021700582.1, XP_021700584.1	XP_021203173.1
OG0000130	XP_021695251.1	NP_001108469.1
OG0000130	XP_021700367.1	XP_012548931.3
OG0000131	XP_021705306.1	XP_004931759.1
OG0000131	XP_021707624.1, XP_021707623.1, XP_021707625.1, XP_001652515.1	NP_001091755.1
OG0000132	XP_001653225.3, XP_021709729.1, XP_021709728.1, XP_021709730.1, XP_021709732.1, XP_021709733.1, XP_021709734.1	NP_001164651.1, XP_037870176.1
OG0000132	XP_021700410.1, XP_001660044.3, XP_001660042.3	NP_001164650.1
OG0000133	XP_021702724.1, XP_021702723.1	XP_021207866.1, XP_004932639.1
OG0000134	XP_001659678.1, XP_021709873.1, XP_001655292.1	XP_004924013.1, XP_004924014.1, XP_012544046.1
OG0000134	XP_001652277.1	XP_012546210.1, XP_004926641.1
OG0000134	XP_001660707.1, XP_021702138.1, XP_001654223.2, XP_001650418.1	XP_004923935.1
OG0000135	XP_021711278.1, XP_021711277.1, XP_001651832.2	NP_001166873.1, XP_037875522.1
OG0000135	XP_021697743.1, XP_021697742.1, XP_001649900.1, XP_021697746.1, XP_021697744.1, XP_021697745.1	NP_001108335.1
OG0000136	XP_021698234.1, XP_001663772.2, XP_001661186.2, XP_021701760.1, XP_021701761.1, XP_021701762.1, XP_001663776.1, XP_021712126.1, XP_001660827.1, XP_001656378.1, XP_001656375.1	XP_004927026.1
OG0000137	XP_021710706.1, XP_021710707.1, XP_021710708.1, XP_021710709.1	XP_037868770.1
OG0000138	XP_021712084.1, XP_021694527.1	XP_037868949.1, XP_004925223.3
OG0000139	XP_001663072.2	XP_021208530.2, XP_004922757.1, XP_004922758.1, XP_004927864.1
OG0000140	XP_001652519.1	XP_004931991.2, XP_004926551.1
OG0000141	XP_001663030.2	XP_021207972.2, XP_037866583.1
OG0000143	XP_021706097.1, XP_021706098.1, XP_021706096.1, XP_021706093.1, XP_021706094.1	XP_004927859.1
OG0000144	XP_001663963.2, XP_001661466.2, XP_001659531.1, XP_021708224.1, XP_001657247.2, XP_021709081.1, XP_021705010.1, XP_001658835.2	XP_021207362.2, NP_001243953.1, NP_001037590.1, XP_004931806.2, NP_001106747.2
OG0000145	XP_001661017.2	XP_021209325.1, XP_037876916.1, XP_004923491.1
OG0000146	XP_001662762.1	XP_037871222.1, XP_004922825.1
OG0000146	XP_021707130.1, XP_001649220.1	XP_021204999.1
OG0000147	XP_021708848.1, XP_001659371.1	XP_004933126.1
OG0000149	XP_021701465.1	XP_037875543.1
OG0000149	XP_021701466.1, XP_021701469.1, XP_021701468.1, XP_021701472.1, XP_021701467.1	XP_004924927.1, XP_004924928.1
OG0000150	XP_021698126.1, XP_021698125.1, XP_021698128.1, XP_021698127.1	XP_037869165.1, XP_037869166.1, XP_037869163.1, XP_037869164.1
OG0000151	XP_021697798.1	XP_037867739.1, XP_021208204.1, XP_021208205.1
OG0000152	XP_001653160.1	XP_021205393.1
OG0000153	XP_021705481.1	XP_004930976.1
OG0000153	XP_021697591.1, XP_021697584.1, XP_021697583.1, XP_021697588.1, XP_021697587.1, XP_021697586.1, XP_021697585.1, XP_021697590.1, XP_021697589.1	XP_037871508.1, XP_037871509.1, XP_037871510.1, XP_037871505.1
OG0000154	XP_001662815.2	XP_037873529.1
OG0000154	XP_001654315.1, XP_021709760.1, XP_021709756.1, XP_021697249.1, XP_001662813.2, XP_021697250.1, XP_021697252.1, XP_021697253.1	XP_037872810.1, XP_037872808.1, XP_037872811.1, XP_037872812.1, XP_012546915.1, XP_012546914.1
OG0000156	XP_021696919.1, XP_021712121.1	XP_021206155.2
OG0000157	XP_001655764.1, XP_011493631.1, XP_001655766.1, XP_001655767.1, XP_021702729.1	XP_037869375.1
OG0000158	XP_021696507.1, XP_021696509.1, XP_021698714.1	XP_021204632.1
OG0000160	XP_021707900.1, XP_021710525.1, XP_001662274.1	XP_004925399.2, XP_004925398.1
OG0000161	XP_001656119.2	NP_001182393.1
OG0000162	XP_021694432.1	NP_001103389.1, XP_037868604.1
OG0000162	XP_021704010.1	NP_001103387.2, XP_037868602.1
OG0000162	XP_021706951.1	NP_001103388.1, XP_021203288.2
OG0000163	XP_001662163.1	XP_012546686.1, XP_037873371.1
OG0000164	XP_021698765.1	XP_021205850.1
OG0000164	XP_001654887.2, XP_021701278.1, XP_001654888.2, XP_021697710.1, XP_021695328.1	XP_037875027.1, XP_037872511.1
OG0000165	XP_021697212.1	XP_012547188.1, XP_021204892.1
OG0000165	XP_021704115.1, XP_021704136.1, XP_021704202.1	XP_012551706.2
OG0000166	XP_021694247.1, XP_021704926.1, XP_021704934.1, XP_021704935.1	XP_037868137.1
OG0000168	XP_021712003.1, XP_021699894.1	XP_037866971.1, XP_037876295.1, XP_037867009.1, XP_037872857.1
OG0000168	XP_021705545.1	XP_037873451.1
OG0000169	XP_021702706.1	NP_001243963.1, NP_001243962.1, NP_001243959.1, NP_001243958.1, NP_001243955.1, NP_001243956.1, NP_001243957.1, NP_001243991.1, NP_001135960.1, NP_001040425.1, NP_001243995.1, NP_001243978.1, NP_001127730.1
OG0000170	XP_001654345.1	XP_021202707.2
OG0000170	XP_021699236.1	XP_004924795.2
OG0000171	XP_001654890.1, XP_001654889.1, XP_001654886.2, XP_001656792.2, XP_001653329.2, XP_001653331.1, XP_001653330.2, XP_001653328.2	NP_001296478.1, XP_037876331.1, XP_037876328.1
OG0000173	XP_021694163.1, XP_001649426.1	NP_001093316.1
OG0000174	XP_021704325.1, XP_021704326.1	NP_001040490.1, XP_037874321.1
OG0000175	XP_001654240.1	NP_001040124.1
