Orthogroup	Aedes_aegypti	Anopheles_gambiae
OG0000019	XP_001662317.1	XP_314084.4
OG0000019	XP_001650036.2, XP_001662495.2	XP_312606.4
OG0000020	XP_021703507.1, XP_021703506.1, XP_021703509.1, XP_001651414.2, XP_021703508.1	XP_314903.3
OG0000020	XP_021700207.1, XP_021700205.1, XP_021700206.1, XP_021700209.1, XP_021700211.1, XP_021700210.1	XP_554132.3
OG0000020	XP_021703504.1	XP_314904.3
OG0000020	XP_021700919.1	XP_001238085.2
OG0000020	XP_001650147.2	XP_319101.4
OG0000020	XP_021705068.1	XP_312941.4
OG0000020	XP_021706790.1	XP_321843.5
OG0000020	XP_021703783.1	XP_555858.3
OG0000020	XP_021699908.1	XP_001231126.3
OG0000021	XP_001654997.1, XP_021710336.1, XP_021710335.1	XP_313342.5, XP_003436532.1
OG0000021	XP_021699404.1	XP_320239.4
OG0000021	XP_021713110.1	XP_315182.5
OG0000021	XP_001662165.1	XP_315184.4
OG0000022	XP_001662624.1	XP_320674.3
OG0000022	XP_001656988.1, XP_021706565.1, XP_021706568.1	XP_307083.3
OG0000023	XP_021701441.1, XP_001657148.1	XP_318364.5
OG0000023	XP_001657270.2	XP_024667067.1
OG0000023	XP_021705294.1, XP_021705295.1, XP_021705020.1, XP_021705019.1, XP_021705018.1, XP_021705026.1, XP_021705293.1, XP_021706644.1, XP_021706645.1, XP_021706808.1, XP_021706809.1, XP_021706669.1, XP_021706668.1, XP_021706564.1, XP_001656991.1, XP_001656987.1, XP_021706561.1, XP_021706555.1, XP_021706479.1, XP_021706481.1, XP_021705027.1, XP_001657281.1, XP_021705827.1, XP_001657266.1, XP_021705292.1	XP_320334.2, XP_320329.2, XP_001238300.1, XP_306255.2, XP_307082.2
OG0000024	XP_001653943.1	XP_319504.3
OG0000024	XP_001661001.2	XP_315663.4
OG0000024	XP_001661002.2	XP_315499.1, XP_001237675.1, XP_001237676.2, XP_556135.3, XP_315496.4
OG0000024	XP_001656527.2	XP_312977.3
OG0000026	XP_021706420.1	XP_321915.5
OG0000026	XP_021706888.1, XP_021706889.1, XP_021706887.1, XP_021706890.1, XP_021706891.1	XP_321911.5
OG0000026	XP_021708568.1, XP_021708571.1	XP_003436038.1, XP_308060.4
OG0000026	XP_021702583.1, XP_021702581.1, XP_021702582.1	XP_320025.4, XP_320023.4, XP_320032.4, XP_320040.3
OG0000026	XP_021702584.1	XP_320020.4, XP_553184.3
OG0000027	XP_001657155.1	XP_305995.3
OG0000027	XP_001663888.1, XP_021706536.1	XP_315129.4
OG0000027	XP_021705299.1, XP_021705297.1, XP_021706523.1	XP_307607.3
OG0000027	XP_001657275.1	XP_307600.4
OG0000029	XP_001654720.1	XP_311670.4
OG0000029	XP_021711708.1, XP_021704638.1, XP_021712736.1, XP_001654721.1	XP_001688322.1, XP_001688325.1, XP_001688324.1, XP_001688323.1, XP_311667.3, XP_001230823.2, XP_001230824.2, XP_306539.4, XP_001230390.1
OG0000029	XP_021693569.1, XP_001660358.1, XP_001657546.2, XP_001660353.1, XP_001660356.1, XP_001660354.2, XP_001660359.1, XP_001660349.1, XP_021693574.1, XP_001660357.1, XP_001650809.1	XP_321427.2, XP_001238481.1, XP_321429.3, XP_551138.2, XP_551139.2, XP_551141.1
OG0000029	XP_001664018.2	XP_319711.4
OG0000029	XP_021704637.1	XP_001688326.1
OG0000029	XP_021704641.1, XP_021712735.1	XP_003436466.1, XP_560960.4, XP_311664.4
OG0000030	XP_001658050.1	XP_320774.4
OG0000030	XP_021696991.1	XP_001688768.1, XP_556664.3
OG0000030	XP_001660265.2, XP_021696300.1, XP_001658217.2	XP_001688769.1, XP_001688770.1
OG0000032	XP_021705631.1, XP_021705632.1, XP_021705633.1, XP_021705630.1	XP_309525.4
OG0000032	XP_021707253.1	XP_321319.5
OG0000032	XP_001652524.1, XP_001652523.2, XP_021707252.1, XP_001652525.1	XP_320826.2, XP_320829.4
OG0000032	XP_021708318.1	XP_313740.5
OG0000032	XP_001662930.2, XP_021709531.1	XP_310281.6
OG0000035	XP_001662128.2	XP_317561.4
OG0000035	XP_001659549.2	XP_309943.4
OG0000035	XP_001653600.1, XP_021695840.1, XP_011493156.1	XP_001687884.1
OG0000035	XP_001653602.1	XP_308284.4
OG0000035	XP_021702436.1, XP_001660379.1	XP_317047.3
OG0000035	XP_021702428.1	XP_555044.3
OG0000035	XP_021696237.1, XP_021696236.1	XP_308459.4
OG0000035	XP_001663166.2, XP_001663167.2, XP_001663165.2, XP_001654498.2	XP_308744.4
OG0000035	XP_021699048.1, XP_021699049.1, XP_001654514.2	XP_001688832.1, XP_316292.4
OG0000035	XP_021699050.1	XP_308743.3
OG0000036	XP_001655517.2, XP_021697914.1	XP_001237786.1
OG0000036	XP_001655495.1, XP_021711882.1	XP_565386.2
OG0000036	XP_021695536.1	XP_001237843.1, XP_001688918.1, XP_316607.4, XP_001237840.1, XP_001688914.1, XP_001688917.1
OG0000037	XP_021698956.1	XP_308914.4
OG0000037	XP_021698957.1	XP_308913.3
OG0000037	XP_021698955.1	XP_308915.3
OG0000037	XP_001655400.1	XP_316348.4
OG0000037	XP_001659628.2	XP_308909.2
OG0000037	XP_001654516.2	XP_556645.1
OG0000037	XP_001650153.1, XP_001659658.1	XP_308908.3
OG0000037	XP_001650182.1	XP_308891.2, XP_316624.3
OG0000037	XP_001659653.2, XP_001659654.2, XP_001659610.1	XP_001688133.1, XP_001688134.1, XP_308903.4, XP_001237148.2, XP_001688135.1, XP_001237147.2, XP_001688132.1, XP_001237146.1, XP_001688131.1
OG0000037	XP_001647747.1, XP_001659651.2	XP_001688124.1, XP_001688129.1, XP_001688130.1, XP_001688127.1, XP_001688128.1, XP_001688125.1, XP_001688120.1, XP_001688126.1, XP_001688123.1, XP_001237145.2, XP_001688119.1, XP_001688121.1, XP_001688122.1
OG0000038	XP_001652144.1	XP_551626.4, XP_321937.5
OG0000038	XP_001663407.1	XP_309723.4
OG0000038	XP_021707546.1, XP_021707545.1, XP_021707544.1, XP_021707542.1	XP_312152.5
OG0000038	XP_021698339.1, XP_021698338.1	XP_308639.4
OG0000038	XP_021704212.1	XP_563022.4
OG0000040	XP_021698609.1	XP_314093.2
OG0000040	XP_021698904.1, XP_001661388.1, XP_021698905.1	XP_565496.1, XP_309032.2, XP_309033.2, XP_309036.1
OG0000040	XP_021709866.1	XP_001689276.1
OG0000040	XP_001654842.2	XP_318423.5
OG0000040	XP_001662080.2	XP_001689275.1
OG0000040	XP_001662079.2, XP_001662078.2, XP_001658738.1, XP_001652121.2	XP_552320.3
OG0000040	XP_001662077.2, XP_001662076.1	XP_310364.7
OG0000041	XP_001655176.1, XP_001655175.1	XP_003437049.1
OG0000041	XP_001660073.1	XP_321420.4
OG0000041	XP_001654312.1, XP_021710979.1	XP_315270.4
OG0000041	XP_001654313.1	XP_315269.4
OG0000041	XP_001659963.1	XP_313971.4
OG0000041	XP_001649531.1	XP_315271.4
OG0000042	XP_021693433.1	XP_311704.5
OG0000042	XP_001658411.2	XP_003436850.1, XP_313877.5
OG0000042	XP_021711166.1	XP_003436368.1, XP_003436369.1, XP_001237393.3, XP_003436367.1
OG0000043	XP_001660749.1	XP_317400.2
OG0000043	XP_001660753.1	XP_317404.2
OG0000043	XP_001660785.1	XP_317407.1
OG0000043	XP_001660754.1	XP_317405.3
OG0000043	XP_001660774.1, XP_001660775.1, XP_021703266.1, XP_001660780.1, XP_001660777.1, XP_001660776.1, XP_001660779.1, XP_001660778.1, XP_001660781.1, XP_001660770.1, XP_001660773.1, XP_001660768.2, XP_021703264.1, XP_001660771.1, XP_001660767.1, XP_001660764.1, XP_001660769.1, XP_021703265.1, XP_001660763.1, XP_001660766.1, XP_001660765.1, XP_001660759.1, XP_001660760.1, XP_001660784.1, XP_001660762.1, XP_001660761.1	XP_317408.2
OG0000044	XP_001662886.2	XP_318000.4
OG0000044	XP_021704584.1	XP_001689317.2
OG0000044	XP_021704583.1, XP_021704585.1, XP_001658981.2	XP_003435967.1
OG0000044	XP_001659766.2	XP_003436699.1
OG0000044	XP_001662888.1, XP_021693815.1	XP_312430.5
OG0000044	XP_001662885.2	XP_554544.3
OG0000044	XP_021693817.1, XP_001651477.2	XP_307174.4, XP_562562.2, XP_313478.5
OG0000044	XP_001651479.2, XP_021712899.1, XP_021712941.1, XP_021712940.1	XP_003436569.1, XP_003436570.1, XP_003436568.1, XP_003436573.1, XP_003436571.1, XP_003436572.1
OG0000044	XP_021712943.1	XP_003436574.1
OG0000044	XP_001661567.1, XP_001662326.1	XP_316862.5
OG0000045	XP_001660907.2	XP_001689203.1
OG0000045	XP_021707666.1	XP_316055.4
OG0000045	XP_001660908.1	XP_552857.3
OG0000045	XP_001660906.2	XP_319713.4
OG0000045	XP_001660189.2	XP_320938.3
OG0000045	XP_001649784.1	XP_320155.3
OG0000045	XP_001649787.1	XP_320159.3
OG0000045	XP_001649783.1, XP_001649786.1	XP_320158.1
OG0000045	XP_001649788.1, XP_001656785.2	XP_552300.3
OG0000046	XP_021707218.1, XP_011493320.1, XP_021711730.1, XP_021711729.1, XP_021711733.1, XP_021711731.1	XP_313085.3
OG0000046	XP_021713333.1	XP_001688624.2
OG0000046	XP_021693655.1, XP_021693654.1, XP_021693653.1, XP_021693651.1, XP_021693652.1, XP_021693649.1	XP_001688467.2
OG0000046	XP_021707697.1	XP_001689308.2
OG0000046	XP_021698547.1, XP_021698548.1	XP_315042.3
OG0000050	XP_001654509.1	XP_316295.4
OG0000050	XP_011493543.2	XP_316296.3
OG0000050	XP_001650372.3	XP_309020.3
OG0000050	XP_001648942.1, XP_001655125.2	XP_315770.4
OG0000050	XP_021711298.1, XP_001656532.2, XP_021712588.1, XP_001656533.1, XP_021711977.1, XP_021712587.1, XP_001656534.2, XP_021712580.1, XP_001656535.1, XP_021712578.1, XP_001656536.1, XP_021712579.1	XP_321363.4
OG0000050	XP_021712589.1, XP_001656537.1	XP_312052.3, XP_321362.2
OG0000052	XP_001653763.1	XP_555802.2, XP_317786.3
OG0000052	XP_021697771.1, XP_021697773.1	XP_316622.4
OG0000052	XP_021711564.1	XP_320291.3
OG0000054	XP_001655288.2	XP_312323.3
OG0000054	XP_001661677.2	XP_316036.1
OG0000054	XP_001657098.2	XP_316039.1
OG0000054	XP_001663703.1, XP_001663705.1, XP_001658209.1, XP_001658210.1, XP_001663706.1	XP_316038.1
OG0000054	XP_001663702.2	XP_316041.3
OG0000055	XP_021695325.1, XP_021695326.1, XP_001650510.1, XP_021695322.1, XP_021695324.1, XP_021695323.1	XP_553645.3
OG0000055	XP_001654841.2	XP_312790.4
OG0000056	XP_021702305.1	XP_318579.4
OG0000056	XP_021704129.1	XP_550805.4
OG0000056	XP_021704390.1	XP_317863.3
OG0000057	XP_001656025.1	XP_309765.4
OG0000057	XP_001656026.2	XP_314483.4
OG0000057	XP_001650054.1	XP_315005.3
OG0000057	XP_001650331.1, XP_001650332.1	XP_309083.4, XP_001688163.1
OG0000060	XP_001663993.2	XP_318748.4
OG0000061	XP_021693614.1, XP_021693615.1, XP_021693616.1	XP_003436493.1, XP_003436494.1, XP_003436495.1, XP_309674.5
OG0000061	XP_001664194.1, XP_001664195.2	XP_309223.5, XP_003437178.1, XP_003437179.1
OG0000061	XP_001661118.2	XP_311857.4
OG0000062	XP_001661011.1, XP_001663492.1, XP_001663494.1, XP_001661010.2, XP_001663490.2, XP_001663495.1	XP_308609.4, XP_308610.4, XP_315550.4, XP_315549.4
OG0000062	XP_021698193.1, XP_001663497.1	XP_308607.3
OG0000062	XP_001663499.2	XP_308606.2, XP_001688031.1
OG0000065	XP_011493201.1	XP_321329.4
OG0000065	XP_011493637.2, XP_011493079.2, XP_011493699.2, XP_021699125.1	XP_565271.3
OG0000067	XP_001653435.1	XP_320481.4
OG0000067	XP_001653950.2	XP_315003.3, XP_001688603.1
OG0000067	XP_001654592.2	XP_315671.4
OG0000067	XP_001661370.1, XP_021698916.1	XP_315363.4
OG0000073	XP_021705856.1	XP_554263.1, XP_564483.1
OG0000073	XP_001660197.2, XP_001653248.2	XP_001237740.2
OG0000073	XP_001652848.2	XP_316332.1
OG0000073	XP_001657561.2	XP_001237817.1, XP_316470.3, XP_001237816.1
OG0000073	XP_001660201.2	XP_001238312.2
OG0000073	XP_021699361.1, XP_021698326.1	XP_318942.3
OG0000074	XP_021707386.1	XP_321263.5
OG0000077	XP_001658180.2	XP_319941.4
OG0000077	XP_001654967.2, XP_001654963.2, XP_021703368.1	XP_316979.4
OG0000077	XP_001659008.2	XP_321166.4
OG0000079	XP_001662329.1	XP_319818.4
OG0000080	XP_021693685.1	XP_313655.5
OG0000082	XP_021710856.1, XP_021710857.1, XP_021710858.1, XP_021710859.1	XP_309846.3
OG0000082	XP_001657071.2, XP_021705242.1, XP_021705991.1, XP_001657061.2, XP_021707062.1	XP_564070.3, XP_309845.4
OG0000082	XP_021711080.1	XP_309840.2
OG0000084	XP_001656586.1	XP_318996.4
OG0000084	XP_001656600.1	XP_318989.4
OG0000084	XP_001656587.2	XP_318995.4
OG0000085	XP_001657682.1	XP_003436490.1
OG0000085	XP_021712292.1	XP_560023.4
OG0000085	XP_001657680.2	XP_001688203.2
OG0000085	XP_021712303.1, XP_001657679.2, XP_021712327.1	XP_309687.5
OG0000085	XP_021693916.1, XP_021693917.1	XP_316739.3
OG0000086	XP_021701219.1	XP_552698.3
OG0000086	XP_001658786.2	XP_312070.5
OG0000086	XP_001658476.2	XP_313588.3
OG0000086	XP_001661765.2, XP_001658478.3	XP_313589.2
OG0000086	XP_001658781.1, XP_021696093.1, XP_021696094.1, XP_001661116.2, XP_001661117.2	XP_313388.5, XP_003436544.1, XP_562493.4, XP_003436543.1
OG0000087	XP_001648461.1	XP_308086.3
OG0000087	XP_001648458.1	XP_309579.4, XP_309577.4, XP_308085.4
OG0000087	XP_001648460.2	XP_306334.2, XP_308083.4
OG0000087	XP_001648456.1, XP_001648457.1, XP_001648454.1	XP_308082.4
OG0000088	XP_021702205.1	XP_317091.3
OG0000089	XP_001654187.2	XP_319737.4
OG0000091	XP_021699738.1	XP_314159.2, XP_314157.3, XP_314156.2, XP_314158.2
OG0000092	XP_021707375.1	XP_003435946.1, XP_003435945.1, XP_003435944.1, XP_003435942.1, XP_003435943.1
OG0000092	XP_021709998.1, XP_001655951.1	XP_321262.1, XP_003435947.1
OG0000094	XP_021702456.1	XP_317094.4
OG0000094	XP_001660396.2	XP_001689000.1
OG0000094	XP_001651974.1	XP_321973.5
OG0000094	XP_001652484.1	XP_321095.5, XP_003435979.1
OG0000094	XP_001656201.1	XP_321571.5
OG0000094	XP_021704594.1	XP_312311.5
OG0000095	XP_001649682.2	XP_316096.4, XP_316098.3, XP_316099.4
OG0000096	XP_001656233.2	XP_003436133.1, XP_003436134.1
OG0000096	XP_001663568.1	XP_316142.4
OG0000096	XP_021707618.1, XP_001662520.2, XP_021697666.1, XP_021697668.1, XP_021697665.1	XP_315650.4
OG0000096	XP_021710758.1, XP_021710759.1	XP_307732.4
OG0000096	XP_001663099.2, XP_021698426.1	XP_319801.4, XP_316256.4, XP_314312.4
OG0000096	XP_001663097.2	XP_316448.2
OG0000097	XP_011493435.1	XP_308429.3
OG0000097	XP_021709275.1, XP_021709276.1, XP_011493325.1, XP_021709274.1	XP_003436515.1, XP_003436516.1, XP_562379.1
OG0000098	XP_001660410.1	XP_314814.3
OG0000099	XP_021708064.1, XP_021708068.1, XP_021708072.1	XP_320987.5
OG0000099	XP_001650952.2	XP_312290.4
OG0000099	XP_021710287.1	XP_313462.4
OG0000100	XP_001662579.2	XP_313581.5
OG0000101	XP_001652481.1	XP_321098.5
OG0000101	XP_001655727.2, XP_001655728.2, XP_001655729.2, XP_001655709.1	XP_320731.3
OG0000101	XP_021705368.1, XP_001655706.1	XP_001238368.1, XP_552458.3, XP_320729.4, XP_320730.2
OG0000101	XP_021704385.1	XP_320721.3, XP_320722.4, XP_320723.2
OG0000101	XP_021706472.1	XP_320728.3
OG0000101	XP_001655711.1	XP_552464.1
OG0000102	XP_001654053.1, XP_021698700.1, XP_021698701.1, XP_021698703.1, XP_021698702.1, XP_021698704.1	XP_308709.4
OG0000102	XP_021698696.1, XP_021698697.1, XP_021698698.1, XP_021698699.1, XP_021698692.1, XP_021698693.1, XP_021698694.1, XP_001654056.2	XP_565152.3
OG0000102	XP_021700055.1	XP_312189.5, XP_003436226.1
OG0000108	XP_001650404.2	XP_310611.5
OG0000108	XP_001650340.2	XP_557098.2
OG0000108	XP_021698830.1, XP_001659854.2	XP_316461.3
OG0000108	XP_021694990.1, XP_021698831.1	XP_316460.3
OG0000108	XP_021698828.1	XP_557100.2
OG0000109	XP_021709303.1	XP_309801.3
OG0000110	XP_021711612.1, XP_021711613.1	XP_001689285.1
OG0000112	XP_001656354.2, XP_021704950.1, XP_021704946.1, XP_001656353.2, XP_021704942.1	XP_309025.4
OG0000112	XP_021703753.1	XP_560420.2
OG0000113	XP_021699104.1	XP_001231003.2
OG0000113	XP_021711742.1, XP_021704959.1, XP_001659002.1	XP_550924.1, XP_321171.4
OG0000113	XP_001664257.2	XP_550973.4
OG0000113	XP_001664258.1	XP_321231.5
OG0000113	XP_021712497.1, XP_001658997.1, XP_001659000.1, XP_001658999.1, XP_021712496.1, XP_001659001.1	XP_321172.5
OG0000113	XP_001659007.1	XP_321170.4
OG0000114	XP_001647864.2, XP_001647865.1, XP_001647870.2	XP_312956.3, XP_307750.3, XP_003436426.1, XP_306194.4, XP_307755.1, XP_001237509.2, XP_001237510.1, XP_312959.4
OG0000114	XP_001650899.2	XP_320219.3
OG0000114	XP_001647873.3, XP_001647872.2	XP_307756.2
OG0000114	XP_001650301.1	XP_313032.4
OG0000114	XP_021711058.1	XP_312744.4
OG0000114	XP_021711014.1, XP_021711004.1	XP_003436374.1
OG0000114	XP_001656658.2	XP_314336.2
OG0000114	XP_001658784.2	XP_321448.4
OG0000115	XP_021711348.1	XP_311546.4
OG0000116	XP_021695569.1	XP_315806.4
OG0000117	XP_001658273.1	XP_318912.3
OG0000117	XP_021708342.1, XP_021708343.1, XP_021708344.1, XP_021708345.1, XP_021708346.1	XP_001238428.3
OG0000118	XP_021710468.1	XP_003435810.1, XP_321773.4
OG0000120	XP_021702687.1	XP_319911.4
OG0000122	XP_001650409.1, XP_021711773.1	XP_309303.3, XP_564139.3
OG0000122	XP_021707885.1	XP_552160.3
OG0000123	XP_001658691.1, XP_021703858.1, XP_021703857.1, XP_021703856.1, XP_021703860.1, XP_021703865.1, XP_021703863.1, XP_021703864.1, XP_021703861.1, XP_021703862.1, XP_021703859.1	XP_317585.4
OG0000124	XP_021693241.1, XP_021693242.1, XP_021693243.1, XP_021693244.1, XP_021693245.1, XP_021693246.1, XP_021693247.1, XP_021693248.1	XP_312632.5
OG0000125	XP_001657204.2	XP_321447.5
OG0000126	XP_021694197.1	XP_003436885.1, XP_311618.2
OG0000127	XP_021695483.1, XP_021695480.1, XP_021695481.1, XP_021695484.1	XP_308528.2, XP_308529.3, XP_001237095.2, XP_560812.1, XP_308527.5
OG0000127	XP_021705806.1, XP_021705807.1, XP_001657917.3	XP_309323.2
OG0000129	XP_021700581.1, XP_021700580.1, XP_021700583.1, XP_001650044.1, XP_021700585.1, XP_021700582.1, XP_021700584.1	XP_319208.4
OG0000130	XP_021695251.1	XP_314859.4
OG0000130	XP_021700367.1	XP_314860.4
OG0000131	XP_021705306.1	XP_311973.1, XP_003436315.1
OG0000131	XP_021707624.1, XP_021707623.1, XP_021707625.1, XP_001652515.1	XP_320516.2
OG0000132	XP_001653225.3, XP_021709729.1, XP_021709728.1, XP_021709730.1, XP_021709732.1, XP_021709733.1, XP_021709734.1	XP_314281.4
OG0000132	XP_021700410.1, XP_001660044.3	XP_317287.4
OG0000132	XP_001660042.3	XP_319288.2
OG0000133	XP_021702724.1, XP_021702723.1	XP_001238215.2
OG0000133	XP_021702589.1	XP_001689398.2, XP_003437102.1, XP_003437103.1
OG0000134	XP_001659678.1, XP_021709873.1	XP_320672.3
OG0000134	XP_001660707.1, XP_021702138.1, XP_001654223.2	XP_553069.3
OG0000135	XP_021711278.1, XP_021711277.1, XP_001651832.2	XP_321549.1
OG0000135	XP_021697743.1, XP_021697742.1, XP_001649900.1, XP_021697746.1, XP_021697744.1, XP_021697745.1	XP_308966.4
OG0000136	XP_021698234.1	XP_557311.3
OG0000136	XP_001663772.2, XP_001661186.2, XP_021701760.1, XP_021701761.1, XP_021701762.1, XP_001663776.1, XP_021712126.1, XP_001660827.1, XP_001656378.1, XP_001656375.1	XP_316252.2
OG0000137	XP_021710706.1, XP_021710707.1, XP_021710708.1, XP_021710709.1	XP_313095.4
OG0000138	XP_021712084.1, XP_021694527.1	XP_310751.5
OG0000139	XP_001663072.2	XP_318027.4
OG0000140	XP_021704953.1, XP_021704952.1, XP_001664287.1	XP_313749.5
OG0000140	XP_001652519.1	XP_320833.4
OG0000140	XP_021702905.1	XP_318829.4
OG0000141	XP_021706046.1	XP_312292.5
OG0000141	XP_001663030.2	XP_317639.4
OG0000143	XP_021706097.1, XP_021706098.1, XP_021706096.1, XP_021706093.1, XP_021706094.1	XP_311556.4
OG0000144	XP_001663963.2	XP_321434.5
OG0000144	XP_001661466.2	XP_321436.5
OG0000144	XP_001659531.1	XP_321800.4
