Orthogroup	Aedes_aegypti	Osmia_lignaria
OG0000017	XP_001658009.2, XP_021693938.1, XP_001658007.2	XP_034178979.1, XP_034178985.1, XP_034178984.1
OG0000018	XP_021697392.1, XP_021697390.1, XP_021697387.1, XP_021697388.1, XP_021697389.1, XP_021697393.1	XP_034175482.1
OG0000018	XP_021706785.1, XP_021706786.1, XP_021706787.1, XP_021706788.1, XP_001651693.2	XP_034193265.1, XP_034193266.1, XP_034193267.1, XP_034193268.1
OG0000018	XP_021706781.1	XP_034193261.1, XP_034193695.1, XP_034193694.1
OG0000019	XP_021694331.1, XP_021694068.1	XP_034176014.1
OG0000019	XP_001651730.2, XP_001662493.2, XP_001662497.2, XP_001662494.2, XP_021694070.1, XP_001662317.1, XP_001650036.2, XP_001662495.2	XP_034185441.1
OG0000020	XP_021703507.1, XP_021703506.1, XP_021703509.1, XP_001651414.2, XP_021703508.1, XP_021700207.1, XP_021700205.1, XP_021700206.1, XP_021700209.1, XP_021700211.1, XP_021700210.1	XP_034186694.1, XP_034186692.1
OG0000020	XP_021703504.1	XP_034192547.1
OG0000020	XP_021700919.1, XP_001650147.2	XP_034171877.1
OG0000020	XP_021705068.1	XP_034185768.1
OG0000021	XP_021699404.1	XP_034176195.1, XP_034176197.1, XP_034176196.1
OG0000021	XP_021713110.1, XP_001662165.1	XP_034184869.1
OG0000026	XP_021706420.1	XP_034181081.1
OG0000026	XP_021702583.1, XP_021702581.1, XP_021702582.1, XP_021702584.1	XP_034179246.1
OG0000027	XP_021706536.1	XP_034174017.1
OG0000027	XP_001656994.2	XP_034172344.1, XP_034173947.1, XP_034172482.1
OG0000027	XP_021705635.1, XP_021705023.1, XP_021705301.1, XP_021705299.1, XP_021705297.1, XP_021706523.1	XP_034173430.1
OG0000029	XP_001654720.1, XP_021711708.1, XP_021704638.1, XP_021712736.1, XP_001654721.1, XP_021693569.1, XP_001660358.1, XP_001657546.2, XP_001660353.1, XP_001660356.1, XP_001660354.2, XP_001660359.1, XP_001660349.1, XP_021693574.1, XP_001660357.1, XP_001650809.1	XP_034181406.1, XP_034181408.1
OG0000029	XP_001664018.2	XP_034187040.1
OG0000029	XP_021704637.1, XP_021704641.1, XP_021712735.1	XP_034181507.1
OG0000030	XP_001658050.1	XP_034172323.1
OG0000032	XP_021705631.1, XP_021705632.1, XP_021705633.1, XP_021705630.1	XP_034191636.1
OG0000032	XP_001652526.1, XP_021707253.1, XP_001652524.1, XP_001652523.2, XP_021707252.1, XP_001652525.1, XP_001652527.2, XP_001652528.2, XP_001652520.1, XP_021708318.1, XP_001662930.2, XP_021709531.1	XP_034177599.1, XP_034177331.1, XP_034185955.1
OG0000033	XP_021705680.1, XP_021704128.1	XP_034192172.1, XP_034192173.1
OG0000033	XP_021702767.1	XP_034174846.1
OG0000035	XP_001650274.2, XP_001662128.2	XP_034174457.1
OG0000036	XP_021695536.1	XP_034179599.1, XP_034179598.1, XP_034186699.1, XP_034186700.1
OG0000037	XP_021698956.1, XP_021698957.1, XP_021698955.1, XP_001655400.1, XP_001659628.2, XP_001654516.2, XP_001650153.1, XP_001659658.1, XP_001650182.1, XP_001659653.2, XP_001659654.2, XP_001659610.1, XP_001647747.1, XP_001659651.2, XP_001659656.2, XP_001659657.1	XP_034181170.1
OG0000038	XP_001652144.1, XP_001663407.1	XP_034191028.1, XP_034195488.1
OG0000038	XP_021707546.1, XP_021707545.1, XP_021707544.1, XP_021707542.1	XP_034179614.1
OG0000040	XP_021698609.1, XP_021698904.1, XP_001661388.1, XP_021698905.1, XP_021709866.1, XP_001654842.2, XP_001662080.2, XP_001662079.2, XP_001662078.2, XP_001658738.1, XP_001652121.2, XP_001662077.2, XP_001662076.1	XP_034170854.1, XP_034170811.1, XP_034170810.1, XP_034170809.1
OG0000041	XP_001655176.1, XP_001655175.1	XP_034174489.1, XP_034174481.1
OG0000041	XP_001659963.1	XP_034183066.1, XP_034183064.1
OG0000041	XP_001649531.1	XP_034186914.1
OG0000042	XP_021693433.1	XP_034173998.1
OG0000042	XP_001658411.2	XP_034187660.1
OG0000043	XP_001660749.1	XP_034173650.1
OG0000043	XP_001660756.1	XP_034192576.1
OG0000043	XP_001660753.1	XP_034192580.1
OG0000044	XP_001662886.2, XP_021704584.1, XP_021704583.1, XP_021704585.1, XP_001658981.2, XP_001659766.2, XP_001662888.1, XP_021693815.1, XP_001662885.2, XP_021693817.1, XP_001651477.2	XP_034185423.1, XP_034185424.1, XP_034185422.1
OG0000044	XP_021712943.1	XP_034185647.1, XP_034185650.1, XP_034185648.1
OG0000045	XP_001660907.2, XP_021707666.1, XP_001660908.1, XP_001660906.2, XP_001660189.2, XP_001649784.1, XP_001649787.1, XP_001649783.1, XP_001649786.1, XP_001649788.1, XP_001656785.2	XP_034196329.1, XP_034196330.1, XP_034181260.1
OG0000046	XP_021707218.1, XP_011493320.1, XP_021711730.1, XP_021711729.1, XP_021711733.1, XP_021711731.1	XP_034194263.1
OG0000046	XP_021707697.1	XP_034188783.1, XP_034179386.1
OG0000046	XP_021698547.1, XP_021698548.1	XP_034176742.1
OG0000047	XP_021713287.1, XP_021713290.1, XP_021698064.1, XP_021698875.1, XP_021705066.1, XP_021697550.1	XP_034183417.1, XP_034177275.1, XP_034192311.1, XP_034192314.1, XP_034192434.1, XP_034192433.1, XP_034194157.1, XP_034194156.1, XP_034194155.1, XP_034182102.1, XP_034170845.1, XP_034177194.1, XP_034192178.1, XP_034174821.1, XP_034187731.1
OG0000050	XP_001654509.1, XP_011493543.2, XP_001650372.3, XP_001648942.1, XP_001655125.2, XP_021711298.1, XP_001656532.2, XP_021712588.1, XP_001656533.1, XP_021711977.1, XP_021712587.1, XP_001656534.2, XP_021712580.1, XP_001656535.1, XP_021712578.1, XP_001656536.1, XP_021712579.1, XP_021712589.1, XP_001656537.1	XP_034183260.1
OG0000052	XP_001653763.1	XP_034191839.1
OG0000052	XP_021711564.1	XP_034176227.1
OG0000054	XP_001661677.2, XP_001657098.2, XP_001663703.1, XP_001663705.1, XP_001658209.1, XP_001658210.1, XP_001663706.1, XP_001663702.2	XP_034176640.1, XP_034176646.1
OG0000055	XP_021695325.1, XP_021695326.1, XP_001650510.1, XP_021695322.1, XP_021695324.1, XP_021695323.1	XP_034185035.1, XP_034185036.1, XP_034185034.1, XP_034185037.1
OG0000055	XP_001654841.2	XP_034178359.1
OG0000056	XP_021702305.1	XP_034195921.1, XP_034174982.1
OG0000056	XP_021704129.1	XP_034181068.1
OG0000056	XP_021704390.1	XP_034175501.1, XP_034175497.1
OG0000057	XP_001656025.1	XP_034187515.1
OG0000057	XP_021701591.1	XP_034180852.1, XP_034187516.1
OG0000057	XP_001656026.2	XP_034187514.1
OG0000057	XP_001650054.1	XP_034187518.1
OG0000060	XP_001663993.2	XP_034191137.1
OG0000060	XP_021710092.1, XP_021710091.1, XP_001652667.1	XP_034187152.1, XP_034187149.1, XP_034187153.1, XP_034187150.1, XP_034187148.1, XP_034187151.1
OG0000061	XP_021693614.1, XP_021693615.1, XP_021693616.1	XP_034172253.1
OG0000061	XP_001664194.1, XP_001664195.2, XP_001661118.2	XP_034191746.1, XP_034191745.1, XP_034191749.1, XP_034191748.1, XP_034191747.1
OG0000063	XP_021706514.1, XP_021712878.1	XP_034192205.1, XP_034194193.1, XP_034182480.1, XP_034194997.1, XP_034195296.1, XP_034195297.1, XP_034194554.1, XP_034195174.1
OG0000065	XP_011493201.1	XP_034186031.1, XP_034186030.1, XP_034186029.1, XP_034186032.1
OG0000065	XP_011493637.2, XP_011493079.2, XP_011493699.2, XP_021699125.1	XP_034186028.1
OG0000066	XP_021704301.1	XP_034192378.1
OG0000067	XP_001653435.1	XP_034188060.1
OG0000067	XP_001654897.1	XP_034176568.1
OG0000067	XP_001653950.2, XP_001654592.2	XP_034180395.1, XP_034180397.1
OG0000067	XP_001661370.1, XP_021698916.1	XP_034192090.1
OG0000071	XP_021695334.1	XP_034195125.1
OG0000074	XP_021707386.1	XP_034195150.1
OG0000077	XP_001658180.2	XP_034178573.1, XP_034178581.1
OG0000077	XP_001654967.2, XP_001654963.2, XP_021703368.1, XP_001659008.2	XP_034192524.1
OG0000080	XP_021693685.1	XP_034191096.1
OG0000082	XP_021710856.1, XP_021710857.1, XP_021710858.1, XP_021710859.1, XP_001657071.2, XP_021705242.1, XP_021705991.1, XP_001657061.2, XP_021707062.1, XP_021711080.1	XP_034191540.1, XP_034191538.1, XP_034191541.1, XP_034191539.1, XP_034191543.1, XP_034191542.1, XP_034191544.1, XP_034191545.1
OG0000085	XP_001657682.1, XP_021712292.1, XP_001657680.2, XP_021712303.1, XP_001657679.2, XP_021712327.1, XP_021693916.1, XP_021693917.1	XP_034192632.1, XP_034192631.1, XP_034171418.1
OG0000086	XP_021701219.1	XP_034193956.1
OG0000086	XP_021694055.1, XP_001658786.2, XP_001658476.2, XP_001661765.2, XP_001658478.3, XP_001658781.1, XP_021696093.1, XP_021696094.1, XP_001661116.2, XP_001661117.2	XP_034193661.1
OG0000087	XP_001648461.1, XP_001648458.1	XP_034179280.1, XP_034179279.1
OG0000087	XP_001648460.2, XP_001648456.1, XP_001648457.1, XP_001648454.1	XP_034179278.1
OG0000088	XP_021702205.1	XP_034186223.1
OG0000089	XP_001654187.2	XP_034188076.1, XP_034188075.1, XP_034188074.1
OG0000091	XP_021699738.1	XP_034181366.1, XP_034181369.1, XP_034181364.1
OG0000092	XP_021707375.1	XP_034172508.1
OG0000092	XP_021709998.1, XP_001655951.1	XP_034178502.1
OG0000094	XP_021702456.1, XP_001660396.2	XP_034172066.1
OG0000094	XP_001651974.1, XP_001652484.1, XP_001656201.1	XP_034183347.1, XP_034183349.1, XP_034183348.1
OG0000094	XP_021704594.1	XP_034186765.1
OG0000095	XP_001649682.2	XP_034175885.1
OG0000096	XP_001656233.2, XP_001663568.1, XP_021707618.1, XP_001662520.2, XP_021697666.1, XP_021697668.1, XP_021697665.1	XP_034192124.1
OG0000096	XP_021710758.1, XP_021710759.1, XP_001663099.2, XP_021698426.1, XP_001663097.2	XP_034177248.1
OG0000097	XP_021709275.1, XP_021709276.1, XP_011493325.1, XP_021709274.1	XP_034190835.1, XP_034190836.1, XP_034176738.1, XP_034176739.1
OG0000098	XP_001660410.1	XP_034189435.1, XP_034189436.1, XP_034189437.1, XP_034189438.1, XP_034189434.1
OG0000099	XP_021708064.1, XP_021708068.1, XP_021708072.1	XP_034179642.1, XP_034179643.1, XP_034179641.1
OG0000099	XP_021710287.1	XP_034193873.1
OG0000100	XP_001662579.2	XP_034186665.1, XP_034186661.1, XP_034186660.1, XP_034186663.1, XP_034186662.1, XP_034186656.1, XP_034186655.1, XP_034186659.1, XP_034186658.1, XP_034186664.1, XP_034186666.1, XP_034186667.1, XP_034186669.1, XP_034186670.1, XP_034186654.1
OG0000101	XP_001652481.1	XP_034181509.1
OG0000101	XP_021705368.1, XP_001655706.1, XP_021704385.1, XP_021706472.1, XP_001655711.1	XP_034181515.1
OG0000102	XP_001654053.1, XP_021698700.1, XP_021698701.1, XP_021698703.1, XP_021698702.1, XP_021698704.1, XP_021698696.1, XP_021698697.1, XP_021698698.1, XP_021698699.1, XP_021698692.1, XP_021698693.1, XP_021698694.1, XP_001654056.2, XP_001654054.2	XP_034184723.1, XP_034190695.1
OG0000103	XP_001661506.1	XP_034185802.1
OG0000108	XP_001650340.2, XP_021698830.1, XP_001659854.2, XP_021694990.1, XP_021698831.1, XP_021698828.1	XP_034193813.1
OG0000109	XP_021709303.1	XP_034187724.1, XP_034187720.1, XP_034187719.1, XP_034187723.1, XP_034187722.1
OG0000110	XP_021711612.1, XP_021711613.1	XP_034180203.1, XP_034180902.1
OG0000111	XP_021704753.1	XP_034190336.1
OG0000112	XP_001656354.2, XP_021704950.1, XP_021704946.1, XP_001656353.2, XP_021704942.1	XP_034175689.1
OG0000112	XP_021703753.1	XP_034177437.1
OG0000113	XP_021706759.1, XP_021708730.1, XP_021699104.1, XP_021711742.1, XP_021704959.1, XP_001659002.1, XP_001664257.2, XP_001664258.1, XP_021712497.1, XP_001658997.1, XP_001659000.1, XP_001658999.1, XP_021712496.1, XP_001659001.1, XP_001659007.1	XP_034185991.1, XP_034174201.1
OG0000114	XP_001650347.2, XP_001647864.2, XP_001647865.1, XP_001647870.2, XP_001650899.2, XP_001647873.3, XP_001647872.2, XP_001650301.1	XP_034178036.1, XP_034190286.1
OG0000114	XP_001656658.2	XP_034192603.1
OG0000115	XP_021711348.1	XP_034173929.1, XP_034174012.1, XP_034174010.1, XP_034174009.1
OG0000116	XP_021695569.1	XP_034183708.1, XP_034183753.1, XP_034183636.1, XP_034183664.1, XP_034183656.1, XP_034183646.1, XP_034183695.1, XP_034183674.1, XP_034183684.1
OG0000117	XP_001658273.1	XP_034188640.1
OG0000117	XP_021708342.1, XP_021708343.1, XP_021708344.1, XP_021708345.1, XP_021708346.1	XP_034186050.1, XP_034186060.1, XP_034186043.1, XP_034186034.1
OG0000118	XP_021703512.1	XP_034194773.1
OG0000119	XP_021699975.1, XP_021699973.1, XP_021699978.1, XP_021699974.1	XP_034185219.1, XP_034185196.1, XP_034185454.1, XP_034185227.1, XP_034185236.1
OG0000120	XP_021702687.1	XP_034188385.1
OG0000122	XP_001650409.1, XP_021711773.1	XP_034183230.1
OG0000122	XP_021707885.1	XP_034171356.1, XP_034171357.1
OG0000123	XP_001658691.1, XP_021703858.1, XP_021703857.1, XP_021703856.1, XP_021703860.1, XP_021703865.1, XP_021703863.1, XP_021703864.1, XP_021703861.1, XP_021703862.1, XP_021703859.1	XP_034189051.1, XP_034189052.1
OG0000124	XP_021693241.1, XP_021693242.1, XP_021693243.1, XP_021693244.1, XP_021693245.1, XP_021693246.1, XP_021693247.1, XP_021693248.1	XP_034195724.1, XP_034195725.1, XP_034195722.1, XP_034195721.1, XP_034195720.1, XP_034195715.1, XP_034195714.1, XP_034195719.1, XP_034195718.1, XP_034195717.1, XP_034195716.1
OG0000125	XP_001657204.2	XP_034195792.1, XP_034195791.1, XP_034195790.1, XP_034195789.1
OG0000126	XP_021694197.1	XP_034182851.1, XP_034182856.1, XP_034182855.1, XP_034182854.1, XP_034182857.1, XP_034182852.1, XP_034182850.1
OG0000127	XP_021705806.1, XP_021705807.1, XP_001657917.3	XP_034173169.1, XP_034173170.1
OG0000129	XP_021700581.1, XP_021700580.1, XP_021700583.1, XP_001650044.1, XP_021700585.1, XP_021700582.1, XP_021700584.1	XP_034176178.1, XP_034176173.1, XP_034176171.1, XP_034176172.1, XP_034176175.1, XP_034176174.1, XP_034176177.1, XP_034176176.1
OG0000130	XP_021695251.1	XP_034182741.1, XP_034182770.1, XP_034182761.1
OG0000130	XP_021700367.1	XP_034183368.1, XP_034183281.1
OG0000131	XP_021705306.1	XP_034176064.1
OG0000131	XP_021707624.1, XP_021707623.1, XP_021707625.1, XP_001652515.1	XP_034182652.1, XP_034182661.1
OG0000132	XP_001653225.3, XP_021709729.1, XP_021709728.1, XP_021709730.1, XP_021709732.1, XP_021709733.1, XP_021709734.1	XP_034187328.1, XP_034187330.1
OG0000132	XP_021700410.1, XP_001660044.3, XP_001660042.3	XP_034173679.1, XP_034173677.1
OG0000133	XP_021702724.1, XP_021702723.1	XP_034182098.1, XP_034182097.1
OG0000133	XP_021702554.1	XP_034172964.1
OG0000134	XP_001659678.1, XP_021709873.1	XP_034194546.1
OG0000134	XP_001655292.1	XP_034175473.1
OG0000135	XP_021711278.1, XP_021711277.1, XP_001651832.2	XP_034173405.1
OG0000135	XP_021697743.1, XP_021697742.1, XP_001649900.1, XP_021697746.1, XP_021697744.1, XP_021697745.1	XP_034194710.1
OG0000136	XP_021698234.1, XP_001663772.2, XP_001661186.2, XP_021701760.1, XP_021701761.1, XP_021701762.1, XP_001663776.1, XP_021712126.1, XP_001660827.1, XP_001656378.1, XP_001656375.1	XP_034180981.1, XP_034173810.1
OG0000137	XP_021710706.1, XP_021710707.1, XP_021710708.1, XP_021710709.1	XP_034196013.1, XP_034190610.1, XP_034190609.1, XP_034190611.1, XP_034190608.1, XP_034178422.1
OG0000138	XP_021712084.1, XP_021694527.1	XP_034181257.1, XP_034181256.1, XP_034181258.1, XP_034181252.1, XP_034181253.1, XP_034181250.1, XP_034181251.1, XP_034181249.1, XP_034181254.1, XP_034181259.1
OG0000139	XP_001663072.2	XP_034187809.1
OG0000141	XP_021706046.1	XP_034171520.1, XP_034171519.1, XP_034171518.1, XP_034171521.1
OG0000141	XP_001663030.2	XP_034191369.1, XP_034191364.1, XP_034191348.1, XP_034191355.1
OG0000143	XP_021706097.1, XP_021706098.1, XP_021706096.1, XP_021706093.1, XP_021706094.1	XP_034170956.1, XP_034170957.1, XP_034170955.1, XP_034170950.1
OG0000144	XP_001663963.2, XP_001661466.2, XP_001659531.1, XP_021708224.1, XP_001657247.2, XP_021709081.1, XP_021705010.1, XP_001658835.2	XP_034185501.1, XP_034185500.1
OG0000145	XP_001661017.2	XP_034172080.1, XP_034172081.1, XP_034172082.1, XP_034172083.1, XP_034194879.1
OG0000146	XP_001662762.1	XP_034191002.1
OG0000147	XP_021708848.1, XP_001659371.1	XP_034172317.1, XP_034176955.1, XP_034176956.1, XP_034176953.1, XP_034176954.1, XP_034176959.1, XP_034176957.1, XP_034176958.1
OG0000149	XP_021701465.1	XP_034188253.1
OG0000149	XP_021701466.1, XP_021701469.1, XP_021701468.1, XP_021701472.1, XP_021701467.1	XP_034188255.1, XP_034188259.1, XP_034188258.1, XP_034188260.1, XP_034188261.1, XP_034188257.1
OG0000150	XP_021698126.1, XP_021698125.1, XP_021698128.1, XP_021698127.1	XP_034191022.1
OG0000151	XP_021697798.1	XP_034171188.1, XP_034171191.1, XP_034171190.1, XP_034171189.1
OG0000152	XP_001653160.1	XP_034190547.1, XP_034190545.1, XP_034190544.1, XP_034190543.1, XP_034190550.1, XP_034190549.1, XP_034190548.1, XP_034190542.1
OG0000153	XP_021697591.1, XP_021697584.1, XP_021697583.1, XP_021697588.1, XP_021697587.1, XP_021697586.1, XP_021697585.1, XP_021697590.1, XP_021697589.1	XP_034191920.1, XP_034191919.1, XP_034191916.1, XP_034191917.1, XP_034191915.1, XP_034191918.1
OG0000154	XP_001662815.2	XP_034183985.1
OG0000156	XP_021696919.1, XP_021712121.1	XP_034172064.1
OG0000157	XP_001655764.1, XP_011493631.1, XP_001655766.1, XP_001655767.1, XP_021702729.1	XP_034178431.1, XP_034178176.1, XP_034178177.1, XP_034178427.1, XP_034178570.1, XP_034178430.1
OG0000158	XP_021696507.1, XP_021696509.1, XP_021698714.1	XP_034177301.1, XP_034177337.1, XP_034177300.1, XP_034177310.1, XP_034177338.1
OG0000160	XP_021709766.1	XP_034176220.1, XP_034176221.1
OG0000160	XP_021707900.1, XP_021710525.1, XP_001662274.1	XP_034182275.1
OG0000161	XP_001656119.2	XP_034182690.1
OG0000162	XP_021694432.1	XP_034185575.1
OG0000162	XP_021706951.1	XP_034184537.1
OG0000163	XP_001662163.1	XP_034192171.1
OG0000164	XP_001654887.2, XP_021701278.1, XP_001654888.2, XP_021697710.1, XP_021695328.1	XP_034196183.1, XP_034195536.1
OG0000165	XP_021697212.1	XP_034181772.1, XP_034181773.1, XP_034181774.1
OG0000165	XP_021704115.1, XP_021704136.1, XP_021704202.1	XP_034193100.1
OG0000166	XP_021694247.1, XP_021704926.1, XP_021704934.1, XP_021704935.1	XP_034172021.1, XP_034172006.1, XP_034171988.1, XP_034171990.1
OG0000169	XP_021702706.1	XP_034195551.1
OG0000170	XP_001654345.1	XP_034186105.1, XP_034186106.1
OG0000170	XP_021699236.1	XP_034186107.1, XP_034186108.1, XP_034186114.1
OG0000171	XP_001654890.1, XP_001654889.1, XP_001654886.2, XP_001656792.2	XP_034175616.1, XP_034175629.1
OG0000173	XP_021694163.1, XP_001649426.1	XP_034193474.1, XP_034193472.1, XP_034193473.1, XP_034193470.1, XP_034193475.1, XP_034193476.1
OG0000174	XP_021704325.1, XP_021704326.1	XP_034180576.1, XP_034180577.1, XP_034180578.1
OG0000175	XP_001654240.1	XP_034180406.1, XP_034180404.1, XP_034180403.1, XP_034180402.1
OG0000177	XP_001651644.2	XP_034175291.1
OG0000177	XP_021707471.1, XP_021707472.1	XP_034176051.1, XP_034176049.1
OG0000177	XP_001651645.1	XP_034176052.1
OG0000178	XP_021707000.1, XP_021706999.1	XP_034190100.1, XP_034190095.1
OG0000179	XP_001655662.1, XP_021712235.1	XP_034186839.1
OG0000180	XP_001654382.1, XP_001654381.1, XP_021693530.1, XP_021693529.1	XP_034190519.1, XP_034190518.1, XP_034190520.1
OG0000181	XP_001656977.3	XP_034175483.1, XP_034175486.1, XP_034175485.1, XP_034175484.1, XP_034175487.1, XP_034175489.1, XP_034175488.1
OG0000183	XP_001655456.2	XP_034184393.1, XP_034184394.1
OG0000183	XP_021704629.1, XP_021704627.1	XP_034184584.1
OG0000184	XP_011493295.2, XP_021702574.1, XP_001655087.1, XP_011493580.2	XP_034172644.1, XP_034172643.1, XP_034172641.1, XP_034172642.1
OG0000185	XP_001651366.1	XP_034191549.1, XP_034191548.1
OG0000186	XP_001658387.1, XP_021710177.1, XP_001652490.2	XP_034172036.1, XP_034172037.1, XP_034172035.1
OG0000187	XP_021703024.1, XP_021703026.1, XP_021703025.1, XP_021703030.1, XP_021703029.1, XP_021703028.1, XP_021703027.1	XP_034184427.1, XP_034184426.1, XP_034184425.1, XP_034184424.1
OG0000188	XP_001656810.1, XP_001656809.1	XP_034183311.1
OG0000188	XP_021704883.1	XP_034174014.1
OG0000189	XP_001655465.2, XP_001655464.2	XP_034173527.1, XP_034173528.1, XP_034173529.1
OG0000190	XP_001660557.1	XP_034178973.1
OG0000191	XP_021708624.1, XP_021708625.1, XP_001651643.2, XP_021711114.1, XP_001658852.2, XP_021709915.1, XP_021708162.1, XP_021706594.1, XP_001647986.1, XP_021707346.1, XP_021705110.1, XP_001661290.1, XP_021706490.1	XP_034193856.1
OG0000192	XP_001664087.2	XP_034188823.1, XP_034188824.1, XP_034188825.1
OG0000194	XP_001658607.2	XP_034172732.1
OG0000196	XP_021709422.1, XP_021709426.1	XP_034182940.1, XP_034182938.1, XP_034182937.1
OG0000197	XP_021697283.1, XP_021697282.1, XP_021697285.1, XP_021697284.1, XP_001661709.1, XP_021697516.1, XP_021697517.1, XP_021697518.1, XP_021697519.1	XP_034180318.1, XP_034180320.1, XP_034180317.1, XP_034180316.1
OG0000200	XP_001655242.1	XP_034194186.1
OG0000201	XP_001663057.1	XP_034190160.1
OG0000201	XP_011493157.1, XP_001652982.2, XP_021711304.1, XP_001659011.2, XP_001659009.1, XP_021712798.1, XP_001654269.2	XP_034190159.1
OG0000202	XP_021695300.1	XP_034179831.1, XP_034179748.1
OG0000203	XP_001662504.2	XP_034187157.1
OG0000203	XP_021697410.1	XP_034176454.1
OG0000204	XP_021704598.1, XP_021704597.1, XP_001656463.1	XP_034178486.1, XP_034178485.1
OG0000205	XP_021697855.1, XP_021697857.1, XP_021697856.1, XP_021697859.1, XP_021697858.1, XP_021697862.1, XP_021697860.1	XP_034188205.1, XP_034188206.1, XP_034188203.1, XP_034188202.1, XP_034188198.1, XP_034188201.1, XP_034188199.1, XP_034188204.1
OG0000206	XP_001651825.1, XP_021704991.1	XP_034186883.1
OG0000207	XP_001650660.1	XP_034176138.1
OG0000207	XP_021698130.1	XP_034183197.1, XP_034183198.1
OG0000208	XP_021698134.1, XP_021698133.1	XP_034183186.1
OG0000208	XP_001653727.1	XP_034182757.1
OG0000209	XP_021711015.1, XP_021711016.1	XP_034184421.1
OG0000210	XP_021702938.1	XP_034195547.1
OG0000210	XP_001655152.2	XP_034177733.1
