Orthogroup	Aedes_aegypti	Megalopta_genalis
OG0000117	XP_001658273.1	XP_033329862.1
OG0000117	XP_021708342.1, XP_021708343.1, XP_021708344.1, XP_021708345.1, XP_021708346.1	XP_033333385.1
OG0000119	XP_021699975.1, XP_021699973.1, XP_021699978.1, XP_021699974.1	XP_033333666.1, XP_033327860.1, XP_033327861.1, XP_033327858.1, XP_033327862.1
OG0000120	XP_021702687.1	XP_033326033.1, XP_033326042.1, XP_033323873.1
OG0000122	XP_021707885.1	XP_033334236.1
OG0000123	XP_001658691.1, XP_021703858.1, XP_021703857.1, XP_021703856.1, XP_021703860.1, XP_021703865.1, XP_021703863.1, XP_021703864.1, XP_021703861.1, XP_021703862.1, XP_021703859.1	XP_033333520.1, XP_033333521.1
OG0000124	XP_021693241.1, XP_021693242.1, XP_021693243.1, XP_021693244.1, XP_021693245.1, XP_021693246.1, XP_021693247.1, XP_021693248.1	XP_033323689.1, XP_033323691.1, XP_033323690.1, XP_033323694.1, XP_033323692.1, XP_033323686.1, XP_033323688.1, XP_033323687.1
OG0000125	XP_001657204.2	XP_033321046.1, XP_033321048.1, XP_033339916.1, XP_033343094.1, XP_033339915.1, XP_033320773.1
OG0000126	XP_021694197.1	XP_033325055.1, XP_033325049.1, XP_033325050.1, XP_033325047.1, XP_033325048.1, XP_033325053.1, XP_033325052.1, XP_033325054.1, XP_033325051.1
OG0000127	XP_021695483.1, XP_021695480.1, XP_021695481.1, XP_021695484.1	XP_033341265.1
OG0000129	XP_021700581.1, XP_021700580.1, XP_021700583.1, XP_001650044.1, XP_021700585.1, XP_021700582.1, XP_021700584.1	XP_033337260.1, XP_033337245.1, XP_033337227.1, XP_033337236.1, XP_033337219.1, XP_033337252.1
OG0000130	XP_021695251.1	XP_033328411.1, XP_033328425.1, XP_033328424.1, XP_033328423.1
OG0000130	XP_021700367.1	XP_033328418.1
OG0000131	XP_021705306.1	XP_033335039.1
OG0000131	XP_021707624.1, XP_021707623.1, XP_021707625.1, XP_001652515.1	XP_033340309.1, XP_033340308.1
OG0000132	XP_001653225.3, XP_021709729.1, XP_021709728.1, XP_021709730.1, XP_021709732.1, XP_021709733.1, XP_021709734.1	XP_033338073.1, XP_033338074.1, XP_033338075.1
OG0000132	XP_021700410.1, XP_001660044.3, XP_001660042.3	XP_033336949.1, XP_033336946.1, XP_033336947.1, XP_033336948.1
OG0000133	XP_021702724.1, XP_021702723.1	XP_033338068.1, XP_033337902.1, XP_033337989.1, XP_033338145.1
OG0000135	XP_021711278.1, XP_021711277.1, XP_001651832.2	XP_033328565.1
OG0000135	XP_021697743.1, XP_021697742.1, XP_001649900.1, XP_021697746.1, XP_021697744.1, XP_021697745.1	XP_033329896.1
OG0000136	XP_021698234.1, XP_001663772.2, XP_001661186.2, XP_021701760.1, XP_021701761.1, XP_021701762.1, XP_001663776.1, XP_021712126.1, XP_001660827.1, XP_001656378.1, XP_001656375.1	XP_033340885.1, XP_033340891.1, XP_033340948.1, XP_033340890.1, XP_033339792.1, XP_033340886.1
OG0000137	XP_021710706.1, XP_021710707.1, XP_021710708.1, XP_021710709.1	XP_033333875.1, XP_033333874.1, XP_033333872.1, XP_033333871.1
OG0000138	XP_021712084.1, XP_021694527.1	XP_033329208.1, XP_033329207.1, XP_033329205.1, XP_033329209.1, XP_033329210.1, XP_033329204.1, XP_033329393.1, XP_033329391.1, XP_033329394.1
OG0000139	XP_001663072.2	XP_033336023.1
OG0000140	XP_021702905.1	XP_033336138.1, XP_033336137.1
OG0000141	XP_021706046.1	XP_033323610.1, XP_033323609.1
OG0000143	XP_021706097.1, XP_021706098.1, XP_021706096.1, XP_021706093.1, XP_021706094.1	XP_033338241.1, XP_033338240.1, XP_033338242.1, XP_033338224.1
OG0000144	XP_001663963.2, XP_001661466.2, XP_001659531.1, XP_021708224.1, XP_001657247.2, XP_021709081.1, XP_021705010.1, XP_001658835.2	XP_033329958.1, XP_033329957.1
OG0000145	XP_001661017.2	XP_033326152.1, XP_033326151.1, XP_033326156.1, XP_033326155.1, XP_033326154.1, XP_033326153.1, XP_033331052.1, XP_033331054.1, XP_033331055.1, XP_033331053.1
OG0000146	XP_001662762.1	XP_033338432.1
OG0000147	XP_021708848.1, XP_001659371.1	XP_033341113.1, XP_033341112.1, XP_033324165.1
OG0000149	XP_021701465.1	XP_033323096.1
OG0000149	XP_021701466.1, XP_021701469.1, XP_021701468.1, XP_021701472.1, XP_021701467.1	XP_033323100.1, XP_033323099.1
OG0000150	XP_021698126.1, XP_021698125.1, XP_021698128.1, XP_021698127.1	XP_033330026.1, XP_033330029.1
OG0000151	XP_021697798.1	XP_033330568.1, XP_033330647.1, XP_033330405.1, XP_033330738.1, XP_033330816.1, XP_033330319.1, XP_033330486.1
OG0000152	XP_001653160.1	XP_033337897.1, XP_033337901.1, XP_033337900.1, XP_033337899.1, XP_033337898.1
OG0000153	XP_021697591.1, XP_021697584.1, XP_021697583.1, XP_021697588.1, XP_021697587.1, XP_021697586.1, XP_021697585.1, XP_021697590.1, XP_021697589.1	XP_033336074.1, XP_033336076.1, XP_033336075.1
OG0000154	XP_001662815.2	XP_033321243.1, XP_033321242.1
OG0000156	XP_021696919.1, XP_021712121.1	XP_033328352.1, XP_033328346.1, XP_033328347.1, XP_033328354.1, XP_033328345.1, XP_033328353.1, XP_033328348.1, XP_033328349.1, XP_033328356.1, XP_033328355.1
OG0000157	XP_001655764.1, XP_011493631.1, XP_001655766.1, XP_001655767.1, XP_021702729.1	XP_033333782.1, XP_033334269.1
OG0000158	XP_021696507.1, XP_021696509.1, XP_021698714.1	XP_033332768.1, XP_033333935.1, XP_033333395.1, XP_033328277.1
OG0000160	XP_021709766.1	XP_033342703.1, XP_033342702.1
OG0000161	XP_001656119.2	XP_033331231.1, XP_033321839.1
OG0000162	XP_021694432.1	XP_033334806.1
OG0000162	XP_021706951.1	XP_033338174.1
OG0000164	XP_001654887.2, XP_021701278.1, XP_001654888.2, XP_021697710.1, XP_021695328.1	XP_033320770.1, XP_033320763.1, XP_033343121.1
OG0000165	XP_021697212.1	XP_033333149.1, XP_033333152.1
OG0000165	XP_021704115.1, XP_021704136.1, XP_021704202.1	XP_033335006.1
OG0000169	XP_021702706.1	XP_033338959.1
OG0000170	XP_001654345.1	XP_033325780.1
OG0000170	XP_021699236.1	XP_033325783.1, XP_033325782.1, XP_033325779.1
OG0000171	XP_001654890.1, XP_001654889.1, XP_001654886.2, XP_001656792.2	XP_033333068.1, XP_033333056.1
OG0000173	XP_021694163.1, XP_001649426.1	XP_033324680.1, XP_033324678.1, XP_033324679.1, XP_033324677.1
OG0000174	XP_021704325.1, XP_021704326.1	XP_033336682.1, XP_033336684.1, XP_033336683.1
OG0000175	XP_001654240.1	XP_033336009.1, XP_033336008.1, XP_033336007.1, XP_033336006.1, XP_033336005.1, XP_033336004.1, XP_033336003.1
OG0000177	XP_001651644.2	XP_033335034.1
OG0000177	XP_021707471.1, XP_021707472.1	XP_033334971.1
OG0000177	XP_001651645.1	XP_033334932.1
OG0000178	XP_021707000.1, XP_021706999.1	XP_033330470.1, XP_033330472.1
OG0000179	XP_001655662.1, XP_021712235.1	XP_033329714.1
OG0000180	XP_001654382.1, XP_001654381.1, XP_021693530.1, XP_021693529.1	XP_033332614.1, XP_033332613.1, XP_033332612.1, XP_033332615.1
OG0000181	XP_001656977.3	XP_033334751.1, XP_033334750.1, XP_033334749.1, XP_033334748.1
OG0000183	XP_001655456.2	XP_033334085.1
OG0000183	XP_021704629.1, XP_021704627.1	XP_033333570.1
OG0000184	XP_011493295.2, XP_021702574.1, XP_001655087.1, XP_011493580.2	XP_033341498.1, XP_033341490.1, XP_033333263.1, XP_033333261.1, XP_033341497.1
OG0000185	XP_001651366.1	XP_033335697.1, XP_033335695.1, XP_033335694.1
OG0000186	XP_001658387.1, XP_021710177.1, XP_001652490.2	XP_033322600.1
OG0000187	XP_021703024.1, XP_021703026.1, XP_021703025.1, XP_021703030.1, XP_021703029.1, XP_021703028.1, XP_021703027.1	XP_033333281.1, XP_033333280.1, XP_033333279.1, XP_033333278.1
OG0000188	XP_021694895.1	XP_033338475.1
OG0000188	XP_001656810.1, XP_001656809.1	XP_033325090.1
OG0000188	XP_021704883.1	XP_033332397.1, XP_033339920.1
OG0000189	XP_001655460.2	XP_033338330.1
OG0000190	XP_001660557.1	XP_033320777.1, XP_033320785.1, XP_033320794.1, XP_033320771.1
OG0000191	XP_021708624.1, XP_021708625.1, XP_001651643.2, XP_021711114.1, XP_001658852.2, XP_021709915.1, XP_021708162.1, XP_021706594.1, XP_001647986.1, XP_021707346.1, XP_021705110.1, XP_001661290.1, XP_021706490.1	XP_033324612.1, XP_033324613.1
OG0000192	XP_001664087.2	XP_033330674.1, XP_033330682.1, XP_033330681.1, XP_033330684.1, XP_033330683.1, XP_033330689.1, XP_033330679.1, XP_033330678.1, XP_033330686.1, XP_033330685.1, XP_033330677.1, XP_033330690.1, XP_033330687.1, XP_033330688.1, XP_033330692.1, XP_033330676.1, XP_033330675.1
OG0000194	XP_001658607.2	XP_033339145.1
OG0000196	XP_021709422.1, XP_021709426.1	XP_033325034.1
OG0000197	XP_021697283.1, XP_021697282.1, XP_021697285.1, XP_021697284.1, XP_001661709.1, XP_021697516.1, XP_021697517.1, XP_021697518.1, XP_021697519.1	XP_033335784.1, XP_033335975.1, XP_033335974.1, XP_033335976.1, XP_033335973.1
OG0000198	XP_021706486.1	XP_033335479.1
OG0000201	XP_001663057.1	XP_033340961.1
OG0000201	XP_011493157.1, XP_001652982.2, XP_021711304.1, XP_001659011.2, XP_001659009.1, XP_021712798.1, XP_001654269.2	XP_033340957.1
OG0000202	XP_021695300.1	XP_033333451.1
OG0000203	XP_001662504.2	XP_033330196.1
OG0000203	XP_021697410.1	XP_033332078.1
OG0000204	XP_021704598.1, XP_021704597.1, XP_001656463.1	XP_033332020.1, XP_033332021.1
OG0000205	XP_021697855.1, XP_021697857.1, XP_021697856.1, XP_021697859.1, XP_021697858.1, XP_021697862.1, XP_021697860.1	XP_033323241.1, XP_033323242.1, XP_033323243.1, XP_033323244.1
OG0000206	XP_001651825.1, XP_021704991.1	XP_033326327.1, XP_033326324.1
OG0000206	XP_001648552.1	XP_033326332.1, XP_033332305.1
OG0000207	XP_001650660.1	XP_033334745.1
OG0000207	XP_021698130.1	XP_033335457.1, XP_033335455.1
OG0000208	XP_021698134.1, XP_021698133.1	XP_033335301.1
OG0000208	XP_001653727.1	XP_033341683.1, XP_033341671.1
OG0000209	XP_021711015.1, XP_021711016.1	XP_033325797.1, XP_033325796.1
OG0000210	XP_021702938.1	XP_033321038.1, XP_033331494.1
OG0000210	XP_001655152.2	XP_033339699.1
OG0000212	XP_001650168.2, XP_001650170.2, XP_001650169.2, XP_021705033.1	XP_033337306.1, XP_033337304.1, XP_033337305.1
