Orthogroup	Nasonia_vitripennis	Tribolium_castaneum
OG0000119	XP_031787150.1, XP_032456419.1, XP_031787154.1, XP_031787143.1, XP_031787149.1, XP_031787146.1, XP_031787160.1, XP_031787140.1	NP_001157311.1
OG0000122	XP_001604760.1	XP_015834556.1
OG0000122	XP_031780275.1, XP_001603886.1, XP_008216017.2	XP_008190630.1, XP_970917.2, NP_001280526.1
OG0000123	XP_032452434.1, XP_001602993.1	XP_001813105.1
OG0000124	XP_031781470.1	XP_015834874.1
OG0000125	XP_008201883.2, XP_031781412.1, XP_031788436.1, XP_031788437.1	XP_975608.1, XP_975649.1, XP_975653.1, XP_015837066.1, XP_975651.1
OG0000126	XP_031784298.1, NP_001161164.1	NP_001034505.1
OG0000127	XP_031782271.1, XP_031782270.1	XP_008201644.1
OG0000127	XP_001606042.2	NP_001280519.1, XP_015839687.1
OG0000129	XP_032454413.1, XP_016839449.1	XP_008192539.1, XP_008192541.1, XP_970374.1, XP_008192542.1, XP_015834648.1
OG0000130	XP_031776696.1	XP_008200083.1
OG0000131	NP_001153335.1, XP_032458192.1	XP_001808435.1
OG0000131	XP_031781148.1, XP_032457466.1, XP_001599092.1, XP_032457465.1	XP_008198189.1, XP_968387.1, XP_008198188.1
OG0000132	XP_031780045.1, XP_032453407.1	XP_008198166.1, XP_015839207.1
OG0000133	XP_031778739.1, XP_031778741.1, XP_008208013.1, XP_031778740.1	XP_975308.3
OG0000135	XP_001603134.1	XP_015833857.1, XP_008194086.1
OG0000135	XP_001603371.1	XP_008190640.1, XP_008190639.1
OG0000136	XP_008208307.1	XP_971514.1, XP_971572.1
OG0000137	XP_016841737.2	XP_015835481.1, XP_015835482.1, XP_015835483.1, XP_015835484.1, XP_015835486.1, XP_015835485.1
OG0000138	XP_031787653.1, XP_001605659.1	XP_015840574.1, XP_967720.2, XP_015840573.1
OG0000139	XP_031783357.1, XP_001606341.1, XP_016838561.1, XP_001602751.1, XP_008204858.1, XP_032452316.1, XP_032452315.1, XP_008216641.1	XP_001808164.2, XP_967589.2, XP_967061.2, XP_015838049.1
OG0000140	XP_003424447.1	XP_008194986.1, XP_008194985.1, XP_008195037.1, XP_015836615.1, XP_008195039.1, XP_971347.1, XP_971406.1
OG0000141	XP_032458118.1, XP_032458115.1, XP_032458114.1, XP_031789200.1	XP_015833202.1
OG0000143	XP_008203875.1, XP_003425736.1, XP_001605275.2, XP_032454553.1	XP_008192676.1
OG0000144	XP_001600430.1, XP_031777854.1, XP_016839327.2, NP_001153417.1, XP_032453317.1, XP_032453316.1, NP_001164332.1	NP_001164245.1, XP_008197349.1, NP_001164202.1, NP_001107851.1, NP_001164358.1, NP_001164335.1, XP_008197347.1, NP_001164204.1
OG0000145	XP_001607062.1	XP_008193348.1
OG0000146	XP_016840249.1	XP_966544.1, XP_001811608.2
OG0000146	XP_032452549.1, XP_001602324.1	XP_974294.1
OG0000147	XP_001600440.1, XP_001602387.1	XP_966688.1
OG0000149	XP_001606233.2	XP_008191323.1
OG0000150	XP_031781028.1, XP_031781038.1, XP_032457432.1	XP_015838556.1, XP_015838555.1, XP_015838554.1
OG0000151	XP_003426709.1	XP_969439.1, XP_015840091.1
OG0000152	XP_003425682.1, XP_032454103.1, XP_016839188.1, XP_008203561.1, XP_008203562.1, XP_032454105.1, XP_032454104.1, XP_032454106.1, XP_008203564.1, XP_008203563.1	XP_966734.2
OG0000153	XP_031778705.1, XP_031778704.1, XP_031778706.1	XP_970869.1, XP_008195606.1
OG0000154	XP_008203624.1, XP_008205027.1, XP_031788668.1, XP_008203596.1	XP_008195104.1
OG0000155	XP_031788826.1	XP_015840329.1
OG0000155	XP_016845054.1	XP_008194121.1, XP_015840334.1
OG0000155	XP_031781360.1, XP_031789237.1, XP_008214569.1, XP_031777466.1, XP_031781363.1	XP_015840229.1, XP_015840425.1
OG0000156	XP_031782954.1, XP_031782971.1, XP_032457184.1, XP_031782949.1, XP_031782945.1	XP_008199571.1, XP_008199569.1, XP_008199570.1
OG0000157	NP_001166055.1, NP_001166050.1, XP_031777515.1, NP_001166083.1, NP_001166080.1, XP_031776689.1, NP_001166084.1, NP_001166081.1, NP_001155076.1, XP_031781530.1, XP_032456198.1, XP_031788611.1	NP_001161084.1, XP_008194710.1, NP_001161130.1
OG0000158	NP_001166006.1, NP_001166005.1, XP_003426453.2, XP_016840739.1, XP_031785765.1, XP_016840738.1	XP_008198818.1
OG0000160	XP_008204617.1	XP_008199283.1
OG0000160	XP_003424871.1, XP_003424872.1	XP_967023.4
