Orthogroup	Nasonia_vitripennis	Solenopsis_invicta
OG0000039	XP_031778424.1	XP_011156429.1, XP_039311353.1, XP_039306735.1, XP_039312872.1, XP_025996405.1, XP_039303491.1, XP_039306765.1, XP_025995650.1, XP_039315519.1, XP_025996976.1, XP_011161413.1, XP_039307954.1, XP_011164139.3, XP_039315258.1, XP_039309669.1, XP_011171625.1, XP_039306397.1, XP_039304359.1, XP_011170179.1, XP_039301770.1, XP_039311331.1, XP_039303495.1, XP_039303407.1, XP_039303449.1, XP_039312874.1, XP_039315492.1, XP_039312525.1, XP_039311327.1, XP_039305149.1, XP_025994381.1, XP_011162982.1, XP_039315449.1, XP_039309120.1, XP_039310752.1, XP_039304385.1, XP_011169959.1, XP_039301724.1, XP_039303416.1, XP_025985703.1, XP_011160646.1, XP_039303925.1, XP_011163115.1, XP_011164143.1, XP_011156930.1, XP_039311301.1, XP_011170898.1
OG0000040	NP_001166071.1, XP_001607047.2, XP_016836762.1, XP_008203154.1, NP_001166072.1	XP_011164376.1, XP_011164378.1
OG0000040	XP_031787073.1	XP_011157958.2, XP_011160398.1
OG0000040	XP_001607871.2, XP_031788471.1, XP_031783595.1, XP_032452313.1, XP_032456102.1, XP_016837475.1, XP_016836866.1, NP_001166253.1, XP_032457056.1, NP_001166073.1	XP_039308303.1, XP_011155953.3, XP_025987097.2, XP_039308361.1, XP_039303181.1
OG0000040	NP_001166069.1, XP_016838948.1, NP_001166068.1, XP_016838625.2, XP_001605658.3, XP_031779738.1	XP_011155958.2, XP_025987203.2
OG0000040	XP_032453050.1, NP_001166054.1, XP_016837013.1	XP_011170816.1
OG0000041	XP_032453601.1, NP_001157191.1, NP_001157192.1	XP_011173672.1, XP_011173741.1
OG0000041	XP_001600960.1	XP_039304943.1, XP_039304942.1, XP_011173639.1
OG0000041	XP_001601342.1	XP_011173634.1, XP_011173641.1
OG0000041	XP_001601504.1, XP_016845814.1	XP_011167847.1
OG0000042	XP_008205137.1, XP_008205135.1, XP_008205136.1	XP_025988401.1, XP_025988400.1
OG0000042	XP_003425691.1, XP_032453872.1, XP_032453871.1, XP_031783785.1, XP_031783782.1, XP_031783784.1, XP_031783783.1	XP_025993549.1, XP_011172554.1
OG0000043	XP_008208463.1	XP_011166108.1
OG0000044	XP_031787739.1	XP_039306340.1, XP_025986513.2
OG0000044	XP_031788192.1	XP_025986451.2, XP_025986364.1, XP_025986365.1, XP_025986366.1, XP_025986367.1
OG0000045	XP_001604688.1, XP_001604507.3, XP_001604459.1	XP_011157503.2
OG0000045	NP_001153339.1, NP_001153340.1	XP_011156768.2
OG0000045	XP_001604662.2	XP_025992324.2
OG0000045	XP_032454987.1, XP_031784367.1	XP_039312826.1
OG0000046	XP_001604460.2	XP_011168512.1
OG0000046	XP_032452163.1, NP_001166228.1	XP_011168531.1
OG0000046	XP_001608044.1	XP_039310878.1, XP_039310880.1, XP_039310879.1
OG0000048	XP_016841096.1	XP_011160449.2, XP_039303831.1
OG0000049	XP_031783961.1	XP_039302752.1, XP_039313275.1, XP_039310745.1, XP_039312988.1, XP_039315632.1
OG0000049	XP_031789254.1, XP_031781108.1, XP_008212920.1	XP_011166542.2
OG0000049	XP_031781361.1, XP_031777338.1, XP_031789251.1, XP_031785875.1	XP_039303155.1
OG0000049	XP_031784018.1, XP_031785674.1	XP_039302674.1, XP_039303372.1, XP_039304370.1, XP_025997858.2, XP_039315445.1, XP_025997875.2, XP_039315238.1, XP_025992395.2, XP_039310999.1, XP_039308535.1, XP_039308574.1, XP_039312526.1, XP_039312758.1, XP_039307673.1, XP_039302736.1, XP_039302387.1, XP_039307694.1, XP_039306461.1, XP_039301800.1, XP_025992494.2
OG0000050	NP_001165950.1, XP_003427743.2, XP_001602331.2, NP_001165951.1, XP_032455970.1, NP_001165962.1, NP_001165960.1, NP_001165958.1, NP_001165947.1, XP_008212266.2	XP_039305304.1, XP_039305308.1, XP_039305204.1, XP_011163179.1, XP_039310190.1, XP_025987483.2, XP_039310191.1
OG0000052	XP_001607313.2	XP_039313337.1
OG0000052	XP_031779622.1, XP_003428054.1, XP_031776989.1, XP_001601084.2, XP_001602124.1, XP_016837116.1, XP_001602148.2, XP_001600160.2, XP_016838653.2, XP_008207931.1, XP_001602097.1, XP_031778518.1, XP_032452509.1, XP_016838309.1, XP_031778517.1, XP_031778516.1, XP_001600185.1, XP_001602071.1	XP_011160846.1
OG0000052	XP_001602874.2	XP_025995966.1
OG0000054	XP_031780340.1, XP_031779198.1, NP_001166267.1, XP_032453034.1	XP_011164393.2
OG0000054	XP_016837121.1, XP_001602743.1, NP_001161317.1, XP_031780215.1, XP_031780249.1, XP_001602894.2	XP_011164215.1, XP_011164214.2
OG0000055	XP_001602853.1	XP_039311167.1
OG0000055	XP_008215920.1	XP_039311121.1
OG0000055	XP_032454549.1	XP_011169776.2
OG0000055	XP_001600035.1, XP_008208159.3	XP_011162045.1
OG0000056	XP_031780252.1	XP_039301684.1
OG0000056	XP_001604931.2	XP_025992809.2
OG0000056	XP_008202999.3	XP_011167471.3
OG0000056	XP_008204847.1	XP_039313454.1
OG0000056	XP_032455826.1	XP_039306715.1
OG0000057	XP_031785452.1	XP_011165693.1
OG0000057	XP_001602360.1	XP_011161996.1
OG0000057	XP_003427519.1	XP_011165692.1
OG0000058	NP_001177491.1	XP_011160196.3, XP_039304404.1, XP_011166290.1, XP_011160197.2, XP_039304698.1, XP_039304395.1, XP_039304704.1, XP_039304706.1
OG0000059	XP_003424241.1	XP_039303962.1, XP_039303426.1
OG0000059	XP_031782976.1, XP_031781093.1, XP_031783872.1	XP_025997481.2
OG0000059	XP_008214724.1	XP_025993817.1, XP_039302107.1, XP_039302911.1, XP_025995022.2
OG0000059	XP_031778828.1	XP_039304379.1, XP_011171889.2
OG0000060	XP_031784439.1, XP_031784422.1, XP_031784431.1	XP_011166599.1, XP_039312995.1, XP_039313020.1
OG0000060	XP_008205703.1, XP_016845553.1, XP_016845554.1, XP_016845551.1, XP_016845552.1	XP_011166588.1, XP_039313855.1, XP_039313856.1
OG0000061	XP_031786737.1, NP_001164380.1	XP_039302873.1, XP_039310102.1
OG0000063	XP_031784224.1	XP_025997464.2
OG0000063	XP_032458024.1	XP_039310407.1
OG0000063	XP_031784373.1, XP_032457267.1	XP_039310558.1, XP_039310562.1, XP_039314694.1, XP_039304383.1, XP_011171114.2
OG0000063	XP_031781630.1, XP_031782179.1, XP_031784220.1	XP_039303555.1, XP_025989898.1, XP_011171877.1, XP_039306356.1, XP_039309572.1, XP_039315364.1
OG0000065	XP_001606156.1, XP_016836539.1, XP_016836538.1, XP_016836540.1, XP_008215330.1, XP_008215325.1, XP_008215326.1	XP_011161811.1, XP_039309142.1, XP_025991903.1, XP_011161836.1, XP_011161820.1
OG0000065	XP_032454719.1, XP_032453000.1, XP_008205745.1, XP_031776818.1, XP_001607018.2	XP_039308740.1, XP_011176028.1, XP_011176027.2, XP_039307834.1, XP_039307956.1, XP_011165754.1, XP_039313781.1, XP_039313721.1, XP_039307833.1, XP_039313722.1, XP_011164020.1, XP_039307832.1, XP_039307645.1, XP_039308148.1, XP_025994478.1
OG0000066	XP_031784236.1	XP_039306035.1
OG0000066	XP_031781387.2	XP_039302943.1
OG0000066	XP_016843120.1, XP_031784228.1	XP_011173934.3, XP_025996408.2, XP_039303305.1
OG0000067	XP_001605420.2	XP_011168949.1
OG0000067	XP_031782248.1	XP_011157858.1, XP_025991420.1
OG0000067	XP_008209138.1	XP_025989655.1
OG0000068	XP_016843017.2, XP_016844168.1, XP_032457246.1, XP_001605652.1, XP_031778765.1, XP_008209196.1, XP_031777573.1, XP_031789062.1, XP_032456103.1, XP_031781861.1, XP_032457240.1, XP_031779801.1, XP_016844694.1, XP_016843061.1, XP_008212693.2, XP_031784178.1, XP_031783922.1, XP_031777069.1, XP_031788795.1	XP_039311052.1, XP_011170894.1
OG0000069	XP_031782526.1, XP_032453936.1	XP_039305623.1
OG0000069	XP_008210453.1, XP_031787743.1, XP_031787545.1, XP_032457315.1, XP_031777449.1, XP_031777448.1, XP_001603733.2, XP_032453221.1, XP_032453241.1, XP_031777616.1, XP_031777617.1	XP_025987486.1
OG0000070	NP_001177478.1, NP_001177482.1, XP_031786746.1, NP_001177477.1, NP_001177476.1, NP_001177475.1, NP_001177474.1, NP_001177471.1, NP_001177473.1, NP_001177468.1, NP_001177472.1, XP_032455989.1, NP_001177470.1, XP_032455987.1, NP_001177469.1, XP_032456565.1, NP_001177483.1, NP_001177484.1, XP_016841002.1, XP_032455990.1, NP_001177485.1, NP_001177479.1, NP_001177480.1, NP_001177481.1, XP_016841000.2	XP_039308666.1, XP_025985811.2, XP_025985886.1, XP_039308665.1, XP_039308664.1, XP_039308741.1
OG0000071	XP_032455647.1, XP_032455648.1, XP_031784195.1, XP_031785865.1, XP_016845893.1	XP_025993345.1
OG0000071	XP_016840145.2	XP_039312667.1, XP_025987085.2
OG0000071	XP_008215689.1	XP_039304072.1, XP_039304071.1, XP_039304070.1
OG0000072	XP_031781779.1, XP_031785939.2, XP_031789121.2, XP_031782947.1, XP_031789119.1, XP_031788988.1	XP_025997019.2, XP_025997557.1, XP_039303521.1, XP_039311956.1, XP_039302140.1, XP_039310613.1, XP_011172234.2, XP_039303613.1
OG0000072	XP_031785438.1, XP_031788954.1, XP_031788955.1, XP_031781661.1, XP_031786050.1, XP_031777035.1, XP_031777321.1	XP_039311158.1, XP_039315247.1
OG0000072	XP_008213440.1	XP_011174276.1, XP_039303571.1
OG0000072	XP_031789247.1	XP_039315631.1, XP_039308736.1, XP_039310326.1, XP_025996423.2, XP_039307110.1, XP_039310078.1
OG0000073	XP_031786450.1, XP_003428114.1, XP_003428113.1	XP_011157914.1
OG0000074	XP_008207498.1, XP_031787381.1	XP_011157636.1, XP_025987236.2, XP_025987238.1, XP_039314707.1
OG0000076	XP_031788956.1, XP_031778430.1, XP_031789008.1	XP_039312428.1, XP_011164066.1, XP_039303422.1
OG0000077	XP_003423914.1	XP_039302621.1, XP_039302625.1, XP_039315173.1, XP_039315174.1, XP_039315175.1, XP_039310516.1, XP_039315171.1, XP_039315172.1, XP_039302627.1, XP_039302624.1, XP_039306266.1, XP_039309147.1, XP_039309148.1, XP_039309146.1, XP_039306562.1, XP_039306405.1, XP_039303879.1, XP_039303880.1, XP_039308266.1, XP_039308272.1
OG0000077	XP_001605700.1, XP_008203901.1	XP_039304084.1, XP_039313109.1, XP_011160421.1, XP_039312541.1, XP_039312459.1, XP_039312511.1, XP_039312512.1, XP_039312737.1, XP_039312644.1, XP_025993195.1
OG0000078	XP_031781939.1, NP_001177509.1, NP_001177508.1, XP_031781938.1, NP_001177507.1, NP_001177506.1	XP_039309962.1, XP_039310440.1, XP_011156215.2, XP_039309961.1, XP_039310430.1, XP_039309963.1, XP_011155704.2, XP_011155659.3, XP_011155817.3, XP_039309966.1, XP_011156294.1, XP_039310434.1, XP_011155782.2, XP_011155805.2, XP_025991287.2, XP_039309964.1
OG0000079	XP_031783468.1	XP_025987034.1, XP_025987035.1
OG0000080	XP_016838697.1, XP_001600017.1	XP_039313662.1, XP_011161097.1, XP_011161096.1
OG0000080	XP_001600048.1	XP_025995013.1
OG0000080	XP_016838620.1	XP_011173727.1
OG0000081	NP_001177502.1	XP_025987230.1, XP_039314328.1, XP_039314324.1
OG0000081	NP_001164391.1, NP_001177501.1, XP_031786138.1	XP_011174507.3, XP_025987271.2, XP_011174500.3
OG0000082	XP_003427814.1	XP_039315682.1, XP_039315686.1, XP_039315687.1, XP_039315688.1, XP_039315689.1, XP_039315684.1, XP_039315685.1
OG0000083	XP_008214028.1, XP_008212142.1	XP_011169786.1, XP_011167579.1, XP_011175784.1, XP_039303505.1
OG0000083	XP_031783888.1, XP_031782195.1, XP_031779861.1, XP_008214443.1, XP_008212032.1, XP_031779746.1, XP_008202330.2, XP_016843264.1, XP_031781094.1, XP_031788958.1, XP_031781100.1, XP_031788378.1, XP_031783911.1	XP_039309918.1, XP_039303503.1, XP_039311967.1, XP_011169881.1, XP_025994761.2, XP_025997387.2, XP_039303927.1, XP_039312445.1, XP_039314871.1, XP_011167206.1, XP_011174675.3, XP_025994696.2, XP_039315406.1, XP_011168851.2, XP_025996074.1, XP_039303955.1
OG0000084	XP_001600141.2	XP_011155844.1
OG0000084	NP_001161311.1	XP_039310256.1, XP_011155840.3
OG0000084	NP_001161297.1, NP_001161274.1, NP_001161305.1	XP_011155335.1
OG0000086	XP_031786740.1, NP_001166061.1	XP_039314702.1, XP_039314703.1, XP_039314704.1, XP_039314705.1, XP_025990739.2
OG0000086	XP_008207491.1	XP_011155770.1
OG0000086	XP_008218019.2	XP_011160046.2, XP_039311358.1, XP_039311357.1, XP_025989233.2
OG0000087	NP_001153410.1, NP_001153411.1	XP_025989498.1, XP_011170042.2
OG0000089	XP_016843743.1	XP_039308778.1, XP_011166981.2, XP_011166985.2
OG0000089	XP_032457600.1, XP_031781522.1, XP_031781523.1, XP_003426759.1, XP_001601215.1, XP_001600717.1, XP_008212854.1, XP_031787101.1, XP_031781533.1, XP_001600653.1, XP_008207762.1, XP_001600905.2, XP_001600876.1, XP_001600931.2	XP_011171848.1
OG0000090	XP_031781279.1, XP_031785958.1	XP_039304169.1, XP_011174534.3, XP_039313194.1, XP_039303165.1, XP_039314249.1, XP_039304817.1, XP_039307240.1, XP_039310902.1, XP_025994869.2, XP_039302871.1, XP_039302874.1, XP_039310987.1
OG0000090	XP_031777007.1	XP_011157440.1, XP_039303621.1, XP_025995823.2, XP_039305402.1, XP_039302928.1
OG0000091	XP_016842346.1, XP_016842349.1, XP_001606111.2, XP_016842348.1, XP_001606152.2	XP_011175219.1, XP_011175223.1, XP_011175233.1
OG0000092	NP_001153343.1	XP_011175720.1, XP_011175721.1
OG0000092	XP_001599003.1	XP_011162964.1
OG0000093	XP_008205782.1, XP_008212379.1, XP_031788023.1	XP_011169943.1, XP_011174429.2
OG0000093	XP_008205360.1	XP_025991744.2, XP_039309657.1
OG0000093	XP_031789189.1	XP_025997554.2
OG0000093	XP_031781097.1	XP_025997695.2, XP_039308825.1, XP_039312413.1
OG0000093	XP_031788001.1, XP_031783867.1, XP_008205373.1, XP_031789320.1, XP_016841922.2, XP_031789146.1, XP_031781374.1, XP_031788904.1	XP_011162834.1, XP_011157346.1, XP_039302213.1
OG0000094	XP_008208123.2, XP_001606944.4, XP_001606857.1, XP_008201862.1, XP_001606385.1	XP_039302038.1, XP_039302037.1, XP_039302036.1, XP_025991363.1
OG0000094	XP_001605100.1	XP_039303166.1
