Orthogroup	Nasonia_vitripennis	Bombus_terrestris
OG0000036	XP_001607369.1, XP_031776621.1, XP_032451907.1, XP_032451908.1, XP_008215341.1, NP_001155022.1, XP_031776641.1, XP_003423856.1, XP_032451911.1, XP_016845877.1, XP_008215340.1	XP_003401252.1, XP_012172397.1, XP_012175443.1
OG0000037	XP_008216622.1, XP_008216623.1	XP_003403001.3
OG0000038	XP_001607699.1, XP_001604160.1	XP_003396169.1, XP_003399700.1
OG0000038	XP_031786847.1, XP_032452100.1	XP_012172201.2
OG0000039	XP_031778424.1	XP_012174864.1, XP_012175480.1, XP_020721430.1, XP_012175491.1, XP_012173831.1, XP_012171920.1, XP_012169517.1, XP_020723949.1, XP_012171921.1, XP_020723189.1, XP_012173748.1
OG0000040	NP_001166071.1, XP_001607047.2, XP_016836762.1, XP_008203154.1, NP_001166072.1	XP_003402742.1
OG0000040	XP_001607871.2, XP_031788471.1, XP_031783595.1, XP_032452313.1, XP_032456102.1, XP_016837475.1, XP_016836866.1, NP_001166253.1, XP_032457056.1, NP_001166073.1	XP_003393535.1
OG0000040	XP_032453050.1, NP_001166054.1, XP_016837013.1	XP_012164479.1
OG0000041	XP_032453601.1, NP_001157191.1, NP_001157192.1	XP_003396989.1, XP_003396990.1
OG0000041	XP_001600960.1	XP_003394488.1
OG0000041	XP_001601342.1	XP_003394490.1
OG0000041	XP_001601504.1, XP_016845814.1	XP_003399722.1
OG0000042	XP_008205137.1, XP_008205135.1, XP_008205136.1	NP_001272327.1, XP_012163186.1
OG0000042	XP_003425691.1, XP_032453872.1, XP_032453871.1, XP_031783785.1, XP_031783782.1, XP_031783784.1, XP_031783783.1	NP_001267818.1
OG0000043	XP_008208463.1	XP_003392868.1
OG0000044	XP_031788192.1	XP_020723251.1
OG0000045	XP_001604688.1, XP_001604507.3, XP_001604459.1	XP_003395914.2
OG0000045	NP_001153339.1, NP_001153340.1	XP_003403314.1, XP_020719958.1, XP_003402225.2
OG0000045	XP_001604662.2	XP_012164669.1
OG0000045	XP_032454987.1, XP_031784367.1	XP_020718668.1, XP_020718669.1, XP_020718666.1, XP_020718667.1, XP_020718665.1, XP_020718671.1, XP_020718670.1
OG0000046	XP_001604460.2	XP_012176148.2
OG0000046	XP_032452163.1, NP_001166228.1	XP_003397462.1
OG0000048	XP_003426470.1	XP_020720389.1
OG0000048	XP_016841096.1	XP_020720387.1, XP_020720390.1, XP_012166851.1
OG0000050	NP_001165950.1, XP_003427743.2, XP_001602331.2, NP_001165951.1, XP_032455970.1, NP_001165962.1, NP_001165960.1, NP_001165958.1, NP_001165947.1, XP_008212266.2	XP_003398997.1
OG0000050	XP_008216259.1, XP_001608200.1	XP_003396910.2
OG0000052	XP_001607313.2	XP_003397480.1
OG0000052	XP_031779680.1, XP_016838631.1	XP_003397483.1
OG0000054	XP_031780340.1, XP_031779198.1, NP_001166267.1, XP_032453034.1	XP_012175318.1
OG0000054	XP_016837121.1, XP_001602743.1, NP_001161317.1, XP_031780215.1, XP_031780249.1, XP_001602894.2	XP_003402283.1, XP_003403304.1, XP_003403303.1
OG0000055	XP_001602853.1	XP_003401668.1, XP_020722884.1
OG0000055	XP_008215920.1	XP_012170773.1
OG0000055	XP_032454549.1	XP_020718283.1
OG0000055	XP_001600035.1, XP_008208159.3	XP_012170213.1
OG0000056	XP_031780252.1	XP_020723650.1
OG0000056	XP_001604931.2	XP_020721195.1
OG0000056	XP_008202999.3	XP_003399457.3
OG0000056	XP_008204847.1	XP_020723637.1
OG0000056	XP_032455826.1	XP_020718834.1
OG0000056	XP_031784842.1	XP_020720993.1
OG0000057	XP_031785452.1	XP_003395180.1
OG0000057	XP_001602360.1	XP_003400373.1
OG0000057	XP_003427519.1	XP_003395170.1
OG0000057	XP_001600234.1, XP_001606290.1	XP_003395225.1
OG0000058	NP_001177491.1	XP_020722072.1, XP_020723333.1, XP_012173473.1, XP_012173466.1, XP_003397834.1, XP_020720441.1, XP_003403225.1, XP_012164723.2, XP_020719146.1, XP_020719100.1, XP_020720439.1, XP_020720438.1, XP_012167402.1
OG0000060	XP_008205703.1, XP_016845553.1, XP_016845554.1, XP_016845551.1, XP_016845552.1	XP_020721716.1
OG0000061	XP_031786737.1, NP_001164380.1	XP_003392898.1
OG0000062	XP_003425371.1	XP_012169969.1
OG0000062	XP_032453005.1, XP_001604985.1	XP_012170000.1
OG0000062	XP_008202211.1	XP_020722101.1
OG0000065	XP_001606156.1, XP_016836539.1, XP_016836538.1, XP_016836540.1, XP_008215330.1, XP_008215325.1, XP_008215326.1	XP_003398334.1
OG0000065	XP_032454719.1, XP_032453000.1, XP_008205745.1, XP_031776818.1, XP_001607018.2	XP_012168045.1, XP_012168044.1, XP_003403408.2, XP_003398335.1
OG0000067	XP_001605420.2	XP_003397328.1
OG0000067	XP_031788440.1	XP_012169196.1
OG0000067	XP_031782248.1	XP_020722094.1
OG0000067	XP_008209138.1	XP_020722130.1
OG0000069	XP_008210453.1, XP_031787743.1, XP_031787545.1, XP_032457315.1, XP_031777449.1, XP_031777448.1, XP_001603733.2, XP_032453221.1, XP_032453241.1, XP_031777616.1, XP_031777617.1	XP_012169151.1, XP_020721324.1
OG0000069	XP_031781625.1, XP_001600831.2, XP_001603386.1, XP_016840218.1, XP_001603747.1, XP_001603802.1	XP_003399002.1
OG0000070	NP_001177478.1, NP_001177482.1, XP_031786746.1, NP_001177477.1, NP_001177476.1, NP_001177475.1, NP_001177474.1, NP_001177471.1, NP_001177473.1, NP_001177468.1, NP_001177472.1, XP_032455989.1, NP_001177470.1, XP_032455987.1, NP_001177469.1, XP_032456565.1, NP_001177483.1, NP_001177484.1, XP_016841002.1, XP_032455990.1, NP_001177485.1, NP_001177479.1, NP_001177480.1, NP_001177481.1, XP_016841000.2	XP_012167492.2, XP_012167490.1, XP_020720119.1
OG0000073	XP_031786450.1, XP_003428114.1, XP_003428113.1	XP_012166351.1, XP_003393341.1, XP_003393340.1, XP_003393343.1, XP_012166402.1
OG0000074	XP_008207498.1, XP_031787381.1	XP_012175299.1
OG0000077	XP_003423914.1	NP_001267840.1
OG0000077	XP_001605700.1, XP_008203901.1	XP_012166572.2
OG0000078	XP_031781939.1, NP_001177509.1, NP_001177508.1, XP_031781938.1, NP_001177507.1, NP_001177506.1	XP_020723334.1, XP_020723842.1
OG0000079	XP_031783468.1	XP_020718409.1, XP_020718415.1, XP_020718406.1, XP_020718407.1, XP_020718414.1, XP_020718413.1, XP_020718410.1, XP_020718412.1
OG0000080	XP_016838697.1, XP_001600017.1	XP_003399522.1
OG0000080	XP_001600048.1	XP_012169830.1
OG0000080	XP_016838620.1	XP_012169831.1
OG0000081	NP_001164391.1, NP_001177501.1, XP_031786138.1	XP_003401176.1
OG0000082	XP_016845753.1	XP_012171772.1
OG0000084	XP_001600141.2	XP_003393657.1
OG0000084	NP_001161311.1	XP_012172250.1
OG0000084	NP_001161297.1, NP_001161274.1, NP_001161305.1	XP_003400023.1
OG0000085	XP_008205560.1, XP_032455585.1, XP_001604903.1, XP_031785409.1	XP_012164376.1, XP_003395843.1, XP_012164375.1, XP_012164374.1
OG0000086	XP_031786740.1, NP_001166061.1	XP_003401334.1
OG0000086	XP_008218019.2	XP_012172254.1
OG0000087	NP_001153410.1	XP_020722624.1
OG0000087	NP_001153411.1	XP_012172367.1
OG0000087	XP_001603938.2	XP_012172361.1, XP_012172362.1, XP_012172358.1, XP_012172360.1, XP_012172363.1
OG0000087	XP_003425364.1, XP_001604204.2	XP_012172366.1
OG0000089	XP_016843743.1	XP_003397324.1, XP_003397322.1, XP_003397323.1, XP_012166700.1, XP_012166697.1
OG0000089	XP_032457600.1, XP_031781522.1, XP_031781523.1, XP_003426759.1, XP_001601215.1, XP_001600717.1, XP_008212854.1, XP_031787101.1, XP_031781533.1, XP_001600653.1, XP_008207762.1, XP_001600905.2, XP_001600876.1, XP_001600931.2	XP_003396210.1
OG0000090	XP_031777007.1	XP_012174871.1
OG0000091	XP_016842346.1, XP_016842349.1, XP_001606111.2, XP_016842348.1, XP_001606152.2	XP_020721177.1, XP_003402576.2, XP_020721343.1, XP_012169463.2
OG0000092	NP_001153343.1	XP_020718989.1, XP_003395974.1
OG0000092	XP_016843499.1	XP_020718993.1, XP_020718992.1, XP_003395973.1
OG0000092	XP_001599003.1	XP_003400287.1, XP_012171069.1
OG0000094	XP_008208123.2, XP_001606944.4, XP_001606857.1, XP_008201862.1, XP_001606385.1	XP_012164578.1
OG0000094	XP_001605100.1	XP_012170607.1
OG0000094	XP_001600571.1	XP_003399925.2
OG0000095	XP_031783038.1, NP_001165978.1, NP_001165932.1, XP_001601822.2, NP_001165935.1, XP_031785516.1, XP_008213359.1, XP_031781916.1, NP_001165938.1, NP_001165934.1, XP_016841077.1, NP_001165987.1, NP_001352146.1, XP_016840411.1, NP_001165985.1	XP_003398964.1
OG0000096	XP_008209422.1	XP_003400671.1, XP_003400637.1
OG0000096	XP_031777519.1, NP_001128139.2, XP_001600140.2, XP_008210082.1, XP_032454795.1, XP_008210079.1	XP_003395393.1, XP_012166067.2
OG0000097	XP_001600781.1	XP_012170206.1, XP_003399689.1
OG0000097	NP_001166227.1, XP_008208182.1	XP_012173498.1, XP_020723033.1
OG0000098	XP_032454809.1, XP_032454803.1, XP_032454802.1, XP_032454801.1, XP_032454800.1, XP_032454805.1, XP_031786230.1, XP_016843896.1, XP_032454811.1, XP_032454806.1, XP_001603053.2, XP_032454810.1, XP_032454799.1, XP_032454808.1, XP_032454807.1	XP_012168084.1, XP_012168083.1, XP_012168086.1, XP_012168085.1, XP_003398369.1
OG0000099	XP_008207065.2	XP_020722786.1
OG0000099	XP_031785392.1	XP_020722424.1
OG0000100	XP_008215741.1, XP_008215742.1, XP_031787872.1, XP_032457061.1, XP_016844119.1	XP_003399794.1, XP_020721436.1, XP_020721435.1, XP_012170386.1, XP_012170387.1, XP_012170385.1, XP_012170380.1, XP_012170379.1
OG0000101	XP_016842653.2	XP_003397360.1
OG0000101	NP_001155060.1	XP_020719744.1
OG0000102	XP_031786135.1	XP_020722917.1
OG0000102	XP_031786805.1	XP_012173277.1
OG0000103	XP_031786310.1, XP_001604969.2	XP_012168399.1
OG0000106	NP_001177643.1, NP_001177620.1, NP_001177621.1	XP_003393433.2, XP_012164627.2
OG0000108	XP_001600108.2, NP_001136332.1, XP_031777794.1, XP_008213502.1, XP_016842778.1	XP_012174803.1
OG0000109	XP_031780775.1, XP_032452756.1, XP_008217859.1, XP_008217864.1, XP_016837633.1	XP_003398706.1, XP_003398707.1
OG0000110	XP_008201867.1	XP_003400537.1, XP_012171442.1, XP_012171440.1, XP_012171439.1, XP_003400818.1
OG0000111	XP_008217621.1, XP_008217622.1, XP_016837442.1	XP_012165042.1
OG0000111	XP_001605587.3	XP_012173034.1
OG0000112	XP_003425489.1	XP_012168598.1, XP_020720998.1, XP_012168597.1, XP_012168596.1, XP_012168595.1
OG0000112	XP_031780635.1	XP_012163934.1
OG0000113	XP_001603394.1, XP_008204873.1, XP_001603447.1	XP_020718272.1, XP_003394925.1
OG0000114	XP_031785569.1, NP_001155077.1	XP_020718755.1
OG0000114	XP_031788613.1, NP_001155043.1, XP_032454692.1	XP_020718756.1
OG0000115	NP_001165922.1, NP_001165921.1, NP_001165923.1	XP_003395150.1, XP_003395075.1
OG0000115	NP_001165920.1, XP_008203102.1, XP_008203103.1, XP_032452848.1, XP_032457577.1, NP_001165924.1, NP_001165919.1, NP_001165918.1	XP_012163601.1
OG0000116	XP_031779751.1, XP_031779749.1, XP_031779753.1, XP_032451719.1, XP_031779741.1, XP_031779737.1, XP_032451720.1, XP_032451721.1	XP_012167612.1, XP_020720167.1, XP_020720163.1, XP_020720164.1, XP_020720166.1, XP_012167610.1, XP_012167613.1, XP_020720165.1, XP_003397905.1, XP_003397904.1, XP_012167611.1, XP_003397903.1, XP_020720215.1, XP_003397775.1
OG0000117	XP_003424885.1	XP_012176486.1
OG0000117	XP_016845279.1, XP_003428202.1, XP_008214870.1	XP_003398039.1
OG0000119	XP_031787150.1, XP_032456419.1, XP_031787154.1, XP_031787143.1, XP_031787149.1, XP_031787146.1, XP_031787160.1, XP_031787140.1	XP_020720337.1, XP_020720348.1, XP_020720338.1, XP_020720336.1, XP_020720341.1
OG0000122	XP_001604760.1	XP_012165001.1
OG0000122	XP_031780275.1	XP_003401982.1
OG0000122	XP_001603886.1, XP_008216017.2	XP_012173486.1
OG0000123	XP_032452434.1, XP_001602993.1	XP_003397633.1, XP_012167209.1, XP_012167212.1, XP_012167211.1, XP_012167208.1, XP_012167210.1
OG0000124	XP_031781470.1	XP_012164839.1
OG0000125	XP_008201883.2, XP_031781412.1, XP_031788436.1, XP_031788437.1	XP_003402889.2, XP_003402892.1, XP_003402547.3
OG0000126	XP_031784298.1, NP_001161164.1	XP_012173626.1, XP_003402194.1, XP_020723219.1, XP_020723220.1, XP_020723218.1, XP_012173627.1
OG0000127	XP_031782271.1, XP_031782270.1	XP_003393060.1, XP_003393061.1, XP_012163415.1, XP_012163409.1
OG0000127	XP_001606042.2	XP_003393059.1, XP_020718439.1, XP_020718434.1
OG0000128	XP_008213153.2, XP_031781757.1, XP_016839119.2, XP_031781536.1	XP_012174242.1
OG0000128	XP_031781758.1, XP_031785088.1	XP_020723962.1
OG0000129	XP_032454413.1, XP_016839449.1	XP_003398638.1, XP_012168489.1, XP_012168490.1, XP_012168488.1, XP_012168487.1, XP_012168486.1, XP_012168485.1, XP_012168484.1
OG0000130	XP_031776696.1	XP_003396649.1, XP_012165702.1
OG0000131	NP_001153335.1, XP_032458192.1	XP_003398970.1
OG0000131	XP_001599092.1	XP_003396371.1
OG0000132	XP_031780045.1, XP_032453407.1	XP_003402425.1
OG0000132	XP_016837749.1	XP_003402485.1
OG0000133	XP_031778739.1, XP_031778741.1, XP_008208013.1, XP_031778740.1	XP_012176311.1, XP_020724157.1, XP_020724156.1, XP_020724158.1
OG0000135	XP_001603134.1	XP_003393370.1
OG0000135	XP_001603371.1	XP_003393110.1
OG0000136	XP_008208307.1	XP_012165909.1, XP_020719676.1, XP_012165896.1, XP_020723712.1, XP_003396782.1, XP_003402992.1
OG0000137	XP_016841737.2	XP_012175108.1, XP_012170724.1
OG0000138	XP_031787653.1, XP_001605659.1	XP_003397345.2, XP_012166619.1, XP_003397339.1
OG0000139	XP_031783357.1, XP_001606341.1	XP_003399181.1
OG0000139	XP_016838561.1, XP_001602751.1, XP_008204858.1, XP_032452316.1, XP_032452315.1	XP_003399195.1
OG0000140	XP_003424447.1	XP_020722092.1, XP_012171285.1, XP_003400470.1
OG0000141	XP_032458118.1, XP_032458115.1, XP_032458114.1, XP_031789200.1	XP_003400951.1
OG0000142	XP_031788758.1, NP_001177427.1, NP_001177428.1	XP_012175459.1, XP_020721950.1, XP_020721953.1, XP_012170791.1, XP_012170790.1, XP_020721952.1
OG0000143	XP_008203875.1	XP_003393823.1
OG0000143	XP_003425736.1, XP_001605275.2, XP_032454553.1	XP_020722543.1, XP_012175058.1, XP_020722547.1, XP_020722544.1, XP_020722545.1
OG0000144	XP_016839327.2, NP_001153417.1, XP_032453317.1, XP_032453316.1	XP_003401782.1
OG0000144	NP_001164332.1	XP_003401781.1
OG0000145	XP_001607062.1	XP_003393298.1
OG0000145	XP_001602428.1	XP_012164960.1
OG0000146	XP_016840249.1	XP_003402123.1
OG0000146	XP_032452549.1, XP_001602324.1	XP_012176245.1
OG0000147	XP_001600440.1	XP_020721202.1, XP_020721198.1, XP_020721193.1, XP_003393447.1
OG0000147	XP_001602387.1	XP_012164120.1, XP_012164121.1, XP_012164119.1
OG0000149	XP_001606233.2	XP_003394540.1
OG0000149	XP_016840414.1, XP_008211722.2	XP_012175460.1, XP_020724080.1
OG0000150	XP_031781028.1, XP_031781038.1, XP_032457432.1	XP_012170499.1, XP_012170501.1, XP_012170500.1, XP_003399855.1, XP_020721682.1, XP_012170498.1
OG0000151	XP_003426709.1	XP_003402871.1, XP_012174602.1, XP_012174601.1, XP_012174604.1, XP_012174600.1, XP_012174599.1
OG0000152	XP_003425682.1, XP_032454103.1, XP_016839188.1, XP_008203561.1, XP_008203562.1, XP_032454105.1, XP_032454104.1, XP_032454106.1, XP_008203564.1, XP_008203563.1	XP_012173071.1, XP_012173070.1, XP_012173069.1, XP_012173068.1, XP_012173075.1, XP_012173067.1
OG0000153	XP_031778705.1, XP_031778704.1, XP_031778706.1	XP_003400832.1, XP_012171882.1, XP_012171883.1
OG0000154	XP_008203624.1, XP_008205027.1, XP_031788668.1, XP_008203596.1	XP_012167367.1, XP_012167365.1
OG0000155	XP_031788826.1	XP_020723952.1
OG0000156	XP_031782954.1, XP_031782971.1, XP_032457184.1, XP_031782949.1, XP_031782945.1	XP_003396400.1
OG0000157	XP_032456198.1, XP_031788611.1	XP_003400109.2
OG0000160	XP_008204617.1	XP_012168631.1
OG0000161	XP_001602765.2, XP_031779585.1	XP_003394677.1, XP_003394675.1, XP_020724240.1
OG0000162	NP_001234904.1, XP_031787426.1	XP_012168555.1
OG0000162	XP_008205092.1, NP_001234892.1	XP_012170034.1
OG0000162	XP_031789332.1, NP_001234893.1	XP_003397561.2
OG0000164	XP_031777945.1, XP_016843278.1, XP_031780582.1, XP_031777892.1, XP_031777902.1, XP_031780583.1	XP_020718981.1, XP_020718982.1, XP_020718980.1
OG0000165	XP_008211085.1	XP_012169083.1
OG0000166	XP_032458153.1, XP_031777661.1, XP_031777675.1, XP_032458168.1	XP_012175400.2, XP_012175364.1, XP_012175388.1
OG0000168	XP_008207992.2	XP_020724242.1
OG0000168	XP_031785658.1	XP_020719024.1
OG0000170	XP_001604322.2	XP_012168004.1
OG0000170	XP_016837471.1, XP_016837469.1, XP_008204248.1, XP_016837470.2	XP_003398306.1, XP_012168006.1
OG0000171	XP_016838928.1, XP_001608062.2, XP_031780002.1	XP_003396553.1, XP_012174011.1
OG0000172	XP_031789541.1	XP_020721690.1, XP_012170544.1, XP_012170538.1, XP_012170539.1, XP_012170540.1, XP_012170541.1, XP_012170542.1, XP_012170543.1
OG0000173	XP_031787440.1, NP_001153423.1, NP_001153422.1	XP_012172817.1, XP_012172816.1, XP_012172814.1, XP_012172815.1
OG0000174	XP_001600210.1	XP_003400605.1, XP_003400606.1, XP_012171555.1, XP_012171554.1, XP_012171558.1, XP_012171557.1
OG0000176	NP_001127789.1	XP_003393819.1
OG0000177	XP_001606472.1	XP_003398931.1
OG0000177	XP_008210134.1	XP_012169036.1
OG0000177	XP_003427240.1	XP_012169039.1
OG0000178	XP_031787092.1	XP_003398577.1, XP_020720493.1
OG0000179	XP_001604591.1	XP_012173790.1, XP_003402257.2
OG0000179	XP_032451900.1, XP_001607038.1, XP_032451901.1	XP_012173824.1, XP_003402266.1
OG0000180	XP_008206406.1, XP_001606981.2	XP_012175161.1, XP_012175160.1, XP_012175162.1, XP_003403152.1, XP_003403151.1, XP_020723773.1
OG0000181	XP_001600458.2, XP_008214574.1, XP_008214578.1, XP_016845255.1	XP_003399390.1, XP_012169773.1, XP_012169774.1, XP_012169772.1
OG0000182	XP_001601987.2, XP_016841479.1, XP_016841478.1, XP_031787113.1, XP_031787104.1, XP_031787105.1, XP_031787106.1, XP_031787109.1, XP_031787110.1, XP_031787111.1, XP_031787112.1, XP_008205687.1, XP_008205678.1, XP_031787103.1	XP_012167067.1, XP_012167065.1, XP_003397602.1
OG0000183	XP_003426002.1, XP_008204775.1, XP_008204776.1, XP_008204778.1	XP_012167140.1, XP_012167142.1, XP_003397591.1
OG0000183	XP_001603387.1	XP_012163118.1
