Orthogroup	Nasonia_vitripennis	Polistes_dominula
OG0000034	XP_031781941.1, NP_001177555.1, NP_001177554.1, XP_031784325.1, XP_031781934.1, NP_001164416.1, NP_001177556.1, XP_031789369.1, XP_031776906.1, XP_031787665.1, NP_001164405.1, NP_001177423.1	XP_015171079.1, XP_015171022.1
OG0000034	XP_016845910.1	XP_015172910.1
OG0000034	NP_001177542.1, XP_008213309.1, XP_016845719.1, NP_001177541.1, XP_031778221.1, NP_001177544.1, NP_001177545.1, NP_001177540.1, XP_032451687.1, NP_001177537.1, NP_001177539.1, XP_008214845.1, NP_001177640.2, NP_001177696.1, NP_001177538.1, NP_001177543.1, XP_008202544.1, NP_001164404.1, NP_001177548.1, NP_001177547.1, XP_032452241.1, NP_001177546.1, XP_031778374.1, NP_001177701.1, NP_001177700.1, XP_031789456.1, XP_031789459.1, NP_001177549.1	XP_015185288.1
OG0000035	XP_016838618.1, XP_032453168.1, XP_031780251.1, XP_008204964.1	XP_015172482.1
OG0000036	XP_001607369.1, XP_031776621.1, XP_032451907.1, XP_032451908.1, XP_008215341.1, NP_001155022.1, XP_031776641.1, XP_003423856.1, XP_032451911.1, XP_016845877.1, XP_008215340.1	XP_015174610.1, XP_015174768.1
OG0000037	XP_008216622.1, XP_008216623.1	XP_015184679.1
OG0000038	XP_001607699.1, XP_001604160.1	XP_015179360.1
OG0000038	XP_031786847.1, XP_032452100.1	XP_015185565.1
OG0000039	XP_031778424.1	XP_015189306.1, XP_015189985.1, XP_015189936.1
OG0000040	NP_001166071.1, XP_001607047.2, XP_016836762.1, XP_008203154.1, NP_001166072.1	XP_015176238.1
OG0000040	XP_031787073.1	XP_015176239.1
OG0000040	XP_001607871.2, XP_031788471.1, XP_031783595.1, XP_032452313.1, XP_032456102.1, XP_016837475.1, XP_016836866.1, NP_001166253.1, XP_032457056.1, NP_001166073.1	XP_015175500.1
OG0000040	XP_032453050.1, NP_001166054.1, XP_016837013.1	XP_015186212.1
OG0000041	XP_032453601.1, NP_001157191.1, NP_001157192.1	XP_015182473.1, XP_015182472.1
OG0000041	XP_001600960.1	XP_015179142.1
OG0000041	XP_001601342.1	XP_015179139.1, XP_015179141.1
OG0000042	XP_008205137.1, XP_008205135.1, XP_008205136.1	XP_015186594.1, XP_015186595.1, XP_015186596.1, XP_015189781.1, XP_015189581.1, XP_015189834.1, XP_015171566.1, XP_015171565.1, XP_015171564.1, XP_015171563.1, XP_015171562.1
OG0000042	XP_003425691.1, XP_032453872.1, XP_032453871.1, XP_031783785.1, XP_031783782.1, XP_031783784.1, XP_031783783.1	XP_015171717.1, XP_015171718.1, XP_015171719.1
OG0000043	XP_008208463.1	XP_015177490.1, XP_015177491.1
OG0000044	XP_031787739.1	XP_015184594.1
OG0000044	XP_031788192.1	XP_015184599.1
OG0000045	XP_001604688.1, XP_001604507.3, XP_001604459.1	XP_015183311.1, XP_015183284.1
OG0000045	NP_001153339.1, NP_001153340.1	XP_015173221.1
OG0000045	XP_001604662.2	XP_015183312.1
OG0000045	XP_032454987.1, XP_031784367.1	XP_015172085.1
OG0000046	XP_001604460.2	XP_015179269.1
OG0000046	XP_001599773.3, XP_031779567.1, XP_001604951.2	XP_015189296.1
OG0000046	XP_032452163.1, NP_001166228.1	XP_015177712.1
OG0000046	XP_001608044.1	XP_015174688.1, XP_015174687.1
OG0000048	XP_016841096.1	XP_015178594.1
OG0000048	XP_016841091.1, XP_016841092.1, XP_031787184.1	XP_015178621.1, XP_015178591.1
OG0000048	XP_032456442.1	XP_015178618.1
OG0000048	XP_008207163.1	XP_015178612.1, XP_015178590.1, XP_015178619.1
OG0000048	XP_003426658.1	XP_015178620.1, XP_015178616.1
OG0000048	XP_031787181.1	XP_015178592.1
OG0000050	NP_001165950.1, XP_003427743.2, XP_001602331.2, NP_001165951.1, XP_032455970.1, NP_001165962.1, NP_001165960.1, NP_001165958.1, NP_001165947.1, XP_008212266.2	XP_015187332.1, XP_015175623.1
OG0000052	XP_001607313.2	XP_015186733.1
OG0000052	XP_001602874.2	XP_015175045.1
OG0000054	XP_031780340.1, XP_031779198.1, NP_001166267.1, XP_032453034.1	XP_015175390.1
OG0000054	XP_016837121.1, XP_001602743.1, NP_001161317.1, XP_031780215.1, XP_031780249.1, XP_001602894.2	XP_015175295.1, XP_015175296.1, XP_015175389.1
OG0000055	XP_001602853.1	XP_015171080.1
OG0000055	XP_008215920.1	XP_015176664.1
OG0000055	XP_001600035.1, XP_008208159.3	XP_015173765.1, XP_015173767.1
OG0000056	XP_031780252.1	XP_015176704.1
OG0000056	XP_001604931.2	XP_015178312.1
OG0000056	XP_008202999.3	XP_015175416.1
OG0000056	XP_008204847.1	XP_015181793.1
OG0000056	XP_032455826.1	XP_015173622.1
OG0000056	XP_031784842.1	XP_015181325.1
OG0000057	XP_031785452.1	XP_015171970.1
OG0000057	XP_001602360.1	XP_015173587.1
OG0000057	XP_003427519.1	XP_015171877.1
OG0000057	XP_001600234.1, XP_001606290.1	XP_015171777.1
OG0000058	NP_001177491.1	XP_015182294.1, XP_015182349.1, XP_015182350.1
OG0000060	XP_031784439.1, XP_031784422.1, XP_031784431.1	XP_015185766.1, XP_015185775.1
OG0000060	XP_008205703.1, XP_016845553.1, XP_016845554.1, XP_016845551.1, XP_016845552.1	XP_015181080.1, XP_015181079.1
OG0000061	XP_031786737.1, NP_001164380.1	XP_015178059.1, XP_015188543.1
OG0000062	XP_003425371.1	XP_015173092.1
OG0000062	XP_032453005.1, XP_001604985.1	XP_015178479.1
OG0000065	XP_001606156.1, XP_016836539.1, XP_016836538.1, XP_016836540.1, XP_008215330.1, XP_008215325.1, XP_008215326.1	XP_015174229.1, XP_015174230.1, XP_015174227.1, XP_015174228.1, XP_015174231.1
OG0000066	XP_031784236.1, XP_031781387.2, XP_016843120.1, XP_031784228.1	XP_015189876.1
OG0000067	XP_001605420.2	XP_015179349.1
OG0000067	XP_031788440.1	XP_015180637.1
OG0000067	XP_031782248.1	XP_015184670.1
OG0000067	XP_008209138.1	XP_015182629.1
OG0000069	XP_031782526.1, XP_032453936.1, XP_008210453.1, XP_031787743.1, XP_031787545.1, XP_032457315.1, XP_031777449.1, XP_031777448.1, XP_001603733.2, XP_032453221.1, XP_032453241.1, XP_031777616.1, XP_031777617.1	XP_015175625.1
OG0000070	NP_001177478.1, NP_001177482.1, XP_031786746.1, NP_001177477.1, NP_001177476.1, NP_001177475.1, NP_001177474.1, NP_001177471.1, NP_001177473.1, NP_001177468.1, NP_001177472.1, XP_032455989.1, NP_001177470.1, XP_032455987.1, NP_001177469.1, XP_032456565.1, NP_001177483.1, NP_001177484.1, XP_016841002.1, XP_032455990.1, NP_001177485.1, NP_001177479.1, NP_001177480.1, NP_001177481.1, XP_016841000.2	XP_015183121.1, XP_015183113.1, XP_015181189.1
OG0000071	XP_001602581.1, XP_031788357.1, XP_016840145.2	XP_015181519.1, XP_015184877.1
OG0000071	XP_008215689.1	XP_015189177.1
OG0000072	XP_031781779.1, XP_031785939.2, XP_031789121.2, XP_031782947.1, XP_031789119.1, XP_031788988.1, XP_031785438.1, XP_031788954.1, XP_031788955.1, XP_031781661.1, XP_031786050.1, XP_031777035.1, XP_031777321.1	XP_015176122.1
OG0000074	XP_008207498.1, XP_031787381.1	XP_015188226.1, XP_015188225.1, XP_015174533.1, XP_015179365.1, XP_015174735.1
OG0000077	XP_003423914.1	XP_015188023.1
OG0000077	XP_001605700.1, XP_008203901.1	XP_015179002.1, XP_015185970.1
OG0000078	XP_031781939.1, NP_001177509.1, NP_001177508.1, XP_031781938.1, NP_001177507.1, NP_001177506.1	XP_015185284.1, XP_015185291.1, XP_015185285.1
OG0000079	XP_031783468.1	XP_015174902.1, XP_015176401.1
OG0000080	XP_016838697.1, XP_001600017.1	XP_015185202.1, XP_015185201.1, XP_015185203.1
OG0000080	XP_001600048.1	XP_015188705.1, XP_015188706.1
OG0000080	XP_016838620.1	XP_015185196.1
OG0000081	NP_001164391.1, NP_001177501.1, XP_031786138.1	XP_015179051.1, XP_015179053.1, XP_015179052.1, XP_015179158.1, XP_015179157.1
OG0000082	XP_016845753.1	XP_015175969.1
OG0000083	XP_008214028.1, XP_008212142.1	XP_015173372.1, XP_015173381.1, XP_015189585.1, XP_015178751.1, XP_015184368.1, XP_015189821.1, XP_015189836.1
OG0000084	NP_001161311.1	XP_015180880.1
OG0000085	XP_008205560.1, XP_032455585.1, XP_001604903.1, XP_031785409.1	XP_015172015.1
OG0000086	XP_008218019.2	XP_015175698.1
OG0000087	NP_001153411.1	XP_015179311.1
OG0000087	XP_001603938.2	XP_015179470.1, XP_015179472.1, XP_015179471.1, XP_015179473.1
OG0000089	XP_016843743.1	XP_015191649.1
OG0000089	XP_032457600.1, XP_031781522.1, XP_031781523.1, XP_003426759.1, XP_001601215.1, XP_001600717.1, XP_008212854.1, XP_031787101.1, XP_031781533.1, XP_001600653.1, XP_008207762.1, XP_001600905.2, XP_001600876.1, XP_001600931.2	XP_015191842.1
OG0000090	XP_031777007.1	XP_015177657.1, XP_015177658.1, XP_015187981.1, XP_015189703.1, XP_015177660.1, XP_015187339.1, XP_015182594.1
OG0000091	XP_016842346.1, XP_016842349.1, XP_001606111.2, XP_016842348.1, XP_001606152.2	XP_015190282.1, XP_015190273.1
OG0000092	NP_001153343.1	XP_015171266.1
OG0000092	XP_016843499.1	XP_015171261.1
OG0000092	XP_001599003.1	XP_015180692.1
OG0000093	XP_008205360.1, XP_031789189.1	XP_015189759.1
OG0000093	XP_031781097.1	XP_015189435.1, XP_015189434.1
OG0000093	XP_031788001.1, XP_031783867.1, XP_008205373.1, XP_031789320.1, XP_016841922.2, XP_031789146.1, XP_031781374.1, XP_031788904.1	XP_015189747.1, XP_015189679.1, XP_015189257.1
OG0000094	XP_008208123.2, XP_001606944.4, XP_001606857.1, XP_008201862.1, XP_001606385.1	XP_015176150.1, XP_015184885.1
OG0000094	XP_001605100.1	XP_015189233.1
OG0000094	XP_001600571.1	XP_015175380.1
OG0000095	XP_031783038.1, NP_001165978.1, NP_001165932.1, XP_001601822.2, NP_001165935.1, XP_031785516.1, XP_008213359.1, XP_031781916.1, NP_001165938.1, NP_001165934.1, XP_016841077.1, NP_001165987.1, NP_001352146.1, XP_016840411.1, NP_001165985.1	XP_015179352.1, XP_015179379.1, XP_015187338.1, XP_015179387.1, XP_015179306.1, XP_015187259.1, XP_015179367.1, XP_015179368.1, XP_015179309.1, XP_015188211.1, XP_015188462.1, XP_015189731.1, XP_015177511.1, XP_015177513.1, XP_015177512.1, XP_015188691.1, XP_015189818.1, XP_015188693.1
OG0000096	XP_008209422.1	XP_015179711.1, XP_015179710.1, XP_015179714.1, XP_015179713.1
OG0000096	XP_031777519.1, NP_001128139.2, XP_001600140.2, XP_008210082.1, XP_032454795.1, XP_008210079.1	XP_015178304.1
OG0000097	XP_001600781.1	XP_015172032.1, XP_015172041.1
OG0000097	NP_001166227.1, XP_008208182.1	XP_015182319.1, XP_015182320.1, XP_015177848.1
OG0000098	XP_032454809.1, XP_032454803.1, XP_032454802.1, XP_032454801.1, XP_032454800.1, XP_032454805.1, XP_031786230.1, XP_016843896.1, XP_032454811.1, XP_032454806.1, XP_001603053.2, XP_032454810.1, XP_032454799.1, XP_032454808.1, XP_032454807.1	XP_015183431.1, XP_015183430.1, XP_015183429.1, XP_015183432.1, XP_015183427.1, XP_015183428.1
OG0000099	XP_008207065.2	XP_015176643.1
OG0000099	XP_031785392.1	XP_015179938.1
OG0000100	XP_008215741.1, XP_008215742.1, XP_031787872.1, XP_032457061.1, XP_016844119.1	XP_015189083.1, XP_015189082.1, XP_015189085.1, XP_015189084.1, XP_015189086.1, XP_015189080.1, XP_015189081.1
OG0000101	XP_016842653.2	XP_015184968.1
OG0000101	NP_001155060.1	XP_015178204.1, XP_015178201.1
OG0000102	XP_031786135.1	XP_015177204.1
OG0000102	XP_031786805.1	XP_015177232.1
OG0000103	XP_031786310.1, XP_001604969.2	XP_015174400.1, XP_015174392.1
OG0000106	NP_001177710.1	XP_015189377.1
OG0000106	NP_001177643.1, NP_001177620.1, NP_001177621.1	XP_015189668.1, XP_015179304.1, XP_015185693.1, XP_015182786.1, XP_015189678.1, XP_015189677.1, XP_015182787.1
OG0000108	XP_008204318.1	XP_015182534.1
OG0000108	XP_001600108.2, NP_001136332.1, XP_031777794.1, XP_008213502.1, XP_016842778.1	XP_015181990.1, XP_015182011.1, XP_015191850.1
OG0000109	XP_031780775.1, XP_032452756.1, XP_008217859.1, XP_008217864.1, XP_016837633.1	XP_015175909.1, XP_015175910.1, XP_015175911.1, XP_015175907.1
OG0000110	XP_008201867.1	XP_015177093.1, XP_015180892.1
OG0000111	XP_031786283.1, XP_008217621.1, XP_008217622.1, XP_016837442.1, XP_016839422.2, XP_031786448.1, NP_001155154.1, XP_031786258.1, XP_001603551.4, XP_032452574.1	XP_015175971.1
OG0000111	XP_001605587.3	XP_015188005.1
OG0000112	XP_003425489.1	XP_015188234.1, XP_015188235.1, XP_015188236.1
OG0000112	XP_031780635.1	XP_015180272.1, XP_015180273.1
OG0000113	XP_031785048.1, XP_001599906.1, XP_008208626.1	XP_015185884.1
OG0000113	XP_001603394.1, XP_008204873.1, XP_001603447.1	XP_015172979.1, XP_015172980.1
OG0000114	XP_031785569.1, NP_001155077.1	XP_015171118.1
OG0000114	XP_031788613.1, NP_001155043.1, XP_032454692.1	XP_015171119.1
OG0000115	NP_001165922.1, NP_001165921.1, NP_001165923.1	XP_015171184.1, XP_015171185.1
OG0000115	NP_001165920.1, XP_008203102.1, XP_008203103.1, XP_032452848.1, XP_032457577.1, NP_001165924.1, NP_001165919.1, NP_001165918.1	XP_015183848.1, XP_015183846.1
OG0000116	XP_031779751.1, XP_031779749.1, XP_031779753.1, XP_032451719.1, XP_031779741.1, XP_031779737.1, XP_032451720.1, XP_032451721.1	XP_015173852.1, XP_015173854.1, XP_015173853.1, XP_015173840.1, XP_015173841.1
OG0000117	XP_003424885.1	XP_015176195.1
OG0000117	XP_016845279.1, XP_003428202.1, XP_008214870.1	XP_015171648.1, XP_015171595.1
OG0000118	XP_003426431.1	XP_015189851.1, XP_015188881.1, XP_015188882.1
OG0000119	XP_031787150.1, XP_032456419.1, XP_031787154.1, XP_031787143.1, XP_031787149.1, XP_031787146.1, XP_031787160.1, XP_031787140.1	XP_015178611.1, XP_015178609.1, XP_015178605.1, XP_015178601.1
OG0000122	XP_001604760.1	XP_015172102.1
OG0000122	XP_031780275.1	XP_015182416.1
OG0000122	XP_001603886.1, XP_008216017.2	XP_015182415.1
OG0000123	XP_032452434.1, XP_001602993.1	XP_015185661.1, XP_015185658.1, XP_015185659.1, XP_015185654.1, XP_015185655.1, XP_015185656.1, XP_015185657.1, XP_015185653.1, XP_015185660.1
OG0000124	XP_031781470.1	XP_015173329.1, XP_015173327.1, XP_015173328.1
OG0000125	XP_008201883.2, XP_031781412.1, XP_031788436.1, XP_031788437.1	XP_015191429.1
OG0000126	XP_031784298.1, NP_001161164.1	XP_015180002.1, XP_015180011.1, XP_015180021.1, XP_015179995.1
OG0000127	XP_031782271.1, XP_031782270.1	XP_015178412.1, XP_015178414.1, XP_015189033.1
OG0000127	XP_001606042.2	XP_015188504.1
OG0000129	XP_032454413.1, XP_016839449.1	XP_015185341.1, XP_015185342.1
OG0000130	XP_031776696.1	XP_015178018.1, XP_015178019.1
OG0000131	NP_001153335.1, XP_032458192.1	XP_015188702.1
OG0000131	XP_001599092.1	XP_015181077.1, XP_015181078.1
OG0000132	XP_031780045.1, XP_032453407.1	XP_015173499.1, XP_015173500.1
OG0000132	XP_016837749.1	XP_015188177.1
OG0000133	XP_031778739.1, XP_031778741.1, XP_008208013.1, XP_031778740.1	XP_015173823.1
OG0000135	XP_001603134.1	XP_015176354.1
OG0000135	XP_001603371.1	XP_015190379.1, XP_015190377.1, XP_015190378.1
OG0000136	XP_008208307.1	XP_015182073.1
OG0000137	XP_016841737.2	XP_015176307.1
OG0000138	XP_031787653.1, XP_001605659.1	XP_015173336.1, XP_015173335.1, XP_015173334.1, XP_015173333.1, XP_015181777.1
OG0000139	XP_031783357.1, XP_001606341.1	XP_015184451.1, XP_015184450.1
OG0000139	XP_016838561.1, XP_001602751.1, XP_008204858.1, XP_032452316.1, XP_032452315.1	XP_015184449.1
OG0000140	XP_003424447.1	XP_015172454.1
OG0000141	XP_032458118.1, XP_032458115.1, XP_032458114.1, XP_031789200.1	XP_015172584.1
OG0000142	XP_031788758.1, NP_001177427.1, NP_001177428.1	XP_015177690.1
OG0000143	XP_008203875.1	XP_015188708.1
OG0000143	XP_003425736.1, XP_001605275.2, XP_032454553.1	XP_015188709.1, XP_015188710.1
OG0000144	XP_016839327.2, NP_001153417.1, XP_032453317.1, XP_032453316.1	XP_015177945.1
OG0000144	NP_001164332.1	XP_015177942.1
OG0000145	XP_001607062.1	XP_015182419.1, XP_015182420.1, XP_015182418.1, XP_015182421.1
OG0000145	XP_001602428.1	XP_015191830.1, XP_015191831.1, XP_015191832.1
OG0000146	XP_016840249.1	XP_015178326.1, XP_015178324.1
OG0000146	XP_032452549.1, XP_001602324.1	XP_015181347.1
OG0000147	XP_001600440.1	XP_015188786.1, XP_015188787.1, XP_015188785.1, XP_015188788.1
OG0000147	XP_001602387.1	XP_015172908.1
OG0000149	XP_001606233.2	XP_015183082.1
OG0000149	XP_016840414.1, XP_008211722.2	XP_015183081.1, XP_015183080.1, XP_015183079.1
OG0000150	XP_031781028.1, XP_031781038.1, XP_032457432.1	XP_015187534.1, XP_015187533.1, XP_015187535.1, XP_015187536.1
OG0000151	XP_003426709.1	XP_015179752.1, XP_015179751.1, XP_015179755.1, XP_015179753.1, XP_015179750.1
OG0000152	XP_003425682.1, XP_032454103.1, XP_016839188.1, XP_008203561.1, XP_008203562.1, XP_032454105.1, XP_032454104.1, XP_032454106.1, XP_008203564.1, XP_008203563.1	XP_015177279.1
OG0000153	XP_031778705.1, XP_031778704.1, XP_031778706.1	XP_015183219.1, XP_015183220.1, XP_015183221.1, XP_015183223.1, XP_015183222.1, XP_015183224.1
OG0000154	XP_008203624.1, XP_008205027.1, XP_031788668.1, XP_008203596.1	XP_015178505.1, XP_015178503.1, XP_015178507.1, XP_015178506.1
OG0000155	XP_031784528.1, XP_031788865.1	XP_015186403.1
OG0000156	XP_031782954.1, XP_031782971.1, XP_032457184.1, XP_031782949.1, XP_031782945.1	XP_015190200.1, XP_015190202.1, XP_015190201.1, XP_015190205.1, XP_015190203.1, XP_015190204.1
OG0000157	XP_032456198.1, XP_031788611.1	XP_015176246.1
OG0000158	NP_001166006.1, NP_001166005.1, XP_003426453.2, XP_016840739.1, XP_031785765.1, XP_016840738.1	XP_015179488.1
OG0000160	XP_008204617.1	XP_015185930.1
OG0000160	XP_003424871.1, XP_003424872.1	XP_015184081.1
OG0000161	XP_001599809.1, XP_016839500.1, XP_001605936.1, NP_001165968.1, XP_001603114.1, XP_031779032.1, NP_001165966.1, NP_001165965.1	XP_015176784.1
OG0000162	NP_001234904.1, XP_031787426.1	XP_015186367.1
OG0000162	XP_031789332.1, NP_001234893.1	XP_015182682.1
OG0000164	XP_016843433.1, XP_031785500.1	XP_015180421.1, XP_015180420.1
