Orthogroup	Nasonia_vitripennis	Vespa_mandarinia
OG0000109	XP_031780775.1, XP_032452756.1, XP_008217859.1, XP_008217864.1, XP_016837633.1	XP_035733082.1, XP_035733090.1, XP_035733088.1, XP_035733089.1, XP_035733086.1, XP_035733087.1, XP_035733084.1, XP_035733085.1, XP_035733092.1, XP_035733093.1, XP_035733091.1
OG0000110	XP_008201867.1	XP_035727648.1, XP_035727647.1, XP_035738900.1
OG0000111	XP_031786283.1, XP_008217621.1, XP_008217622.1, XP_016837442.1, XP_016839422.2, XP_031786448.1, NP_001155154.1, XP_031786258.1, XP_001603551.4, XP_032452574.1	XP_035718068.1
OG0000111	XP_001605587.3	XP_035719146.1
OG0000112	XP_003425489.1	XP_035719175.1, XP_035719174.1, XP_035719177.1, XP_035719176.1, XP_035719171.1, XP_035719172.1
OG0000112	XP_031780635.1	XP_035730834.1, XP_035730827.1, XP_035730828.1, XP_035730829.1, XP_035730830.1, XP_035730831.1, XP_035730832.1, XP_035730833.1
OG0000113	XP_031785048.1, XP_001599906.1, XP_008208626.1	XP_035724028.1
OG0000113	XP_001603394.1, XP_008204873.1, XP_001603447.1	XP_035725454.1
OG0000114	XP_031788613.1, NP_001155043.1, XP_032454692.1	XP_035719468.1
OG0000115	NP_001165922.1, NP_001165921.1, NP_001165923.1	XP_035719374.1
OG0000115	NP_001165920.1, XP_008203102.1, XP_008203103.1, XP_032452848.1, XP_032457577.1, NP_001165924.1, NP_001165919.1, NP_001165918.1	XP_035728117.1
OG0000116	XP_031779751.1, XP_031779749.1, XP_031779753.1, XP_032451719.1, XP_031779741.1, XP_031779737.1, XP_032451720.1, XP_032451721.1	XP_035728572.1, XP_035728573.1, XP_035728508.1, XP_035728506.1, XP_035728507.1
OG0000117	XP_003424885.1	XP_035721151.1
OG0000117	XP_016845279.1, XP_003428202.1, XP_008214870.1	XP_035728960.1
OG0000119	XP_031787150.1, XP_032456419.1, XP_031787154.1, XP_031787143.1, XP_031787149.1, XP_031787146.1, XP_031787160.1, XP_031787140.1	XP_035728103.1, XP_035728091.1, XP_035728092.1, XP_035728099.1, XP_035728090.1, XP_035728088.1
OG0000122	XP_001604760.1	XP_035742190.1
OG0000122	XP_031780275.1	XP_035738975.1
OG0000122	XP_001603886.1, XP_008216017.2	XP_035738980.1
OG0000123	XP_032452434.1, XP_001602993.1	XP_035725246.1, XP_035725252.1
OG0000124	XP_031781470.1	XP_035724659.1
OG0000125	XP_008201883.2, XP_031781412.1, XP_031788436.1, XP_031788437.1	XP_035743368.1, XP_035743367.1
OG0000126	XP_031784298.1, NP_001161164.1	XP_035731654.1, XP_035731655.1, XP_035731651.1, XP_035731652.1, XP_035731657.1, XP_035731656.1, XP_035731659.1, XP_035731653.1, XP_035731650.1
OG0000127	XP_031782271.1, XP_031782270.1	XP_035718002.1, XP_035726611.1, XP_035726612.1, XP_035720274.1
OG0000127	XP_001606042.2	XP_035726374.1
OG0000129	XP_032454413.1, XP_016839449.1	XP_035741994.1, XP_035741995.1
OG0000130	XP_031776696.1	XP_035721444.1
OG0000131	NP_001153335.1, XP_032458192.1	XP_035742296.1
OG0000131	XP_031781148.1, XP_032457466.1, XP_001599092.1, XP_032457465.1	XP_035733339.1
OG0000132	XP_031780045.1, XP_032453407.1	XP_035721782.1, XP_035721781.1
OG0000132	XP_016837749.1	XP_035732604.1
OG0000133	XP_031778739.1, XP_031778741.1, XP_008208013.1, XP_031778740.1	XP_035741242.1
OG0000135	XP_001603371.1	XP_035717163.1
OG0000136	XP_008208307.1	XP_035728633.1, XP_035728680.1, XP_035728635.1, XP_035728634.1
OG0000137	XP_016841737.2	XP_035732267.1
OG0000138	XP_031787653.1, XP_001605659.1	XP_035730963.1, XP_035730973.1, XP_035730946.1, XP_035730956.1, XP_035730998.1, XP_035731008.1, XP_035730984.1, XP_035730990.1, XP_035722005.1
OG0000139	XP_016838561.1, XP_001602751.1, XP_008204858.1, XP_032452316.1, XP_032452315.1	XP_035719417.1, XP_035719753.1
OG0000141	XP_032458118.1, XP_032458115.1, XP_032458114.1, XP_031789200.1	XP_035723074.1, XP_035723075.1, XP_035723073.1
OG0000143	XP_008203875.1	XP_035726588.1
OG0000143	XP_003425736.1, XP_001605275.2, XP_032454553.1	XP_035726587.1, XP_035726585.1, XP_035726586.1
OG0000145	XP_001607062.1	XP_035739706.1, XP_035739705.1
OG0000145	XP_001602428.1	XP_035732035.1, XP_035732034.1, XP_035732031.1, XP_035732032.1, XP_035732029.1, XP_035732030.1, XP_035732028.1, XP_035732033.1
OG0000146	XP_016840249.1	XP_035732991.1, XP_035732990.1, XP_035732989.1, XP_035732988.1
OG0000147	XP_001600440.1	XP_035736865.1, XP_035736867.1, XP_035736868.1, XP_035736866.1
OG0000147	XP_001602387.1	XP_035734708.1
OG0000149	XP_001606233.2	XP_035726837.1
OG0000149	XP_016840414.1, XP_008211722.2	XP_035726846.1, XP_035726843.1, XP_035726842.1, XP_035726847.1, XP_035726845.1
OG0000150	XP_031781028.1, XP_031781038.1, XP_032457432.1	XP_035733965.1, XP_035733966.1, XP_035733963.1, XP_035733964.1, XP_035733961.1, XP_035733962.1
OG0000151	XP_003426709.1	XP_035735864.1, XP_035735857.1, XP_035735862.1, XP_035735863.1, XP_035735861.1, XP_035735859.1, XP_035735858.1
OG0000152	XP_003425682.1, XP_032454103.1, XP_016839188.1, XP_008203561.1, XP_008203562.1, XP_032454105.1, XP_032454104.1, XP_032454106.1, XP_008203564.1, XP_008203563.1	XP_035722053.1
OG0000153	XP_031778705.1, XP_031778704.1, XP_031778706.1	XP_035727062.1
OG0000154	XP_008203624.1, XP_008205027.1, XP_031788668.1, XP_008203596.1	XP_035743057.1, XP_035743056.1
OG0000155	XP_031784528.1, XP_031788865.1, XP_031781360.1, XP_031789237.1, XP_008214569.1, XP_031777466.1, XP_031781363.1	XP_035724082.1, XP_035742778.1, XP_035733904.1, XP_035737499.1, XP_035737756.1, XP_035736367.1, XP_035725552.1, XP_035740255.1, XP_035725541.1
OG0000156	XP_031782954.1, XP_031782971.1, XP_032457184.1, XP_031782949.1, XP_031782945.1	XP_035723493.1
OG0000157	XP_032456198.1, XP_031788611.1	XP_035732281.1
OG0000158	NP_001166006.1, NP_001166005.1, XP_003426453.2, XP_016840739.1, XP_031785765.1, XP_016840738.1	XP_035740054.1, XP_035740197.1, XP_035740199.1, XP_035740200.1, XP_035740198.1
OG0000160	XP_008204617.1	XP_035723999.1
OG0000160	XP_003424871.1, XP_003424872.1	XP_035733330.1, XP_035733325.1, XP_035733326.1, XP_035733328.1, XP_035733329.1
OG0000161	XP_001599809.1, XP_016839500.1, XP_001605936.1, NP_001165968.1, XP_001603114.1, XP_031779032.1, NP_001165966.1, NP_001165965.1	XP_035719666.1, XP_035719656.1, XP_035719675.1
OG0000162	NP_001234904.1, XP_031787426.1	XP_035731205.1
OG0000162	XP_031789332.1, NP_001234893.1	XP_035740246.1, XP_035740247.1
OG0000164	XP_016843433.1, XP_031785500.1	XP_035732501.1
OG0000164	XP_031777945.1, XP_016843278.1, XP_031780582.1, XP_031777892.1, XP_031777902.1, XP_031780583.1	XP_035732024.1
OG0000165	XP_008211085.1	XP_035734576.1
OG0000166	XP_032458153.1, XP_031777661.1, XP_031777675.1, XP_032458168.1	XP_035717393.1, XP_035717400.1, XP_035717381.1, XP_035717387.1, XP_035717382.1, XP_035717384.1
OG0000168	XP_008207992.2	XP_035736898.1
OG0000170	XP_001604322.2	XP_035742479.1
OG0000171	XP_016838928.1, XP_001608062.2, XP_031780002.1	XP_035741201.1, XP_035741202.1, XP_035741205.1, XP_035741206.1
OG0000172	XP_031789541.1	XP_035738100.1, XP_035738101.1
OG0000173	XP_031787440.1, NP_001153423.1, NP_001153422.1	XP_035733795.1, XP_035733793.1, XP_035733794.1, XP_035733792.1
OG0000174	XP_001600210.1	XP_035731433.1
OG0000176	NP_001127789.1	XP_035737411.1
OG0000177	XP_001606472.1	XP_035739406.1
OG0000177	XP_008210134.1	XP_035739374.1
OG0000177	XP_003427240.1	XP_035739564.1
OG0000178	XP_031787092.1	XP_035725180.1
OG0000179	XP_001604591.1	XP_035741505.1
OG0000179	XP_032451900.1, XP_001607038.1, XP_032451901.1	XP_035719102.1, XP_035719101.1
OG0000180	XP_008206406.1, XP_001606981.2	XP_035743555.1, XP_035743552.1, XP_035743551.1, XP_035743554.1
OG0000181	XP_001600458.2, XP_008214574.1, XP_008214578.1, XP_016845255.1	XP_035731090.1, XP_035731089.1, XP_035731092.1, XP_035731091.1
OG0000182	XP_001601987.2, XP_016841479.1, XP_016841478.1, XP_031787113.1, XP_031787104.1, XP_031787105.1, XP_031787106.1, XP_031787109.1, XP_031787110.1, XP_031787111.1, XP_031787112.1, XP_008205687.1, XP_008205678.1, XP_031787103.1	XP_035731858.1, XP_035731856.1, XP_035731855.1, XP_035731857.1, XP_035731854.1, XP_035731853.1, XP_035731859.1
OG0000183	XP_003426002.1, XP_008204775.1, XP_008204776.1, XP_008204778.1	XP_035738622.1, XP_035738621.1, XP_035738620.1, XP_035738623.1
OG0000183	XP_001603387.1	XP_035739701.1
OG0000185	XP_008202977.1	XP_035733203.1, XP_035733201.1, XP_035733205.1, XP_035733204.1, XP_035733207.1, XP_035733206.1, XP_035733199.1, XP_035733200.1
