Orthogroup	Nasonia_vitripennis	Habropoda_laboriosa
OG0000128	XP_008213153.2, XP_031781757.1, XP_016839119.2, XP_031781536.1	XP_017799473.1, XP_017792105.1
OG0000128	XP_031781758.1, XP_031785088.1	XP_017799474.1
OG0000129	XP_032454413.1, XP_016839449.1	XP_017792739.1
OG0000130	XP_031776696.1	XP_017791658.1
OG0000131	NP_001153335.1, XP_032458192.1	XP_017790302.1
OG0000131	XP_031781148.1, XP_032457466.1, XP_001599092.1, XP_032457465.1	XP_017792252.1, XP_017792241.1, XP_017792254.1, XP_017792253.1
OG0000132	XP_031780045.1, XP_032453407.1	XP_017798108.1
OG0000132	XP_016837749.1	XP_017798132.1
OG0000133	XP_031778739.1, XP_031778741.1, XP_008208013.1, XP_031778740.1	XP_017788158.1
OG0000135	XP_001603134.1	XP_017794640.1
OG0000135	XP_001603371.1	XP_017799029.1
OG0000136	XP_008208307.1	XP_017788204.1, XP_017788203.1
OG0000137	XP_016841737.2	XP_017791135.1, XP_017788948.1
OG0000138	XP_031787653.1, XP_001605659.1	XP_017794346.1, XP_017793300.1
OG0000139	XP_031783357.1, XP_001606341.1	XP_017787706.1
OG0000139	XP_016838561.1, XP_001602751.1, XP_008204858.1, XP_032452316.1, XP_032452315.1	XP_017787697.1
OG0000140	XP_003424447.1	XP_017798520.1
OG0000141	XP_032458118.1, XP_032458115.1, XP_032458114.1, XP_031789200.1	XP_017794696.1
OG0000142	XP_031788758.1, NP_001177427.1, NP_001177428.1	XP_017789845.1, XP_017789846.1
OG0000143	XP_008203875.1	XP_017790512.1
OG0000143	XP_003425736.1, XP_001605275.2, XP_032454553.1	XP_017790495.1
OG0000144	XP_016839327.2, NP_001153417.1, XP_032453317.1, XP_032453316.1	XP_017797971.1, XP_017797954.1
OG0000144	NP_001164332.1	XP_017797956.1
OG0000145	XP_001607062.1	XP_017788300.1
OG0000145	XP_001602428.1	XP_017797568.1
OG0000146	XP_016840249.1	XP_017794829.1
OG0000146	XP_032452549.1, XP_001602324.1	XP_017789431.1
OG0000147	XP_001600440.1	XP_017799321.1
OG0000147	XP_001602387.1	XP_017792150.1, XP_017792149.1, XP_017792148.1
OG0000149	XP_001606233.2	XP_017788095.1
OG0000149	XP_016840414.1, XP_008211722.2	XP_017788073.1
OG0000150	XP_031781028.1, XP_031781038.1, XP_032457432.1	XP_017787586.1, XP_017787587.1
OG0000151	XP_003426709.1	XP_017798042.1, XP_017798041.1
OG0000152	XP_003425682.1, XP_032454103.1, XP_016839188.1, XP_008203561.1, XP_008203562.1, XP_032454105.1, XP_032454104.1, XP_032454106.1, XP_008203564.1, XP_008203563.1	XP_017794028.1, XP_017794027.1, XP_017794026.1, XP_017794030.1, XP_017794029.1, XP_017794031.1
OG0000153	XP_031778705.1, XP_031778704.1, XP_031778706.1	XP_017797758.1
OG0000154	XP_008203624.1, XP_008205027.1, XP_031788668.1, XP_008203596.1	XP_017795372.1
OG0000156	XP_031782954.1, XP_031782971.1, XP_032457184.1, XP_031782949.1, XP_031782945.1	XP_017788212.1, XP_017788213.1, XP_017788214.1, XP_017788216.1, XP_017788215.1
OG0000157	XP_032456198.1, XP_031788611.1	XP_017788698.1
OG0000158	XP_016840739.1, XP_031785765.1, XP_016840738.1	XP_017793668.1, XP_017793669.1
OG0000160	XP_008204617.1	XP_017795191.1
OG0000160	XP_003424871.1, XP_003424872.1	XP_017792249.1
OG0000161	XP_001599809.1, XP_016839500.1, XP_001605936.1, NP_001165968.1, XP_001603114.1, XP_031779032.1, NP_001165966.1, NP_001165965.1	XP_017791738.1
OG0000161	XP_001602765.2, XP_031779585.1	XP_017791682.1, XP_017791681.1, XP_017791680.1
OG0000162	NP_001234904.1, XP_031787426.1	XP_017797980.1
OG0000162	XP_008205092.1, NP_001234892.1	XP_017794848.1
OG0000162	XP_031789332.1, NP_001234893.1	XP_017787385.1
OG0000164	XP_031777945.1, XP_016843278.1, XP_031780582.1, XP_031777892.1, XP_031777902.1, XP_031780583.1	XP_017797560.1, XP_017797561.1
OG0000165	XP_008211085.1	XP_017795542.1
OG0000166	XP_032458153.1, XP_031777661.1, XP_031777675.1, XP_032458168.1	XP_017790571.1, XP_017790565.1, XP_017790567.1, XP_017790564.1, XP_017790576.1
OG0000168	XP_008207992.2	XP_017788116.1
OG0000168	XP_031785658.1	XP_017789057.1
OG0000170	XP_032453170.1	XP_017790420.1
OG0000170	XP_001604322.2	XP_017790362.1
OG0000170	XP_016837471.1, XP_016837469.1, XP_008204248.1, XP_016837470.2	XP_017790369.1
OG0000171	XP_032454904.1	XP_017787775.1
OG0000171	XP_016838928.1, XP_001608062.2, XP_031780002.1	XP_017787774.1, XP_017787850.1, XP_017787824.1
OG0000172	XP_031789541.1	XP_017792473.1, XP_017792475.1, XP_017792474.1, XP_017792472.1, XP_017792476.1
OG0000173	XP_031787440.1, NP_001153423.1, NP_001153422.1	XP_017794775.1, XP_017794776.1
OG0000174	XP_001600210.1	XP_017798800.1
OG0000176	NP_001127789.1	XP_017790348.1
OG0000177	XP_001606472.1	XP_017795594.1
OG0000177	XP_008210134.1	XP_017795592.1
OG0000177	XP_003427240.1	XP_017795589.1
OG0000178	XP_031787092.1	XP_017790433.1
OG0000179	XP_001604591.1	XP_017791990.1
OG0000179	XP_032451900.1, XP_001607038.1, XP_032451901.1	XP_017791524.1
OG0000180	XP_008206406.1, XP_001606981.2	XP_017787401.1, XP_017787400.1, XP_017787399.1
OG0000181	XP_001600458.2, XP_008214574.1, XP_008214578.1, XP_016845255.1	XP_017792968.1
OG0000182	XP_001601987.2, XP_016841479.1, XP_016841478.1, XP_031787113.1, XP_031787104.1, XP_031787105.1, XP_031787106.1, XP_031787109.1, XP_031787110.1, XP_031787111.1, XP_031787112.1, XP_008205687.1, XP_008205678.1, XP_031787103.1	XP_017794377.1
OG0000183	XP_003426002.1, XP_008204775.1, XP_008204776.1, XP_008204778.1	XP_017795084.1
OG0000183	XP_001603387.1	XP_017796132.1
OG0000184	NP_001177442.1, XP_031786125.1, NP_001177456.1, NP_001177454.1, NP_001177455.1, NP_001177445.1, NP_001177448.1, NP_001177447.1, XP_031786129.1, NP_001177452.1, NP_001177453.1, NP_001177446.1, XP_032454720.1, NP_001177450.1, NP_001164388.1, NP_001177421.1, NP_001177422.1, XP_016845192.1, NP_001177460.1, NP_001177457.1, NP_001177449.1, NP_001177451.1, NP_001164464.1, NP_001177642.1, XP_031786111.1, NP_001177697.1, NP_001177444.1, NP_001177458.1, NP_001177459.1, NP_001177443.1, NP_001177441.1	XP_017798954.1
OG0000185	XP_008202977.1	XP_017797685.1, XP_017797731.1
OG0000185	XP_032452589.1, NP_001136331.1, XP_008202533.1	XP_017797733.1
OG0000186	XP_008214191.1, NP_001165994.1	XP_017790553.1, XP_017790555.1
OG0000187	XP_016840762.1, XP_032455395.1, XP_032455396.1, XP_032455397.1, XP_008211394.1, XP_008211389.1, XP_031785200.1	XP_017797342.1
OG0000188	XP_031783182.1, XP_016839660.1	XP_017794866.1
OG0000188	XP_001604859.1	XP_017795271.1
OG0000189	XP_016838483.1, XP_031781823.1	XP_017795367.1
OG0000189	XP_031781874.1	XP_017787964.1, XP_017787967.1
OG0000190	XP_008201771.1, XP_032456089.1, XP_032456090.1, XP_032456086.1, XP_001605005.1, XP_032456093.1, XP_032456091.1, XP_032456092.1, XP_032456087.1, XP_032456088.1, XP_001604983.1, XP_003425264.1, XP_008201772.1, XP_032456085.1, XP_008201769.1, XP_032456082.1, XP_032456084.1, XP_032456083.1, XP_008201770.1	XP_017789755.1, XP_017789754.1, XP_017789756.1
OG0000191	XP_008207212.2	XP_017795883.1
OG0000192	XP_031780067.1, XP_031780066.1	XP_017792725.1
OG0000194	NP_001166262.1	XP_017799440.1
OG0000194	XP_003426834.1	XP_017799442.1
OG0000194	NP_001166261.1	XP_017799441.1
OG0000194	NP_001161280.1, XP_032451902.1	XP_017799437.1
