Orthogroup	Nasonia_vitripennis	Eufriesea_mexicana
OG0000022	XP_016836664.1, XP_031778026.1, XP_001607891.1, XP_001599199.1, XP_001599641.1, XP_001607931.1, XP_001608227.1, XP_031778029.1, XP_031778028.1, XP_031787981.1, XP_031787980.1, XP_001599883.1, XP_001603712.1, XP_001607947.1, XP_001607826.1, XP_032456654.1, XP_008202870.1, XP_001607717.1, XP_016843625.1, XP_001606447.1, XP_001600014.1	XP_017760075.1
OG0000023	XP_001608226.1, XP_001608234.1, XP_001599909.1, XP_003424473.1, XP_016844748.1, XP_001607906.1, XP_031778032.1, XP_031778031.1, XP_031777923.1, XP_031778030.1, XP_001607725.1, XP_031787982.1, XP_001607191.1, XP_031787525.1, XP_016836789.2, XP_001603608.1, XP_001607945.1	XP_017754147.1
OG0000024	XP_001604944.4	XP_017760258.1, XP_017760233.1, XP_017760260.1
OG0000024	XP_001599160.3	XP_017753491.1
OG0000024	XP_008216554.1	XP_017753899.1
OG0000024	NP_001166221.1	XP_017753900.1
OG0000026	XP_032452024.1	XP_017756869.1
OG0000026	XP_008204831.1	XP_017760223.1
OG0000026	XP_008210347.1, XP_016840213.1, XP_016840212.1, XP_031782078.1, XP_031782077.1, XP_031782079.1	XP_017753312.1
OG0000026	XP_001599637.2	XP_017767765.1
OG0000026	XP_001599666.2	XP_017752170.1
OG0000027	XP_001607554.1, XP_016844944.1, XP_001599220.1	XP_017764550.1
OG0000027	XP_003424595.1	XP_017764549.1
OG0000027	XP_001607894.1, XP_031777925.1, XP_031777924.1, XP_001599832.1, XP_001600560.1, XP_031785593.1, XP_031785592.1	XP_017754149.1
OG0000028	XP_008204703.2, XP_031789130.1	XP_017759127.1
OG0000029	XP_031787434.1, NP_001166269.1, NP_001166268.1, NP_001166270.1, NP_001166276.1, NP_001166277.1, XP_032455898.1, NP_001153407.1, NP_001161335.1	XP_017755085.1, XP_017755078.1
OG0000029	NP_001166265.1	XP_017764405.1, XP_017764404.1
OG0000029	NP_001166275.1, NP_001161319.1	XP_017755093.1
OG0000029	NP_001166272.1	XP_017755092.1
OG0000030	XP_031776890.1, XP_032457890.1, XP_001600309.1, XP_031776892.1, XP_008217013.1	XP_017761417.1, XP_017761416.1
OG0000032	XP_016838416.1	XP_017755945.1
OG0000032	XP_001600583.1	XP_017752458.1
OG0000032	NP_001164368.1	XP_017765759.1, XP_017765770.1
OG0000032	XP_003426142.1, XP_016840393.1, NP_001164369.1	XP_017762938.1
OG0000034	NP_001177542.1, XP_008213309.1, XP_016845719.1, NP_001177541.1, XP_031778221.1, NP_001177544.1, NP_001177545.1, NP_001177540.1, XP_032451687.1, NP_001177537.1, NP_001177539.1, XP_008214845.1, NP_001177640.2, NP_001177696.1, NP_001177538.1, NP_001177543.1, XP_008202544.1, NP_001164404.1, NP_001177548.1, NP_001177547.1, XP_032452241.1, NP_001177546.1, XP_031778374.1, NP_001177701.1, NP_001177700.1, XP_031789456.1, XP_031789459.1, NP_001177549.1	XP_017754777.1, XP_017754795.1, XP_017754776.1, XP_017754775.1, XP_017754778.1, XP_017754793.1, XP_017754773.1, XP_017754772.1
OG0000035	XP_016838618.1, XP_032453168.1, XP_031780251.1, XP_008204964.1	XP_017767482.1
OG0000036	XP_001607369.1, XP_031776621.1, XP_032451907.1, XP_032451908.1, XP_008215341.1, NP_001155022.1, XP_031776641.1, XP_003423856.1, XP_032451911.1, XP_016845877.1, XP_008215340.1	XP_017761194.1, XP_017761192.1
OG0000037	XP_008216622.1, XP_008216623.1	XP_017756758.1
OG0000038	XP_001607699.1, XP_001604160.1	XP_017766133.1, XP_017752930.1
OG0000038	XP_031786847.1, XP_032452100.1	XP_017758046.1
OG0000039	XP_031778424.1	XP_017756504.1, XP_017762235.1
OG0000040	XP_001607871.2, XP_031788471.1, XP_031783595.1, XP_032452313.1, XP_032456102.1, XP_016837475.1, XP_016836866.1, NP_001166253.1, XP_032457056.1, NP_001166073.1	XP_017754464.1
OG0000040	XP_032453050.1, NP_001166054.1, XP_016837013.1	XP_017760639.1
OG0000041	XP_032453601.1, NP_001157191.1, NP_001157192.1	XP_017765151.1, XP_017765153.1
OG0000041	XP_001600960.1	XP_017759621.1
OG0000041	XP_001601342.1	XP_017759619.1, XP_017759620.1
OG0000041	XP_001601504.1, XP_016845814.1	XP_017754630.1
OG0000042	XP_008205137.1, XP_008205135.1, XP_008205136.1	XP_017757032.1
OG0000042	XP_001607893.1	XP_017762656.1
OG0000042	XP_003425691.1, XP_032453872.1, XP_032453871.1, XP_031783785.1, XP_031783782.1, XP_031783784.1, XP_031783783.1	XP_017758606.1
OG0000043	XP_008208463.1	XP_017765446.1
OG0000044	XP_031787739.1	XP_017767293.1
OG0000044	XP_031788192.1	XP_017767304.1
OG0000045	NP_001153339.1, NP_001153340.1	XP_017753918.1
OG0000045	XP_001604662.2	XP_017763731.1
OG0000045	XP_032454987.1, XP_031784367.1	XP_017757512.1
OG0000046	XP_001604460.2	XP_017765106.1
OG0000046	XP_032452163.1, NP_001166228.1	XP_017757713.1
OG0000046	XP_001608044.1	XP_017764994.1
OG0000048	XP_003426470.1	XP_017756821.1, XP_017756820.1
OG0000048	XP_016841096.1	XP_017756884.1
OG0000048	XP_016841091.1, XP_016841092.1, XP_031787184.1	XP_017756888.1
OG0000048	XP_032456442.1	XP_017756810.1
OG0000048	XP_008207163.1	XP_017756812.1
OG0000048	XP_031787258.1	XP_017756879.1
OG0000048	XP_003426658.1	XP_017756818.1, XP_017756889.1
OG0000050	NP_001165950.1, XP_003427743.2, XP_001602331.2, NP_001165951.1, XP_032455970.1, NP_001165962.1, NP_001165960.1, NP_001165958.1, NP_001165947.1, XP_008212266.2	XP_017754840.1
OG0000050	XP_008216259.1, XP_001608200.1	XP_017754998.1
OG0000052	XP_001607313.2	XP_017753622.1
OG0000052	XP_031779680.1, XP_016838631.1	XP_017753621.1
OG0000054	XP_031780340.1, XP_031779198.1, NP_001166267.1, XP_032453034.1	XP_017761989.1
OG0000054	XP_016837121.1, XP_001602743.1, NP_001161317.1, XP_031780215.1, XP_031780249.1, XP_001602894.2	XP_017761973.1, XP_017761971.1
OG0000055	XP_001602853.1	XP_017756618.1, XP_017756620.1
OG0000055	XP_008215920.1	XP_017753007.1
OG0000055	XP_032454549.1	XP_017754560.1
OG0000055	XP_001600035.1, XP_008208159.3	XP_017759282.1
OG0000056	XP_031780252.1	XP_017763577.1
OG0000056	XP_001604931.2	XP_017761920.1
OG0000056	XP_008202999.3	XP_017759468.1
OG0000056	XP_008204847.1	XP_017758914.1
OG0000056	XP_031784842.1	XP_017762251.1
OG0000057	XP_031785452.1	XP_017757145.1
OG0000057	XP_001602360.1	XP_017767144.1
OG0000057	XP_003427519.1	XP_017757144.1
OG0000057	XP_001600234.1, XP_001606290.1	XP_017757146.1
OG0000058	NP_001177491.1	XP_017758945.1, XP_017758952.1, XP_017765356.1, XP_017765413.1, XP_017759157.1, XP_017760962.1, XP_017760963.1, XP_017760967.1, XP_017760966.1, XP_017753024.1, XP_017760964.1
OG0000060	XP_031784439.1, XP_031784422.1, XP_031784431.1	XP_017755704.1
OG0000060	XP_008205703.1, XP_016845553.1, XP_016845554.1, XP_016845551.1, XP_016845552.1	XP_017757183.1, XP_017756939.1, XP_017764156.1, XP_017757105.1, XP_017764190.1, XP_017764182.1, XP_017764164.1, XP_017757028.1, XP_017764173.1, XP_017757262.1
OG0000061	XP_031786737.1, NP_001164380.1	XP_017754233.1
OG0000062	XP_003425371.1	XP_017762224.1
OG0000062	XP_032453005.1, XP_001604985.1	XP_017762229.1
OG0000062	XP_003425370.1	XP_017762225.1
OG0000062	XP_008202211.1	XP_017762231.1
OG0000065	XP_001606156.1, XP_016836539.1, XP_016836538.1, XP_016836540.1, XP_008215330.1, XP_008215325.1, XP_008215326.1	XP_017764117.1
OG0000065	XP_032454719.1, XP_032453000.1, XP_008205745.1, XP_031776818.1, XP_001607018.2	XP_017764126.1, XP_017764130.1, XP_017764140.1
OG0000067	XP_001605420.2	XP_017760301.1
OG0000067	XP_031788440.1	XP_017754867.1
OG0000067	XP_031782248.1	XP_017757818.1
OG0000067	XP_008209138.1	XP_017760549.1
OG0000069	XP_008210453.1, XP_031787743.1, XP_031787545.1, XP_032457315.1, XP_031777449.1, XP_031777448.1, XP_001603733.2, XP_032453221.1, XP_032453241.1, XP_031777616.1, XP_031777617.1	XP_017754841.1
OG0000069	XP_031781625.1, XP_001600831.2, XP_001603386.1, XP_016840218.1, XP_001603747.1, XP_001603802.1	XP_017754842.1
OG0000070	NP_001177478.1, NP_001177482.1, XP_031786746.1, NP_001177477.1, NP_001177476.1, NP_001177475.1, NP_001177474.1, NP_001177471.1, NP_001177473.1, NP_001177468.1, NP_001177472.1, XP_032455989.1, NP_001177470.1, XP_032455987.1, NP_001177469.1, XP_032456565.1, NP_001177483.1, NP_001177484.1, XP_016841002.1, XP_032455990.1, NP_001177485.1, NP_001177479.1, NP_001177480.1, NP_001177481.1, XP_016841000.2	XP_017764085.1
OG0000073	XP_031786450.1, XP_003428114.1, XP_003428113.1	XP_017761873.1, XP_017761872.1, XP_017761874.1
OG0000074	XP_008207498.1, XP_031787381.1	XP_017761968.1, XP_017758620.1
OG0000077	XP_003423914.1	XP_017764095.1
OG0000077	XP_001605700.1, XP_008203901.1	XP_017755927.1
OG0000078	XP_031781939.1, NP_001177509.1, NP_001177508.1, XP_031781938.1, NP_001177507.1, NP_001177506.1	XP_017753026.1, XP_017753027.1, XP_017753037.1, XP_017753029.1
OG0000079	XP_031783468.1	XP_017754547.1, XP_017754546.1, XP_017754553.1, XP_017754566.1
OG0000080	XP_016838697.1, XP_001600017.1	XP_017763299.1
OG0000080	XP_001600048.1	XP_017763330.1, XP_017763331.1
OG0000080	XP_016838620.1	XP_017763303.1
OG0000082	XP_016845753.1	XP_017760548.1
OG0000084	XP_001600141.2	XP_017759811.1
OG0000084	NP_001161311.1	XP_017759821.1
OG0000084	NP_001161297.1, NP_001161274.1, NP_001161305.1	XP_017757681.1
OG0000085	XP_008205560.1, XP_032455585.1, XP_001604903.1, XP_031785409.1	XP_017757451.1
OG0000086	XP_031786740.1, NP_001166061.1	XP_017752779.1, XP_017752829.1, XP_017752828.1
OG0000086	XP_008218019.2	XP_017758047.1
OG0000087	NP_001153411.1	XP_017764961.1
OG0000087	XP_001603938.2	XP_017764986.1
OG0000087	XP_003425364.1, XP_001604204.2	XP_017764988.1, XP_017764987.1
OG0000089	XP_016843743.1	XP_017760295.1, XP_017760292.1, XP_017760296.1, XP_017760294.1, XP_017760299.1, XP_017760298.1, XP_017760293.1
OG0000089	XP_032457600.1, XP_031781522.1, XP_031781523.1, XP_003426759.1, XP_001601215.1, XP_001600717.1, XP_008212854.1, XP_031787101.1, XP_031781533.1, XP_001600653.1, XP_008207762.1, XP_001600905.2, XP_001600876.1, XP_001600931.2	XP_017760239.1
OG0000090	XP_031781279.1, XP_031785958.1	XP_017756654.1
OG0000091	XP_016842346.1, XP_016842349.1, XP_001606111.2, XP_016842348.1, XP_001606152.2	XP_017755131.1
OG0000092	NP_001153343.1	XP_017758288.1, XP_017758287.1
OG0000092	XP_016843499.1	XP_017758318.1
OG0000092	XP_001599003.1	XP_017766724.1, XP_017766723.1
OG0000093	XP_031781097.1	XP_017759423.1
OG0000094	XP_008208123.2, XP_001606944.4, XP_001606857.1, XP_008201862.1, XP_001606385.1	XP_017754032.1
OG0000094	XP_001605100.1	XP_017763745.1
OG0000094	XP_001600571.1	XP_017764407.1
OG0000095	XP_031783038.1, NP_001165978.1, NP_001165932.1, XP_001601822.2, NP_001165935.1, XP_031785516.1, XP_008213359.1, XP_031781916.1, NP_001165938.1, NP_001165934.1, XP_016841077.1, NP_001165987.1, NP_001352146.1, XP_016840411.1, NP_001165985.1	XP_017758948.1
OG0000096	XP_008209422.1	XP_017759853.1
OG0000096	XP_031777519.1, NP_001128139.2, XP_001600140.2, XP_008210082.1, XP_032454795.1, XP_008210079.1	XP_017753661.1
OG0000097	XP_001600781.1	XP_017759272.1, XP_017759271.1
OG0000097	NP_001166227.1, XP_008208182.1	XP_017755959.1, XP_017755960.1
OG0000098	XP_032454809.1, XP_032454803.1, XP_032454802.1, XP_032454801.1, XP_032454800.1, XP_032454805.1, XP_031786230.1, XP_016843896.1, XP_032454811.1, XP_032454806.1, XP_001603053.2, XP_032454810.1, XP_032454799.1, XP_032454808.1, XP_032454807.1	XP_017760521.1, XP_017760519.1, XP_017760520.1, XP_017760517.1, XP_017760518.1, XP_017760523.1, XP_017760524.1, XP_017760522.1
OG0000099	XP_008207065.2	XP_017762062.1, XP_017762063.1
OG0000099	XP_031785392.1	XP_017763025.1
OG0000100	XP_008215741.1, XP_008215742.1, XP_031787872.1, XP_032457061.1, XP_016844119.1	XP_017762097.1
OG0000101	XP_016842653.2	XP_017762608.1
OG0000101	XP_001603117.1, NP_001166254.1, XP_008211083.1, NP_001155060.1	XP_017752973.1, XP_017752972.1, XP_017762351.1
OG0000102	XP_031786135.1	XP_017755997.1
OG0000102	XP_031786805.1	XP_017756026.1
OG0000103	XP_031786310.1, XP_001604969.2	XP_017759973.1
OG0000106	NP_001177643.1, NP_001177620.1, NP_001177621.1	XP_017759614.1, XP_017761703.1
OG0000108	XP_001600108.2, NP_001136332.1, XP_031777794.1, XP_008213502.1, XP_016842778.1	XP_017755056.1, XP_017755065.1
OG0000109	XP_031780775.1, XP_032452756.1, XP_008217859.1, XP_008217864.1, XP_016837633.1	XP_017765546.1, XP_017765544.1, XP_017765545.1, XP_017765540.1, XP_017765542.1, XP_017765541.1, XP_017765543.1
OG0000110	XP_008201867.1	XP_017752642.1, XP_017763176.1
OG0000111	XP_008217621.1, XP_008217622.1, XP_016837442.1	XP_017759645.1
OG0000111	XP_001605587.3	XP_017756246.1
OG0000112	XP_003425489.1	XP_017760945.1, XP_017760944.1
OG0000112	XP_031780635.1	XP_017752746.1, XP_017752755.1, XP_017752737.1, XP_017752760.1, XP_017752729.1
OG0000113	XP_031785048.1, XP_001599906.1, XP_008208626.1	XP_017754450.1
OG0000113	XP_001603394.1, XP_008204873.1, XP_001603447.1	XP_017766321.1
OG0000114	XP_031788613.1, NP_001155043.1, XP_032454692.1	XP_017755231.1
OG0000115	NP_001165922.1, NP_001165921.1, NP_001165923.1	XP_017765840.1, XP_017765841.1, XP_017765838.1
OG0000115	NP_001165920.1, XP_008203102.1, XP_008203103.1, XP_032452848.1, XP_032457577.1, NP_001165924.1, NP_001165919.1, NP_001165918.1	XP_017757043.1
OG0000116	XP_031779751.1, XP_031779749.1, XP_031779753.1, XP_032451719.1, XP_031779741.1, XP_031779737.1, XP_032451720.1, XP_032451721.1	XP_017756858.1, XP_017756906.1
OG0000117	XP_003424885.1	XP_017754328.1
OG0000117	XP_016845279.1, XP_003428202.1, XP_008214870.1	XP_017755804.1
OG0000119	XP_031787150.1, XP_032456419.1, XP_031787154.1, XP_031787143.1, XP_031787149.1, XP_031787146.1, XP_031787160.1, XP_031787140.1	XP_017756878.1, XP_017756873.1
OG0000122	XP_001604760.1	XP_017760255.1
OG0000122	XP_031780275.1	XP_017761215.1
OG0000122	XP_001603886.1, XP_008216017.2	XP_017765619.1
OG0000123	XP_032452434.1, XP_001602993.1	XP_017760450.1, XP_017760451.1, XP_017760448.1, XP_017760449.1, XP_017760452.1
OG0000124	XP_031781470.1	XP_017759439.1, XP_017759448.1
OG0000125	XP_008201883.2, XP_031781412.1, XP_031788436.1, XP_031788437.1	XP_017752157.1, XP_017752160.1, XP_017752159.1, XP_017752162.1, XP_017752161.1, XP_017752163.1, XP_017767778.1, XP_017767758.1
OG0000126	XP_031784298.1, NP_001161164.1	XP_017753608.1, XP_017753607.1, XP_017753606.1, XP_017753605.1, XP_017753604.1
OG0000127	XP_031782271.1, XP_031782270.1	XP_017754012.1, XP_017754013.1
OG0000127	XP_001606042.2	XP_017754044.1
OG0000129	XP_032454413.1, XP_016839449.1	XP_017753388.1
OG0000130	XP_031776696.1	XP_017759668.1
OG0000131	NP_001153335.1, XP_032458192.1	XP_017758818.1
OG0000131	XP_031781148.1	XP_017761464.1
OG0000131	XP_001599092.1	XP_017761457.1
OG0000131	XP_032457465.1	XP_017761449.1
OG0000132	XP_031780045.1, XP_032453407.1	XP_017760124.1
OG0000132	XP_016837749.1	XP_017756059.1
OG0000133	XP_031778739.1, XP_031778741.1, XP_008208013.1, XP_031778740.1	XP_017755394.1
OG0000135	XP_001603134.1	XP_017761243.1
OG0000135	XP_001603371.1	XP_017754219.1
OG0000136	XP_008208307.1	XP_017753466.1, XP_017753465.1, XP_017753464.1, XP_017753463.1, XP_017753462.1, XP_017753460.1
OG0000137	XP_016841737.2	XP_017758968.1
OG0000138	XP_031787653.1, XP_001605659.1	XP_017753919.1, XP_017753916.1
OG0000139	XP_031783357.1, XP_001606341.1	XP_017764607.1
OG0000139	XP_016838561.1, XP_001602751.1, XP_008204858.1, XP_032452316.1, XP_032452315.1	XP_017764606.1
OG0000140	XP_003424447.1	XP_017761604.1
OG0000141	XP_032458118.1, XP_032458115.1, XP_032458114.1, XP_031789200.1	XP_017757816.1
OG0000142	XP_031788758.1, NP_001177427.1, NP_001177428.1	XP_017752989.1, XP_017752988.1, XP_017752990.1
OG0000143	XP_008203875.1	XP_017757050.1
OG0000143	XP_003425736.1, XP_001605275.2, XP_032454553.1	XP_017765696.1, XP_017765697.1, XP_017765698.1
OG0000144	XP_016839327.2, NP_001153417.1, XP_032453317.1, XP_032453316.1	XP_017759465.1
OG0000144	NP_001164332.1	XP_017759475.1
OG0000145	XP_001607062.1	XP_017753508.1, XP_017753509.1
OG0000145	XP_001602428.1	XP_017752454.1
OG0000146	XP_016840249.1	XP_017762149.1
OG0000146	XP_032452549.1, XP_001602324.1	XP_017757313.1
OG0000147	XP_001600440.1	XP_017764859.1
OG0000147	XP_001602387.1	XP_017755245.1
OG0000149	XP_001606233.2	XP_017752370.1
OG0000149	XP_016840414.1, XP_008211722.2	XP_017752374.1, XP_017752372.1, XP_017752371.1
OG0000150	XP_031781028.1, XP_031781038.1, XP_032457432.1	XP_017761423.1
OG0000151	XP_003426709.1	XP_017754495.1, XP_017754494.1
OG0000152	XP_003425682.1, XP_032454103.1, XP_016839188.1, XP_008203561.1, XP_008203562.1, XP_032454105.1, XP_032454104.1, XP_032454106.1, XP_008203564.1, XP_008203563.1	XP_017752525.1, XP_017752524.1, XP_017752522.1, XP_017752523.1, XP_017752519.1, XP_017752521.1
OG0000153	XP_031778705.1, XP_031778704.1, XP_031778706.1	XP_017752578.1, XP_017752577.1
OG0000154	XP_008203624.1, XP_008205027.1, XP_031788668.1, XP_008203596.1	XP_017755034.1, XP_017755068.1
OG0000156	XP_031782954.1, XP_031782971.1, XP_032457184.1, XP_031782949.1, XP_031782945.1	XP_017764881.1
OG0000157	XP_032456198.1, XP_031788611.1	XP_017766794.1
OG0000160	XP_008204617.1	XP_017762321.1
OG0000160	XP_003424871.1, XP_003424872.1	XP_017760990.1, XP_017760976.1, XP_017760983.1, XP_017760969.1
OG0000161	XP_001599809.1, XP_016839500.1, XP_001605936.1, NP_001165968.1, XP_001603114.1, XP_031779032.1, NP_001165966.1, NP_001165965.1	XP_017766190.1
OG0000161	XP_001602765.2, XP_031779585.1	XP_017765612.1, XP_017766182.1, XP_017766192.1, XP_017753075.1, XP_017765621.1
OG0000162	NP_001234904.1, XP_031787426.1	XP_017760661.1
OG0000162	XP_008205092.1, NP_001234892.1	XP_017760068.1, XP_017761789.1
OG0000162	XP_031789332.1, NP_001234893.1	XP_017758852.1
OG0000164	XP_031777945.1, XP_016843278.1, XP_031780582.1, XP_031777892.1, XP_031777902.1, XP_031780583.1	XP_017752452.1, XP_017752453.1, XP_017752455.1
OG0000165	XP_008211085.1	XP_017754783.1
OG0000166	XP_032458153.1, XP_031777661.1, XP_031777675.1, XP_032458168.1	XP_017765680.1
OG0000168	XP_008207992.2	XP_017755371.1
OG0000170	XP_016837471.1, XP_016837469.1, XP_008204248.1, XP_016837470.2	XP_017767455.1
OG0000171	XP_016838928.1, XP_001608062.2, XP_031780002.1	XP_017763743.1, XP_017763746.1
OG0000172	XP_031789541.1	XP_017756212.1, XP_017756209.1, XP_017756208.1, XP_017756205.1, XP_017756207.1, XP_017756206.1, XP_017756210.1, XP_017756211.1
OG0000173	XP_031787440.1, NP_001153423.1, NP_001153422.1	XP_017753788.1, XP_017753789.1
OG0000174	XP_001600210.1	XP_017759915.1, XP_017759914.1, XP_017759916.1, XP_017765580.1
OG0000176	NP_001127789.1	XP_017757060.1
OG0000177	XP_001606472.1	XP_017754838.1
OG0000177	XP_008210134.1	XP_017754830.1
OG0000177	XP_003427240.1	XP_017754833.1
OG0000178	XP_031787092.1	XP_017764768.1
OG0000179	XP_001604591.1	XP_017762472.1
OG0000179	XP_032451900.1, XP_001607038.1, XP_032451901.1	XP_017762477.1, XP_017762476.1
OG0000180	XP_008206406.1, XP_001606981.2	XP_017764209.1, XP_017764210.1, XP_017764208.1
OG0000181	XP_001600458.2, XP_008214574.1, XP_008214578.1, XP_016845255.1	XP_017763403.1, XP_017763404.1
OG0000182	XP_001601987.2, XP_016841479.1, XP_016841478.1, XP_031787113.1, XP_031787104.1, XP_031787105.1, XP_031787106.1, XP_031787109.1, XP_031787110.1, XP_031787111.1, XP_031787112.1, XP_008205687.1, XP_008205678.1, XP_031787103.1	XP_017761809.1, XP_017761808.1
OG0000183	XP_003426002.1, XP_008204775.1, XP_008204776.1, XP_008204778.1	XP_017755734.1
OG0000183	XP_001603387.1	XP_017758250.1
OG0000184	NP_001177442.1, XP_031786125.1, NP_001177456.1, NP_001177454.1, NP_001177455.1, NP_001177445.1, NP_001177448.1, NP_001177447.1, XP_031786129.1, NP_001177452.1, NP_001177453.1, NP_001177446.1, XP_032454720.1, NP_001177450.1, NP_001164388.1, NP_001177421.1, NP_001177422.1, XP_016845192.1, NP_001177460.1, NP_001177457.1, NP_001177449.1, NP_001177451.1, NP_001164464.1, NP_001177642.1, XP_031786111.1, NP_001177697.1, NP_001177444.1, NP_001177458.1, NP_001177459.1, NP_001177443.1, NP_001177441.1	XP_017766044.1
OG0000185	XP_008202977.1	XP_017760614.1, XP_017760602.1
OG0000185	XP_032452589.1, NP_001136331.1, XP_008202533.1	XP_017760610.1
OG0000186	XP_008214191.1, NP_001165994.1	XP_017765694.1, XP_017765695.1
OG0000187	XP_016840762.1, XP_032455395.1, XP_032455396.1, XP_032455397.1, XP_008211394.1, XP_008211389.1, XP_031785200.1	XP_017755788.1, XP_017755787.1
OG0000188	XP_031783182.1, XP_016839660.1	XP_017762123.1
OG0000188	XP_001604859.1	XP_017761111.1
OG0000189	XP_016838483.1, XP_031781823.1	XP_017753298.1, XP_017753288.1
OG0000189	XP_031781874.1	XP_017753499.1
