Orthogroup	Nasonia_vitripennis	Nomia_melanderi
OG0000026	XP_001599637.2	XP_031839037.1
OG0000027	XP_001599471.2	XP_031849044.1
OG0000027	XP_001607925.1, XP_031778034.1, XP_031778033.1, XP_001607894.1, XP_031777925.1, XP_031777924.1, XP_001599832.1, XP_001600560.1, XP_031785593.1, XP_031785592.1, XP_001599230.1, XP_031778035.1	XP_031839376.1
OG0000029	XP_031787434.1, NP_001166269.1, NP_001166268.1, NP_001166270.1, NP_001166276.1, NP_001166277.1, XP_032455898.1, NP_001153407.1, NP_001161335.1	XP_031829744.1, XP_031829801.1
OG0000029	NP_001166265.1	XP_031827213.1, XP_031827214.1, XP_031827215.1
OG0000029	NP_001166272.1	XP_031829841.1
OG0000030	XP_031776890.1	XP_031827412.1
OG0000032	XP_016838416.1	XP_031845598.1
OG0000032	XP_031787250.1	XP_031832803.1
OG0000032	NP_001164368.1	XP_031833782.1
OG0000032	XP_003426142.1, XP_016840393.1, NP_001164369.1	XP_031831095.1
OG0000035	XP_016838618.1, XP_032453168.1, XP_031780251.1, XP_008204964.1	XP_031842253.1, XP_031842459.1
OG0000036	XP_001607369.1, XP_031776621.1, XP_032451907.1, XP_032451908.1, XP_008215341.1, NP_001155022.1, XP_031776641.1, XP_003423856.1, XP_032451911.1, XP_016845877.1, XP_008215340.1	XP_031844820.1, XP_031844747.1, XP_031844815.1, XP_031849986.1, XP_031850071.1
OG0000037	XP_008216622.1, XP_008216623.1	XP_031838355.1
OG0000038	XP_001607699.1, XP_001604160.1	XP_031848143.1, XP_031835042.1
OG0000038	XP_031786847.1, XP_032452100.1	XP_031847407.1
OG0000039	XP_031778424.1	XP_031848932.1, XP_031848981.1, XP_031831007.1
OG0000040	XP_031787073.1	XP_031849129.1, XP_031847901.1, XP_031847689.1
OG0000040	XP_001607871.2, XP_031788471.1, XP_031783595.1, XP_032452313.1, XP_032456102.1, XP_016837475.1, XP_016836866.1, NP_001166253.1, XP_032457056.1, NP_001166073.1	XP_031847213.1
OG0000041	XP_032453601.1, NP_001157191.1, NP_001157192.1	XP_031836959.1, XP_031836960.1
OG0000041	XP_001601342.1	XP_031828119.1, XP_031828107.1
OG0000042	XP_008205137.1, XP_008205135.1, XP_008205136.1	XP_031842358.1
OG0000043	XP_008208463.1	XP_031842101.1
OG0000044	XP_031787739.1	XP_031831328.1
OG0000044	XP_031788192.1	XP_031848718.1, XP_031848716.1, XP_031848717.1
OG0000044	XP_016842461.1	XP_031849052.1, XP_031844224.1
OG0000045	XP_001604688.1, XP_001604507.3, XP_001604459.1	XP_031836513.1
OG0000045	NP_001153339.1, NP_001153340.1	XP_031839078.1
OG0000045	XP_001604662.2	XP_031836517.1, XP_031836516.1, XP_031836515.1
OG0000045	XP_032454987.1, XP_031784367.1	XP_031833680.1
OG0000046	XP_001604460.2	XP_031849512.1
OG0000046	XP_032452163.1, NP_001166228.1	XP_031844716.1
OG0000046	XP_001608044.1	XP_031825836.1
OG0000048	XP_016841091.1, XP_016841092.1, XP_031787184.1	XP_031848637.1, XP_031848639.1
OG0000048	XP_031787258.1	XP_031848633.1
OG0000048	XP_031787181.1	XP_031848644.1
OG0000050	XP_008216259.1, XP_001608200.1	XP_031826510.1, XP_031826305.1, XP_031826306.1
OG0000052	XP_001607313.2	XP_031831624.1, XP_031831623.1
OG0000054	XP_031780340.1, XP_031779198.1, NP_001166267.1, XP_032453034.1	XP_031843412.1
OG0000054	XP_016837121.1, XP_001602743.1, NP_001161317.1, XP_031780215.1, XP_031780249.1, XP_001602894.2	XP_031843397.1, XP_031843398.1
OG0000055	XP_001602853.1	XP_031825307.1
OG0000055	XP_008215920.1	XP_031844409.1
OG0000055	XP_032454549.1	XP_031846127.1
OG0000055	XP_001600035.1, XP_008208159.3	XP_031827062.1
OG0000056	XP_031780252.1	XP_031840201.1
OG0000056	XP_001604931.2	XP_031838488.1
OG0000056	XP_008202999.3	XP_031846527.1
OG0000056	XP_008204847.1	XP_031838897.1
OG0000056	XP_032455826.1	XP_031831701.1
OG0000056	XP_031784842.1	XP_031835578.1
OG0000057	XP_031785452.1	XP_031845337.1
OG0000057	XP_001602360.1	XP_031832931.1
OG0000057	XP_003427519.1	XP_031845459.1
OG0000057	XP_001600234.1, XP_001606290.1	XP_031845030.1
OG0000058	NP_001177491.1	XP_031838282.1, XP_031838462.1, XP_031838489.1, XP_031838503.1, XP_031838476.1
OG0000060	XP_031784439.1, XP_031784422.1, XP_031784431.1	XP_031827529.1, XP_031827528.1
OG0000060	XP_008205703.1, XP_016845553.1, XP_016845554.1, XP_016845551.1, XP_016845552.1	XP_031827527.1
OG0000061	XP_031786737.1, NP_001164380.1	XP_031839331.1
OG0000062	XP_003425371.1	XP_031836310.1
OG0000062	XP_032453005.1, XP_001604985.1	XP_031836308.1
OG0000062	XP_003425370.1	XP_031836306.1
OG0000062	XP_008202211.1	XP_031836307.1, XP_031836020.1
OG0000065	XP_001606156.1, XP_016836539.1, XP_016836538.1, XP_016836540.1, XP_008215330.1, XP_008215325.1, XP_008215326.1	XP_031830877.1
OG0000065	XP_032454719.1, XP_032453000.1, XP_008205745.1, XP_031776818.1, XP_001607018.2	XP_031830875.1, XP_031831100.1
OG0000067	XP_001605420.2	XP_031834066.1
OG0000067	XP_031788440.1	XP_031838504.1
OG0000067	XP_031782248.1	XP_031837354.1
OG0000067	XP_008209138.1	XP_031845953.1
OG0000069	XP_008210453.1, XP_031787743.1, XP_031787545.1, XP_032457315.1, XP_031777449.1, XP_031777448.1, XP_001603733.2, XP_032453221.1, XP_032453241.1, XP_031777616.1, XP_031777617.1	XP_031829088.1, XP_031829087.1
OG0000069	XP_031781625.1, XP_001600831.2, XP_001603386.1, XP_016840218.1, XP_001603747.1, XP_001603802.1	XP_031829093.1, XP_031829089.1
OG0000070	NP_001177478.1, NP_001177482.1, XP_031786746.1, NP_001177477.1, NP_001177476.1, NP_001177475.1, NP_001177474.1, NP_001177471.1, NP_001177473.1, NP_001177468.1, NP_001177472.1, XP_032455989.1, NP_001177470.1, XP_032455987.1, NP_001177469.1, XP_032456565.1, NP_001177483.1, NP_001177484.1, XP_016841002.1, XP_032455990.1, NP_001177485.1, NP_001177479.1, NP_001177480.1, NP_001177481.1, XP_016841000.2	XP_031839945.1, XP_031848755.1, XP_031848754.1
OG0000073	XP_031786450.1, XP_003428114.1, XP_003428113.1	XP_031842058.1, XP_031837430.1
OG0000074	XP_008207498.1, XP_031787381.1	XP_031849072.1
OG0000077	XP_003423914.1	XP_031841494.1, XP_031841485.1
OG0000077	XP_001605700.1, XP_008203901.1	XP_031831897.1
OG0000078	XP_031781939.1, NP_001177509.1, NP_001177508.1, XP_031781938.1, NP_001177507.1, NP_001177506.1	XP_031834906.1, XP_031834907.1
OG0000079	XP_031783468.1	XP_031846019.1
OG0000080	XP_016838697.1, XP_001600017.1	XP_031827008.1, XP_031827009.1, XP_031827010.1, XP_031827011.1, XP_031827012.1, XP_031827013.1, XP_031827007.1
OG0000080	XP_001600048.1	XP_031826836.1, XP_031826837.1
OG0000080	XP_016838620.1	XP_031827281.1, XP_031827282.1, XP_031827283.1, XP_031827284.1
OG0000081	NP_001164391.1, NP_001177501.1, XP_031786138.1	XP_031847372.1
OG0000082	XP_016845753.1	XP_031829547.1
OG0000084	XP_001600141.2	XP_031839514.1
OG0000084	NP_001161311.1	XP_031839516.1
OG0000084	NP_001161297.1, NP_001161274.1, NP_001161305.1	XP_031839314.1
OG0000085	XP_008205560.1, XP_032455585.1, XP_001604903.1, XP_031785409.1	XP_031843333.1
OG0000086	XP_008218019.2	XP_031842854.1
OG0000087	NP_001153410.1	XP_031843075.1
OG0000087	NP_001153411.1	XP_031843076.1
OG0000087	XP_001603938.2	XP_031843049.1
OG0000089	XP_016843743.1	XP_031841904.1, XP_031841905.1, XP_031841906.1
OG0000089	XP_032457600.1, XP_031781522.1, XP_031781523.1, XP_003426759.1, XP_001601215.1, XP_001600717.1, XP_008212854.1, XP_031787101.1, XP_031781533.1, XP_001600653.1, XP_008207762.1, XP_001600905.2, XP_001600876.1, XP_001600931.2	XP_031839041.1
OG0000091	XP_016842346.1, XP_016842349.1, XP_001606111.2, XP_016842348.1, XP_001606152.2	XP_031846471.1, XP_031846477.1, XP_031846470.1
OG0000092	NP_001153343.1	XP_031836523.1
OG0000092	XP_016843499.1	XP_031836568.1
OG0000092	XP_001599003.1	XP_031827660.1
OG0000094	XP_008208123.2, XP_001606944.4, XP_001606857.1, XP_008201862.1, XP_001606385.1	XP_031847199.1, XP_031847200.1
OG0000094	XP_001605100.1	XP_031827484.1
OG0000094	XP_001600571.1	XP_031826729.1, XP_031826728.1
OG0000095	XP_031783038.1, NP_001165978.1, NP_001165932.1, XP_001601822.2, NP_001165935.1, XP_031785516.1, XP_008213359.1, XP_031781916.1, NP_001165938.1, NP_001165934.1, XP_016841077.1, NP_001165987.1, NP_001352146.1, XP_016840411.1, NP_001165985.1	XP_031850007.1, XP_031850009.1, XP_031850008.1
OG0000096	XP_008209422.1	XP_031832678.1
OG0000096	XP_031777519.1, NP_001128139.2, XP_001600140.2, XP_008210082.1, XP_032454795.1, XP_008210079.1	XP_031843327.1
OG0000097	XP_001600781.1	XP_031827452.1, XP_031827442.1, XP_031827429.1, XP_031827419.1, XP_031827413.1
OG0000097	NP_001166227.1, XP_008208182.1	XP_031831172.1, XP_031831171.1, XP_031831170.1
OG0000098	XP_032454809.1, XP_032454803.1, XP_032454802.1, XP_032454801.1, XP_032454800.1, XP_032454805.1, XP_031786230.1, XP_016843896.1, XP_032454811.1, XP_032454806.1, XP_001603053.2, XP_032454810.1, XP_032454799.1, XP_032454808.1, XP_032454807.1	XP_031830538.1, XP_031830536.1, XP_031830540.1, XP_031830537.1
OG0000099	XP_008207065.2	XP_031844823.1, XP_031844824.1, XP_031844822.1
OG0000099	XP_031785392.1	XP_031843262.1
OG0000100	XP_008215741.1, XP_008215742.1, XP_031787872.1, XP_032457061.1, XP_016844119.1	XP_031841397.1, XP_031841398.1, XP_031841396.1, XP_031841400.1, XP_031841409.1, XP_031841408.1, XP_031841399.1, XP_031841403.1, XP_031841402.1, XP_031841407.1, XP_031841406.1, XP_031841405.1, XP_031841404.1, XP_031841395.1
OG0000101	XP_016842653.2	XP_031848007.1
OG0000101	NP_001155060.1	XP_031848006.1
OG0000102	XP_031786135.1	XP_031830192.1
OG0000102	XP_031786805.1	XP_031830259.1
OG0000103	XP_031786310.1, XP_001604969.2	XP_031830618.1
OG0000106	NP_001177643.1, NP_001177620.1, NP_001177621.1	XP_031841956.1, XP_031838896.1
OG0000108	XP_001600108.2, NP_001136332.1, XP_031777794.1, XP_008213502.1, XP_016842778.1	XP_031836809.1
OG0000109	XP_031780775.1, XP_032452756.1, XP_008217859.1, XP_008217864.1, XP_016837633.1	XP_031828710.1, XP_031828711.1, XP_031828714.1, XP_031828715.1, XP_031828712.1, XP_031828713.1, XP_031828722.1, XP_031828723.1, XP_031828724.1, XP_031828718.1, XP_031828720.1, XP_031828721.1, XP_031828719.1, XP_031828716.1
OG0000110	XP_008201867.1	XP_031837099.1, XP_031848100.1, XP_031848102.1
OG0000111	XP_008217621.1, XP_008217622.1, XP_016837442.1	XP_031843589.1
OG0000111	XP_031786448.1, NP_001155154.1, XP_031786258.1, XP_001603551.4, XP_032452574.1	XP_031825716.1
OG0000111	XP_001605587.3	XP_031842672.1
OG0000112	XP_003425489.1	XP_031849209.1, XP_031849210.1, XP_031849208.1, XP_031849207.1
OG0000112	XP_031780635.1	XP_031831414.1
OG0000113	XP_031785048.1, XP_001599906.1, XP_008208626.1	XP_031838147.1
OG0000113	XP_001603394.1, XP_008204873.1, XP_001603447.1	XP_031842250.1
OG0000114	XP_031785569.1, NP_001155077.1	XP_031825659.1
OG0000114	XP_031788613.1, NP_001155043.1, XP_032454692.1	XP_031825640.1
OG0000115	NP_001165922.1, NP_001165921.1, NP_001165923.1	XP_031842331.1
OG0000115	NP_001165920.1, XP_008203102.1, XP_008203103.1, XP_032452848.1, XP_032457577.1, NP_001165924.1, NP_001165919.1, NP_001165918.1	XP_031842255.1
OG0000116	XP_031779751.1, XP_031779749.1, XP_031779753.1, XP_032451719.1, XP_031779741.1, XP_031779737.1, XP_032451720.1, XP_032451721.1	XP_031837852.1, XP_031837855.1, XP_031837856.1, XP_031837853.1, XP_031837854.1, XP_031837857.1, XP_031837858.1, XP_031837730.1
OG0000117	XP_003424885.1	XP_031840830.1
OG0000117	XP_016845279.1, XP_003428202.1, XP_008214870.1	XP_031841113.1, XP_031841103.1, XP_031841094.1, XP_031841084.1, XP_031841121.1, XP_031841052.1, XP_031841129.1, XP_031841059.1, XP_031841076.1, XP_031841068.1, XP_031841042.1
OG0000119	XP_031787150.1, XP_032456419.1, XP_031787154.1, XP_031787143.1, XP_031787149.1, XP_031787146.1, XP_031787160.1, XP_031787140.1	XP_031848621.1, XP_031848628.1, XP_031848630.1, XP_031848631.1
OG0000122	XP_001604760.1	XP_031848880.1
OG0000122	XP_001603886.1, XP_008216017.2	XP_031833934.1
OG0000123	XP_032452434.1, XP_001602993.1	XP_031829219.1
OG0000124	XP_031781470.1	XP_031838642.1, XP_031838635.1, XP_031838638.1, XP_031838640.1, XP_031838636.1, XP_031838637.1, XP_031838643.1, XP_031838641.1
OG0000125	XP_008201883.2, XP_031781412.1, XP_031788436.1, XP_031788437.1	XP_031839027.1, XP_031839025.1, XP_031838819.1, XP_031838775.1
OG0000126	XP_031784298.1, NP_001161164.1	XP_031846352.1
OG0000127	XP_031782271.1, XP_031782270.1	XP_031849581.1, XP_031849592.1, XP_031846850.1
OG0000129	XP_032454413.1, XP_016839449.1	XP_031848648.1, XP_031848647.1
OG0000130	XP_031776696.1	XP_031826201.1
OG0000131	NP_001153335.1, XP_032458192.1	XP_031828484.1
OG0000131	XP_001599092.1	XP_031840624.1, XP_031840625.1, XP_031840622.1, XP_031840623.1
OG0000132	XP_031780045.1, XP_032453407.1	XP_031829308.1
OG0000132	XP_016837749.1	XP_031845637.1, XP_031845638.1, XP_031845639.1
OG0000133	XP_031778739.1, XP_031778741.1, XP_008208013.1, XP_031778740.1	XP_031836871.1, XP_031836868.1
OG0000135	XP_001603134.1	XP_031837271.1
OG0000135	XP_001603371.1	XP_031839483.1
OG0000136	XP_008208307.1	XP_031828129.1, XP_031828130.1, XP_031827941.1, XP_031829540.1
OG0000137	XP_016841737.2	XP_031830054.1, XP_031830055.1, XP_031830052.1
OG0000138	XP_031787653.1, XP_001605659.1	XP_031839076.1, XP_031839079.1
OG0000139	XP_031783357.1, XP_001606341.1	XP_031836046.1, XP_031836045.1, XP_031836044.1, XP_031836043.1
OG0000139	XP_016838561.1, XP_001602751.1, XP_008204858.1, XP_032452316.1, XP_032452315.1	XP_031836055.1, XP_031836054.1
OG0000140	XP_003424447.1	XP_031832920.1
OG0000141	XP_032458118.1, XP_032458115.1, XP_032458114.1, XP_031789200.1	XP_031837195.1
OG0000142	XP_031788758.1, NP_001177427.1, NP_001177428.1	XP_031844401.1, XP_031844400.1, XP_031844389.1
OG0000143	XP_008203875.1	XP_031839633.1
OG0000143	XP_003425736.1, XP_001605275.2, XP_032454553.1	XP_031839547.1
OG0000144	XP_016839327.2, NP_001153417.1, XP_032453317.1, XP_032453316.1	XP_031829750.1
OG0000144	NP_001164332.1	XP_031829842.1
OG0000145	XP_001607062.1	XP_031837412.1
OG0000145	XP_001602428.1	XP_031838797.1, XP_031838795.1
OG0000146	XP_016840249.1	XP_031825439.1
OG0000146	XP_032452549.1, XP_001602324.1	XP_031844338.1
OG0000147	XP_001602387.1	XP_031846647.1
OG0000149	XP_016840414.1, XP_008211722.2	XP_031844539.1
OG0000150	XP_031781028.1, XP_031781038.1, XP_032457432.1	XP_031826266.1, XP_031826326.1
OG0000151	XP_003426709.1	XP_031850487.1, XP_031850486.1, XP_031850491.1, XP_031850490.1, XP_031850493.1, XP_031850492.1, XP_031850494.1, XP_031850488.1
OG0000152	XP_003425682.1, XP_032454103.1, XP_016839188.1, XP_008203561.1, XP_008203562.1, XP_032454105.1, XP_032454104.1, XP_032454106.1, XP_008203564.1, XP_008203563.1	XP_031830368.1
OG0000153	XP_031778705.1, XP_031778704.1, XP_031778706.1	XP_031837357.1, XP_031837349.1, XP_031837338.1, XP_031837284.1, XP_031837302.1, XP_031837367.1, XP_031837294.1, XP_031837319.1, XP_031837312.1, XP_031837329.1, XP_031837276.1
OG0000154	XP_008203624.1, XP_008205027.1, XP_031788668.1, XP_008203596.1	XP_031838095.1
OG0000156	XP_031782954.1, XP_031782971.1, XP_032457184.1, XP_031782949.1, XP_031782945.1	XP_031828385.1, XP_031828383.1, XP_031828384.1, XP_031828378.1, XP_031828379.1, XP_031828380.1, XP_031828382.1, XP_031828374.1, XP_031828375.1, XP_031828376.1, XP_031828377.1, XP_031828389.1, XP_031828387.1, XP_031828386.1, XP_031828373.1, XP_031828388.1
OG0000157	XP_032456198.1, XP_031788611.1	XP_031827676.1
OG0000160	XP_008204617.1	XP_031835553.1
OG0000160	XP_003424871.1, XP_003424872.1	XP_031840569.1, XP_031840564.1, XP_031840565.1, XP_031840566.1, XP_031840570.1
OG0000161	XP_001599809.1, XP_016839500.1, XP_001605936.1, NP_001165968.1, XP_001603114.1, XP_031779032.1, NP_001165966.1, NP_001165965.1	XP_031840747.1, XP_031840748.1
OG0000161	XP_001602765.2, XP_031779585.1	XP_031840749.1
OG0000162	NP_001234904.1, XP_031787426.1	XP_031844217.1
OG0000162	XP_031789332.1, NP_001234893.1	XP_031846677.1, XP_031846685.1
OG0000164	XP_031777945.1, XP_016843278.1, XP_031780582.1, XP_031777892.1, XP_031777902.1, XP_031780583.1	XP_031838886.1, XP_031838889.1, XP_031838888.1
OG0000165	XP_008211085.1	XP_031849879.1
OG0000166	XP_032458153.1, XP_031777661.1, XP_031777675.1, XP_032458168.1	XP_031834782.1, XP_031834789.1, XP_031834779.1, XP_031834778.1, XP_031834773.1
OG0000168	XP_008207992.2	XP_031840911.1
OG0000170	XP_032453170.1	XP_031847928.1
OG0000170	XP_001604322.2	XP_031847930.1
OG0000170	XP_016837471.1, XP_016837469.1, XP_008204248.1, XP_016837470.2	XP_031847927.1, XP_031847933.1
OG0000171	XP_016838928.1, XP_001608062.2, XP_031780002.1	XP_031825968.1, XP_031826361.1, XP_031826360.1, XP_031826362.1
OG0000172	XP_031789541.1	XP_031826024.1, XP_031826014.1, XP_031826006.1, XP_031825998.1, XP_031825989.1, XP_031825979.1
OG0000173	XP_031787440.1, NP_001153423.1, NP_001153422.1	XP_031842563.1, XP_031842562.1, XP_031842566.1, XP_031842567.1, XP_031842564.1, XP_031842565.1, XP_031842571.1, XP_031842572.1, XP_031842568.1, XP_031842569.1
OG0000174	XP_001600210.1	XP_031832594.1, XP_031832593.1, XP_031832592.1
OG0000176	NP_001127789.1	XP_031839720.1
OG0000177	XP_001606472.1	XP_031850035.1
OG0000177	XP_008210134.1	XP_031849982.1, XP_031849983.1
OG0000177	XP_003427240.1	XP_031849977.1, XP_031849980.1
OG0000178	XP_031787092.1	XP_031843734.1
OG0000179	XP_001604591.1	XP_031846959.1, XP_031846958.1, XP_031846955.1, XP_031846954.1, XP_031846953.1, XP_031846957.1, XP_031846956.1
OG0000179	XP_032451900.1, XP_001607038.1, XP_032451901.1	XP_031842123.1
OG0000180	XP_008206406.1, XP_001606981.2	XP_031829739.1, XP_031829734.1, XP_031829738.1, XP_031829737.1, XP_031829736.1, XP_031829735.1
OG0000181	XP_001600458.2, XP_008214574.1, XP_008214578.1, XP_016845255.1	XP_031850222.1, XP_031850221.1, XP_031850223.1, XP_031850218.1, XP_031850220.1
OG0000182	XP_001601987.2, XP_016841479.1, XP_016841478.1, XP_031787113.1, XP_031787104.1, XP_031787105.1, XP_031787106.1, XP_031787109.1, XP_031787110.1, XP_031787111.1, XP_031787112.1, XP_008205687.1, XP_008205678.1, XP_031787103.1	XP_031841728.1
OG0000183	XP_003426002.1, XP_008204775.1, XP_008204776.1, XP_008204778.1	XP_031838925.1
OG0000183	XP_001603387.1	XP_031828691.1, XP_031828693.1, XP_031828695.1, XP_031828694.1, XP_031828690.1
OG0000184	NP_001177442.1, XP_031786125.1, NP_001177456.1, NP_001177454.1, NP_001177455.1, NP_001177445.1, NP_001177448.1, NP_001177447.1, XP_031786129.1, NP_001177452.1, NP_001177453.1, NP_001177446.1, XP_032454720.1, NP_001177450.1, NP_001164388.1, NP_001177421.1, NP_001177422.1, XP_016845192.1, NP_001177460.1, NP_001177457.1, NP_001177449.1, NP_001177451.1, NP_001164464.1, NP_001177642.1, XP_031786111.1, NP_001177697.1, NP_001177444.1, NP_001177458.1, NP_001177459.1, NP_001177443.1, NP_001177441.1	XP_031846910.1
OG0000185	XP_008202977.1	XP_031829650.1, XP_031829646.1, XP_031829645.1, XP_031829647.1
OG0000186	XP_008214191.1, NP_001165994.1	XP_031834869.1
OG0000187	XP_016840762.1, XP_032455395.1, XP_032455396.1, XP_032455397.1, XP_008211394.1, XP_008211389.1, XP_031785200.1	XP_031844556.1, XP_031844565.1, XP_031844499.1, XP_031844479.1, XP_031844458.1, XP_031844469.1, XP_031844528.1, XP_031844537.1, XP_031844547.1, XP_031844448.1, XP_031844518.1, XP_031844439.1, XP_031844509.1, XP_031844574.1, XP_031844582.1, XP_031844489.1
OG0000188	XP_001604859.1	XP_031834431.1
OG0000189	XP_031781874.1	XP_031837615.1
