Orthogroup	Nasonia_vitripennis	Bombyx_mori
OG0000041	XP_001600960.1, XP_001601342.1	NP_001119724.1
OG0000041	XP_001601504.1, XP_016845814.1	NP_001119726.1, XP_037872546.1
OG0000042	XP_008205137.1, XP_008205135.1, XP_008205136.1	XP_004925565.1
OG0000042	XP_001607893.1	NP_001296474.1, NP_001296524.1, NP_001296530.1
OG0000042	XP_008205676.1, XP_001602540.1	NP_001296494.1, XP_021203267.2
OG0000042	XP_003425691.1, XP_032453872.1, XP_032453871.1, XP_031783785.1, XP_031783782.1, XP_031783784.1, XP_031783783.1	NP_001296508.1, XP_037868172.1, NP_001037018.1, XP_012545279.1, XP_021205712.2, NP_001036971.1
OG0000043	XP_008208463.1	NP_001037067.1, NP_001037068.1
OG0000044	XP_031787739.1	NP_001036834.1
OG0000044	XP_001602131.2	NP_001037013.1, XP_037868605.1, NP_001104835.1, NP_001254654.1, NP_001266323.1
OG0000044	XP_031788192.1	XP_037868658.1
OG0000044	XP_016842461.1	NP_001266372.1, XP_012552714.2
OG0000045	XP_001604688.1, XP_001604507.3, XP_001604459.1, NP_001153339.1, NP_001153340.1, XP_001604662.2	XP_037866529.1, XP_037866527.1, NP_001296551.1, XP_012549946.3, NP_001182391.1, XP_004930880.1
OG0000046	XP_001604460.2	NP_001036837.1, XP_012547740.1
OG0000046	XP_001599773.3, XP_031779567.1, XP_001604951.2	XP_037876891.1, XP_004933911.2, XP_037876874.1, NP_001296526.1, NP_001243928.1
OG0000046	XP_032452163.1, NP_001166228.1, XP_001608044.1	NP_001036892.1
OG0000050	NP_001165950.1, XP_003427743.2, XP_001602331.2, NP_001165951.1, XP_032455970.1, NP_001165962.1, NP_001165960.1, NP_001165958.1, NP_001165947.1, XP_008212266.2, XP_008216259.1, XP_001608200.1	NP_001165227.1, NP_001040466.1, XP_037875050.1, NP_001124352.1, NP_001116814.1, XP_004927162.1, XP_021203217.2, XP_021203196.2, XP_037870386.1, XP_037870387.1, XP_004925199.1, XP_004924525.1, XP_004932947.1, NP_001040174.1
OG0000052	XP_001607313.2, XP_031779680.1, XP_016838631.1	XP_012545178.1, NP_001036907.1, XP_037868558.1, XP_037868546.1, XP_012545207.2, XP_012545182.2, XP_004925374.1, XP_037868485.1, XP_004925372.1, XP_004925371.1
OG0000052	XP_031779622.1, XP_003428054.1, XP_031776989.1, XP_001601084.2, XP_001602124.1, XP_016837116.1, XP_001602148.2, XP_001600160.2, XP_016838653.2, XP_008207931.1, XP_001602097.1, XP_031778518.1, XP_032452509.1, XP_016838309.1, XP_031778517.1, XP_031778516.1, XP_001600185.1, XP_001602071.1	XP_012545590.1, XP_012545589.1, XP_004925854.2, XP_004925855.2, XP_021203470.2, XP_004925899.1
OG0000052	XP_001602874.2	XP_012545009.1, NP_001182634.1
OG0000054	XP_031780340.1, XP_031779198.1, NP_001166267.1, XP_032453034.1	NP_001040112.1
OG0000054	XP_016837121.1, XP_001602743.1, NP_001161317.1, XP_031780215.1, XP_031780249.1, XP_001602894.2	NP_001036835.1, NP_001166743.1
OG0000055	XP_008215920.1	XP_021207833.1
OG0000055	XP_001600035.1, XP_008208159.3	XP_012548893.1, NP_001036959.1
OG0000056	XP_031780252.1, XP_001604931.2	XP_037866675.1
OG0000056	XP_008202999.3	XP_037872689.1
OG0000056	XP_008204847.1	XP_037871311.1
OG0000056	XP_031784842.1	XP_037873641.1
OG0000057	XP_031785452.1	NP_001036887.1, NP_001036964.1
OG0000057	XP_001602360.1	XP_004923508.1, XP_012553252.3
OG0000057	XP_003427519.1	NP_001036888.1
OG0000057	XP_001600234.1, XP_001606290.1	NP_001037492.1, NP_001093079.1
OG0000059	XP_031778828.1	XP_037867705.1, XP_037869003.1, XP_012553005.2, XP_037876015.1, XP_012551329.2, XP_037876954.1, XP_037869306.1, XP_037869305.1, XP_037876953.1, XP_037868417.1, XP_037876022.1, XP_037869062.1, XP_037867542.1, XP_037870550.1
OG0000060	XP_031784439.1, XP_031784422.1, XP_031784431.1	XP_004925993.2
OG0000060	XP_008205703.1, XP_016845553.1, XP_016845554.1, XP_016845551.1, XP_016845552.1	XP_021206640.1, XP_004930776.1
OG0000061	XP_031786737.1, NP_001164380.1	XP_012551685.2
OG0000062	XP_003425371.1, XP_032453005.1, XP_001604985.1, XP_003425370.1, XP_001605148.1, XP_008202211.1	XP_004923510.1, XP_037876893.1, XP_004933665.1, NP_001036941.1, NP_001036984.1, NP_001091794.1, XP_037877361.1, XP_037877362.1, NP_001037038.1, NP_001036942.1
OG0000063	XP_032458024.1	XP_037875862.1
OG0000063	XP_031784373.1, XP_032457267.1, XP_031781630.1, XP_031782179.1, XP_031784220.1	XP_037867560.1, XP_037877026.1, XP_037868831.1, XP_037869779.1, XP_037870303.1, XP_037873338.1, XP_037876423.1, XP_037875121.1, XP_037875120.1, XP_037869757.1, XP_037869756.1, XP_037869471.1, XP_037869470.1, XP_037868509.1, XP_037869469.1
OG0000065	XP_001606156.1, XP_016836539.1, XP_016836538.1, XP_016836540.1, XP_008215330.1, XP_008215325.1, XP_008215326.1	XP_004931596.1
OG0000065	XP_001605553.3, XP_032454719.1, XP_032453000.1, XP_008205745.1, XP_031776818.1, XP_001607018.2	NP_001037610.1, XP_037869237.1, XP_037869334.1, XP_012550936.1, XP_037869425.1, XP_037869333.1, XP_004921651.2
OG0000066	XP_031784236.1, XP_031781387.2, XP_016843120.1, XP_031784228.1	XP_012545514.1
OG0000067	XP_001605420.2	XP_004931451.1
OG0000067	XP_031788440.1	NP_001037582.1
OG0000067	XP_008209138.1	XP_037877745.1
OG0000068	XP_016843017.2, XP_016844168.1, XP_032457246.1, XP_001605652.1, XP_031778765.1, XP_008209196.1, XP_031777573.1, XP_031789062.1, XP_032456103.1, XP_031781861.1, XP_032457240.1, XP_031779801.1, XP_016844694.1, XP_016843061.1, XP_008212693.2, XP_031784178.1, XP_031783922.1, XP_031777069.1, XP_031788795.1	XP_037874020.1, XP_037872197.1, XP_037869750.1, XP_037871166.1, XP_037875193.1, XP_037876756.1, XP_037866563.1, XP_037872930.1, XP_037876933.1, XP_037877833.1, XP_037876934.1, XP_004925088.1
OG0000069	XP_031782526.1, XP_032453936.1, XP_008210453.1, XP_031787743.1, XP_031787545.1, XP_032457315.1, XP_031777449.1, XP_031777448.1, XP_001603733.2, XP_032453221.1, XP_032453241.1, XP_031777616.1, XP_031777617.1	NP_001243973.1
OG0000070	NP_001177478.1, NP_001177482.1, XP_031786746.1, NP_001177477.1, NP_001177476.1, NP_001177475.1, NP_001177474.1, NP_001177471.1, NP_001177473.1, NP_001177468.1, NP_001177472.1, XP_032455989.1, NP_001177470.1, XP_032455987.1, NP_001177469.1, XP_032456565.1, NP_001177483.1, NP_001177484.1, XP_016841002.1, XP_032455990.1, NP_001177485.1, NP_001177479.1, NP_001177480.1, NP_001177481.1, XP_016841000.2	NP_001166602.1
OG0000071	XP_001602581.1, XP_031788357.1, XP_016840145.2	XP_004930894.1
OG0000072	XP_008213440.1	XP_037866767.1
OG0000073	XP_031786450.1, XP_003428114.1, XP_003428113.1	NP_001243938.1
OG0000076	XP_031788956.1, XP_031778430.1, XP_031789008.1	XP_037874430.1, XP_037868702.1
OG0000077	XP_003423914.1	XP_037870080.1
OG0000077	XP_001605700.1, XP_008203901.1	NP_001037478.1
OG0000078	XP_031781939.1, NP_001177509.1, NP_001177508.1, XP_031781938.1, NP_001177507.1, NP_001177506.1	XP_037872110.1, NP_001159625.1, NP_001116810.1
OG0000080	XP_016838697.1, XP_001600017.1	XP_021207527.1, XP_021207524.1, XP_021207523.1, XP_021207526.1, XP_021207525.1, XP_004931947.1, XP_037874742.1
OG0000080	XP_001600048.1	XP_004931946.1
OG0000080	XP_016838620.1	XP_037874734.1
OG0000082	XP_016845753.1, XP_003427814.1	XP_004927040.1, NP_001124343.1
OG0000084	XP_001600091.2, XP_001600141.2, NP_001161311.1	XP_012550708.1, NP_001166718.1
OG0000084	NP_001161297.1, NP_001161274.1, NP_001161305.1	NP_001166714.1, NP_001036828.1, NP_001166712.1, NP_001166744.1, NP_001036827.1, NP_001166742.1
OG0000086	XP_031786740.1, NP_001166061.1	NP_001243984.1
OG0000086	XP_008207491.1	NP_001153674.1
OG0000086	XP_008218019.2	XP_004922188.1
OG0000087	NP_001153410.1, NP_001153411.1	XP_004925118.1
OG0000087	XP_001603938.2	XP_004926772.1
OG0000091	XP_016842346.1, XP_016842349.1, XP_001606111.2, XP_016842348.1, XP_001606152.2	XP_037871523.1, NP_001037021.1, NP_001139714.1, XP_012547717.1, NP_001037305.1, XP_037874620.1
OG0000092	NP_001153343.1, XP_016843499.1, XP_001599003.1	NP_001040445.1
OG0000093	XP_008205360.1	XP_037867839.1, XP_037870131.1, XP_037877338.1, XP_037877592.1, XP_037871838.1, XP_037871837.1, XP_021204760.2
OG0000093	XP_031781097.1	XP_037875612.1
OG0000094	XP_001605100.1	XP_037867226.1
OG0000094	XP_001600571.1	XP_004929868.2
OG0000095	XP_031783038.1, NP_001165978.1, NP_001165932.1, XP_001601822.2, NP_001165935.1, XP_031785516.1, XP_008213359.1, XP_031781916.1, NP_001165938.1, NP_001165934.1, XP_016841077.1, NP_001165987.1, NP_001352146.1, XP_016840411.1, NP_001165985.1	XP_037874252.1, NP_001296528.1, XP_004927603.2, NP_001073134.1, NP_001103833.1
OG0000096	XP_008209422.1	XP_004933352.2
OG0000097	XP_001600781.1, NP_001166227.1, XP_008208182.1	XP_012544532.1, XP_037871911.1, XP_004924657.1
OG0000098	XP_032454809.1, XP_032454803.1, XP_032454802.1, XP_032454801.1, XP_032454800.1, XP_032454805.1, XP_031786230.1, XP_016843896.1, XP_032454811.1, XP_032454806.1, XP_001603053.2, XP_032454810.1, XP_032454799.1, XP_032454808.1, XP_032454807.1	XP_037867250.1, XP_037867248.1, XP_037867247.1, XP_037867246.1, XP_037867249.1
OG0000099	XP_008207065.2	XP_012551708.2
OG0000099	XP_031785392.1	XP_037876655.1
OG0000101	XP_001603117.1, NP_001166254.1, XP_008211083.1, NP_001155060.1	XP_037875936.1, NP_001037053.1, NP_001040462.1, XP_037875581.1
OG0000102	XP_031786135.1, XP_001605390.2, XP_008216939.1, XP_008216934.1, XP_031786805.1	XP_004925858.1, XP_037872752.1, XP_021205415.1, XP_004929095.1
OG0000108	XP_001600108.2, NP_001136332.1, XP_031777794.1, XP_008213502.1, XP_016842778.1	XP_004923866.1, XP_012545628.2, XP_037876582.1, XP_021203645.2, XP_021203646.2, XP_037876625.1, XP_037876626.1, XP_012551634.2, XP_004932336.1
OG0000109	XP_031780775.1, XP_032452756.1, XP_008217859.1, XP_008217864.1, XP_016837633.1	XP_021205885.1
OG0000110	XP_008201867.1	XP_037872696.1, XP_037872695.1, XP_037872710.1, XP_037872709.1
OG0000111	XP_031785278.1	XP_037870313.1
OG0000111	XP_031786283.1, XP_008217621.1, XP_008217622.1, XP_016837442.1, XP_016839422.2, XP_031786448.1, NP_001155154.1, XP_031786258.1, XP_001603551.4, XP_032452574.1	XP_037868928.1, XP_037868924.1, XP_004922902.1, XP_004931121.1
OG0000111	XP_001605587.3	XP_004927517.1
OG0000112	XP_031780635.1	NP_001240824.1, XP_012546717.1
OG0000113	XP_031785048.1, XP_001599906.1, XP_008208626.1, XP_001603394.1, XP_008204873.1, XP_001603447.1	XP_004929660.1, XP_004925443.2, XP_012545237.2
OG0000114	XP_031785569.1, NP_001155077.1	XP_037876113.1, NP_001036844.1
OG0000114	XP_031788613.1, NP_001155043.1, XP_032454692.1	XP_037876437.1
OG0000115	NP_001165922.1, NP_001165921.1, NP_001165923.1, NP_001165920.1, XP_008203102.1, XP_008203103.1, XP_032452848.1, XP_032457577.1, NP_001165924.1, NP_001165919.1, NP_001165918.1	NP_001037077.1, XP_012544300.1, NP_001036994.1
OG0000117	XP_003424885.1	NP_001040298.1
OG0000117	XP_016845279.1, XP_003428202.1, XP_008214870.1	NP_001233214.1, XP_012552766.1
OG0000119	XP_031787150.1, XP_032456419.1, XP_031787154.1, XP_031787143.1, XP_031787149.1, XP_031787146.1, XP_031787160.1, XP_031787140.1	XP_037869697.1
OG0000122	XP_031780275.1, XP_001603886.1, XP_008216017.2	XP_021202268.1, XP_012544010.1, XP_037868883.1, XP_004924046.1
OG0000123	XP_032452434.1, XP_001602993.1	NP_001037614.1, XP_012548321.1
OG0000124	XP_031781470.1	XP_037871306.1, XP_037871307.1, XP_021208751.2
OG0000125	XP_008201883.2, XP_031781412.1, XP_031788436.1, XP_031788437.1	XP_004926881.1, XP_012546430.1, XP_012547144.2
OG0000126	XP_031784298.1, NP_001161164.1	XP_012549565.1, NP_001037319.1
OG0000127	XP_031782271.1, XP_031782270.1	XP_012551315.1, NP_001037024.1
OG0000127	XP_001606042.2	NP_001189458.1, XP_012551311.1
OG0000129	XP_032454413.1, XP_016839449.1	XP_021203173.1
OG0000130	XP_031776696.1	XP_012548931.3
OG0000131	NP_001153335.1, XP_032458192.1	XP_004931759.1
OG0000131	XP_031781148.1, XP_032457466.1, XP_001599092.1, XP_032457465.1	NP_001091755.1
OG0000132	XP_031780045.1, XP_032453407.1	NP_001164651.1, XP_037870176.1
OG0000132	XP_016837749.1	NP_001164650.1
OG0000133	XP_031778739.1, XP_031778741.1, XP_008208013.1, XP_031778740.1	XP_021207866.1, XP_004932639.1
OG0000135	XP_001603134.1	NP_001108336.1, XP_021202711.1
OG0000135	XP_001603371.1	NP_001166873.1, XP_037875522.1
OG0000136	XP_008208307.1	XP_037876368.1, XP_004927026.1
OG0000137	XP_016841737.2	XP_037868770.1
OG0000138	XP_031787653.1, XP_001605659.1	XP_037868949.1, XP_004925223.3
OG0000139	XP_031783357.1, XP_001606341.1, XP_016838561.1, XP_001602751.1, XP_008204858.1, XP_032452316.1, XP_032452315.1, XP_008216641.1	XP_021208530.2, XP_004922757.1, XP_004922758.1, XP_004927864.1
OG0000141	XP_032458118.1, XP_032458115.1, XP_032458114.1, XP_031789200.1	XP_004931634.1
OG0000143	XP_008203875.1, XP_003425736.1, XP_001605275.2, XP_032454553.1	XP_037870673.1, NP_001040254.1, XP_004927859.1
OG0000144	XP_001600430.1, XP_031777854.1, XP_016839327.2, NP_001153417.1, XP_032453317.1, XP_032453316.1, NP_001164332.1	XP_021207362.2, NP_001243953.1, NP_001037590.1, XP_004931806.2, NP_001106747.2
OG0000145	XP_001607062.1, XP_001602428.1	XP_021209325.1, XP_037876916.1, XP_004923491.1
OG0000146	XP_016840249.1	XP_037871222.1, XP_004922825.1
OG0000147	XP_001600440.1, XP_001602387.1	XP_004933126.1
OG0000149	XP_001606233.2	XP_037875543.1
OG0000149	XP_016840414.1, XP_008211722.2	XP_004924927.1, XP_004924928.1
OG0000150	XP_031781028.1, XP_031781038.1, XP_032457432.1	XP_037869165.1, XP_037869166.1, XP_037869163.1, XP_037869164.1
OG0000151	XP_003426709.1	XP_037867739.1, XP_021208204.1, XP_021208205.1
OG0000152	XP_003425682.1, XP_032454103.1, XP_016839188.1, XP_008203561.1, XP_008203562.1, XP_032454105.1, XP_032454104.1, XP_032454106.1, XP_008203564.1, XP_008203563.1	XP_021205393.1
OG0000153	XP_031778705.1, XP_031778704.1, XP_031778706.1	XP_037871508.1, XP_037871509.1, XP_037871510.1, XP_037871505.1
OG0000154	XP_008203624.1, XP_008205027.1, XP_031788668.1, XP_008203596.1	XP_037873529.1
OG0000155	XP_031781360.1, XP_031789237.1, XP_008214569.1, XP_031777466.1, XP_031781363.1	XP_037877412.1
OG0000156	XP_031782954.1, XP_031782971.1, XP_032457184.1, XP_031782949.1, XP_031782945.1	XP_021206155.2
OG0000157	NP_001166055.1, NP_001166050.1, XP_031777515.1, NP_001166083.1, NP_001166080.1, XP_031776689.1, NP_001166084.1, NP_001166081.1, NP_001155076.1, XP_031781530.1, XP_032456198.1, XP_031788611.1	XP_037869375.1
OG0000158	NP_001166006.1, NP_001166005.1, XP_003426453.2, XP_016840739.1, XP_031785765.1, XP_016840738.1	XP_021204632.1
OG0000160	XP_008204617.1	XP_004925382.2
OG0000160	XP_003424871.1, XP_003424872.1	XP_004925399.2, XP_004925398.1
OG0000161	XP_001599809.1, XP_016839500.1, XP_001605936.1, NP_001165968.1, XP_001603114.1, XP_031779032.1, NP_001165966.1, NP_001165965.1, XP_001602765.2, XP_031779585.1	NP_001182393.1
OG0000162	NP_001234904.1, XP_031787426.1	NP_001103389.1, XP_037868604.1
OG0000162	XP_008205092.1, NP_001234892.1	NP_001103387.2, XP_037868602.1
OG0000162	XP_031789332.1, NP_001234893.1	NP_001103388.1, XP_021203288.2
OG0000163	XP_031784222.1	XP_037875501.1, XP_037873368.1, XP_037873370.1, XP_037877369.1, XP_037875753.1, XP_037867082.1, XP_037877398.1
OG0000164	XP_016843433.1, XP_031785500.1	XP_021205850.1
OG0000164	XP_031777945.1, XP_016843278.1, XP_031780582.1, XP_031777892.1, XP_031777902.1, XP_031780583.1	XP_037875027.1, XP_037872511.1
OG0000165	XP_008211085.1	XP_012551706.2
OG0000166	XP_032458153.1, XP_031777661.1, XP_031777675.1, XP_032458168.1	XP_037868137.1
OG0000168	XP_008207992.2	XP_037866971.1, XP_037876295.1, XP_037867009.1, XP_037872857.1
OG0000168	XP_031785658.1	XP_037873451.1
OG0000170	XP_032453170.1	XP_021202707.2
OG0000170	XP_001604322.2, XP_016837471.1, XP_016837469.1, XP_008204248.1, XP_016837470.2	XP_004924795.2
OG0000171	XP_032454904.1, XP_016838928.1, XP_001608062.2, XP_031780002.1	NP_001296478.1, XP_037876331.1, XP_037876328.1
OG0000173	XP_031787440.1, NP_001153423.1, NP_001153422.1	NP_001093316.1
OG0000174	XP_001600210.1	NP_001040490.1, XP_037874321.1
