Orthogroup	Nasonia_vitripennis	Apis_mellifera
OG0000029	XP_031787434.1, NP_001166269.1, NP_001166268.1, NP_001166270.1, NP_001166276.1, NP_001166277.1, XP_032455898.1, NP_001153407.1, NP_001161335.1	NP_001257747.1, NP_001257746.1
OG0000029	NP_001166265.1	NP_001257750.1
OG0000029	NP_001166275.1, NP_001161319.1	NP_001257748.1
OG0000029	NP_001166272.1	NP_001257749.1
OG0000030	XP_031776890.1, XP_032457890.1, XP_001600309.1, XP_031776892.1, XP_008217013.1	XP_026300187.1
OG0000032	XP_003426142.1, XP_016840393.1, NP_001164369.1	XP_026298886.1
OG0000034	NP_001177542.1, XP_008213309.1, XP_016845719.1, NP_001177541.1, XP_031778221.1, NP_001177544.1, NP_001177545.1, NP_001177540.1, XP_032451687.1, NP_001177537.1, NP_001177539.1, XP_008214845.1, NP_001177640.2, NP_001177696.1, NP_001177538.1, NP_001177543.1, XP_008202544.1, NP_001164404.1, NP_001177548.1, NP_001177547.1, XP_032452241.1, NP_001177546.1, XP_031778374.1, NP_001177701.1, NP_001177700.1, XP_031789456.1, XP_031789459.1, NP_001177549.1	XP_026299312.1, NP_001229915.1, NP_001229914.1, XP_026299613.1, XP_016770782.1, XP_016770780.1, XP_016770788.1
OG0000035	XP_016838618.1, XP_032453168.1, XP_031780251.1, XP_008204964.1	XP_392319.3
OG0000036	XP_001607369.1, XP_031776621.1, XP_032451907.1, XP_032451908.1, XP_008215341.1, NP_001155022.1, XP_031776641.1, XP_003423856.1, XP_032451911.1, XP_016845877.1, XP_008215340.1	XP_006563422.1, XP_001121077.2, XP_003250085.1
OG0000037	XP_008216622.1, XP_008216623.1	NP_001257751.1
OG0000038	XP_001607699.1, XP_001604160.1	XP_623220.1, XP_006567025.1
OG0000038	XP_031786847.1, XP_032452100.1	XP_006563567.1
OG0000040	NP_001166071.1, XP_001607047.2, XP_016836762.1, XP_008203154.1, NP_001166072.1	XP_026297199.1
OG0000040	XP_001607871.2, XP_031788471.1, XP_031783595.1, XP_032452313.1, XP_032456102.1, XP_016837475.1, XP_016836866.1, NP_001166253.1, XP_032457056.1, NP_001166073.1	XP_394370.2
OG0000041	XP_032453601.1, NP_001157191.1, NP_001157192.1	NP_001172074.1, NP_001172075.1
OG0000041	XP_001600960.1	XP_026296530.1
OG0000041	XP_001601342.1	XP_003251464.1, XP_016767697.1
OG0000041	XP_001601504.1, XP_016845814.1	XP_625015.1
OG0000042	XP_008205137.1, XP_008205135.1, XP_008205136.1	XP_026296155.1, XP_026296156.1, XP_026296157.1, XP_026296158.1, XP_006571892.1, XP_623925.2, XP_026296164.1, XP_026296165.1
OG0000042	XP_003425691.1, XP_032453872.1, XP_032453871.1, XP_031783785.1, XP_031783782.1, XP_031783784.1, XP_031783783.1	XP_026295892.1, XP_026295893.1
OG0000043	XP_008208463.1	XP_016768084.1, NP_001071287.1
OG0000044	XP_031787739.1	XP_006565547.1
OG0000044	XP_031788192.1	XP_006565537.1
OG0000045	XP_001604688.1, XP_001604507.3, XP_001604459.1	NP_001035326.1
OG0000045	NP_001153339.1, NP_001153340.1	NP_001035349.1
OG0000045	XP_001604662.2	NP_001011608.1
OG0000045	XP_032454987.1, XP_031784367.1	XP_006564814.1, XP_026296732.1, XP_006564813.1
OG0000046	XP_001604460.2	NP_001153524.1
OG0000046	XP_032452163.1, NP_001166228.1	NP_001153522.1
OG0000046	XP_001608044.1	NP_001153544.1
OG0000048	XP_003426470.1	XP_016769367.1
OG0000048	XP_016841096.1	XP_026298613.1
OG0000050	NP_001165950.1, XP_003427743.2, XP_001602331.2, NP_001165951.1, XP_032455970.1, NP_001165962.1, NP_001165960.1, NP_001165958.1, NP_001165947.1, XP_008212266.2	XP_026299635.1, XP_392696.5
OG0000050	XP_008216259.1, XP_001608200.1	XP_026297792.1, XP_026297793.1, XP_016768459.2, XP_026297794.1, XP_026300733.1, XP_026300653.1, NP_001128419.1, XP_006564307.1, NP_001136081.1
OG0000052	XP_031779680.1, XP_016838631.1	XP_624251.3
OG0000052	XP_001602874.2	XP_006570493.1
OG0000054	XP_031780340.1, XP_031779198.1, NP_001166267.1, XP_032453034.1	NP_001257759.1
OG0000054	XP_016837121.1, XP_001602743.1, NP_001161317.1, XP_031780215.1, XP_031780249.1, XP_001602894.2	NP_001257754.1, NP_001257753.1
OG0000055	XP_008215920.1	XP_016771370.1
OG0000055	XP_032454549.1	XP_006562397.1
OG0000055	XP_001600035.1, XP_008208159.3	XP_393860.4
OG0000056	XP_031780252.1	XP_026297251.1
OG0000056	XP_008202999.3	XP_026301167.1
OG0000056	XP_008204847.1	XP_026297087.1
OG0000056	XP_032455826.1	XP_026296769.1
OG0000056	XP_031784842.1	XP_026299492.1
OG0000057	XP_031785452.1	XP_392313.1
OG0000057	XP_001602360.1	XP_026300739.1
OG0000057	XP_003427519.1	XP_394469.1
OG0000058	NP_001177491.1	XP_026294942.1, NP_001314879.1, XP_016766488.1, XP_026294950.1, XP_026294949.1, XP_016766484.1, XP_026301740.1, XP_016766491.1, XP_006557709.2, XP_026294837.1, XP_026300513.1, XP_006571977.2, XP_026301741.1, XP_026297763.1, XP_026298536.1
OG0000060	XP_031784439.1, XP_031784422.1, XP_031784431.1	XP_006565271.2, XP_006565270.3, XP_026300076.1, XP_026300077.1, XP_016770937.2, XP_016770938.2
OG0000060	XP_008205703.1, XP_016845553.1, XP_016845554.1, XP_016845551.1, XP_016845552.1	NP_001180219.1, XP_006565210.1
OG0000061	XP_031786737.1, NP_001164380.1	XP_397017.3
OG0000062	XP_003425371.1	XP_001119884.1
OG0000062	XP_032453005.1, XP_001604985.1	XP_001120194.1
OG0000062	XP_003425370.1	XP_001120006.2
OG0000062	XP_008202211.1	XP_001120137.1
OG0000065	XP_032454719.1, XP_032453000.1, XP_008205745.1, XP_031776818.1, XP_001607018.2	XP_026299150.1
OG0000067	XP_001605420.2	XP_006561513.1
OG0000067	XP_031788440.1	XP_026299464.1
OG0000067	XP_031782248.1	XP_006560064.1
OG0000067	XP_008209138.1	XP_395774.2
OG0000069	XP_008210453.1, XP_031787743.1, XP_031787545.1, XP_032457315.1, XP_031777449.1, XP_031777448.1, XP_001603733.2, XP_032453221.1, XP_032453241.1, XP_031777616.1, XP_031777617.1	XP_006564460.2, XP_392727.4
OG0000069	XP_031781625.1, XP_001600831.2, XP_001603386.1, XP_016840218.1, XP_001603747.1, XP_001603802.1	XP_016770440.2
OG0000070	NP_001177478.1, NP_001177482.1, XP_031786746.1, NP_001177477.1, NP_001177476.1, NP_001177475.1, NP_001177474.1, NP_001177471.1, NP_001177473.1, NP_001177468.1, NP_001177472.1, XP_032455989.1, NP_001177470.1, XP_032455987.1, NP_001177469.1, XP_032456565.1, NP_001177483.1, NP_001177484.1, XP_016841002.1, XP_032455990.1, NP_001177485.1, NP_001177479.1, NP_001177480.1, NP_001177481.1, XP_016841000.2	NP_001229918.1
OG0000073	XP_031786450.1, XP_003428114.1, XP_003428113.1	XP_003251779.1, XP_016773440.1
OG0000074	XP_008207498.1, XP_031787381.1	XP_001120594.2
OG0000077	XP_003423914.1	XP_006567467.1
OG0000077	XP_001605700.1, XP_008203901.1	XP_395426.5
OG0000078	XP_031781939.1, NP_001177509.1, NP_001177508.1, XP_031781938.1, NP_001177507.1, NP_001177506.1	XP_006572184.2, XP_026294928.1, XP_026294834.1
OG0000079	XP_031783468.1	XP_026295829.1, XP_026295828.1
OG0000080	XP_016838697.1, XP_001600017.1	XP_397228.2
OG0000080	XP_001600048.1	XP_623221.2
OG0000080	XP_016838620.1	XP_006559470.1
OG0000082	XP_016845753.1	XP_006565018.1
OG0000084	XP_001600141.2	NP_001257757.1
OG0000084	NP_001161311.1	NP_001257743.1
OG0000084	NP_001161297.1, NP_001161274.1, NP_001161305.1	XP_026300413.1
OG0000085	XP_008205560.1, XP_032455585.1, XP_001604903.1, XP_031785409.1	XP_394579.2
OG0000086	XP_031786740.1, NP_001166061.1	XP_016772143.2, XP_001120043.2
OG0000086	XP_008218019.2	XP_016772088.2
OG0000087	NP_001153410.1, NP_001153411.1	XP_624353.1
OG0000087	XP_003425364.1, XP_001604204.2	XP_016772139.1
OG0000089	XP_016843743.1	XP_003249883.2, XP_016768850.2
OG0000089	XP_032457600.1, XP_031781522.1, XP_031781523.1, XP_003426759.1, XP_001601215.1, XP_001600717.1, XP_008212854.1, XP_031787101.1, XP_031781533.1, XP_001600653.1, XP_008207762.1, XP_001600905.2, XP_001600876.1, XP_001600931.2	XP_001120425.1
OG0000091	XP_016842346.1, XP_016842349.1, XP_001606111.2, XP_016842348.1, XP_001606152.2	XP_026299597.1, XP_026299596.1
OG0000092	NP_001153343.1	XP_006558182.1, XP_396653.1
OG0000092	XP_016843499.1	XP_396654.1, XP_016768016.1
OG0000092	XP_001599003.1	XP_006560146.1
OG0000094	XP_008208123.2, XP_001606944.4, XP_001606857.1, XP_008201862.1, XP_001606385.1	XP_394160.3, XP_016770351.2
OG0000094	XP_001605100.1	XP_026299983.1
OG0000094	XP_001600571.1	XP_006572211.1
OG0000095	XP_031783038.1, NP_001165978.1, NP_001165932.1, XP_001601822.2, NP_001165935.1, XP_031785516.1, XP_008213359.1, XP_031781916.1, NP_001165938.1, NP_001165934.1, XP_016841077.1, NP_001165987.1, NP_001352146.1, XP_016840411.1, NP_001165985.1	XP_006564430.1
OG0000096	XP_008209422.1	XP_026300868.1
OG0000096	XP_031777519.1, NP_001128139.2, XP_001600140.2, XP_008210082.1, XP_032454795.1, XP_008210079.1	XP_003250667.2, XP_006562163.1
OG0000097	XP_001600781.1	XP_006566906.1, NP_001011628.1
OG0000097	NP_001166227.1, XP_008208182.1	NP_001014993.1
OG0000098	XP_032454809.1, XP_032454803.1, XP_032454802.1, XP_032454801.1, XP_032454800.1, XP_032454805.1, XP_031786230.1, XP_016843896.1, XP_032454811.1, XP_032454806.1, XP_001603053.2, XP_032454810.1, XP_032454799.1, XP_032454808.1, XP_032454807.1	XP_006561279.1
OG0000099	XP_008207065.2	XP_026301459.1
OG0000099	XP_031785392.1	XP_006563474.1
OG0000100	XP_008215741.1, XP_008215742.1, XP_031787872.1, XP_032457061.1, XP_016844119.1	XP_026300139.1, XP_026300138.1, XP_026300137.1, XP_026300136.1
OG0000101	XP_016842653.2	XP_016769181.1
OG0000101	NP_001155060.1	XP_016769182.2
OG0000102	XP_031786135.1	XP_026298009.1
OG0000102	XP_031786805.1	XP_016768868.1, XP_006559629.1
OG0000103	XP_031786310.1, XP_001604969.2	XP_026298877.1
OG0000106	NP_001177643.1, NP_001177620.1, NP_001177621.1	XP_001120660.2
OG0000108	XP_001600108.2, NP_001136332.1, XP_031777794.1, XP_008213502.1, XP_016842778.1	XP_026296997.1, XP_026296995.1, XP_026296996.1
OG0000109	XP_031780775.1, XP_032452756.1, XP_008217859.1, XP_008217864.1, XP_016837633.1	XP_006568159.1, XP_396912.1, XP_026300511.1, XP_006568157.1
OG0000110	XP_008201867.1	XP_016771484.1, XP_026300877.1, XP_016771820.2
OG0000111	XP_008217621.1, XP_008217622.1, XP_016837442.1	XP_016767388.2
OG0000111	XP_001605587.3	XP_016769305.2
OG0000112	XP_003425489.1	XP_016770669.1
OG0000112	XP_031780635.1	XP_395840.2
OG0000113	XP_031785048.1, XP_001599906.1, XP_008208626.1	XP_001120149.1
OG0000113	XP_001603394.1, XP_008204873.1, XP_001603447.1	XP_001121347.2
OG0000114	XP_031788613.1, NP_001155043.1, XP_032454692.1	XP_026296673.1
OG0000115	NP_001165922.1, NP_001165921.1, NP_001165923.1	NP_001153742.1, XP_026295756.1, NP_001136128.1, XP_006560566.1
OG0000116	XP_031779751.1, XP_031779749.1, XP_031779753.1, XP_032451719.1, XP_031779741.1, XP_031779737.1, XP_032451720.1, XP_032451721.1	XP_001119871.2, XP_006567638.1, XP_006567639.1, XP_006567636.1
OG0000117	XP_003424885.1	XP_006566844.1
OG0000117	XP_016845279.1, XP_003428202.1, XP_008214870.1	XP_016769650.1, XP_006561716.1, XP_006561714.1, XP_006561715.1, XP_006561713.1
OG0000119	XP_031787150.1, XP_032456419.1, XP_031787154.1, XP_031787143.1, XP_031787149.1, XP_031787146.1, XP_031787160.1, XP_031787140.1	XP_006567540.1, XP_006567591.1, XP_016769352.1, XP_016769353.1
OG0000122	XP_001604760.1	XP_396281.5
OG0000123	XP_032452434.1, XP_001602993.1	XP_026296924.1, XP_026296929.1, XP_026296930.1, XP_026296925.1, XP_026296926.1, XP_026296927.1, XP_026296928.1
OG0000124	XP_031781470.1	XP_026297158.1, XP_026297157.1, XP_026297160.1, XP_026297159.1
OG0000125	XP_008201883.2, XP_031781412.1, XP_031788436.1, XP_031788437.1	XP_016768147.1, XP_393208.1
OG0000126	XP_031784298.1, NP_001161164.1	XP_016772382.1, NP_001011571.1
OG0000127	XP_031782271.1, XP_031782270.1	XP_006570777.1, XP_016771428.1, XP_016771429.1, XP_001122616.1
OG0000127	XP_001606042.2	XP_396819.2
OG0000129	XP_032454413.1, XP_016839449.1	XP_016772787.1, XP_006571982.1, XP_003251836.1, XP_006571984.1, XP_006571986.1
OG0000130	XP_031776696.1	XP_026297554.1, XP_394687.3, XP_006565573.1
OG0000131	NP_001153335.1, XP_032458192.1	XP_006564418.1
OG0000131	XP_001599092.1	XP_392990.2
OG0000132	XP_031780045.1, XP_032453407.1	XP_006569358.1, XP_006569359.1, XP_016767260.1
OG0000132	XP_016837749.1	XP_006567280.1, XP_006567283.1, XP_006567281.1
OG0000133	XP_031778739.1, XP_031778741.1, XP_008208013.1, XP_031778740.1	XP_026295597.1, XP_026295595.1, XP_026295600.1, XP_026295601.1, XP_026295598.1, XP_026295599.1, XP_026295602.1, XP_026295596.1
OG0000135	XP_001603134.1	XP_392723.3
OG0000135	XP_001603371.1	XP_006570858.1, XP_026300893.1
OG0000136	XP_008208307.1	XP_001123230.2, XP_001122953.3, XP_026298823.1, XP_003251589.1, XP_006570633.1, XP_006570637.2
OG0000137	XP_016841737.2	XP_026298341.1
OG0000138	XP_031787653.1, XP_001605659.1	XP_006561534.1, XP_006561540.1
OG0000139	XP_016838561.1, XP_001602751.1, XP_008204858.1, XP_032452316.1, XP_032452315.1	XP_026302052.1
OG0000140	XP_003424447.1	XP_006565855.1, XP_006565854.1, XP_006565856.1
OG0000141	XP_032458118.1, XP_032458115.1, XP_032458114.1, XP_031789200.1	XP_396377.3, XP_016771703.1
OG0000142	XP_031788758.1, NP_001177427.1, NP_001177428.1	XP_026300389.1, XP_026300390.1
OG0000143	XP_008203875.1	XP_394342.1
OG0000143	XP_003425736.1, XP_001605275.2, XP_032454553.1	XP_001120755.1, XP_006568273.1, XP_006568272.1, XP_006568271.1, XP_016766288.1
OG0000144	XP_016839327.2, NP_001153417.1, XP_032453317.1, XP_032453316.1	NP_001092187.1
OG0000144	NP_001164332.1	NP_001104234.1
OG0000145	XP_001607062.1	XP_006571519.1, NP_001128406.1
OG0000145	XP_001602428.1	XP_006557552.1, NP_001011643.1
OG0000146	XP_016840249.1	XP_006569990.1
OG0000147	XP_001600440.1	XP_026301958.1
OG0000149	XP_001606233.2	XP_624573.2
OG0000149	XP_016840414.1, XP_008211722.2	XP_006560541.1
OG0000150	XP_031781028.1, XP_031781038.1, XP_032457432.1	XP_006565287.1, XP_006565286.1, XP_006565285.1, XP_006565289.1, XP_006565288.1, XP_393853.1
OG0000151	XP_003426709.1	XP_026295481.1, XP_026295482.1, XP_026295477.1, XP_026295478.1, XP_026295479.1, XP_026295480.1, XP_026295483.1
OG0000152	XP_003425682.1, XP_032454103.1, XP_016839188.1, XP_008203561.1, XP_008203562.1, XP_032454105.1, XP_032454104.1, XP_032454106.1, XP_008203564.1, XP_008203563.1	XP_016768964.1, XP_006564637.1, XP_006564641.1, XP_006564638.1, XP_006564639.1, XP_006564640.1
OG0000153	XP_031778705.1, XP_031778704.1, XP_031778706.1	XP_006557622.1
OG0000154	XP_008203624.1, XP_008205027.1, XP_031788668.1, XP_008203596.1	XP_003249939.3
OG0000156	XP_031782954.1, XP_031782971.1, XP_032457184.1, XP_031782949.1, XP_031782945.1	XP_006570154.1, XP_016768502.1, XP_016768504.1, XP_016768503.1
OG0000157	XP_032456198.1, XP_031788611.1	XP_016771274.2
OG0000160	XP_008204617.1	XP_006570492.2
OG0000161	XP_001599809.1, XP_016839500.1, XP_001605936.1, NP_001165968.1, XP_001603114.1, XP_031779032.1, NP_001165966.1, NP_001165965.1	NP_001011563.1
OG0000161	XP_001602765.2, XP_031779585.1	NP_001119716.1
OG0000162	NP_001234904.1, XP_031787426.1	NP_001091691.1, XP_006562616.1
OG0000162	XP_008205092.1, NP_001234892.1	XP_016767550.1, NP_001073029.1
OG0000162	XP_031789332.1, NP_001234893.1	NP_001091690.1, XP_026298411.1
OG0000164	XP_031777945.1, XP_016843278.1, XP_031780582.1, XP_031777892.1, XP_031777902.1, XP_031780583.1	XP_016768018.2, XP_006558190.2
OG0000165	XP_008211085.1	XP_006566324.1
OG0000166	XP_032458153.1, XP_031777661.1, XP_031777675.1, XP_032458168.1	XP_016766244.2, XP_016766231.2, XP_016766233.2, XP_016766234.2, XP_006569176.3, XP_006569170.3
OG0000168	XP_031785658.1	XP_016767974.1, NP_001035325.2
OG0000170	XP_016837471.1, XP_016837469.1, XP_008204248.1, XP_016837470.2	XP_026299163.1, XP_006566079.2
OG0000171	XP_016838928.1, XP_001608062.2, XP_031780002.1	XP_623922.2
OG0000172	XP_031789541.1	XP_006565262.1, XP_006565259.1, XP_006565261.1
OG0000173	XP_031787440.1, NP_001153423.1, NP_001153422.1	XP_006560020.1, XP_006560019.1
OG0000174	XP_001600210.1	XP_394018.2
OG0000176	NP_001127789.1	XP_003251204.1
OG0000177	XP_001606472.1	XP_001121910.1
OG0000177	XP_008210134.1	XP_016770327.1, XP_006566372.1
OG0000177	XP_003427240.1	XP_016770328.1
OG0000178	XP_031787092.1	XP_026295366.1, XP_026295349.1, XP_026295348.1, XP_026295362.1, XP_026295342.1, XP_026295361.1, XP_026295350.1, XP_026295334.1, XP_026295368.1, XP_026295335.1, XP_026295343.1, XP_026295364.1, XP_026295345.1, XP_026295336.1, XP_026295367.1, XP_026295337.1, XP_026295352.1, XP_026295365.1, XP_026295333.1, XP_026295341.1, XP_026295331.1, XP_026295372.1, XP_026295340.1, XP_026295353.1, XP_026295370.1, XP_026295354.1, XP_026295358.1, XP_026295347.1, XP_026295355.1, XP_026295363.1, XP_026295346.1, XP_026295344.1, XP_026295359.1, XP_026295351.1, XP_026295338.1, XP_026295339.1, XP_026295369.1, XP_026295332.1, XP_026295356.1, XP_026295371.1, XP_026295357.1, XP_026295360.1
OG0000179	XP_001604591.1	XP_026301506.1
OG0000179	XP_032451900.1, XP_001607038.1, XP_032451901.1	XP_393381.2
OG0000180	XP_008206406.1, XP_001606981.2	XP_006559502.1, XP_006559501.1, XP_393573.1, XP_016769007.1, XP_016769006.1
OG0000181	XP_001600458.2, XP_008214574.1, XP_008214578.1, XP_016845255.1	XP_393751.2, XP_006570397.2, XP_016770282.2
OG0000182	XP_001601987.2, XP_016841479.1, XP_016841478.1, XP_031787113.1, XP_031787104.1, XP_031787105.1, XP_031787106.1, XP_031787109.1, XP_031787110.1, XP_031787111.1, XP_031787112.1, XP_008205687.1, XP_008205678.1, XP_031787103.1	XP_006561855.2
OG0000183	XP_003426002.1, XP_008204775.1, XP_008204776.1, XP_008204778.1	XP_026298476.1, XP_026298477.1
OG0000183	XP_001603387.1	XP_395404.2
OG0000184	NP_001177442.1, XP_031786125.1, NP_001177456.1, NP_001177454.1, NP_001177455.1, NP_001177445.1, NP_001177448.1, NP_001177447.1, XP_031786129.1, NP_001177452.1, NP_001177453.1, NP_001177446.1, XP_032454720.1, NP_001177450.1, NP_001164388.1, NP_001177421.1, NP_001177422.1, XP_016845192.1, NP_001177460.1, NP_001177457.1, NP_001177449.1, NP_001177451.1, NP_001164464.1, NP_001177642.1, XP_031786111.1, NP_001177697.1, NP_001177444.1, NP_001177458.1, NP_001177459.1, NP_001177443.1, NP_001177441.1	XP_016773569.1, XP_026300573.1
OG0000185	XP_008202977.1	XP_003250560.1
OG0000185	XP_032452589.1, NP_001136331.1, XP_008202533.1	XP_006565025.1
OG0000186	XP_008214191.1, NP_001165994.1	XP_001119981.4
OG0000187	XP_016840762.1, XP_032455395.1, XP_032455396.1, XP_032455397.1, XP_008211394.1, XP_008211389.1, XP_031785200.1	XP_016769442.2
OG0000188	XP_031783182.1, XP_016839660.1	XP_394855.4
OG0000188	XP_001604859.1	XP_395697.2
OG0000190	XP_008201771.1, XP_032456089.1, XP_032456090.1, XP_032456086.1, XP_001605005.1, XP_032456093.1, XP_032456091.1, XP_032456092.1, XP_032456087.1, XP_032456088.1, XP_001604983.1, XP_003425264.1, XP_008201772.1, XP_032456085.1, XP_008201769.1, XP_032456082.1, XP_032456084.1, XP_032456083.1, XP_008201770.1	XP_006563703.1, XP_006563702.1, XP_006563701.1, XP_006563700.1
OG0000191	XP_008207212.2	XP_026301152.1
