Orthogroup	Osmia_bicornis	Tribolium_castaneum
OG0000056	XP_029043848.1, XP_029043447.1	XP_015835680.1
OG0000056	XP_029041052.1	XP_008197222.1
OG0000056	XP_029050404.1	XP_015834565.1
OG0000056	XP_029048153.1	XP_015839288.1
OG0000056	XP_029044167.1	XP_970084.2
OG0000057	XP_029035838.1	XP_967267.1
OG0000057	XP_029041778.1	XP_969993.1
OG0000057	XP_029035967.1	XP_967348.1
OG0000057	XP_029035984.1	XP_968314.1
OG0000060	XP_029056239.1, XP_029056240.1	XP_008194927.2
OG0000060	XP_029040322.1, XP_029040321.1, XP_029040320.1, XP_029040318.1, XP_029040317.1	XP_015836433.1, XP_973431.2, XP_008194835.1, XP_008194834.1, XP_008194832.1, XP_015836434.1
OG0000061	XP_029042514.1	XP_969936.2
OG0000061	XP_029037437.1	XP_008197154.2
OG0000062	XP_029054767.1, XP_029054389.1, XP_029054437.1, XP_029054392.1, XP_029054447.1, XP_029054763.1	XP_973442.1, XP_974390.1, XP_966780.1, XP_974367.1, XP_973378.1, XP_973344.1, XP_975377.1
OG0000063	XP_029053925.1, XP_029055304.1, XP_029046072.1, XP_029037443.1, XP_029054529.1, XP_029055142.1	XP_015837412.1
OG0000063	XP_029054652.1, XP_029053184.1, XP_029054846.1	XP_015840144.1
OG0000065	XP_029047719.1	XP_015834020.1
OG0000065	XP_029047711.1	XP_969514.1, XP_008198984.1, XP_008198951.1, XP_966889.1, XP_015837535.1, XP_015834023.1, XP_015834022.1
OG0000066	XP_029053476.1	XP_015839951.1, XP_015837849.1, XP_015839954.1, XP_015840122.1, XP_015839271.1, XP_015839922.1, XP_015837699.1, XP_008192464.1
OG0000067	XP_029053164.1	XP_008200210.1
OG0000067	XP_029042775.1	NP_001164095.1, XP_008200192.1
OG0000067	XP_029039161.1	XP_008198995.1
OG0000069	XP_029035424.1, XP_029035422.1	XP_008191789.1
OG0000072	XP_029053861.1	XP_015840428.1
OG0000072	XP_029055058.1, XP_029055170.1, XP_029055172.1, XP_029053883.1	XP_015840056.1, XP_008198792.1, XP_015839243.1
OG0000074	XP_029053481.1	XP_015837890.1, XP_970945.2
OG0000075	XP_029044179.1, XP_029044180.1	XP_008191221.1, XP_015833570.1, XP_015833569.1, XP_015840430.1
OG0000076	XP_029054930.1	XP_015840141.1
OG0000077	XP_029041461.1	XP_008200285.1
OG0000077	XP_029051620.1	XP_008194480.2, XP_971466.1, XP_015836196.1
OG0000079	XP_029035221.1	XP_015834127.1, XP_015834125.1, XP_015834162.1, XP_015834130.1, XP_015834115.1, XP_015834114.1, XP_015834120.1, XP_015834129.1, XP_015834135.1, XP_015834158.1, XP_015834124.1, XP_015834123.1, XP_015834118.1, XP_015834166.1, XP_015834160.1, XP_015834147.1, XP_015834145.1, XP_015834144.1, XP_015834151.1, XP_015834143.1, XP_015834157.1, XP_015834134.1, XP_015834154.1, XP_015834122.1, XP_015834161.1, XP_015834126.1
OG0000080	XP_029048618.1, XP_029048619.1	XP_971544.1
OG0000080	XP_029048621.1, XP_029048620.1	XP_015839289.1
OG0000080	XP_029048655.1	XP_015838833.1, XP_968784.1, XP_008199652.2
OG0000081	XP_029040920.1, XP_029040924.1, XP_029040923.1, XP_029040922.1, XP_029040928.1, XP_029040927.1, XP_029040929.1, XP_029040930.1, XP_029040871.1	XP_015833047.1
OG0000082	XP_029037393.1, XP_029037394.1, XP_029037432.1, XP_029037434.1, XP_029037430.1, XP_029037431.1, XP_029037428.1, XP_029037429.1, XP_029037433.1, XP_029037395.1	XP_008196787.1, XP_008196786.1
OG0000084	XP_029034284.1, XP_029034285.1, XP_029034302.1	XP_008194205.2
OG0000084	XP_029039752.1	XP_008194337.1, XP_969263.1
OG0000085	XP_029036566.1, XP_029036567.1	XP_008190480.1, XP_008190479.1, XP_008190478.1
OG0000085	XP_029036300.1, XP_029036301.1	XP_967226.1, XP_015836787.1, XP_008198171.2, XP_966820.2, XP_008193769.1, XP_968088.2, XP_967599.1
OG0000086	XP_029036714.1	XP_008200062.1, XP_015834290.1
OG0000087	XP_029056468.1, XP_029056467.1	XP_969526.1, XP_969601.1, XP_015838300.1, XP_970029.1, XP_969456.2
OG0000087	XP_029056466.1	XP_969383.1
OG0000088	XP_029051133.1	XP_015837887.1
OG0000089	XP_029053161.1, XP_029053163.1, XP_029053162.1	XP_967001.1, XP_966814.1, XP_966903.1, XP_015834458.1, XP_015834457.1, XP_971728.1, XP_968587.1
OG0000091	XP_029041126.1, XP_029041124.1	XP_008200105.1, XP_973883.2, XP_974001.1, XP_015838041.1, XP_015838239.1, XP_015838040.1, XP_015838232.1, XP_008196804.1, XP_008196800.2, XP_974288.1, XP_974388.1, XP_972482.1, XP_015840665.1, XP_008196885.2
OG0000092	XP_029048799.1	XP_008198926.1
OG0000092	XP_029041975.1, XP_029041991.1, XP_029043422.1, XP_029044965.1, XP_029044957.1	XP_967128.1
OG0000094	XP_029034646.1, XP_029034647.1	XP_008194293.1
OG0000094	XP_029050994.1	XP_008194180.1, XP_008191415.1, XP_015834034.1, XP_015837589.1, XP_974270.2
OG0000095	XP_029035463.1	XP_971423.1, NP_001034529.1, NP_001107847.1, NP_001034530.1, NP_001107861.1, NP_001107846.1, XP_015839255.1, NP_001107850.1
OG0000096	XP_029039146.1	XP_970191.2
OG0000096	XP_029053037.1	NP_001038094.1, NP_001073567.1, XP_015836778.1, NP_001036034.1, XP_973005.1, NP_001034517.1, NP_001034516.3, NP_001038095.1, XP_015836950.1, XP_008195468.1, XP_015836949.1, NP_001038096.1, NP_001034515.1
OG0000097	XP_029033159.1, XP_029033157.1, XP_029033158.1	XP_966355.1, XP_008200463.1
OG0000098	XP_029040058.1, XP_029040062.1, XP_029040061.1, XP_029040060.1, XP_029040057.1	XP_976115.2, XP_008200746.1, XP_008200744.1, XP_008200745.1
OG0000099	XP_029034823.1	XP_973444.1
OG0000099	XP_029034765.1	XP_967359.1
OG0000099	XP_029045960.1	XP_008198312.1
OG0000100	XP_029038954.1, XP_029038955.1, XP_029038950.1, XP_029038951.1, XP_029038952.1, XP_029038953.1	XP_015833282.1, XP_008190946.1, XP_008190945.1
OG0000101	XP_029038150.1	XP_015840974.1, XP_968341.1, XP_968427.1, XP_008192885.1, XP_969438.2, XP_970214.1, XP_968268.2, XP_969384.1
OG0000101	XP_029038151.1	XP_968658.1, XP_008190341.1, XP_968586.1
OG0000102	XP_029052948.1	XP_015836203.1, XP_972020.3, XP_971968.1
OG0000103	XP_029044547.1	NP_001121967.1
OG0000105	XP_029054926.1, XP_029054901.1, XP_029054717.1, XP_029054708.1	XP_015840325.1
OG0000107	XP_029055031.1, XP_029054179.1, XP_029053769.1	XP_974139.1, XP_008198278.1
OG0000108	XP_029040200.1, XP_029040201.1	XP_015837318.1, XP_008195645.1, XP_972082.1, XP_972134.1, XP_968318.1, XP_015839337.1, XP_015839336.1, XP_972032.1, XP_972386.3, XP_972182.1, XP_008195643.1, XP_975666.1, XP_015837080.1, XP_966332.1
OG0000109	XP_029050471.1, XP_029050469.1, XP_029050473.1, XP_029050472.1	XP_008200716.1
OG0000110	XP_029038421.1, XP_029038418.1, XP_029038419.1, XP_029043468.1	XP_008193808.1, XP_008193810.1, XP_015836889.1, XP_008193809.1, XP_008193811.1, XP_008193812.1, XP_015836885.1, XP_015836884.1, XP_015836883.1, XP_015836887.1, XP_008193800.1, XP_015836924.1, XP_015836925.1, XP_008193802.1, XP_008193803.1, XP_008193805.1, XP_008193798.1, XP_008193799.1, XP_008193801.1, XP_008193797.1, XP_015836882.1, XP_015836881.1, XP_015836880.1, XP_008193806.1, XP_008193807.1, XP_015836886.1, XP_001807608.2
OG0000111	XP_029036880.1, XP_029044472.1, XP_029044473.1, XP_029044439.1, XP_029044436.1, XP_029044435.1, XP_029044432.1, XP_029044433.1, XP_029044430.1	XP_008201050.1, XP_970898.1, XP_970952.1, XP_975906.1, NP_001161227.1, NP_001161310.1, XP_015839309.1, XP_970839.1, XP_008201049.1
OG0000112	XP_029046532.1, XP_029046533.1	XP_008191265.1
OG0000112	XP_029048168.1	XP_008198195.1, XP_015837714.1
OG0000113	XP_029037699.1, XP_029048517.1	XP_967872.2, XP_008198495.1, XP_008198500.1
OG0000114	XP_029044505.1, XP_029050777.1, XP_029050778.1	XP_015836792.1, XP_015836794.1
OG0000114	XP_029036590.1	XP_008195366.2, XP_015837027.1, XP_015837028.1
OG0000115	XP_029035566.1, XP_029048286.1	XP_969146.1, XP_970714.1, XP_970442.1, XP_015832951.1, XP_015833288.1, XP_008190960.1, XP_967475.1
OG0000116	XP_029036993.1, XP_029036999.1, XP_029037819.1, XP_029037828.1	XP_015837656.1
OG0000117	XP_029050106.1	XP_008198411.1
OG0000117	XP_029053280.1, XP_029053279.1, XP_029053278.1, XP_029053281.1	XP_008200394.1, XP_008200396.1, XP_008200398.1, XP_008200397.1
OG0000119	XP_029036980.1, XP_029036750.1, XP_029036919.1, XP_029036815.1, XP_029036844.1	NP_001157311.1
OG0000120	XP_029051756.1, XP_029038490.1, XP_029038486.1, XP_029038485.1, XP_029038483.1, XP_029038484.1, XP_029038488.1, XP_029038489.1	XP_015838347.1
OG0000122	XP_029051575.1	XP_015834556.1
OG0000122	XP_029054705.1	XP_008192222.1
OG0000123	XP_029043158.1, XP_029043156.1, XP_029043157.1, XP_029043153.1, XP_029043155.1, XP_029043150.1, XP_029043149.1, XP_029043151.1, XP_029043152.1, XP_029043147.1, XP_029043148.1	XP_001813105.1
OG0000124	XP_029037788.1, XP_029036850.1, XP_029037019.1, XP_029036756.1, XP_029037535.1, XP_029037363.1, XP_029037873.1, XP_029037101.1, XP_029037448.1, XP_029037702.1, XP_029036672.1, XP_029037621.1, XP_029036938.1	XP_015834874.1
OG0000125	XP_029038301.1, XP_029032057.1, XP_029036162.1, XP_029037018.1, XP_029032043.1, XP_029035307.1, XP_029032032.1, XP_029032023.1	XP_975608.1, XP_975649.1, XP_975653.1, XP_015837066.1, XP_975651.1
OG0000126	XP_029049817.1, XP_029049833.1, XP_029049843.1, XP_029049826.1, XP_029049807.1, XP_029049849.1	NP_001034505.1
OG0000127	XP_029049523.1, XP_029049524.1	NP_001280519.1, XP_015839687.1
OG0000129	XP_029038381.1, XP_029038382.1, XP_029038380.1, XP_029038379.1, XP_029038378.1, XP_029038377.1, XP_029038376.1, XP_029038375.1	XP_008192539.1, XP_008192541.1, XP_970374.1, XP_008192542.1, XP_015834648.1
OG0000130	XP_029040004.1, XP_029040144.1, XP_029040135.1, XP_029040130.1	XP_008200084.1, XP_001811552.1
OG0000130	XP_029040646.1	XP_008200083.1
OG0000131	XP_029035464.1	XP_001808435.1
OG0000131	XP_029032564.1, XP_029032565.1, XP_029032563.1	XP_008198189.1, XP_968387.1, XP_008198188.1
OG0000132	XP_029042885.1, XP_029042884.1	XP_008198166.1, XP_015839207.1
OG0000133	XP_029032942.1, XP_029032943.1, XP_029032944.1	XP_975308.3
OG0000133	XP_029035782.1	XP_015840591.1
OG0000135	XP_029032688.1	XP_015833857.1, XP_008194086.1
OG0000135	XP_029052001.1	XP_008190640.1, XP_008190639.1
OG0000135	XP_029033778.1	NP_001153713.1
OG0000136	XP_029051548.1, XP_029055196.1, XP_029055024.1, XP_029051623.1	XP_971514.1, XP_971572.1
OG0000137	XP_029048064.1, XP_029046790.1, XP_029046789.1, XP_029046791.1, XP_029046788.1, XP_029051312.1	XP_015835481.1, XP_015835482.1, XP_015835483.1, XP_015835484.1, XP_015835486.1, XP_015835485.1
OG0000138	XP_029043735.1, XP_029043737.1, XP_029043736.1, XP_029043739.1, XP_029043738.1, XP_029043741.1, XP_029043740.1, XP_029043742.1	XP_015840574.1, XP_967720.2, XP_015840573.1
OG0000139	XP_029050502.1	XP_001808164.2, XP_967589.2, XP_967061.2, XP_015838049.1
OG0000140	XP_029050611.1	XP_973264.1
OG0000141	XP_029038466.1, XP_029038465.1	XP_015833202.1
OG0000141	XP_029044664.1	XP_008193877.2
OG0000143	XP_029041592.1, XP_029041591.1, XP_029041594.1, XP_029041621.1, XP_029041620.1, XP_029041624.1, XP_029041623.1, XP_029041622.1	XP_008192676.1
OG0000144	XP_029035145.1	NP_001164245.1, XP_008197349.1, NP_001164202.1, NP_001107851.1, NP_001164358.1, NP_001164335.1, XP_008197347.1, NP_001164204.1
OG0000145	XP_029047376.1, XP_029047377.1	XP_008193348.1
OG0000146	XP_029045164.1, XP_029045163.1	XP_966544.1, XP_001811608.2
OG0000147	XP_029050244.1, XP_029048716.1, XP_029048715.1, XP_029048711.1, XP_029048710.1, XP_029048714.1, XP_029048709.1, XP_029048708.1, XP_029048717.1	XP_966688.1
OG0000149	XP_029047226.1	XP_008191323.1
OG0000150	XP_029041950.1	XP_015838556.1, XP_015838555.1, XP_015838554.1
OG0000151	XP_029031892.1, XP_029031893.1, XP_029031895.1, XP_029031894.1, XP_029031896.1	XP_969439.1, XP_015840091.1
OG0000152	XP_029047059.1	XP_966734.2
OG0000153	XP_029039104.1, XP_029039105.1, XP_029039106.1, XP_029039101.1, XP_029039103.1	XP_970869.1, XP_008195606.1
OG0000154	XP_029038796.1	XP_008195104.1
OG0000155	XP_029054519.1	XP_015840329.1
OG0000155	XP_029054807.1, XP_029054237.1	XP_015840229.1, XP_015840425.1
OG0000156	XP_029035328.1	XP_008199571.1, XP_008199569.1, XP_008199570.1
OG0000157	XP_029051284.1, XP_029048978.1, XP_029051286.1, XP_029051283.1, XP_029051319.1, XP_029051281.1	NP_001161084.1, XP_008194710.1, NP_001161130.1
OG0000158	XP_029046478.1, XP_029046471.1, XP_029046469.1, XP_029046468.1, XP_029042113.1, XP_029046467.1	XP_008198818.1
OG0000160	XP_029042735.1	XP_008199283.1
OG0000160	XP_029032546.1	XP_967023.4
OG0000161	XP_029049654.1, XP_029049653.1	NP_001164097.1, XP_015838131.1, XP_968215.1, XP_968291.1, XP_008198786.1, XP_015839834.1, XP_970896.1, XP_968653.3
OG0000162	XP_029035080.1	XP_008201498.1, NP_001103246.1
OG0000162	XP_029037503.1	NP_001103245.1
OG0000163	XP_029054127.1, XP_029041264.1	XP_015839362.1, XP_008197923.1, XP_015840038.1
OG0000164	XP_029053418.1, XP_029053381.1, XP_029053299.1, XP_029053407.1	XP_015833602.1, XP_015840341.1, XP_015833616.1
OG0000165	XP_029038180.1, XP_029038179.1	XP_008192571.1
OG0000165	XP_029047501.1	XP_974173.2
OG0000166	XP_029043654.1, XP_029043635.1, XP_029043629.1	XP_008199436.1, XP_008199431.1
OG0000168	XP_029043972.1	XP_008199616.2, XP_015834098.1
OG0000169	XP_029040131.1	XP_008195237.1, XP_008191380.1, XP_973188.1, XP_015833980.1, XP_015837683.1, XP_969004.1
OG0000170	XP_029033623.1, XP_029033620.1, XP_029033633.1, XP_029033625.1	XP_008193117.1, XP_008193116.1
OG0000171	XP_029047309.1, XP_029047311.1	XP_971346.1, XP_015836633.1
OG0000173	XP_029045882.1, XP_029045886.1, XP_029045884.1, XP_029045883.1, XP_029045881.1, XP_029045880.1	XP_008194517.1
OG0000174	XP_029038443.1, XP_029038444.1, XP_029038447.1, XP_029038446.1, XP_029038448.1	XP_015838513.1
OG0000175	XP_029032769.1, XP_029032767.1, XP_029032768.1	XP_974770.1, XP_015836695.1
OG0000176	XP_029041606.1	XP_008195214.1
OG0000177	XP_029035382.1, XP_029035383.1	XP_971910.1
OG0000177	XP_029035403.1	XP_008194311.1
OG0000177	XP_029035380.1	XP_972019.2
OG0000178	XP_029039971.1, XP_029039967.1	XP_008200484.2, XP_015835582.1
OG0000179	XP_029046643.1	XP_008194977.1
OG0000179	XP_029038918.1	XP_966308.2
OG0000180	XP_029046844.1, XP_029046842.1, XP_029046843.1	XP_976031.1, XP_008200320.1
OG0000181	XP_029051355.1, XP_029051353.1, XP_029051352.1, XP_029051351.1, XP_029051350.1, XP_029051349.1, XP_029051354.1, XP_029051348.1	NP_001280548.1, XP_008193833.1
OG0000182	XP_029044796.1, XP_029044797.1, XP_029044799.1, XP_029044800.1, XP_029044801.1, XP_029044793.1, XP_029044794.1, XP_029044795.1	XP_015832992.1
OG0000183	XP_029047940.1	XP_975025.1
OG0000183	XP_029053202.1	XP_970665.1
OG0000184	XP_029034044.1, XP_029034077.1	XP_015832887.1, XP_015837621.1, XP_015837372.1, XP_015837383.1, XP_975520.3
OG0000185	XP_029037648.1, XP_029037641.1, XP_029037640.1	XP_008197397.1
OG0000186	XP_029043658.1, XP_029043698.1, XP_029043697.1	XP_008199126.1, XP_008199118.1, XP_015835450.1
OG0000187	XP_029047831.1	XP_975362.1
OG0000188	XP_029034574.1	XP_008197500.1
OG0000188	XP_029035546.1	XP_967501.2
OG0000189	XP_029035806.1, XP_029035810.1, XP_029035809.1, XP_029035808.1	XP_008198457.1, XP_008193919.1
OG0000190	XP_029056400.1, XP_029056399.1, XP_029056401.1	XP_015839424.1, XP_968802.1
OG0000191	XP_029036825.1	XP_015840404.1, XP_972346.1, XP_008197015.2, XP_015838363.1, XP_015838365.1, XP_972237.1, XP_015833908.1, XP_015833861.1, XP_015838439.1, XP_966412.2, XP_015833969.1, XP_001812470.1, XP_972442.2, XP_008193548.2
OG0000192	XP_029034267.1, XP_029034266.1	XP_976201.3, XP_008197081.1, XP_015838219.1, XP_008197084.1, XP_008197085.1, XP_008197082.1
