Orthogroup	Osmia_bicornis	Polistes_dominula
OG0000014	XP_029035522.1, XP_029053444.1, XP_029055146.1, XP_029053956.1, XP_029054088.1, XP_029051685.1, XP_029051694.1, XP_029051987.1	XP_015177523.1
OG0000015	XP_029054814.1	XP_015175981.1, XP_015189929.1
OG0000015	XP_029055256.1	XP_015189716.1
OG0000016	XP_029054344.1, XP_029054391.1, XP_029053686.1	XP_015189959.1
OG0000016	XP_029054495.1, XP_029055268.1, XP_029053711.1	XP_015184181.1, XP_015189904.1, XP_015182291.1, XP_015176614.1, XP_015189259.1, XP_015184966.1, XP_015171454.1, XP_015189561.1
OG0000016	XP_029054642.1	XP_015190988.1, XP_015189498.1, XP_015189980.1, XP_015189915.1
OG0000017	XP_029036237.1	XP_015172927.1, XP_015172893.1, XP_015172912.1, XP_015172903.1, XP_015172883.1
OG0000017	XP_029039562.1	XP_015180943.1, XP_015180944.1
OG0000017	XP_029039565.1, XP_029039563.1, XP_029039564.1	XP_015180945.1
OG0000018	XP_029051327.1	XP_015184408.1
OG0000018	XP_029049739.1, XP_029049738.1, XP_029049740.1	XP_015186827.1
OG0000018	XP_029049735.1	XP_015186828.1
OG0000018	XP_029036695.1	XP_015175602.1
OG0000019	XP_029052871.1, XP_029052872.1	XP_015184618.1, XP_015184619.1, XP_015189804.1, XP_015189805.1
OG0000019	XP_029033414.1	XP_015182221.1, XP_015189673.1
OG0000020	XP_029050516.1	XP_015172633.1
OG0000020	XP_029043034.1	XP_015183590.1
OG0000020	XP_029055041.1	XP_015171445.1
OG0000020	XP_029051090.1	XP_015183950.1, XP_015183951.1, XP_015183952.1
OG0000020	XP_029032757.1	XP_015181633.1
OG0000021	XP_029039360.1, XP_029039361.1, XP_029039362.1	XP_015183660.1, XP_015183652.1, XP_015183642.1, XP_015183675.1, XP_015183668.1
OG0000021	XP_029032147.1	XP_015184436.1
OG0000021	XP_029046571.1	XP_015190080.1
OG0000021	XP_029049609.1	XP_015188837.1
OG0000021	XP_029039365.1, XP_029039366.1, XP_029039367.1, XP_029039368.1, XP_029039369.1, XP_029039363.1	XP_015183774.1, XP_015183791.1, XP_015183783.1
OG0000022	XP_029035866.1	XP_015173497.1
OG0000023	XP_029053360.1	XP_015177524.1, XP_015173448.1
OG0000024	XP_029051585.1, XP_029051584.1, XP_029051583.1	XP_015188584.1, XP_015188403.1, XP_015171793.1
OG0000024	XP_029052345.1	XP_015182123.1
OG0000024	XP_029045871.1	XP_015181825.1
OG0000024	XP_029045870.1	XP_015181824.1
OG0000025	XP_029055259.1	XP_015189848.1
OG0000025	XP_029053578.1	XP_015181327.1, XP_015185986.1
OG0000025	XP_029054180.1	XP_015189019.1
OG0000026	XP_029039364.1	XP_015181461.1, XP_015181460.1
OG0000026	XP_029032070.1, XP_029039545.1	XP_015191534.1
OG0000026	XP_029055886.1, XP_029031842.1, XP_029032017.1, XP_029055971.1, XP_029055800.1, XP_029031929.1	XP_015187302.1
OG0000027	XP_029053460.1, XP_029053459.1, XP_029053373.1	XP_015172634.1
OG0000027	XP_029053445.1	XP_015177662.1
OG0000028	XP_029053767.1, XP_029054640.1, XP_029053970.1	XP_015180764.1, XP_015189418.1, XP_015189902.1
OG0000029	XP_029049864.1, XP_029049863.1	XP_015185507.1
OG0000029	XP_029041266.1	XP_015172137.1
OG0000030	XP_029038013.1, XP_029038012.1	XP_015180792.1, XP_015180789.1, XP_015172637.1
OG0000030	XP_029049282.1	XP_015187915.1, XP_015185971.1, XP_015185973.1, XP_015185974.1, XP_015185972.1, XP_015189947.1, XP_015189898.1, XP_015186637.1, XP_015189768.1, XP_015189842.1, XP_015186005.1, XP_015189795.1, XP_015189846.1, XP_015177899.1, XP_015186006.1, XP_015189579.1, XP_015189757.1, XP_015189580.1, XP_015189727.1, XP_015189305.1, XP_015189905.1, XP_015189578.1, XP_015186638.1
OG0000032	XP_029055718.1, XP_029055719.1, XP_029055717.1	XP_015190537.1
OG0000032	XP_029050538.1	XP_015182537.1, XP_015182533.1
OG0000034	XP_029052867.1, XP_029052866.1, XP_029052851.1, XP_029052877.1, XP_029048590.1, XP_029048589.1, XP_029052850.1	XP_015185288.1
OG0000035	XP_029032235.1	XP_015172482.1
OG0000036	XP_029047761.1, XP_029047766.1, XP_029047762.1	XP_015175890.1
OG0000036	XP_029047765.1	XP_015174610.1
OG0000036	XP_029047764.1	XP_015174768.1
OG0000037	XP_029047042.1	XP_015184679.1
OG0000038	XP_029039496.1	XP_015179091.1
OG0000038	XP_029036717.1, XP_029036716.1	XP_015185565.1
OG0000038	XP_029034840.1	XP_015184119.1
OG0000040	XP_029055961.1, XP_029055960.1, XP_029055959.1	XP_015175500.1
OG0000041	XP_029032654.1, XP_029032653.1	XP_015182473.1, XP_015182472.1
OG0000041	XP_029038902.1	XP_015179142.1
OG0000041	XP_029038901.1, XP_029038899.1	XP_015179141.1
OG0000042	XP_029048713.1	XP_015186594.1, XP_015186595.1, XP_015186596.1, XP_015189781.1, XP_015189581.1, XP_015189834.1, XP_015171566.1, XP_015171565.1, XP_015171564.1, XP_015171563.1, XP_015171562.1
OG0000043	XP_029038126.1	XP_015177490.1, XP_015177491.1
OG0000043	XP_029042860.1	XP_015187201.1
OG0000043	XP_029032665.1	XP_015180729.1
OG0000044	XP_029033389.1, XP_029033390.1	XP_015184594.1
OG0000044	XP_029033272.1, XP_029033270.1, XP_029033271.1	XP_015184599.1
OG0000045	XP_029050902.1, XP_029050927.1, XP_029050914.1	XP_015183311.1, XP_015183284.1
OG0000045	XP_029043746.1	XP_015173221.1
OG0000046	XP_029046126.1	XP_015179269.1
OG0000046	XP_029054140.1	XP_015177712.1
OG0000046	XP_029049335.1	XP_015174688.1, XP_015174687.1
OG0000047	XP_029054608.1, XP_029054038.1, XP_029055277.1, XP_029054997.1, XP_029054202.1	XP_015181292.1, XP_015182538.1
OG0000047	XP_029055147.1, XP_029054348.1, XP_029039380.1, XP_029053798.1	XP_015189429.1, XP_015189816.1, XP_015189433.1
OG0000048	XP_029038651.1	XP_015178594.1
OG0000048	XP_029038664.1	XP_015178617.1
OG0000050	XP_029035421.1	XP_015187332.1, XP_015175623.1
OG0000051	XP_029054696.1	XP_015188887.1
OG0000052	XP_029053695.1	XP_015186733.1
OG0000052	XP_029042748.1	XP_015175045.1
OG0000053	XP_029054836.1, XP_029054892.1, XP_029054993.1	XP_015189792.1, XP_015186004.1
OG0000054	XP_029050144.1	XP_015175390.1
OG0000054	XP_029050156.1, XP_029050150.1	XP_015175295.1, XP_015175296.1, XP_015175389.1
OG0000055	XP_029033370.1, XP_029033371.1	XP_015171080.1
OG0000055	XP_029035680.1	XP_015176664.1
OG0000055	XP_029033206.1	XP_015173765.1, XP_015173767.1
OG0000056	XP_029043848.1, XP_029043447.1	XP_015176704.1
OG0000056	XP_029041052.1	XP_015175416.1
OG0000056	XP_029050404.1	XP_015181793.1
OG0000056	XP_029048153.1	XP_015173622.1
OG0000056	XP_029044167.1	XP_015181325.1
OG0000057	XP_029035838.1	XP_015171970.1
OG0000057	XP_029041778.1	XP_015173587.1
OG0000057	XP_029035983.1	XP_015171878.1
OG0000057	XP_029035967.1	XP_015171877.1
OG0000057	XP_029035984.1	XP_015171777.1
OG0000058	XP_029038287.1	XP_015182294.1, XP_015182349.1, XP_015182350.1
OG0000060	XP_029056239.1, XP_029056240.1	XP_015185766.1, XP_015185775.1
OG0000060	XP_029040322.1, XP_029040321.1, XP_029040320.1, XP_029040318.1, XP_029040317.1	XP_015181080.1, XP_015181079.1
OG0000061	XP_029042514.1	XP_015188543.1
OG0000061	XP_029037437.1	XP_015177990.1
OG0000062	XP_029054767.1	XP_015173092.1
OG0000062	XP_029054389.1	XP_015178479.1
OG0000064	XP_029049217.1, XP_029049232.1, XP_029049008.1, XP_029049978.1	XP_015178584.1, XP_015185301.1, XP_015185287.1, XP_015185289.1, XP_015185300.1
OG0000065	XP_029047719.1	XP_015174229.1, XP_015174230.1, XP_015174227.1, XP_015174228.1, XP_015174231.1
OG0000066	XP_029053476.1	XP_015189741.1, XP_015189693.1, XP_015189896.1, XP_015176551.1
OG0000067	XP_029053164.1	XP_015179349.1
OG0000067	XP_029042775.1	XP_015180637.1
OG0000067	XP_029032764.1	XP_015184670.1
OG0000067	XP_029039161.1	XP_015182629.1
OG0000069	XP_029035424.1, XP_029035422.1	XP_015175625.1
OG0000069	XP_029035425.1, XP_029035429.1	XP_015175624.1
OG0000070	XP_029038581.1	XP_015181201.1
OG0000071	XP_029055115.1, XP_029054219.1, XP_029055020.1	XP_015189177.1
OG0000072	XP_029055286.1	XP_015176122.1
OG0000073	XP_029054983.1, XP_029052801.1, XP_029050690.1	XP_015173919.1
OG0000074	XP_029038270.1	XP_015188226.1, XP_015188225.1, XP_015174533.1, XP_015179365.1, XP_015174735.1
OG0000075	XP_029044179.1, XP_029044180.1	XP_015189044.1, XP_015182495.1, XP_015189743.1, XP_015189925.1, XP_015190539.1, XP_015189824.1, XP_015189304.1
OG0000077	XP_029041461.1	XP_015188023.1
OG0000077	XP_029051620.1	XP_015179002.1, XP_015185970.1
OG0000078	XP_029038384.1	XP_015185284.1, XP_015185291.1, XP_015185285.1
OG0000080	XP_029048618.1, XP_029048619.1	XP_015185202.1, XP_015185201.1, XP_015185203.1
OG0000080	XP_029048621.1, XP_029048620.1	XP_015188705.1, XP_015188706.1
OG0000080	XP_029048655.1	XP_015185196.1
OG0000081	XP_029040920.1	XP_015179051.1, XP_015179053.1, XP_015179052.1, XP_015179158.1, XP_015179157.1
OG0000082	XP_029037393.1	XP_015175969.1
OG0000082	XP_029037394.1	XP_015175974.1
OG0000082	XP_029037432.1, XP_029037434.1, XP_029037430.1, XP_029037431.1, XP_029037428.1, XP_029037429.1, XP_029037433.1, XP_029037395.1	XP_015175968.1
OG0000083	XP_029054986.1, XP_029054292.1, XP_029054325.1, XP_029052474.1, XP_029054760.1, XP_029055217.1, XP_029054748.1, XP_029054659.1, XP_029054537.1, XP_029054360.1, XP_029054550.1, XP_029054105.1, XP_029055102.1, XP_029053432.1, XP_029055154.1, XP_029053881.1, XP_029054230.1, XP_029054159.1, XP_029054244.1, XP_029054343.1, XP_029053571.1	XP_015173372.1, XP_015173381.1, XP_015189585.1, XP_015178751.1, XP_015184368.1, XP_015189821.1, XP_015189836.1
OG0000084	XP_029034284.1	XP_015180887.1
OG0000084	XP_029034302.1	XP_015180880.1
OG0000085	XP_029036566.1, XP_029036567.1	XP_015172015.1
OG0000085	XP_029036300.1, XP_029036301.1	XP_015179519.1, XP_015175778.1, XP_015175777.1, XP_015175779.1
OG0000086	XP_029036714.1	XP_015175698.1
OG0000087	XP_029056467.1	XP_015179311.1
OG0000087	XP_029056466.1	XP_015179470.1, XP_015179472.1, XP_015179471.1, XP_015179473.1
OG0000088	XP_029051133.1	XP_015175828.1
OG0000089	XP_029053161.1, XP_029053163.1, XP_029053162.1	XP_015191649.1
OG0000089	XP_029051588.1	XP_015191842.1
OG0000090	XP_029055085.1, XP_029055220.1	XP_015185985.1
OG0000091	XP_029041126.1, XP_029041124.1	XP_015190282.1, XP_015190273.1
OG0000092	XP_029048799.1	XP_015182560.1
OG0000092	XP_029041975.1, XP_029041991.1	XP_015171266.1
OG0000092	XP_029043422.1, XP_029044965.1, XP_029044957.1	XP_015171261.1
OG0000092	XP_029036169.1	XP_015180692.1
OG0000094	XP_029033929.1	XP_015176150.1, XP_015184885.1
OG0000094	XP_029034646.1, XP_029034647.1	XP_015189233.1
OG0000094	XP_029050994.1	XP_015175380.1
OG0000095	XP_029035463.1	XP_015179352.1, XP_015179379.1, XP_015187338.1, XP_015179387.1, XP_015179306.1, XP_015187259.1, XP_015179367.1, XP_015179368.1, XP_015179309.1, XP_015188211.1, XP_015188462.1, XP_015189731.1, XP_015177511.1, XP_015177513.1, XP_015177512.1, XP_015188691.1, XP_015189818.1, XP_015188693.1
OG0000096	XP_029039146.1	XP_015179711.1, XP_015179710.1, XP_015179714.1, XP_015179713.1
OG0000096	XP_029053037.1	XP_015178304.1
OG0000097	XP_029033159.1, XP_029033157.1, XP_029033158.1	XP_015172032.1, XP_015172041.1
OG0000097	XP_029042191.1, XP_029042190.1	XP_015182319.1, XP_015182320.1, XP_015177848.1
OG0000098	XP_029040058.1, XP_029040062.1, XP_029040061.1, XP_029040060.1, XP_029040057.1	XP_015183431.1, XP_015183430.1, XP_015183429.1, XP_015183432.1, XP_015183427.1, XP_015183428.1
OG0000099	XP_029034823.1	XP_015176643.1
OG0000099	XP_029034765.1	XP_015176645.1
OG0000099	XP_029045960.1	XP_015179938.1
OG0000100	XP_029038954.1, XP_029038955.1, XP_029038950.1, XP_029038951.1, XP_029038952.1, XP_029038953.1	XP_015189083.1, XP_015189082.1, XP_015189085.1, XP_015189084.1, XP_015189086.1, XP_015189080.1, XP_015189081.1
OG0000101	XP_029038150.1	XP_015184968.1
OG0000101	XP_029038151.1	XP_015178204.1, XP_015178201.1
OG0000102	XP_029052948.1	XP_015177204.1
OG0000103	XP_029044547.1	XP_015173914.1
OG0000103	XP_029044558.1, XP_029044556.1	XP_015174400.1, XP_015174392.1
OG0000103	XP_029034468.1, XP_029034469.1, XP_029034466.1, XP_029034467.1	XP_015174420.1, XP_015174451.1, XP_015174437.1, XP_015174429.1, XP_015174443.1, XP_015174411.1
OG0000106	XP_029044943.1	XP_015189668.1
OG0000106	XP_029048081.1, XP_029048075.1, XP_029048076.1, XP_029048085.1, XP_029048080.1, XP_029048078.1, XP_029048084.1	XP_015179304.1
OG0000107	XP_029053769.1	XP_015187650.1
OG0000107	XP_029051339.1	XP_015172211.1, XP_015172212.1
OG0000108	XP_029040200.1, XP_029040201.1	XP_015181990.1, XP_015182011.1, XP_015191850.1
OG0000109	XP_029050471.1, XP_029050469.1, XP_029050473.1, XP_029050472.1	XP_015175909.1, XP_015175910.1, XP_015175911.1, XP_015175907.1
OG0000110	XP_029038421.1, XP_029038418.1, XP_029038419.1	XP_015177093.1
OG0000110	XP_029043468.1	XP_015180892.1
OG0000111	XP_029036880.1, XP_029044472.1, XP_029044473.1, XP_029044439.1, XP_029044436.1, XP_029044435.1, XP_029044432.1, XP_029044433.1, XP_029044430.1	XP_015175971.1
OG0000111	XP_029047148.1	XP_015188005.1
OG0000112	XP_029046532.1, XP_029046533.1	XP_015188234.1, XP_015188235.1, XP_015188236.1
OG0000112	XP_029048168.1	XP_015180272.1, XP_015180273.1
OG0000113	XP_029037699.1	XP_015185884.1
OG0000113	XP_029048517.1	XP_015172979.1, XP_015172980.1
OG0000114	XP_029044505.1, XP_029050777.1, XP_029050778.1	XP_015171118.1
OG0000114	XP_029036590.1	XP_015171119.1
OG0000115	XP_029035566.1	XP_015171184.1, XP_015171185.1
OG0000115	XP_029048286.1	XP_015183848.1, XP_015183846.1
OG0000116	XP_029036993.1, XP_029036999.1	XP_015173852.1, XP_015173854.1, XP_015173853.1
OG0000116	XP_029037819.1, XP_029037828.1	XP_015173840.1, XP_015173841.1
OG0000117	XP_029050106.1	XP_015176195.1
OG0000117	XP_029053280.1, XP_029053279.1, XP_029053278.1, XP_029053281.1	XP_015171648.1, XP_015171595.1
OG0000119	XP_029036980.1, XP_029036750.1, XP_029036919.1, XP_029036815.1, XP_029036844.1	XP_015178611.1, XP_015178609.1, XP_015178605.1, XP_015178601.1
OG0000120	XP_029038490.1, XP_029038486.1, XP_029038485.1, XP_029038483.1, XP_029038484.1, XP_029038488.1, XP_029038489.1	XP_015171646.1, XP_015171649.1, XP_015171650.1, XP_015171651.1, XP_015171644.1, XP_015171645.1, XP_015171647.1
OG0000122	XP_029051575.1	XP_015172102.1
OG0000122	XP_029054705.1	XP_015172140.1
OG0000123	XP_029043158.1, XP_029043156.1, XP_029043157.1, XP_029043153.1, XP_029043155.1, XP_029043150.1, XP_029043149.1, XP_029043151.1, XP_029043152.1, XP_029043147.1, XP_029043148.1	XP_015185661.1, XP_015185658.1, XP_015185659.1, XP_015185654.1, XP_015185655.1, XP_015185656.1, XP_015185657.1, XP_015185653.1, XP_015185660.1
OG0000124	XP_029037788.1, XP_029036850.1, XP_029037019.1, XP_029036756.1, XP_029037535.1, XP_029037363.1, XP_029037873.1, XP_029037101.1, XP_029037448.1, XP_029037702.1, XP_029036672.1, XP_029037621.1, XP_029036938.1	XP_015173329.1, XP_015173327.1, XP_015173328.1
OG0000125	XP_029038301.1, XP_029032057.1, XP_029036162.1, XP_029037018.1, XP_029032043.1, XP_029035307.1, XP_029032032.1, XP_029032023.1	XP_015191429.1
OG0000126	XP_029049817.1, XP_029049833.1, XP_029049843.1, XP_029049826.1, XP_029049807.1, XP_029049849.1	XP_015180002.1, XP_015180011.1, XP_015180021.1, XP_015179995.1
OG0000127	XP_029049523.1, XP_029049524.1	XP_015188504.1
OG0000129	XP_029038381.1, XP_029038382.1, XP_029038380.1, XP_029038379.1, XP_029038378.1, XP_029038377.1, XP_029038376.1, XP_029038375.1	XP_015185341.1, XP_015185342.1
OG0000130	XP_029040004.1	XP_015177984.1
OG0000130	XP_029040144.1, XP_029040135.1, XP_029040130.1	XP_015177985.1, XP_015177986.1
OG0000130	XP_029040646.1	XP_015178018.1, XP_015178019.1
OG0000131	XP_029035464.1	XP_015188702.1
OG0000131	XP_029032564.1, XP_029032565.1, XP_029032563.1	XP_015181077.1, XP_015181078.1
OG0000132	XP_029042885.1, XP_029042884.1	XP_015173499.1, XP_015173500.1
OG0000132	XP_029046706.1, XP_029046715.1	XP_015188177.1
OG0000133	XP_029032942.1, XP_029032943.1, XP_029032944.1	XP_015173823.1
OG0000135	XP_029032688.1	XP_015176354.1
OG0000135	XP_029052001.1	XP_015190379.1, XP_015190377.1, XP_015190378.1
OG0000135	XP_029033778.1	XP_015186255.1
OG0000136	XP_029051548.1, XP_029055196.1, XP_029055024.1, XP_029051623.1	XP_015182073.1
OG0000137	XP_029048064.1	XP_015174184.1
OG0000137	XP_029051312.1	XP_015176307.1
OG0000138	XP_029043735.1, XP_029043737.1, XP_029043736.1, XP_029043739.1, XP_029043738.1, XP_029043741.1, XP_029043740.1	XP_015173336.1, XP_015173335.1, XP_015173334.1, XP_015173333.1
OG0000138	XP_029043742.1	XP_015181777.1
OG0000139	XP_029050502.1	XP_015184449.1
OG0000141	XP_029038466.1, XP_029038465.1	XP_015172584.1
OG0000141	XP_029036213.1, XP_029036212.1	XP_015191838.1
OG0000141	XP_029044664.1	XP_015178844.1, XP_015178845.1
OG0000142	XP_029044489.1, XP_029044511.1, XP_029053705.1, XP_029044543.1, XP_029054183.1, XP_029044512.1	XP_015177690.1
OG0000143	XP_029041592.1, XP_029041591.1, XP_029041594.1	XP_015188708.1
OG0000143	XP_029041621.1, XP_029041620.1, XP_029041624.1, XP_029041623.1, XP_029041622.1	XP_015188709.1, XP_015188710.1
OG0000144	XP_029035145.1	XP_015177942.1
OG0000145	XP_029047376.1, XP_029047377.1	XP_015182419.1, XP_015182420.1, XP_015182418.1, XP_015182421.1
OG0000145	XP_029043895.1, XP_029045165.1	XP_015191830.1, XP_015191831.1, XP_015191832.1
OG0000146	XP_029045164.1, XP_029045163.1, XP_029038795.1, XP_029038794.1	XP_015178326.1, XP_015178324.1
OG0000147	XP_029050244.1, XP_029048716.1, XP_029048715.1, XP_029048711.1, XP_029048710.1, XP_029048714.1, XP_029048709.1, XP_029048708.1, XP_029048717.1	XP_015172908.1
OG0000149	XP_029047226.1	XP_015183082.1
OG0000149	XP_029047230.1, XP_029047231.1, XP_029047232.1	XP_015183081.1, XP_015183080.1, XP_015183079.1
OG0000150	XP_029041950.1	XP_015187534.1, XP_015187533.1, XP_015187535.1, XP_015187536.1
OG0000151	XP_029031892.1, XP_029031893.1, XP_029031895.1, XP_029031894.1, XP_029031896.1	XP_015179752.1, XP_015179751.1, XP_015179755.1, XP_015179753.1, XP_015179750.1
OG0000152	XP_029047059.1	XP_015177279.1
OG0000153	XP_029039104.1, XP_029039105.1, XP_029039106.1, XP_029039101.1, XP_029039103.1	XP_015183219.1, XP_015183220.1, XP_015183221.1, XP_015183223.1, XP_015183222.1, XP_015183224.1
OG0000154	XP_029038796.1	XP_015178505.1, XP_015178503.1, XP_015178507.1, XP_015178506.1
OG0000155	XP_029054807.1, XP_029054237.1	XP_015186403.1
OG0000156	XP_029035328.1	XP_015190200.1, XP_015190202.1, XP_015190201.1, XP_015190205.1, XP_015190203.1, XP_015190204.1
OG0000157	XP_029051281.1	XP_015176246.1
OG0000158	XP_029046478.1, XP_029046471.1, XP_029046469.1, XP_029046468.1, XP_029042113.1, XP_029046467.1	XP_015179488.1
OG0000160	XP_029042735.1	XP_015185930.1
OG0000160	XP_029032546.1	XP_015184081.1
OG0000161	XP_029049654.1, XP_029049653.1	XP_015176784.1
OG0000162	XP_029035080.1	XP_015186367.1
OG0000162	XP_029037503.1	XP_015182682.1
OG0000164	XP_029053418.1, XP_029053381.1	XP_015191636.1
OG0000164	XP_029053407.1	XP_015191588.1
OG0000165	XP_029038180.1, XP_029038179.1	XP_015185448.1
OG0000165	XP_029047501.1	XP_015174982.1
OG0000166	XP_029043654.1, XP_029043635.1, XP_029043629.1	XP_015173109.1, XP_015173102.1, XP_015173096.1, XP_015173094.1, XP_015173098.1
OG0000168	XP_029036231.1	XP_015190714.1, XP_015190715.1
OG0000169	XP_029040131.1	XP_015174834.1, XP_015178625.1, XP_015181526.1
OG0000170	XP_029033623.1	XP_015191094.1
OG0000171	XP_029047309.1	XP_015174391.1
OG0000171	XP_029047311.1	XP_015174730.1
OG0000172	XP_029040332.1, XP_029040337.1, XP_029040338.1, XP_029040333.1, XP_029040334.1, XP_029040335.1, XP_029040336.1	XP_015184112.1, XP_015184114.1, XP_015184115.1, XP_015184116.1, XP_015184111.1
OG0000173	XP_029045882.1, XP_029045886.1, XP_029045884.1, XP_029045883.1, XP_029045881.1, XP_029045880.1	XP_015173985.1, XP_015173987.1, XP_015173988.1, XP_015173989.1
OG0000174	XP_029038443.1, XP_029038444.1, XP_029038447.1, XP_029038446.1, XP_029038448.1	XP_015191732.1, XP_015191730.1, XP_015191731.1
OG0000175	XP_029032769.1, XP_029032767.1, XP_029032768.1	XP_015184505.1, XP_015184496.1, XP_015184487.1, XP_015184522.1, XP_015184514.1
OG0000176	XP_029041606.1	XP_015179485.1
OG0000177	XP_029035382.1, XP_029035383.1	XP_015191041.1
OG0000177	XP_029035403.1	XP_015190999.1
OG0000178	XP_029039971.1, XP_029039967.1	XP_015179140.1
OG0000179	XP_029046643.1	XP_015183599.1
OG0000179	XP_029038918.1	XP_015184549.1
OG0000179	XP_029037996.1	XP_015181406.1
OG0000180	XP_029046844.1, XP_029046842.1, XP_029046843.1	XP_015171486.1, XP_015171485.1, XP_015171484.1
OG0000181	XP_029051355.1, XP_029051353.1, XP_029051352.1, XP_029051351.1, XP_029051350.1, XP_029051349.1, XP_029051354.1, XP_029051348.1	XP_015183736.1, XP_015183737.1, XP_015183738.1, XP_015183741.1, XP_015183739.1, XP_015183735.1
OG0000182	XP_029044796.1, XP_029044797.1, XP_029044799.1, XP_029044800.1, XP_029044801.1, XP_029044793.1, XP_029044794.1, XP_029044795.1	XP_015177676.1, XP_015177666.1, XP_015177685.1, XP_015177651.1, XP_015177659.1
OG0000183	XP_029047940.1	XP_015175162.1
OG0000183	XP_029053202.1	XP_015181592.1
OG0000185	XP_029037641.1, XP_029037640.1	XP_015175891.1, XP_015175892.1, XP_015175893.1
OG0000185	XP_029037652.1, XP_029037651.1	XP_015175804.1
OG0000186	XP_029043658.1, XP_029043698.1, XP_029043697.1	XP_015183983.1, XP_015183981.1
OG0000187	XP_029047831.1	XP_015180155.1, XP_015180146.1, XP_015180136.1
OG0000188	XP_029035546.1	XP_015176881.1
OG0000189	XP_029035806.1, XP_029035810.1, XP_029035809.1, XP_029035808.1	XP_015171025.1
OG0000190	XP_029056400.1, XP_029056399.1, XP_029056401.1	XP_015184945.1
OG0000191	XP_029036825.1	XP_015179465.1, XP_015179466.1
OG0000192	XP_029034267.1, XP_029034266.1	XP_015178452.1
OG0000194	XP_029038776.1	XP_015173634.1
OG0000194	XP_029038788.1	XP_015173610.1
