Orthogroup	Osmia_bicornis	Bombyx_mori
OG0000031	XP_029054646.1, XP_029055138.1, XP_029053793.1, XP_029054769.1, XP_029053898.1, XP_029033246.1, XP_029040500.1, XP_029055091.1, XP_029054466.1, XP_029055036.1, XP_029054675.1, XP_029055267.1, XP_029055215.1, XP_029054622.1	XP_037868210.1
OG0000032	XP_029055718.1, XP_029055719.1, XP_029055717.1, XP_029050538.1	XP_037867207.1, XP_004924199.2, NP_001036966.1, XP_012549133.1
OG0000033	XP_029055236.1	XP_004925104.2, XP_004925103.1
OG0000035	XP_029032235.1	NP_001243971.1, NP_001243970.1, NP_001243969.1, NP_001243968.1, NP_001274756.1, XP_037870343.1, NP_001243972.1, XP_037870428.1
OG0000036	XP_029047766.1	XP_037874658.1
OG0000036	XP_029047765.1, XP_029047764.1, XP_029043016.1, XP_029043017.1	XP_037877629.1, XP_012544322.2
OG0000037	XP_029047042.1	NP_001166634.1, NP_001166643.1, NP_001166640.1, XP_021207417.1, NP_001166642.1, NP_001166626.1, NP_001166646.1, NP_001166657.1, NP_001166648.1, NP_001166659.1, NP_001166661.1, NP_001166647.1, NP_001166654.1, NP_001166652.1, NP_001166656.1, NP_001166655.1, NP_001166651.1, NP_001166653.1, NP_001166650.1, XP_012550695.2, XP_037874610.1, NP_001166649.1, NP_001166658.1, NP_001166660.1, XP_037874849.1, XP_037874613.1, XP_037874612.1, NP_001166662.1, NP_001036864.1, NP_001166674.1, NP_001166673.1, NP_001166676.1, NP_001166675.1, NP_001036838.1, NP_001166677.1, XP_012550704.2, NP_001166625.1, NP_001166671.1, NP_001166678.1, XP_012550693.1, NP_001166641.1, XP_004931961.1, NP_001166635.1, NP_001166644.1, NP_001166637.1
OG0000038	XP_029041947.1, XP_029050411.1	NP_001036884.1
OG0000038	XP_029036717.1, XP_029036716.1	NP_001036886.1, XP_021204307.1
OG0000040	XP_029055961.1, XP_029055960.1, XP_029055959.1	XP_037871589.1, XP_037877007.1
OG0000041	XP_029032654.1, XP_029032653.1	XP_037872547.1, NP_001119727.1
OG0000041	XP_029038902.1, XP_029038901.1, XP_029038899.1	NP_001119724.1
OG0000041	XP_029053007.1	NP_001119726.1, XP_037872546.1
OG0000042	XP_029048713.1	XP_004925565.1
OG0000043	XP_029038126.1	NP_001037067.1, NP_001037068.1
OG0000043	XP_029042860.1	NP_001091780.1, XP_021206019.2
OG0000044	XP_029033389.1, XP_029033390.1, XP_029033388.1	NP_001036834.1
OG0000044	XP_029033272.1, XP_029033270.1, XP_029033271.1	XP_037868658.1
OG0000045	XP_029050902.1, XP_029050927.1, XP_029050914.1, XP_029043746.1	XP_037866529.1, XP_037866527.1, NP_001296551.1, XP_012549946.3, NP_001182391.1, XP_004930880.1
OG0000046	XP_029046126.1	NP_001036837.1, XP_012547740.1
OG0000046	XP_029054140.1, XP_029049335.1	NP_001036892.1
OG0000047	XP_029054419.1, XP_029055026.1, XP_029054608.1, XP_029054038.1, XP_029055277.1, XP_029054997.1, XP_029054202.1, XP_029055147.1, XP_029054348.1, XP_029039380.1, XP_029053798.1	XP_037869855.1, XP_037866933.1, XP_037874605.1, XP_037869737.1, XP_037871249.1, XP_037877229.1, XP_037867871.1, XP_037867870.1, XP_037875392.1, XP_037876653.1, XP_037875391.1, XP_037876466.1, XP_012543806.2, XP_037876380.1, XP_012552278.1, XP_012552527.2, XP_037872680.1, XP_037876439.1, XP_037875038.1, XP_037876528.1
OG0000050	XP_029035421.1, XP_029047238.1	NP_001165227.1, NP_001040466.1, XP_037875050.1, NP_001124352.1, NP_001116814.1, XP_004927162.1, XP_021203217.2, XP_021203196.2, XP_037870386.1, XP_037870387.1, XP_004925199.1, XP_004924525.1, XP_004932947.1, NP_001040174.1
OG0000052	XP_029053695.1	XP_012545178.1, NP_001036907.1, XP_037868558.1, XP_037868546.1, XP_012545207.2, XP_012545182.2, XP_004925374.1, XP_037868485.1, XP_004925372.1, XP_004925371.1
OG0000052	XP_029042748.1	XP_012545009.1, NP_001182634.1
OG0000054	XP_029050144.1	NP_001040112.1
OG0000054	XP_029050156.1, XP_029050150.1	NP_001036835.1, NP_001166743.1
OG0000055	XP_029035680.1	XP_021207833.1
OG0000055	XP_029033206.1	XP_012548893.1, NP_001036959.1
OG0000056	XP_029043848.1, XP_029043447.1	XP_037866675.1
OG0000056	XP_029041052.1	XP_037872689.1
OG0000056	XP_029050404.1	XP_037871311.1
OG0000056	XP_029044167.1	XP_037873641.1
OG0000057	XP_029035838.1	NP_001036887.1, NP_001036964.1
OG0000057	XP_029041778.1	XP_004923508.1, XP_012553252.3
OG0000057	XP_029035983.1	NP_001036965.1
OG0000057	XP_029035967.1	NP_001036888.1
OG0000057	XP_029035984.1	NP_001037492.1, NP_001093079.1
OG0000060	XP_029056239.1, XP_029056240.1	XP_004925993.2
OG0000060	XP_029040322.1, XP_029040321.1, XP_029040320.1, XP_029040318.1, XP_029040317.1	XP_021206640.1, XP_004930776.1
OG0000061	XP_029042514.1	XP_012551685.2
OG0000062	XP_029054767.1, XP_029054389.1, XP_029054437.1, XP_029054392.1, XP_029054447.1, XP_029054763.1	XP_004923510.1, XP_037876893.1, XP_004933665.1, NP_001036941.1, NP_001036984.1, NP_001091794.1, XP_037877361.1, XP_037877362.1, NP_001037038.1, NP_001036942.1
OG0000063	XP_029055304.1, XP_029046072.1, XP_029037443.1, XP_029054529.1, XP_029055142.1	XP_037867560.1, XP_037877026.1, XP_037868831.1, XP_037869779.1, XP_037870303.1, XP_037873338.1, XP_037876423.1, XP_037875121.1, XP_037875120.1, XP_037869757.1, XP_037869756.1, XP_037869471.1, XP_037869470.1, XP_037868509.1, XP_037869469.1
OG0000063	XP_029054014.1, XP_029054084.1, XP_029054652.1, XP_029053184.1, XP_029054846.1, XP_029054876.1	XP_037868526.1
OG0000065	XP_029047719.1	XP_004931596.1
OG0000065	XP_029047711.1	NP_001037610.1, XP_037869237.1, XP_037869334.1, XP_012550936.1, XP_037869425.1, XP_037869333.1, XP_004921651.2
OG0000067	XP_029053164.1	XP_004931451.1
OG0000067	XP_029042775.1	NP_001037582.1
OG0000067	XP_029039161.1	XP_037877745.1
OG0000069	XP_029035424.1, XP_029035422.1	NP_001243973.1
OG0000070	XP_029038560.1, XP_029038569.1, XP_029038581.1	NP_001166602.1
OG0000072	XP_029053885.1, XP_029055169.1, XP_029053735.1, XP_029055057.1, XP_029054943.1, XP_029054530.1, XP_029055166.1, XP_029053861.1, XP_029053369.1	XP_037866767.1
OG0000073	XP_029054983.1, XP_029052801.1, XP_029050690.1, XP_029051176.1, XP_029051151.1	NP_001243938.1
OG0000074	XP_029053481.1	XP_037875797.1
OG0000075	XP_029044179.1, XP_029044180.1	XP_037868115.1, XP_037870991.1
OG0000076	XP_029054930.1	XP_037874430.1, XP_037868702.1
OG0000076	XP_029054991.1, XP_029055294.1, XP_029055240.1, XP_029054468.1, XP_029053734.1, XP_029054673.1, XP_029054785.1, XP_029054773.1, XP_029054062.1, XP_029054260.1, XP_029054345.1, XP_029053971.1	XP_037869185.1, XP_037874698.1, XP_037877095.1
OG0000077	XP_029041461.1	XP_037870080.1
OG0000077	XP_029051620.1	NP_001037478.1
OG0000078	XP_029038384.1, XP_029038253.1	XP_037872110.1, NP_001159625.1, NP_001116810.1
OG0000080	XP_029048618.1, XP_029048619.1	XP_021207527.1, XP_021207524.1, XP_021207523.1, XP_021207526.1, XP_021207525.1, XP_004931947.1, XP_037874742.1
OG0000080	XP_029048621.1, XP_029048620.1	XP_004931946.1
OG0000080	XP_029048655.1	XP_037874734.1
OG0000082	XP_029037393.1, XP_029037394.1, XP_029037432.1, XP_029037434.1, XP_029037430.1, XP_029037431.1, XP_029037428.1, XP_029037429.1, XP_029037433.1, XP_029037395.1	XP_004927040.1, NP_001124343.1
OG0000084	XP_029034284.1, XP_029034285.1, XP_029034302.1	XP_012550708.1, NP_001166718.1
OG0000084	XP_029039752.1	NP_001166714.1, NP_001036828.1, NP_001166712.1, NP_001166744.1, NP_001036827.1, NP_001166742.1
OG0000085	XP_029036300.1, XP_029036301.1	NP_001239600.1, XP_037876340.1, XP_037876341.1, XP_037876393.1, XP_037876339.1
OG0000086	XP_029036714.1	XP_004922188.1
OG0000087	XP_029056468.1, XP_029056467.1	XP_004925118.1
OG0000087	XP_029056466.1	XP_004926772.1
OG0000088	XP_029051133.1	XP_037876269.1, XP_037876266.1
OG0000091	XP_029041126.1, XP_029041124.1	XP_037871523.1, NP_001037021.1, NP_001139714.1, XP_012547717.1, NP_001037305.1, XP_037874620.1
OG0000092	XP_029048799.1, XP_029041975.1, XP_029041991.1, XP_029043422.1, XP_029044965.1, XP_029044957.1, XP_029036169.1	NP_001040445.1
OG0000094	XP_029034646.1, XP_029034647.1	XP_037867226.1
OG0000094	XP_029050994.1	XP_004929868.2
OG0000095	XP_029035463.1	XP_037874252.1, NP_001296528.1, XP_004927603.2, NP_001073134.1, NP_001103833.1
OG0000096	XP_029039146.1	XP_004933352.2
OG0000097	XP_029033159.1, XP_029033157.1, XP_029033158.1, XP_029042191.1, XP_029042190.1	XP_012544532.1, XP_037871911.1, XP_004924657.1
OG0000098	XP_029040058.1, XP_029040062.1, XP_029040061.1, XP_029040060.1, XP_029040057.1	XP_037867250.1, XP_037867248.1, XP_037867247.1, XP_037867246.1, XP_037867249.1
OG0000099	XP_029034823.1	XP_012551708.2
OG0000099	XP_029034765.1	XP_004933046.1
OG0000099	XP_029045960.1	XP_037876655.1
OG0000101	XP_029038151.1	XP_037875936.1, NP_001037053.1, NP_001040462.1, XP_037875581.1
OG0000102	XP_029052948.1	XP_004925858.1, XP_037872752.1, XP_021205415.1, XP_004929095.1
OG0000103	XP_029044547.1	XP_037869904.1
OG0000108	XP_029040200.1, XP_029040201.1	XP_004923866.1, XP_012545628.2, XP_037876582.1, XP_021203645.2, XP_021203646.2, XP_037876625.1, XP_037876626.1, XP_012551634.2, XP_004932336.1
OG0000109	XP_029050471.1, XP_029050469.1, XP_029050473.1, XP_029050472.1	XP_021205885.1
OG0000110	XP_029038421.1, XP_029038418.1, XP_029038419.1, XP_029043468.1	XP_037872696.1, XP_037872695.1, XP_037872710.1, XP_037872709.1
OG0000111	XP_029036880.1, XP_029044472.1, XP_029044473.1, XP_029044439.1, XP_029044436.1, XP_029044435.1, XP_029044432.1, XP_029044433.1, XP_029044430.1	XP_037868928.1, XP_037868924.1, XP_004922902.1, XP_004931121.1
OG0000111	XP_029047148.1	XP_004927517.1
OG0000112	XP_029048168.1	NP_001240824.1, XP_012546717.1
OG0000113	XP_029037699.1, XP_029048517.1	XP_004929660.1, XP_004925443.2, XP_012545237.2
OG0000114	XP_029044505.1, XP_029050777.1, XP_029050778.1	XP_037876113.1, NP_001036844.1
OG0000114	XP_029036590.1	XP_037876437.1
OG0000115	XP_029035566.1, XP_029048286.1	NP_001037077.1, XP_012544300.1, NP_001036994.1
OG0000117	XP_029050106.1	NP_001040298.1
OG0000117	XP_029053280.1, XP_029053279.1, XP_029053278.1, XP_029053281.1	NP_001233214.1, XP_012552766.1
OG0000118	XP_029055266.1	XP_037872296.1
OG0000119	XP_029036980.1, XP_029036750.1, XP_029036919.1, XP_029036815.1, XP_029036844.1	XP_037869697.1
OG0000120	XP_029051756.1, XP_029038490.1, XP_029038486.1, XP_029038485.1, XP_029038483.1, XP_029038484.1, XP_029038488.1, XP_029038489.1	XP_021207126.2
OG0000122	XP_029054705.1	XP_037871005.1
OG0000123	XP_029043158.1, XP_029043156.1, XP_029043157.1, XP_029043153.1, XP_029043155.1, XP_029043150.1, XP_029043149.1, XP_029043151.1, XP_029043152.1, XP_029043147.1, XP_029043148.1	NP_001037614.1, XP_012548321.1
OG0000124	XP_029037788.1, XP_029036850.1, XP_029037019.1, XP_029036756.1, XP_029037535.1, XP_029037363.1, XP_029037873.1, XP_029037101.1, XP_029037448.1, XP_029037702.1, XP_029036672.1, XP_029037621.1, XP_029036938.1	XP_037871306.1, XP_037871307.1, XP_021208751.2
OG0000125	XP_029038301.1, XP_029032057.1, XP_029036162.1, XP_029037018.1, XP_029032043.1, XP_029035307.1, XP_029032032.1, XP_029032023.1	XP_004926881.1, XP_012546430.1, XP_012547144.2
OG0000126	XP_029049817.1, XP_029049833.1, XP_029049843.1, XP_029049826.1, XP_029049807.1, XP_029049849.1	XP_012549565.1, NP_001037319.1
OG0000127	XP_029049523.1, XP_029049524.1	NP_001189458.1, XP_012551311.1
OG0000129	XP_029038381.1, XP_029038382.1, XP_029038380.1, XP_029038379.1, XP_029038378.1, XP_029038377.1, XP_029038376.1, XP_029038375.1	XP_021203173.1
OG0000130	XP_029040004.1, XP_029040144.1, XP_029040135.1, XP_029040130.1	NP_001108469.1
OG0000130	XP_029040646.1	XP_012548931.3
OG0000131	XP_029035464.1	XP_004931759.1
OG0000131	XP_029032564.1, XP_029032565.1, XP_029032563.1	NP_001091755.1
OG0000132	XP_029042885.1, XP_029042884.1	NP_001164651.1, XP_037870176.1
OG0000132	XP_029046706.1, XP_029046715.1	NP_001164650.1
OG0000133	XP_029032942.1, XP_029032943.1, XP_029032944.1	XP_021207866.1, XP_004932639.1
OG0000134	XP_029037364.1	XP_004924013.1, XP_004924014.1, XP_012544046.1
OG0000135	XP_029032688.1	NP_001108336.1, XP_021202711.1
OG0000135	XP_029052001.1	NP_001166873.1, XP_037875522.1
OG0000135	XP_029033778.1	NP_001108335.1
OG0000136	XP_029051548.1, XP_029055196.1, XP_029055024.1, XP_029051623.1	XP_037876368.1, XP_004927026.1
OG0000137	XP_029048064.1, XP_029046790.1, XP_029046789.1, XP_029046791.1, XP_029046788.1, XP_029051312.1	XP_037868770.1
OG0000138	XP_029043735.1, XP_029043737.1, XP_029043736.1, XP_029043739.1, XP_029043738.1, XP_029043741.1, XP_029043740.1, XP_029043742.1	XP_037868949.1, XP_004925223.3
OG0000139	XP_029050502.1	XP_021208530.2, XP_004922757.1, XP_004922758.1, XP_004927864.1
OG0000140	XP_029050611.1	XP_021202079.2
OG0000141	XP_029038466.1, XP_029038465.1	XP_004931634.1
OG0000141	XP_029044664.1	XP_021207972.2
OG0000143	XP_029041592.1, XP_029041591.1, XP_029041594.1, XP_029041621.1, XP_029041620.1, XP_029041624.1, XP_029041623.1, XP_029041622.1	XP_037870673.1, NP_001040254.1, XP_004927859.1
OG0000144	XP_029035145.1	XP_021207362.2, NP_001243953.1, NP_001037590.1, XP_004931806.2, NP_001106747.2
OG0000145	XP_029047376.1, XP_029047377.1, XP_029043895.1, XP_029045165.1	XP_021209325.1, XP_037876916.1, XP_004923491.1
OG0000146	XP_029045164.1, XP_029045163.1	XP_037871222.1, XP_004922825.1
OG0000146	XP_029038795.1, XP_029038794.1	NP_001106739.1, NP_001106231.1
OG0000147	XP_029050244.1, XP_029048716.1, XP_029048715.1, XP_029048711.1, XP_029048710.1, XP_029048714.1, XP_029048709.1, XP_029048708.1, XP_029048717.1	XP_004933126.1
OG0000149	XP_029047226.1	XP_037875543.1
OG0000149	XP_029047230.1, XP_029047231.1, XP_029047232.1	XP_004924927.1, XP_004924928.1
OG0000150	XP_029041950.1	XP_037869165.1, XP_037869166.1, XP_037869163.1, XP_037869164.1
OG0000151	XP_029031892.1, XP_029031893.1, XP_029031895.1, XP_029031894.1, XP_029031896.1	XP_037867739.1, XP_021208204.1, XP_021208205.1
OG0000152	XP_029047059.1	XP_021205393.1
OG0000153	XP_029039104.1, XP_029039105.1, XP_029039106.1, XP_029039101.1, XP_029039103.1	XP_037871508.1, XP_037871509.1, XP_037871510.1, XP_037871505.1
OG0000154	XP_029038796.1	XP_037873529.1
OG0000155	XP_029054807.1, XP_029054237.1	XP_037877412.1
OG0000156	XP_029035328.1	XP_021206155.2
OG0000157	XP_029051284.1, XP_029048978.1, XP_029051286.1, XP_029051283.1, XP_029051319.1, XP_029051281.1	XP_037869375.1
OG0000158	XP_029046478.1, XP_029046471.1, XP_029046469.1, XP_029046468.1, XP_029042113.1, XP_029046467.1	XP_021204632.1
OG0000160	XP_029042735.1	XP_004925382.2
OG0000160	XP_029032546.1	XP_004925399.2, XP_004925398.1
OG0000161	XP_029049654.1, XP_029049653.1	NP_001182393.1
OG0000162	XP_029035080.1	NP_001103389.1, XP_037868604.1
OG0000162	XP_029037503.1	NP_001103388.1, XP_021203288.2
OG0000163	XP_029054127.1, XP_029041264.1	XP_012546686.1, XP_037873371.1
OG0000164	XP_029053418.1, XP_029053381.1, XP_029053299.1, XP_029053407.1	XP_037875027.1, XP_037872511.1
OG0000165	XP_029038180.1, XP_029038179.1	XP_012547188.1, XP_021204892.1
OG0000165	XP_029047501.1	XP_012551706.2
OG0000166	XP_029043654.1, XP_029043635.1, XP_029043629.1	XP_037868137.1
OG0000168	XP_029052804.1	XP_037866971.1, XP_037876295.1, XP_037867009.1, XP_037872857.1
OG0000168	XP_029036231.1, XP_029043972.1	XP_037873451.1
OG0000169	XP_029040131.1	NP_001243963.1, NP_001243962.1, NP_001243959.1, NP_001243958.1, NP_001243955.1, NP_001243956.1, NP_001243957.1, NP_001243991.1, NP_001135960.1, NP_001040425.1, NP_001243995.1, NP_001243978.1, NP_001127730.1
OG0000170	XP_029033623.1, XP_029033620.1, XP_029033633.1, XP_029033625.1	XP_004924795.2
OG0000171	XP_029047309.1, XP_029047311.1	NP_001296478.1, XP_037876331.1, XP_037876328.1
OG0000173	XP_029045882.1, XP_029045886.1, XP_029045884.1, XP_029045883.1, XP_029045881.1, XP_029045880.1	NP_001093316.1
OG0000174	XP_029038443.1, XP_029038444.1, XP_029038447.1, XP_029038446.1, XP_029038448.1	NP_001040490.1, XP_037874321.1
OG0000175	XP_029032769.1, XP_029032767.1, XP_029032768.1	NP_001040124.1
OG0000176	XP_029039386.1	XP_004928976.1
OG0000176	XP_029041606.1	XP_037868940.1, XP_037870006.1, XP_037876480.1, XP_037869968.1, XP_037867396.1
OG0000177	XP_029035382.1, XP_029035383.1	XP_004931030.1
OG0000177	XP_029035403.1	XP_004931031.2
OG0000177	XP_029035380.1	XP_004930870.1
OG0000178	XP_029039971.1, XP_029039967.1	XP_037871996.1, XP_004924483.2
OG0000179	XP_029046643.1	NP_001040172.1, XP_021206181.1
OG0000179	XP_029038918.1	NP_001037301.1
OG0000180	XP_029046844.1, XP_029046842.1, XP_029046843.1	XP_004930542.1
