Orthogroup	Osmia_bicornis	Drosophila_melanogaster
OG0000012	XP_029040169.1	NP_611479.2, NP_001027441.1, NP_001097340.1
OG0000012	XP_029036967.1, XP_029036856.1	NP_001036717.1
OG0000013	XP_029054967.1	NP_001027338.1
OG0000013	XP_029035638.1	NP_001027358.1, NP_001027348.1, NP_001027343.1, NP_001027289.1, NP_001027285.1
OG0000013	XP_029053372.1	NP_001027333.1
OG0000013	XP_029037650.1	NP_001259374.1
OG0000014	XP_029054658.1	NP_001027290.1, NP_001027282.1, NP_001027369.1, NP_001027374.1, NP_001027379.1, NP_001027334.1, NP_001027286.1, NP_001027344.1, NP_001027349.1, NP_001027359.1, NP_001027354.1, NP_001027364.1, NP_001027329.1, NP_001027324.1, NP_001027319.1, NP_001027314.1, NP_001027384.1, NP_724341.1, NP_001027304.1, NP_001027309.1, NP_001027299.1, NP_001027295.1, NP_001027339.1
OG0000017	XP_029036237.1	NP_611325.2, NP_611326.1, NP_611327.1, NP_611328.1, NP_001286571.1, NP_611329.1, NP_725784.1, NP_001286570.1, NP_611323.1, NP_611324.1, NP_001246500.1, NP_001286575.1, NP_001188889.1
OG0000017	XP_029039562.1	NP_001138040.1
OG0000017	XP_029039555.1, XP_029039565.1, XP_029039563.1, XP_029039564.1	NP_524913.1, NP_524914.3, NP_524912.1, NP_788656.1, NP_524915.1, NP_525114.1, NP_524916.1, NP_001034042.1, NP_001287302.1, NP_001287303.1
OG0000018	XP_029051327.1	NP_001262747.1, NP_609930.4, NP_995741.2, NP_650086.2, NP_001260823.1, NP_001245943.1, NP_001260548.1
OG0000018	XP_029049735.1, XP_029036695.1	NP_001247286.1
OG0000019	XP_029033414.1	NP_001285811.1, NP_001260357.1, NP_609429.1, NP_001285807.1, NP_001285806.1, NP_001260356.1, NP_609419.1, NP_609420.1, NP_723607.1, NP_524667.1
OG0000020	XP_029050516.1	NP_723103.1
OG0000020	XP_029043034.1	NP_001097100.1, NP_001188701.2
OG0000020	XP_029055041.1	NP_001137799.1, NP_723441.2
OG0000020	XP_029042549.1	NP_001097508.2
OG0000020	XP_029051090.1	NP_651649.1
OG0000020	XP_029032757.1	NP_001259218.1
OG0000021	XP_029039360.1, XP_029039361.1, XP_029039362.1	NP_648539.1
OG0000021	XP_029046571.1	NP_001263113.1, NP_651812.1, NP_001189282.1
OG0000021	XP_029049609.1	NP_611262.1, NP_651761.2
OG0000021	XP_029041225.1	NP_650482.1, NP_732032.1
OG0000022	XP_029035866.1	NP_001027366.1, NP_001027371.1, NP_001027376.1
OG0000026	XP_029039364.1	NP_729591.1, NP_001287018.1
OG0000026	XP_029035302.1	NP_001163838.2
OG0000026	XP_029032070.1, XP_029039545.1, XP_029055886.1, XP_029031842.1, XP_029032017.1, XP_029055971.1, XP_029055800.1, XP_029031929.1	NP_001285239.1
OG0000027	XP_029053373.1	NP_001027302.1, NP_001027297.1, NP_001027293.1, NP_001027307.1, NP_001027342.1
OG0000027	XP_029053445.1	NP_001027352.1, NP_001027357.1, NP_001027362.1, NP_001027382.1
OG0000027	XP_029035639.1	NP_001027347.1
OG0000029	XP_029041154.1, XP_029041149.1	NP_647872.1, NP_650813.2
OG0000029	XP_029041266.1	NP_647875.1, NP_647873.2
OG0000032	XP_029053845.1, XP_029053357.1	NP_001285067.1
OG0000032	XP_029055718.1, XP_029055719.1, XP_029055717.1, XP_029050538.1	NP_651524.1, NP_651523.1, NP_651522.1, NP_651525.1, NP_651526.1, NP_651521.1, NP_651520.1, NP_651403.1
OG0000033	XP_029052819.1	NP_001036361.1
OG0000035	XP_029032235.1	NP_001285591.1, NP_609909.1, NP_609911.1, NP_001246082.2
OG0000037	XP_029047042.1	NP_001137869.1, NP_648209.1, NP_001262052.1, NP_001261293.1, NP_001097547.1, NP_649120.1, NP_649121.1
OG0000038	XP_029041947.1, XP_029050411.1	NP_476772.1, NP_524264.1
OG0000038	XP_029039496.1	NP_650674.1
OG0000040	XP_029055961.1, XP_029055960.1, XP_029055959.1	NP_650601.2, NP_650599.1, NP_001097818.1, NP_001287372.1, NP_650598.1, NP_001138068.1, NP_732214.1, NP_650603.1, NP_650604.1
OG0000041	XP_029032654.1, XP_029032653.1	NP_523625.1, NP_001014725.1
OG0000041	XP_029038901.1, XP_029038899.1	NP_001262200.1
OG0000041	XP_029053007.1	NP_477037.2
OG0000042	XP_029048713.1	NP_731781.1
OG0000043	XP_029038126.1	NP_001286870.1
OG0000043	XP_029042860.1	NP_524121.2
OG0000044	XP_029033389.1, XP_029033390.1, XP_029033388.1	NP_732652.1, NP_001303538.1, NP_650979.1
OG0000044	XP_029033272.1, XP_029033270.1, XP_029033271.1	NP_651674.3
OG0000045	XP_029050902.1, XP_029050927.1, XP_029050914.1, XP_029043746.1	NP_001188791.2, NP_609522.1, NP_476627.3, NP_610381.1, NP_476628.2, NP_610382.2, NP_476625.2, NP_610384.1, NP_001286198.1, NP_724679.2
OG0000046	XP_029046126.1	NP_001285139.1
OG0000046	XP_029054140.1, XP_029049335.1	NP_001262586.1
OG0000046	XP_029049438.1, XP_029049436.1, XP_029049437.1	NP_524063.1
OG0000047	XP_029054419.1, XP_029055026.1, XP_029054608.1, XP_029054038.1, XP_029055277.1, XP_029054997.1, XP_029054202.1, XP_029055147.1, XP_029054348.1, XP_029039380.1, XP_029053798.1	NP_652056.2
OG0000050	XP_029035421.1, XP_029047238.1	NP_001246965.1, NP_524262.1, NP_001163540.1, NP_524266.1, NP_611678.1, NP_524269.3, NP_001262345.1, NP_524261.1, NP_524259.2, NP_731165.2, NP_001246962.1, NP_001287487.1
OG0000052	XP_029053695.1	NP_610332.3, NP_726254.1, NP_611723.3, NP_611722.2, NP_001286747.1, NP_001286144.1, NP_611724.1, NP_651903.2, NP_611725.2, NP_611376.1, NP_001286591.1, NP_611375.2
OG0000052	XP_029042748.1	NP_725600.1
OG0000054	XP_029050156.1, XP_029050150.1	NP_477282.2, NP_729146.1, NP_729147.1
OG0000055	XP_029033370.1, XP_029033371.1	NP_001284925.1
OG0000055	XP_029035680.1	NP_650904.3
OG0000055	XP_029033281.1, XP_029033290.1, XP_029033297.1	NP_609815.1
OG0000055	XP_029033206.1	NP_001246914.1
OG0000056	XP_029043848.1, XP_029043447.1	NP_001369131.1
OG0000056	XP_029041052.1	NP_647937.2
OG0000056	XP_029044167.1	NP_995958.2
OG0000057	XP_029041778.1, XP_029035983.1	NP_524290.2
OG0000057	XP_029035967.1	NP_523842.2
OG0000057	XP_029035984.1	NP_729172.1
OG0000060	XP_029056239.1, XP_029056240.1	NP_650848.1
OG0000060	XP_029040322.1, XP_029040321.1, XP_029040320.1, XP_029040318.1, XP_029040317.1	NP_001163168.1
OG0000061	XP_029042514.1	NP_001097692.1
OG0000061	XP_029037437.1, XP_029047750.1, XP_029047749.1, XP_029047748.1, XP_029047747.1, XP_029047746.1, XP_029047743.1, XP_029047752.1, XP_029047751.1, XP_029047745.1, XP_029047753.1	NP_648605.1, NP_536732.1, NP_523675.1, NP_611234.1
OG0000065	XP_029047711.1	NP_524105.2, NP_001285777.1, NP_001027266.1, NP_001027272.1, NP_648885.1, NP_652673.2
OG0000067	XP_029053164.1	NP_001284994.1
OG0000067	XP_029042775.1	NP_524243.2, NP_572330.2
OG0000067	XP_029032763.1, XP_029032764.1	NP_001261491.1
OG0000072	XP_029053885.1, XP_029055169.1, XP_029053735.1, XP_029055057.1, XP_029054943.1, XP_029054530.1, XP_029055166.1, XP_029053861.1, XP_029053369.1	NP_663311.1
OG0000074	XP_029053481.1	NP_536776.2
OG0000077	XP_029041461.1	NP_001137778.2, NP_001259986.1
OG0000077	XP_029051620.1	NP_001015405.3
OG0000080	XP_029048618.1, XP_029048619.1	NP_001262255.1
OG0000080	XP_029048655.1	NP_001262254.1
OG0000082	XP_029037393.1, XP_029037394.1, XP_029037432.1, XP_029037434.1, XP_029037430.1, XP_029037431.1, XP_029037428.1, XP_029037429.1, XP_029037433.1, XP_029037395.1	NP_001260835.1, NP_648293.1, NP_725122.2, NP_611364.2, NP_609726.1, NP_572219.1
OG0000085	XP_029036566.1, XP_029036567.1, XP_029036300.1, XP_029036301.1	NP_651221.1
OG0000086	XP_029036714.1	NP_650254.1, NP_001246901.1, NP_001368950.1, NP_001097766.1
OG0000087	XP_029056468.1, XP_029056467.1	NP_001261716.1
OG0000087	XP_029056466.1	NP_647840.1, NP_647839.1, NP_001287050.1, NP_610235.1, NP_001163844.1
OG0000088	XP_029051133.1	NP_476589.4
OG0000089	XP_029053161.1, XP_029053163.1, XP_029053162.1	NP_001162840.1, NP_001259800.1
OG0000091	XP_029041126.1, XP_029041124.1	NP_524957.2, NP_524956.2, NP_001260209.1, NP_001356884.1, NP_001036345.1, NP_001163067.1, NP_001246154.1, NP_001163116.1, NP_610246.3, NP_524851.1, NP_524805.1, NP_609341.1, NP_001027395.1, NP_001036553.1, NP_610261.1, NP_524953.1, NP_524955.2, NP_610244.2
OG0000092	XP_029048799.1, XP_029041975.1, XP_029041991.1, XP_029043422.1, XP_029044965.1, XP_029044957.1, XP_029036169.1	NP_001262592.1
OG0000094	XP_029034646.1, XP_029034647.1	NP_001284983.1, NP_651446.2, NP_650069.2
OG0000094	XP_029050994.1	NP_651889.3, NP_001189331.1, NP_651891.2
OG0000096	XP_029039146.1	NP_726022.1, NP_001246550.1
OG0000096	XP_029053037.1	NP_611542.2
OG0000097	XP_029033159.1, XP_029033157.1, XP_029033158.1, XP_029042191.1, XP_029042190.1	NP_524611.1
OG0000098	XP_029040058.1, XP_029040062.1, XP_029040061.1, XP_029040060.1, XP_029040057.1	NP_001260487.1
OG0000099	XP_029034823.1	NP_608954.1
OG0000099	XP_029034765.1	NP_001034071.1
OG0000099	XP_029045960.1	NP_651628.1
OG0000100	XP_029038954.1, XP_029038955.1, XP_029038950.1, XP_029038951.1, XP_029038952.1, XP_029038953.1	NP_001262908.1, NP_001262907.1
OG0000101	XP_029038150.1	NP_001286204.1, NP_610403.1, NP_609640.1
OG0000101	XP_029038151.1	NP_001285802.1, NP_001015212.1
OG0000102	XP_029052948.1	NP_609468.4, NP_001163660.1, NP_001027201.1, NP_730363.2
OG0000103	XP_029044547.1	NP_001303368.1
OG0000108	XP_029040200.1, XP_029040201.1	NP_648918.1
OG0000109	XP_029050471.1, XP_029050469.1, XP_029050473.1, XP_029050472.1	NP_648392.1, NP_001245736.1
OG0000110	XP_029038421.1, XP_029038418.1, XP_029038419.1, XP_029043468.1	NP_788521.2, NP_729246.2, NP_729014.1
OG0000111	XP_029047148.1	NP_650264.1
OG0000112	XP_029048168.1	NP_001369123.1
OG0000113	XP_029037699.1, XP_029048517.1	NP_650037.2, NP_649736.3, NP_001097703.1, NP_652649.1, NP_652648.1, NP_652650.2, NP_649737.1, NP_001138022.2, NP_650035.1, NP_001262348.1, NP_649688.1
OG0000114	XP_029044505.1, XP_029050777.1, XP_029050778.1	NP_572582.1, NP_651168.1, NP_524362.2, NP_001303421.1, NP_650380.2
OG0000115	XP_029035566.1, XP_029048286.1	NP_001261040.1
OG0000117	XP_029050106.1	NP_001286115.1
OG0000117	XP_029053280.1, XP_029053279.1, XP_029053278.1, XP_029053281.1	NP_001262809.1
OG0000120	XP_029051756.1, XP_029038490.1, XP_029038486.1, XP_029038485.1, XP_029038483.1, XP_029038484.1, XP_029038488.1, XP_029038489.1	NP_001260010.1, NP_001162947.1
OG0000122	XP_029051575.1	NP_001287102.1, NP_001163462.1, NP_649023.1
OG0000122	XP_029054705.1	NP_610807.3
OG0000123	XP_029043158.1, XP_029043156.1, XP_029043157.1, XP_029043153.1, XP_029043155.1, XP_029043150.1, XP_029043149.1, XP_029043151.1, XP_029043152.1, XP_029043147.1, XP_029043148.1	NP_001259925.1
OG0000124	XP_029037788.1, XP_029036850.1, XP_029037019.1, XP_029036756.1, XP_029037535.1, XP_029037363.1, XP_029037873.1, XP_029037101.1, XP_029037448.1, XP_029037702.1, XP_029036672.1, XP_029037621.1, XP_029036938.1	NP_001260435.1, NP_001245746.1
OG0000125	XP_029038301.1, XP_029032057.1, XP_029036162.1, XP_029037018.1, XP_029032043.1, XP_029035307.1, XP_029032032.1, XP_029032023.1	NP_651172.1, NP_001097888.1
OG0000126	XP_029049817.1, XP_029049833.1, XP_029049843.1, XP_029049826.1, XP_029049807.1, XP_029049849.1	NP_477498.1, NP_996167.1
OG0000127	XP_029049523.1, XP_029049524.1	NP_477127.1
OG0000129	XP_029038381.1, XP_029038382.1, XP_029038380.1, XP_029038379.1, XP_029038378.1, XP_029038377.1, XP_029038376.1, XP_029038375.1	NP_001188842.2
OG0000130	XP_029040004.1, XP_029040144.1, XP_029040135.1, XP_029040130.1	NP_723165.2
OG0000130	XP_029040646.1	NP_001014474.3
OG0000131	XP_029035464.1	NP_001259087.1
OG0000131	XP_029032564.1, XP_029032565.1, XP_029032563.1	NP_001097667.1
OG0000132	XP_029042885.1, XP_029042884.1	NP_001245934.1, NP_001137808.1, NP_609121.2
OG0000132	XP_029046706.1, XP_029046715.1	NP_001245823.1, NP_724088.2, NP_724087.1
OG0000133	XP_029032942.1, XP_029032943.1, XP_029032944.1	NP_001368939.1
OG0000134	XP_029054768.1, XP_029054636.1, XP_029055298.1	NP_525003.2
OG0000135	XP_029052001.1	NP_001286904.1
OG0000135	XP_029033778.1	NP_524655.1
OG0000136	XP_029051548.1, XP_029055196.1, XP_029055024.1, XP_029051623.1	NP_611126.1, NP_611131.2, NP_001285647.1, NP_001097337.1
OG0000137	XP_029048064.1, XP_029046790.1, XP_029046789.1, XP_029046791.1, XP_029046788.1, XP_029051312.1	NP_727460.1, NP_611465.2
OG0000138	XP_029043735.1, XP_029043737.1, XP_029043736.1, XP_029043739.1, XP_029043738.1, XP_029043741.1, XP_029043740.1, XP_029043742.1	NP_001036303.2
OG0000139	XP_029050502.1	NP_651882.1
OG0000141	XP_029038466.1, XP_029038465.1	NP_001287037.1
OG0000141	XP_029036213.1, XP_029036212.1	NP_651471.2
OG0000141	XP_029044664.1	NP_724101.4
OG0000143	XP_029041592.1, XP_029041591.1, XP_029041594.1, XP_029041621.1, XP_029041620.1, XP_029041624.1, XP_029041623.1, XP_029041622.1	NP_001259687.1
OG0000144	XP_029035145.1	NP_001287042.1, NP_649034.3, NP_524065.1, NP_001261825.1, NP_511138.2, NP_001285556.1, NP_523868.1
OG0000145	XP_029047376.1, XP_029047377.1, XP_029043895.1, XP_029045165.1	NP_651930.2
OG0000146	XP_029045164.1, XP_029045163.1	NP_648843.1
OG0000147	XP_029050244.1, XP_029048716.1, XP_029048715.1, XP_029048711.1, XP_029048710.1, XP_029048714.1, XP_029048709.1, XP_029048708.1, XP_029048717.1	NP_001245762.1
OG0000149	XP_029047226.1	NP_648425.1
OG0000149	XP_029047230.1, XP_029047231.1, XP_029047232.1	NP_647686.1
OG0000150	XP_029041950.1	NP_001246198.1
OG0000151	XP_029031892.1, XP_029031893.1, XP_029031895.1, XP_029031894.1, XP_029031896.1	NP_001287124.1
OG0000152	XP_029047059.1	NP_001260743.1
OG0000153	XP_029039104.1, XP_029039105.1, XP_029039106.1, XP_029039101.1, XP_029039103.1	NP_001261584.1
OG0000154	XP_029038796.1	NP_001262752.1, NP_730301.3, NP_611464.3, NP_728408.3, NP_788912.3, NP_001259763.1
OG0000156	XP_029035328.1	NP_647767.1
OG0000157	XP_029051284.1, XP_029048978.1, XP_029051286.1, XP_029051283.1, XP_029051319.1, XP_029051281.1	NP_787956.1, NP_608518.1, NP_608517.1, NP_001285871.1, NP_001285870.1, NP_650703.1
OG0000158	XP_029046478.1, XP_029046471.1, XP_029046469.1, XP_029046468.1, XP_029042113.1, XP_029046467.1	NP_648354.1
OG0000160	XP_029042735.1	NP_001034016.1, NP_649019.2
OG0000160	XP_029032546.1	NP_649428.1
OG0000161	XP_029049654.1, XP_029049653.1	NP_001261749.1, NP_788501.1
OG0000162	XP_029035080.1	NP_001097669.2
OG0000162	XP_029037503.1	NP_001262916.1
OG0000164	XP_029053418.1, XP_029053381.1, XP_029053299.1, XP_029053407.1	NP_001137966.2, NP_649013.3, NP_649012.2, NP_001260346.1
OG0000165	XP_029038180.1, XP_029038179.1	NP_001245593.1
OG0000165	XP_029047501.1	NP_001284986.1
OG0000166	XP_029043654.1, XP_029043635.1, XP_029043629.1	NP_001097498.1
OG0000168	XP_029052804.1	NP_996226.2
OG0000168	XP_029043972.1	NP_001261500.1
OG0000171	XP_029047309.1, XP_029047311.1	NP_609310.2, NP_609309.1
OG0000173	XP_029045882.1, XP_029045886.1, XP_029045884.1, XP_029045883.1, XP_029045881.1, XP_029045880.1	NP_001247239.1
OG0000174	XP_029038443.1, XP_029038444.1, XP_029038447.1, XP_029038446.1, XP_029038448.1	NP_725682.2, NP_001286533.1, NP_611218.1
OG0000175	XP_029032769.1, XP_029032767.1, XP_029032768.1	NP_001163218.1
OG0000177	XP_029035382.1, XP_029035383.1	NP_001261827.1
OG0000177	XP_029035403.1	NP_001261829.1
OG0000177	XP_029035380.1	NP_001261830.1
OG0000178	XP_029039971.1, XP_029039967.1	NP_001356914.1
OG0000179	XP_029038918.1	NP_523366.2, NP_648697.1
OG0000180	XP_029046844.1, XP_029046842.1, XP_029046843.1	NP_001027161.1
OG0000182	XP_029044796.1, XP_029044797.1, XP_029044799.1, XP_029044800.1, XP_029044801.1, XP_029044793.1, XP_029044794.1, XP_029044795.1	NP_001163460.1
OG0000183	XP_029047940.1	NP_001287555.1
OG0000183	XP_029053202.1	NP_524074.1
OG0000184	XP_029034044.1, XP_029034077.1	NP_995642.1, NP_523504.2, NP_001162633.1
OG0000185	XP_029037648.1, XP_029037641.1, XP_029037640.1	NP_001259439.1
OG0000186	XP_029043658.1, XP_029043698.1, XP_029043697.1	NP_573320.1
OG0000187	XP_029047831.1	NP_001188856.1
OG0000188	XP_029034574.1	NP_477462.1
OG0000188	XP_029035546.1	NP_524551.2, NP_476974.1
OG0000189	XP_029035806.1, XP_029035810.1, XP_029035809.1, XP_029035808.1	NP_608557.4, NP_523485.3, NP_523484.2, NP_001036373.1
OG0000190	XP_029056400.1, XP_029056399.1, XP_029056401.1	NP_732717.1
OG0000191	XP_029036825.1	NP_001036260.3, NP_996138.2, NP_611672.1, NP_573169.2, NP_001246909.1, NP_477232.1, NP_648125.3
OG0000192	XP_029034267.1, XP_029034266.1	NP_611994.3
OG0000196	XP_029041657.1, XP_029041656.1	NP_001261758.1
OG0000196	XP_029053549.1	NP_730938.1
OG0000197	XP_029032736.1, XP_029032735.1, XP_029032734.1	NP_001287082.1
OG0000198	XP_029048757.1, XP_029048766.1, XP_029048776.1	NP_611747.2
OG0000200	XP_029052014.1	NP_001262796.1
OG0000200	XP_029049081.1, XP_029049085.1	NP_001259616.1
OG0000201	XP_029039891.1	NP_649026.1
OG0000202	XP_029032521.1, XP_029032520.1	NP_001260674.1
OG0000203	XP_029047463.1	NP_001369023.1, NP_001287406.1, NP_650804.2, NP_650803.1
OG0000203	XP_029042308.1, XP_029042310.1	NP_648067.2
OG0000204	XP_029049274.1, XP_029049273.1, XP_029049272.1, XP_029049275.1	NP_001188590.1
OG0000205	XP_029047201.1, XP_029047202.1, XP_029047200.1, XP_029047205.1, XP_029047203.1, XP_029047204.1	NP_001097505.1
OG0000206	XP_029052215.1	NP_650893.2
OG0000206	XP_029052187.1, XP_029052186.1	NP_001097707.1, NP_001287222.1
OG0000207	XP_029046518.1	NP_001286310.1, NP_001287091.1
OG0000207	XP_029041769.1, XP_029041771.1	NP_001246139.1
OG0000208	XP_029041765.1	NP_001137606.1
OG0000209	XP_029047963.1, XP_029047965.1, XP_029047964.1	NP_001163199.1
OG0000212	XP_029034391.1, XP_029034390.1, XP_029051924.1, XP_029051929.1	NP_611810.1, NP_788433.2, NP_611812.2, NP_001261154.1
OG0000213	XP_029041152.1, XP_029041153.1, XP_029041150.1, XP_029041151.1	NP_648589.1
OG0000214	XP_029041256.1	NP_001260290.1
OG0000215	XP_029040889.1, XP_029040887.1, XP_029040888.1, XP_029040891.1	NP_649139.1
OG0000216	XP_029052235.1, XP_029052237.1	NP_524598.1, NP_001262008.1, NP_572780.3, NP_573003.2, NP_001284806.1, NP_647723.2, NP_609129.2, NP_523961.2, NP_648129.2, NP_525044.1
OG0000217	XP_029041283.1	NP_608323.1, NP_608322.1, NP_650959.2, NP_001286373.1, NP_651158.1, NP_996269.2, NP_651160.3, NP_651159.3, NP_001259710.1, NP_608590.2, NP_001285060.1
OG0000218	XP_029034776.1, XP_029034777.1, XP_029034772.1, XP_029034773.1, XP_029034774.1, XP_029034775.1	NP_649086.2
OG0000219	XP_029033097.1, XP_029033098.1, XP_029033099.1, XP_029033101.1, XP_029033100.1	NP_610764.1
OG0000220	XP_029033278.1, XP_029033277.1, XP_029033279.1, XP_029033274.1, XP_029033275.1, XP_029033276.1, XP_029033273.1	NP_650528.1
OG0000221	XP_029042551.1	NP_001036320.3
OG0000223	XP_029038992.1	NP_523986.2
OG0000223	XP_029044364.1	NP_524142.2, NP_524141.1
OG0000224	XP_029035644.1	NP_647862.1, NP_728942.1
OG0000225	XP_029035976.1, XP_029035979.1, XP_029035978.1, XP_029032932.1	NP_536756.1
OG0000226	XP_029036179.1	NP_001356958.1
OG0000226	XP_029036153.1	NP_611241.2
OG0000227	XP_029056277.1, XP_029056278.1, XP_029056276.1, XP_029056274.1, XP_029056306.1, XP_029056308.1, XP_029056307.1, XP_029056309.1, XP_029056279.1	NP_001262022.1
OG0000229	XP_029043983.1	NP_726223.1, NP_001303360.1, NP_001246468.1
OG0000230	XP_029052179.1, XP_029052178.1	NP_001286852.1
OG0000231	XP_029054484.1, XP_029039829.1	NP_650028.1, NP_650029.1, NP_001285882.1
OG0000232	XP_029039432.1	NP_001303567.1
OG0000233	XP_029038096.1, XP_029038095.1	NP_001284927.1, NP_572297.1, NP_727067.1, NP_572298.1
OG0000234	XP_029050333.1, XP_029050356.1, XP_029050344.1, XP_029050517.1	NP_726740.1, NP_649880.1, NP_649881.1
OG0000235	XP_029045311.1, XP_029045317.1, XP_029045324.1, XP_029045318.1	NP_001261046.1
OG0000236	XP_029036869.1	NP_524368.5
OG0000237	XP_029051857.1	NP_523863.1
OG0000237	XP_029051872.1	NP_523862.1
OG0000239	XP_029036180.1, XP_029036132.1	NP_733091.1, NP_611452.2, NP_001285793.1, NP_651369.1, NP_001027211.3, NP_001287526.1, NP_651371.1, NP_733121.1, NP_651372.1, NP_651370.2, NP_001262006.1, NP_001260130.1, NP_569859.1, NP_609015.2, NP_573269.1
OG0000241	XP_029044589.1, XP_029038589.1	NP_001097059.1, NP_647821.2, NP_001285749.1
OG0000243	XP_029053744.1	NP_608584.1, NP_523761.2
OG0000244	XP_029039027.1	NP_610117.1
OG0000245	XP_029039448.1	NP_476812.1, NP_610443.1, NP_524760.1
OG0000246	XP_029043282.1, XP_029043284.1, XP_029043283.1	NP_724163.1
OG0000246	XP_029043287.1, XP_029043289.1, XP_029043288.1	NP_476592.1
OG0000247	XP_029036519.1, XP_029036516.1	NP_651898.2, NP_001096949.1
OG0000247	XP_029036521.1	NP_649833.1, NP_648548.1
OG0000249	XP_029044045.1	NP_572996.1
OG0000250	XP_029052124.1, XP_029052120.1	NP_650508.1, NP_001285102.1
OG0000252	XP_029037839.1	NP_730950.2
OG0000253	XP_029036723.1	NP_001162737.1
OG0000253	XP_029032574.1	NP_001263132.1
OG0000254	XP_029046368.1	NP_732295.1
OG0000254	XP_029055807.1	NP_001368946.1
OG0000256	XP_029042504.1, XP_029042508.1, XP_029042505.1, XP_029042506.1, XP_029042511.1, XP_029042512.1, XP_029042509.1, XP_029042507.1	NP_732900.1
OG0000257	XP_029045410.1	NP_001262861.1
OG0000257	XP_029045406.1	NP_001287485.1
OG0000259	XP_029044913.1	NP_723538.3
OG0000260	XP_029053188.1	NP_572306.1
OG0000261	XP_029035663.1, XP_029035664.1, XP_029035662.1	NP_001286161.1, NP_610318.1, NP_610319.2
OG0000263	XP_029042765.1, XP_029042764.1, XP_029042763.1	NP_001285111.1
OG0000264	XP_029053644.1	NP_001033939.2
OG0000264	XP_029053659.1, XP_029053657.1	NP_476735.1
OG0000265	XP_029048310.1	NP_649517.1, NP_650190.1
OG0000266	XP_029049979.1	NP_524387.1
OG0000266	XP_029049312.1	NP_001285202.1
OG0000268	XP_029053715.1	NP_001285901.1, NP_001262995.1
OG0000269	XP_029036205.1, XP_029036204.1	NP_001284901.1
OG0000270	XP_029047487.1	NP_001034048.2
OG0000270	XP_029045046.1	NP_001163596.2
OG0000271	XP_029048607.1	NP_001014620.1, NP_731788.1, NP_731790.1
OG0000272	XP_029034319.1	NP_995675.1
OG0000272	XP_029032785.1, XP_029032787.1	NP_001162795.1, NP_001356885.1
OG0000273	XP_029044326.1, XP_029044327.1	NP_001097437.1
OG0000274	XP_029046053.1	NP_001036681.1
OG0000275	XP_029051562.1	NP_648909.1
OG0000276	XP_029053712.1	NP_649535.2
OG0000277	XP_029032823.1, XP_029032828.1, XP_029032829.1, XP_029032830.1, XP_029032831.1, XP_029032824.1, XP_029032825.1, XP_029032832.1, XP_029032833.1, XP_029032827.1	NP_647800.1
OG0000278	XP_029051961.1, XP_029049618.1	NP_612039.1, NP_647794.1
OG0000279	XP_029036092.1, XP_029036091.1, XP_029036094.1, XP_029036095.1, XP_029036096.1	NP_001137708.2, NP_001356890.1
OG0000280	XP_029055303.1, XP_029051468.1	NP_001286483.1
OG0000281	XP_029053027.1	NP_001350861.1
OG0000283	XP_029045503.1, XP_029045504.1	NP_001286595.1
OG0000284	XP_029055634.1	NP_727448.1
