Orthogroup	Osmia_bicornis	Aedes_aegypti
OG0000017	XP_029039562.1	XP_001658010.2
OG0000017	XP_029039555.1, XP_029039565.1, XP_029039563.1, XP_029039564.1	XP_001658009.2, XP_021693938.1, XP_001658007.2
OG0000018	XP_029051327.1	XP_021697392.1, XP_021697390.1, XP_021697387.1, XP_021697388.1, XP_021697389.1, XP_021697393.1
OG0000018	XP_029049739.1, XP_029049738.1, XP_029049740.1	XP_021706785.1, XP_021706786.1, XP_021706787.1, XP_021706788.1, XP_001651693.2
OG0000018	XP_029049735.1, XP_029036695.1	XP_021706781.1
OG0000019	XP_029052871.1, XP_029052872.1	XP_021694331.1, XP_021694068.1
OG0000019	XP_029033414.1	XP_001651730.2, XP_001662493.2, XP_001662497.2, XP_001662494.2, XP_021694070.1, XP_001662317.1, XP_001650036.2, XP_001662495.2
OG0000020	XP_029043034.1	XP_021703507.1, XP_021703506.1, XP_021703509.1, XP_001651414.2, XP_021703508.1, XP_021700207.1, XP_021700205.1, XP_021700206.1, XP_021700209.1, XP_021700211.1, XP_021700210.1
OG0000020	XP_029055041.1	XP_021700919.1, XP_001650147.2
OG0000020	XP_029051090.1	XP_021705068.1
OG0000020	XP_029034229.1	XP_021706790.1
OG0000020	XP_029032757.1	XP_021699908.1
OG0000021	XP_029039360.1, XP_029039361.1, XP_029039362.1	XP_001654997.1, XP_021710336.1, XP_021710335.1
OG0000021	XP_029046571.1	XP_021699404.1
OG0000021	XP_029049609.1	XP_021713110.1, XP_001662165.1
OG0000026	XP_029035302.1	XP_021702583.1, XP_021702581.1, XP_021702582.1, XP_021702584.1
OG0000027	XP_029053373.1	XP_021706536.1
OG0000027	XP_029035641.1, XP_029053960.1	XP_001656994.2
OG0000027	XP_029053445.1	XP_021706523.1
OG0000029	XP_029041154.1, XP_029041149.1	XP_001654720.1, XP_021711708.1, XP_021704638.1, XP_021712736.1, XP_001654721.1, XP_021693569.1, XP_001660358.1, XP_001657546.2, XP_001660353.1, XP_001660356.1, XP_001660354.2, XP_001660359.1, XP_001660349.1, XP_021693574.1, XP_001660357.1, XP_001650809.1
OG0000029	XP_029049864.1, XP_029049863.1	XP_001664018.2
OG0000029	XP_029041266.1	XP_021704637.1, XP_021704641.1, XP_021712735.1
OG0000030	XP_029038013.1, XP_029038012.1	XP_001658050.1
OG0000032	XP_029055718.1, XP_029055719.1, XP_029055717.1, XP_029050538.1	XP_001652526.1, XP_021707253.1, XP_001652524.1, XP_001652523.2, XP_021707252.1, XP_001652525.1, XP_001652527.2, XP_001652528.2, XP_001652520.1, XP_021708318.1, XP_001662930.2, XP_021709531.1
OG0000033	XP_029055236.1	XP_021705680.1, XP_021704128.1
OG0000033	XP_029044380.1	XP_021702767.1
OG0000035	XP_029032235.1	XP_001650274.2, XP_001662128.2
OG0000036	XP_029047765.1, XP_029047764.1, XP_029043016.1, XP_029043017.1	XP_021695536.1
OG0000037	XP_029047042.1	XP_021698956.1, XP_021698957.1, XP_021698955.1, XP_001655400.1, XP_001659628.2, XP_001654516.2, XP_001650153.1, XP_001659658.1, XP_001650182.1, XP_001659653.2, XP_001659654.2, XP_001659610.1, XP_001647747.1, XP_001659651.2, XP_001659656.2, XP_001659657.1
OG0000038	XP_029041947.1, XP_029050411.1	XP_001652144.1, XP_001663407.1
OG0000038	XP_029039496.1	XP_021707546.1, XP_021707545.1, XP_021707544.1, XP_021707542.1
OG0000040	XP_029055961.1, XP_029055960.1, XP_029055959.1	XP_021698609.1, XP_021698904.1, XP_001661388.1, XP_021698905.1, XP_021709866.1, XP_001654842.2, XP_001662080.2, XP_001662079.2, XP_001662078.2, XP_001658738.1, XP_001652121.2, XP_001662077.2, XP_001662076.1
OG0000041	XP_029032654.1, XP_029032653.1	XP_001655176.1, XP_001655175.1
OG0000041	XP_029038901.1, XP_029038899.1	XP_001659963.1
OG0000041	XP_029053007.1	XP_001649531.1
OG0000042	XP_029048713.1	XP_021693433.1
OG0000043	XP_029038126.1	XP_001660749.1
OG0000043	XP_029042859.1	XP_001660756.1
OG0000043	XP_029042860.1	XP_001660753.1
OG0000044	XP_029033389.1, XP_029033390.1, XP_029033388.1	XP_001662886.2, XP_021704584.1, XP_021704583.1, XP_021704585.1, XP_001658981.2, XP_001659766.2, XP_001662888.1, XP_021693815.1, XP_001662885.2, XP_021693817.1, XP_001651477.2
OG0000044	XP_029033272.1, XP_029033270.1, XP_029033271.1	XP_021712943.1
OG0000045	XP_029050902.1, XP_029050927.1, XP_029050914.1, XP_029043746.1	XP_001660907.2, XP_021707666.1, XP_001660908.1, XP_001660906.2, XP_001660189.2, XP_001649784.1, XP_001649787.1, XP_001649783.1, XP_001649786.1, XP_001649788.1, XP_001656785.2
OG0000046	XP_029046126.1	XP_021707218.1, XP_011493320.1, XP_021711730.1, XP_021711729.1, XP_021711733.1, XP_021711731.1
OG0000046	XP_029054140.1, XP_029049335.1	XP_021707697.1
OG0000046	XP_029049438.1, XP_029049436.1, XP_029049437.1	XP_021698547.1, XP_021698548.1
OG0000047	XP_029054419.1, XP_029055026.1, XP_029054608.1, XP_029054038.1, XP_029055277.1, XP_029054997.1, XP_029054202.1, XP_029055147.1, XP_029054348.1, XP_029039380.1, XP_029053798.1	XP_021713287.1, XP_021713290.1, XP_021698064.1, XP_021698875.1, XP_021705066.1, XP_021697550.1
OG0000048	XP_029038641.1	XP_001663296.2
OG0000050	XP_029035421.1, XP_029047238.1	XP_001654509.1, XP_011493543.2, XP_001650372.3, XP_001648942.1, XP_001655125.2, XP_021711298.1, XP_001656532.2, XP_021712588.1, XP_001656533.1, XP_021711977.1, XP_021712587.1, XP_001656534.2, XP_021712580.1, XP_001656535.1, XP_021712578.1, XP_001656536.1, XP_021712579.1, XP_021712589.1, XP_001656537.1
OG0000051	XP_029054712.1, XP_029055094.1	XP_021694238.1
OG0000052	XP_029042748.1	XP_021711564.1
OG0000054	XP_029050156.1, XP_029050150.1	XP_001661677.2, XP_001657098.2, XP_001663703.1, XP_001663705.1, XP_001658209.1, XP_001658210.1, XP_001663706.1, XP_001663702.2
OG0000055	XP_029033370.1, XP_029033371.1	XP_021695325.1, XP_021695326.1, XP_001650510.1, XP_021695322.1, XP_021695324.1, XP_021695323.1
OG0000055	XP_029035680.1	XP_001654841.2
OG0000056	XP_029043848.1, XP_029043447.1	XP_021702305.1
OG0000056	XP_029041052.1	XP_021704129.1
OG0000056	XP_029044167.1	XP_021704390.1
OG0000057	XP_029035838.1	XP_001656025.1
OG0000057	XP_029041778.1, XP_029035983.1	XP_021701591.1
OG0000057	XP_029035967.1	XP_001656026.2
OG0000057	XP_029035984.1	XP_001650054.1
OG0000059	XP_029055288.1	XP_021708124.1
OG0000059	XP_029055211.1, XP_029055299.1	XP_021709602.1, XP_001650831.2, XP_021708195.1, XP_021698490.1, XP_021698237.1, XP_021706387.1, XP_021712566.1, XP_021693892.1, XP_021713038.1, XP_021693592.1, XP_021693590.1, XP_021713046.1, XP_021701689.1, XP_021700461.1, XP_021695451.1, XP_021696584.1, XP_021707043.1, XP_021704477.1, XP_021704487.1, XP_021704488.1, XP_021696917.1, XP_021696912.1, XP_021704541.1, XP_021705873.1
OG0000060	XP_029056239.1, XP_029056240.1	XP_001663993.2
OG0000060	XP_029040322.1, XP_029040321.1, XP_029040320.1, XP_029040318.1, XP_029040317.1	XP_021710092.1, XP_021710091.1, XP_001652667.1
OG0000061	XP_029042514.1	XP_021693614.1, XP_021693615.1, XP_021693616.1
OG0000061	XP_029037437.1, XP_029047750.1, XP_029047749.1, XP_029047748.1, XP_029047747.1, XP_029047746.1, XP_029047743.1, XP_029047752.1, XP_029047751.1, XP_029047745.1, XP_029047753.1	XP_001664194.1, XP_001664195.2, XP_001661118.2
OG0000063	XP_029055304.1, XP_029046072.1, XP_029037443.1, XP_029054529.1, XP_029055142.1	XP_021706514.1, XP_021712878.1
OG0000065	XP_029047719.1	XP_011493201.1
OG0000065	XP_029047711.1	XP_011493637.2, XP_011493079.2, XP_011493699.2, XP_021699125.1
OG0000066	XP_029053476.1	XP_021704301.1
OG0000067	XP_029053164.1	XP_001653435.1
OG0000067	XP_029042775.1	XP_001654897.1
OG0000067	XP_029032763.1, XP_029032764.1	XP_001653950.2, XP_001654592.2
OG0000067	XP_029039161.1	XP_001661370.1, XP_021698916.1
OG0000071	XP_029055115.1, XP_029054219.1, XP_029055020.1	XP_021696059.1
OG0000074	XP_029053481.1	XP_021707386.1
OG0000077	XP_029041461.1	XP_001658180.2
OG0000077	XP_029051620.1	XP_001654967.2, XP_001654963.2, XP_021703368.1, XP_001659008.2
OG0000080	XP_029048618.1, XP_029048619.1	XP_021693685.1
OG0000082	XP_029037393.1, XP_029037394.1, XP_029037432.1, XP_029037434.1, XP_029037430.1, XP_029037431.1, XP_029037428.1, XP_029037429.1, XP_029037433.1, XP_029037395.1	XP_021710856.1, XP_021710857.1, XP_021710858.1, XP_021710859.1, XP_001657071.2, XP_021705242.1, XP_021705991.1, XP_001657061.2, XP_021707062.1, XP_021711080.1
OG0000085	XP_029036566.1, XP_029036567.1, XP_029036300.1, XP_029036301.1	XP_001657682.1, XP_021712292.1, XP_001657680.2, XP_021712303.1, XP_001657679.2, XP_021712327.1, XP_021693916.1, XP_021693917.1
OG0000086	XP_029036714.1	XP_021694055.1, XP_001658786.2, XP_001658476.2, XP_001661765.2, XP_001658478.3, XP_001658781.1, XP_021696093.1, XP_021696094.1, XP_001661116.2, XP_001661117.2
OG0000087	XP_029056468.1, XP_029056467.1	XP_001648461.1, XP_001648458.1
OG0000087	XP_029056466.1	XP_001648460.2, XP_001648456.1, XP_001648457.1, XP_001648454.1
OG0000088	XP_029051133.1	XP_021702205.1
OG0000089	XP_029053161.1, XP_029053163.1, XP_029053162.1	XP_001654187.2
OG0000091	XP_029041126.1, XP_029041124.1	XP_021699738.1
OG0000092	XP_029048799.1	XP_021707375.1
OG0000092	XP_029036169.1	XP_021709998.1, XP_001655951.1
OG0000094	XP_029033929.1	XP_021702456.1, XP_001660396.2
OG0000094	XP_029034646.1, XP_029034647.1	XP_001651974.1, XP_001652484.1, XP_001656201.1
OG0000094	XP_029050994.1	XP_021704594.1
OG0000095	XP_029035463.1	XP_001649682.2
OG0000096	XP_029039146.1	XP_001656233.2, XP_001663568.1, XP_021707618.1, XP_001662520.2, XP_021697666.1, XP_021697668.1, XP_021697665.1
OG0000096	XP_029053037.1	XP_021710758.1, XP_021710759.1, XP_001663099.2, XP_021698426.1, XP_001663097.2
OG0000097	XP_029033159.1, XP_029033157.1, XP_029033158.1, XP_029042191.1, XP_029042190.1	XP_021709275.1, XP_021709276.1, XP_011493325.1, XP_021709274.1
OG0000098	XP_029040058.1, XP_029040062.1, XP_029040061.1, XP_029040060.1, XP_029040057.1	XP_001660410.1
OG0000099	XP_029034823.1	XP_021708064.1, XP_021708068.1, XP_021708072.1
OG0000099	XP_029034765.1	XP_001650952.2
OG0000099	XP_029045960.1	XP_021710287.1
OG0000100	XP_029038954.1, XP_029038955.1, XP_029038950.1, XP_029038951.1, XP_029038952.1, XP_029038953.1	XP_001662579.2
OG0000101	XP_029038150.1	XP_001652481.1
OG0000101	XP_029038151.1	XP_021705368.1, XP_001655706.1, XP_021704385.1, XP_021706472.1, XP_001655711.1
OG0000102	XP_029052948.1	XP_001654053.1, XP_021698700.1, XP_021698701.1, XP_021698703.1, XP_021698702.1, XP_021698704.1, XP_021698696.1, XP_021698697.1, XP_021698698.1, XP_021698699.1, XP_021698692.1, XP_021698693.1, XP_021698694.1, XP_001654056.2, XP_001654054.2
OG0000103	XP_029044547.1	XP_001661506.1
OG0000108	XP_029040200.1, XP_029040201.1	XP_001650340.2, XP_021698830.1, XP_001659854.2, XP_021694990.1, XP_021698831.1, XP_021698828.1
OG0000109	XP_029050471.1, XP_029050469.1, XP_029050473.1, XP_029050472.1	XP_021709303.1
OG0000110	XP_029038421.1, XP_029038418.1, XP_029038419.1, XP_029043468.1	XP_021711612.1, XP_021711613.1
OG0000111	XP_029047148.1	XP_021704753.1
OG0000112	XP_029046532.1, XP_029046533.1	XP_001656354.2, XP_021704950.1, XP_021704946.1, XP_001656353.2, XP_021704942.1
OG0000112	XP_029048168.1	XP_021703753.1
OG0000113	XP_029037699.1, XP_029048517.1	XP_021706759.1, XP_021708730.1, XP_021699104.1, XP_021711742.1, XP_021704959.1, XP_001659002.1, XP_001664257.2, XP_001664258.1, XP_021712497.1, XP_001658997.1, XP_001659000.1, XP_001658999.1, XP_021712496.1, XP_001659001.1, XP_001659007.1
OG0000114	XP_029044505.1, XP_029050777.1, XP_029050778.1	XP_001650347.2, XP_001647864.2, XP_001647865.1, XP_001647870.2, XP_001650899.2, XP_001647873.3, XP_001647872.2, XP_001650301.1
OG0000114	XP_029036590.1	XP_001656658.2
OG0000115	XP_029035566.1, XP_029048286.1	XP_021711348.1
OG0000116	XP_029036993.1, XP_029036999.1, XP_029037819.1, XP_029037828.1	XP_021695569.1
OG0000117	XP_029050106.1	XP_001658273.1
OG0000117	XP_029053280.1, XP_029053279.1, XP_029053278.1, XP_029053281.1	XP_021708342.1, XP_021708343.1, XP_021708344.1, XP_021708345.1, XP_021708346.1
OG0000118	XP_029055266.1	XP_021703512.1
OG0000119	XP_029036980.1, XP_029036750.1, XP_029036919.1, XP_029036815.1, XP_029036844.1	XP_021699975.1, XP_021699973.1, XP_021699978.1, XP_021699974.1
OG0000120	XP_029051756.1, XP_029038490.1, XP_029038486.1, XP_029038485.1, XP_029038483.1, XP_029038484.1, XP_029038488.1, XP_029038489.1	XP_021702687.1
OG0000122	XP_029051575.1	XP_001650409.1, XP_021711773.1
OG0000122	XP_029054705.1	XP_021707885.1
OG0000123	XP_029043158.1, XP_029043156.1, XP_029043157.1, XP_029043153.1, XP_029043155.1, XP_029043150.1, XP_029043149.1, XP_029043151.1, XP_029043152.1, XP_029043147.1, XP_029043148.1	XP_001658691.1, XP_021703858.1, XP_021703857.1, XP_021703856.1, XP_021703860.1, XP_021703865.1, XP_021703863.1, XP_021703864.1, XP_021703861.1, XP_021703862.1, XP_021703859.1
OG0000124	XP_029037788.1, XP_029036850.1, XP_029037019.1, XP_029036756.1, XP_029037535.1, XP_029037363.1, XP_029037873.1, XP_029037101.1, XP_029037448.1, XP_029037702.1, XP_029036672.1, XP_029037621.1, XP_029036938.1	XP_021693241.1, XP_021693242.1, XP_021693243.1, XP_021693244.1, XP_021693245.1, XP_021693246.1, XP_021693247.1, XP_021693248.1
OG0000125	XP_029038301.1, XP_029032057.1, XP_029036162.1, XP_029037018.1, XP_029032043.1, XP_029035307.1, XP_029032032.1, XP_029032023.1	XP_001657204.2
OG0000126	XP_029049817.1, XP_029049833.1, XP_029049843.1, XP_029049826.1, XP_029049807.1, XP_029049849.1	XP_021694197.1
OG0000127	XP_029049523.1, XP_029049524.1	XP_021705806.1, XP_021705807.1, XP_001657917.3
OG0000129	XP_029038381.1, XP_029038382.1, XP_029038380.1, XP_029038379.1, XP_029038378.1, XP_029038377.1, XP_029038376.1, XP_029038375.1	XP_021700581.1, XP_021700580.1, XP_021700583.1, XP_001650044.1, XP_021700585.1, XP_021700582.1, XP_021700584.1
OG0000130	XP_029040004.1, XP_029040144.1, XP_029040135.1, XP_029040130.1	XP_021695251.1
OG0000130	XP_029040646.1	XP_021700367.1
OG0000131	XP_029035464.1	XP_021705306.1
OG0000131	XP_029032564.1, XP_029032565.1, XP_029032563.1	XP_021707624.1, XP_021707623.1, XP_021707625.1, XP_001652515.1
OG0000132	XP_029042885.1, XP_029042884.1	XP_001653225.3, XP_021709729.1, XP_021709728.1, XP_021709730.1, XP_021709732.1, XP_021709733.1, XP_021709734.1
OG0000132	XP_029046706.1, XP_029046715.1	XP_021700410.1, XP_001660044.3, XP_001660042.3
OG0000133	XP_029032942.1, XP_029032943.1, XP_029032944.1	XP_021702724.1, XP_021702723.1
OG0000134	XP_029037364.1	XP_001655292.1
OG0000135	XP_029052001.1	XP_021711278.1, XP_021711277.1, XP_001651832.2
OG0000135	XP_029033778.1	XP_021697743.1, XP_021697742.1, XP_001649900.1, XP_021697746.1, XP_021697744.1, XP_021697745.1
OG0000136	XP_029051548.1, XP_029055196.1, XP_029055024.1, XP_029051623.1	XP_021698234.1, XP_001663772.2, XP_001661186.2, XP_021701760.1, XP_021701761.1, XP_021701762.1, XP_001663776.1, XP_021712126.1, XP_001660827.1, XP_001656378.1, XP_001656375.1
OG0000137	XP_029048064.1, XP_029046790.1, XP_029046789.1, XP_029046791.1, XP_029046788.1, XP_029051312.1	XP_021710706.1, XP_021710707.1, XP_021710708.1, XP_021710709.1
OG0000138	XP_029043735.1, XP_029043737.1, XP_029043736.1, XP_029043739.1, XP_029043738.1, XP_029043741.1, XP_029043740.1, XP_029043742.1	XP_021712084.1, XP_021694527.1
OG0000139	XP_029050502.1	XP_001663072.2
OG0000141	XP_029036213.1, XP_029036212.1	XP_021706046.1
OG0000141	XP_029044664.1	XP_001663030.2
OG0000143	XP_029041592.1, XP_029041591.1, XP_029041594.1, XP_029041621.1, XP_029041620.1, XP_029041624.1, XP_029041623.1, XP_029041622.1	XP_021706097.1, XP_021706098.1, XP_021706096.1, XP_021706093.1, XP_021706094.1
OG0000144	XP_029035145.1	XP_001663963.2, XP_001661466.2, XP_001659531.1, XP_021708224.1, XP_001657247.2, XP_021709081.1, XP_021705010.1, XP_001658835.2
OG0000145	XP_029047376.1, XP_029047377.1, XP_029043895.1, XP_029045165.1	XP_001661017.2
OG0000146	XP_029045164.1, XP_029045163.1	XP_001662762.1
OG0000147	XP_029050244.1, XP_029048716.1, XP_029048715.1, XP_029048711.1, XP_029048710.1, XP_029048714.1, XP_029048709.1, XP_029048708.1, XP_029048717.1	XP_021708848.1, XP_001659371.1
OG0000149	XP_029047226.1	XP_021701465.1
OG0000149	XP_029047230.1, XP_029047231.1, XP_029047232.1	XP_021701466.1, XP_021701469.1, XP_021701468.1, XP_021701472.1, XP_021701467.1
OG0000150	XP_029041950.1	XP_021698126.1, XP_021698125.1, XP_021698128.1, XP_021698127.1
OG0000151	XP_029031892.1, XP_029031893.1, XP_029031895.1, XP_029031894.1, XP_029031896.1	XP_021697798.1
OG0000152	XP_029047059.1	XP_001653160.1
OG0000153	XP_029039104.1, XP_029039105.1, XP_029039106.1, XP_029039101.1, XP_029039103.1	XP_021697591.1, XP_021697584.1, XP_021697583.1, XP_021697588.1, XP_021697587.1, XP_021697586.1, XP_021697585.1, XP_021697590.1, XP_021697589.1
OG0000154	XP_029038796.1	XP_001662815.2
OG0000156	XP_029035328.1	XP_021696919.1, XP_021712121.1
OG0000157	XP_029051284.1, XP_029048978.1, XP_029051286.1, XP_029051283.1, XP_029051319.1, XP_029051281.1	XP_001655764.1, XP_011493631.1, XP_001655766.1, XP_001655767.1, XP_021702729.1
OG0000158	XP_029046478.1, XP_029046471.1, XP_029046469.1, XP_029046468.1, XP_029042113.1, XP_029046467.1	XP_021696507.1, XP_021696509.1, XP_021698714.1
OG0000160	XP_029042735.1	XP_021709766.1
OG0000160	XP_029032546.1	XP_021707900.1, XP_021710525.1, XP_001662274.1
OG0000161	XP_029049654.1, XP_029049653.1	XP_001656119.2
OG0000162	XP_029035080.1	XP_021694432.1
OG0000162	XP_029037503.1	XP_021706951.1
OG0000163	XP_029054127.1, XP_029041264.1	XP_001662163.1
OG0000164	XP_029053418.1, XP_029053381.1, XP_029053299.1, XP_029053407.1	XP_001654887.2, XP_021701278.1, XP_001654888.2, XP_021697710.1, XP_021695328.1
OG0000165	XP_029038180.1, XP_029038179.1	XP_021697212.1
OG0000165	XP_029047501.1	XP_021704115.1, XP_021704136.1, XP_021704202.1
OG0000166	XP_029043654.1, XP_029043635.1, XP_029043629.1	XP_021694247.1, XP_021704926.1, XP_021704934.1, XP_021704935.1
OG0000168	XP_029052804.1	XP_021712003.1, XP_021699894.1
OG0000169	XP_029040131.1	XP_021702706.1
OG0000170	XP_029033623.1, XP_029033620.1, XP_029033633.1, XP_029033625.1	XP_021699236.1
OG0000171	XP_029047309.1, XP_029047311.1	XP_001654890.1, XP_001654889.1, XP_001654886.2, XP_001656792.2
OG0000173	XP_029045882.1, XP_029045886.1, XP_029045884.1, XP_029045883.1, XP_029045881.1, XP_029045880.1	XP_021694163.1, XP_001649426.1
OG0000174	XP_029038443.1, XP_029038444.1, XP_029038447.1, XP_029038446.1, XP_029038448.1	XP_021704325.1, XP_021704326.1
OG0000175	XP_029032769.1, XP_029032767.1, XP_029032768.1	XP_001654240.1
OG0000177	XP_029035382.1, XP_029035383.1	XP_001651644.2
OG0000177	XP_029035403.1	XP_021707471.1, XP_021707472.1
OG0000177	XP_029035380.1	XP_001651645.1
OG0000178	XP_029039971.1, XP_029039967.1	XP_021707000.1, XP_021706999.1
OG0000179	XP_029038918.1	XP_001655662.1, XP_021712235.1
OG0000180	XP_029046844.1, XP_029046842.1, XP_029046843.1	XP_001654382.1, XP_001654381.1, XP_021693530.1, XP_021693529.1
OG0000181	XP_029051355.1, XP_029051353.1, XP_029051352.1, XP_029051351.1, XP_029051350.1, XP_029051349.1, XP_029051354.1, XP_029051348.1	XP_001656977.3
OG0000183	XP_029047940.1	XP_001655456.2
OG0000183	XP_029053202.1	XP_021704629.1, XP_021704627.1
OG0000184	XP_029034044.1, XP_029034077.1	XP_011493295.2, XP_021702574.1, XP_001655087.1, XP_011493580.2
OG0000185	XP_029037648.1, XP_029037641.1, XP_029037640.1	XP_001651366.1
OG0000186	XP_029043658.1, XP_029043698.1, XP_029043697.1	XP_001658387.1, XP_021710177.1, XP_001652490.2
OG0000187	XP_029047831.1	XP_021703024.1, XP_021703026.1, XP_021703025.1, XP_021703030.1, XP_021703029.1, XP_021703028.1, XP_021703027.1
OG0000188	XP_029045188.1	XP_021694895.1
OG0000188	XP_029034574.1	XP_001656810.1, XP_001656809.1
OG0000188	XP_029035546.1	XP_021704883.1
OG0000189	XP_029035806.1, XP_029035810.1, XP_029035809.1, XP_029035808.1	XP_001655465.2, XP_001655464.2
OG0000190	XP_029056400.1, XP_029056399.1, XP_029056401.1	XP_001660557.1
OG0000191	XP_029036825.1	XP_021708624.1, XP_021708625.1, XP_001651643.2, XP_021711114.1, XP_001658852.2, XP_021709915.1, XP_021708162.1, XP_021706594.1, XP_001647986.1, XP_021707346.1, XP_021705110.1, XP_001661290.1, XP_021706490.1
